+ Add Milestone,+ Tambah Milestone
Circular parent-child relationship detected,Hubungan induk-anak melingkar terdeteksi
Clear,Hapus
Clear all read,Hapus semua yang sudah dibaca
Clear date,Hapus tanggal
Click on an activity from the list to view and manage its details.,Klik aktivitas dari daftar untuk melihat dan mengelola detailnya.
Click the avatar to upload a new photo,Klik avatar untuk mengunggah foto baru
Click to add description...,Klik untuk menambahkan deskripsi...
Click to add notes...,Klik untuk menambahkan catatan...
Click to assign contact,Klik untuk menugaskan kontak
Click to change status,Klik untuk mengubah status
Click to change type,Klik untuk mengubah tipe
Click to edit,Klik untuk mengedit
Click to edit budget,Klik untuk mengedit anggaran
Click to edit description,Klik untuk mengedit deskripsi
Click to edit end date,Klik untuk mengedit tanggal selesai
Click to edit milestone name,Klik untuk mengedit nama milestone
Click to edit rate,Klik untuk mengedit tarif
Click to edit start date,Klik untuk mengedit tanggal mulai
Click to edit title,Klik untuk mengedit judul
Click to load,Klik untuk memuat
Click to set group dependency...,Klik untuk mengatur dependensi grup...
Click to set group...,Klik untuk mengatur grup...
Click to view,Klik untuk melihat
Click to view at-risk projects,Klik untuk melihat proyek berisiko
Click to view critical projects,Klik untuk melihat proyek kritis
Click to view healthy projects,Klik untuk melihat proyek sehat
Client,Klien
Client already has a portal user: {0},Klien sudah memiliki pengguna portal: {0}
Client already has portal access,Klien sudah memiliki akses portal
Client has no portal user to revoke,Klien tidak memiliki pengguna portal untuk dicabut
Client link removed from project {0},Tautan klien dihapus dari proyek {0}
Client Portal,Portal Klien
Client {0} deleted successfully,Klien {0} berhasil dihapus
Close,Tutup
Close (Esc),Tutup (Esc)
Comment,Komentar
comment,komentar
Comment added,Komentar ditambahkan
Comment content is required,Konten komentar diperlukan
Comment name is required,Nama komentar diperlukan
Comment not found,Komentar tidak ditemukan
Comment removed,Komentar dihapus
Comment {0} not found in task,Komentar {0} tidak ditemukan dalam tugas
Comments,Komentar
comments,komentar
Community Edition,Community Edition
Company,Perusahaan
Company name...,Nama perusahaan...
Complete,Selesai
Completed,Selesai
completed,selesai
Completed Tasks,Tugas Selesai
Compliance,Kepatuhan
Configure default values for new projects and tasks,Konfigurasi nilai default untuk proyek dan tugas baru
Configure email notification settings,Konfigurasi pengaturan notifikasi email
Confirm,Konfirmasi
Contact deleted,Kontak dihapus
Contact Details,Detail Kontak
Contact Information,Informasi Kontak
Contact name is required,Nama kontak diperlukan
Contact Support,Hubungi Dukungan
Contact your project manager for more information.,Hubungi manajer proyek Anda untuk informasi lebih lanjut.
Contact:,Kontak:
Contacts,Kontak
Context,Konteks
Contractor,Kontraktor
Cost estimate cannot be negative,Estimasi biaya tidak boleh negatif
Cost Impact,Dampak Biaya
Cost Summary,Ringkasan Biaya
Could not apply the template. Please try again.,Tidak dapat menerapkan templat. Silakan coba lagi.
Could not attach file to project,Tidak dapat melampirkan berkas ke proyek
Could not change task priority,Tidak dapat mengubah prioritas tugas
Could not change task status,Tidak dapat mengubah status tugas
Could not delete the project. Please try again.,Tidak dapat menghapus proyek. Silakan coba lagi.
Could not delete the task. Please try again.,Tidak dapat menghapus tugas. Silakan coba lagi.
Could not delete the template.,Tidak dapat menghapus templat.
Could not duplicate the task. Please try again.,Tidak dapat menduplikasi tugas. Silakan coba lagi.
Could not export the template.,Tidak dapat mengekspor templat.
Could not import the template. Please check the file format.,Tidak dapat mengimpor templat. Silakan periksa format berkas.
Could not link task to milestone,Tidak dapat menautkan tugas ke milestone
Could not load document details.,Tidak dapat memuat detail dokumen.
Could not load task details,Tidak dapat memuat detail tugas
Could not promote checklist item to task.,Tidak dapat mempromosikan item daftar periksa menjadi tugas.
Could not remove task from milestone,Tidak dapat menghapus tugas dari milestone
Could not save budget.,Tidak dapat menyimpan anggaran.
Could not save changes to the milestone,Tidak dapat menyimpan perubahan pada milestone
Could not save changes to the task,Tidak dapat menyimpan perubahan pada tugas
Could not save description.,Tidak dapat menyimpan deskripsi.
Could not save end date.,Tidak dapat menyimpan tanggal selesai.
Could not save milestone name.,Tidak dapat menyimpan nama milestone.
Could not save start date.,Tidak dapat menyimpan tanggal mulai.
Could not save the template. Please try again.,Tidak dapat menyimpan templat. Silakan coba lagi.
Could not save title.,Tidak dapat menyimpan judul.
Could not update dependency mode.,Tidak dapat memperbarui mode dependensi.
Could not update milestone date,Tidak dapat memperbarui tanggal milestone
Could not update project status.,Tidak dapat memperbarui status proyek.
Could not update project type.,Tidak dapat memperbarui tipe proyek.
Could not update setting.,Tidak dapat memperbarui pengaturan.
Could not update task dates,Tidak dapat memperbarui tanggal tugas
Could not update task status,Tidak dapat memperbarui status tugas
Could not update the template.,Tidak dapat memperbarui templat.
Create a copy of this task,Buat salinan tugas ini
Create Contact,Buat Kontak
Create Event,Buat Acara
Create Milestone,Buat Milestone
Create New Milestone,Buat Milestone Baru
Create New Task,Buat Tugas Baru
Create Project,Buat Proyek
Create Task,Buat Tugas
Create tasks and milestones from a template,Buat tugas dan milestone dari templat
Create your first project to get started.,Buat proyek pertama Anda untuk memulai.
Create your first task to start tracking work on this project.,Buat tugas pertama Anda untuk mulai melacak pekerjaan di proyek ini.
Created,Dibuat
Creating...,Membuat...
Critical,Kritis
Critical Path,Jalur Kritis
"Currency used for budgets, costs, and billing rates","Mata uang yang digunakan untuk anggaran, biaya, dan tarif penagihan"
Current,Saat Ini
Current Assignments,Penugasan Saat Ini
Current scheduled time:,Waktu terjadwal saat ini:
Currently running version,Currently running version
d lag,hari jeda
Daily Availability,Ketersediaan Harian
Daily Hours,Jam Harian
Danger Zone,Zona Berbahaya
Dark,Gelap
Dashboard,Dasbor
Date,Tanggal
Date changes on this task will show cascade impact here,Perubahan tanggal pada tugas ini akan menampilkan dampak kaskade di sini
Date cleared,Tanggal dihapus
Date of Joining,Tanggal Bergabung
Date updated,Tanggal diperbarui
Dates,Tanggal
Dates cascaded,Tanggal dikaskadekan
Dates will be relative to the project's start date.,Tanggal akan relatif terhadap tanggal mulai proyek.
Day,Hari
day,hari
days,hari
Days before due date to send reminder,Hari sebelum tenggat untuk mengirim pengingat
Days Overdue,Hari Terlambat
Days Remaining,Hari Tersisa
Deadline,Tenggat
Deadlines,Tenggat
Decision,Keputusan
Decline,Tolak
Declined,Ditolak
Default Currency,Mata Uang Default
Default hours per week for contact capacity planning,Jam default per minggu untuk perencanaan kapasitas kontak
Default Priority,Prioritas Default
Default Project Status,Status Proyek Default
Default Task Status,Status Tugas Default
Default task view,Tampilan tugas default
Default Values,Nilai Default
Default Weekly Capacity,Kapasitas Mingguan Default
Defaults,Default
Defect Cost Impact,Dampak Biaya Cacat
Defect name is required,Nama cacat diperlukan
Defect Type,Tipe Cacat
Defect {0} not found,Cacat {0} tidak ditemukan
Defects,Cacat
Defects & Issues,Cacat & Masalah
Defects Resolved,Cacat Terselesaikan
Delayed,Tertunda
Delete,Hapus
Delete Activity Data,Hapus Data Aktivitas
Delete all read notifications?,Hapus semua notifikasi yang sudah dibaca?
Delete comment,Hapus komentar
Delete Contact,Hapus Kontak
Delete Event,Hapus Acara
Delete Event?,Hapus Acara?
Delete failed,Gagal menghapus
Delete file,Hapus berkas
Delete item,Hapus item
Delete note,Hapus catatan
Delete Project,Hapus Proyek
Delete Task,Hapus Tugas
Delete this project,Hapus proyek ini
Deleted,Dihapus
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Proyek ""{0}"" dihapus ({1} tugas, {2} milestone)"
Deletes notes and preferences. Source document is not affected.,Menghapus catatan dan preferensi. Dokumen sumber tidak terpengaruh.
Deleting...,Menghapus...
Department,Departemen
Dependencies,Dependensi
dependencies,dependensi
Dependencies are informational only,Dependensi hanya bersifat informasi
dependency,dependensi
Dependency already exists,Dependensi sudah ada
Dependency Chain,Rantai Dependensi
Dependency created,Dependensi dibuat
Dependency mode updated,Mode dependensi diperbarui
Dependency name is required,Nama dependensi diperlukan
Dependency task {0} not found,Tugas dependensi {0} tidak ditemukan
Dependency {0} not found,Dependensi {0} tidak ditemukan
depends,bergantung
Depends on Group,Bergantung pada Grup
Depends on task is required,Tugas yang menjadi dependensi diperlukan
depends on...,bergantung pada...
Descending -- click to reverse,Turun -- klik untuk membalik
Describe the defect in detail...,Jelaskan cacat secara detail...
Description,Deskripsi
Description updated,Deskripsi diperbarui
Designation,Jabatan
"Detailed description of the defect, location, and impact","Deskripsi detail cacat, lokasi, dan dampaknya"
Details,Detail
Discard timer,Buang pengatur waktu
Discussion,Diskusi
Dismiss,Dismiss
Display,Tampilan
Document,Dokumen
Document attached to project,Dokumen dilampirkan ke proyek
Document final decision and rationale,Dokumentasikan keputusan akhir dan alasannya
Documentation Review,Tinjauan Dokumentasi
Documents,Dokumen
Done,Selesai
Download,Unduh
Drag to create dependency,Seret untuk membuat dependensi
Dry Run,Simulasi
Dry Run Complete,Simulasi Selesai
Due Date,Tanggal Tenggat
Due date,Tanggal tenggat
Due Date (Earliest),Tanggal Tenggat (Paling Awal)
Due date cannot be before start date,Tanggal tenggat tidak boleh sebelum tanggal mulai
Due date is in the past,Tanggal tenggat sudah lewat
Due Date Reminders,Pengingat Tenggat
Due Diligence,Uji Tuntas
Due Diligence Checklist,Daftar Periksa Uji Tuntas
Due This Week,Tenggat Minggu Ini
Due:,Tenggat:
Duplicate events are not allowed,Acara duplikat tidak diizinkan
Duplicate failed,Gagal menduplikasi
Duplicate Task,Duplikasi Tugas
Duration,Durasi
Duration Summary,Ringkasan Durasi
Duration:,Durasi:
e.g. Cracked wall finish in bathroom...,contoh: Retak pada dinding kamar mandi...
"e.g. Electrical, Plumbing...","contoh: Listrik, Perpipaan..."
Edit,Edit
Edit (E),Edit (E)
Edit dependency,Edit dependensi
Edit Event,Edit Acara
Efficiency,Efisiensi
Either dependency_name or depends_on is required,dependency_name atau depends_on diperlukan
Email,Email
Email invitations to all attendees,Kirim undangan email ke semua peserta
Email is required to create portal user,Email diperlukan untuk membuat pengguna portal
Email notifications,Notifikasi email
Employee,Karyawan
Employee DocType not available,DocType Karyawan tidak tersedia
Employee not found,Karyawan tidak ditemukan
Enable or disable optional features,Aktifkan atau nonaktifkan fitur opsional
Enable Time Tracking,Aktifkan Pencatatan Waktu
End,Selesai
End Date,Tanggal Selesai
End date,Tanggal selesai
End Date cannot be before Start Date,Tanggal Selesai tidak boleh sebelum Tanggal Mulai
End date cannot be before start date,Tanggal selesai tidak boleh sebelum tanggal mulai
End date updated,Tanggal selesai diperbarui
End time was before start time. Adjusted to 1 hour after start.,Waktu selesai sebelum waktu mulai. Disesuaikan menjadi 1 jam setelah mulai.
End:,Selesai:
Enter milestone name...,Masukkan nama milestone...
Enter project name,Masukkan nama proyek
Enter task title...,Masukkan judul tugas...
Enter template name,Masukkan nama templat
Enter your note... Use @name to mention someone,Masukkan catatan Anda... Gunakan @nama untuk menyebut seseorang
Error,Kesalahan
Error loading activity,Kesalahan memuat aktivitas
Error loading contacts,Kesalahan memuat kontak
Error loading dashboard,Kesalahan memuat dasbor
Error loading project,Kesalahan memuat proyek
Error loading projects,Kesalahan memuat proyek
Error loading settings,Kesalahan memuat pengaturan
Error loading tasks,Kesalahan memuat tugas
Error loading templates,Kesalahan memuat templat
Est. Hours,Est. Jam
Estimated,Estimasi
Estimated Cost,Estimasi Biaya
Estimated Cost (€),Estimasi Biaya (€)
Estimated Hours,Estimasi Jam
Estimated:,Estimasi:
Evaluate potential risks and concerns,Evaluasi risiko dan kekhawatiran potensial
Event,Acara
Event is required for event context,Acara diperlukan untuk konteks acara
Event is required when tracking context is 'event',Acara diperlukan saat konteks pelacakan adalah 'acara'
Event Type,Tipe Acara
Events,Acara
Events not available. Please run: bench --site orga.localhost migrate,Acara tidak tersedia. Silakan jalankan: bench --site orga.localhost migrate
Events:,Acara:
Expert,Ahli
Explain why you are proposing a different time...,Jelaskan mengapa Anda mengusulkan waktu yang berbeda...
Export,Ekspor
Export failed,Gagal mengekspor
Export JSON,Ekspor JSON
Exported,Diekspor
Exported to timesheet {0},Diekspor ke lembar waktu {0}
External,Eksternal
Failed to add item,Gagal menambahkan item
Failed to add note,Gagal menambahkan catatan
Failed to add skill,Gagal menambahkan keahlian
Failed to apply cascade changes: {0},Gagal menerapkan perubahan kaskade: {0}
Failed to create defect,Gagal membuat cacat
Failed to create dependency,Gagal membuat dependensi
Failed to create event,Gagal membuat acara
Failed to create milestone,Gagal membuat milestone
Failed to create project,Gagal membuat proyek
Failed to create task,Gagal membuat tugas
Failed to create time log,Gagal membuat catatan waktu
Failed to delete,Gagal menghapus
Failed to delete comment,Gagal menghapus komentar
Failed to delete contact,Gagal menghapus kontak
Failed to load,Gagal memuat
Failed to load activity,Gagal memuat aktivitas
Failed to load assignments,Gagal memuat penugasan
Failed to load contact,Gagal memuat kontak
Failed to load dashboard data,Gagal memuat data dasbor
Failed to load defects,Gagal memuat cacat
Failed to load events,Gagal memuat acara
Failed to load project,Gagal memuat proyek
Failed to load projects,Gagal memuat proyek
Failed to load report data,Gagal memuat data laporan
Failed to load settings,Gagal memuat pengaturan
Failed to load tasks,Gagal memuat tugas
Failed to move task,Gagal memindahkan tugas
Failed to post comment,Gagal mengirim komentar
Failed to propose new time,Gagal mengusulkan waktu baru
Failed to remove item,Gagal menghapus item
Failed to remove skill,Gagal menghapus keahlian
Failed to reorder milestones: {0},Gagal mengurutkan ulang milestone: {0}
Failed to reorder tasks: {0},Gagal mengurutkan ulang tugas: {0}
Failed to reschedule dependent tasks: {0},Gagal menjadwalkan ulang tugas dependen: {0}
Failed to save,Gagal menyimpan
Failed to save preferences,Gagal menyimpan preferensi
Failed to save settings,Gagal menyimpan pengaturan
Failed to submit request. Please try again.,Gagal mengirim permintaan. Silakan coba lagi.
Failed to update item,Gagal memperbarui item
Failed to update priority,Gagal memperbarui prioritas
Failed to update task,Gagal memperbarui tugas
Failed to update tasks: {0},Gagal memperbarui tugas: {0}
Failed to upload avatar,Gagal mengunggah avatar
Feature,Fitur
Features,Fitur
FF (Finish-Finish),FF (Selesai-Selesai)
FF - Finish-to-Finish,FF - Selesai-ke-Selesai
Field has been updated,Bidang telah diperbarui
Field name is required for 'Set Field Value' action,Nama bidang diperlukan untuk tindakan 'Atur Nilai Bidang'
Field {0} is not a Link field,Bidang {0} bukan bidang Tautan
Field {0} not found in {1},Bidang {0} tidak ditemukan di {1}
file,berkas
File,Berkas
File does not belong to this task,Berkas bukan milik tugas ini
File name is required,Nama berkas diperlukan
File uploaded,Berkas diunggah
File {0} not found,Berkas {0} tidak ditemukan
files,berkas
Files,Berkas
Filter,Filter
Final Decision,Keputusan Akhir
Finance,Keuangan
Financial,Keuangan
Finish-to-Finish,Selesai-ke-Selesai
Finish-to-Start,Selesai-ke-Mulai
Flag,Tandai
Flag for attention,Tandai untuk perhatian
Flagged,Ditandai
Focus Panel,Panel Fokus
Follows your system preference. Currently:,Mengikuti preferensi sistem Anda. Saat ini:
Frappe Project {0} not found,Frappe Project {0} tidak ditemukan
Frappe Projects Migration,Migrasi Frappe Projects
Frappe Projects module not available,Modul Frappe Projects tidak tersedia
Frappe Projects module not installed,Modul Frappe Projects tidak terinstal
Frappe Projects sync is not enabled,Sinkronisasi Frappe Projects tidak diaktifkan
Frappe Task DocType not found,DocType Frappe Task tidak ditemukan
Frappe Task has no project,Frappe Task tidak memiliki proyek
Frappe Task {0} not found,Frappe Task {0} tidak ditemukan
Fri,Jum
From,Dari
From Template,Dari Templat
FS (Finish-Start),FS (Selesai-Mulai)
FS - Finish-to-Start (default),FS - Selesai-ke-Mulai (default)
Full form view with audit trail,Tampilan formulir lengkap dengan jejak audit
Full name,Nama lengkap
Gantt,Gantt
Gantt Chart,Diagram Gantt
Gantt View,Tampilan Gantt
General Note,Catatan Umum
Get started,Mulai
Go back,Kembali
Go Back,Go Back
Group by,Kelompokkan berdasarkan
Group dependency removed,Dependensi grup dihapus
Group dependency set,Dependensi grup ditetapkan
Group removed,Grup dihapus
Group updated,Grup diperbarui
Hammock task dates are auto-calculated and cannot be changed manually,Tanggal tugas hammock dihitung otomatis dan tidak dapat diubah secara manual
Have a question or need assistance? Fill out the form below and our team will get back to you.,Punya pertanyaan atau butuh bantuan? Isi formulir di bawah dan tim kami akan menghubungi Anda.
Health,Kesehatan
Healthy,Sehat
Hello {0},Halo {0}
Here's what's happening with your projects today.,Berikut yang terjadi dengan proyek Anda hari ini.
Hide,Sembunyikan
High,Tinggi
History,Riwayat
Home,Beranda
Hourly Cost,Biaya Per Jam
Hours,Jam
hours,jam
Hours Logged,Jam Tercatat
ID,ID
Image must be smaller than 5 MB,Gambar harus lebih kecil dari 5 MB
Import,Impor
Import existing projects and tasks from Frappe Projects module,Impor proyek dan tugas yang ada dari modul Frappe Projects
Import failed,Gagal mengimpor
Import Template,Impor Templat
Imported,Diimpor
in,di
In Progress,Sedang Berjalan
In Review,Dalam Tinjauan
In-app notifications,Notifikasi dalam aplikasi
Inactive,Tidak Aktif
Initial Review,Tinjauan Awal
Installed Version,Installed Version
Insufficient permissions to view all tasks,Izin tidak mencukupi untuk melihat semua tugas
Intermediate,Menengah
Internal,Internal
Invalid DocType,DocType tidak valid
Invalid DocType for import,DocType tidak valid untuk impor
Invalid item type: {0},Tipe item tidak valid: {0}
Invalid JSON data,Data JSON tidak valid
Invalid note type. Must be one of: {0},Tipe catatan tidak valid. Harus salah satu dari: {0}
Invalid project reference,Referensi proyek tidak valid
Invalid reaction type. Must be one of: {0},Tipe reaksi tidak valid. Harus salah satu dari: {0}
Invalid RSVP status,Status RSVP tidak valid
Invalid status. Must be one of: {0},Status tidak valid. Harus salah satu dari: {0}
Invalid status: {0},Status tidak valid: {0}
Invalid status: {0}. Must be one of: {1},Status tidak valid: {0}. Harus salah satu dari: {1}
Invalid tracking context: {0},Konteks pelacakan tidak valid: {0}
Invalid visibility. Must be one of: {0},Visibilitas tidak valid. Harus salah satu dari: {0}
Invitation: {0} - {1} at {2},Undangan: {0} - {1} pada {2}
Invite People,Undang Orang
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Item ditambahkan
