+ Add Milestone,+ Legg til milepael
Client,Klient
Client already has a portal user: {0},Klienten har allerede en portalbruker: {0}
Client already has portal access,Klienten har allerede portaltilgang
Client has no portal user to revoke,Klienten har ingen portalbruker a tilbakekalle
Client link removed from project {0},Klientlenke fjernet fra prosjekt {0}
Client Portal,Klientportal
Client {0} deleted successfully,Klient {0} slettet
Close,Lukk
Close (Esc),Lukk (Esc)
Comment,Kommentar
comment,kommentar
Comment added,Kommentar lagt til
Comment content is required,Kommentarinnhold er pakrevd
Comment name is required,Kommentarnavn er pakrevd
Comment not found,Kommentar ikke funnet
Comment removed,Kommentar fjernet
Comment {0} not found in task,Kommentar {0} ikke funnet i oppgaven
Comments,Kommentarer
comments,kommentarer
Community Edition,Community Edition
Company,Selskap
Company name...,Selskapsnavn...
Complete,Fullfore
Completed,Fullfort
completed,fullfort
Completed Tasks,Fulforte oppgaver
Compliance,Etterlevelse
Configure default values for new projects and tasks,Konfigurer standardverdier for nye prosjekter og oppgaver
Configure email notification settings,Konfigurer innstillinger for e-postvarsler
Confirm,Bekreft
Contact deleted,Kontakt slettet
Contact Details,Kontaktdetaljer
Contact Information,Kontaktinformasjon
Contact name is required,Kontaktnavn er pakrevd
Contact Support,Kontakt support
Contact your project manager for more information.,Kontakt prosjektlederen for mer informasjon.
Contact:,Kontakt:
Contacts,Kontakter
Context,Kontekst
Contractor,Entreprenor
Cost estimate cannot be negative,Kostnadsestimat kan ikke vaere negativt
Cost Impact,Kostnadspåvirkning
Cost Summary,Kostnadsoversikt
Could not apply the template. Please try again.,Kunne ikke bruke malen. Forsok igjen.
Could not attach file to project,Kunne ikke legge ved fil til prosjektet
Could not change task priority,Kunne ikke endre oppgaveprioritet
Could not change task status,Kunne ikke endre oppgavestatus
Could not delete the project. Please try again.,Kunne ikke slette prosjektet. Forsok igjen.
Could not delete the task. Please try again.,Kunne ikke slette oppgaven. Forsok igjen.
Could not delete the template.,Kunne ikke slette malen.
Could not duplicate the task. Please try again.,Kunne ikke kopiere oppgaven. Forsok igjen.
Could not export the template.,Kunne ikke eksportere malen.
Could not import the template. Please check the file format.,Kunne ikke importere malen. Sjekk filformatet.
Could not link task to milestone,Kunne ikke lenke oppgaven til milepael
Could not load document details.,Kunne ikke laste dokumentdetaljer.
Could not load task details,Kunne ikke laste oppgavedetaljer
Could not promote checklist item to task.,Kunne ikke forfremme sjekklistepunkt til oppgave.
Could not remove task from milestone,Kunne ikke fjerne oppgaven fra milepael
Could not save budget.,Kunne ikke lagre budsjett.
Could not save changes to the milestone,Kunne ikke lagre endringer i milepelen
Could not save changes to the task,Kunne ikke lagre endringer i oppgaven
Could not save description.,Kunne ikke lagre beskrivelse.
Could not save end date.,Kunne ikke lagre sluttdato.
Could not save milestone name.,Kunne ikke lagre milepaelnavn.
Could not save start date.,Kunne ikke lagre startdato.
Could not save the template. Please try again.,Kunne ikke lagre malen. Forsok igjen.
Could not save title.,Kunne ikke lagre tittel.
Could not update dependency mode.,Kunne ikke oppdatere avhengighetsmodus.
Could not update milestone date,Kunne ikke oppdatere milepael-dato
Could not update project status.,Kunne ikke oppdatere prosjektstatus.
Could not update project type.,Kunne ikke oppdatere prosjekttype.
Could not update setting.,Kunne ikke oppdatere innstilling.
Could not update task dates,Kunne ikke oppdatere oppgavedatoer
Could not update task status,Kunne ikke oppdatere oppgavestatus
Could not update the template.,Kunne ikke oppdatere malen.
Create a copy of this task,Opprett en kopi av denne oppgaven
Create Contact,Opprett kontakt
Create Event,Opprett arrangement
Create Milestone,Opprett milepael
Create New Milestone,Opprett ny milepael
Create New Task,Opprett ny oppgave
Create Project,Opprett prosjekt
Create Task,Opprett oppgave
Create tasks and milestones from a template,Opprett oppgaver og milepaeler fra en mal
Create your first project to get started.,Opprett ditt forste prosjekt for a komme i gang.
Create your first task to start tracking work on this project.,Opprett din forste oppgave for a begynne a folge arbeidet i dette prosjektet.
Created,Opprettet
Creating...,Oppretter...
Critical,Kritisk
Critical Path,Kritisk vei
"Currency used for budgets, costs, and billing rates","Valuta brukt for budsjeтter, kostnader og faktureringssatser"
Current,Gjeldende
Current Assignments,Gjeldende tildelinger
Current scheduled time:,Gjeldende planlagt tid:
Currently running version,Currently running version
d lag,d forsinkelse
Daily Availability,Daglig tilgjengelighet
Daily Hours,Daglige timer
Danger Zone,Faresone
Dark,Mork
Dashboard,Oversiktspanel
Date,Dato
Date changes on this task will show cascade impact here,Datoendringer pa denne oppgaven viser kaskadeeffekt her
Date cleared,Dato fjernet
Date of Joining,Ansettelsesdato
Date updated,Dato oppdatert
Dates,Datoer
Dates cascaded,Datoer kaskadert
Dates will be relative to the project's start date.,Datoer vil vaere relative til prosjektets startdato.
Day,Dag
day,dag
days,dager
Days before due date to send reminder,Dager for forfallsdato for a sende paminnelse
Days Overdue,Dager forsinket
Days Remaining,Dager igjen
Deadline,Frist
Deadlines,Frister
Decision,Beslutning
Decline,Avslа
Declined,Avslatt
Default Currency,Standardvaluta
Default hours per week for contact capacity planning,Standardtimer per uke for kontaktkapasitetsplanlegging
Default Priority,Standardprioritet
Default Project Status,Standard prosjektstatus
Default Task Status,Standard oppgavestatus
Default task view,Standardvisning for oppgaver
Default Values,Standardverdier
Default Weekly Capacity,Standard ukekapasitet
Defaults,Standardverdier
Defect Cost Impact,Feilens kostnadspåvirkning
Defect name is required,Feilnavn er pakrevd
Defect Type,Feiltype
Defect {0} not found,Feil {0} ikke funnet
Defects,Feil
Defects & Issues,Feil og problemer
Defects Resolved,Feil utbedret
Delayed,Forsinket
Delete,Slett
Delete Activity Data,Slett aktivitetsdata
Delete all read notifications?,Slette alle leste varsler?
Delete comment,Slett kommentar
Delete Contact,Slett kontakt
Delete Event,Slett arrangement
Delete Event?,Slette arrangement?
Delete failed,Sletting mislyktes
Delete file,Slett fil
Delete item,Slett element
Delete note,Slett notat
Delete Project,Slett prosjekt
Delete Task,Slett oppgave
Delete this project,Slett dette prosjektet
Deleted,Slettet
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Prosjekt ""{0}"" slettet ({1} oppgaver, {2} milepaeler)"
Deletes notes and preferences. Source document is not affected.,Sletter notater og innstillinger. Kildedokumentet pavirkes ikke.
Deleting...,Sletter...
Department,Avdeling
Dependencies,Avhengigheter
dependencies,avhengigheter
Dependencies are informational only,Avhengigheter er kun informative
dependency,avhengighet
Dependency already exists,Avhengighet finnes allerede
Dependency Chain,Avhengighetskjede
Dependency created,Avhengighet opprettet
Dependency mode updated,Avhengighetsmodus oppdatert
Dependency name is required,Avhengighetsnavn er pakrevd
Dependency task {0} not found,Avhengighetsoppgave {0} ikke funnet
Dependency {0} not found,Avhengighet {0} ikke funnet
depends,avhenger
Depends on Group,Avhenger av gruppe
Depends on task is required,Avhengighetsoppgave er pakrevd
depends on...,avhenger av...
Descending -- click to reverse,Synkende -- klikk for a snu
Describe the defect in detail...,Beskriv feilen i detalj...
Description,Beskrivelse
Description updated,Beskrivelse oppdatert
Designation,Stilling
"Detailed description of the defect, location, and impact","Detaljert beskrivelse av feilen, plassering og påvirkning"
Details,Detaljer
Discard timer,Forkast tidtaker
Discussion,Diskusjon
Dismiss,Dismiss
Display,Visning
Document,Dokument
Document attached to project,Dokument lagt ved prosjektet
Document final decision and rationale,Dokumenter endelig beslutning og begrunnelse
Documentation Review,Dokumentasjonsgjennomgang
Documents,Dokumenter
Done,Ferdig
Download,Last ned
Drag to create dependency,Dra for a opprette avhengighet
Dry Run,Testkjoring
Dry Run Complete,Testkjoring fullfort
Due Date,Forfallsdato
Due date,Forfallsdato
Due Date (Earliest),Forfallsdato (tidligst)
Due date cannot be before start date,Forfallsdato kan ikke vaere for startdato
Due date is in the past,Forfallsdatoen er passert
Due Date Reminders,Paminnelser om forfallsdato
Due Diligence,Forhandsvurdering
Due Diligence Checklist,Sjekkliste for forhandsvurdering
Due This Week,Forfaller denne uken
Due:,Forfaller:
Duplicate events are not allowed,Dupliserte arrangementer er ikke tillatt
Duplicate failed,Kopiering mislyktes
Duplicate Task,Kopier oppgave
Duration,Varighet
Duration Summary,Varighetsoversikt
Duration:,Varighet:
e.g. Cracked wall finish in bathroom...,f.eks. Sprukket veggoverflate pa bad...
"e.g. Electrical, Plumbing...","f.eks. Elektrisk, Ror..."
Edit,Rediger
Edit (E),Rediger (E)
Edit dependency,Rediger avhengighet
Edit Event,Rediger arrangement
Efficiency,Effektivitet
Either dependency_name or depends_on is required,Enten dependency_name eller depends_on er pakrevd
Email,E-post
Email invitations to all attendees,E-postinvitasjoner til alle deltakere
Email is required to create portal user,E-post er pakrevd for a opprette portalbruker
Email notifications,E-postvarsler
Employee,Ansatt
Employee DocType not available,Ansatt DocType ikke tilgjengelig
Employee not found,Ansatt ikke funnet
Enable or disable optional features,Aktiver eller deaktiver valgfrie funksjoner
Enable Time Tracking,Aktiver tidsregistrering
End,Slutt
End Date,Sluttdato
End date,Sluttdato
End Date cannot be before Start Date,Sluttdato kan ikke vaere for startdato
End date cannot be before start date,Sluttdato kan ikke vaere for startdato
End date updated,Sluttdato oppdatert
End time was before start time. Adjusted to 1 hour after start.,Sluttidspunktet var for starttidspunktet. Justert til 1 time etter start.
End:,Slutt:
Enter milestone name...,Skriv inn milepaelnavn...
Enter project name,Skriv inn prosjektnavn
Enter task title...,Skriv inn oppgavetittel...
Enter template name,Skriv inn malnavn
Enter your note... Use @name to mention someone,Skriv notatet ditt... Bruk @navn for a nevne noen
Error,Feil
Error loading activity,Feil ved lasting av aktivitet
Error loading contacts,Feil ved lasting av kontakter
Error loading dashboard,Feil ved lasting av oversiktspanelet
Error loading project,Feil ved lasting av prosjekt
Error loading projects,Feil ved lasting av prosjekter
Error loading settings,Feil ved lasting av innstillinger
Error loading tasks,Feil ved lasting av oppgaver
Error loading templates,Feil ved lasting av maler
Est. Hours,Est. timer
Estimated,Estimert
Estimated Cost,Estimert kostnad
Estimated Cost (€),Estimert kostnad (€)
Estimated Hours,Estimerte timer
Estimated:,Estimert:
Evaluate potential risks and concerns,Vurder potensielle risikoer og bekymringer
Event,Arrangement
Event is required for event context,Arrangement er pakrevd for arrangementskontekst
Event is required when tracking context is 'event',"Arrangement er pakrevd nar oppfolgingskonteksten er ""arrangement"""
Event Type,Arrangementstype
Events,Arrangementer
Events not available. Please run: bench --site orga.localhost migrate,Arrangementer ikke tilgjengelige. Kjor: bench --site orga.localhost migrate
Events:,Arrangementer:
Expert,Ekspert
Explain why you are proposing a different time...,Forklar hvorfor du foreslar et annet tidspunkt...
Export,Eksporter
Export failed,Eksport mislyktes
Export JSON,Eksporter JSON
Exported,Eksportert
Exported to timesheet {0},Eksportert til timeliste {0}
External,Ekstern
Failed to add item,Kunne ikke legge til element
Failed to add note,Kunne ikke legge til notat
Failed to add skill,Kunne ikke legge til kompetanse
Failed to apply cascade changes: {0},Kunne ikke bruke kaskadeendringer: {0}
Failed to create defect,Kunne ikke opprette feil
Failed to create dependency,Kunne ikke opprette avhengighet
Failed to create event,Kunne ikke opprette arrangement
Failed to create milestone,Kunne ikke opprette milepael
Failed to create project,Kunne ikke opprette prosjekt
Failed to create task,Kunne ikke opprette oppgave
Failed to create time log,Kunne ikke opprette tidsoppforing
Failed to delete,Kunne ikke slette
Failed to delete comment,Kunne ikke slette kommentar
Failed to delete contact,Kunne ikke slette kontakt
Failed to load,Kunne ikke laste
Failed to load activity,Kunne ikke laste aktivitet
Failed to load assignments,Kunne ikke laste tildelinger
Failed to load contact,Kunne ikke laste kontakt
Failed to load dashboard data,Kunne ikke laste oversiktspaneldata
Failed to load defects,Kunne ikke laste feil
Failed to load events,Kunne ikke laste arrangementer
Failed to load project,Kunne ikke laste prosjekt
Failed to load projects,Kunne ikke laste prosjekter
Failed to load report data,Kunne ikke laste rapportdata
Failed to load settings,Kunne ikke laste innstillinger
Failed to load tasks,Kunne ikke laste oppgaver
Failed to move task,Kunne ikke flytte oppgave
Failed to post comment,Kunne ikke publisere kommentar
Failed to propose new time,Kunne ikke foreslа nytt tidspunkt
Failed to remove item,Kunne ikke fjerne element
Failed to remove skill,Kunne ikke fjerne kompetanse
Failed to reorder milestones: {0},Kunne ikke omorganisere milepaeler: {0}
Failed to reorder tasks: {0},Kunne ikke omorganisere oppgaver: {0}
Failed to reschedule dependent tasks: {0},Kunne ikke omplanlegge avhengige oppgaver: {0}
Failed to save,Kunne ikke lagre
Failed to save preferences,Kunne ikke lagre innstillinger
Failed to save settings,Kunne ikke lagre innstillinger
Failed to submit request. Please try again.,Kunne ikke sende foresporselen. Forsok igjen.
Failed to update item,Kunne ikke oppdatere element
Failed to update priority,Kunne ikke oppdatere prioritet
Failed to update task,Kunne ikke oppdatere oppgave
Failed to update tasks: {0},Kunne ikke oppdatere oppgaver: {0}
Failed to upload avatar,Kunne ikke laste opp profilbilde
Feature,Funksjon
Features,Funksjoner
FF (Finish-Finish),FF (Slutt-Slutt)
FF - Finish-to-Finish,FF - Slutt-til-Slutt
Field has been updated,Feltet er oppdatert
Field name is required for 'Set Field Value' action,"Feltnavn er pakrevd for handlingen ""Angi feltverdi"""
Field {0} is not a Link field,Felt {0} er ikke et lenkefelt
Field {0} not found in {1},Felt {0} ikke funnet i {1}
File,Fil
file,fil
File does not belong to this task,Filen tilhorer ikke denne oppgaven
File name is required,Filnavn er pakrevd
File uploaded,Fil lastet opp
File {0} not found,Fil {0} ikke funnet
Files,Filer
files,filer
Filter,Filter
Final Decision,Endelig beslutning
Finance,Okonomi
Financial,Okonomisk
Finish-to-Finish,Slutt-til-Slutt
Finish-to-Start,Slutt-til-Start
Flag,Flagg
Flag for attention,Flagg for oppmerksomhet
Flagged,Flagget
Focus Panel,Fokuspanel
Follows your system preference. Currently:,Folger systeminnstillingen din. For tiden:
Frappe Project {0} not found,Frappe-prosjekt {0} ikke funnet
Frappe Projects Migration,Frappe Projects-migrering
Frappe Projects module not available,Frappe Projects-modulen er ikke tilgjengelig
Frappe Projects module not installed,Frappe Projects-modulen er ikke installert
Frappe Projects sync is not enabled,Frappe Projects-synkronisering er ikke aktivert
Frappe Task DocType not found,Frappe Task DocType ikke funnet
Frappe Task has no project,Frappe-oppgaven har ikke noe prosjekt
Frappe Task {0} not found,Frappe-oppgave {0} ikke funnet
Fri,Fre
From,Fra
From Template,Fra mal
FS (Finish-Start),FS (Slutt-Start)
FS - Finish-to-Start (default),FS - Slutt-til-Start (standard)
Full form view with audit trail,Fullstendig skjemavisning med endringslogg
Full name,Fullt navn
Gantt,Gantt
Gantt Chart,Gantt-diagram
Gantt View,Gantt-visning
General Note,Generelt notat
Get started,Kom i gang
Go back,Ga tilbake
Go Back,Go Back
Group by,Grupper etter
Group dependency removed,Gruppeavhengighet fjernet
Group dependency set,Gruppeavhengighet angitt
Group removed,Gruppe fjernet
Group updated,Gruppe oppdatert
Hammock task dates are auto-calculated and cannot be changed manually,Hengematte-oppgavedatoer beregnes automatisk og kan ikke endres manuelt
Have a question or need assistance? Fill out the form below and our team will get back to you.,"Har du et sporsmаl eller trenger hjelp? Fyll ut skjemaet nedenfor, sa tar vi kontakt."
Health,Helse
Healthy,Sunn
Hello {0},Hei {0}
Here's what's happening with your projects today.,Her er hva som skjer med prosjektene dine i dag.
Hide,Skjul
High,Hoy
History,Historikk
Home,Hjem
Hourly Cost,Timekostnad
Hours,Timer
hours,timer
Hours Logged,Registrerte timer
ID,ID
Image must be smaller than 5 MB,Bildet ma vaere mindre enn 5 MB
Import,Importer
Import existing projects and tasks from Frappe Projects module,Importer eksisterende prosjekter og oppgaver fra Frappe Projects-modulen
Import failed,Import mislyktes
Import Template,Importer mal
Imported,Importert
in,i
In Progress,Under arbeid
In Review,Under gjennomgang
In-app notifications,Varsler i appen
Inactive,Inaktiv
Initial Review,Innledende gjennomgang
Installed Version,Installed Version
Insufficient permissions to view all tasks,Utilstrekkelige tillatelser for a vise alle oppgaver
Intermediate,Mellomniva
Internal,Intern
Invalid DocType,Ugyldig DocType
Invalid DocType for import,Ugyldig DocType for import
Invalid item type: {0},Ugyldig elementtype: {0}
Invalid JSON data,Ugyldige JSON-data
Invalid note type. Must be one of: {0},Ugyldig notattype. Ma vaere en av: {0}
Invalid project reference,Ugyldig prosjektreferanse
Invalid reaction type. Must be one of: {0},Ugyldig reaksjonstype. Ma vaere en av: {0}
Invalid RSVP status,Ugyldig RSVP-status
Invalid status. Must be one of: {0},Ugyldig status. Ma vaere en av: {0}
Invalid status: {0},Ugyldig status: {0}
Invalid status: {0}. Must be one of: {1},Ugyldig status: {0}. Ma vaere en av: {1}
Invalid tracking context: {0},Ugyldig oppfolgingskontekst: {0}
Invalid visibility. Must be one of: {0},Ugyldig synlighet. Ma vaere en av: {0}
Invitation: {0} - {1} at {2},Invitasjon: {0} - {1} kl. {2}
Invite People,Inviter personer
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element lagt til
Item ID is required,Element-ID er pakrevd
Item removed,Element fjernet
Item type is required,Elementtype er pakrevd
Item {0} not found,Element {0} ikke funnet
Job title or role,Stillingstittel eller rolle
Join Meeting,Bli med i mote
Just now,Akkurat na
just now,akkurat na
Kanban,Kanban
Kanban Board,Kanban-tavle
Kanban View,Kanban-visning
Keyboard Shortcuts,Tastatursnarveier
Keyboard shortcuts (?),Tastatursnarveier (?)
Last checked: {0},Last checked: {0}
Last Updated,Sist oppdatert
