+ Add Milestone,+ Mijlpaal toevoegen
Adding this dependency would create a circular reference: {0},Het toevoegen van deze afhankelijkheid zou een kringverwijzing veroorzaken: {0}
Adding...,Toevoegen...
Address,Adres
Advanced,Geavanceerd
All,Alle
All Active,Alle actieve
All Assignees,Alle toegewezenen
All Categories,Alle categorieën
All caught up!,Alles bijgewerkt!
All Contexts,Alle contexten
All day,Hele dag
All day event,Evenement voor de hele dag
All fields,Alle velden
All Priorities,Alle prioriteiten
All Projects,Alle projecten
All Status,Alle statussen
All Statuses,Alle statussen
All task dependencies & relative dates,Alle taakafhankelijkheden en relatieve datums
All Tasks,Alle taken
All tasks across all projects.,Alle taken van alle projecten.
All tasks are already linked,Alle taken zijn al gekoppeld
All team members,Alle teamleden
All Types,Alle typen
All Users,Alle gebruikers
Allocated,Toegewezen
allocated,toegewezen
Allow users to log time against tasks,Gebruikers toestaan tijd te registreren voor taken
Already exported to timesheet {0},Al geëxporteerd naar urenstaat {0}
Already Migrated,Al gemigreerd
Anyone with access,Iedereen met toegang
anytime to show this help,op elk moment om deze hulp te tonen
App Updates,App Updates
Appearance,Weergave
Apply,Toepassen
Apply cascade?,Doorwerking toepassen?
Apply Changes,Wijzigingen toepassen
Apply failed,Toepassing mislukt
Apply Template,Sjabloon toepassen
Applying...,Toepassen...
Appointment,Afspraak
Appointment and resource are required,Afspraak en contactpersoon zijn vereist
Appointment name is required,De naam van de afspraak is vereist
Appointment not found,Afspraak niet gevonden
Appointment {0} not found,Afspraak {0} niet gevonden
Apps,Apps
Archive,Archiveren
Archive Activity,Activiteit archiveren
Archived,Gearchiveerd
Are you sure you want to delete this activity data? This cannot be undone.,Weet u zeker dat u deze activiteitsgegevens wilt verwijderen? Dit kan niet ongedaan worden gemaakt.
Are you sure you want to delete this comment?,Weet u zeker dat u deze opmerking wilt verwijderen?
Are you sure you want to delete this project?,Weet u zeker dat u dit project wilt verwijderen?
Are you sure?,Weet u het zeker?
Ascending -- click to reverse,Oplopend -- klik om om te keren
Assign To,Toewijzen aan
Assign to Me,Aan mij toewijzen
Assigned Contact,Toegewezen contact
Assigned To,Toegewezen aan
Assigned to,Toegewezen aan
Assigned to Me,Aan mij toegewezen
Assignee,Toegewezene
Assignment,Toewijzing
Assignment History,Toewijzingsgeschiedenis
Assignment name is required,De naam van de toewijzing is vereist
Assignment {0} not found,Toewijzing {0} niet gevonden
Assignments,Toewijzingen
At least one action is required,Er is minimaal één actie vereist
At least one event is required,Er is minimaal één evenement vereist
At least one event must be selected,Er moet minimaal één evenement worden geselecteerd
Attachment,Bijlage
Attachments,Bijlagen
Attendees,Deelnemers
"Audit trail, assignments, version history","Auditspoor, toewijzingen, versiegeschiedenis"
Auto,Automatisch
Auto Calculate Progress,Voortgang automatisch berekenen
Auto Set Missed Milestones,Gemiste mijlpalen automatisch markeren
Auto-shift dependents when dates change,Afhankelijke taken automatisch verschuiven bij datumwijzigingen
Auto-Trail Start,Automatisch opschuiven bij start
Auto-Trail updated,Automatisch opschuiven bijgewerkt
Automatically calculate project progress from task completion,Projectvoortgang automatisch berekenen op basis van taakvoltooiing
Automatically mark milestones as missed when overdue,Mijlpalen automatisch als gemist markeren wanneer ze verlopen zijn
Automation rule {0} not found,Automatiseringsregel {0} niet gevonden
Automation: {0},Automatisering: {0}
Availability,Beschikbaarheid
Available,Beschikbaar
Avatar updated successfully,Avatar succesvol bijgewerkt
Avg Progress,Gemiddelde voortgang
Back,Terug
Back to Portal,Terug naar portaal
Back to Projects,Terug naar projecten
Beginner,Beginner
Best regards,Met vriendelijke groet
Billable,Factureerbaar
Billable Amount,Factureerbaar bedrag
Billable Hours,Factureerbare uren
Billable Rate,Factureerbaar tarief
Billing Rate,Factureringstarief
Blocked,Geblokkeerd
Both dates are needed to display task as a bar in Gantt chart,Beide datums zijn nodig om de taak als balk in het Gantt-diagram weer te geven
Both doctype and docname are required,Zowel doctype als docname zijn vereist
Both proposed start and end times are required,Zowel de voorgestelde start- als eindtijd zijn vereist
Both task_name and depends_on are required,Zowel task_name als depends_on zijn vereist
Breadcrumb,Kruimelpad
Brief description of the defect or damage,Korte beschrijving van het gebrek of de schade
Brief description of this template,Korte beschrijving van dit sjabloon
Brief description of your request,Korte beschrijving van uw verzoek
Brief project description,Korte projectbeschrijving
Budget,Budget
Budget at risk,Budget in gevaar
Budget Burn Rate,Budgetverbruikstempo
Budget Status,Budgetstatus
Budget updated,Budget bijgewerkt
Budget:,Budget:
Bug,Fout
Burn Rate,Verbruikstempo
Busy,Bezet
By,Door
By Assignee,Op toegewezene
By Group,Op groep
By Milestone,Op mijlpaal
By Priority,Op prioriteit
By Status,Op status
Cancel,Annuleren
Cancelled,Geannuleerd
cannot be undone,kan niet ongedaan worden gemaakt
Cannot delete client with {0} linked projects. Unlink projects first.,Kan klant niet verwijderen met {0} gekoppelde projecten. Ontkoppel eerst de projecten.
Cannot delete project with {0} linked tasks. Delete tasks first.,Kan project niet verwijderen met {0} gekoppelde taken. Verwijder eerst de taken.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Kan contactpersoon niet verwijderen met {0} actieve toewijzingen. Voltooi of annuleer deze eerst.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kan taak niet verwijderen met {0} deeltaken. Verwijder eerst de deeltaken.
Capacity,Capaciteit
capacity,capaciteit
Capacity & Rates,Capaciteit en tarieven
Capture project structure for reuse,Projectstructuur vastleggen voor hergebruik
Cascade,Doorwerking
Cascade Preview,Doorwerkingsvoorbeeld
Category,Categorie
Celebrate,Vieren
Change,Wijzigen
Change History,Wijzigingsgeschiedenis
Change Priority,Prioriteit wijzigen
Change Status,Status wijzigen
Changes,Wijzigingen
Changes appear when fields are modified.,Wijzigingen verschijnen wanneer velden worden aangepast.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Controlelijst
Checklist item name is required,De naam van het controlelijstitem is vereist
Checklist item not found,Controlelijstitem niet gevonden
Checklist item title is required,De titel van het controlelijstitem is vereist
Checklist item {0} not found,Controlelijstitem {0} niet gevonden
Checklist item {0} not found in task,Controlelijstitem {0} niet gevonden in taak
Child,Onderliggend
Choose file to upload,Kies een bestand om te uploaden
Circular dependency detected: {0},Kringafhankelijkheid gedetecteerd: {0}
Circular parent-child relationship detected,Circulaire ouder-kind-relatie gedetecteerd
Clear,Wissen
Clear all read,Alle gelezen wissen
Clear date,Datum wissen
Click on an activity from the list to view and manage its details.,Klik op een activiteit in de lijst om de details te bekijken en te beheren.
Click the avatar to upload a new photo,Klik op de avatar om een nieuwe foto te uploaden
Click to add description...,Klik om een beschrijving toe te voegen...
Click to add notes...,Klik om notities toe te voegen...
Click to assign contact,Klik om contact toe te wijzen
Click to change status,Klik om status te wijzigen
Click to change type,Klik om type te wijzigen
Click to edit,Klik om te bewerken
Click to edit budget,Klik om budget te bewerken
Click to edit description,Klik om beschrijving te bewerken
Click to edit end date,Klik om einddatum te bewerken
Click to edit milestone name,Klik om mijlpaalnaam te bewerken
Click to edit rate,Klik om tarief te bewerken
Click to edit start date,Klik om startdatum te bewerken
Click to edit title,Klik om titel te bewerken
Click to load,Klik om te laden
Click to set group dependency...,Klik om groepsafhankelijkheid in te stellen...
Click to set group...,Klik om groep in te stellen...
Click to view,Klik om te bekijken
Click to view at-risk projects,Klik om risicovolle projecten te bekijken
Click to view critical projects,Klik om kritieke projecten te bekijken
Click to view healthy projects,Klik om gezonde projecten te bekijken
Client,Klant
Client already has a portal user: {0},Klant heeft al een portaalgebruiker: {0}
Client already has portal access,Klant heeft al portaaltoegang
Client has no portal user to revoke,Klant heeft geen portaalgebruiker om in te trekken
Client link removed from project {0},Klantlink verwijderd uit project {0}
Client Portal,Klantenportaal
Client {0} deleted successfully,Klant {0} succesvol verwijderd
Close,Sluiten
Close (Esc),Sluiten (Esc)
Comment,Opmerking
comment,opmerking
Comment added,Opmerking toegevoegd
Comment content is required,De inhoud van de opmerking is vereist
Comment name is required,De naam van de opmerking is vereist
Comment not found,Opmerking niet gevonden
Comment removed,Opmerking verwijderd
Comment {0} not found in task,Opmerking {0} niet gevonden in taak
Comments,Opmerkingen
comments,opmerkingen
Community Edition,Community Edition
Company,Bedrijf
Company name...,Bedrijfsnaam...
Complete,Voltooien
Completed,Voltooid
completed,voltooid
Completed Tasks,Voltooide taken
Compliance,Naleving
Configure default values for new projects and tasks,Standaardwaarden instellen voor nieuwe projecten en taken
Configure email notification settings,E-mailmeldingsinstellingen configureren
Confirm,Bevestigen
Contact deleted,Contact verwijderd
Contact Details,Contactgegevens
Contact Information,Contactinformatie
Contact name is required,De naam van het contact is vereist
Contact Support,Contact opnemen met support
Contact your project manager for more information.,Neem contact op met uw projectmanager voor meer informatie.
Contact:,Contact:
Contacts,Contacten
Context,Context
Contractor,Aannemer
Cost estimate cannot be negative,Kostenraming mag niet negatief zijn
Cost Impact,Kostenimpact
Cost Summary,Kostenoverzicht
Could not apply the template. Please try again.,Kon het sjabloon niet toepassen. Probeer het opnieuw.
Could not attach file to project,Kon bestand niet aan project koppelen
Could not change task priority,Kon taakprioriteit niet wijzigen
Could not change task status,Kon taakstatus niet wijzigen
Could not delete the project. Please try again.,Kon het project niet verwijderen. Probeer het opnieuw.
Could not delete the task. Please try again.,Kon de taak niet verwijderen. Probeer het opnieuw.
Could not delete the template.,Kon het sjabloon niet verwijderen.
Could not duplicate the task. Please try again.,Kon de taak niet dupliceren. Probeer het opnieuw.
Could not export the template.,Kon het sjabloon niet exporteren.
Could not import the template. Please check the file format.,Kon het sjabloon niet importeren. Controleer het bestandsformaat.
Could not link task to milestone,Kon taak niet aan mijlpaal koppelen
Could not load document details.,Kon documentgegevens niet laden.
Could not load task details,Kon taakgegevens niet laden
Could not promote checklist item to task.,Kon controlelijstitem niet promoveren tot taak.
Could not remove task from milestone,Kon taak niet van mijlpaal verwijderen
Could not save budget.,Kon budget niet opslaan.
Could not save changes to the milestone,Kon wijzigingen aan de mijlpaal niet opslaan
Could not save changes to the task,Kon wijzigingen aan de taak niet opslaan
Could not save description.,Kon beschrijving niet opslaan.
Could not save end date.,Kon einddatum niet opslaan.
Could not save milestone name.,Kon mijlpaalnaam niet opslaan.
Could not save start date.,Kon startdatum niet opslaan.
Could not save the template. Please try again.,Kon het sjabloon niet opslaan. Probeer het opnieuw.
Could not save title.,Kon titel niet opslaan.
Could not update dependency mode.,Kon afhankelijkheidsmodus niet bijwerken.
Could not update milestone date,Kon mijlpaaldatum niet bijwerken
Could not update project status.,Kon projectstatus niet bijwerken.
Could not update project type.,Kon projecttype niet bijwerken.
Could not update setting.,Kon instelling niet bijwerken.
Could not update task dates,Kon taakdatums niet bijwerken
Could not update task status,Kon taakstatus niet bijwerken
Could not update the template.,Kon het sjabloon niet bijwerken.
Create a copy of this task,Een kopie van deze taak maken
Create Contact,Contact aanmaken
Create Event,Evenement aanmaken
Create Milestone,Mijlpaal aanmaken
Create New Milestone,Nieuwe mijlpaal aanmaken
Create New Task,Nieuwe taak aanmaken
Create Project,Project aanmaken
Create Task,Taak aanmaken
Create tasks and milestones from a template,Taken en mijlpalen aanmaken vanuit een sjabloon
Create your first project to get started.,Maak uw eerste project aan om te beginnen.
Create your first task to start tracking work on this project.,Maak uw eerste taak aan om het werk aan dit project bij te houden.
Created,Aangemaakt
Creating...,Aanmaken...
Critical,Kritiek
Critical Path,Kritiek pad
"Currency used for budgets, costs, and billing rates","Valuta gebruikt voor budgetten, kosten en factureringsstarieven"
Current,Huidig
Current Assignments,Huidige toewijzingen
Current scheduled time:,Huidig geplande tijd:
Currently running version,Currently running version
d lag,d vertraging
Daily Availability,Dagelijkse beschikbaarheid
Daily Hours,Dagelijkse uren
Danger Zone,Gevarenzone
Dark,Donker
Dashboard,Dashboard
Date,Datum
Date changes on this task will show cascade impact here,Datumwijzigingen op deze taak tonen de doorwerking hier
Date cleared,Datum gewist
Date of Joining,Datum van indiensttreding
Date updated,Datum bijgewerkt
Dates,Datums
Dates cascaded,Datums doorgewerkt
Dates will be relative to the project's start date.,Datums zijn relatief ten opzichte van de startdatum van het project.
Day,Dag
day,dag
days,dagen
Days before due date to send reminder,Dagen voor de einddatum om herinnering te sturen
Days Overdue,Dagen te laat
Days Remaining,Resterende dagen
Deadline,Deadline
Deadlines,Deadlines
Decision,Besluit
Decline,Weigeren
Declined,Geweigerd
Default Currency,Standaardvaluta
Default hours per week for contact capacity planning,Standaard uren per week voor capaciteitsplanning van contacten
Default Priority,Standaardprioriteit
Default Project Status,Standaard projectstatus
Default Task Status,Standaard taakstatus
Default task view,Standaard taakweergave
Default Values,Standaardwaarden
Default Weekly Capacity,Standaard wekelijkse capaciteit
Defaults,Standaardwaarden
Defect Cost Impact,Kostenimpact van het gebrek
Defect name is required,De naam van het gebrek is vereist
Defect Type,Type gebrek
Defect {0} not found,Gebrek {0} niet gevonden
Defects,Gebreken
Defects & Issues,Gebreken en problemen
Defects Resolved,Gebreken opgelost
Delayed,Vertraagd
Delete,Verwijderen
Delete Activity Data,Activiteitsgegevens verwijderen
Delete all read notifications?,Alle gelezen meldingen verwijderen?
Delete comment,Opmerking verwijderen
Delete Contact,Contact verwijderen
Delete Event,Evenement verwijderen
Delete Event?,Evenement verwijderen?
Delete failed,Verwijdering mislukt
Delete file,Bestand verwijderen
Delete item,Item verwijderen
Delete note,Notitie verwijderen
Delete Project,Project verwijderen
Delete Task,Taak verwijderen
Delete this project,Dit project verwijderen
Deleted,Verwijderd
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Project ""{0}"" verwijderd ({1} taken, {2} mijlpalen)"
Deletes notes and preferences. Source document is not affected.,Verwijdert notities en voorkeuren. Het brondocument wordt niet beïnvloed.
Deleting...,Verwijderen...
Department,Afdeling
Dependencies,Afhankelijkheden
dependencies,afhankelijkheden
Dependencies are informational only,Afhankelijkheden zijn alleen informatief
dependency,afhankelijkheid
Dependency already exists,Afhankelijkheid bestaat al
Dependency Chain,Afhankelijkheidsketen
Dependency created,Afhankelijkheid aangemaakt
Dependency mode updated,Afhankelijkheidsmodus bijgewerkt
Dependency name is required,De naam van de afhankelijkheid is vereist
Dependency task {0} not found,Afhankelijkheidstaak {0} niet gevonden
Dependency {0} not found,Afhankelijkheid {0} niet gevonden
depends,is afhankelijk
Depends on Group,Afhankelijk van groep
Depends on task is required,De afhankelijke taak is vereist
depends on...,is afhankelijk van...
Descending -- click to reverse,Aflopend -- klik om om te keren
Describe the defect in detail...,Beschrijf het gebrek in detail...
Description,Beschrijving
Description updated,Beschrijving bijgewerkt
Designation,Functie
"Detailed description of the defect, location, and impact","Gedetailleerde beschrijving van het gebrek, de locatie en de impact"
Details,Details
Discard timer,Timer verwerpen
Discussion,Discussie
Dismiss,Dismiss
Display,Weergave
Document,Document
Document attached to project,Document aan project gekoppeld
Document final decision and rationale,Eindbesluit en motivatie vastleggen
Documentation Review,Documentatiebeoordeling
Documents,Documenten
Done,Klaar
Download,Downloaden
Drag to create dependency,Sleep om afhankelijkheid aan te maken
Dry Run,Proefuitvoering
Dry Run Complete,Proefuitvoering voltooid
Due Date,Einddatum
Due date,Einddatum
Due Date (Earliest),Einddatum (vroegste)
Due date cannot be before start date,De einddatum mag niet voor de startdatum liggen
Due date is in the past,De einddatum ligt in het verleden
Due Date Reminders,Einddatumherinneringen
Due Diligence,Zorgvuldigheidsonderzoek
Due Diligence Checklist,Controlelijst zorgvuldigheidsonderzoek
Due This Week,Deze week verschuldigd
Due:,Einddatum:
Duplicate events are not allowed,Dubbele evenementen zijn niet toegestaan
Duplicate failed,Duplicatie mislukt
Duplicate Task,Taak dupliceren
Duration,Duur
Duration Summary,Duuroverzicht
Duration:,Duur:
e.g. Cracked wall finish in bathroom...,bijv. Gebarsten wandafwerking in badkamer...
"e.g. Electrical, Plumbing...","bijv. Elektra, Loodgieterij..."
Edit,Bewerken
Edit (E),Bewerken (E)
Edit dependency,Afhankelijkheid bewerken
Edit Event,Evenement bewerken
Efficiency,Efficiëntie
Either dependency_name or depends_on is required,dependency_name of depends_on is vereist
Email,E-mail
Email invitations to all attendees,E-mailuitnodigingen naar alle deelnemers
Email is required to create portal user,E-mailadres is vereist om portaalgebruiker aan te maken
Email notifications,E-mailmeldingen
Employee,Werknemer
Employee DocType not available,DocType Werknemer niet beschikbaar
Employee not found,Werknemer niet gevonden
Enable or disable optional features,Optionele functies in- of uitschakelen
Enable Time Tracking,Tijdregistratie inschakelen
End,Einde
End Date,Einddatum
End date,Einddatum
End Date cannot be before Start Date,De einddatum mag niet voor de startdatum liggen
End date cannot be before start date,De einddatum mag niet voor de startdatum liggen
End date updated,Einddatum bijgewerkt
End time was before start time. Adjusted to 1 hour after start.,De eindtijd was voor de starttijd. Aangepast naar 1 uur na de start.
End:,Einde:
Enter milestone name...,Voer mijlpaalnaam in...
Enter project name,Voer projectnaam in
Enter task title...,Voer taaktitel in...
Enter template name,Voer sjabloonnaam in
Enter your note... Use @name to mention someone,Voer uw notitie in... Gebruik @naam om iemand te vermelden
Error,Fout
Error loading activity,Fout bij het laden van activiteit
Error loading contacts,Fout bij het laden van contacten
Error loading dashboard,Fout bij het laden van het dashboard
Error loading project,Fout bij het laden van het project
Error loading projects,Fout bij het laden van projecten
Error loading settings,Fout bij het laden van instellingen
Error loading tasks,Fout bij het laden van taken
Error loading templates,Fout bij het laden van sjablonen
Est. Hours,Gesch. uren
Estimated,Geschat
Estimated Cost,Geschatte kosten
Estimated Cost (€),Geschatte kosten (€)
Estimated Hours,Geschatte uren
Estimated:,Geschat:
Evaluate potential risks and concerns,Mogelijke risico's en zorgen evalueren
Event,Evenement
Event is required for event context,Evenement is vereist voor evenementcontext
Event is required when tracking context is 'event',Evenement is vereist wanneer de bijhoudcontext 'evenement' is
Event Type,Evenementtype
Events,Evenementen
Events not available. Please run: bench --site orga.localhost migrate,Evenementen niet beschikbaar. Voer uit: bench --site orga.localhost migrate
Events:,Evenementen:
Expert,Expert
Explain why you are proposing a different time...,Leg uit waarom u een andere tijd voorstelt...
Export,Exporteren
Export failed,Export mislukt
Export JSON,Exporteren als JSON
Exported,Geëxporteerd
Exported to timesheet {0},Geëxporteerd naar urenstaat {0}
External,Extern
Failed to add item,Kon item niet toevoegen
Failed to add note,Kon notitie niet toevoegen
Failed to add skill,Kon vaardigheid niet toevoegen
Failed to apply cascade changes: {0},Kon doorwerkingswijzigingen niet toepassen: {0}
Failed to create defect,Kon gebrek niet aanmaken
Failed to create dependency,Kon afhankelijkheid niet aanmaken
Failed to create event,Kon evenement niet aanmaken
Failed to create milestone,Kon mijlpaal niet aanmaken
Failed to create project,Kon project niet aanmaken
Failed to create task,Kon taak niet aanmaken
Failed to create time log,Kon tijdregistratie niet aanmaken
Failed to delete,Kon niet verwijderen
Failed to delete comment,Kon opmerking niet verwijderen
Failed to delete contact,Kon contact niet verwijderen
Failed to load,Kon niet laden
Failed to load activity,Kon activiteit niet laden
Failed to load assignments,Kon toewijzingen niet laden
Failed to load contact,Kon contact niet laden
Failed to load dashboard data,Kon dashboardgegevens niet laden
Failed to load defects,Kon gebreken niet laden
Failed to load events,Kon evenementen niet laden
Failed to load project,Kon project niet laden
Failed to load projects,Kon projecten niet laden
Failed to load report data,Kon rapportgegevens niet laden
Failed to load settings,Kon instellingen niet laden
Failed to load tasks,Kon taken niet laden
Failed to move task,Kon taak niet verplaatsen
Failed to post comment,Kon opmerking niet plaatsen
Failed to propose new time,Kon nieuwe tijd niet voorstellen
Failed to remove item,Kon item niet verwijderen
Failed to remove skill,Kon vaardigheid niet verwijderen
Failed to reorder milestones: {0},Kon mijlpalen niet herordenen: {0}
Failed to reorder tasks: {0},Kon taken niet herordenen: {0}
Failed to reschedule dependent tasks: {0},Kon afhankelijke taken niet herplannen: {0}
Failed to save,Kon niet opslaan
Failed to save preferences,Kon voorkeuren niet opslaan
Failed to save settings,Kon instellingen niet opslaan
Failed to submit request. Please try again.,Kon verzoek niet indienen. Probeer het opnieuw.
Failed to update item,Kon item niet bijwerken
Failed to update priority,Kon prioriteit niet bijwerken
Failed to update task,Kon taak niet bijwerken
Failed to update tasks: {0},Kon taken niet bijwerken: {0}
Failed to upload avatar,Kon avatar niet uploaden
Feature,Functie
Features,Functies
FF (Finish-Finish),FF (Einde-Einde)
FF - Finish-to-Finish,FF - Einde-naar-Einde
Field has been updated,Veld is bijgewerkt
Field name is required for 'Set Field Value' action,Veldnaam is vereist voor de actie 'Veldwaarde instellen'
Field {0} is not a Link field,Veld {0} is geen koppelveld
Field {0} not found in {1},Veld {0} niet gevonden in {1}
File,Bestand
file,bestand
File does not belong to this task,Bestand hoort niet bij deze taak
File name is required,De bestandsnaam is vereist
File uploaded,Bestand geüpload
File {0} not found,Bestand {0} niet gevonden
Files,Bestanden
files,bestanden
Filter,Filter
Final Decision,Eindbesluit
Finance,Financiën
Financial,Financieel
Finish-to-Finish,Einde-naar-Einde
Finish-to-Start,Einde-naar-Start
Flag,Markeren
Flag for attention,Markeren voor aandacht
Flagged,Gemarkeerd
Focus Panel,Focuspaneel
Follows your system preference. Currently:,Volgt uw systeemvoorkeur. Momenteel:
Frappe Project {0} not found,Frappe-project {0} niet gevonden
Frappe Projects Migration,Frappe Projects-migratie
Frappe Projects module not available,Frappe Projects-module niet beschikbaar
Frappe Projects module not installed,Frappe Projects-module niet geïnstalleerd
Frappe Projects sync is not enabled,Frappe Projects-synchronisatie is niet ingeschakeld
Frappe Task DocType not found,Frappe-taak-DocType niet gevonden
Frappe Task has no project,Frappe-taak heeft geen project
Frappe Task {0} not found,Frappe-taak {0} niet gevonden
Fri,Vr
From,Van
From Template,Vanuit sjabloon
FS (Finish-Start),FS (Einde-Start)
FS - Finish-to-Start (default),FS - Einde-naar-Start (standaard)
Full form view with audit trail,Volledig formulier met auditspoor
Full name,Volledige naam
Gantt,Gantt
Gantt Chart,Gantt-diagram
Gantt View,Gantt-weergave
General Note,Algemene notitie
Get started,Aan de slag
Go back,Ga terug
Go Back,Terug
Group by,Groeperen op
Group dependency removed,Groepsafhankelijkheid verwijderd
Group dependency set,Groepsafhankelijkheid ingesteld
Group removed,Groep verwijderd
Group updated,Groep bijgewerkt
Hammock task dates are auto-calculated and cannot be changed manually,Hangtaakdatums worden automatisch berekend en kunnen niet handmatig worden gewijzigd
Have a question or need assistance? Fill out the form below and our team will get back to you.,Heeft u een vraag of hulp nodig? Vul het onderstaande formulier in en ons team neemt contact met u op.
Health,Gezondheid
Healthy,Gezond
Hello {0},Hallo {0}
Here's what's happening with your projects today.,Dit is wat er vandaag met uw projecten gebeurt.
Hide,Verbergen
High,Hoog
History,Geschiedenis
Home,Start
Hourly Cost,Kosten per uur
Hours,Uren
hours,uren
Hours Logged,Geregistreerde uren
ID,ID
Image must be smaller than 5 MB,Afbeelding moet kleiner zijn dan 5 MB
Import,Importeren
Import existing projects and tasks from Frappe Projects module,Bestaande projecten en taken importeren vanuit de Frappe Projects-module
Import failed,Import mislukt
Import Template,Sjabloon importeren
Imported,Geïmporteerd
in,in
In Progress,In uitvoering
In Review,In beoordeling
In-app notifications,Meldingen in de app
Inactive,Inactief
Initial Review,Eerste beoordeling
Installed Version,Installed Version
Insufficient permissions to view all tasks,Onvoldoende rechten om alle taken te bekijken
Intermediate,Gemiddeld
Internal,Intern
Invalid DocType,Ongeldig DocType
Invalid DocType for import,Ongeldig DocType voor import
Invalid item type: {0},Ongeldig itemtype: {0}
Invalid JSON data,Ongeldige JSON-gegevens
Invalid note type. Must be one of: {0},Ongeldig notitietype. Moet een van de volgende zijn: {0}
Invalid project reference,Ongeldige projectverwijzing
Invalid reaction type. Must be one of: {0},Ongeldig reactietype. Moet een van de volgende zijn: {0}
Invalid RSVP status,Ongeldige RSVP-status
Invalid status. Must be one of: {0},Ongeldige status. Moet een van de volgende zijn: {0}
Invalid status: {0},Ongeldige status: {0}
Invalid status: {0}. Must be one of: {1},Ongeldige status: {0}. Moet een van de volgende zijn: {1}
Invalid tracking context: {0},Ongeldige bijhoudcontext: {0}
Invalid visibility. Must be one of: {0},Ongeldige zichtbaarheid. Moet een van de volgende zijn: {0}
Invitation: {0} - {1} at {2},Uitnodiging: {0} - {1} om {2}
Invite People,Mensen uitnodigen
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","Het ligt niet aan jou, het ligt aan de link. De pagina die je zoekt is mogelijk verplaatst, hernoemd of neemt een welverdiende koffiepauze. Je projecten en gegevens zijn volkomen veilig."
