+ Add Milestone,+ ምዕራፍ ጨምር
All tasks are already linked,ሁሉም ተግባራት ቀድሞ ተገናኝተዋል
All team members,ሁሉም የቡድን አባላት
All Types,ሁሉም ዓይነቶች
All Users,ሁሉም ተጠቃሚዎች
Allocated,ተመድቧል
allocated,ተመድቧል
Allow users to log time against tasks,ተጠቃሚዎች ለተግባራት ጊዜ እንዲመዘግቡ ፍቀድ
Already exported to timesheet {0},ቀድሞ ወደ የጊዜ ሰንጠረዥ {0} ተልኳል
Already Migrated,ቀድሞ ተዛውሯል
Anyone with access,መዳረሻ ያለው ማንኛውም ሰው
anytime to show this help,ይህን እርዳታ ለማሳየት በማንኛውም ጊዜ
App Updates,App Updates
Appearance,መልክ
Apply,ተግብር
Apply cascade?,ተከታታይ ለውጥ ተግብር?
Apply Changes,ለውጦችን ተግብር
Apply failed,ማተግበር አልተሳካም
Apply Template,አብነት ተግብር
Applying...,በማተግበር ላይ...
Appointment,ቀጠሮ
Appointment and resource are required,ቀጠሮ እና ሰው ያስፈልጋሉ
Appointment name is required,የቀጠሮ ስም ያስፈልጋል
Appointment not found,ቀጠሮ አልተገኘም
Appointment {0} not found,ቀጠሮ {0} አልተገኘም
Apps,መተግበሪያዎች
Archive,ማህደር
Archive Activity,እንቅስቃሴ ወደ ማህደር ላክ
Archived,ወደ ማህደር ተልኳል
Are you sure you want to delete this activity data? This cannot be undone.,ይህን የእንቅስቃሴ ውሂብ መሰረዝ ይፈልጋሉ? ይህ ሊቀለበስ አይችልም።
Are you sure you want to delete this comment?,ይህን አስተያየት መሰረዝ ይፈልጋሉ?
Are you sure you want to delete this project?,ይህን ፕሮጀክት መሰረዝ ይፈልጋሉ?
Are you sure?,እርግጠኛ ነዎት?
Ascending -- click to reverse,ከትንሽ ወደ ትልቅ -- ለመቀልበስ ጠቅ ያድርጉ
Assign To,መድብ ለ
Assign to Me,ለኔ መድብ
Assigned Contact,የተመደበ ግንኙነት
Assigned To,ለ ተመድቧል
Assigned to,ለ ተመድቧል
Assigned to Me,ለኔ ተመድቧል
Assignee,ተመዳቢ
Assignment,ምድባ
Assignment History,የምድባ ታሪክ
Assignment name is required,የምድባ ስም ያስፈልጋል
Assignment {0} not found,ምድባ {0} አልተገኘም
Assignments,ምድባዎች
At least one action is required,ቢያንስ አንድ ተግባር ያስፈልጋል
At least one event is required,ቢያንስ አንድ ክስተት ያስፈልጋል
At least one event must be selected,ቢያንስ አንድ ክስተት መመረጥ አለበት
Attachment,አባሪ
Attachments,አባሪዎች
Attendees,ተሳታፊዎች
"Audit trail, assignments, version history",የክትትል መዝገብ፣ ምድባዎች፣ የስሪት ታሪክ
Auto,ራስ-ሰር
Auto Calculate Progress,ሂደትን ራስ-ሰር አስላ
Auto Set Missed Milestones,የጠፉ ምዕራፎችን ራስ-ሰር አስቀምጥ
Auto-shift dependents when dates change,ቀናት ሲለወጡ ጥገኞችን ራስ-ሰር አዛውር
Auto-Trail Start,ራስ-ሰር መንሸራተት
Auto-Trail updated,ራስ-ሰር መንሸራተት ተዘምኗል
Automatically calculate project progress from task completion,ከተግባር ማጠናቀቅ የፕሮጀክት ሂደትን ራስ-ሰር አስላ
Automatically mark milestones as missed when overdue,ሲዘገዩ ምዕራፎችን ራስ-ሰር እንደ ያመለጡ ምልክት አድርግ
Automation rule {0} not found,የራስ-ሰር ህግ {0} አልተገኘም
Automation: {0},ራስ-ሰር: {0}
Availability,ዝግጁነት
Available,ዝግጁ
Avatar updated successfully,ምስል በተሳካ ሁኔታ ተዘምኗል
Avg Progress,አማካይ ሂደት
Back,ተመለስ
Back to Portal,ወደ መግቢያ ተመለስ
Back to Projects,ወደ ፕሮጀክቶች ተመለስ
Beginner,ጀማሪ
Best regards,ከአክብሮት ጋር
Billable,ሊከፈልበት የሚችል
Billable Amount,ሊከፈል የሚችል መጠን
Billable Hours,ሊከፈልባቸው የሚችሉ ሰዓታት
Billable Rate,ሊከፈልበት የሚችል ተመን
Billing Rate,የክፍያ ተመን
Blocked,ታግዷል
Both dates are needed to display task as a bar in Gantt chart,ተግባሩን በGantt ሰንጠረዥ ላይ እንደ አሞሌ ለማሳየት ሁለቱም ቀናት ያስፈልጋሉ
Both doctype and docname are required,doctype እና docname ሁለቱም ያስፈልጋሉ
Both proposed start and end times are required,የቀረቡ የመጀመሪያ እና የመጨረሻ ሰዓታት ሁለቱም ያስፈልጋሉ
Both task_name and depends_on are required,task_name እና depends_on ሁለቱም ያስፈልጋሉ
Breadcrumb,መንገድ አመልካች
Brief description of the defect or damage,ስለ ጉድለቱ ወይም ጉዳቱ አጭር መግለጫ
Brief description of this template,ስለዚህ አብነት አጭር መግለጫ
Brief description of your request,ስለ ጥያቄዎ አጭር መግለጫ
Brief project description,አጭር የፕሮጀክት መግለጫ
Budget,በጀት
Budget at risk,በጀት አደጋ ላይ ነው
Budget Burn Rate,የበጀት ፍጆታ ፍጥነት
Budget Status,የበጀት ሁኔታ
Budget updated,በጀት ተዘምኗል
Budget:,በጀት:
Bug,ስህተት
Burn Rate,የፍጆታ ፍጥነት
Busy,ተጠምዷል
By,በ
By Assignee,በተመዳቢ
By Group,በቡድን
By Milestone,በምዕራፍ
By Priority,በቅድሚያ
By Status,በሁኔታ
Cancel,ሰርዝ
Cancelled,ተሰርዟል
cannot be undone,መልሶ ማግኘት አይቻልም
Cannot delete client with {0} linked projects. Unlink projects first.,ከ{0} የተገናኙ ፕሮጀክቶች ጋር ያለ ደንበኛ ሊሰረዝ አይችልም። መጀመሪያ ፕሮጀክቶችን ንቀል።
Cannot delete project with {0} linked tasks. Delete tasks first.,ከ{0} የተገናኙ ተግባራት ጋር ያለ ፕሮጀክት ሊሰረዝ አይችልም። መጀመሪያ ተግባራትን ሰርዝ።
Cannot delete resource with {0} active assignments. Complete or cancel them first.,ከ{0} ንቁ ምድባዎች ጋር ያለ ሰው ሊሰረዝ አይችልም። መጀመሪያ ጨርሳቸው ወይም ሰርዛቸው።
Cannot delete task with {0} subtasks. Delete subtasks first.,ከ{0} ንዑስ ተግባራት ጋር ያለ ተግባር ሊሰረዝ አይችልም። መጀመሪያ ንዑስ ተግባራትን ሰርዝ።
Capacity,አቅም
capacity,አቅም
Capacity & Rates,አቅም እና ተመኖች
Capture project structure for reuse,የፕሮጀክት መዋቅርን ለድጋሜ አጠቃቀም ቅዳ
Cascade,ተከታታይ ለውጥ
Cascade Preview,የተከታታይ ለውጥ ቅድመ-ዕይታ
Category,ምድብ
Celebrate,አክብር
Change,ቀይር
Change History,የለውጥ ታሪክ
Change Priority,ቅድሚያ ቀይር
Change Status,ሁኔታ ቀይር
Changes,ለውጦች
Changes appear when fields are modified.,መስኮች ሲቀየሩ ለውጦች ይታያሉ።
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,የማረጋገጫ ዝርዝር
Checklist item name is required,የማረጋገጫ ዝርዝር ንጥል ስም ያስፈልጋል
Checklist item not found,የማረጋገጫ ዝርዝር ንጥል አልተገኘም
Checklist item title is required,የማረጋገጫ ዝርዝር ንጥል ርዕስ ያስፈልጋል
Checklist item {0} not found,የማረጋገጫ ዝርዝር ንጥል {0} አልተገኘም
Checklist item {0} not found in task,የማረጋገጫ ዝርዝር ንጥል {0} በተግባሩ ውስጥ አልተገኘም
Child,ልጅ
Choose file to upload,ለመስቀል ፋይል ይምረጡ
Circular dependency detected: {0},ክብ ጥገኝነት ተገኝቷል: {0}
Circular parent-child relationship detected,ክብ ወላጅ-ልጅ ግንኙነት ተገኝቷል
Clear,አጽዳ
Clear all read,ሁሉንም የተነበቡ አጽዳ
Clear date,ቀን አጽዳ
Click on an activity from the list to view and manage its details.,ዝርዝሮቹን ለማየት እና ለማስተዳደር ከዝርዝሩ ውስጥ እንቅስቃሴ ላይ ጠቅ ያድርጉ።
Click the avatar to upload a new photo,አዲስ ፎቶ ለመስቀል ምስሉ ላይ ጠቅ ያድርጉ
Click to add description...,መግለጫ ለመጨመር ጠቅ ያድርጉ...
Click to add notes...,ማስታወሻ ለመጨመር ጠቅ ያድርጉ...
Click to assign contact,ግንኙነት ለመመደብ ጠቅ ያድርጉ
Click to change status,ሁኔታ ለመቀየር ጠቅ ያድርጉ
Click to change type,ዓይነት ለመቀየር ጠቅ ያድርጉ
Click to edit,ለማረም ጠቅ ያድርጉ
Click to edit budget,በጀት ለማረም ጠቅ ያድርጉ
Click to edit description,መግለጫ ለማረም ጠቅ ያድርጉ
Click to edit end date,የማጠናቀቂያ ቀን ለማረም ጠቅ ያድርጉ
Click to edit milestone name,የምዕራፍ ስም ለማረም ጠቅ ያድርጉ
Click to edit rate,ተመን ለማረም ጠቅ ያድርጉ
Click to edit start date,የመጀመሪያ ቀን ለማረም ጠቅ ያድርጉ
Click to edit title,ርዕስ ለማረም ጠቅ ያድርጉ
Click to load,ለመጫን ጠቅ ያድርጉ
Click to set group dependency...,የቡድን ጥገኝነት ለማዘጋጀት ጠቅ ያድርጉ...
Click to set group...,ቡድን ለማዘጋጀት ጠቅ ያድርጉ...
Click to view,ለማየት ጠቅ ያድርጉ
Click to view at-risk projects,አደጋ ላይ ያሉ ፕሮጀክቶችን ለማየት ጠቅ ያድርጉ
Click to view critical projects,ወሳኝ ፕሮጀክቶችን ለማየት ጠቅ ያድርጉ
Click to view healthy projects,ጤናማ ፕሮጀክቶችን ለማየት ጠቅ ያድርጉ
Client,ደንበኛ
Client already has a portal user: {0},ደንበኛው ቀድሞ የመግቢያ ተጠቃሚ አለው: {0}
Client already has portal access,ደንበኛው ቀድሞ የመግቢያ መዳረሻ አለው
Client has no portal user to revoke,ደንበኛው ሊሻር የሚችል የመግቢያ ተጠቃሚ የለውም
Client link removed from project {0},ከፕሮጀክት {0} የደንበኛ ግንኙነት ተወግዷል
Client Portal,የደንበኛ መግቢያ
Client {0} deleted successfully,ደንበኛ {0} በተሳካ ሁኔታ ተሰርዟል
Close,ዝጋ
Close (Esc),ዝጋ (Esc)
Comment,አስተያየት
comment,አስተያየት
Comment added,አስተያየት ተጨምሯል
Comment content is required,የአስተያየት ይዘት ያስፈልጋል
Comment name is required,የአስተያየት ስም ያስፈልጋል
Comment not found,አስተያየት አልተገኘም
Comment removed,አስተያየት ተወግዷል
Comment {0} not found in task,አስተያየት {0} በተግባሩ ውስጥ አልተገኘም
Comments,አስተያየቶች
comments,አስተያየቶች
Community Edition,Community Edition
Company,ድርጅት
Company name...,የድርጅት ስም...
Complete,ጨርስ
Completed,ተጠናቅቋል
completed,ተጠናቅቋል
Completed Tasks,የተጠናቀቁ ተግባራት
Compliance,ተገዢነት
Configure default values for new projects and tasks,ለአዲስ ፕሮጀክቶች እና ተግባራት ነባሪ ዋጋዎችን ያዋቅሩ
Configure email notification settings,የኢሜይል ማሳወቂያ ቅንብሮችን ያዋቅሩ
Confirm,አረጋግጥ
Contact deleted,ግንኙነት ተሰርዟል
Contact Details,የግንኙነት ዝርዝሮች
Contact Information,የግንኙነት መረጃ
Contact name is required,የግንኙነት ስም ያስፈልጋል
Contact Support,ድጋፍ ያግኙ
Contact your project manager for more information.,ለተጨማሪ መረጃ የፕሮጀክት ሃላፊዎን ያግኙ።
Contact:,ግንኙነት:
Contacts,ግንኙነቶች
Context,አውድ
Contractor,ተቋራጭ
Cost estimate cannot be negative,የወጪ ግምት አሉታዊ ሊሆን አይችልም
Cost Impact,የወጪ ተጽእኖ
Cost Summary,የወጪ ማጠቃለያ
Could not apply the template. Please try again.,አብነቱን ማተግበር አልተቻለም። እባክዎ እንደገና ይሞክሩ።
Could not attach file to project,ፋይሉን ከፕሮጀክቱ ጋር ማያያዝ አልተቻለም
Could not change task priority,የተግባር ቅድሚያ መቀየር አልተቻለም
Could not change task status,የተግባር ሁኔታ መቀየር አልተቻለም
Could not delete the project. Please try again.,ፕሮጀክቱን መሰረዝ አልተቻለም። እባክዎ እንደገና ይሞክሩ።
Could not delete the task. Please try again.,ተግባሩን መሰረዝ አልተቻለም። እባክዎ እንደገና ይሞክሩ።
Could not delete the template.,አብነቱን መሰረዝ አልተቻለም።
Could not duplicate the task. Please try again.,ተግባሩን ማባዛት አልተቻለም። እባክዎ እንደገና ይሞክሩ።
Could not export the template.,አብነቱን መላክ አልተቻለም።
Could not import the template. Please check the file format.,አብነቱን ማስገባት አልተቻለም። እባክዎ የፋይሉን ቅርጸት ያረጋግጡ።
Could not link task to milestone,ተግባሩን ከምዕራፉ ጋር ማገናኘት አልተቻለም
Could not load document details.,የሰነድ ዝርዝሮችን መጫን አልተቻለም።
Could not load task details,የተግባር ዝርዝሮችን መጫን አልተቻለም
Could not promote checklist item to task.,የማረጋገጫ ዝርዝር ንጥልን ወደ ተግባር ማሳደግ አልተቻለም።
Could not remove task from milestone,ተግባሩን ከምዕራፉ ማስወገድ አልተቻለም
Could not save budget.,በጀቱን ማስቀመጥ አልተቻለም።
Could not save changes to the milestone,ለምዕራፉ የተደረጉ ለውጦችን ማስቀመጥ አልተቻለም
Could not save changes to the task,ለተግባሩ የተደረጉ ለውጦችን ማስቀመጥ አልተቻለም
Could not save description.,መግለጫውን ማስቀመጥ አልተቻለም።
Could not save end date.,የማጠናቀቂያ ቀን ማስቀመጥ አልተቻለም።
Could not save milestone name.,የምዕራፍ ስም ማስቀመጥ አልተቻለም።
Could not save start date.,የመጀመሪያ ቀን ማስቀመጥ አልተቻለም።
Could not save the template. Please try again.,አብነቱን ማስቀመጥ አልተቻለም። እባክዎ እንደገና ይሞክሩ።
Could not save title.,ርዕሱን ማስቀመጥ አልተቻለም።
Could not update dependency mode.,የጥገኝነት ሁነታ ማዘመን አልተቻለም።
Could not update milestone date,የምዕራፍ ቀን ማዘመን አልተቻለም
Could not update project status.,የፕሮጀክት ሁኔታ ማዘመን አልተቻለም።
Could not update project type.,የፕሮጀክት ዓይነት ማዘመን አልተቻለም።
Could not update setting.,ቅንብር ማዘመን አልተቻለም።
Could not update task dates,የተግባር ቀናት ማዘመን አልተቻለም
Could not update task status,የተግባር ሁኔታ ማዘመን አልተቻለም
Could not update the template.,አብነቱን ማዘመን አልተቻለም።
Create a copy of this task,የዚህን ተግባር ቅጂ ፍጠር
Create Contact,ግንኙነት ፍጠር
Create Event,ክስተት ፍጠር
Create Milestone,ምዕራፍ ፍጠር
Create New Milestone,አዲስ ምዕራፍ ፍጠር
Create New Task,አዲስ ተግባር ፍጠር
Create Project,ፕሮጀክት ፍጠር
Create Task,ተግባር ፍጠር
Create tasks and milestones from a template,ከአብነት ተግባራት እና ምዕራፎችን ፍጠር
Create your first project to get started.,ለመጀመር የመጀመሪያ ፕሮጀክትዎን ይፍጠሩ።
Create your first task to start tracking work on this project.,በዚህ ፕሮጀክት ላይ ስራን መከታተል ለመጀመር የመጀመሪያ ተግባርዎን ይፍጠሩ።
Created,ተፈጥሯል
Creating...,በመፍጠር ላይ...
Critical,ወሳኝ
Critical Path,ወሳኝ መንገድ
"Currency used for budgets, costs, and billing rates",ለበጀቶች፣ ወጪዎች እና የክፍያ ተመኖች ጥቅም ላይ የሚውል ገንዘብ
Current,አሁን ያለ
Current Assignments,የአሁን ምድባዎች
Current scheduled time:,አሁን የተያዘ ጊዜ:
Currently running version,Currently running version
d lag,ቀን ዘግይት
Daily Availability,የዕለት ዝግጁነት
Daily Hours,የዕለት ሰዓታት
Danger Zone,አደገኛ ቦታ
Dark,ጨለማ
Dashboard,ዳሽቦርድ
Date,ቀን
Date changes on this task will show cascade impact here,በዚህ ተግባር ላይ ያሉ የቀን ለውጦች የተከታታይ ተጽእኖ እዚህ ይታያሉ
Date cleared,ቀን ተጽድቷል
Date of Joining,የመቀላቀያ ቀን
Date updated,ቀን ተዘምኗል
Dates,ቀናት
Dates cascaded,ቀናት በተከታታይ ተለውጠዋል
Dates will be relative to the project's start date.,ቀናት ከፕሮጀክቱ የመጀመሪያ ቀን ጋር አንጻራዊ ይሆናሉ።
Day,ቀን
day,ቀን
days,ቀናት
Days before due date to send reminder,ማሳሰቢያ ለመላክ ከመጨረሻ ቀን በፊት ያሉ ቀናት
Days Overdue,የዘገዩ ቀናት
Days Remaining,የቀሩ ቀናት
Deadline,የመጨረሻ ቀን
Deadlines,የመጨረሻ ቀናት
Decision,ውሳኔ
Decline,ውድቅ አድርግ
Declined,ውድቅ ተደርጓል
Default Currency,ነባሪ ገንዘብ
Default hours per week for contact capacity planning,ለግንኙነት አቅም ዕቅድ ነባሪ ሳምንታዊ ሰዓታት
Default Priority,ነባሪ ቅድሚያ
Default Project Status,ነባሪ የፕሮጀክት ሁኔታ
Default Task Status,ነባሪ የተግባር ሁኔታ
Default task view,ነባሪ የተግባር ዕይታ
Default Values,ነባሪ ዋጋዎች
Default Weekly Capacity,ነባሪ ሳምንታዊ አቅም
Defaults,ነባሪዎች
Defect Cost Impact,የጉድለት ወጪ ተጽእኖ
Defect name is required,የጉድለት ስም ያስፈልጋል
Defect Type,የጉድለት ዓይነት
Defect {0} not found,ጉድለት {0} አልተገኘም
Defects,ጉድለቶች
Defects & Issues,ጉድለቶች እና ችግሮች
Defects Resolved,የተፈቱ ጉድለቶች
Delayed,ዘግይቷል
Delete,ሰርዝ
Delete Activity Data,የእንቅስቃሴ ውሂብ ሰርዝ
Delete all read notifications?,ሁሉንም የተነበቡ ማሳወቂያዎች ይሰረዙ?
Delete comment,አስተያየት ሰርዝ
Delete Contact,ግንኙነት ሰርዝ
Delete Event,ክስተት ሰርዝ
Delete Event?,ክስተቱ ይሰረዝ?
Delete failed,መሰረዝ አልተሳካም
Delete file,ፋይል ሰርዝ
Delete item,ንጥል ሰርዝ
Delete note,ማስታወሻ ሰርዝ
Delete Project,ፕሮጀክት ሰርዝ
Delete Task,ተግባር ሰርዝ
Delete this project,ይህን ፕሮጀክት ሰርዝ
Deleted,ተሰርዟል
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ፕሮጀክት ""{0}"" ተሰርዟል ({1} ተግባራት፣ {2} ምዕራፎች)"
Deletes notes and preferences. Source document is not affected.,ማስታወሻዎችን እና ምርጫዎችን ይሰርዛል። ዋናው ሰነድ አይነካም።
Deleting...,በመሰረዝ ላይ...
Department,ክፍል
Dependencies,ጥገኝነቶች
dependencies,ጥገኝነቶች
Dependencies are informational only,ጥገኝነቶች ለመረጃ ብቻ ናቸው
dependency,ጥገኝነት
Dependency already exists,ጥገኝነቱ ቀድሞ አለ
Dependency Chain,የጥገኝነት ሰንሰለት
Dependency created,ጥገኝነት ተፈጥሯል
Dependency mode updated,የጥገኝነት ሁነታ ተዘምኗል
Dependency name is required,የጥገኝነት ስም ያስፈልጋል
Dependency task {0} not found,ጥገኛ ተግባር {0} አልተገኘም
Dependency {0} not found,ጥገኝነት {0} አልተገኘም
depends,ይመካል
Depends on Group,በቡድን ላይ ይወሰናል
Depends on task is required,ጥገኛ ተግባር ያስፈልጋል
depends on...,ይመካል ከ...
Descending -- click to reverse,ከትልቅ ወደ ትንሽ -- ለመቀልበስ ጠቅ ያድርጉ
Describe the defect in detail...,ጉድለቱን በዝርዝር ይግለጹ...
Description,መግለጫ
Description updated,መግለጫ ተዘምኗል
Designation,ማዕረግ
"Detailed description of the defect, location, and impact",ስለ ጉድለቱ፣ ቦታው እና ተጽእኖው ዝርዝር መግለጫ
Details,ዝርዝሮች
Discard timer,ሰዓት ቆጣሪ ውድቅ አድርግ
Discussion,ውይይት
Dismiss,Dismiss
Display,ማሳያ
Document,ሰነድ
Document attached to project,ሰነድ ከፕሮጀክቱ ጋር ተያይዟል
Document final decision and rationale,የመጨረሻ ውሳኔና ምክንያት ይመዝግቡ
Documentation Review,ሰነድ ግምገማ
Documents,ሰነዶች
Done,ተከናውኗል
Download,አውርድ
Drag to create dependency,ጥገኝነት ለመፍጠር ጎትት
Dry Run,ሙከራ
Dry Run Complete,ሙከራ ተጠናቅቋል
Due Date,የመጨረሻ ቀን
Due date,የመጨረሻ ቀን
Due Date (Earliest),የመጨረሻ ቀን (ቅርብ)
Due date cannot be before start date,የመጨረሻ ቀን ከመጀመሪያ ቀን በፊት ሊሆን አይችልም
Due date is in the past,የመጨረሻ ቀን ያለፈ ነው
Due Date Reminders,የመጨረሻ ቀን ማሳሰቢያዎች
Due Diligence,ቅድመ-ምርመራ
Due Diligence Checklist,የቅድመ-ምርመራ ማረጋገጫ ዝርዝር
Due This Week,በዚህ ሳምንት የሚደርሱ
Due:,ቀነ ገደብ:
Duplicate events are not allowed,ተደጋጋሚ ክስተቶች አይፈቀዱም
Duplicate failed,ማባዛት አልተሳካም
Duplicate Task,ተግባር ቅዳ
Duration,ቆይታ
Duration Summary,የቆይታ ማጠቃለያ
Duration:,ቆይታ:
e.g. Cracked wall finish in bathroom...,ለምሳሌ በመታጠቢያ ቤት ውስጥ የተሰነጠቀ ግድግዳ ፊኒሽ...
"e.g. Electrical, Plumbing...",ለምሳሌ ኤሌክትሪክ፣ ቧንቧ...
Edit,አርም
Edit (E),አርም (E)
Edit dependency,ጥገኝነት አርም
Edit Event,ክስተት አርም
Efficiency,ቅልጥፍና
Either dependency_name or depends_on is required,dependency_name ወይም depends_on ያስፈልጋል
Email,ኢሜይል
Email invitations to all attendees,ለሁሉም ተሳታፊዎች የኢሜይል ግብዣዎች
Email is required to create portal user,የመግቢያ ተጠቃሚ ለመፍጠር ኢሜይል ያስፈልጋል
Email notifications,የኢሜይል ማሳወቂያዎች
Employee,ሰራተኛ
Employee DocType not available,የሰራተኛ DocType አይገኝም
Employee not found,ሰራተኛ አልተገኘም
Enable or disable optional features,አማራጭ ባህሪያትን አንቃ ወይም አጥፋ
Enable Time Tracking,የጊዜ መከታተል አንቃ
End,መጨረሻ
End Date,የማጠናቀቂያ ቀን
End date,የማጠናቀቂያ ቀን
End Date cannot be before Start Date,የማጠናቀቂያ ቀን ከመጀመሪያ ቀን በፊት ሊሆን አይችልም
End date cannot be before start date,የማጠናቀቂያ ቀን ከመጀመሪያ ቀን በፊት ሊሆን አይችልም
End date updated,የማጠናቀቂያ ቀን ተዘምኗል
End time was before start time. Adjusted to 1 hour after start.,የመጨረሻ ሰዓት ከመጀመሪያ ሰዓት በፊት ነበር። ከመጀመሪያ 1 ሰዓት በኋላ ተስተካክሏል።
End:,መጨረሻ:
Enter milestone name...,የምዕራፍ ስም ያስገቡ...
Enter project name,የፕሮጀክት ስም ያስገቡ
Enter task title...,የተግባር ርዕስ ያስገቡ...
Enter template name,የአብነት ስም ያስገቡ
Enter your note... Use @name to mention someone,ማስታወሻዎን ያስገቡ... አንድ ሰው ለመጥቀስ @ስም ይጠቀሙ
Error,ስህተት
