Add first dependency,Tzijonik ri nab'e tob'al
Add item,Tzijonik jun jastaq
Add items below to track progress.,Tzijonik taq jastaq ikim re richin reta'maxik ri b'enam.
Add items below to track subtasks,Tzijonik taq jastaq ikim re richin reta'maxik ri ch'uti taq samaj
Add Milestone,Tzijonik jun rajilal
Add Milestone (Shift+M),Tzijonik jun rajilal (Shift+M)
Add milestones to track key deliverables.,Tzijonik taq rajilal richin reta'maxik ri nimalaj taq ya'tal.
Add New Contact,Tzijonik jun k'ak' winaq
Add Note,Tzijonik jun tz'ib'
Add note,Tzijonik jun tz'ib'
Add notes about this contact...,Tzijonik taq tz'ib' chirij ri winaq...
Add reaction,Tzijonik jun na'oj
Add Skill,Tzijonik jun etamab'al
Add start and due dates to tasks to see them on the Gantt chart,Tzijonik taq q'ij rutikirib'al xuquje' ruk'isib'al pa taq samaj richin kil pa ri Gantt
Add Task,Tzijonik jun samaj
Add Task (Shift+T),Tzijonik jun samaj (Shift+T)
Added Finish-to-Start dependency,Xtzijonik Rik'isik-pa-Rutikirib'al tob'al
Adding this dependency would create a circular reference: {0},Ri tzijonik re ri tob'al xub'an jun sutin tzij: {0}
Adding...,Katzijonik...
Address,Rochoch
Advanced,Q'axinaq
All,Ronojel
All Active,Ronojel k'aslik
All Assignees,Ronojel ya'on kichi'
All Categories,Ronojel ruwach
All caught up!,Ronojel tz'aqat chik!
All Contexts,Ronojel ucholaj
All day,Ronojel q'ij
All day event,Nimaq'ij ronojel q'ij
All fields,Ronojel k'ojlib'al
All Priorities,Ronojel nab'eal
All Projects,Ronojel nuk'samaj
All Status,Ronojel rub'anikil
All Statuses,Ronojel taq rub'anikil
All task dependencies & relative dates,Ronojel taq tob'al re samaj xuquje' taq q'ij k'utunik
All Tasks,Ronojel samaj
All tasks across all projects.,Ronojel taq samaj pa ronojel nuk'samaj.
All tasks are already linked,Ronojel taq samaj e ximon chik
All team members,Ronojel rajpopil ri molaj
All Types,Ronojel ruwach
All Users,Ronojel okisanel
Allocated,Ya'on
allocated,ya'on
Allow users to log time against tasks,Kuya' q'ij chi ke ri okisanel richin ketz'ib'an ri ramaj pa taq samaj
Already exported to timesheet {0},Q'axon chik pa ri ruwujil ramaj {0}
Already Migrated,Q'axon chik
Anyone with access,Xapowi' achi'el k'o rokem
anytime to show this help,xapachike ramaj richin rik'utik re ri tob'anik
App Updates,App Updates
Appearance,Ruwachulew
Apply,Chapoj
Apply cascade?,Chapoj ri q'axanik?
Apply Changes,Chapoj ri taq jaloj
Apply failed,Man xutzir ta ri chapoj
Apply Template,Chapoj jun ruwachib'al
Applying...,Kachapoj...
Appointment,Tz'onoj
Appointment and resource are required,Ri tz'onoj xuquje' ri tob'anel e rajawaxik
Appointment name is required,Ri ub'i' ri tz'onoj rajawaxik
Appointment not found,Man xriqitaj ta ri tz'onoj
Appointment {0} not found,Man xriqitaj ta ri tz'onoj {0}
Apps,Taq samajib'al
Archive,Yakb'al
Archive Activity,Yakb'al ri b'anob'al
Archived,Ya'on pa yakb'al
Are you sure you want to delete this activity data? This cannot be undone.,La at jikil kawaj kasach re ri taq tzij re b'anob'al? Man tikirel ta utzuquxik.
Are you sure you want to delete this comment?,La at jikil kawaj kasach re ri tzij?
Are you sure you want to delete this project?,La at jikil kawaj kasach re ri nuk'samaj?
Are you sure?,La at jikil?
Ascending -- click to reverse,Ajilak -- chapoj richin ujalanik
Assign To,Ya'oj chi re
Assign to Me,Kiya' chi we
Assigned Contact,Ya'on winaq
Assigned To,Ya'on chi re
Assigned to,Ya'on chi re
Assigned to Me,Ya'on chi we
Assignee,Ya'on chi re
Assignment,Ya'oj samaj
Assignment History,Ojer taq ya'oj samaj
Assignment name is required,Ri ub'i' ri ya'oj samaj rajawaxik
Assignment {0} not found,Man xriqitaj ta ri ya'oj samaj {0}
Assignments,Taq ya'oj samaj
At least one action is required,Rajawaxik man jun ta b'anoj
At least one event is required,Rajawaxik man jun ta nimaq'ij
At least one event must be selected,Rajawaxik kachaq' man jun ta nimaq'ij
Attachment,Ximtal
Attachments,Taq ximtal
Attendees,E okinaq
"Audit trail, assignments, version history","Rub'eyal uchajixik, taq ya'oj samaj, ojer taq jaloj"
Auto,Utukel
Auto Calculate Progress,Utukel rajilab'exik ri b'enam
Auto Set Missed Milestones,Utukel ub'ixik ri sachon taq rajilal
Auto-shift dependents when dates change,Utukel usilob'ixik taq tob'an toq kejal ri taq q'ij
Auto-Trail Start,Utukel uq'axik rutikirib'al
Auto-Trail updated,Utukel uq'axik k'exon chik
Automatically calculate project progress from task completion,Utukel rajilab'exik ri ub'enam ri nuk'samaj pa ri utz'aqatisaxik ri samaj
Automatically mark milestones as missed when overdue,Utukel ub'ixik ri taq rajilal achi'el sachon toq e b'enaq chik
Automation rule {0} not found,Man xriqitaj ta ri utukel b'anoj {0}
Automation: {0},Utukel b'anoj: {0}
Availability,K'olib'al
Available,K'o
Avatar updated successfully,Ri wachib'al k'exon chik rumal utz
Avg Progress,Nik'aj b'enam
Back,Tzulik
Back to Portal,Tzulik pa ri okib'al
Back to Projects,Tzulik pa taq nuk'samaj
Beginner,K'ak'
Best regards,Utz taq tzij
Billable,Tojb'al
Billable Amount,Rajil tojb'al
Billable Hours,Taq ramaj tojb'al
Billable Rate,Rajil tojb'al
Billing Rate,Rajil tojik
Blocked,K'aton
Both dates are needed to display task as a bar in Gantt chart,Ri ka'ib' taq q'ij e rajawaxik richin rik'utik ri samaj pa ri Gantt
Both doctype and docname are required,Ri doctype xuquje' ri docname e rajawaxik
Both proposed start and end times are required,Ri taq ramaj rutikirib'al xuquje' rik'isik ya'on kanoq e rajawaxik
Both task_name and depends_on are required,Ri task_name xuquje' ri depends_on e rajawaxik
Breadcrumb,Rub'eyal
Brief description of the defect or damage,Jun ko'l uchuq'ab'ixik ri itzelal o ri sach
Brief description of this template,Jun ko'l uchuq'ab'ixik re ri ruwachib'al
Brief description of your request,Jun ko'l uchuq'ab'ixik re ri atz'onoj
Brief project description,Jun ko'l uchuq'ab'ixik re ri nuk'samaj
Budget,Rajil pwaq
Budget at risk,Ri pwaq pa k'ax
Budget Burn Rate,Ruchojmil rokisaxik ri pwaq
Budget Status,Rub'anikil ri pwaq
Budget updated,Ri pwaq k'exon chik
Budget:,Pwaq:
Bug,Itzelal
Burn Rate,Ruchojmil rokisaxik
Busy,Nim samaj
By,Rumal
By Assignee,Rumal ya'on chi re
By Group,Rumal molaj
By Milestone,Rumal rajilal
By Priority,Rumal nab'eal
By Status,Rumal rub'anikil
Cancel,Q'atoj
Cancelled,Q'aton
cannot be undone,man tikirel ta utzuquxik
Cannot delete client with {0} linked projects. Unlink projects first.,Man tikirel ta usachik ri aqanel ruk' {0} ximon taq nuk'samaj. Nab'e kaq'at ri taq ximoj.
Cannot delete project with {0} linked tasks. Delete tasks first.,Man tikirel ta usachik ri nuk'samaj ruk' {0} ximon taq samaj. Nab'e kasach ri taq samaj.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Man tikirel ta usachik ri tob'anel ruk' {0} k'aslik taq ya'oj samaj. Nab'e katz'aqatisaj o kaq'atoj.
Cannot delete task with {0} subtasks. Delete subtasks first.,Man tikirel ta usachik ri samaj ruk' {0} ch'uti taq samaj. Nab'e kasach ri ch'uti taq samaj.
Capacity,Uchuq'ab'
capacity,uchuq'ab'
Capacity & Rates,Uchuq'ab' xuquje' taq rajil
Capture project structure for reuse,Chapoj ri ruch'ob'al ri nuk'samaj richin rokisaxik chik
Cascade,Q'axanik
Cascade Preview,Ruwach ri q'axanik
Category,Ruwach
Celebrate,Kikotemaj
Change,Jaloj
Change History,Ojer taq jaloj
Change Priority,Jaloj ri nab'eal
Change Status,Jaloj ri rub'anikil
Changes,Taq jaloj
Changes appear when fields are modified.,Ri taq jaloj kek'ut toq kejal ri taq k'ojlib'al.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Ruch'ob'al
Checklist item name is required,Ri ub'i' ri jastaq re ri ruch'ob'al rajawaxik
Checklist item not found,Man xriqitaj ta ri jastaq re ri ruch'ob'al
Checklist item title is required,Ri ub'i'aj ri jastaq re ri ruch'ob'al rajawaxik
Checklist item {0} not found,Man xriqitaj ta ri jastaq re ri ruch'ob'al {0}
Checklist item {0} not found in task,Man xriqitaj ta ri jastaq re ri ruch'ob'al {0} pa ri samaj
Child,Ral
Choose file to upload,Chaqa' jun yakb'al richin uteqib'axik
Circular dependency detected: {0},Xriqitaj jun sutin tob'al: {0}
Circular parent-child relationship detected,Xriqitaj jun sutin tata'-al k'utunisaxik
Clear,Sachaj
Clear all read,Sachaj ronojel sik'in
Clear date,Sachaj ri q'ij
Click on an activity from the list to view and manage its details.,Chapoj jun b'anob'al pa ri cholaj richin rilaxik xuquje' uchajixik.
Click the avatar to upload a new photo,Chapoj ri wachib'al richin uteqib'axik jun k'ak' wachib'al
Click to add description...,Chapoj richin utzijonik jun uchuq'ab'ixik...
Click to add notes...,Chapoj richin utzijonik taq tz'ib'...
Click to assign contact,Chapoj richin uya'ik chi re jun winaq
Click to change status,Chapoj richin ujalik ri rub'anikil
Click to change type,Chapoj richin ujalik ri ruwach
Click to edit,Chapoj richin utz'ib'axik
Click to edit budget,Chapoj richin utz'ib'axik ri pwaq
Click to edit description,Chapoj richin utz'ib'axik ri uchuq'ab'ixik
Click to edit end date,Chapoj richin utz'ib'axik ri q'ij rik'isik
Click to edit milestone name,Chapoj richin utz'ib'axik ri ub'i' ri rajilal
Click to edit rate,Chapoj richin utz'ib'axik ri rajil
Click to edit start date,Chapoj richin utz'ib'axik ri q'ij rutikirib'al
Click to edit title,Chapoj richin utz'ib'axik ri ub'i'aj
Click to load,Chapoj richin uyakik
Click to set group dependency...,Chapoj richin uya'ik ri tob'al re molaj...
Click to set group...,Chapoj richin uya'ik ri molaj...
Click to view,Chapoj richin rilaxik
Click to view at-risk projects,Chapoj richin kilaxik ri taq nuk'samaj pa k'ax
Click to view critical projects,Chapoj richin kilaxik ri nimalaj taq nuk'samaj
Click to view healthy projects,Chapoj richin kilaxik ri utzilaj taq nuk'samaj
Client,Aqanel
Client already has a portal user: {0},Ri aqanel k'o chik jun okisanel pa ri okib'al: {0}
Client already has portal access,Ri aqanel k'o chik rokem pa ri okib'al
Client has no portal user to revoke,Ri aqanel man k'o ta jun okisanel pa ri okib'al richin uq'atik
Client link removed from project {0},Ri ximoj re ri aqanel xelesaxik pa ri nuk'samaj {0}
Client Portal,Rokib'al ri aqanel
Client {0} deleted successfully,Ri aqanel {0} xsachik rumal utz
Close,Tz'apij
Close (Esc),Tz'apij (Esc)
Comment,Tzij
comment,tzij
Comment added,Ri tzij xtzijonik
Comment content is required,Ri ruk'u'x ri tzij rajawaxik
Comment name is required,Ri ub'i' ri tzij rajawaxik
Comment not found,Man xriqitaj ta ri tzij
Comment removed,Ri tzij xelesaxik
Comment {0} not found in task,Ri tzij {0} man xriqitaj ta pa ri samaj
Comments,Taq tzij
comments,taq tzij
Community Edition,Community Edition
Company,Nimaq molaj
Company name...,Ub'i' ri nimaq molaj...
Complete,Tz'aqatisaj
Completed,Tz'aqat
completed,tz'aqat
Completed Tasks,Tz'aqat taq samaj
Compliance,Uk'ulaxik
Configure default values for new projects and tasks,Chajij ri rajil ya'on kanoq re taq k'ak' nuk'samaj xuquje' taq samaj
Configure email notification settings,Chajij ri ruchajixik ri taqotzij
Confirm,Jikilib'ej
Contact deleted,Ri winaq xsachik
Contact Details,Retal ri winaq
Contact Information,Retamab'al ri winaq
Contact name is required,Ri ub'i' ri winaq rajawaxik
Contact Support,Tzijonik ruk' tob'anik
Contact your project manager for more information.,Tzijonik ruk' ri ajchak re ri nuk'samaj richin ch'aqa' chik retamab'al.
Contact:,Winaq:
Contacts,Taq winaq
Context,Ucholaj
Contractor,Ajsamaj
Cost estimate cannot be negative,Ri rajilab'exik man tikirel ta jun itzel ajilab'al
Cost Impact,Rub'anikil ri rajil
Cost Summary,Ruch'ob'al ri rajil
Could not apply the template. Please try again.,Man xtikir ta uchapik ri ruwachib'al. Tab'ana' utzil tatijoj chik.
Could not attach file to project,Man xtikir ta uximik ri yakb'al pa ri nuk'samaj
Could not change task priority,Man xtikir ta ujalik ri nab'eal re ri samaj
Could not change task status,Man xtikir ta ujalik ri rub'anikil re ri samaj
Could not delete the project. Please try again.,Man xtikir ta usachik ri nuk'samaj. Tab'ana' utzil tatijoj chik.
Could not delete the task. Please try again.,Man xtikir ta usachik ri samaj. Tab'ana' utzil tatijoj chik.
Could not delete the template.,Man xtikir ta usachik ri ruwachib'al.
Could not duplicate the task. Please try again.,Man xtikir ta ukopik ri samaj. Tab'ana' utzil tatijoj chik.
Could not export the template.,Man xtikir ta uteqik ri ruwachib'al.
Could not import the template. Please check the file format.,Man xtikir ta uyakik ri ruwachib'al. Tab'ana' utzil tanik'oj ri ruwach ri yakb'al.
Could not link task to milestone,Man xtikir ta uximik ri samaj pa ri rajilal
Could not load document details.,Man xtikir ta uyakik ri retal ri wuj.
Could not load task details,Man xtikir ta uyakik ri retal ri samaj
Could not promote checklist item to task.,Man xtikir ta uni'maxik ri jastaq re ri ruch'ob'al pa samaj.
Could not remove task from milestone,Man xtikir ta uelesaxik ri samaj pa ri rajilal
Could not save budget.,Man xtikir ta uyakik ri pwaq.
Could not save changes to the milestone,Man xtikir ta uyakik ri taq jaloj re ri rajilal
Could not save changes to the task,Man xtikir ta uyakik ri taq jaloj re ri samaj
Could not save description.,Man xtikir ta uyakik ri uchuq'ab'ixik.
Could not save end date.,Man xtikir ta uyakik ri q'ij rik'isik.
Could not save milestone name.,Man xtikir ta uyakik ri ub'i' ri rajilal.
Could not save start date.,Man xtikir ta uyakik ri q'ij rutikirib'al.
Could not save the template. Please try again.,Man xtikir ta uyakik ri ruwachib'al. Tab'ana' utzil tatijoj chik.
Could not save title.,Man xtikir ta uyakik ri ub'i'aj.
Could not update dependency mode.,Man xtikir ta uk'exik ri rub'eyal ri tob'al.
Could not update milestone date,Man xtikir ta uk'exik ri q'ij re ri rajilal
Could not update project status.,Man xtikir ta uk'exik ri rub'anikil re ri nuk'samaj.
Could not update project type.,Man xtikir ta uk'exik ri ruwach re ri nuk'samaj.
Could not update setting.,Man xtikir ta uk'exik ri chajoj.
Could not update task dates,Man xtikir ta uk'exik ri taq q'ij re ri samaj
Could not update task status,Man xtikir ta uk'exik ri rub'anikil re ri samaj
Could not update the template.,Man xtikir ta uk'exik ri ruwachib'al.
Create a copy of this task,B'anik jun ukopil re ri samaj
Create Contact,B'anik jun winaq
Create Event,B'anik jun nimaq'ij
Create Milestone,B'anik jun rajilal
Create New Milestone,B'anik jun k'ak' rajilal
Create New Task,B'anik jun k'ak' samaj
Create Project,B'anik jun nuk'samaj
Create Task,B'anik jun samaj
Create tasks and milestones from a template,B'anik taq samaj xuquje' taq rajilal pa jun ruwachib'al
Create your first project to get started.,Tab'ana' ri anab'e nuk'samaj richin atikirib'al.
Create your first task to start tracking work on this project.,Tab'ana' ri anab'e samaj richin atikirib'al reta'maxik ri samaj pa re ri nuk'samaj.
Created,B'an
Creating...,Kab'anik...
Critical,Nim retal
Critical Path,Nim ub'eyal
"Currency used for budgets, costs, and billing rates","Pwaq okisan richin taq pwaq, taq rajil xuquje' taq rajil tojik"
Current,Wakami
Current Assignments,Taq ya'oj samaj wakami
Current scheduled time:,Ramaj ya'on kanoq wakami:
Currently running version,Currently running version
d lag,q'ij eqanik
Daily Availability,K'olib'al jujun q'ij
Daily Hours,Taq ramaj jujun q'ij
Danger Zone,K'axk'olil
Dark,Q'equ'm
Dashboard,Ruwach ruchajixik
Date,Q'ij
Date changes on this task will show cascade impact here,Ri taq jaloj re q'ij pa re ri samaj xkik'ut ri rub'anikil ri q'axanik waral
Date cleared,Ri q'ij xsachik
Date of Joining,Ruq'ij uloq'ik
Date updated,Ri q'ij k'exon chik
Dates,Taq q'ij
Dates cascaded,Taq q'ij xeq'ax
Dates will be relative to the project's start date.,Ri taq q'ij xkib'an chi kiwach ri q'ij rutikirib'al re ri nuk'samaj.
Day,Q'ij
day,q'ij
days,taq q'ij
Days before due date to send reminder,Taq q'ij chuwach ri q'ij ruk'isib'al richin utaqik jun natab'al
Days Overdue,Taq q'ij b'enaq
Days Remaining,Taq q'ij k'o na
Deadline,Ruk'isib'al q'ij
Deadlines,Taq ruk'isib'al q'ij
Decision,Ch'ob'oj
Decline,Man kuk'ul ta
Declined,Man xuk'ul ta
Default Currency,Pwaq ya'on kanoq
Default hours per week for contact capacity planning,Taq ramaj ya'on kanoq pa wuqq'ij richin ruchojmil uchuq'ab' re taq winaq
Default Priority,Nab'eal ya'on kanoq
Default Project Status,Rub'anikil re nuk'samaj ya'on kanoq
Default Task Status,Rub'anikil re samaj ya'on kanoq
Default task view,Ruwach samaj ya'on kanoq
Default Values,Taq rajil ya'on kanoq
Default Weekly Capacity,Uchuq'ab' re wuqq'ij ya'on kanoq
Defaults,Ya'on kanoq
Defect Cost Impact,Rub'anikil rajil re ri itzelal
Defect name is required,Ri ub'i' ri itzelal rajawaxik
Defect Type,Ruwach ri itzelal
Defect {0} not found,Man xriqitaj ta ri itzelal {0}
Defects,Taq itzelal
Defects & Issues,Taq itzelal xuquje' taq k'ax
Defects Resolved,Taq itzelal chojmirisam
Delayed,Eqan
Delete,Sachaj
Delete Activity Data,Sachaj ri taq tzij re b'anob'al
Delete all read notifications?,Sachaj ronojel ri sik'in taq natab'al?
Delete comment,Sachaj ri tzij
Delete Contact,Sachaj ri winaq
Delete Event,Sachaj ri nimaq'ij
Delete Event?,Sachaj ri nimaq'ij?
Delete failed,Man xutzir ta ri sachik
Delete file,Sachaj ri yakb'al
Delete item,Sachaj ri jastaq
Delete note,Sachaj ri tz'ib'
Delete Project,Sachaj ri nuk'samaj
Delete Task,Sachaj ri samaj
Delete this project,Sachaj re ri nuk'samaj
Deleted,Sachon
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Xsachik ri nuk'samaj ""{0}"" ({1} taq samaj, {2} taq rajilal)"
Deletes notes and preferences. Source document is not affected.,Kusach ri taq tz'ib' xuquje' ri taq chaq'ab'. Ri qitzij wuj man kub'an ta chi re.
Deleting...,Kasachik...
Department,Tinamit
Dependencies,Taq tob'al
dependencies,taq tob'al
Dependencies are informational only,Ri taq tob'al xa retamab'al
dependency,tob'al
Dependency already exists,Ri tob'al k'o chik
Dependency Chain,Ruk'amaxik tob'al
Dependency created,Ri tob'al xb'an
Dependency mode updated,Ri rub'eyal ri tob'al k'exon chik
Dependency name is required,Ri ub'i' ri tob'al rajawaxik
Dependency task {0} not found,Man xriqitaj ta ri samaj tob'al {0}
Dependency {0} not found,Man xriqitaj ta ri tob'al {0}
depends,kutob'an
Depends on Group,Kutob'an pa ri molaj
Depends on task is required,Ri samaj tob'al rajawaxik
depends on...,kutob'an pa...
Descending -- click to reverse,Qajnaq -- chapoj richin ujalanik
Describe the defect in detail...,Tachuq'ab'ij ri itzelal pa retal ronojel...
Description,Uchuq'ab'ixik
Description updated,Ri uchuq'ab'ixik k'exon chik
Designation,Ruk'ojlib'al
"Detailed description of the defect, location, and impact","Uchuq'ab'ixik pa retal ronojel re ri itzelal, ri k'ojlib'al xuquje' ri rub'anikil"
Details,Taq retal
Discard timer,Sachaj ri ajilanel ramaj
Discussion,Tzijonik
Dismiss,Dismiss
Display,K'utub'al
Document,Wuj
Document attached to project,Wuj ximon pa ri nuk'samaj
Document final decision and rationale,Tz'ib'aj ri ruk'isib'al ch'ob'oj xuquje' ri ruk'u'x
Documentation Review,Uchajixik taq wuj
Documents,Taq wuj
Done,B'anon
Download,Qasaj
Drag to create dependency,Silob'ej richin ub'anik jun tob'al
Dry Run,Tijonik
Dry Run Complete,Tijonik tz'aqat
Due Date,Ruq'ij ruk'isib'al
Due date,Q'ij ruk'isib'al
Due Date (Earliest),Ruq'ij ruk'isib'al (ri nab'e)
Due date cannot be before start date,Ri q'ij ruk'isib'al man tikirel ta nab'e chuwach ri q'ij rutikirib'al
Due date is in the past,Ri q'ij ruk'isib'al xb'e chik
Due Date Reminders,Taq natab'al re q'ij ruk'isib'al
Due Diligence,Uchajixik pa retal ronojel
Due Diligence Checklist,Ruch'ob'al re uchajixik pa retal ronojel
Due This Week,Pa re ri wuqq'ij
Due:,Ruk'isib'al:
Duplicate events are not allowed,Man tikirel ta ka'ib' nimaq'ij junam
Duplicate failed,Man xutzir ta ri ukopik
Duplicate Task,Kopij ri samaj
Duration,Rejqalem
Duration Summary,Ruch'ob'al ri rejqalem
Duration:,Rejqalem:
e.g. Cracked wall finish in bathroom...,achi'el: Q'aq'ob' pa ri ruchajab'al ri ja re ya'...
"e.g. Electrical, Plumbing...","achi'el: Q'aq' ya', Tub'..."
Edit,Tz'ib'aj
Edit (E),Tz'ib'aj (E)
Edit dependency,Tz'ib'aj ri tob'al
Edit Event,Tz'ib'aj ri nimaq'ij
Efficiency,Utzilal samaj
Either dependency_name or depends_on is required,Rajawaxik ri dependency_name o ri depends_on
Email,Taqotzij
Email invitations to all attendees,Taqotzij tz'onoj chi ke ronojel e okinaq
Email is required to create portal user,Ri taqotzij rajawaxik richin ub'anik jun okisanel re ri okib'al
Email notifications,Taq natab'al pa taqotzij
Employee,Ajsamaj
Employee DocType not available,Ri DocType Ajsamaj man k'o ta
Employee not found,Man xriqitaj ta ri ajsamaj
Enable or disable optional features,Tzij o chupij ri taq chaq'ab'il
Enable Time Tracking,Tzij ri reta'maxik ramaj
End,Rik'isik
End Date,Q'ij rik'isik
End date,Q'ij rik'isik
End Date cannot be before Start Date,Ri q'ij rik'isik man tikirel ta nab'e chuwach ri q'ij rutikirib'al
End date cannot be before start date,Ri q'ij rik'isik man tikirel ta nab'e chuwach ri q'ij rutikirib'al
End date updated,Ri q'ij rik'isik k'exon chik
End time was before start time. Adjusted to 1 hour after start.,Ri ramaj rik'isik xk'oje' nab'e chuwach ri ramaj rutikirib'al. Xjalataj pa 1 ramaj chirij ri rutikirib'al.
End:,Rik'isik:
Enter milestone name...,Tatz'ib'aj ri ub'i' ri rajilal...
Enter project name,Tatz'ib'aj ri ub'i' ri nuk'samaj
Enter task title...,Tatz'ib'aj ri ub'i'aj ri samaj...
Enter template name,Tatz'ib'aj ri ub'i' ri ruwachib'al
Enter your note... Use @name to mention someone,Tatz'ib'aj ri atz'ib'... Tokisaj @b'i'aj richin ub'ixik jun winaq
Error,Sachoj
Error loading activity,Sachoj toq xuyak ri b'anob'al
Error loading contacts,Sachoj toq xeyak ri taq winaq
Error loading dashboard,Sachoj toq xuyak ri ruwach ruchajixik
Error loading project,Sachoj toq xuyak ri nuk'samaj
Error loading projects,Sachoj toq xeyak ri taq nuk'samaj
Error loading settings,Sachoj toq xeyak ri taq chajoj
Error loading tasks,Sachoj toq xeyak ri taq samaj
Error loading templates,Sachoj toq xeyak ri taq ruwachib'al
Est. Hours,Taq ramaj ajil.
Estimated,Ajilab'en
Estimated Cost,Rajil ajilab'en
Estimated Cost (€),Rajil ajilab'en (€)
Estimated Hours,Taq ramaj ajilab'en
Estimated:,Ajilab'en:
Evaluate potential risks and concerns,Tanik'oj ri taq k'ax xuquje' taq na'oj
Event,Nimaq'ij
Event is required for event context,Ri nimaq'ij rajawaxik re ri ucholaj nimaq'ij
Event is required when tracking context is 'event',Ri nimaq'ij rajawaxik toq ri ucholaj reta'maxik ja ri 'nimaq'ij'
Event Type,Ruwach nimaq'ij
Events,Taq nimaq'ij
Events not available. Please run: bench --site orga.localhost migrate,Ri taq nimaq'ij man e k'o ta. Tab'ana' utzil tachakuj: bench --site orga.localhost migrate
Events:,Taq nimaq'ij:
Expert,Nimalaj etamanel
Explain why you are proposing a different time...,Tachuq'ab'ij achike ruma kawaj jun chik ramaj...
Export,Teqij
Export failed,Man xutzir ta ri uteqik
Export JSON,Teqij pa JSON
Exported,Teqin
Exported to timesheet {0},Teqin pa ri ruwujil ramaj {0}
External,Chupam
Failed to add item,Man xutzir ta utzijonik ri jastaq
Failed to add note,Man xutzir ta utzijonik ri tz'ib'
Failed to add skill,Man xutzir ta utzijonik ri etamab'al
Failed to apply cascade changes: {0},Man xutzir ta uchapik ri taq jaloj q'axanik: {0}
Failed to create defect,Man xutzir ta ub'anik ri itzelal
Failed to create dependency,Man xutzir ta ub'anik ri tob'al
Failed to create event,Man xutzir ta ub'anik ri nimaq'ij
Failed to create milestone,Man xutzir ta ub'anik ri rajilal
Failed to create project,Man xutzir ta ub'anik ri nuk'samaj
Failed to create task,Man xutzir ta ub'anik ri samaj
Failed to create time log,Man xutzir ta ub'anik ri tz'ib'anik ramaj
Failed to delete,Man xutzir ta ri sachik
Failed to delete comment,Man xutzir ta usachik ri tzij
Failed to delete contact,Man xutzir ta usachik ri winaq
Failed to load,Man xutzir ta uyakik
Failed to load activity,Man xutzir ta uyakik ri b'anob'al
Failed to load assignments,Man xutzir ta uyakik ri taq ya'oj samaj
