+ Add Milestone,+ Magdagdag ng Milestone
Add details about this event...,Magdagdag ng detalye tungkol sa event na ito...
Add details about this milestone...,Magdagdag ng detalye tungkol sa milestone na ito...
Add details about this task...,Magdagdag ng detalye tungkol sa gawaing ito...
Add details or acceptance criteria for this milestone,Magdagdag ng detalye o pamantayan para sa milestone na ito
"Add details, context, or acceptance criteria","Magdagdag ng mga detalye, konteksto, o pamantayan"
Add first dependency,Magdagdag ng unang dependency
Add item,Magdagdag ng item
Add items below to track progress.,Magdagdag ng mga item sa ibaba para subaybayan ang progreso.
Add items below to track subtasks,Magdagdag ng mga item sa ibaba para subaybayan ang mga sub-gawain
Add Milestone,Magdagdag ng Milestone
Add Milestone (Shift+M),Magdagdag ng Milestone (Shift+M)
Add milestones to track key deliverables.,Magdagdag ng mga milestone para subaybayan ang mga mahahalagang output.
Add New Contact,Magdagdag ng Bagong Kontak
Add Note,Magdagdag ng Tala
Add note,Magdagdag ng tala
Add notes about this contact...,Magdagdag ng mga tala tungkol sa kontak na ito...
Add reaction,Magdagdag ng reaksyon
Add Skill,Magdagdag ng Kasanayan
Add start and due dates to tasks to see them on the Gantt chart,Magdagdag ng petsa ng simula at deadline sa mga gawain para makita sa Gantt chart
Add Task,Magdagdag ng Gawain
Add Task (Shift+T),Magdagdag ng Gawain (Shift+T)
Added Finish-to-Start dependency,Naidagdag ang Finish-to-Start dependency
Adding this dependency would create a circular reference: {0},Ang pagdagdag ng dependency na ito ay lilikha ng circular reference: {0}
Adding...,Idinadagdag...
Address,Adres
Advanced,Advanced
All,Lahat
All Active,Lahat ng Aktibo
All Assignees,Lahat ng Nakatalaga
All Categories,Lahat ng Kategorya
All caught up!,Wala nang bago!
All Contexts,Lahat ng Konteksto
All day,Buong araw
All day event,Buong araw na event
All fields,Lahat ng field
All Priorities,Lahat ng Priyoridad
All Projects,Lahat ng Proyekto
All Status,Lahat ng Status
All Statuses,Lahat ng Status
All task dependencies & relative dates,Lahat ng task dependency at relative na petsa
All Tasks,Lahat ng Gawain
All tasks across all projects.,Lahat ng gawain sa lahat ng proyekto.
All tasks are already linked,Lahat ng gawain ay naka-link na
All team members,Lahat ng miyembro ng team
All Types,Lahat ng Uri
All Users,Lahat ng User
Allocated,Inilaan
allocated,inilaan
Allow users to log time against tasks,Payagan ang mga user na mag-log ng oras sa mga gawain
Already exported to timesheet {0},Na-export na sa timesheet {0}
Already Migrated,Na-migrate na
Anyone with access,Sinumang may access
anytime to show this help,anumang oras para ipakita ang tulong na ito
App Updates,App Updates
Appearance,Hitsura
Apply,Ilapat
Apply cascade?,Ilapat ang cascade?
Apply Changes,Ilapat ang mga Pagbabago
Apply failed,Nabigo ang paglalapat
Apply Template,Ilapat ang Template
Applying...,Inilalapat...
Appointment,Appointment
Appointment and resource are required,Kinakailangan ang appointment at resource
Appointment name is required,Kinakailangan ang pangalan ng appointment
Appointment not found,Hindi nahanap ang appointment
Appointment {0} not found,Hindi nahanap ang appointment {0}
Apps,Mga App
Archive,I-archive
Archive Activity,I-archive ang Aktibidad
Archived,Naka-archive
Are you sure you want to delete this activity data? This cannot be undone.,Sigurado ka bang gusto mong burahin ang data ng aktibidad na ito? Hindi na ito maibabalik.
Are you sure you want to delete this comment?,Sigurado ka bang gusto mong burahin ang komentong ito?
Are you sure you want to delete this project?,Sigurado ka bang gusto mong burahin ang proyektong ito?
Are you sure?,Sigurado ka ba?
Ascending -- click to reverse,Pataas -- i-click para baligtarin
Assign To,Italaga Sa
Assign to Me,Italaga sa Akin
Assigned Contact,Nakatalagang Kontak
Assigned To,Nakatalaga Sa
Assigned to,Nakatalaga sa
Assigned to Me,Nakatalaga sa Akin
Assignee,Nakatalaga
Assignment,Takda
Assignment History,Kasaysayan ng Takda
Assignment name is required,Kinakailangan ang pangalan ng takda
Assignment {0} not found,Hindi nahanap ang takda {0}
Assignments,Mga Takda
At least one action is required,Kailangan ng kahit isang aksyon
At least one event is required,Kailangan ng kahit isang event
At least one event must be selected,Kailangan pumili ng kahit isang event
Attachment,Attachment
Attachments,Mga Attachment
Attendees,Mga Dadalo
"Audit trail, assignments, version history","Audit trail, mga takda, kasaysayan ng bersyon"
Auto,Awtomatiko
Auto Calculate Progress,Awtomatikong Kalkulahin ang Progreso
Auto Set Missed Milestones,Awtomatikong Markahan ang Napalampas na Milestone
Auto-shift dependents when dates change,Awtomatikong iusad ang mga dependent kapag nagbago ang mga petsa
Auto-Trail Start,Awtomatikong Pag-usad ng Simula
Auto-Trail updated,Na-update ang awtomatikong pag-usad
Automatically calculate project progress from task completion,Awtomatikong kalkulahin ang progreso ng proyekto mula sa natapos na mga gawain
Automatically mark milestones as missed when overdue,Awtomatikong markahan ang mga milestone bilang napalampas kapag lampas na sa deadline
Automation rule {0} not found,Hindi nahanap ang automation rule {0}
Automation: {0},Automation: {0}
Availability,Availability
Available,Available
Avatar updated successfully,Matagumpay na na-update ang avatar
Avg Progress,Average na Progreso
Back,Bumalik
Back to Portal,Bumalik sa Portal
Back to Projects,Bumalik sa mga Proyekto
Beginner,Baguhan
Best regards,Nangangamusta
Billable,Masisingil
Billable Amount,Masisingil na Halaga
Billable Hours,Masisingil na Oras
Billable Rate,Rate ng Singil
Billing Rate,Rate ng Pagsingil
Blocked,Naka-block
Both dates are needed to display task as a bar in Gantt chart,Kailangan ang parehong petsa para ipakita ang gawain bilang bar sa Gantt chart
Both doctype and docname are required,Kailangan pareho ang doctype at docname
Both proposed start and end times are required,Kailangan pareho ang iminungkahing oras ng simula at pagtatapos
Both task_name and depends_on are required,Kailangan pareho ang task_name at depends_on
Breadcrumb,Breadcrumb
Brief description of the defect or damage,Maikling paglalarawan ng depekto o pinsala
Brief description of this template,Maikling paglalarawan ng template na ito
Brief description of your request,Maikling paglalarawan ng iyong kahilingan
Brief project description,Maikling paglalarawan ng proyekto
Budget,Badyet
Budget at risk,Badyet sa panganib
Budget Burn Rate,Bilis ng Paggastos ng Badyet
Budget Status,Status ng Badyet
Budget updated,Na-update ang badyet
Budget:,Badyet:
Bug,Bug
Burn Rate,Bilis ng Paggastos
Busy,Abala
By,Ni
By Assignee,Ayon sa Nakatalaga
By Group,Ayon sa Grupo
By Milestone,Ayon sa Milestone
By Priority,Ayon sa Priyoridad
By Status,Ayon sa Status
Cancel,Kanselahin
Cancelled,Kinansela
cannot be undone,hindi na maibabalik
Cannot delete client with {0} linked projects. Unlink projects first.,Hindi mabubura ang kliyente na may {0} naka-link na proyekto. I-unlink muna ang mga proyekto.
Cannot delete project with {0} linked tasks. Delete tasks first.,Hindi mabubura ang proyekto na may {0} naka-link na gawain. Burahin muna ang mga gawain.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Hindi mabubura ang resource na may {0} aktibong takda. Tapusin o kanselahin muna ang mga ito.
Cannot delete task with {0} subtasks. Delete subtasks first.,Hindi mabubura ang gawain na may {0} sub-gawain. Burahin muna ang mga sub-gawain.
Capacity,Kapasidad
capacity,kapasidad
Capacity & Rates,Kapasidad at mga Rate
Capture project structure for reuse,I-save ang istruktura ng proyekto para magamit ulit
Cascade,Cascade
Cascade Preview,Preview ng Cascade
Category,Kategorya
Celebrate,Ipagdiwang
Change,Baguhin
Change History,Kasaysayan ng mga Pagbabago
Change Priority,Baguhin ang Priyoridad
Change Status,Baguhin ang Status
Changes,Mga Pagbabago
Changes appear when fields are modified.,Lalabas ang mga pagbabago kapag binago ang mga field.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Checklist
Checklist item name is required,Kinakailangan ang pangalan ng checklist item
Checklist item not found,Hindi nahanap ang checklist item
Checklist item title is required,Kinakailangan ang pamagat ng checklist item
Checklist item {0} not found,Hindi nahanap ang checklist item {0}
Checklist item {0} not found in task,Hindi nahanap ang checklist item {0} sa gawain
Child,Anak
Choose file to upload,Pumili ng file na ia-upload
Circular dependency detected: {0},Nakita ang circular dependency: {0}
Circular parent-child relationship detected,Nakita ang circular na relasyon ng magulang-anak
Clear,Burahin
Clear all read,Burahin lahat ng nabasa
Clear date,Burahin ang petsa
Click on an activity from the list to view and manage its details.,I-click ang isang aktibidad mula sa listahan para tingnan at pamahalaan ang mga detalye nito.
Click the avatar to upload a new photo,I-click ang avatar para mag-upload ng bagong larawan
Click to add description...,I-click para magdagdag ng paglalarawan...
Click to add notes...,I-click para magdagdag ng mga tala...
Click to assign contact,I-click para magtalaga ng kontak
Click to change status,I-click para baguhin ang status
Click to change type,I-click para baguhin ang uri
Click to edit,I-click para i-edit
Click to edit budget,I-click para i-edit ang badyet
Click to edit description,I-click para i-edit ang paglalarawan
Click to edit end date,I-click para i-edit ang petsa ng pagtatapos
Click to edit milestone name,I-click para i-edit ang pangalan ng milestone
Click to edit rate,I-click para i-edit ang rate
Click to edit start date,I-click para i-edit ang petsa ng simula
Click to edit title,I-click para i-edit ang pamagat
Click to load,I-click para i-load
Click to set group dependency...,I-click para itakda ang group dependency...
Click to set group...,I-click para itakda ang grupo...
Click to view,I-click para tingnan
Click to view at-risk projects,I-click para tingnan ang mga proyektong nasa panganib
Click to view critical projects,I-click para tingnan ang mga kritikal na proyekto
Click to view healthy projects,I-click para tingnan ang mga malusog na proyekto
Client,Kliyente
Client already has a portal user: {0},May portal user na ang kliyente: {0}
Client already has portal access,May portal access na ang kliyente
Client has no portal user to revoke,Walang portal user ang kliyente na maaaring bawiin
Client link removed from project {0},Natanggal ang link ng kliyente mula sa proyekto {0}
Client Portal,Portal ng Kliyente
Client {0} deleted successfully,Matagumpay na nabura ang kliyente {0}
Close,Isara
Close (Esc),Isara (Esc)
Comment,Komento
comment,komento
Comment added,Naidagdag ang komento
Comment content is required,Kinakailangan ang nilalaman ng komento
Comment name is required,Kinakailangan ang pangalan ng komento
Comment not found,Hindi nahanap ang komento
Comment removed,Natanggal ang komento
Comment {0} not found in task,Hindi nahanap ang komento {0} sa gawain
Comments,Mga Komento
comments,mga komento
Community Edition,Community Edition
Company,Kumpanya
Company name...,Pangalan ng kumpanya...
Complete,Tapusin
Completed,Tapos na
completed,tapos na
Completed Tasks,Mga Natapos na Gawain
Compliance,Pagsunod
Configure default values for new projects and tasks,I-configure ang mga default na halaga para sa bagong proyekto at gawain
Configure email notification settings,I-configure ang mga setting ng email notification
Confirm,Kumpirmahin
Contact deleted,Nabura ang kontak
Contact Details,Mga Detalye ng Kontak
Contact Information,Impormasyon ng Kontak
Contact name is required,Kinakailangan ang pangalan ng kontak
Contact Support,Makipag-ugnayan sa Support
Contact your project manager for more information.,Makipag-ugnayan sa iyong project manager para sa karagdagang impormasyon.
Contact:,Kontak:
Contacts,Mga Kontak
Context,Konteksto
Contractor,Kontratista
Cost estimate cannot be negative,Hindi maaaring negatibo ang tinatayang gastos
Cost Impact,Epekto sa Gastos
Cost Summary,Buod ng Gastos
Could not apply the template. Please try again.,Hindi mailapat ang template. Pakisubukan ulit.
Could not attach file to project,Hindi maikabit ang file sa proyekto
Could not change task priority,Hindi mabago ang priyoridad ng gawain
Could not change task status,Hindi mabago ang status ng gawain
Could not delete the project. Please try again.,Hindi mabura ang proyekto. Pakisubukan ulit.
Could not delete the task. Please try again.,Hindi mabura ang gawain. Pakisubukan ulit.
Could not delete the template.,Hindi mabura ang template.
Could not duplicate the task. Please try again.,Hindi ma-duplicate ang gawain. Pakisubukan ulit.
Could not export the template.,Hindi ma-export ang template.
Could not import the template. Please check the file format.,Hindi ma-import ang template. Pakitingnan ang format ng file.
Could not link task to milestone,Hindi ma-link ang gawain sa milestone
Could not load document details.,Hindi ma-load ang mga detalye ng dokumento.
Could not load task details,Hindi ma-load ang mga detalye ng gawain
Could not promote checklist item to task.,Hindi mapromote ang checklist item sa gawain.
Could not remove task from milestone,Hindi matanggal ang gawain mula sa milestone
Could not save budget.,Hindi ma-save ang badyet.
Could not save changes to the milestone,Hindi ma-save ang mga pagbabago sa milestone
Could not save changes to the task,Hindi ma-save ang mga pagbabago sa gawain
Could not save description.,Hindi ma-save ang paglalarawan.
Could not save end date.,Hindi ma-save ang petsa ng pagtatapos.
Could not save milestone name.,Hindi ma-save ang pangalan ng milestone.
Could not save start date.,Hindi ma-save ang petsa ng simula.
Could not save the template. Please try again.,Hindi ma-save ang template. Pakisubukan ulit.
Could not save title.,Hindi ma-save ang pamagat.
Could not update dependency mode.,Hindi ma-update ang dependency mode.
Could not update milestone date,Hindi ma-update ang petsa ng milestone
Could not update project status.,Hindi ma-update ang status ng proyekto.
Could not update project type.,Hindi ma-update ang uri ng proyekto.
Could not update setting.,Hindi ma-update ang setting.
Could not update task dates,Hindi ma-update ang mga petsa ng gawain
Could not update task status,Hindi ma-update ang status ng gawain
Could not update the template.,Hindi ma-update ang template.
Create a copy of this task,Gumawa ng kopya ng gawaing ito
Create Contact,Gumawa ng Kontak
Create Event,Gumawa ng Event
Create Milestone,Gumawa ng Milestone
Create New Milestone,Gumawa ng Bagong Milestone
Create New Task,Gumawa ng Bagong Gawain
Create Project,Gumawa ng Proyekto
Create Task,Gumawa ng Gawain
Create tasks and milestones from a template,Gumawa ng mga gawain at milestone mula sa isang template
Create your first project to get started.,Gumawa ng iyong unang proyekto para magsimula.
Create your first task to start tracking work on this project.,Gumawa ng iyong unang gawain para magsimulang subaybayan ang trabaho sa proyektong ito.
Created,Ginawa
Creating...,Ginagawa...
Critical,Kritikal
Critical Path,Critical Path
"Currency used for budgets, costs, and billing rates","Pera na ginagamit para sa badyet, gastos, at rate ng pagsingil"
Current,Kasalukuyan
Current Assignments,Kasalukuyang mga Takda
Current scheduled time:,Kasalukuyang nakatakdang oras:
Currently running version,Currently running version
d lag,d na pagkaantala
Daily Availability,Araw-araw na Availability
Daily Hours,Araw-araw na Oras
Danger Zone,Danger Zone
Dark,Madilim
Dashboard,Dashboard
Date,Petsa
Date changes on this task will show cascade impact here,Ang mga pagbabago ng petsa sa gawaing ito ay magpapakita ng cascade impact dito
Date cleared,Nabura ang petsa
Date of Joining,Petsa ng Pagsali
Date updated,Na-update ang petsa
Dates,Mga Petsa
Dates cascaded,Na-cascade ang mga petsa
Dates will be relative to the project's start date.,Ang mga petsa ay magiging relatibo sa petsa ng simula ng proyekto.
Day,Araw
day,araw
days,mga araw
Days before due date to send reminder,Mga araw bago ang deadline para magpadala ng paalala
Days Overdue,Mga Araw na Lampas sa Deadline
Days Remaining,Mga Natitirang Araw
Deadline,Deadline
Deadlines,Mga Deadline
Decision,Desisyon
Decline,Tanggihan
Declined,Tinanggihan
Default Currency,Default na Pera
Default hours per week for contact capacity planning,Default na oras bawat linggo para sa pagplano ng kapasidad ng kontak
Default Priority,Default na Priyoridad
Default Project Status,Default na Status ng Proyekto
Default Task Status,Default na Status ng Gawain
Default task view,Default na view ng gawain
Default Values,Mga Default na Halaga
Default Weekly Capacity,Default na Lingguhang Kapasidad
Defaults,Mga Default
Defect Cost Impact,Epekto ng Gastos ng Depekto
Defect name is required,Kinakailangan ang pangalan ng depekto
Defect Type,Uri ng Depekto
Defect {0} not found,Hindi nahanap ang depekto {0}
Defects,Mga Depekto
Defects & Issues,Mga Depekto at Isyu
Defects Resolved,Mga Naayos na Depekto
Delayed,Naaantala
Delete,Burahin
Delete Activity Data,Burahin ang Data ng Aktibidad
Delete all read notifications?,Burahin lahat ng nabasa na notification?
Delete comment,Burahin ang komento
Delete Contact,Burahin ang Kontak
Delete Event,Burahin ang Event
Delete Event?,Burahin ang Event?
Delete failed,Nabigo ang pagbura
Delete file,Burahin ang file
Delete item,Burahin ang item
Delete note,Burahin ang tala
Delete Project,Burahin ang Proyekto
Delete Task,Burahin ang Gawain
Delete this project,Burahin ang proyektong ito
Deleted,Nabura
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Nabura ang proyektong ""{0}"" ({1} gawain, {2} milestone)"
Deletes notes and preferences. Source document is not affected.,Buburahin ang mga tala at preference. Hindi maaapektuhan ang source document.
Deleting...,Binubura...
Department,Departamento
Dependencies,Mga Dependency
dependencies,mga dependency
Dependencies are informational only,Ang mga dependency ay para sa impormasyon lamang
dependency,dependency
Dependency already exists,Umiiral na ang dependency
Dependency Chain,Dependency Chain
Dependency created,Nagawa ang dependency
Dependency mode updated,Na-update ang dependency mode
Dependency name is required,Kinakailangan ang pangalan ng dependency
Dependency task {0} not found,Hindi nahanap ang dependency task {0}
Dependency {0} not found,Hindi nahanap ang dependency {0}
depends,nakadepende
Depends on Group,Nakadepende sa Grupo
Depends on task is required,Kinakailangan ang dependency task
depends on...,nakadepende sa...
Descending -- click to reverse,Pababa -- i-click para baligtarin
Describe the defect in detail...,Ilarawan ang depekto nang detalyado...
Description,Paglalarawan
Description updated,Na-update ang paglalarawan
Designation,Tungkulin
"Detailed description of the defect, location, and impact","Detalyadong paglalarawan ng depekto, lokasyon, at epekto"
Details,Mga Detalye
Discard timer,Itapon ang timer
Discussion,Diskusyon
Dismiss,Dismiss
Display,Display
Document,Dokumento
Document attached to project,Naikabit ang dokumento sa proyekto
Document final decision and rationale,Idokumento ang huling desisyon at dahilan
Documentation Review,Pagsusuri ng Dokumentasyon
Documents,Mga Dokumento
Done,Tapos na
Download,I-download
Drag to create dependency,I-drag para gumawa ng dependency
Dry Run,Dry Run
Dry Run Complete,Tapos na ang Dry Run
Due Date,Deadline
Due date,Deadline
Due Date (Earliest),Deadline (Pinakamaagang)
Due date cannot be before start date,Ang deadline ay hindi maaaring mauna sa petsa ng simula
Due date is in the past,Ang deadline ay nakaraan na
Due Date Reminders,Mga Paalala ng Deadline
Due Diligence,Due Diligence
Due Diligence Checklist,Due Diligence Checklist
Due This Week,Deadline Ngayong Linggo
Due:,Deadline:
Duplicate events are not allowed,Hindi pinapayagan ang mga duplicate na event
Duplicate failed,Nabigo ang pag-duplicate
Duplicate Task,I-duplicate ang Gawain
Duration,Tagal
Duration Summary,Buod ng Tagal
Duration:,Tagal:
e.g. Cracked wall finish in bathroom...,hal.: Bitak sa dingding ng banyo...
"e.g. Electrical, Plumbing...","hal.: Elektrikal, Tubero..."
Edit,I-edit
Edit (E),I-edit (E)
Edit dependency,I-edit ang dependency
Edit Event,I-edit ang Event
Efficiency,Kahusayan
Either dependency_name or depends_on is required,Kailangan ang dependency_name o depends_on
Email,Email
Email invitations to all attendees,Mga email invitation sa lahat ng dadalo
Email is required to create portal user,Kinakailangan ang email para gumawa ng portal user
Email notifications,Mga email notification
Employee,Empleyado
Employee DocType not available,Hindi available ang Employee DocType
Employee not found,Hindi nahanap ang empleyado
Enable or disable optional features,I-enable o i-disable ang mga opsyonal na feature
Enable Time Tracking,I-enable ang Pagsubaybay ng Oras
End,Pagtatapos
End Date,Petsa ng Pagtatapos
End date,Petsa ng pagtatapos
End Date cannot be before Start Date,Ang petsa ng pagtatapos ay hindi maaaring mauna sa petsa ng simula
End date cannot be before start date,Ang petsa ng pagtatapos ay hindi maaaring mauna sa petsa ng simula
End date updated,Na-update ang petsa ng pagtatapos
End time was before start time. Adjusted to 1 hour after start.,Ang oras ng pagtatapos ay nauna sa oras ng simula. Inayos sa 1 oras pagkatapos ng simula.
End:,Pagtatapos:
Enter milestone name...,Ilagay ang pangalan ng milestone...
Enter project name,Ilagay ang pangalan ng proyekto
Enter task title...,Ilagay ang pamagat ng gawain...
Enter template name,Ilagay ang pangalan ng template
Enter your note... Use @name to mention someone,Ilagay ang iyong tala... Gamitin ang @pangalan para banggitin ang isang tao
Error,Error
Error loading activity,Error sa pag-load ng aktibidad
Error loading contacts,Error sa pag-load ng mga kontak
Error loading dashboard,Error sa pag-load ng dashboard
Error loading project,Error sa pag-load ng proyekto
Error loading projects,Error sa pag-load ng mga proyekto
Error loading settings,Error sa pag-load ng mga setting
Error loading tasks,Error sa pag-load ng mga gawain
Error loading templates,Error sa pag-load ng mga template
Est. Hours,Tinatayang Oras
Estimated,Tinataya
Estimated Cost,Tinatayang Gastos
Estimated Cost (€),Tinatayang Gastos (€)
Estimated Hours,Tinatayang Oras
Estimated:,Tinataya:
Evaluate potential risks and concerns,Suriin ang mga potensyal na panganib at alalahanin
Event,Event
Event is required for event context,Kinakailangan ang event para sa event context
Event is required when tracking context is 'event',Kinakailangan ang event kapag ang tracking context ay 'event'
Event Type,Uri ng Event
Events,Mga Event
Events not available. Please run: bench --site orga.localhost migrate,Hindi available ang mga event. Pakipatakbo: bench --site orga.localhost migrate
Events:,Mga Event:
Expert,Eksperto
Explain why you are proposing a different time...,Ipaliwanag kung bakit ka nagmumungkahi ng ibang oras...
Export,I-export
Export failed,Nabigo ang pag-export
Export JSON,I-export bilang JSON
Exported,Na-export
Exported to timesheet {0},Na-export sa timesheet {0}
External,Panlabas
Failed to add item,Nabigo ang pagdagdag ng item
Failed to add note,Nabigo ang pagdagdag ng tala
Failed to add skill,Nabigo ang pagdagdag ng kasanayan
Failed to apply cascade changes: {0},Nabigo ang paglalapat ng cascade na pagbabago: {0}
Failed to create defect,Nabigo ang paggawa ng depekto
Failed to create dependency,Nabigo ang paggawa ng dependency
Failed to create event,Nabigo ang paggawa ng event
Failed to create milestone,Nabigo ang paggawa ng milestone
Failed to create project,Nabigo ang paggawa ng proyekto
Failed to create task,Nabigo ang paggawa ng gawain
Failed to create time log,Nabigo ang paggawa ng time log
Failed to delete,Nabigo ang pagbura
Failed to delete comment,Nabigo ang pagbura ng komento
Failed to delete contact,Nabigo ang pagbura ng kontak
Failed to load,Nabigo ang pag-load
Failed to load activity,Nabigo ang pag-load ng aktibidad
Failed to load assignments,Nabigo ang pag-load ng mga takda
Failed to load contact,Nabigo ang pag-load ng kontak
Failed to load dashboard data,Nabigo ang pag-load ng data ng dashboard
Failed to load defects,Nabigo ang pag-load ng mga depekto
Failed to load events,Nabigo ang pag-load ng mga event
Failed to load project,Nabigo ang pag-load ng proyekto
Failed to load projects,Nabigo ang pag-load ng mga proyekto
Failed to load report data,Nabigo ang pag-load ng data ng report
Failed to load settings,Nabigo ang pag-load ng mga setting
Failed to load tasks,Nabigo ang pag-load ng mga gawain
Failed to move task,Nabigo ang paglipat ng gawain
Failed to post comment,Nabigo ang pag-post ng komento
Failed to propose new time,Nabigo ang pagmungkahi ng bagong oras
Failed to remove item,Nabigo ang pagtanggal ng item
Failed to remove skill,Nabigo ang pagtanggal ng kasanayan
Failed to reorder milestones: {0},Nabigo ang pag-aayos ng mga milestone: {0}
Failed to reorder tasks: {0},Nabigo ang pag-aayos ng mga gawain: {0}
Failed to reschedule dependent tasks: {0},Nabigo ang pag-reschedule ng mga dependent na gawain: {0}
Failed to save,Nabigo ang pag-save
Failed to save preferences,Nabigo ang pag-save ng mga preference
Failed to save settings,Nabigo ang pag-save ng mga setting
Failed to submit request. Please try again.,Nabigo ang pag-submit ng kahilingan. Pakisubukan ulit.
Failed to update item,Nabigo ang pag-update ng item
Failed to update priority,Nabigo ang pag-update ng priyoridad
Failed to update task,Nabigo ang pag-update ng gawain
Failed to update tasks: {0},Nabigo ang pag-update ng mga gawain: {0}
Failed to upload avatar,Nabigo ang pag-upload ng avatar
Feature,Feature
Features,Mga Feature
FF (Finish-Finish),FF (Finish-Finish)
FF - Finish-to-Finish,FF - Finish-to-Finish
Field has been updated,Na-update na ang field
Field name is required for 'Set Field Value' action,Kinakailangan ang pangalan ng field para sa aksyong 'Set Field Value'
Field {0} is not a Link field,Ang field {0} ay hindi isang Link field
Field {0} not found in {1},Hindi nahanap ang field {0} sa {1}
File,File
file,file
File does not belong to this task,Hindi kabilang ang file sa gawaing ito
File name is required,Kinakailangan ang pangalan ng file
File uploaded,Na-upload ang file
File {0} not found,Hindi nahanap ang file {0}
Files,Mga File
files,mga file
Filter,I-filter
Final Decision,Huling Desisyon
Finance,Pananalapi
Financial,Pinansyal
Finish-to-Finish,Finish-to-Finish
Finish-to-Start,Finish-to-Start
Flag,I-flag
Flag for attention,I-flag para sa pansin
Flagged,Naka-flag
Focus Panel,Focus Panel
Follows your system preference. Currently:,Sumusunod sa iyong system preference. Kasalukuyan:
Frappe Project {0} not found,Hindi nahanap ang Frappe Project {0}
Frappe Projects Migration,Frappe Projects Migration
Frappe Projects module not available,Hindi available ang Frappe Projects module
Frappe Projects module not installed,Hindi naka-install ang Frappe Projects module
Frappe Projects sync is not enabled,Hindi naka-enable ang Frappe Projects sync
Frappe Task DocType not found,Hindi nahanap ang Frappe Task DocType
Frappe Task has no project,Walang proyekto ang Frappe Task
Frappe Task {0} not found,Hindi nahanap ang Frappe Task {0}
Fri,Biy
From,Mula
From Template,Mula sa Template
FS (Finish-Start),FS (Finish-Start)
FS - Finish-to-Start (default),FS - Finish-to-Start (default)
Full form view with audit trail,Buong form view na may audit trail
Full name,Buong pangalan
Gantt,Gantt
Gantt Chart,Gantt Chart
Gantt View,Gantt View
General Note,Pangkalahatang Tala
Get started,Magsimula
Go back,Bumalik
Go Back,Go Back
Group by,I-group ayon sa
Group dependency removed,Natanggal ang group dependency
Group dependency set,Naitakda ang group dependency
Group removed,Natanggal ang grupo
Group updated,Na-update ang grupo
Hammock task dates are auto-calculated and cannot be changed manually,Ang mga petsa ng hammock task ay awtomatikong kinakalkula at hindi maaaring baguhin nang manu-mano
Have a question or need assistance? Fill out the form below and our team will get back to you.,May tanong o kailangan ng tulong? Punan ang form sa ibaba at babalikan ka ng aming team.
Health,Kalusugan
Healthy,Malusog
Hello {0},Kumusta {0}
Here's what's happening with your projects today.,Narito ang nangyayari sa iyong mga proyekto ngayon.
Hide,Itago
High,Mataas
History,Kasaysayan
Home,Home
Hourly Cost,Gastos bawat Oras
Hours,Oras
hours,oras
Hours Logged,Oras na Nai-log
ID,ID
