+ Add Milestone,+ Добавяне на етап
Click to view,Щракнете за преглед
Click to view at-risk projects,Щракнете за преглед на застрашените проекти
Click to view critical projects,Щракнете за преглед на критичните проекти
Click to view healthy projects,Щракнете за преглед на проектите в добро състояние
Client,Клиент
Client already has a portal user: {0},Клиентът вече има потребител на портала: {0}
Client already has portal access,Клиентът вече има достъп до портала
Client has no portal user to revoke,Клиентът няма потребител на портала за отнемане
Client link removed from project {0},Връзката с клиента е премахната от проект {0}
Client Portal,Клиентски портал
Client {0} deleted successfully,Клиент {0} е изтрит успешно
Close,Затваряне
Close (Esc),Затваряне (Esc)
Comment,Коментар
comment,коментар
Comment added,Коментарът е добавен
Comment content is required,Съдържанието на коментара е задължително
Comment name is required,Името на коментара е задължително
Comment not found,Коментарът не е намерен
Comment removed,Коментарът е премахнат
Comment {0} not found in task,Коментар {0} не е намерен в задачата
Comments,Коментари
comments,коментари
Community Edition,Community Edition
Company,Фирма
Company name...,Име на фирмата...
Complete,Завършване
Completed,Завършено
completed,завършено
Completed Tasks,Завършени задачи
Compliance,Съответствие
Configure default values for new projects and tasks,Настройване на стойности по подразбиране за нови проекти и задачи
Configure email notification settings,Настройване на имейл известията
Confirm,Потвърждаване
Contact deleted,Контактът е изтрит
Contact Details,Данни за контакт
Contact Information,Информация за контакт
Contact name is required,Името на контакта е задължително
Contact Support,Свържете се с поддръжката
Contact your project manager for more information.,Свържете се с ръководителя на проекта за повече информация.
Contact:,Контакт:
Contacts,Контакти
Context,Контекст
Contractor,Изпълнител
Cost estimate cannot be negative,Оценката на разходите не може да бъде отрицателна
Cost Impact,Въздействие върху разходите
Cost Summary,Обобщение на разходите
Could not apply the template. Please try again.,Шаблонът не може да бъде приложен. Моля опитайте отново.
Could not attach file to project,Файлът не може да бъде прикачен към проекта
Could not change task priority,Приоритетът на задачата не може да бъде променен
Could not change task status,Състоянието на задачата не може да бъде променено
Could not delete the project. Please try again.,Проектът не може да бъде изтрит. Моля опитайте отново.
Could not delete the task. Please try again.,Задачата не може да бъде изтрита. Моля опитайте отново.
Could not delete the template.,Шаблонът не може да бъде изтрит.
Could not duplicate the task. Please try again.,Задачата не може да бъде дублирана. Моля опитайте отново.
Could not export the template.,Шаблонът не може да бъде изнесен.
Could not import the template. Please check the file format.,Шаблонът не може да бъде внесен. Моля проверете формата на файла.
Could not link task to milestone,Задачата не може да бъде свързана с етапа
Could not load document details.,Подробностите на документа не могат да бъдат заредени.
Could not load task details,Подробностите на задачата не могат да бъдат заредени
Could not promote checklist item to task.,Елементът от контролния списък не може да бъде повишен в задача.
Could not remove task from milestone,Задачата не може да бъде премахната от етапа
Could not save budget.,Бюджетът не може да бъде запазен.
Could not save changes to the milestone,Промените на етапа не могат да бъдат запазени
Could not save changes to the task,Промените на задачата не могат да бъдат запазени
Could not save description.,Описанието не може да бъде запазено.
Could not save end date.,Крайната дата не може да бъде запазена.
Could not save milestone name.,Името на етапа не може да бъде запазено.
Could not save start date.,Началната дата не може да бъде запазена.
Could not save the template. Please try again.,Шаблонът не може да бъде запазен. Моля опитайте отново.
Could not save title.,Заглавието не може да бъде запазено.
Could not update dependency mode.,Режимът на зависимост не може да бъде обновен.
Could not update milestone date,Датата на етапа не може да бъде обновена
Could not update project status.,Състоянието на проекта не може да бъде обновено.
Could not update project type.,Видът на проекта не може да бъде обновен.
Could not update setting.,Настройката не може да бъде обновена.
Could not update task dates,Датите на задачата не могат да бъдат обновени
Could not update task status,Състоянието на задачата не може да бъде обновено
Could not update the template.,Шаблонът не може да бъде обновен.
Create a copy of this task,Създаване на копие на тази задача
Create Contact,Създаване на контакт
Create Event,Създаване на събитие
Create Milestone,Създаване на етап
Create New Milestone,Създаване на нов етап
Create New Task,Създаване на нова задача
Create Project,Създаване на проект
Create Task,Създаване на задача
Create tasks and milestones from a template,Създаване на задачи и етапи от шаблон
Create your first project to get started.,Създайте първия си проект за начало.
Create your first task to start tracking work on this project.,Създайте първата си задача за проследяване на работата по този проект.
Created,Създадено
Creating...,Създаване...
Critical,Критично
Critical Path,Критичен път
"Currency used for budgets, costs, and billing rates","Валута за бюджети, разходи и ставки за фактуриране"
Current,Текущо
Current Assignments,Текущи назначения
Current scheduled time:,Текущо планирано време:
Currently running version,Currently running version
d lag,д забавяне
Daily Availability,Дневна наличност
Daily Hours,Дневни часове
Danger Zone,Опасна зона
Dark,Тъмно
Dashboard,Табло
Date,Дата
Date changes on this task will show cascade impact here,Промените на датите на тази задача ще покажат каскадното въздействие тук
Date cleared,Датата е изчистена
Date of Joining,Дата на присъединяване
Date updated,Датата е обновена
Dates,Дати
Dates cascaded,Датите са каскадно обновени
Dates will be relative to the project's start date.,Датите ще бъдат относителни спрямо началната дата на проекта.
Day,Ден
day,ден
days,дни
Days before due date to send reminder,Дни преди крайния срок за изпращане на напомняне
Days Overdue,Дни закъснение
Days Remaining,Оставащи дни
Deadline,Краен срок
Deadlines,Крайни срокове
Decision,Решение
Decline,Отказване
Declined,Отказано
Default Currency,Валута по подразбиране
Default hours per week for contact capacity planning,Часове по подразбиране на седмица за планиране капацитета на контакти
Default Priority,Приоритет по подразбиране
Default Project Status,Състояние на проект по подразбиране
Default Task Status,Състояние на задача по подразбиране
Default task view,Изглед на задачи по подразбиране
Default Values,Стойности по подразбиране
Default Weekly Capacity,Седмичен капацитет по подразбиране
Defaults,По подразбиране
Defect Cost Impact,Финансово въздействие на дефекта
Defect name is required,Името на дефекта е задължително
Defect Type,Вид дефект
Defect {0} not found,Дефект {0} не е намерен
Defects,Дефекти
Defects & Issues,Дефекти и проблеми
Defects Resolved,Отстранени дефекти
Delayed,Забавено
Delete,Изтриване
Delete Activity Data,Изтриване на данни за дейността
Delete all read notifications?,Изтриване на всички прочетени известия?
Delete comment,Изтриване на коментар
Delete Contact,Изтриване на контакт
Delete Event,Изтриване на събитие
Delete Event?,Изтриване на събитието?
Delete failed,Изтриването не успя
Delete file,Изтриване на файл
Delete item,Изтриване на елемент
Delete note,Изтриване на бележка
Delete Project,Изтриване на проект
Delete Task,Изтриване на задача
Delete this project,Изтриване на този проект
Deleted,Изтрито
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Изтрит проект ""{0}"" ({1} задачи, {2} етапа)"
Deletes notes and preferences. Source document is not affected.,Изтрива бележки и предпочитания. Изходният документ не е засегнат.
Deleting...,Изтриване...
Department,Отдел
Dependencies,Зависимости
dependencies,зависимости
Dependencies are informational only,Зависимостите са само информативни
dependency,зависимост
Dependency already exists,Зависимостта вече съществува
Dependency Chain,Верига на зависимост
Dependency created,Зависимостта е създадена
Dependency mode updated,Режимът на зависимост е обновен
Dependency name is required,Името на зависимостта е задължително
Dependency task {0} not found,Зависима задача {0} не е намерена
Dependency {0} not found,Зависимост {0} не е намерена
depends,зависи
Depends on Group,Зависи от група
Depends on task is required,Зависимата задача е задължителна
depends on...,зависи от...
Descending -- click to reverse,Низходящо -- щракнете за обратен ред
Describe the defect in detail...,Опишете дефекта подробно...
Description,Описание
Description updated,Описанието е обновено
Designation,Длъжност
"Detailed description of the defect, location, and impact","Подробно описание на дефекта, местоположението и въздействието"
Details,Подробности
Discard timer,Отхвърляне на хронометъра
Discussion,Обсъждане
Dismiss,Dismiss
Display,Показване
Document,Документ
Document attached to project,Документът е прикачен към проекта
Document final decision and rationale,Документирайте крайното решение и обосновката
Documentation Review,Преглед на документация
Documents,Документи
Done,Готово
Download,Изтегляне
Drag to create dependency,Плъзнете за създаване на зависимост
Dry Run,Пробно изпълнение
Dry Run Complete,Пробното изпълнение е завършено
Due Date,Краен срок
Due date,Краен срок
Due Date (Earliest),Краен срок (най-ранен)
Due date cannot be before start date,Крайният срок не може да бъде преди началната дата
Due date is in the past,Крайният срок е в миналото
Due Date Reminders,Напомняния за краен срок
Due Diligence,Надлежна проверка
Due Diligence Checklist,Контролен списък за надлежна проверка
Due This Week,С краен срок тази седмица
Due:,Срок:
Duplicate events are not allowed,Дублирани събития не са разрешени
Duplicate failed,Дублирането не успя
Duplicate Task,Дублиране на задача
Duration,Продължителност
Duration Summary,Обобщение на продължителността
Duration:,Продължителност:
e.g. Cracked wall finish in bathroom...,напр. напукана мазилка в банята...
"e.g. Electrical, Plumbing...","напр. електричество, водопровод..."
Edit,Редактиране
Edit (E),Редактиране (E)
Edit dependency,Редактиране на зависимост
Edit Event,Редактиране на събитие
Efficiency,Ефективност
Either dependency_name or depends_on is required,Необходимо е dependency_name или depends_on
Email,Имейл
Email invitations to all attendees,Имейл покани до всички участници
Email is required to create portal user,Имейл адресът е задължителен за създаване на потребител на портала
Email notifications,Имейл известия
Employee,Служител
Employee DocType not available,Типът документ Служител не е наличен
Employee not found,Служителят не е намерен
Enable or disable optional features,Включване или изключване на допълнителни функции
Enable Time Tracking,Включване на проследяване на времето
End,Край
End Date,Крайна дата
End date,Крайна дата
End Date cannot be before Start Date,Крайната дата не може да бъде преди началната дата
End date cannot be before start date,Крайната дата не може да бъде преди началната дата
End date updated,Крайната дата е обновена
End time was before start time. Adjusted to 1 hour after start.,Крайното време беше преди началното. Коригирано на 1 час след началото.
End:,Край:
Enter milestone name...,Въведете име на етапа...
Enter project name,Въведете име на проекта
Enter task title...,Въведете заглавие на задачата...
Enter template name,Въведете име на шаблона
Enter your note... Use @name to mention someone,Въведете бележката си... Използвайте @име за споменаване
Error,Грешка
Error loading activity,Грешка при зареждане на дейността
Error loading contacts,Грешка при зареждане на контактите
Error loading dashboard,Грешка при зареждане на таблото
Error loading project,Грешка при зареждане на проекта
Error loading projects,Грешка при зареждане на проектите
Error loading settings,Грешка при зареждане на настройките
Error loading tasks,Грешка при зареждане на задачите
Error loading templates,Грешка при зареждане на шаблоните
Est. Hours,Прогн. часове
Estimated,Прогнозно
Estimated Cost,Прогнозна цена
Estimated Cost (€),Прогнозна цена (€)
Estimated Hours,Прогнозни часове
Estimated:,Прогнозно:
Evaluate potential risks and concerns,Оценете потенциалните рискове и опасения
Event,Събитие
Event is required for event context,Събитието е задължително за контекст на събитие
Event is required when tracking context is 'event',"Събитието е задължително, когато контекстът на проследяване е „събитие""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Вид събитие
Events,Събития
Events not available. Please run: bench --site orga.localhost migrate,"Събитията не са налични. Моля, стартирайте: bench --site orga.localhost migrate"
Events:,Събития:
Expert,Експерт
Explain why you are proposing a different time...,Обяснете защо предлагате различно време...
Export,Изнасяне
Export failed,Изнасянето не успя
Export JSON,Изнасяне в JSON
Exported,Изнесено
Exported to timesheet {0},Изнесено към справка за времето {0}
External,Външен
Failed to add item,Добавянето на елемента не успя
Failed to add note,Добавянето на бележката не успя
Failed to add skill,Добавянето на умението не успя
Failed to apply cascade changes: {0},Прилагането на каскадни промени не успя: {0}
Failed to create defect,Създаването на дефекта не успя
Failed to create dependency,Създаването на зависимостта не успя
Failed to create event,Създаването на събитието не успя
Failed to create milestone,Създаването на етапа не успя
Failed to create project,Създаването на проекта не успя
Failed to create task,Създаването на задачата не успя
Failed to create time log,Създаването на запис за времето не успя
Failed to delete,Изтриването не успя
Failed to delete comment,Изтриването на коментара не успя
Failed to delete contact,Изтриването на контакта не успя
Failed to load,Зареждането не успя
Failed to load activity,Зареждането на дейността не успя
Failed to load assignments,Зареждането на назначенията не успя
Failed to load contact,Зареждането на контакта не успя
Failed to load dashboard data,Зареждането на данните на таблото не успя
Failed to load defects,Зареждането на дефектите не успя
Failed to load events,Зареждането на събитията не успя
Failed to load project,Зареждането на проекта не успя
Failed to load projects,Зареждането на проектите не успя
Failed to load report data,Зареждането на данните от справката не успя
Failed to load settings,Зареждането на настройките не успя
Failed to load tasks,Зареждането на задачите не успя
Failed to move task,Преместването на задачата не успя
Failed to post comment,Публикуването на коментара не успя
Failed to propose new time,Предлагането на ново време не успя
Failed to remove item,Премахването на елемента не успя
Failed to remove skill,Премахването на умението не успя
Failed to reorder milestones: {0},Пренареждането на етапите не успя: {0}
Failed to reorder tasks: {0},Пренареждането на задачите не успя: {0}
Failed to reschedule dependent tasks: {0},Препланирането на зависимите задачи не успя: {0}
Failed to save,Запазването не успя
Failed to save preferences,Запазването на предпочитанията не успя
Failed to save settings,Запазването на настройките не успя
Failed to submit request. Please try again.,Изпращането на заявката не успя. Моля опитайте отново.
Failed to update item,Обновяването на елемента не успя
Failed to update priority,Обновяването на приоритета не успя
Failed to update task,Обновяването на задачата не успя
Failed to update tasks: {0},Обновяването на задачите не успя: {0}
Failed to upload avatar,Качването на снимката на профила не успя
Feature,Функция
Features,Функции
FF (Finish-Finish),FF (край-край)
FF - Finish-to-Finish,FF - край-край
Field has been updated,Полето е обновено
Field name is required for 'Set Field Value' action,"Името на полето е задължително за действие „Задаване на стойност на поле""
Field {0} is not a Link field,Поле {0} не е поле от тип Връзка
Field {0} not found in {1},Поле {0} не е намерено в {1}
File,Файл
File does not belong to this task,Файлът не принадлежи на тази задача
File name is required,Името на файла е задължително
File uploaded,Файлът е качен
File {0} not found,Файл {0} не е намерен
Files,Файлове
Filter,Филтър
Final Decision,Крайно решение
Finance,Финанси
Financial,Финансово
Finish-to-Finish,Край-край
Finish-to-Start,Край-начало
Flag,Маркиране
Flag for attention,Маркиране за внимание
Flagged,Маркирано
Follows your system preference. Currently:,Следва системната ви настройка. В момента:
Focus Panel,Панел за фокус
Frappe Project {0} not found,Frappe проект {0} не е намерен
Frappe Projects Migration,Миграция на Frappe Projects
Frappe Projects module not available,Модулът Frappe Projects не е наличен
Frappe Projects module not installed,Модулът Frappe Projects не е инсталиран
Frappe Projects sync is not enabled,Синхронизацията с Frappe Projects не е включена
Frappe Task DocType not found,Типът документ Frappe задача не е намерен
Frappe Task has no project,Frappe задачата няма проект
Frappe Task {0} not found,Frappe задача {0} не е намерена
Fri,Пет
From,От
From Template,От шаблон
Full form view with audit trail,Пълен изглед на формуляра с одитна следа
Full name,Пълно име
Gantt,Gantt
Gantt Chart,Gantt диаграма
Gantt View,Gantt изглед
General Note,Обща бележка
Get started,Започнете
Go back,Връщане назад
Group by,Групиране по
Group dependency removed,Зависимостта на групата е премахната
Group dependency set,Зависимостта на групата е зададена
Group removed,Групата е премахната
Group updated,Групата е обновена
Hammock task dates are auto-calculated and cannot be changed manually,Датите на висяща задача се изчисляват автоматично и не могат да бъдат променяни ръчно
Have a question or need assistance? Fill out the form below and our team will get back to you."""
Field {0} is not a Link field,Поле {0} не е поле за връзка
Field {0} not found in {1},Поле {0} не е намерено в {1}
file,файл
File,Файл
File does not belong to this task,Файлът не принадлежи на тази задача
File name is required,Името на файла е задължително
File uploaded,Файлът е качен
File {0} not found,Файл {0} не е намерен
files,файлове
Files,Файлове
Filter,Филтър
Final Decision,Окончателно решение
Finance,Финанси
Financial,Финансови
Finish-to-Finish,Край-до-Край
Finish-to-Start,Край-до-Начало
Flag,Флаг
Flag for attention,Маркирай за внимание
Flagged,Маркирано
Focus Panel,Панел за фокус
Follows your system preference. Currently:,Следва системните ви предпочитания. В момента:
Frappe Project {0} not found,Frappe проект {0} не е намерен
Frappe Projects Migration,Миграция на Frappe Projects
Frappe Projects module not available,Модулът Frappe Projects не е наличен
Frappe Projects module not installed,Модулът Frappe Projects не е инсталиран
Frappe Projects sync is not enabled,Синхронизацията с Frappe Projects не е активирана
Frappe Task DocType not found,Frappe Task DocType не е намерен
Frappe Task has no project,Frappe задачата няма проект
Frappe Task {0} not found,Frappe задача {0} не е намерена
Fri,Пт
From,От
From Template,От шаблон
FS (Finish-Start),FS (край-начало)
FS - Finish-to-Start (default),FS - край-начало (по подразбиране)
Full form view with audit trail,Пълен изглед на формуляра с одитна следа
Full name,Пълно име
Gantt,Gantt
Gantt Chart,Gantt диаграма
Gantt View,Gantt изглед
General Note,Обща бележка
Get started,Започнете
Go back,Назад
Go Back,Go Back
Group by,Групиране по
Group dependency removed,Групова зависимост премахната
Group dependency set,Групова зависимост зададена
Group removed,Групата е премахната
Group updated,Групата е актуализирана
Hammock task dates are auto-calculated and cannot be changed manually,Датите на хамак задачите се изчисляват автоматично и не могат да бъдат променяни ръчно
Have a question or need assistance? Fill out the form below and our team will get back to you.,Имате въпрос или нуждаете се от помощ? Попълнете формуляра по-долу и нашият екип ще се свърже с вас.
Health,Състояние
Healthy,Добро
Hello {0},Здравейте {0}
Here's what's happening with your projects today.,Ето какво се случва с вашите проекти днес.
Hide,Скриване
High,Висок
History,История
Home,Начало
Hourly Cost,Часова цена
Hours,Часове
hours,часове
Hours Logged,Записани часове
ID,ИД
Image must be smaller than 5 MB,Изображението трябва да бъде по-малко от 5 MB
Import,Внасяне
Import existing projects and tasks from Frappe Projects module,Внасяне на съществуващи проекти и задачи от модула Frappe Projects
Import failed,Внасянето не успя
Import Template,Внасяне на шаблон
Imported,Внесено
in,в
In Progress,В процес
In Review,В преглед
In-app notifications,Известия в приложението
Inactive,Неактивен
Initial Review,Начален преглед
Installed Version,Installed Version
Insufficient permissions to view all tasks,Недостатъчни права за преглед на всички задачи
Intermediate,Средно ниво
Internal,Вътрешен
Invalid DocType,Невалиден тип документ
Invalid DocType for import,Невалиден тип документ за внасяне
Invalid item type: {0},Невалиден вид елемент: {0}
Invalid JSON data,Невалидни JSON данни
Invalid note type. Must be one of: {0},Невалиден вид бележка. Трябва да бъде един от: {0}
Invalid project reference,Невалидна препратка към проект
Invalid reaction type. Must be one of: {0},Невалиден вид реакция. Трябва да бъде един от: {0}
Invalid RSVP status,Невалиден RSVP статус
Invalid status. Must be one of: {0},Невалидно състояние. Трябва да бъде едно от: {0}
Invalid status: {0},Невалидно състояние: {0}
Invalid status: {0}. Must be one of: {1},Невалидно състояние: {0}. Трябва да бъде едно от: {1}
Invalid tracking context: {0},Невалиден контекст на проследяване: {0}
Invalid visibility. Must be one of: {0},Невалидна видимост. Трябва да бъде една от: {0}
Invitation: {0} - {1} at {2},Покана: {0} - {1} в {2}
Invite People,Поканване на хора
