+ Add Milestone,+ માઈલસ્ટોન ઉમેરો
All day,આખો દિવસ
All day event,આખા દિવસની ઇવેન્ટ
All fields,બધા ફીલ્ડ
All Priorities,બધી પ્રાથમિકતા
All Projects,બધા પ્રોજેક્ટ
All Status,બધી સ્થિતિ
All Statuses,બધી સ્થિતિ
All task dependencies & relative dates,બધી ટાસ્ક નિર્ભરતા અને સંબંધિત તારીખો
All Tasks,બધા ટાસ્ક
All tasks across all projects.,બધા પ્રોજેક્ટમાં બધા ટાસ્ક.
All tasks are already linked,બધા ટાસ્ક પહેલેથી જોડાયેલા છે
All team members,બધા ટીમ સભ્યો
All Types,બધા પ્રકાર
All Users,બધા વપરાશકર્તા
Allocated,ફાળવેલ
allocated,ફાળવેલ
Allow users to log time against tasks,વપરાશકર્તાઓને ટાસ્ક સામે સમય રેકોર્ડ કરવાની મંજૂરી આપો
Already exported to timesheet {0},પહેલેથી ટાઇમશીટ {0} માં નિકાસ થઈ ગયેલ છે
Already Migrated,પહેલેથી માઇગ્રેટ થયેલ
Anyone with access,ઍક્સેસ ધરાવતા કોઈપણ
anytime to show this help,આ મદદ બતાવવા ગમે ત્યારે
App Updates,App Updates
Appearance,દેખાવ
Apply,લાગુ કરો
Apply cascade?,કાસ્કેડ લાગુ કરવું?
Apply Changes,ફેરફારો લાગુ કરો
Apply failed,લાગુ કરવું નિષ્ફળ
Apply Template,ટેમ્પ્લેટ લાગુ કરો
Applying...,લાગુ કરી રહ્યા છીએ...
Appointment,એપોઇન્ટમેન્ટ
Appointment and resource are required,એપોઇન્ટમેન્ટ અને રિસોર્સ જરૂરી છે
Appointment name is required,એપોઇન્ટમેન્ટનું નામ જરૂરી છે
Appointment not found,એપોઇન્ટમેન્ટ મળી નથી
Appointment {0} not found,એપોઇન્ટમેન્ટ {0} મળી નથી
Apps,એપ્સ
Archive,આર્કાઇવ
Archive Activity,પ્રવૃત્તિ આર્કાઇવ કરો
Archived,આર્કાઇવ થયેલ
Are you sure you want to delete this activity data? This cannot be undone.,શું તમે ખાતરી છો કે તમે આ પ્રવૃત્તિ ડેટા કાઢી નાખવા માંગો છો? આ પાછું ફેરવી શકાશે નહીં.
Are you sure you want to delete this comment?,શું તમે ખાતરી છો કે તમે આ ટિપ્પણી કાઢી નાખવા માંગો છો?
Are you sure you want to delete this project?,શું તમે ખાતરી છો કે તમે આ પ્રોજેક્ટ કાઢી નાખવા માંગો છો?
Are you sure?,શું તમે ખાતરી છો?
Ascending -- click to reverse,ચઢતા ક્રમમાં -- ઉલટાવવા ક્લિક કરો
Assign To,અસાઇન કરો
Assign to Me,મને અસાઇન કરો
Assigned Contact,અસાઇન કરેલ સંપર્ક
Assigned To,અસાઇન કરેલ
Assigned to,અસાઇન કરેલ
Assigned to Me,મને અસાઇન કરેલ
Assignee,અસાઇની
Assignment,અસાઇનમેન્ટ
Assignment History,અસાઇનમેન્ટ ઇતિહાસ
Assignment name is required,અસાઇનમેન્ટનું નામ જરૂરી છે
Assignment {0} not found,અસાઇનમેન્ટ {0} મળી નથી
Assignments,અસાઇનમેન્ટ
At least one action is required,ઓછામાં ઓછી એક ક્રિયા જરૂરી છે
At least one event is required,ઓછામાં ઓછી એક ઇવેન્ટ જરૂરી છે
At least one event must be selected,ઓછામાં ઓછી એક ઇવેન્ટ પસંદ કરવી જોઈએ
Attachment,જોડાણ
Attachments,જોડાણો
Attendees,સહભાગીઓ
"Audit trail, assignments, version history","ઓડિટ ટ્રેઇલ, અસાઇનમેન્ટ, વર્ઝન ઇતિહાસ"
Auto,ઓટો
Auto Calculate Progress,પ્રગતિ ઓટોમેટિક ગણો
Auto Set Missed Milestones,ચૂકી ગયેલ માઈલસ્ટોન ઓટોમેટિક સેટ કરો
Auto-shift dependents when dates change,તારીખો બદલાય ત્યારે નિર્ભર વસ્તુઓ ઓટોમેટિક ખસેડો
Auto-Trail Start,ઓટો-ટ્રેઇલ શરૂઆત
Auto-Trail updated,ઓટો-ટ્રેઇલ અપડેટ થયું
Automatically calculate project progress from task completion,ટાસ્ક પૂર્ણતા પરથી પ્રોજેક્ટની પ્રગતિ ઓટોમેટિક ગણો
Automatically mark milestones as missed when overdue,મુદત પસાર થાય ત્યારે ઓટોમેટિક માઈલસ્ટોન ચૂકી ગયેલ તરીકે ચિહ્નિત કરો
Automation rule {0} not found,ઓટોમેશન નિયમ {0} મળ્યો નથી
Automation: {0},ઓટોમેશન: {0}
Availability,ઉપલબ્ધતા
Available,ઉપલબ્ધ
Avatar updated successfully,અવતાર સફળતાપૂર્વક અપડેટ થયું
Avg Progress,સરેરાશ પ્રગતિ
Back,પાછા
Back to Portal,પોર્ટલ પર પાછા જાઓ
Back to Projects,પ્રોજેક્ટ પર પાછા જાઓ
Beginner,શિખાઉ
Best regards,શુભેચ્છા સાથે
Billable,બિલ થઈ શકે તેવું
Billable Amount,બિલ થઈ શકે તેવી રકમ
Billable Hours,બિલ થઈ શકે તેવા કલાકો
Billable Rate,બિલ દર
Billing Rate,બિલિંગ દર
Blocked,અવરોધિત
Both dates are needed to display task as a bar in Gantt chart,ગેન્ટ ચાર્ટમાં ટાસ્કને બાર તરીકે બતાવવા બંને તારીખો જરૂરી છે
Both doctype and docname are required,DocType અને DocName બંને જરૂરી છે
Both proposed start and end times are required,પ્રસ્તાવિત શરૂઆત અને અંત બંને સમય જરૂરી છે
Both task_name and depends_on are required,task_name અને depends_on બંને જરૂરી છે
Breadcrumb,બ્રેડક્રમ્બ
Brief description of the defect or damage,ખામી અથવા નુકસાનનું સંક્ષિપ્ત વર્ણન
Brief description of this template,આ ટેમ્પ્લેટનું સંક્ષિપ્ત વર્ણન
Brief description of your request,તમારી વિનંતીનું સંક્ષિપ્ત વર્ણન
Brief project description,સંક્ષિપ્ત પ્રોજેક્ટ વર્ણન
Budget,બજેટ
Budget at risk,બજેટ જોખમમાં
Budget Burn Rate,બજેટ ખર્ચ દર
Budget Status,બજેટ સ્થિતિ
Budget updated,બજેટ અપડેટ થયું
Budget:,બજેટ:
Bug,બગ
Burn Rate,ખર્ચ દર
Busy,વ્યસ્ત
By,દ્વારા
By Assignee,અસાઇની દ્વારા
By Group,જૂથ દ્વારા
By Milestone,માઈલસ્ટોન દ્વારા
By Priority,પ્રાથમિકતા દ્વારા
By Status,સ્થિતિ દ્વારા
Cancel,રદ કરો
Cancelled,રદ થયેલ
cannot be undone,પાછું ફેરવી શકાશે નહીં
Cannot delete client with {0} linked projects. Unlink projects first.,{0} જોડાયેલ પ્રોજેક્ટ સાથે ક્લાયન્ટ કાઢી શકાય નહીં. પહેલાં પ્રોજેક્ટ અનલિંક કરો.
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} જોડાયેલ ટાસ્ક સાથે પ્રોજેક્ટ કાઢી શકાય નહીં. પહેલાં ટાસ્ક કાઢો.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} સક્રિય અસાઇનમેન્ટ સાથે રિસોર્સ કાઢી શકાય નહીં. પહેલાં તેમને પૂર્ણ અથવા રદ કરો.
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} સબ-ટાસ્ક સાથે ટાસ્ક કાઢી શકાય નહીં. પહેલાં સબ-ટાસ્ક કાઢો.
Capacity,ક્ષમતા
capacity,ક્ષમતા
Capacity & Rates,ક્ષમતા અને દર
Capture project structure for reuse,ફરી ઉપયોગ માટે પ્રોજેક્ટ માળખું કેપ્ચર કરો
Cascade,કાસ્કેડ
Cascade Preview,કાસ્કેડ પૂર્વાવલોકન
Category,કેટેગરી
Celebrate,ઉજવણી
Change,બદલો
Change History,ફેરફાર ઇતિહાસ
Change Priority,પ્રાથમિકતા બદલો
Change Status,સ્થિતિ બદલો
Changes,ફેરફારો
Changes appear when fields are modified.,ફીલ્ડ બદલાય ત્યારે ફેરફારો દેખાય છે.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,ચેકલિસ્ટ
Checklist item name is required,ચેકલિસ્ટ આઇટમનું નામ જરૂરી છે
Checklist item not found,ચેકલિસ્ટ આઇટમ મળી નથી
Checklist item title is required,ચેકલિસ્ટ આઇટમનું શીર્ષક જરૂરી છે
Checklist item {0} not found,ચેકલિસ્ટ આઇટમ {0} મળી નથી
Checklist item {0} not found in task,ટાસ્કમાં ચેકલિસ્ટ આઇટમ {0} મળી નથી
Child,ચાઇલ્ડ
Choose file to upload,અપલોડ કરવા ફાઇલ પસંદ કરો
Circular dependency detected: {0},ચક્રાકાર નિર્ભરતા શોધાઈ: {0}
Circular parent-child relationship detected,ચક્રાકાર પેરેન્ટ-ચાઇલ્ડ સંબંધ શોધાયો
Clear,સાફ કરો
Clear all read,બધા વાંચેલા સાફ કરો
Clear date,તારીખ સાફ કરો
Click on an activity from the list to view and manage its details.,વિગતો જોવા અને સંચાલિત કરવા સૂચિમાંથી એક પ્રવૃત્તિ પર ક્લિક કરો.
Click the avatar to upload a new photo,નવો ફોટો અપલોડ કરવા અવતાર પર ક્લિક કરો
Click to add description...,વર્ણન ઉમેરવા ક્લિક કરો...
Click to add notes...,નોંધ ઉમેરવા ક્લિક કરો...
Click to assign contact,સંપર્ક અસાઇન કરવા ક્લિક કરો
Click to change status,સ્થિતિ બદલવા ક્લિક કરો
Click to change type,પ્રકાર બદલવા ક્લિક કરો
Click to edit,સંપાદિત કરવા ક્લિક કરો
Click to edit budget,બજેટ સંપાદિત કરવા ક્લિક કરો
Click to edit description,વર્ણન સંપાદિત કરવા ક્લિક કરો
Click to edit end date,અંતિમ તારીખ સંપાદિત કરવા ક્લિક કરો
Click to edit milestone name,માઈલસ્ટોન નામ સંપાદિત કરવા ક્લિક કરો
Click to edit rate,દર સંપાદિત કરવા ક્લિક કરો
Click to edit start date,શરૂઆત તારીખ સંપાદિત કરવા ક્લિક કરો
Click to edit title,શીર્ષક સંપાદિત કરવા ક્લિક કરો
Click to load,લોડ કરવા ક્લિક કરો
Click to set group dependency...,જૂથ નિર્ભરતા સેટ કરવા ક્લિક કરો...
Click to set group...,જૂથ સેટ કરવા ક્લિક કરો...
Click to view,જોવા ક્લિક કરો
Click to view at-risk projects,જોખમમાં રહેલા પ્રોજેક્ટ જોવા ક્લિક કરો
Click to view critical projects,જટિલ પ્રોજેક્ટ જોવા ક્લિક કરો
Click to view healthy projects,સ્વસ્થ પ્રોજેક્ટ જોવા ક્લિક કરો
Client,ક્લાયન્ટ
Client already has a portal user: {0},ક્લાયન્ટ પાસે પહેલેથી પોર્ટલ વપરાશકર્તા છે: {0}
Client already has portal access,ક્લાયન્ટ પાસે પહેલેથી પોર્ટલ ઍક્સેસ છે
Client has no portal user to revoke,ક્લાયન્ટ પાસે રદ કરવા માટે કોઈ પોર્ટલ વપરાશકર્તા નથી
Client link removed from project {0},પ્રોજેક્ટ {0} માંથી ક્લાયન્ટ લિંક દૂર કરાઈ
Client Portal,ક્લાયન્ટ પોર્ટલ
Client {0} deleted successfully,ક્લાયન્ટ {0} સફળતાપૂર્વક કાઢી નાખવામાં આવ્યો
Close,બંધ કરો
Close (Esc),બંધ કરો (Esc)
Comment,ટિપ્પણી
comment,ટિપ્પણી
Comment added,ટિપ્પણી ઉમેરાઈ
Comment content is required,ટિપ્પણી સામગ્રી જરૂરી છે
Comment name is required,ટિપ્પણીનું નામ જરૂરી છે
Comment not found,ટિપ્પણી મળી નથી
Comment removed,ટિપ્પણી દૂર કરાઈ
Comment {0} not found in task,ટાસ્કમાં ટિપ્પણી {0} મળી નથી
Comments,ટિપ્પણીઓ
comments,ટિપ્પણીઓ
Community Edition,Community Edition
Company,કંપની
Company name...,કંપનીનું નામ...
Complete,પૂર્ણ
Completed,પૂર્ણ થયેલ
completed,પૂર્ણ થયેલ
Completed Tasks,પૂર્ણ થયેલ ટાસ્ક
Compliance,અનુપાલન
Configure default values for new projects and tasks,નવા પ્રોજેક્ટ અને ટાસ્ક માટે ડિફોલ્ટ મૂલ્યો ગોઠવો
Configure email notification settings,ઈમેઈલ સૂચના સેટિંગ્સ ગોઠવો
Confirm,પુષ્ટિ કરો
Contact deleted,સંપર્ક કાઢી નાખવામાં આવ્યો
Contact Details,સંપર્ક વિગતો
Contact Information,સંપર્ક માહિતી
Contact name is required,સંપર્કનું નામ જરૂરી છે
Contact Support,સપોર્ટનો સંપર્ક કરો
Contact your project manager for more information.,વધુ માહિતી માટે તમારા પ્રોજેક્ટ મેનેજરનો સંપર્ક કરો.
Contact:,સંપર્ક:
Contacts,સંપર્કો
Context,સંદર્ભ
Contractor,ઠેકેદાર
Cost estimate cannot be negative,ખર્ચ અંદાજ નકારાત્મક હોઈ શકે નહીં
Cost Impact,ખર્ચ અસર
Cost Summary,ખર્ચ સારાંશ
Could not apply the template. Please try again.,ટેમ્પ્લેટ લાગુ કરી શકાયું નહીં. કૃપા કરી ફરી પ્રયાસ કરો.
Could not attach file to project,પ્રોજેક્ટ સાથે ફાઇલ જોડી શકાઈ નહીં
Could not change task priority,ટાસ્ક પ્રાથમિકતા બદલી શકાઈ નહીં
Could not change task status,ટાસ્ક સ્થિતિ બદલી શકાઈ નહીં
Could not delete the project. Please try again.,પ્રોજેક્ટ કાઢી શકાયો નહીં. કૃપા કરી ફરી પ્રયાસ કરો.
Could not delete the task. Please try again.,ટાસ્ક કાઢી શકાયો નહીં. કૃપા કરી ફરી પ્રયાસ કરો.
Could not delete the template.,ટેમ્પ્લેટ કાઢી શકાયું નહીં.
Could not duplicate the task. Please try again.,ટાસ્ક ડુપ્લિકેટ કરી શકાયો નહીં. કૃપા કરી ફરી પ્રયાસ કરો.
Could not export the template.,ટેમ્પ્લેટ નિકાસ કરી શકાયું નહીં.
Could not import the template. Please check the file format.,ટેમ્પ્લેટ આયાત કરી શકાયું નહીં. કૃપા કરી ફાઇલ ફોર્મેટ તપાસો.
Could not link task to milestone,ટાસ્કને માઈલસ્ટોન સાથે જોડી શકાયો નહીં
Could not load document details.,દસ્તાવેજ વિગતો લોડ કરી શકાઈ નહીં.
Could not load task details,ટાસ્ક વિગતો લોડ કરી શકાઈ નહીં
Could not promote checklist item to task.,ચેકલિસ્ટ આઇટમને ટાસ્કમાં પ્રમોટ કરી શકાઈ નહીં.
Could not remove task from milestone,માઈલસ્ટોનમાંથી ટાસ્ક દૂર કરી શકાયો નહીં
Could not save budget.,બજેટ સાચવી શકાયું નહીં.
Could not save changes to the milestone,માઈલસ્ટોનમાં ફેરફારો સાચવી શકાયા નહીં
Could not save changes to the task,ટાસ્કમાં ફેરફારો સાચવી શકાયા નહીં
Could not save description.,વર્ણન સાચવી શકાયું નહીં.
Could not save end date.,અંતિમ તારીખ સાચવી શકાઈ નહીં.
Could not save milestone name.,માઈલસ્ટોન નામ સાચવી શકાયું નહીં.
Could not save start date.,શરૂઆત તારીખ સાચવી શકાઈ નહીં.
Could not save the template. Please try again.,ટેમ્પ્લેટ સાચવી શકાયું નહીં. કૃપા કરી ફરી પ્રયાસ કરો.
Could not save title.,શીર્ષક સાચવી શકાયું નહીં.
Could not update dependency mode.,નિર્ભરતા મોડ અપડેટ કરી શકાયો નહીં.
Could not update milestone date,માઈલસ્ટોન તારીખ અપડેટ કરી શકાઈ નહીં
Could not update project status.,પ્રોજેક્ટ સ્થિતિ અપડેટ કરી શકાઈ નહીં.
Could not update project type.,પ્રોજેક્ટ પ્રકાર અપડેટ કરી શકાયો નહીં.
Could not update setting.,સેટિંગ અપડેટ કરી શકાઈ નહીં.
Could not update task dates,ટાસ્ક તારીખો અપડેટ કરી શકાઈ નહીં
Could not update task status,ટાસ્ક સ્થિતિ અપડેટ કરી શકાઈ નહીં
Could not update the template.,ટેમ્પ્લેટ અપડેટ કરી શકાયું નહીં.
Create a copy of this task,આ ટાસ્કની નકલ બનાવો
Create Contact,સંપર્ક બનાવો
Create Event,ઇવેન્ટ બનાવો
Create Milestone,માઈલસ્ટોન બનાવો
Create New Milestone,નવો માઈલસ્ટોન બનાવો
Create New Task,નવો ટાસ્ક બનાવો
Create Project,પ્રોજેક્ટ બનાવો
Create Task,ટાસ્ક બનાવો
Create tasks and milestones from a template,ટેમ્પ્લેટમાંથી ટાસ્ક અને માઈલસ્ટોન બનાવો
Create your first project to get started.,શરૂ કરવા તમારો પ્રથમ પ્રોજેક્ટ બનાવો.
Create your first task to start tracking work on this project.,આ પ્રોજેક્ટ પર કામ ટ્રેક કરવાનું શરૂ કરવા તમારો પ્રથમ ટાસ્ક બનાવો.
Created,બનાવેલ
Creating...,બનાવી રહ્યા છીએ...
Critical,જટિલ
Critical Path,જટિલ માર્ગ
"Currency used for budgets, costs, and billing rates","બજેટ, ખર્ચ અને બિલિંગ દર માટે વપરાતી ચલણ"
Current,વર્તમાન
Current Assignments,વર્તમાન અસાઇનમેન્ટ
Current scheduled time:,વર્તમાન શેડ્યૂલ થયેલ સમય:
Currently running version,Currently running version
d lag,દિવસ વિલંબ
Daily Availability,દૈનિક ઉપલબ્ધતા
Daily Hours,દૈનિક કલાકો
Danger Zone,ખતરનાક વિસ્તાર
Dark,ડાર્ક
Dashboard,ડેશબોર્ડ
Date,તારીખ
Date changes on this task will show cascade impact here,આ ટાસ્ક પર તારીખ ફેરફારો અહીં કાસ્કેડ અસર બતાવશે
Date cleared,તારીખ સાફ થઈ
Date of Joining,જોડાવાની તારીખ
Date updated,તારીખ અપડેટ થઈ
Dates,તારીખો
Dates cascaded,તારીખો કાસ્કેડ થઈ
Dates will be relative to the project's start date.,તારીખો પ્રોજેક્ટની શરૂઆત તારીખના સંદર્ભમાં હશે.
Day,દિવસ
day,દિવસ
days,દિવસો
Days before due date to send reminder,રીમાઇન્ડર મોકલવા મુદત પહેલાંના દિવસો
Days Overdue,મુદત પછીના દિવસો
Days Remaining,બાકી દિવસો
Deadline,ડેડલાઇન
Deadlines,ડેડલાઇન્સ
Decision,નિર્ણય
Decline,નકારો
Declined,નકારેલ
Default Currency,ડિફોલ્ટ ચલણ
Default hours per week for contact capacity planning,સંપર્ક ક્ષમતા આયોજન માટે પ્રતિ અઠવાડિયે ડિફોલ્ટ કલાકો
Default Priority,ડિફોલ્ટ પ્રાથમિકતા
Default Project Status,ડિફોલ્ટ પ્રોજેક્ટ સ્થિતિ
Default Task Status,ડિફોલ્ટ ટાસ્ક સ્થિતિ
Default task view,ડિફોલ્ટ ટાસ્ક દૃશ્ય
Default Values,ડિફોલ્ટ મૂલ્યો
Default Weekly Capacity,ડિફોલ્ટ સાપ્તાહિક ક્ષમતા
Defaults,ડિફોલ્ટ
Defect Cost Impact,ખામી ખર્ચ અસર
Defect name is required,ખામીનું નામ જરૂરી છે
Defect Type,ખામી પ્રકાર
Defect {0} not found,ખામી {0} મળી નથી
Defects,ખામીઓ
Defects & Issues,ખામીઓ અને સમસ્યાઓ
Defects Resolved,ખામીઓ ઉકેલાઈ
Delayed,વિલંબિત
Delete,કાઢી નાખો
Delete Activity Data,પ્રવૃત્તિ ડેટા કાઢી નાખો
Delete all read notifications?,બધી વાંચેલી સૂચનાઓ કાઢી નાખવી?
Delete comment,ટિપ્પણી કાઢી નાખો
Delete Contact,સંપર્ક કાઢી નાખો
Delete Event,ઇવેન્ટ કાઢી નાખો
Delete Event?,ઇવેન્ટ કાઢી નાખવી?
Delete failed,કાઢી નાખવું નિષ્ફળ
Delete file,ફાઇલ કાઢી નાખો
Delete item,આઇટમ કાઢી નાખો
Delete note,નોંધ કાઢી નાખો
Delete Project,પ્રોજેક્ટ કાઢી નાખો
Delete Task,ટાસ્ક કાઢી નાખો
Delete this project,આ પ્રોજેક્ટ કાઢી નાખો
Deleted,કાઢી નાખેલ
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","પ્રોજેક્ટ ""{0}"" કાઢી નાખ્યો ({1} ટાસ્ક, {2} માઈલસ્ટોન)"
Deletes notes and preferences. Source document is not affected.,નોંધ અને પસંદગીઓ કાઢી નાખે છે. મૂળ દસ્તાવેજ પર અસર થતી નથી.
Deleting...,કાઢી રહ્યા છીએ...
Department,વિભાગ
Dependencies,નિર્ભરતાઓ
dependencies,નિર્ભરતાઓ
Dependencies are informational only,નિર્ભરતાઓ ફક્ત માહિતીપ્રદ છે
dependency,નિર્ભરતા
Dependency already exists,નિર્ભરતા પહેલેથી અસ્તિત્વમાં છે
Dependency Chain,નિર્ભરતા શૃંખલા
Dependency created,નિર્ભરતા બનાવાઈ
Dependency mode updated,નિર્ભરતા મોડ અપડેટ થયો
Dependency name is required,નિર્ભરતાનું નામ જરૂરી છે
Dependency task {0} not found,નિર્ભરતા ટાસ્ક {0} મળ્યો નથી
Dependency {0} not found,નિર્ભરતા {0} મળી નથી
depends,નિર્ભર છે
Depends on Group,જૂથ પર નિર્ભર
Depends on task is required,નિર્ભર ટાસ્ક જરૂરી છે
depends on...,નિર્ભર છે...
Descending -- click to reverse,ઉતરતા ક્રમમાં -- ઉલટાવવા ક્લિક કરો
Describe the defect in detail...,ખામીનું વિગતવાર વર્ણન કરો...
Description,વર્ણન
Description updated,વર્ણન અપડેટ થયું
Designation,હોદ્દો
"Detailed description of the defect, location, and impact","ખામી, સ્થાન અને અસરનું વિગતવાર વર્ણન"
Details,વિગતો
Discard timer,ટાઇમર કાઢી નાખો
Discussion,ચર્ચા
Dismiss,Dismiss
Display,પ્રદર્શન
Document,દસ્તાવેજ
Document attached to project,પ્રોજેક્ટ સાથે દસ્તાવેજ જોડાયો
Document final decision and rationale,અંતિમ નિર્ણય અને તર્ક દસ્તાવેજ કરો
Documentation Review,દસ્તાવેજીકરણ સમીક્ષા
Documents,દસ્તાવેજો
Done,થઈ ગયું
Download,ડાઉનલોડ
Drag to create dependency,નિર્ભરતા બનાવવા ખેંચો
Dry Run,ડ્રાય રન
Dry Run Complete,ડ્રાય રન પૂર્ણ
Due Date,અંતિમ તારીખ
Due date,અંતિમ તારીખ
Due Date (Earliest),અંતિમ તારીખ (સૌથી વહેલી)
Due date cannot be before start date,અંતિમ તારીખ શરૂઆત તારીખ પહેલાં હોઈ શકે નહીં
Due date is in the past,અંતિમ તારીખ ભૂતકાળમાં છે
Due Date Reminders,અંતિમ તારીખ રીમાઇન્ડર
Due Diligence,ડ્યુ ડિલિજન્સ
Due Diligence Checklist,ડ્યુ ડિલિજન્સ ચેકલિસ્ટ
Due This Week,આ અઠવાડિયે અંતિમ
Due:,અંતિમ તારીખ:
Duplicate events are not allowed,ડુપ્લિકેટ ઇવેન્ટની મંજૂરી નથી
Duplicate failed,ડુપ્લિકેટ નિષ્ફળ
Duplicate Task,ટાસ્ક ડુપ્લિકેટ કરો
Duration,અવધિ
Duration Summary,અવધિ સારાંશ
Duration:,અવધિ:
