+ Add Milestone,+ Ajouter un jalon
Assigned to Me,Assigné à moi
Assignee,Assigné
Assignment,Affectation
Assignment History,Historique des affectations
Assignment name is required,Le nom de l'affectation est requis
Assignment {0} not found,Affectation {0} non trouvée
Assignments,Affectations
At least one action is required,Au moins une action est requise
At least one event is required,Au moins un événement est requis
At least one event must be selected,Au moins un événement doit être sélectionné
Attachment,Pièce jointe
Attachments,Pièces jointes
Attendees,Participants
"Audit trail, assignments, version history","Piste d'audit, affectations, historique des versions"
Auto,Automatique
Auto Calculate Progress,Calculer automatiquement la progression
Auto Set Missed Milestones,Marquer automatiquement les jalons manqués
Auto-shift dependents when dates change,Décaler automatiquement les dépendants lors des changements de dates
Auto-Trail Start,Début automatique par glissement
Auto-Trail updated,Début automatique par glissement mis à jour
Automatically calculate project progress from task completion,Calculer automatiquement la progression du projet à partir de l'achèvement des tâches
Automatically mark milestones as missed when overdue,Marquer automatiquement les jalons comme manqués lorsqu'ils sont en retard
Automation rule {0} not found,Règle d'automatisation {0} non trouvée
Automation: {0},Automatisation : {0}
Availability,Disponibilité
Available,Disponible
Avatar updated successfully,Avatar mis à jour avec succès
Avg Progress,Progression moyenne
Back,Retour
Back to Portal,Retour au portail
Back to Projects,Retour aux projets
Beginner,Débutant
Best regards,Cordialement
Billable,Facturable
Billable Amount,Montant facturable
Billable Hours,Heures facturables
Billable Rate,Taux facturable
Billing Rate,Taux de facturation
Blocked,Bloqué
Both dates are needed to display task as a bar in Gantt chart,Les deux dates sont nécessaires pour afficher la tâche sous forme de barre dans le diagramme de Gantt
Both doctype and docname are required,Le doctype et le docname sont tous les deux requis
Both proposed start and end times are required,Les heures de début et de fin proposées sont toutes les deux requises
Both task_name and depends_on are required,task_name et depends_on sont tous les deux requis
Breadcrumb,Fil d'Ariane
Brief description of the defect or damage,Brève description du défaut ou du dommage
Brief description of this template,Brève description de ce modèle
Brief description of your request,Brève description de votre demande
Brief project description,Brève description du projet
Budget,Budget
Budget at risk,Budget à risque
Budget Burn Rate,Taux de consommation du budget
Budget Status,État du budget
Budget updated,Budget mis à jour
Budget:,Budget :
Bug,Bogue
Burn Rate,Taux de consommation
Busy,Occupé
By,Par
By Assignee,Par assigné
By Group,Par groupe
By Milestone,Par jalon
By Priority,Par priorité
By Status,Par statut
Cancel,Annuler
Cancelled,Annulé
cannot be undone,irréversible
Cannot delete client with {0} linked projects. Unlink projects first.,Impossible de supprimer le client avec {0} projets liés. Dissociez d'abord les projets.
Cannot delete project with {0} linked tasks. Delete tasks first.,Impossible de supprimer le projet avec {0} tâches liées. Supprimez d'abord les tâches.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Impossible de supprimer la ressource avec {0} affectations actives. Terminez-les ou annulez-les d'abord.
Cannot delete task with {0} subtasks. Delete subtasks first.,Impossible de supprimer la tâche avec {0} sous-tâches. Supprimez d'abord les sous-tâches.
Capacity,Capacité
capacity,capacité
Capacity & Rates,Capacité et tarifs
Capture project structure for reuse,Capturer la structure du projet pour réutilisation
Cascade,Cascade
Cascade Preview,Aperçu en cascade
Category,Catégorie
Celebrate,Célébrer
Change,Modifier
Change History,Historique des modifications
Change Priority,Changer la priorité
Change Status,Changer le statut
Changes,Modifications
Changes appear when fields are modified.,Les modifications apparaissent lorsque les champs sont modifiés.
Check for new versions of Orga,Vérifier les nouvelles versions d'Orga
Check for Updates,Vérifier les mises à jour
Checking...,Vérification...
Checklist,Liste de contrôle
Checklist item name is required,Le nom de l'élément de la liste de contrôle est requis
Checklist item not found,Élément de la liste de contrôle non trouvé
Checklist item title is required,Le titre de l'élément de la liste de contrôle est requis
Checklist item {0} not found,Élément de la liste de contrôle {0} non trouvé
Checklist item {0} not found in task,Élément de la liste de contrôle {0} non trouvé dans la tâche
Child,Enfant
Choose file to upload,Choisir un fichier à téléverser
Circular dependency detected: {0},Dépendance circulaire détectée : {0}
Circular parent-child relationship detected,Relation parent-enfant circulaire détectée
Clear,Effacer
Clear all read,Effacer toutes les lues
Clear date,Effacer la date
Click on an activity from the list to view and manage its details.,Cliquez sur une activité de la liste pour afficher et gérer ses détails.
Click the avatar to upload a new photo,Cliquez sur l'avatar pour téléverser une nouvelle photo
Click to add description...,Cliquez pour ajouter une description...
Click to add notes...,Cliquez pour ajouter des notes...
Click to assign contact,Cliquez pour assigner un contact
Click to change status,Cliquez pour changer le statut
Click to change type,Cliquez pour changer le type
Click to edit,Cliquez pour modifier
Click to edit budget,Cliquez pour modifier le budget
Click to edit description,Cliquez pour modifier la description
Click to edit end date,Cliquez pour modifier la date de fin
Click to edit milestone name,Cliquez pour modifier le nom du jalon
Click to edit rate,Cliquez pour modifier le tarif
Click to edit start date,Cliquez pour modifier la date de début
Click to edit title,Cliquez pour modifier le titre
Click to load,Cliquez pour charger
Click to set group dependency...,Cliquez pour définir une dépendance de groupe...
Click to set group...,Cliquez pour définir le groupe...
Click to view,Cliquez pour afficher
Click to view at-risk projects,Cliquez pour afficher les projets à risque
Click to view critical projects,Cliquez pour afficher les projets critiques
Click to view healthy projects,Cliquez pour afficher les projets sains
Client,Client
Client already has a portal user: {0},Le client a déjà un utilisateur de portail : {0}
Client already has portal access,Le client a déjà un accès au portail
Client has no portal user to revoke,Le client n'a pas d'utilisateur de portail à révoquer
Client link removed from project {0},Lien client retiré du projet {0}
Client Portal,Portail client
Client {0} deleted successfully,Client {0} supprimé avec succès
Close,Fermer
Close (Esc),Fermer (Échap)
Comment,Commentaire
comment,commentaire
Comment added,Commentaire ajouté
Comment content is required,Le contenu du commentaire est requis
Comment name is required,Le nom du commentaire est requis
Comment not found,Commentaire non trouvé
Comment removed,Commentaire supprimé
Comment {0} not found in task,Commentaire {0} non trouvé dans la tâche
Comments,Commentaires
comments,commentaires
Community Edition,Édition Communautaire
Company,Société
Company name...,Nom de la société...
Complete,Terminer
Completed,Terminé
completed,terminé
Completed Tasks,Tâches terminées
Compliance,Conformité
Configure default values for new projects and tasks,Configurer les valeurs par défaut pour les nouveaux projets et tâches
Configure email notification settings,Configurer les paramètres de notification par e-mail
Confirm,Confirmer
Contact deleted,Contact supprimé
Contact Details,Détails du contact
Contact Information,Coordonnées
Contact name is required,Le nom du contact est requis
Contact Support,Contacter le support
Contact your project manager for more information.,Contactez votre chef de projet pour plus d'informations.
Contact:,Contact :
Contacts,Contacts
Context,Contexte
Contractor,Sous-traitant
Cost estimate cannot be negative,L'estimation des coûts ne peut pas être négative
Cost Impact,Impact sur les coûts
Cost Summary,Résumé des coûts
Could not apply the template. Please try again.,Impossible d'appliquer le modèle. Veuillez réessayer.
Could not attach file to project,Impossible de joindre le fichier au projet
Could not change task priority,Impossible de changer la priorité de la tâche
Could not change task status,Impossible de changer le statut de la tâche
Could not delete the project. Please try again.,Impossible de supprimer le projet. Veuillez réessayer.
Could not delete the task. Please try again.,Impossible de supprimer la tâche. Veuillez réessayer.
Could not delete the template.,Impossible de supprimer le modèle.
Could not duplicate the task. Please try again.,Impossible de dupliquer la tâche. Veuillez réessayer.
Could not export the template.,Impossible d'exporter le modèle.
Could not import the template. Please check the file format.,Impossible d'importer le modèle. Veuillez vérifier le format du fichier.
Could not link task to milestone,Impossible de lier la tâche au jalon
Could not load document details.,Impossible de charger les détails du document.
Could not load task details,Impossible de charger les détails de la tâche
Could not promote checklist item to task.,Impossible de promouvoir l'élément de la liste de contrôle en tâche.
Could not remove task from milestone,Impossible de retirer la tâche du jalon
Could not save budget.,Impossible d'enregistrer le budget.
Could not save changes to the milestone,Impossible d'enregistrer les modifications du jalon
Could not save changes to the task,Impossible d'enregistrer les modifications de la tâche
Could not save description.,Impossible d'enregistrer la description.
Could not save end date.,Impossible d'enregistrer la date de fin.
Could not save milestone name.,Impossible d'enregistrer le nom du jalon.
Could not save start date.,Impossible d'enregistrer la date de début.
Could not save the template. Please try again.,Impossible d'enregistrer le modèle. Veuillez réessayer.
Could not save title.,Impossible d'enregistrer le titre.
Could not update dependency mode.,Impossible de mettre à jour le mode de dépendance.
Could not update milestone date,Impossible de mettre à jour la date du jalon
Could not update project status.,Impossible de mettre à jour le statut du projet.
Could not update project type.,Impossible de mettre à jour le type de projet.
Could not update setting.,Impossible de mettre à jour le paramètre.
Could not update task dates,Impossible de mettre à jour les dates de la tâche
Could not update task status,Impossible de mettre à jour le statut de la tâche
Could not update the template.,Impossible de mettre à jour le modèle.
Create a copy of this task,Créer une copie de cette tâche
Create Contact,Créer un contact
Create Event,Créer un événement
Create Milestone,Créer un jalon
Create New Milestone,Créer un nouveau jalon
Create New Task,Créer une nouvelle tâche
Create Project,Créer un projet
Create Task,Créer une tâche
Create tasks and milestones from a template,Créer des tâches et des jalons à partir d'un modèle
Create your first project to get started.,Créez votre premier projet pour commencer.
Create your first task to start tracking work on this project.,Créez votre première tâche pour commencer à suivre le travail sur ce projet.
Created,Créé
Creating...,Création en cours...
Critical,Critique
Critical Path,Chemin critique
"Currency used for budgets, costs, and billing rates","Devise utilisée pour les budgets, les coûts et les taux de facturation"
Current,Actuel
Current Assignments,Affectations actuelles
Current scheduled time:,Horaire actuellement prévu :
Currently running version,Version actuellement installée
d lag,j de décalage
Daily Availability,Disponibilité journalière
Daily Hours,Heures journalières
Danger Zone,Zone de danger
Dark,Sombre
Dashboard,Tableau de bord
Date,Date
Date changes on this task will show cascade impact here,Les changements de dates sur cette tâche afficheront l'impact en cascade ici
Date cleared,Date effacée
Date of Joining,Date d'arrivée
Date updated,Date mise à jour
Dates,Dates
Dates cascaded,Dates mises en cascade
Dates will be relative to the project's start date.,Les dates seront relatives à la date de début du projet.
Day,Jour
day,jour
days,jours
Days before due date to send reminder,Jours avant la date d'échéance pour envoyer un rappel
Days Overdue,Jours de retard
Days Remaining,Jours restants
Deadline,Échéance
Deadlines,Échéances
Decision,Décision
Decline,Refuser
Declined,Décliné
Default Currency,Devise par défaut
Default hours per week for contact capacity planning,Heures par défaut par semaine pour la planification de capacité des contacts
Default Priority,Priorité par défaut
Default Project Status,Statut de projet par défaut
Default Task Status,Statut de tâche par défaut
Default task view,Vue de tâche par défaut
Default Values,Valeurs par défaut
Default Weekly Capacity,Capacité hebdomadaire par défaut
Defaults,Valeurs par défaut
Defect Cost Impact,Impact financier du défaut
Defect name is required,Le nom du défaut est requis
Defect Type,Type de défaut
Defect {0} not found,Défaut {0} non trouvé
Defects,Défauts
Defects & Issues,Défauts et problèmes
Defects Resolved,Défauts résolus
Delayed,En retard
Delete,Supprimer
Delete Activity Data,Supprimer les données d'activité
Delete all read notifications?,Supprimer toutes les notifications lues ?
Delete comment,Supprimer le commentaire
Delete Contact,Supprimer le contact
Delete Event,Supprimer l'événement
Delete Event?,Supprimer l'événement ?
Delete failed,Échec de la suppression
Delete file,Supprimer le fichier
Delete item,Supprimer l'élément
Delete note,Supprimer la note
Delete Project,Supprimer le projet
Delete Task,Supprimer la tâche
Delete this project,Supprimer ce projet
Deleted,Supprimé
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projet ""{0}"" supprimé ({1} tâches, {2} jalons)"
Deletes notes and preferences. Source document is not affected.,Supprime les notes et les préférences. Le document source n'est pas affecté.
Deleting...,Suppression en cours...
Department,Département
Dependencies,Dépendances
dependencies,dépendances
Dependencies are informational only,Les dépendances sont uniquement informatives
dependency,dépendance
Dependency already exists,La dépendance existe déjà
Dependency Chain,Chaîne de dépendances
Dependency created,Dépendance créée
Dependency mode updated,Mode de dépendance mis à jour
Dependency name is required,Le nom de la dépendance est requis
Dependency task {0} not found,Tâche de dépendance {0} non trouvée
Dependency {0} not found,Dépendance {0} non trouvée
depends,dépend
Depends on Group,Dépend du groupe
Depends on task is required,La tâche de dépendance est requise
depends on...,dépend de...
Descending -- click to reverse,Décroissant -- cliquez pour inverser
Describe the defect in detail...,Décrivez le défaut en détail...
Description,Description
Description updated,Description mise à jour
Designation,Fonction
"Detailed description of the defect, location, and impact","Description détaillée du défaut, de l'emplacement et de l'impact"
Details,Détails
Discard timer,Abandonner le chronomètre
Discussion,Discussion
Dismiss,Ignorer
Display,Affichage
Document,Document
Document attached to project,Document joint au projet
Document final decision and rationale,Documenter la décision finale et la justification
Documentation Review,Revue documentaire
Documents,Documents
Done,Terminé
Download,Télécharger
Drag to create dependency,Glisser pour créer une dépendance
Dry Run,Simulation
Dry Run Complete,Simulation terminée
Due Date,Date d'échéance
Due date,Date d'échéance
Due Date (Earliest),Date d'échéance (la plus proche)
Due date cannot be before start date,La date d'échéance ne peut pas être antérieure à la date de début
Due date is in the past,La date d'échéance est dans le passé
Due Date Reminders,Rappels de date d'échéance
Due Diligence,Vérification préalable
Due Diligence Checklist,Liste de contrôle de vérification préalable
Due This Week,À échéance cette semaine
Due:,Échéance :
Duplicate events are not allowed,Les événements en double ne sont pas autorisés
Duplicate failed,Échec de la duplication
Duplicate Task,Dupliquer la tâche
Duration,Durée
Duration Summary,Résumé de la durée
Duration:,Durée :
e.g. Cracked wall finish in bathroom...,ex. : Fissure dans le revêtement mural de la salle de bain...
"e.g. Electrical, Plumbing...","ex. : Électricité, Plomberie..."
Edit,Modifier
Edit (E),Modifier (E)
Edit dependency,Modifier la dépendance
Edit Event,Modifier l'événement
Efficiency,Efficacité
Either dependency_name or depends_on is required,dependency_name ou depends_on est requis
Email,E-mail
Email invitations to all attendees,Invitations par e-mail à tous les participants
Email is required to create portal user,L'adresse e-mail est requise pour créer un utilisateur de portail
Email notifications,Notifications par e-mail
Employee,Employé
Employee DocType not available,DocType Employé non disponible
Employee not found,Employé non trouvé
Enable or disable optional features,Activer ou désactiver les fonctionnalités optionnelles
Enable Time Tracking,Activer le suivi du temps
End,Fin
End Date,Date de fin
End date,Date de fin
End Date cannot be before Start Date,La date de fin ne peut pas être antérieure à la date de début
End date cannot be before start date,La date de fin ne peut pas être antérieure à la date de début
End date updated,Date de fin mise à jour
End time was before start time. Adjusted to 1 hour after start.,L'heure de fin était avant l'heure de début. Ajustée à 1 heure après le début.
End:,Fin :
Enter milestone name...,Saisir le nom du jalon...
Enter project name,Saisir le nom du projet
Enter task title...,Saisir le titre de la tâche...
Enter template name,Saisir le nom du modèle
Enter your note... Use @name to mention someone,Saisissez votre note... Utilisez @nom pour mentionner quelqu'un
Error,Erreur
Error loading activity,Erreur lors du chargement de l'activité
Error loading contacts,Erreur lors du chargement des contacts
Error loading dashboard,Erreur lors du chargement du tableau de bord
Error loading project,Erreur lors du chargement du projet
Error loading projects,Erreur lors du chargement des projets
Error loading settings,Erreur lors du chargement des paramètres
Error loading tasks,Erreur lors du chargement des tâches
Error loading templates,Erreur lors du chargement des modèles
Est. Hours,Heures est.
Estimated,Estimé
Estimated Cost,Coût estimé
Estimated Cost (€),Coût estimé (€)
Estimated Hours,Heures estimées
Estimated:,Estimé :
Evaluate potential risks and concerns,Évaluer les risques et préoccupations potentiels
Event,Événement
Event is required for event context,L'événement est requis pour le contexte événement
Event is required when tracking context is 'event',L'événement est requis lorsque le contexte de suivi est « événement »
Event Type,Type d'événement
Events,Événements
Events not available. Please run: bench --site orga.localhost migrate,Événements non disponibles. Veuillez exécuter : bench --site orga.localhost migrate
Events:,Événements :
Expert,Expert
Explain why you are proposing a different time...,Expliquez pourquoi vous proposez un horaire différent...
Export,Exporter
Export failed,Échec de l'exportation
Export JSON,Exporter en JSON
Exported,Exporté
Exported to timesheet {0},Exporté vers la feuille de temps {0}
External,Externe
Failed to add item,Échec de l'ajout de l'élément
Failed to add note,Échec de l'ajout de la note
Failed to add skill,Échec de l'ajout de la compétence
Failed to apply cascade changes: {0},Échec de l'application des modifications en cascade : {0}
Failed to create defect,Échec de la création du défaut
Failed to create dependency,Échec de la création de la dépendance
Failed to create event,Échec de la création de l'événement
Failed to create milestone,Échec de la création du jalon
Failed to create project,Échec de la création du projet
Failed to create task,Échec de la création de la tâche
Failed to create time log,Échec de la création de l'entrée de temps
Failed to delete,Échec de la suppression
Failed to delete comment,Échec de la suppression du commentaire
Failed to delete contact,Échec de la suppression du contact
Failed to load,Échec du chargement
Failed to load activity,Échec du chargement de l'activité
Failed to load assignments,Échec du chargement des affectations
Failed to load contact,Échec du chargement du contact
Failed to load dashboard data,Échec du chargement des données du tableau de bord
Failed to load defects,Échec du chargement des défauts
Failed to load events,Échec du chargement des événements
Failed to load project,Échec du chargement du projet
Failed to load projects,Échec du chargement des projets
Failed to load report data,Échec du chargement des données du rapport
Failed to load settings,Échec du chargement des paramètres
Failed to load tasks,Échec du chargement des tâches
Failed to move task,Échec du déplacement de la tâche
Failed to post comment,Échec de la publication du commentaire
Failed to propose new time,Échec de la proposition d'un nouveau créneau
Failed to remove item,Échec de la suppression de l'élément
Failed to remove skill,Échec de la suppression de la compétence
Failed to reorder milestones: {0},Échec de la réorganisation des jalons : {0}
Failed to reorder tasks: {0},Échec de la réorganisation des tâches : {0}
Failed to reschedule dependent tasks: {0},Échec de la replanification des tâches dépendantes : {0}
Failed to save,Échec de l'enregistrement
Failed to save preferences,Échec de l'enregistrement des préférences
Failed to save settings,Échec de l'enregistrement des paramètres
Failed to submit request. Please try again.,Échec de l'envoi de la demande. Veuillez réessayer.
Failed to update item,Échec de la mise à jour de l'élément
Failed to update priority,Échec de la mise à jour de la priorité
Failed to update task,Échec de la mise à jour de la tâche
Failed to update tasks: {0},Échec de la mise à jour des tâches : {0}
Failed to upload avatar,Échec du téléversement de l'avatar
Feature,Fonctionnalité
Features,Fonctionnalités
FF (Finish-Finish),FF (Fin-Fin)
FF - Finish-to-Finish,FF - Fin-à-Fin
Field has been updated,Le champ a été mis à jour
Field name is required for 'Set Field Value' action,Le nom du champ est requis pour l'action « Définir la valeur du champ »
Field {0} is not a Link field,Le champ {0} n'est pas un champ de type Lien
Field {0} not found in {1},Champ {0} non trouvé dans {1}
File,Fichier
file,fichier
File does not belong to this task,Le fichier n'appartient pas à cette tâche
File name is required,Le nom du fichier est requis
File uploaded,Fichier téléversé
File {0} not found,Fichier {0} non trouvé
Files,Fichiers
files,fichiers
Filter,Filtre
Final Decision,Décision finale
Finance,Finances
Financial,Financier
Finish-to-Finish,Fin-à-Fin
Finish-to-Start,Fin-à-Début
Flag,Signaler
Flag for attention,Signaler pour attention
Flagged,Signalé
Focus Panel,Panneau de focus
Follows your system preference. Currently:,Suit votre préférence système. Actuellement :
Frappe Project {0} not found,Projet Frappe {0} non trouvé
Frappe Projects Migration,Migration Frappe Projects
Frappe Projects module not available,Module Frappe Projects non disponible
Frappe Projects module not installed,Module Frappe Projects non installé
Frappe Projects sync is not enabled,La synchronisation Frappe Projects n'est pas activée
Frappe Task DocType not found,DocType Tâche Frappe non trouvé
Frappe Task has no project,La tâche Frappe n'a pas de projet
Frappe Task {0} not found,Tâche Frappe {0} non trouvée
Fri,Ven
From,De
From Template,Depuis un modèle
FS (Finish-Start),FS (Fin-Début)
FS - Finish-to-Start (default),FS - Fin-à-Début (par défaut)
Full form view with audit trail,Vue formulaire complète avec piste d'audit
Full name,Nom complet
Gantt,Gantt
Gantt Chart,Diagramme de Gantt
Gantt View,Vue Gantt
General Note,Note générale
Get started,Commencer
Go back,Revenir en arrière
Go Back,Retour
Group by,Grouper par
Group dependency removed,Dépendance de groupe supprimée
Group dependency set,Dépendance de groupe définie
Group removed,Groupe supprimé
Group updated,Groupe mis à jour
Hammock task dates are auto-calculated and cannot be changed manually,Les dates des tâches hamac sont calculées automatiquement et ne peuvent pas être modifiées manuellement
Have a question or need assistance? Fill out the form below and our team will get back to you.,Vous avez une question ou besoin d'aide ? Remplissez le formulaire ci-dessous et notre équipe vous répondra.
Health,Santé
Healthy,Sain
Hello {0},Bonjour {0}
Here's what's happening with your projects today.,Voici ce qui se passe avec vos projets aujourd'hui.
Hide,Masquer
High,Haute
History,Historique
Home,Accueil
Hourly Cost,Coût horaire
Hours,Heures
hours,heures
Hours Logged,Heures enregistrées
ID,ID
Image must be smaller than 5 MB,L'image doit faire moins de 5 Mo
Import,Importer
Import existing projects and tasks from Frappe Projects module,Importer les projets et tâches existants depuis le module Frappe Projects
Import failed,Échec de l'importation
Import Template,Importer un modèle
Imported,Importé
in,dans
In Progress,En cours
In Review,En révision
In-app notifications,Notifications dans l'application
Inactive,Inactif
Initial Review,Revue initiale
Installed Version,Version installée
Insufficient permissions to view all tasks,Permissions insuffisantes pour afficher toutes les tâches
Intermediate,Intermédiaire
Internal,Interne
Invalid DocType,DocType invalide
Invalid DocType for import,DocType invalide pour l'importation
Invalid item type: {0},Type d'élément invalide : {0}
Invalid JSON data,Données JSON invalides
Invalid note type. Must be one of: {0},Type de note invalide. Doit être l'un des suivants : {0}
Invalid project reference,Référence de projet invalide
Invalid reaction type. Must be one of: {0},Type de réaction invalide. Doit être l'un des suivants : {0}
Invalid RSVP status,Statut RSVP invalide
Invalid status. Must be one of: {0},Statut invalide. Doit être l'un des suivants : {0}
Invalid status: {0},Statut invalide : {0}
Invalid status: {0}. Must be one of: {1},Statut invalide : {0}. Doit être l'un des suivants : {1}
Invalid tracking context: {0},Contexte de suivi invalide : {0}
Invalid visibility. Must be one of: {0},Visibilité invalide. Doit être l'une des suivantes : {0}
Invitation: {0} - {1} at {2},Invitation : {0} - {1} à {2}
Invite People,Inviter des personnes
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","Ce n'est pas vous, c'est le lien. La page que vous recherchez a peut-être été déplacée, renommée ou prend une pause café bien méritée. Vos projets et données sont parfaitement en sécurité."
Item added,Élément ajouté
Item ID is required,L'identifiant de l'élément est requis
Item removed,Élément supprimé
Item type is required,Le type d'élément est requis
Item {0} not found,Élément {0} non trouvé
Job title or role,Intitulé de poste ou rôle
Join Meeting,Rejoindre la réunion
Just now,À l'instant
just now,à l'instant
Kanban,Kanban
Kanban Board,Tableau Kanban
Kanban View,Vue Kanban
Keyboard Shortcuts,Raccourcis clavier
Keyboard shortcuts (?),Raccourcis clavier (?)
Last checked: {0},Dernière vérification : {0}
Last Updated,Dernière mise à jour
Last updated:,Dernière mise à jour :
Last Week,Semaine dernière
Latest Version,Dernière version
Light,Clair
Link failed,Échec de la liaison
Link Task,Lier une tâche
Linked,Lié
Linked employee not found,Employé lié non trouvé
Linked Tasks,Tâches liées
List,Liste
List View,Vue liste
Load failed,Échec du chargement
Load More,Charger plus
Load more comments,Charger plus de commentaires
Loading activity...,Chargement de l'activité...
Loading changes...,Chargement des modifications...
Loading checklist...,Chargement de la liste de contrôle...
Loading comments...,Chargement des commentaires...
Loading contact...,Chargement du contact...
Loading contacts...,Chargement des contacts...
Loading dependencies...,Chargement des dépendances...
Loading details...,Chargement des détails...
