+ Add Milestone,+ Shto pikë referimi
Already exported to timesheet {0},Tashmë e eksportuar në fletën e kohës {0}
Already Migrated,Tashmë e migruar
Anyone with access,Kushdo me akses
anytime to show this help,në çdo moment për të shfaqur këtë ndihmë
App Updates,App Updates
Appearance,Pamja
Apply,Zbato
Apply cascade?,Zbato kaskadën?
Apply Changes,Zbato ndryshimet
Apply failed,Zbatimi dështoi
Apply Template,Zbato modelin
Applying...,Duke zbatuar...
Appointment,Takim
Appointment and resource are required,Takimi dhe burimi janë të nevojshëm
Appointment name is required,Emri i takimit është i nevojshëm
Appointment not found,Takimi nuk u gjet
Appointment {0} not found,Takimi {0} nuk u gjet
Apps,Aplikacione
Archive,Arkivo
Archive Activity,Arkivo aktivitetin
Archived,Arkivuar
Are you sure you want to delete this activity data? This cannot be undone.,Jeni të sigurt që doni të fshini këto të dhëna aktiviteti? Ky veprim nuk mund të zhbëhet.
Are you sure you want to delete this comment?,Jeni të sigurt që doni të fshini këtë koment?
Are you sure you want to delete this project?,Jeni të sigurt që doni të fshini këtë projekt?
Are you sure?,Jeni të sigurt?
Ascending -- click to reverse,Rritës -- klikoni për të kthyer
Assign To,Cakto te
Assign to Me,Më cakto mua
Assigned Contact,Kontakti i caktuar
Assigned To,Caktuar te
Assigned to,Caktuar te
Assigned to Me,Caktuar te unë
Assignee,I caktuari
Assignment,Caktim
Assignment History,Historiku i caktimeve
Assignment name is required,Emri i caktimit është i nevojshëm
Assignment {0} not found,Caktimi {0} nuk u gjet
Assignments,Caktime
At least one action is required,Nevojitet të paktën një veprim
At least one event is required,Nevojitet të paktën një event
At least one event must be selected,Duhet zgjedhur të paktën një event
Attachment,Bashkëngjitje
Attachments,Bashkëngjitje
Attendees,Pjesëmarrës
"Audit trail, assignments, version history","Gjurmë auditimi, caktime, historiku i versioneve"
Auto,Automatik
Auto Calculate Progress,Llogarit progresin automatikisht
Auto Set Missed Milestones,Shëno automatikisht pikat e referimit të humbura
Auto-shift dependents when dates change,Zhvendos automatikisht varësitë kur ndryshojnë datat
Auto-Trail Start,Fillim me rrëshqitje automatike
Auto-Trail updated,Rrëshqitja automatike u përditësua
Automatically calculate project progress from task completion,Llogarit automatikisht progresin e projektit nga përfundimi i detyrave
Automatically mark milestones as missed when overdue,Shëno automatikisht pikat e referimit si të humbura kur janë vonuar
Automation rule {0} not found,Rregulli i automatizimit {0} nuk u gjet
Automation: {0},Automatizim: {0}
Availability,Disponueshmëria
Available,I disponueshëm
Avatar updated successfully,Avatari u përditësua me sukses
Avg Progress,Progresi mesatar
Back,Kthehu
Back to Portal,Kthehu te portali
Back to Projects,Kthehu te projektet
Beginner,Fillestar
Best regards,Me respekt
Billable,E faturueshme
Billable Amount,Shuma e faturueshme
Billable Hours,Orë të faturueshme
Billable Rate,Tarifa e faturueshme
Billing Rate,Tarifa e faturimit
Blocked,Bllokuar
Both dates are needed to display task as a bar in Gantt chart,Të dyja datat nevojiten për të shfaqur detyrën si shirit në grafikun Gantt
Both doctype and docname are required,Doctype dhe docname janë të dyja të nevojshme
Both proposed start and end times are required,Të dyja orët e propozuara të fillimit dhe mbarimit janë të nevojshme
Both task_name and depends_on are required,task_name dhe depends_on janë të dyja të nevojshme
Breadcrumb,Gjurmë navigimi
Brief description of the defect or damage,Përshkrim i shkurtër i defektit ose dëmtimit
Brief description of this template,Përshkrim i shkurtër i këtij modeli
Brief description of your request,Përshkrim i shkurtër i kërkesës suaj
Brief project description,Përshkrim i shkurtër i projektit
Budget,Buxhet
Budget at risk,Buxheti në rrezik
Budget Burn Rate,Ritmi i shpenzimit të buxhetit
Budget Status,Gjendja e buxhetit
Budget updated,Buxheti u përditësua
Budget:,Buxheti:
Bug,Gabim
Burn Rate,Ritmi i shpenzimit
Busy,I zënë
By,Nga
By Assignee,Sipas të caktuarit
By Group,Sipas grupit
By Milestone,Sipas pikës së referimit
By Priority,Sipas prioritetit
By Status,Sipas statusit
Cancel,Anulo
Cancelled,Anuluar
cannot be undone,nuk mund të zhbëhet
Cannot delete client with {0} linked projects. Unlink projects first.,Nuk mund të fshihet klienti me {0} projekte të lidhura. Shkëputni projektet së pari.
Cannot delete project with {0} linked tasks. Delete tasks first.,Nuk mund të fshihet projekti me {0} detyra të lidhura. Fshini detyrat së pari.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Nuk mund të fshihet burimi me {0} caktime aktive. Përfundoni ose anuloni ato së pari.
Cannot delete task with {0} subtasks. Delete subtasks first.,Nuk mund të fshihet detyra me {0} nëndetyra. Fshini nëndetyrat së pari.
Capacity,Kapacitet
capacity,kapacitet
Capacity & Rates,Kapaciteti dhe tarifat
Capture project structure for reuse,Ruaj strukturën e projektit për ripërdorim
Cascade,Kaskadë
Cascade Preview,Parashikim i kaskadës
Category,Kategori
Celebrate,Festo
Change,Ndrysho
Change History,Historiku i ndryshimeve
Change Priority,Ndrysho prioritetin
Change Status,Ndrysho statusin
Changes,Ndryshime
Changes appear when fields are modified.,Ndryshimet shfaqen kur fushat modifikohen.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Listë kontrolli
Checklist item name is required,Emri i zërit të listës së kontrollit është i nevojshëm
Checklist item not found,Zëri i listës së kontrollit nuk u gjet
Checklist item title is required,Titulli i zërit të listës së kontrollit është i nevojshëm
Checklist item {0} not found,Zëri i listës së kontrollit {0} nuk u gjet
Checklist item {0} not found in task,Zëri i listës së kontrollit {0} nuk u gjet në detyrë
Child,Fëmijë
Choose file to upload,Zgjidhni skedarin për ngarkim
Circular dependency detected: {0},Varësi rrethore e zbuluar: {0}
Circular parent-child relationship detected,Lidhje rrethore prind-fëmijë e zbuluar
Clear,Pastro
Clear all read,Pastro të gjitha të lexuarat
Clear date,Pastro datën
Click on an activity from the list to view and manage its details.,Klikoni mbi një aktivitet nga lista për të parë dhe menaxhuar detajet e tij.
Click the avatar to upload a new photo,Klikoni mbi avatarin për të ngarkuar një foto të re
Click to add description...,Klikoni për të shtuar përshkrimin...
Click to add notes...,Klikoni për të shtuar shënime...
Click to assign contact,Klikoni për të caktuar kontaktin
Click to change status,Klikoni për të ndryshuar statusin
Click to change type,Klikoni për të ndryshuar llojin
Click to edit,Klikoni për të modifikuar
Click to edit budget,Klikoni për të modifikuar buxhetin
Click to edit description,Klikoni për të modifikuar përshkrimin
Click to edit end date,Klikoni për të modifikuar datën e mbarimit
Click to edit milestone name,Klikoni për të modifikuar emrin e pikës së referimit
Click to edit rate,Klikoni për të modifikuar tarifën
Click to edit start date,Klikoni për të modifikuar datën e fillimit
Click to edit title,Klikoni për të modifikuar titullin
Click to load,Klikoni për të ngarkuar
Click to set group dependency...,Klikoni për të vendosur varësinë e grupit...
Click to set group...,Klikoni për të vendosur grupin...
Click to view,Klikoni për të parë
Click to view at-risk projects,Klikoni për të parë projektet në rrezik
Click to view critical projects,Klikoni për të parë projektet kritike
Click to view healthy projects,Klikoni për të parë projektet e shëndetshme
Client,Klient
Client already has a portal user: {0},Klienti ka tashmë një përdorues portali: {0}
Client already has portal access,Klienti ka tashmë akses në portal
Client has no portal user to revoke,Klienti nuk ka përdorues portali për t'ia hequr
Client link removed from project {0},Lidhja e klientit u hoq nga projekti {0}
Client Portal,Portali i klientit
Client {0} deleted successfully,Klienti {0} u fshi me sukses
Close,Mbyll
Close (Esc),Mbyll (Esc)
Comment,Koment
comment,koment
Comment added,Komenti u shtua
Comment content is required,Përmbajtja e komentit është e nevojshme
Comment name is required,Emri i komentit është i nevojshëm
Comment not found,Komenti nuk u gjet
Comment removed,Komenti u hoq
Comment {0} not found in task,Komenti {0} nuk u gjet në detyrë
Comments,Komente
comments,komente
Community Edition,Community Edition
Company,Kompani
Company name...,Emri i kompanisë...
Complete,Përfundo
Completed,Përfunduar
completed,përfunduar
Completed Tasks,Detyra të përfunduara
Compliance,Përputhshmëri
Configure default values for new projects and tasks,Konfiguro vlerat e paracaktuara për projektet dhe detyrat e reja
Configure email notification settings,Konfiguro cilësimet e njoftimeve me email
Confirm,Konfirmo
Contact deleted,Kontakti u fshi
Contact Details,Detaje kontakti
Contact Information,Informacione kontakti
Contact name is required,Emri i kontaktit është i nevojshëm
Contact Support,Kontaktoni mbështetjen
Contact your project manager for more information.,Kontaktoni menaxherin e projektit tuaj për më shumë informacion.
Contact:,Kontakti:
Contacts,Kontakte
Context,Kontekst
Contractor,Kontraktor
Cost estimate cannot be negative,Vlerësimi i kostos nuk mund të jetë negativ
Cost Impact,Ndikimi në kosto
Cost Summary,Përmbledhja e kostove
Could not apply the template. Please try again.,Modeli nuk mund të zbatohej. Ju lutem provoni përsëri.
Could not attach file to project,Skedari nuk mund të bashkëngjitej në projekt
Could not change task priority,Prioriteti i detyrës nuk mund të ndryshohej
Could not change task status,Statusi i detyrës nuk mund të ndryshohej
Could not delete the project. Please try again.,Projekti nuk mund të fshihej. Ju lutem provoni përsëri.
Could not delete the task. Please try again.,Detyra nuk mund të fshihej. Ju lutem provoni përsëri.
Could not delete the template.,Modeli nuk mund të fshihej.
Could not duplicate the task. Please try again.,Detyra nuk mund të kopjohej. Ju lutem provoni përsëri.
Could not export the template.,Modeli nuk mund të eksportohej.
Could not import the template. Please check the file format.,Modeli nuk mund të importohej. Ju lutem kontrolloni formatin e skedarit.
Could not link task to milestone,Detyra nuk mund të lidhej me pikën e referimit
Could not load document details.,Detajet e dokumentit nuk mund të ngarkoheshin.
Could not load task details,Detajet e detyrës nuk mund të ngarkoheshin
Could not promote checklist item to task.,Zëri i listës së kontrollit nuk mund të ngrihej në detyrë.
Could not remove task from milestone,Detyra nuk mund të hiqej nga pika e referimit
Could not save budget.,Buxheti nuk mund të ruahej.
Could not save changes to the milestone,Ndryshimet në pikën e referimit nuk mund të ruaheshin
Could not save changes to the task,Ndryshimet në detyrë nuk mund të ruaheshin
Could not save description.,Përshkrimi nuk mund të ruahej.
Could not save end date.,Data e mbarimit nuk mund të ruahej.
Could not save milestone name.,Emri i pikës së referimit nuk mund të ruahej.
Could not save start date.,Data e fillimit nuk mund të ruahej.
Could not save the template. Please try again.,Modeli nuk mund të ruahej. Ju lutem provoni përsëri.
Could not save title.,Titulli nuk mund të ruahej.
Could not update dependency mode.,Mënyra e varësisë nuk mund të përditësohej.
Could not update milestone date,Data e pikës së referimit nuk mund të përditësohej
Could not update project status.,Statusi i projektit nuk mund të përditësohej.
Could not update project type.,Lloji i projektit nuk mund të përditësohej.
Could not update setting.,Cilësimi nuk mund të përditësohej.
Could not update task dates,Datat e detyrës nuk mund të përditësoheshin
Could not update task status,Statusi i detyrës nuk mund të përditësohej
Could not update the template.,Modeli nuk mund të përditësohej.
Create a copy of this task,Krijo një kopje të kësaj detyre
Create Contact,Krijo kontakt
Create Event,Krijo event
Create Milestone,Krijo pikë referimi
Create New Milestone,Krijo pikë referimi të re
Create New Task,Krijo detyrë të re
Create Project,Krijo projekt
Create Task,Krijo detyrë
Create tasks and milestones from a template,Krijo detyra dhe pika referimi nga një model
Create your first project to get started.,Krijoni projektin tuaj të parë për të filluar.
Create your first task to start tracking work on this project.,Krijoni detyrën tuaj të parë për të filluar ndjekjen e punës në këtë projekt.
Created,Krijuar
Creating...,Duke krijuar...
Critical,Kritik
Critical Path,Rruga kritike
"Currency used for budgets, costs, and billing rates","Monedha e përdorur për buxhete, kosto dhe tarifa faturimi"
Current,Aktual
Current Assignments,Caktimet aktuale
Current scheduled time:,Koha aktuale e planifikuar:
Currently running version,Currently running version
d lag,d vonesë
Daily Availability,Disponueshmëria ditore
Daily Hours,Orët ditore
Danger Zone,Zonë rreziku
Dark,E errët
Dashboard,Paneli
Date,Datë
Date changes on this task will show cascade impact here,Ndryshimet e datës në këtë detyrë do të tregojnë ndikimin kaskadë këtu
Date cleared,Data u pastrua
Date of Joining,Data e pranimit
Date updated,Data u përditësua
Dates,Data
Dates cascaded,Datat u kaskaduan
Dates will be relative to the project's start date.,Datat do të jenë relative ndaj datës së fillimit të projektit.
Day,Ditë
day,ditë
days,ditë
Days before due date to send reminder,Ditë para afatit për të dërguar kujtesë
Days Overdue,Ditë vonesë
Days Remaining,Ditë të mbetura
Deadline,Afat
Deadlines,Afate
Decision,Vendim
Decline,Refuzo
Declined,Refuzuar
Default Currency,Monedha e paracaktuar
Default hours per week for contact capacity planning,Orë të paracaktuara në javë për planifikimin e kapacitetit të kontakteve
Default Priority,Prioriteti i paracaktuar
Default Project Status,Statusi i paracaktuar i projektit
Default Task Status,Statusi i paracaktuar i detyrës
Default task view,Pamja e paracaktuar e detyrës
Default Values,Vlera të paracaktuara
Default Weekly Capacity,Kapaciteti javor i paracaktuar
Defaults,Paracaktime
Defect Cost Impact,Ndikimi financiar i defektit
Defect name is required,Emri i defektit është i nevojshëm
Defect Type,Lloji i defektit
Defect {0} not found,Defekti {0} nuk u gjet
Defects,Defekte
Defects & Issues,Defekte dhe probleme
Defects Resolved,Defekte të zgjidhura
Delayed,Vonuar
Delete,Fshi
Delete Activity Data,Fshi të dhënat e aktivitetit
Delete all read notifications?,Fshi të gjitha njoftimet e lexuara?
Delete comment,Fshi komentin
Delete Contact,Fshi kontaktin
Delete Event,Fshi eventin
Delete Event?,Fshi eventin?
Delete failed,Fshirja dështoi
Delete file,Fshi skedarin
Delete item,Fshi zërin
Delete note,Fshi shënimin
Delete Project,Fshi projektin
Delete Task,Fshi detyrën
Delete this project,Fshi këtë projekt
Deleted,Fshirë
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekti ""{0}"" u fshi ({1} detyra, {2} pika referimi)"
Deletes notes and preferences. Source document is not affected.,Fshin shënimet dhe preferencat. Dokumenti burimor nuk preket.
Deleting...,Duke fshirë...
Department,Departament
Dependencies,Varësi
dependencies,varësi
Dependencies are informational only,Varësitë janë vetëm informative
dependency,varësi
Dependency already exists,Varësia ekziston tashmë
Dependency Chain,Zinxhir varësie
Dependency created,Varësia u krijua
Dependency mode updated,Mënyra e varësisë u përditësua
Dependency name is required,Emri i varësisë është i nevojshëm
Dependency task {0} not found,Detyra e varësisë {0} nuk u gjet
Dependency {0} not found,Varësia {0} nuk u gjet
depends,varet
Depends on Group,Varet nga grupi
Depends on task is required,Detyra e varësisë është e nevojshme
depends on...,varet nga...
Descending -- click to reverse,Zbritës -- klikoni për të kthyer
Describe the defect in detail...,Përshkruani defektin në detaje...
Description,Përshkrim
Description updated,Përshkrimi u përditësua
Designation,Pozicioni
"Detailed description of the defect, location, and impact","Përshkrim i detajuar i defektit, vendndodhjes dhe ndikimit"
Details,Detaje
Discard timer,Hiq dorë nga kronometri
Discussion,Diskutim
Dismiss,Dismiss
Display,Shfaqje
Document,Dokument
Document attached to project,Dokumenti u bashkëngjit në projekt
Document final decision and rationale,Dokumentoni vendimin përfundimtar dhe arsyetimin
Documentation Review,Rishikim dokumentacioni
Documents,Dokumente
Done,Bërë
Download,Shkarko
Drag to create dependency,Tërhiqni për të krijuar varësi
Dry Run,Simulim
Dry Run Complete,Simulimi përfundoi
Due Date,Afati
Due date,Afati
Due Date (Earliest),Afati (më i hershmi)
Due date cannot be before start date,Afati nuk mund të jetë përpara datës së fillimit
Due date is in the past,Afati ka kaluar
Due Date Reminders,Kujtesa afati
Due Diligence,Verifikim paraprak
Due Diligence Checklist,Listë kontrolli e verifikimit paraprak
Due This Week,Me afat këtë javë
Due:,Afati:
Duplicate events are not allowed,Eventet e kopjuara nuk lejohen
Duplicate failed,Kopjimi dështoi
Duplicate Task,Kopjo detyrën
Duration,Kohëzgjatja
Duration Summary,Përmbledhja e kohëzgjatjes
Duration:,Kohëzgjatja:
e.g. Cracked wall finish in bathroom...,p.sh. Suvatim i plasaritur në banjë...
"e.g. Electrical, Plumbing...","p.sh. Elektrikë, Hidraulikë..."
Edit,Modifiko
Edit (E),Modifiko (E)
Edit dependency,Modifiko varësinë
Edit Event,Modifiko eventin
Efficiency,Efikasitet
Either dependency_name or depends_on is required,dependency_name ose depends_on është i nevojshëm
Email,Email
Email invitations to all attendees,Ftesa me email për të gjithë pjesëmarrësit
Email is required to create portal user,Emaili nevojitet për të krijuar përdorues portali
Email notifications,Njoftime me email
Employee,Punonjës
Employee DocType not available,DocType Punonjës nuk është i disponueshëm
Employee not found,Punonjësi nuk u gjet
Enable or disable optional features,Aktivizo ose çaktivizo veçoritë opsionale
Enable Time Tracking,Aktivizo ndjekjen e kohës
End,Fund
End Date,Data e mbarimit
End date,Data e mbarimit
End Date cannot be before Start Date,Data e mbarimit nuk mund të jetë përpara datës së fillimit
End date cannot be before start date,Data e mbarimit nuk mund të jetë përpara datës së fillimit
End date updated,Data e mbarimit u përditësua
End time was before start time. Adjusted to 1 hour after start.,Ora e mbarimit ishte para orës së fillimit. U rregullua në 1 orë pas fillimit.
End:,Mbarimi:
Enter milestone name...,Shkruani emrin e pikës së referimit...
Enter project name,Shkruani emrin e projektit
Enter task title...,Shkruani titullin e detyrës...
Enter template name,Shkruani emrin e modelit
Enter your note... Use @name to mention someone,Shkruani shënimin tuaj... Përdorni @emër për të përmendur dikë
Error,Gabim
Error loading activity,Gabim gjatë ngarkimit të aktivitetit
Error loading contacts,Gabim gjatë ngarkimit të kontakteve
Error loading dashboard,Gabim gjatë ngarkimit të panelit
Error loading project,Gabim gjatë ngarkimit të projektit
Error loading projects,Gabim gjatë ngarkimit të projekteve
Error loading settings,Gabim gjatë ngarkimit të cilësimeve
Error loading tasks,Gabim gjatë ngarkimit të detyrave
Error loading templates,Gabim gjatë ngarkimit të modeleve
Est. Hours,Orë të vler.
Estimated,I vlerësuar
Estimated Cost,Kosto e vlerësuar
Estimated Cost (€),Kosto e vlerësuar (€)
Estimated Hours,Orë të vlerësuara
Estimated:,Vlerësuar:
Evaluate potential risks and concerns,Vlerësoni rreziqet dhe shqetësimet e mundshme
Event,Event
Event is required for event context,Eventi nevojitet për kontekstin e eventit
Event is required when tracking context is 'event',Eventi nevojitet kur konteksti i ndjekjes është 'event'
Event Type,Lloji i eventit
Events,Evente
Events not available. Please run: bench --site orga.localhost migrate,Eventet nuk janë të disponueshme. Ju lutem ekzekutoni: bench --site orga.localhost migrate
Events:,Evente:
Expert,Ekspert
Explain why you are proposing a different time...,Shpjegoni pse po propozoni një orar tjetër...
Export,Eksporto
Export failed,Eksportimi dështoi
Export JSON,Eksporto JSON
Exported,Eksportuar
Exported to timesheet {0},Eksportuar në fletën e kohës {0}
External,I jashtëm
Failed to add item,Shtimi i zërit dështoi
Failed to add note,Shtimi i shënimit dështoi
Failed to add skill,Shtimi i aftësisë dështoi
Failed to apply cascade changes: {0},Zbatimi i ndryshimeve kaskadë dështoi: {0}
Failed to create defect,Krijimi i defektit dështoi
Failed to create dependency,Krijimi i varësisë dështoi
Failed to create event,Krijimi i eventit dështoi
Failed to create milestone,Krijimi i pikës së referimit dështoi
Failed to create project,Krijimi i projektit dështoi
Failed to create task,Krijimi i detyrës dështoi
Failed to create time log,Krijimi i hyrjes së kohës dështoi
Failed to delete,Fshirja dështoi
Failed to delete comment,Fshirja e komentit dështoi
Failed to delete contact,Fshirja e kontaktit dështoi
Failed to load,Ngarkimi dështoi
Failed to load activity,Ngarkimi i aktivitetit dështoi
Failed to load assignments,Ngarkimi i caktimeve dështoi
Failed to load contact,Ngarkimi i kontaktit dështoi
Failed to load dashboard data,Ngarkimi i të dhënave të panelit dështoi
Failed to load defects,Ngarkimi i defekteve dështoi
Failed to load events,Ngarkimi i eventeve dështoi
Failed to load project,Ngarkimi i projektit dështoi
Failed to load projects,Ngarkimi i projekteve dështoi
Failed to load report data,Ngarkimi i të dhënave të raportit dështoi
Failed to load settings,Ngarkimi i cilësimeve dështoi
Failed to load tasks,Ngarkimi i detyrave dështoi
Failed to move task,Zhvendosja e detyrës dështoi
Failed to post comment,Publikimi i komentit dështoi
Failed to propose new time,Propozimi i orarit të ri dështoi
Failed to remove item,Heqja e zërit dështoi
Failed to remove skill,Heqja e aftësisë dështoi
Failed to reorder milestones: {0},Rirenditja e pikave të referimit dështoi: {0}
Failed to reorder tasks: {0},Rirenditja e detyrave dështoi: {0}
Failed to reschedule dependent tasks: {0},Riplanifikimi i detyrave varëse dështoi: {0}
Failed to save,Ruajtja dështoi
Failed to save preferences,Ruajtja e preferencave dështoi
Failed to save settings,Ruajtja e cilësimeve dështoi
Failed to submit request. Please try again.,Dërgimi i kërkesës dështoi. Ju lutem provoni përsëri.
Failed to update item,Përditësimi i zërit dështoi
Failed to update priority,Përditësimi i prioritetit dështoi
Failed to update task,Përditësimi i detyrës dështoi
Failed to update tasks: {0},Përditësimi i detyrave dështoi: {0}
Failed to upload avatar,Ngarkimi i avatarit dështoi
Feature,Veçori
Features,Veçori
FF (Finish-Finish),FF (Fund-Fund)
FF - Finish-to-Finish,FF - Fund-në-Fund
Field has been updated,Fusha u përditësua
Field name is required for 'Set Field Value' action,Emri i fushës nevojitet për veprimin 'Vendos vlerën e fushës'
Field {0} is not a Link field,Fusha {0} nuk është fushë e tipit Lidhje
Field {0} not found in {1},Fusha {0} nuk u gjet në {1}
File,Skedar
file,skedar
File does not belong to this task,Skedari nuk i përket kësaj detyre
File name is required,Emri i skedarit është i nevojshëm
File uploaded,Skedari u ngarkua
File {0} not found,Skedari {0} nuk u gjet
Files,Skedarë
files,skedarë
Filter,Filtër
Final Decision,Vendimi përfundimtar
Finance,Financa
Financial,Financiar
Finish-to-Finish,Fund-në-Fund
Finish-to-Start,Fund-në-Fillim
Flag,Sinjalo
Flag for attention,Sinjalo për vëmendje
Flagged,Sinjaluar
Focus Panel,Paneli i fokusit
Follows your system preference. Currently:,Ndjek preferencën e sistemit tuaj. Aktualisht:
Frappe Project {0} not found,Projekti Frappe {0} nuk u gjet
Frappe Projects Migration,Migrimi i Frappe Projects
Frappe Projects module not available,Moduli Frappe Projects nuk është i disponueshëm
Frappe Projects module not installed,Moduli Frappe Projects nuk është i instaluar
Frappe Projects sync is not enabled,Sinkronizimi i Frappe Projects nuk është aktivizuar
Frappe Task DocType not found,DocType i detyrës Frappe nuk u gjet
Frappe Task has no project,Detyra Frappe nuk ka projekt
Frappe Task {0} not found,Detyra Frappe {0} nuk u gjet
Fri,Pre
From,Nga
From Template,Nga modeli
FS (Finish-Start),FS (Fund-Fillim)
FS - Finish-to-Start (default),FS - Fund-në-Fillim (parazgjedhur)
Full form view with audit trail,Pamja e plotë e formularit me gjurmë auditimi
Full name,Emri i plotë
Gantt,Gantt
Gantt Chart,Grafiku Gantt
Gantt View,Pamja Gantt
General Note,Shënim i përgjithshëm
Get started,Filloni
Go back,Kthehu prapa
Go Back,Go Back
Group by,Grupo sipas
Group dependency removed,Varësia e grupit u hoq
Group dependency set,Varësia e grupit u vendos
Group removed,Grupi u hoq
Group updated,Grupi u përditësua
Hammock task dates are auto-calculated and cannot be changed manually,Datat e detyrave hamak llogariten automatikisht dhe nuk mund të ndryshohen manualisht
Have a question or need assistance? Fill out the form below and our team will get back to you.,Keni një pyetje ose keni nevojë për ndihmë? Plotësoni formularin më poshtë dhe ekipi ynë do t'ju përgjigjet.
Health,Shëndet
Healthy,I shëndetshëm
Hello {0},Përshëndetje {0}
Here's what's happening with your projects today.,Ja çfarë po ndodh me projektet tuaja sot.
Hide,Fshih
High,E lartë
History,Historik
Home,Kryefaqja
Hourly Cost,Kosto orare
Hours,Orë
hours,orë
Hours Logged,Orë të regjistruara
ID,ID
Image must be smaller than 5 MB,Imazhi duhet të jetë më i vogël se 5 MB
Import,Importo
Import existing projects and tasks from Frappe Projects module,Importoni projektet dhe detyrat ekzistuese nga moduli Frappe Projects
