+ Add Milestone,+ မှတ်တိုင်ထည့်ရန်
Add a task description...,လုပ်ငန်း ဖော်ပြချက်ထည့်ပါ...
Add checklist item...,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ ထည့်ပါ...
Add Contact,ဆက်သွယ်ရန်သူ ထည့်ရန်
Add contacts via the Desk interface or clear filters,Desk မျက်နှာပြင်မှ ဆက်သွယ်ရန်သူများ ထည့်ပါ သို့မဟုတ် စစ်ထုတ်မှုများ ရှင်းပါ
Add Dependency,မှီခိုမှု ထည့်ရန်
Add details about this event...,ဤပွဲအကြောင်း အသေးစိတ်ထည့်ပါ...
Add details about this milestone...,ဤမှတ်တိုင်အကြောင်း အသေးစိတ်ထည့်ပါ...
Add details about this task...,ဤလုပ်ငန်းအကြောင်း အသေးစိတ်ထည့်ပါ...
Add details or acceptance criteria for this milestone,ဤမှတ်တိုင်အတွက် အသေးစိတ်များ သို့မဟုတ် လက်ခံစံနှုန်းများ ထည့်ပါ
"Add details, context, or acceptance criteria",အသေးစိတ်များ၊ အကြောင်းအရာများ သို့မဟုတ် လက်ခံစံနှုန်းများ ထည့်ပါ
Add first dependency,ပထမဆုံး မှီခိုမှု ထည့်ရန်
Add item,အကြောင်းအရာ ထည့်ရန်
Add items below to track progress.,တိုးတက်မှု ခြေရာခံရန် အောက်တွင် အကြောင်းအရာများ ထည့်ပါ။
Add items below to track subtasks,လုပ်ငန်းခွဲများ ခြေရာခံရန် အောက်တွင် အကြောင်းအရာများ ထည့်ပါ
Add Milestone,မှတ်တိုင် ထည့်ရန်
Add Milestone (Shift+M),မှတ်တိုင် ထည့်ရန် (Shift+M)
Add milestones to track key deliverables.,အဓိက ပေးအပ်ရမည့်အရာများ ခြေရာခံရန် မှတ်တိုင်များ ထည့်ပါ။
Add New Contact,ဆက်သွယ်ရန်သူအသစ် ထည့်ရန်
Add Note,မှတ်စု ထည့်ရန်
Add note,မှတ်စု ထည့်ရန်
Add notes about this contact...,ဤဆက်သွယ်ရန်သူအကြောင်း မှတ်စုများထည့်ပါ...
Add reaction,တုံ့ပြန်မှု ထည့်ရန်
Add Skill,ကျွမ်းကျင်မှု ထည့်ရန်
Add start and due dates to tasks to see them on the Gantt chart,Gantt ဇယားတွင် ကြည့်ရှုရန် လုပ်ငန်းများတွင် စတင်ရက်နှင့် သတ်မှတ်ရက်များ ထည့်ပါ
Add Task,လုပ်ငန်း ထည့်ရန်
Add Task (Shift+T),လုပ်ငန်း ထည့်ရန် (Shift+T)
Added Finish-to-Start dependency,ပြီးဆုံး-မှ-စတင် မှီခိုမှု ထည့်ပြီးပါပြီ
Adding this dependency would create a circular reference: {0},ဤမှီခိုမှုကို ထည့်ခြင်းသည် ပတ်လည်ရည်ညွှန်းမှုကို ဖန်တီးပါလိမ့်မည်: {0}
Adding...,ထည့်နေသည်...
Address,လိပ်စာ
Advanced,အဆင့်မြင့်
All,အားလုံး
All Active,လက်ရှိအသုံးပြုနေသော အားလုံး
All Assignees,တာဝန်ခံအားလုံး
All Categories,အမျိုးအစားအားလုံး
All caught up!,အားလုံး ဖတ်ပြီးပါပြီ!
All Contexts,အကြောင်းအရာအားလုံး
All day,တစ်နေ့တာလုံး
All day event,တစ်နေ့တာလုံး ပွဲ
All fields,အကွက်အားလုံး
All Priorities,ဦးစားပေးအားလုံး
All Projects,ပရောဂျက်အားလုံး
All Status,အခြေအနေအားလုံး
All Statuses,အခြေအနေအားလုံး
All task dependencies & relative dates,လုပ်ငန်း မှီခိုမှုအားလုံး နှင့် ဆက်စပ်ရက်များ
All Tasks,လုပ်ငန်းအားလုံး
All tasks across all projects.,ပရောဂျက်အားလုံးမှ လုပ်ငန်းအားလုံး။
All tasks are already linked,လုပ်ငန်းအားလုံး ချိတ်ဆက်ပြီးသားဖြစ်သည်
All team members,အဖွဲ့ဝင်အားလုံး
All Types,အမျိုးအစားအားလုံး
All Users,အသုံးပြုသူအားလုံး
Allocated,ခွဲဝေပြီး
allocated,ခွဲဝေပြီး
Allow users to log time against tasks,အသုံးပြုသူများကို လုပ်ငန်းများအတွက် အချိန်မှတ်တမ်းတင်ခွင့်ပြုရန်
Already exported to timesheet {0},အချိန်စာရင်း {0} သို့ တင်ပို့ပြီးသားဖြစ်သည်
Already Migrated,ပြောင်းရွှေ့ပြီးသား
Anyone with access,ဝင်ရောက်ခွင့်ရှိသူတိုင်း
anytime to show this help,ဤအကူအညီကို ပြသရန် အချိန်မရွေး
App Updates,App Updates
Appearance,ပုံပန်းသဏ္ဌာန်
Apply,အသုံးပြုရန်
Apply cascade?,ဆင့်ကဲပြောင်းလဲမှု အသုံးပြုမလား?
Apply Changes,ပြောင်းလဲမှုများ အသုံးပြုရန်
Apply failed,အသုံးပြုမှု မအောင်မြင်ပါ
Apply Template,ပုံစံခွက် အသုံးပြုရန်
Applying...,အသုံးပြုနေသည်...
Appointment,ချိန်းဆိုမှု
Appointment and resource are required,ချိန်းဆိုမှုနှင့် အရင်းအမြစ် လိုအပ်ပါသည်
Appointment name is required,ချိန်းဆိုမှုအမည် လိုအပ်ပါသည်
Appointment not found,ချိန်းဆိုမှု မတွေ့ပါ
Appointment {0} not found,ချိန်းဆိုမှု {0} မတွေ့ပါ
Apps,အက်ပ်များ
Archive,မှတ်တမ်းတင်ရန်
Archive Activity,လုပ်ဆောင်ချက် မှတ်တမ်းတင်ရန်
Archived,မှတ်တမ်းတင်ပြီး
Are you sure you want to delete this activity data? This cannot be undone.,ဤလုပ်ဆောင်ချက်ဒေတာကို ဖျက်လိုသည်မှာ သေချာပါသလား? ဤအရာကို ပြန်လည်ပြုလုပ်၍မရပါ။
Are you sure you want to delete this comment?,ဤမှတ်ချက်ကို ဖျက်လိုသည်မှာ သေချာပါသလား?
Are you sure you want to delete this project?,ဤပရောဂျက်ကို ဖျက်လိုသည်မှာ သေချာပါသလား?
Are you sure?,သေချာပါသလား?
Ascending -- click to reverse,ငယ်စဉ်ကြီးလိုက် -- ပြောင်းပြန်လှန်ရန် နှိပ်ပါ
Assign To,တာဝန်ပေးရန်
Assign to Me,ကျွန်ုပ်ကို တာဝန်ပေးရန်
Assigned Contact,တာဝန်ပေးထားသော ဆက်သွယ်ရန်သူ
Assigned To,တာဝန်ပေးထားသူ
Assigned to,တာဝန်ပေးထားသူ
Assigned to Me,ကျွန်ုပ်ထံ တာဝန်ပေးထားသော
Assignee,တာဝန်ခံ
Assignment,တာဝန်ပေးအပ်မှု
Assignment History,တာဝန်ပေးအပ်မှု မှတ်တမ်း
Assignment name is required,တာဝန်ပေးအပ်မှုအမည် လိုအပ်ပါသည်
Assignment {0} not found,တာဝန်ပေးအပ်မှု {0} မတွေ့ပါ
Assignments,တာဝန်ပေးအပ်မှုများ
At least one action is required,လုပ်ဆောင်ချက် အနည်းဆုံးတစ်ခု လိုအပ်ပါသည်
At least one event is required,ပွဲ အနည်းဆုံးတစ်ခု လိုအပ်ပါသည်
At least one event must be selected,ပွဲ အနည်းဆုံးတစ်ခု ရွေးချယ်ရပါမည်
Attachment,ပူးတွဲဖိုင်
Attachments,ပူးတွဲဖိုင်များ
Attendees,တက်ရောက်သူများ
"Audit trail, assignments, version history",စစ်ဆေးမှတ်တမ်း၊ တာဝန်ပေးအပ်မှုများ၊ ဗားရှင်းမှတ်တမ်း
Auto,အလိုအလျောက်
Auto Calculate Progress,တိုးတက်မှု အလိုအလျောက် တွက်ချက်ရန်
Auto Set Missed Milestones,လွတ်သွားသော မှတ်တိုင်များ အလိုအလျောက် သတ်မှတ်ရန်
Auto-shift dependents when dates change,ရက်များ ပြောင်းလဲသည့်အခါ မှီခိုသူများကို အလိုအလျောက် ရွှေ့ရန်
Auto-Trail Start,အလိုအလျောက် လမ်းကြောင်း စတင်ခြင်း
Auto-Trail updated,အလိုအလျောက် လမ်းကြောင်း အပ်ဒိတ်ပြီး
Automatically calculate project progress from task completion,လုပ်ငန်းပြီးစီးမှုမှ ပရောဂျက်တိုးတက်မှုကို အလိုအလျောက် တွက်ချက်ရန်
Automatically mark milestones as missed when overdue,သတ်မှတ်ရက်ကျော်သည့်အခါ မှတ်တိုင်များကို လွတ်သွားသည်ဟု အလိုအလျောက် မှတ်သားရန်
Automation rule {0} not found,အလိုအလျောက်လုပ်ဆောင်မှုစည်းမျဉ်း {0} မတွေ့ပါ
Automation: {0},အလိုအလျောက်လုပ်ဆောင်မှု: {0}
Availability,ရရှိနိုင်မှု
Available,ရရှိနိုင်
Avatar updated successfully,ကိုယ်စားပြုပုံ အောင်မြင်စွာ အပ်ဒိတ်ပြီးပါပြီ
Avg Progress,ပျမ်းမျှ တိုးတက်မှု
Back,နောက်သို့
Back to Portal,ပေါ်တယ်သို့ ပြန်ရန်
Back to Projects,ပရောဂျက်များသို့ ပြန်ရန်
Beginner,အစပြုသူ
Best regards,လေးစားစွာဖြင့်
Billable,ငွေတောင်းခံနိုင်သော
Billable Amount,ငွေတောင်းခံနိုင်သော ပမာဏ
Billable Hours,ငွေတောင်းခံနိုင်သော နာရီများ
Billable Rate,ငွေတောင်းခံနိုင်သော နှုန်း
Billing Rate,ငွေတောင်းခံနှုန်း
Blocked,ပိတ်ဆို့ထားသော
Both dates are needed to display task as a bar in Gantt chart,Gantt ဇယားတွင် လုပ်ငန်းကို ဘားအဖြစ် ပြသရန် ရက်နှစ်ခုလုံး လိုအပ်ပါသည်
Both doctype and docname are required,DocType နှင့် docname နှစ်ခုလုံး လိုအပ်ပါသည်
Both proposed start and end times are required,အဆိုပြုထားသော စတင်ချိန်နှင့် ပြီးဆုံးချိန် နှစ်ခုလုံး လိုအပ်ပါသည်
Both task_name and depends_on are required,task_name နှင့် depends_on နှစ်ခုလုံး လိုအပ်ပါသည်
Breadcrumb,လမ်းကြောင်းပြ
Brief description of the defect or damage,ချို့ယွင်းမှု သို့မဟုတ် ပျက်စီးမှု၏ အကျဉ်းချုပ် ဖော်ပြချက်
Brief description of this template,ဤပုံစံခွက်၏ အကျဉ်းချုပ် ဖော်ပြချက်
Brief description of your request,သင့်တောင်းဆိုချက်၏ အကျဉ်းချုပ် ဖော်ပြချက်
Brief project description,ပရောဂျက် အကျဉ်းချုပ် ဖော်ပြချက်
Budget,ဘတ်ဂျက်
Budget at risk,အန္တရာယ်ရှိသော ဘတ်ဂျက်
Budget Burn Rate,ဘတ်ဂျက် သုံးစွဲနှုန်း
Budget Status,ဘတ်ဂျက် အခြေအနေ
Budget updated,ဘတ်ဂျက် အပ်ဒိတ်ပြီး
Budget:,ဘတ်ဂျက်:
Bug,ချို့ယွင်းချက်
Burn Rate,သုံးစွဲနှုန်း
Busy,အလုပ်များနေသော
By,ဖြင့်
By Assignee,တာဝန်ခံအလိုက်
By Group,အုပ်စုအလိုက်
By Milestone,မှတ်တိုင်အလိုက်
By Priority,ဦးစားပေးအလိုက်
By Status,အခြေအနေအလိုက်
Cancel,ပယ်ဖျက်ရန်
Cancelled,ပယ်ဖျက်ပြီး
cannot be undone,ပြန်လည်ပြုလုပ်၍မရပါ
Cannot delete client with {0} linked projects. Unlink projects first.,ချိတ်ဆက်ထားသော ပရောဂျက် {0} ခုရှိသော ဖောက်သည်ကို ဖျက်၍မရပါ။ ပရောဂျက်များကို အရင်ချိတ်ဆက်ဖြုတ်ပါ။
Cannot delete project with {0} linked tasks. Delete tasks first.,ချိတ်ဆက်ထားသော လုပ်ငန်း {0} ခုရှိသော ပရောဂျက်ကို ဖျက်၍မရပါ။ လုပ်ငန်းများကို အရင်ဖျက်ပါ။
Cannot delete resource with {0} active assignments. Complete or cancel them first.,တာဝန်ပေးအပ်မှု {0} ခုရှိသော အရင်းအမြစ်ကို ဖျက်၍မရပါ။ အရင် ပြီးဆုံးပါ သို့မဟုတ် ပယ်ဖျက်ပါ။
Cannot delete task with {0} subtasks. Delete subtasks first.,လုပ်ငန်းခွဲ {0} ခုရှိသော လုပ်ငန်းကို ဖျက်၍မရပါ။ လုပ်ငန်းခွဲများကို အရင်ဖျက်ပါ။
Capacity,စွမ်းရည်
capacity,စွမ်းရည်
Capacity & Rates,စွမ်းရည် နှင့် နှုန်းထားများ
Capture project structure for reuse,ပြန်လည်အသုံးပြုရန် ပရောဂျက်ဖွဲ့စည်းပုံကို သိမ်းဆည်းရန်
Cascade,ဆင့်ကဲပြောင်းလဲမှု
Cascade Preview,ဆင့်ကဲပြောင်းလဲမှု အကြိုကြည့်ရှုမှု
Category,အမျိုးအစား
Celebrate,ဂုဏ်ပြုရန်
Change,ပြောင်းလဲရန်
Change History,ပြောင်းလဲမှု မှတ်တမ်း
Change Priority,ဦးစားပေး ပြောင်းလဲရန်
Change Status,အခြေအနေ ပြောင်းလဲရန်
Changes,ပြောင်းလဲမှုများ
Changes appear when fields are modified.,အကွက်များ ပြင်ဆင်သည့်အခါ ပြောင်းလဲမှုများ ပေါ်လာပါမည်။
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,စစ်ဆေးရန်စာရင်း
Checklist item name is required,စစ်ဆေးရန်စာရင်း အကြောင်းအရာအမည် လိုအပ်ပါသည်
Checklist item not found,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ မတွေ့ပါ
Checklist item title is required,စစ်ဆေးရန်စာရင်း အကြောင်းအရာခေါင်းစဉ် လိုအပ်ပါသည်
Checklist item {0} not found,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ {0} မတွေ့ပါ
Checklist item {0} not found in task,လုပ်ငန်းတွင် စစ်ဆေးရန်စာရင်း အကြောင်းအရာ {0} မတွေ့ပါ
Child,ကလေး
Choose file to upload,တင်ပို့ရန် ဖိုင်ရွေးချယ်ပါ
Circular dependency detected: {0},ပတ်လည်မှီခိုမှု တွေ့ရှိသည်: {0}
Circular parent-child relationship detected,ပတ်လည် မိဘ-သားသမီး ဆက်ဆံရေး တွေ့ရှိသည်
Clear,ရှင်းလင်းရန်
Clear all read,ဖတ်ပြီးသားအားလုံး ရှင်းလင်းရန်
Clear date,ရက်စွဲ ရှင်းလင်းရန်
Click on an activity from the list to view and manage its details.,အသေးစိတ်ကို ကြည့်ရှုပြီး စီမံခန့်ခွဲရန် စာရင်းမှ လုပ်ဆောင်ချက်တစ်ခုကို နှိပ်ပါ။
Click the avatar to upload a new photo,ဓာတ်ပုံအသစ်တင်ရန် ကိုယ်စားပြုပုံကို နှိပ်ပါ
Click to add description...,ဖော်ပြချက်ထည့်ရန် နှိပ်ပါ...
Click to add notes...,မှတ်စုများထည့်ရန် နှိပ်ပါ...
Click to assign contact,ဆက်သွယ်ရန်သူ တာဝန်ပေးရန် နှိပ်ပါ
Click to change status,အခြေအနေပြောင်းရန် နှိပ်ပါ
Click to change type,အမျိုးအစားပြောင်းရန် နှိပ်ပါ
Click to edit,တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit budget,ဘတ်ဂျက်တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit description,ဖော်ပြချက်တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit end date,ပြီးဆုံးရက်တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit milestone name,မှတ်တိုင်အမည်တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit rate,နှုန်းတည်းဖြတ်ရန် နှိပ်ပါ
Click to edit start date,စတင်ရက်တည်းဖြတ်ရန် နှိပ်ပါ
Click to edit title,ခေါင်းစဉ်တည်းဖြတ်ရန် နှိပ်ပါ
Click to load,ဖွင့်ရန် နှိပ်ပါ
Click to set group dependency...,အုပ်စုမှီခိုမှု သတ်မှတ်ရန် နှိပ်ပါ...
Click to set group...,အုပ်စု သတ်မှတ်ရန် နှိပ်ပါ...
Click to view,ကြည့်ရှုရန် နှိပ်ပါ
Click to view at-risk projects,အန္တရာယ်ရှိသော ပရောဂျက်များ ကြည့်ရှုရန် နှိပ်ပါ
Click to view critical projects,အရေးကြီးသော ပရောဂျက်များ ကြည့်ရှုရန် နှိပ်ပါ
Click to view healthy projects,ကျန်းမာသော ပရောဂျက်များ ကြည့်ရှုရန် နှိပ်ပါ
Client,ဖောက်သည်
Client already has a portal user: {0},ဖောက်သည်တွင် ပေါ်တယ်အသုံးပြုသူ ရှိပြီးသားဖြစ်သည်: {0}
Client already has portal access,ဖောက်သည်တွင် ပေါ်တယ်ဝင်ရောက်ခွင့် ရှိပြီးသားဖြစ်သည်
Client has no portal user to revoke,ဖောက်သည်တွင် ရုပ်သိမ်းရမည့် ပေါ်တယ်အသုံးပြုသူ မရှိပါ
Client link removed from project {0},ပရောဂျက် {0} မှ ဖောက်သည်ချိတ်ဆက်မှု ဖယ်ရှားပြီး
Client Portal,ဖောက်သည် ပေါ်တယ်
Client {0} deleted successfully,ဖောက်သည် {0} အောင်မြင်စွာ ဖျက်ပြီးပါပြီ
Close,ပိတ်ရန်
Close (Esc),ပိတ်ရန် (Esc)
Comment,မှတ်ချက်
comment,မှတ်ချက်
Comment added,မှတ်ချက် ထည့်ပြီး
Comment content is required,မှတ်ချက်အကြောင်းအရာ လိုအပ်ပါသည်
Comment name is required,မှတ်ချက်အမည် လိုအပ်ပါသည်
Comment not found,မှတ်ချက် မတွေ့ပါ
Comment removed,မှတ်ချက် ဖယ်ရှားပြီး
Comment {0} not found in task,လုပ်ငန်းတွင် မှတ်ချက် {0} မတွေ့ပါ
Comments,မှတ်ချက်များ
comments,မှတ်ချက်များ
Community Edition,Community Edition
Company,ကုမ္ပဏီ
Company name...,ကုမ္ပဏီအမည်...
Complete,ပြီးဆုံးရန်
Completed,ပြီးဆုံးပြီး
completed,ပြီးဆုံးပြီး
Completed Tasks,ပြီးဆုံးပြီးသော လုပ်ငန်းများ
Compliance,လိုက်နာမှု
Configure default values for new projects and tasks,ပရောဂျက်အသစ်များနှင့် လုပ်ငန်းအသစ်များအတွက် မူရင်းတန်ဖိုးများ ပြင်ဆင်ရန်
Configure email notification settings,အီးမေးလ် အကြောင်းကြားချက် ဆက်တင်များ ပြင်ဆင်ရန်
Confirm,အတည်ပြုရန်
Contact deleted,ဆက်သွယ်ရန်သူ ဖျက်ပြီး
Contact Details,ဆက်သွယ်ရန် အသေးစိတ်
Contact Information,ဆက်သွယ်ရန် အချက်အလက်
Contact name is required,ဆက်သွယ်ရန်သူအမည် လိုအပ်ပါသည်
Contact Support,ပံ့ပိုးကူညီရေးကို ဆက်သွယ်ရန်
Contact your project manager for more information.,အချက်အလက်ပိုမိုရယူရန် သင့်ပရောဂျက်မန်နေဂျာကို ဆက်သွယ်ပါ။
Contact:,ဆက်သွယ်ရန်:
Contacts,ဆက်သွယ်ရန်သူများ
Context,အကြောင်းအရာ
Contractor,ကန်ထရိုက်တာ
Cost estimate cannot be negative,ကုန်ကျစရိတ်ခန့်မှန်းချက်သည် အနှုတ်ကိန်းမဖြစ်ရပါ
Cost Impact,ကုန်ကျစရိတ် သက်ရောက်မှု
Cost Summary,ကုန်ကျစရိတ် အကျဉ်းချုပ်
Could not apply the template. Please try again.,ပုံစံခွက် အသုံးပြု၍မရပါ။ ထပ်မံကြိုးစားပါ။
Could not attach file to project,ပရောဂျက်သို့ ဖိုင်ပူးတွဲ၍မရပါ
Could not change task priority,လုပ်ငန်း ဦးစားပေး ပြောင်းလဲ၍မရပါ
Could not change task status,လုပ်ငန်း အခြေအနေ ပြောင်းလဲ၍မရပါ
Could not delete the project. Please try again.,ပရောဂျက် ဖျက်၍မရပါ။ ထပ်မံကြိုးစားပါ။
Could not delete the task. Please try again.,လုပ်ငန်း ဖျက်၍မရပါ။ ထပ်မံကြိုးစားပါ။
Could not delete the template.,ပုံစံခွက် ဖျက်၍မရပါ။
Could not duplicate the task. Please try again.,လုပ်ငန်း ပွားယူ၍မရပါ။ ထပ်မံကြိုးစားပါ။
Could not export the template.,ပုံစံခွက် တင်ပို့၍မရပါ။
Could not import the template. Please check the file format.,ပုံစံခွက် တင်သွင်း၍မရပါ။ ဖိုင်ပုံစံကို စစ်ဆေးပါ။
Could not link task to milestone,လုပ်ငန်းကို မှတ်တိုင်နှင့် ချိတ်ဆက်၍မရပါ
Could not load document details.,စာရွက်စာတမ်း အသေးစိတ် ဖွင့်၍မရပါ။
Could not load task details,လုပ်ငန်း အသေးစိတ် ဖွင့်၍မရပါ
Could not promote checklist item to task.,စစ်ဆေးရန်စာရင်း အကြောင်းအရာကို လုပ်ငန်းအဖြစ် တိုးမြှင့်၍မရပါ။
Could not remove task from milestone,မှတ်တိုင်မှ လုပ်ငန်း ဖယ်ရှား၍မရပါ
Could not save budget.,ဘတ်ဂျက် သိမ်းဆည်း၍မရပါ။
Could not save changes to the milestone,မှတ်တိုင်သို့ ပြောင်းလဲမှုများ သိမ်းဆည်း၍မရပါ
Could not save changes to the task,လုပ်ငန်းသို့ ပြောင်းလဲမှုများ သိမ်းဆည်း၍မရပါ
Could not save description.,ဖော်ပြချက် သိမ်းဆည်း၍မရပါ။
Could not save end date.,ပြီးဆုံးရက် သိမ်းဆည်း၍မရပါ။
Could not save milestone name.,မှတ်တိုင်အမည် သိမ်းဆည်း၍မရပါ။
Could not save start date.,စတင်ရက် သိမ်းဆည်း၍မရပါ။
Could not save the template. Please try again.,ပုံစံခွက် သိမ်းဆည်း၍မရပါ။ ထပ်မံကြိုးစားပါ။
Could not save title.,ခေါင်းစဉ် သိမ်းဆည်း၍မရပါ။
Could not update dependency mode.,မှီခိုမှုမုဒ် အပ်ဒိတ်လုပ်၍မရပါ။
Could not update milestone date,မှတ်တိုင်ရက် အပ်ဒိတ်လုပ်၍မရပါ
Could not update project status.,ပရောဂျက် အခြေအနေ အပ်ဒိတ်လုပ်၍မရပါ။
Could not update project type.,ပရောဂျက် အမျိုးအစား အပ်ဒိတ်လုပ်၍မရပါ။
Could not update setting.,ဆက်တင် အပ်ဒိတ်လုပ်၍မရပါ။
Could not update task dates,လုပ်ငန်းရက်များ အပ်ဒိတ်လုပ်၍မရပါ
Could not update task status,လုပ်ငန်း အခြေအနေ အပ်ဒိတ်လုပ်၍မရပါ
Could not update the template.,ပုံစံခွက် အပ်ဒိတ်လုပ်၍မရပါ။
Create a copy of this task,ဤလုပ်ငန်း၏ မိတ္တူတစ်ခု ဖန်တီးရန်
Create Contact,ဆက်သွယ်ရန်သူ ဖန်တီးရန်
Create Event,ပွဲ ဖန်တီးရန်
Create Milestone,မှတ်တိုင် ဖန်တီးရန်
Create New Milestone,မှတ်တိုင်အသစ် ဖန်တီးရန်
Create New Task,လုပ်ငန်းအသစ် ဖန်တီးရန်
Create Project,ပရောဂျက် ဖန်တီးရန်
Create Task,လုပ်ငန်း ဖန်တီးရန်
Create tasks and milestones from a template,ပုံစံခွက်မှ လုပ်ငန်းများနှင့် မှတ်တိုင်များ ဖန်တီးရန်
Create your first project to get started.,စတင်ရန် သင့်ပထမဆုံးပရောဂျက်ကို ဖန်တီးပါ။
Create your first task to start tracking work on this project.,ဤပရောဂျက်တွင် အလုပ်ခြေရာခံစတင်ရန် သင့်ပထမဆုံးလုပ်ငန်းကို ဖန်တီးပါ။
Created,ဖန်တီးပြီး
Creating...,ဖန်တီးနေသည်...
Critical,အရေးကြီးသော
Critical Path,အရေးပါလမ်းကြောင်း
"Currency used for budgets, costs, and billing rates",ဘတ်ဂျက်များ၊ ကုန်ကျစရိတ်များနှင့် ငွေတောင်းခံနှုန်းများအတွက် သုံးသော ငွေကြေးအမျိုးအစား
Current,လက်ရှိ
Current Assignments,လက်ရှိ တာဝန်ပေးအပ်မှုများ
Current scheduled time:,လက်ရှိ အချိန်ဇယား:
Currently running version,Currently running version
d lag,ရက် နှောင့်နှေးမှု
Daily Availability,နေ့စဉ် ရရှိနိုင်မှု
Daily Hours,နေ့စဉ် နာရီများ
Danger Zone,အန္တရာယ်ဇုန်
Dark,အမှောင်
Dashboard,ဒက်ရှ်ဘုတ်
Date,ရက်စွဲ
Date changes on this task will show cascade impact here,ဤလုပ်ငန်းပေါ်ရှိ ရက်ပြောင်းလဲမှုများသည် ဆင့်ကဲသက်ရောက်မှုကို ဤနေရာတွင် ပြသပါမည်
Date cleared,ရက်စွဲ ရှင်းလင်းပြီး
Date of Joining,ဝင်ရောက်သည့်ရက်
Date updated,ရက်စွဲ အပ်ဒိတ်ပြီး
Dates,ရက်စွဲများ
Dates cascaded,ရက်စွဲများ ဆင့်ကဲပြောင်းလဲပြီး
Dates will be relative to the project's start date.,ရက်စွဲများသည် ပရောဂျက်၏ စတင်ရက်နှင့် ဆက်စပ်ပါမည်။
Day,နေ့
day,ရက်
days,ရက်
Days before due date to send reminder,သတိပေးချက်ပို့ရန် သတ်မှတ်ရက်မတိုင်မီ ရက်အရေအတွက်
