+ Add Milestone,+ Додај прекретницу
anytime to show this help,у било ком тренутку за приказ ове помоћи
App Updates,App Updates
Appearance,Изглед
Apply,Примени
Apply cascade?,Применити каскад?
Apply Changes,Примени измене
Apply failed,Примена није успела
Apply Template,Примени шаблон
Applying...,Примена...
Appointment,Састанак
Appointment and resource are required,Састанак и ресурс су обавезни
Appointment name is required,Назив састанка је обавезан
Appointment not found,Састанак није пронађен
Appointment {0} not found,Састанак {0} није пронађен
Apps,Апликације
Archive,Архивирај
Archive Activity,Архивирај активност
Archived,Архивирано
Are you sure you want to delete this activity data? This cannot be undone.,Да ли сте сигурни да желите да обришете ове податке о активности? Ова радња се не може поништити.
Are you sure you want to delete this comment?,Да ли сте сигурни да желите да обришете овај коментар?
Are you sure you want to delete this project?,Да ли сте сигурни да желите да обришете овај пројекат?
Are you sure?,Да ли сте сигурни?
Ascending -- click to reverse,Растући — кликните за обрнути редослед
Assign To,Задужи
Assign to Me,Задужи мени
Assigned Contact,Задужени контакт
Assigned To,Задужено
Assigned to,Задужено
Assigned to Me,Задужено мени
Assignee,Задужена особа
Assignment,Задужење
Assignment History,Историја задужења
Assignment name is required,Назив задужења је обавезан
Assignment {0} not found,Задужење {0} није пронађено
Assignments,Задужења
At least one action is required,Потребна је најмање једна радња
At least one event is required,Потребан је најмање један догађај
At least one event must be selected,Потребно је изабрати најмање један догађај
Attachment,Прилог
Attachments,Прилози
Attendees,Учесници
"Audit trail, assignments, version history","Записник промена, задужења, историја верзија"
Auto,Аутоматски
Auto Calculate Progress,Аутоматски рачунај напредак
Auto Set Missed Milestones,Аутоматски означи пропуштене прекретнице
Auto-shift dependents when dates change,Аутоматски помери зависне ставке при промени датума
Auto-Trail Start,Аутоматско клизање
Auto-Trail updated,Аутоматско клизање ажурирано
Automatically calculate project progress from task completion,Аутоматски рачунај напредак пројекта према завршености задатака
Automatically mark milestones as missed when overdue,Аутоматски означи прекретнице као пропуштене при кашњењу
Automation rule {0} not found,Правило аутоматизације {0} није пронађено
Automation: {0},Аутоматизација: {0}
Availability,Доступност
Available,Доступан
Avatar updated successfully,Аватар је успешно ажуриран
Avg Progress,Просечан напредак
Back,Назад
Back to Portal,Назад на портал
Back to Projects,Назад на пројекте
Beginner,Почетник
Best regards,Срдачан поздрав
Billable,Наплативо
Billable Amount,Наплатив износ
Billable Hours,Наплативи сати
Billable Rate,Наплатива стопа
Billing Rate,Стопа наплате
Blocked,Блокирано
Both dates are needed to display task as a bar in Gantt chart,Оба датума су потребна за приказ задатка као траке на Gantt дијаграму
Both doctype and docname are required,Потребни су и тип документа и назив документа
Both proposed start and end times are required,Потребни су и предложено време почетка и завршетка
Both task_name and depends_on are required,Потребни су и task_name и depends_on
Breadcrumb,Навигациони ланац
Brief description of the defect or damage,Кратак опис дефекта или оштећења
Brief description of this template,Кратак опис овог шаблона
Brief description of your request,Кратак опис вашег захтева
Brief project description,Кратак опис пројекта
Budget,Буџет
Budget at risk,Буџет у опасности
Budget Burn Rate,Брзина трошења буџета
Budget Status,Стање буџета
Budget updated,Буџет ажуриран
Budget:,Буџет:
Bug,Грешка
Burn Rate,Брзина трошења
Busy,Заузет
By,По
By Assignee,По задуженој особи
By Group,По групи
By Milestone,По прекретници
By Priority,По приоритету
By Status,По статусу
Cancel,Откажи
Cancelled,Отказано
cannot be undone,не може се поништити
Cannot delete client with {0} linked projects. Unlink projects first.,Не може се обрисати клијент са {0} повезаних пројеката. Прво одвежите пројекте.
Cannot delete project with {0} linked tasks. Delete tasks first.,Не може се обрисати пројекат са {0} повезаних задатака. Прво обришите задатке.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Не може се обрисати ресурс са {0} активних задужења. Прво их завршите или откажите.
Cannot delete task with {0} subtasks. Delete subtasks first.,Не може се обрисати задатак са {0} подзадатака. Прво обришите подзадатке.
Capacity,Капацитет
capacity,капацитет
Capacity & Rates,Капацитет и стопе
Capture project structure for reuse,Сачувај структуру пројекта за поновну употребу
Cascade,Каскад
Cascade Preview,Преглед каскада
Category,Категорија
Celebrate,Прослави
Change,Промени
Change History,Историја промена
Change Priority,Промени приоритет
Change Status,Промени статус
Changes,Измене
Changes appear when fields are modified.,Измене се приказују при уређивању поља.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Листа
Checklist item name is required,Назив ставке листе је обавезан
Checklist item not found,Ставка листе није пронађена
Checklist item title is required,Наслов ставке листе је обавезан
Checklist item {0} not found,Ставка листе {0} није пронађена
Checklist item {0} not found in task,Ставка листе {0} није пронађена у задатку
Child,Подређени
Choose file to upload,Изаберите фајл за отпремање
Circular dependency detected: {0},Откривена кружна зависност: {0}
Circular parent-child relationship detected,Откривена кружна веза «родитељ-потомак»
Clear,Обриши
Clear all read,Обриши све прочитане
Clear date,Обриши датум
Click on an activity from the list to view and manage its details.,Кликните на активност са листе за преглед и управљање њеним детаљима.
Click the avatar to upload a new photo,Кликните на аватар за отпремање нове фотографије
Click to add description...,Кликните за додавање описа...
Click to add notes...,Кликните за додавање белешки...
Click to assign contact,Кликните за задужење контакта
Click to change status,Кликните за промену статуса
Click to change type,Кликните за промену типа
Click to edit,Кликните за уређивање
Click to edit budget,Кликните за уређивање буџета
Click to edit description,Кликните за уређивање описа
Click to edit end date,Кликните за уређивање датума завршетка
Click to edit milestone name,Кликните за уређивање назива прекретнице
Click to edit rate,Кликните за уређивање стопе
Click to edit start date,Кликните за уређивање датума почетка
Click to edit title,Кликните за уређивање наслова
Click to load,Кликните за учитавање
Click to set group dependency...,Кликните за постављање групне зависности...
Click to set group...,Кликните за постављање групе...
Click to view,Кликните за преглед
Click to view at-risk projects,Кликните за преглед угрожених пројеката
Click to view critical projects,Кликните за преглед критичних пројеката
Click to view healthy projects,Кликните за преглед пројеката у реду
Client,Клијент
Client already has a portal user: {0},Клијент већ има корисника портала: {0}
Client already has portal access,Клијент већ има приступ порталу
Client has no portal user to revoke,Клијент нема корисника портала за опозив
Client link removed from project {0},Веза са клијентом уклоњена из пројекта {0}
Client Portal,Клијентски портал
Client {0} deleted successfully,Клијент {0} успешно обрисан
Close,Затвори
Close (Esc),Затвори (Esc)
Comment,Коментар
comment,коментар
Comment added,Коментар додат
Comment content is required,Садржај коментара је обавезан
Comment name is required,Назив коментара је обавезан
Comment not found,Коментар није пронађен
Comment removed,Коментар уклоњен
Comment {0} not found in task,Коментар {0} није пронађен у задатку
Comments,Коментари
comments,коментари
Community Edition,Community Edition
Company,Компанија
Company name...,Назив компаније...
Complete,Заврши
Completed,Завршено
completed,завршено
Completed Tasks,Завршени задаци
Compliance,Усклађеност
Configure default values for new projects and tasks,Подеси подразумеване вредности за нове пројекте и задатке
Configure email notification settings,Подеси подешавања обавештења е-поштом
Confirm,Потврди
Contact deleted,Контакт обрисан
Contact Details,Подаци о контакту
Contact Information,Контакт информације
Contact name is required,Име контакта је обавезно
Contact Support,Обратите се подршци
Contact your project manager for more information.,Обратите се вашем руководиоцу пројекта за додатне информације.
Contact:,Контакт:
Contacts,Контакти
Context,Контекст
Contractor,Извођач
Cost estimate cannot be negative,Процена цене не може бити негативна
Cost Impact,Утицај на цену
Cost Summary,Преглед трошкова
Could not apply the template. Please try again.,Није могуће применити шаблон. Молимо покушајте поново.
Could not attach file to project,Није могуће приложити фајл пројекту
Could not change task priority,Није могуће променити приоритет задатка
Could not change task status,Није могуће променити статус задатка
Could not delete the project. Please try again.,Није могуће обрисати пројекат. Молимо покушајте поново.
Could not delete the task. Please try again.,Није могуће обрисати задатак. Молимо покушајте поново.
Could not delete the template.,Није могуће обрисати шаблон.
Could not duplicate the task. Please try again.,Није могуће дуплирати задатак. Молимо покушајте поново.
Could not export the template.,Није могуће извести шаблон.
Could not import the template. Please check the file format.,Није могуће увести шаблон. Проверите формат фајла.
Could not link task to milestone,Није могуће повезати задатак са прекретницом
Could not load document details.,Није могуће учитати детаље документа.
Could not load task details,Није могуће учитати детаље задатка
Could not promote checklist item to task.,Није могуће претворити ставку листе у задатак.
Could not remove task from milestone,Није могуће одвезати задатак од прекретнице
Could not save budget.,Није могуће сачувати буџет.
Could not save changes to the milestone,Није могуће сачувати измене прекретнице
Could not save changes to the task,Није могуће сачувати измене задатка
Could not save description.,Није могуће сачувати опис.
Could not save end date.,Није могуће сачувати датум завршетка.
Could not save milestone name.,Није могуће сачувати назив прекретнице.
Could not save start date.,Није могуће сачувати датум почетка.
Could not save the template. Please try again.,Није могуће сачувати шаблон. Молимо покушајте поново.
Could not save title.,Није могуће сачувати наслов.
Could not update dependency mode.,Није могуће ажурирати режим зависности.
Could not update milestone date,Није могуће ажурирати датум прекретнице
Could not update project status.,Није могуће ажурирати статус пројекта.
Could not update project type.,Није могуће ажурирати тип пројекта.
Could not update setting.,Није могуће ажурирати подешавање.
Could not update task dates,Није могуће ажурирати датуме задатка
Could not update task status,Није могуће ажурирати статус задатка
Could not update the template.,Није могуће ажурирати шаблон.
Create a copy of this task,Направи копију овог задатка
Create Contact,Направи контакт
Create Event,Направи догађај
Create Milestone,Направи прекретницу
Create New Milestone,Направи нову прекретницу
Create New Task,Направи нови задатак
Create Project,Направи пројекат
Create Task,Направи задатак
Create tasks and milestones from a template,Направи задатке и прекретнице из шаблона
Create your first project to get started.,Направите ваш први пројекат за почетак рада.
Create your first task to start tracking work on this project.,Направите први задатак за почетак праћења рада на овом пројекту.
Created,Направљено
Creating...,Прављење...
Critical,Критичан
Critical Path,Критичан пут
"Currency used for budgets, costs, and billing rates","Валута за буџете, трошкове и стопе наплате"
Current,Тренутни
Current Assignments,Тренутна задужења
Current scheduled time:,Тренутно заказано време:
Currently running version,Currently running version
d lag,д кашњења
Daily Availability,Дневна доступност
Daily Hours,Сати дневно
Danger Zone,Опасна зона
Dark,Тамна
Dashboard,Контролна табла
Date,Датум
Date changes on this task will show cascade impact here,Промене датума овог задатка ће приказати каскадни утицај овде
Date cleared,Датум обрисан
Date of Joining,Датум придруживања
Date updated,Датум ажуриран
Dates,Датуми
Dates cascaded,Датуми каскадирани
Dates will be relative to the project's start date.,Датуми ће бити релативни у односу на датум почетка пројекта.
Day,Дан
day,дан
days,дана
Days before due date to send reminder,Дана пре рока за слање подсетника
Days Overdue,Дана кашњења
Days Remaining,Дана преостало
Deadline,Крајњи рок
Deadlines,Рокови
Decision,Одлука
Decline,Одбиј
Declined,Одбијено
Default Currency,Подразумевана валута
Default hours per week for contact capacity planning,Подразумевани сати недељно за планирање оптерећења контаката
Default Priority,Подразумевани приоритет
Default Project Status,Подразумевани статус пројекта
Default Task Status,Подразумевани статус задатка
Default task view,Подразумевани приказ задатака
Default Values,Подразумеване вредности
Default Weekly Capacity,Подразумевано недељно оптерећење
Defaults,Подразумеване вредности
Defect Cost Impact,Финансијске последице дефекта
Defect name is required,Назив дефекта је обавезан
Defect Type,Тип дефекта
Defect {0} not found,Дефект {0} није пронађен
Defects,Дефекти
Defects & Issues,Дефекти и проблеми
Defects Resolved,Дефекти отклоњени
Delayed,Са закашњењем
Delete,Обриши
Delete Activity Data,Обриши податке активности
Delete all read notifications?,Обрисати сва прочитана обавештења?
Delete comment,Обриши коментар
Delete Contact,Обриши контакт
Delete Event,Обриши догађај
Delete Event?,Обрисати догађај?
Delete failed,Брисање није успело
Delete file,Обриши фајл
Delete item,Обриши ставку
Delete note,Обриши белешку
Delete Project,Обриши пројекат
Delete Task,Обриши задатак
Delete this project,Обриши овај пројекат
Deleted,Обрисано
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Пројекат ""{0}"" обрисан ({1} задатака, {2} прекретница)"
Deletes notes and preferences. Source document is not affected.,Брише белешке и подешавања. Изворни документ није угрожен.
Deleting...,Брисање...
Department,Одељење
Dependencies,Зависности
dependencies,зависности
Dependencies are informational only,Зависности су само информативне
dependency,зависност
Dependency already exists,Зависност већ постоји
Dependency Chain,Ланац зависности
Dependency created,Зависност направљена
Dependency mode updated,Режим зависности ажуриран
Dependency name is required,Назив зависности је обавезан
Dependency task {0} not found,Зависни задатак {0} није пронађен
Dependency {0} not found,Зависност {0} није пронађена
depends,зависи
Depends on Group,Зависи од групе
Depends on task is required,Зависни задатак је обавезан
depends on...,зависи од...
Descending -- click to reverse,Опадајући — кликните за обрнути редослед
Describe the defect in detail...,Детаљно опишите дефект...
Description,Опис
Description updated,Опис ажуриран
Designation,Звање
"Detailed description of the defect, location, and impact","Детаљан опис дефекта, локације и последица"
Details,Детаљи
Discard timer,Одбаци тајмер
Discussion,Дискусија
Dismiss,Dismiss
Display,Приказ
Document,Документ
Document attached to project,Документ приложен пројекту
Document final decision and rationale,Забележи коначну одлуку и образложење
Documentation Review,Преглед документације
Documents,Документи
Done,Готово
Download,Преузми
Drag to create dependency,Превуците за прављење зависности
Dry Run,Пробно покретање
Dry Run Complete,Пробно покретање завршено
Due Date,Рок извршења
Due date,Рок извршења
Due Date (Earliest),Рок извршења (најранији)
Due date cannot be before start date,Рок извршења не може бити пре датума почетка
Due date is in the past,Рок извршења је у прошлости
Due Date Reminders,Подсетници за рокове
Due Diligence,Провера
Due Diligence Checklist,Листа за проверу
Due This Week,Рок ове недеље
Due:,Рок:
Duplicate events are not allowed,Дуплирање догађаја није дозвољено
Duplicate failed,Дуплирање није успело
Duplicate Task,Дуплирај задатак
Duration,Трајање
Duration Summary,Преглед трајања
Duration:,Трајање:
e.g. Cracked wall finish in bathroom...,нпр. Пукотина у зидној облози у купатилу...
"e.g. Electrical, Plumbing...","нпр. Електрика, Водовод..."
Edit,Уреди
Edit (E),Уреди (E)
Edit dependency,Уреди зависност
Edit Event,Уреди догађај
Efficiency,Ефикасност
Either dependency_name or depends_on is required,Потребно је dependency_name или depends_on
Email,Е-пошта
Email invitations to all attendees,Пошаљи позиве е-поштом свим учесницима
Email is required to create portal user,За прављење корисника портала потребна је е-пошта
Email notifications,Обавештења е-поштом
Employee,Запослени
Employee DocType not available,DocType «Запослени» није доступан
Employee not found,Запослени није пронађен
Enable or disable optional features,Укључи или искључи необавезне функције
Enable Time Tracking,Укључи праћење времена
End,Крај
End Date,Датум завршетка
End date,Датум завршетка
End Date cannot be before Start Date,Датум завршетка не може бити пре датума почетка
End date cannot be before start date,Датум завршетка не може бити пре датума почетка
End date updated,Датум завршетка ажуриран
End time was before start time. Adjusted to 1 hour after start.,Време завршетка било је пре времена почетка. Прилагођено на 1 сат после почетка.
End:,Крај:
Enter milestone name...,Унесите назив прекретнице...
Enter project name,Унесите назив пројекта
Enter task title...,Унесите наслов задатка...
Enter template name,Унесите назив шаблона
Enter your note... Use @name to mention someone,Унесите белешку... Користите @име за помињање
Error,Грешка
Error loading activity,Грешка при учитавању активности
Error loading contacts,Грешка при учитавању контаката
Error loading dashboard,Грешка при учитавању контролне табле
Error loading project,Грешка при учитавању пројекта
Error loading projects,Грешка при учитавању пројеката
Error loading settings,Грешка при учитавању подешавања
Error loading tasks,Грешка при учитавању задатака
Error loading templates,Грешка при учитавању шаблона
Est. Hours,Процењ. сати
Estimated,Процењено
Estimated Cost,Процењена цена
Estimated Cost (€),Процењена цена (€)
Estimated Hours,Процењени сати
Estimated:,Процењено:
Evaluate potential risks and concerns,Процени могуће ризике и проблеме
Event,Догађај
Event is required for event context,Догађај је обавезан за контекст догађаја
Event is required when tracking context is 'event',Догађај је обавезан када је контекст праћења «догађај»
Event Type,Тип догађаја
Events,Догађаји
Events not available. Please run: bench --site orga.localhost migrate,Догађаји нису доступни. Покрените: bench --site orga.localhost migrate
Events:,Догађаји:
Expert,Стручњак
Explain why you are proposing a different time...,Објасните зашто предлажете друго време...
Export,Извоз
Export failed,Извоз није успео
Export JSON,Извоз JSON
Exported,Извезено
Exported to timesheet {0},Извезено у табелу {0}
External,Спољни
Failed to add item,Додавање ставке није успело
Failed to add note,Додавање белешке није успело
Failed to add skill,Додавање вештине није успело
Failed to apply cascade changes: {0},Примена каскадних измена није успела: {0}
Failed to create defect,Прављење дефекта није успело
Failed to create dependency,Прављење зависности није успело
Failed to create event,Прављење догађаја није успело
Failed to create milestone,Прављење прекретнице није успело
Failed to create project,Прављење пројекта није успело
Failed to create task,Прављење задатка није успело
Failed to create time log,Прављење записа времена није успело
Failed to delete,Брисање није успело
Failed to delete comment,Брисање коментара није успело
Failed to delete contact,Брисање контакта није успело
Failed to load,Учитавање није успело
Failed to load activity,Учитавање активности није успело
Failed to load assignments,Учитавање задужења није успело
Failed to load contact,Учитавање контакта није успело
Failed to load dashboard data,Учитавање података контролне табле није успело
Failed to load defects,Учитавање дефеката није успело
Failed to load events,Учитавање догађаја није успело
Failed to load project,Учитавање пројекта није успело
Failed to load projects,Учитавање пројеката није успело
Failed to load report data,Учитавање података извештаја није успело
Failed to load settings,Учитавање подешавања није успело
Failed to load tasks,Учитавање задатака није успело
Failed to move task,Премештање задатка није успело
Failed to post comment,Објављивање коментара није успело
Failed to propose new time,Предлагање новог времена није успело
Failed to remove item,Уклањање ставке није успело
Failed to remove skill,Уклањање вештине није успело
Failed to reorder milestones: {0},Преуређивање прекретница није успело: {0}
Failed to reorder tasks: {0},Преуређивање задатака није успело: {0}
Failed to reschedule dependent tasks: {0},Препланирање зависних задатака није успело: {0}
Failed to save,Чување није успело
Failed to save preferences,Чување подешавања није успело
Failed to save settings,Чување подешавања није успело
Failed to submit request. Please try again.,Слање захтева није успело. Молимо покушајте поново.
Failed to update item,Ажурирање ставке није успело
Failed to update priority,Ажурирање приоритета није успело
Failed to update task,Ажурирање задатка није успело
Failed to update tasks: {0},Ажурирање задатака није успело: {0}
Failed to upload avatar,Отпремање аватара није успело
Feature,Функција
Features,Функције
FF (Finish-Finish),FF (Крај-Крај)
FF - Finish-to-Finish,FF — Крај-Крај
Field has been updated,Поље је ажурирано
Field name is required for 'Set Field Value' action,Назив поља је обавезан за радњу «Постави вредност поља»
Field {0} is not a Link field,Поље {0} није поље-веза
Field {0} not found in {1},Поље {0} није пронађено у {1}
File,Фајл
file,фајл
File does not belong to this task,Фајл не припада овом задатку
File name is required,Назив фајла је обавезан
File uploaded,Фајл отпремљен
File {0} not found,Фајл {0} није пронађен
Files,Фајлови
files,фајлови
Filter,Филтер
Final Decision,Коначна одлука
Finance,Финансије
Financial,Финансијски
Finish-to-Finish,Крај-Крај
Finish-to-Start,Крај-Почетак
Flag,Означи
Flag for attention,Означи за пажњу
Flagged,Означено
Focus Panel,Панел фокуса
Follows your system preference. Currently:,Прати подешавање вашег система. Тренутно:
Frappe Project {0} not found,Frappe пројекат {0} није пронађен
Frappe Projects Migration,Пренос Frappe Projects
Frappe Projects module not available,Модул Frappe Projects није доступан
Frappe Projects module not installed,Модул Frappe Projects није инсталиран
Frappe Projects sync is not enabled,Синхронизација са Frappe Projects није укључена
Frappe Task DocType not found,DocType задатка Frappe није пронађен
Frappe Task has no project,Frappe задатак није повезан са пројектом
Frappe Task {0} not found,Frappe задатак {0} није пронађен
Fri,Пет
From,Од
From Template,Из шаблона
FS (Finish-Start),FS (Крај-Почетак)
FS - Finish-to-Start (default),FS — Крај-Почетак (подразумевано)
Full form view with audit trail,Комплетан приказ обрасца са записником промена
Full name,Пуно име
Gantt,Gantt
Gantt Chart,Gantt дијаграм
Gantt View,Gantt приказ
General Note,Општа белешка
Get started,Почните
Go back,Врати се
Go Back,Go Back
Group by,Групиши по
Group dependency removed,Групна зависност уклоњена
Group dependency set,Групна зависност постављена
Group removed,Група уклоњена
Group updated,Група ажурирана
Hammock task dates are auto-calculated and cannot be changed manually,Датуми задатака-хамака се аутоматски рачунају и не могу се мењати ручно
Have a question or need assistance? Fill out the form below and our team will get back to you.,Имате питање или вам треба помоћ? Попуните образац испод и наш тим ће вам се јавити.
Health,Стање
Healthy,У реду
Hello {0},Здраво {0}
Here's what's happening with your projects today.,Ево шта се данас дешава са вашим пројектима.
Hide,Сакриј
High,Висок
History,Историја
Home,Почетна
Hourly Cost,Цена по сату
Hours,Сати
hours,сати
Hours Logged,Забележено сати
ID,ID
Image must be smaller than 5 MB,Слика мора бити мања од 5 МБ
Import,Увоз
Import existing projects and tasks from Frappe Projects module,Увезите постојеће пројекте и задатке из модула Frappe Projects
Import failed,Увоз није успео
Import Template,Увези шаблон
Imported,Увезено
in,у
In Progress,У току
In Review,На прегледу
In-app notifications,Обавештења у апликацији
Inactive,Неактиван
Initial Review,Почетни преглед
Installed Version,Installed Version
Insufficient permissions to view all tasks,Недовољна овлашћења за преглед свих задатака
Intermediate,Средњи ниво
Internal,Интерни
Invalid DocType,Неважећи DocType
Invalid DocType for import,Неважећи DocType за увоз
Invalid item type: {0},Неважећи тип ставке: {0}
Invalid JSON data,Неважећи JSON подаци
Invalid note type. Must be one of: {0},Неважећи тип белешке. Мора бити један од: {0}
Invalid project reference,Неважећа референца пројекта
Invalid reaction type. Must be one of: {0},Неважећи тип реакције. Мора бити један од: {0}
Invalid RSVP status,Неважећи RSVP статус
Invalid status. Must be one of: {0},Неважећи статус. Мора бити један од: {0}
Invalid status: {0},Неважећи статус: {0}
Invalid status: {0}. Must be one of: {1},Неважећи статус: {0}. Мора бити један од: {1}
Invalid tracking context: {0},Неважећи контекст праћења: {0}
Invalid visibility. Must be one of: {0},Неважећа видљивост. Мора бити једна од: {0}
Invitation: {0} - {1} at {2},Позив: {0} — {1} у {2}
Invite People,Позови људе
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Ставка додата
Item ID is required,Идентификатор ставке је обавезан
Item removed,Ставка уклоњена
Item type is required,Тип ставке је обавезан
Item {0} not found,Ставка {0} није пронађена
Job title or role,Назив позиције или улога
Join Meeting,Придружи се састанку
Just now,Управо сада
just now,управо сада
Kanban,Kanban
Kanban Board,Kanban табла
Kanban View,Kanban приказ
Keyboard Shortcuts,Пречице на тастатури
Keyboard shortcuts (?),Пречице на тастатури (?)
Last checked: {0},Last checked: {0}
Last Updated,Последње ажурирање
Last updated:,Последње ажурирање:
Last Week,Прошла недеља
Latest Version,Latest Version
Light,Светла
Link failed,Повезивање није успело
Link Task,Повежи задатак
Linked,Повезано
Linked employee not found,Повезани запослени није пронађен
Linked Tasks,Повезани задаци
List,Листа
List View,Приказ листе
Load failed,Учитавање није успело
Load More,Учитај још
Load more comments,Учитај још коментара
Loading activity...,Учитавање активности...
Loading changes...,Учитавање измена...
Loading checklist...,Учитавање листе...
Loading comments...,Учитавање коментара...
Loading contact...,Учитавање контакта...
Loading contacts...,Учитавање контаката...
Loading dependencies...,Учитавање зависности...
Loading details...,Учитавање детаља...
Loading discussion...,Учитавање дискусије...
Loading events...,Учитавање догађаја...
Loading files...,Учитавање фајлова...
Loading notes...,Учитавање белешки...
Loading preferences...,Учитавање подешавања...
Loading project...,Учитавање пројекта...
Loading projects...,Учитавање пројеката...
Loading replies...,Учитавање одговора...
Loading report data...,Учитавање података извештаја...
Loading settings...,Учитавање подешавања...
Loading task...,Учитавање задатка...
Loading templates...,Учитавање шаблона...
Loading time logs...,Учитавање записа времена...
Loading your portal...,Учитавање вашег портала...
Loading...,Учитавање...
Location,Локација
Log Time,Забележи време
Logout,Одјава
Low,Низак
Make Offer,Дај понуду
Manager,Руководилац
Manual Entry,Ручни унос
Margin,Маржа
Mark all as read,Означи све као прочитано
Mark all read,Означи све као прочитано
Mark as read,Означи као прочитано
Mark as unread,Означи као непрочитано
Mark read,Означи као прочитано
Marking...,Означавање...
Material,Материјал
Maybe,Можда
Medium,Средње
Meeting,Састанак
Meeting Link,Линк за састанак
Meeting title,Назив састанка
Meeting URL,Линк за састанак
Meetings,Састанци
Mention,Помињање
Message,Порука
Message is required,Порука је обавезна
Message is required for '{0}' action,Порука је обавезна за радњу «{0}»
Migrate,Пренеси
Migration Complete,Пренос завршен
Migration ID:,ID преноса:
Migration log not found: {0},Записник преноса није пронађен: {0}
Milestone,Прекретница
milestone,прекретница
Milestone created,Прекретница направљена
Milestone description has been saved.,Опис прекретнице сачуван.
