+ Add Milestone,+ మైలురాయి జోడించు
All,అన్నీ
All Active,అన్ని సక్రియం
All Assignees,అందరు కేటాయింపుదారులు
All Categories,అన్ని వర్గాలు
All caught up!,అంతా తాజాగా ఉంది!
All Contexts,అన్ని సందర్భాలు
All day,రోజంతా
All day event,రోజంతా ఈవెంట్
All fields,అన్ని ఫీల్డ్‌లు
All Priorities,అన్ని ప్రాధాన్యతలు
All Projects,అన్ని ప్రాజెక్టులు
All Status,అన్ని స్థితులు
All Statuses,అన్ని స్థితులు
All task dependencies & relative dates,అన్ని పని ఆధారాలు & సాపేక్ష తేదీలు
All Tasks,అన్ని పనులు
All tasks across all projects.,అన్ని ప్రాజెక్టులలోని అన్ని పనులు.
All tasks are already linked,అన్ని పనులు ఇప్పటికే లింక్ చేయబడ్డాయి
All team members,అందరు బృంద సభ్యులు
All Types,అన్ని రకాలు
All Users,అందరు వాడుకరులు
Allocated,కేటాయించబడింది
allocated,కేటాయించబడింది
Allow users to log time against tasks,వాడుకరులను పనులపై సమయం నమోదు చేయడానికి అనుమతించు
Already exported to timesheet {0},ఇప్పటికే టైమ్‌షీట్ {0}కి ఎక్స్‌పోర్ట్ చేయబడింది
Already Migrated,ఇప్పటికే మైగ్రేట్ చేయబడింది
Anyone with access,యాక్సెస్ ఉన్న ఎవరైనా
anytime to show this help,ఈ సహాయాన్ని చూపించడానికి ఎప్పుడైనా
App Updates,App Updates
Appearance,రూపం
Apply,వర్తింపజేయి
Apply cascade?,కాస్కేడ్ వర్తింపజేయాలా?
Apply Changes,మార్పులు వర్తింపజేయి
Apply failed,వర్తింపజేయడం విఫలమైంది
Apply Template,టెంప్లేట్ వర్తింపజేయి
Applying...,వర్తింపజేస్తోంది...
Appointment,అపాయింట్‌మెంట్
Appointment and resource are required,అపాయింట్‌మెంట్ మరియు వనరు అవసరం
Appointment name is required,అపాయింట్‌మెంట్ పేరు అవసరం
Appointment not found,అపాయింట్‌మెంట్ కనుగొనబడలేదు
Appointment {0} not found,అపాయింట్‌మెంట్ {0} కనుగొనబడలేదు
Apps,యాప్‌లు
Archive,ఆర్కైవ్ చేయి
Archive Activity,కార్యకలాపం ఆర్కైవ్ చేయి
Archived,ఆర్కైవ్ చేయబడింది
Are you sure you want to delete this activity data? This cannot be undone.,మీరు ఈ కార్యకలాప డేటాను తొలగించాలనుకుంటున్నారా? ఇది రద్దు చేయలేము.
Are you sure you want to delete this comment?,మీరు ఈ వ్యాఖ్యను తొలగించాలనుకుంటున్నారా?
Are you sure you want to delete this project?,మీరు ఈ ప్రాజెక్టును తొలగించాలనుకుంటున్నారా?
Are you sure?,మీరు ఖచ్చితంగా అనుకుంటున్నారా?
Ascending -- click to reverse,ఆరోహణ -- తిరగేయడానికి క్లిక్ చేయండి
Assign To,కేటాయించు
Assign to Me,నాకు కేటాయించు
Assigned Contact,కేటాయించిన పరిచయం
Assigned To,కేటాయించబడింది
Assigned to,కేటాయించబడింది
Assigned to Me,నాకు కేటాయించబడింది
Assignee,కేటాయింపుదారు
Assignment,కేటాయింపు
Assignment History,కేటాయింపు చరిత్ర
Assignment name is required,కేటాయింపు పేరు అవసరం
Assignment {0} not found,కేటాయింపు {0} కనుగొనబడలేదు
Assignments,కేటాయింపులు
At least one action is required,కనీసం ఒక చర్య అవసరం
At least one event is required,కనీసం ఒక ఈవెంట్ అవసరం
At least one event must be selected,కనీసం ఒక ఈవెంట్ ఎంచుకోవాలి
Attachment,జోడింపు
Attachments,జోడింపులు
Attendees,హాజరయ్యేవారు
"Audit trail, assignments, version history","ఆడిట్ ట్రయల్, కేటాయింపులు, వెర్షన్ చరిత్ర"
Auto,ఆటో
Auto Calculate Progress,పురోగతిని ఆటోమేటిక్‌గా లెక్కించు
Auto Set Missed Milestones,తప్పిన మైలురాళ్లను ఆటోమేటిక్‌గా సెట్ చేయి
Auto-shift dependents when dates change,తేదీలు మారినప్పుడు ఆధారపడినవాటిని ఆటోమేటిక్‌గా మార్చు
Auto-Trail Start,ఆటో-ట్రయల్ ప్రారంభం
Auto-Trail updated,ఆటో-ట్రయల్ అప్‌డేట్ చేయబడింది
Automatically calculate project progress from task completion,పని పూర్తి నుండి ప్రాజెక్టు పురోగతిని ఆటోమేటిక్‌గా లెక్కించు
Automatically mark milestones as missed when overdue,గడువు దాటినప్పుడు మైలురాళ్లను ఆటోమేటిక్‌గా తప్పినవిగా గుర్తించు
Automation rule {0} not found,ఆటోమేషన్ నియమం {0} కనుగొనబడలేదు
Automation: {0},ఆటోమేషన్: {0}
Availability,అందుబాటు
Available,అందుబాటులో ఉంది
Avatar updated successfully,అవతార్ విజయవంతంగా అప్‌డేట్ చేయబడింది
Avg Progress,సగటు పురోగతి
Back,వెనుకకు
Back to Portal,పోర్టల్‌కు తిరిగి
Back to Projects,ప్రాజెక్టులకు తిరిగి
Beginner,ప్రారంభకుడు
Best regards,శుభాకాంక్షలతో
Billable,బిల్లు చేయదగిన
Billable Amount,బిల్లు చేయదగిన మొత్తం
Billable Hours,బిల్లు చేయదగిన గంటలు
Billable Rate,బిల్లు చేయదగిన రేటు
Billing Rate,బిల్లింగ్ రేటు
Blocked,నిరోధించబడింది
Both dates are needed to display task as a bar in Gantt chart,Gantt చార్ట్‌లో పనిని బార్‌గా చూపించడానికి రెండు తేదీలు అవసరం
Both doctype and docname are required,doctype మరియు docname రెండూ అవసరం
Both proposed start and end times are required,ప్రతిపాదిత ప్రారంభ మరియు ముగింపు సమయాలు రెండూ అవసరం
Both task_name and depends_on are required,task_name మరియు depends_on రెండూ అవసరం
Breadcrumb,బ్రెడ్‌క్రమ్
Brief description of the defect or damage,లోపం లేదా నష్టం గురించి సంక్షిప్త వివరణ
Brief description of this template,ఈ టెంప్లేట్ గురించి సంక్షిప్త వివరణ
Brief description of your request,మీ అభ్యర్థన గురించి సంక్షిప్త వివరణ
Brief project description,సంక్షిప్త ప్రాజెక్టు వివరణ
Budget,బడ్జెట్
Budget at risk,బడ్జెట్ ప్రమాదంలో ఉంది
Budget Burn Rate,బడ్జెట్ వినియోగ రేటు
Budget Status,బడ్జెట్ స్థితి
Budget updated,బడ్జెట్ అప్‌డేట్ చేయబడింది
Budget:,బడ్జెట్:
Bug,బగ్
Burn Rate,వినియోగ రేటు
Busy,బిజీ
By,ద్వారా
By Assignee,కేటాయింపుదారు ప్రకారం
By Group,గ్రూప్ ప్రకారం
By Milestone,మైలురాయి ప్రకారం
By Priority,ప్రాధాన్యత ప్రకారం
By Status,స్థితి ప్రకారం
Cancel,రద్దు చేయి
Cancelled,రద్దు చేయబడింది
cannot be undone,తిరిగి పొందలేరు
Cannot delete client with {0} linked projects. Unlink projects first.,{0} లింక్ చేయబడిన ప్రాజెక్టులతో క్లయింట్‌ను తొలగించలేము. ముందు ప్రాజెక్టులను అన్‌లింక్ చేయండి.
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} లింక్ చేయబడిన పనులతో ప్రాజెక్టును తొలగించలేము. ముందు పనులను తొలగించండి.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} సక్రియ కేటాయింపులతో వనరును తొలగించలేము. ముందు వాటిని పూర్తి చేయండి లేదా రద్దు చేయండి.
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} ఉపపనులతో పనిని తొలగించలేము. ముందు ఉపపనులను తొలగించండి.
Capacity,సామర్థ్యం
capacity,సామర్థ్యం
Capacity & Rates,సామర్థ్యం & రేట్లు
Capture project structure for reuse,తిరిగి ఉపయోగించడానికి ప్రాజెక్టు నిర్మాణాన్ని సంగ్రహించు
Cascade,కాస్కేడ్
Cascade Preview,కాస్కేడ్ ప్రివ్యూ
Category,వర్గం
Celebrate,అభినందించు
Change,మార్చు
Change History,మార్పు చరిత్ర
Change Priority,ప్రాధాన్యత మార్చు
Change Status,స్థితి మార్చు
Changes,మార్పులు
Changes appear when fields are modified.,ఫీల్డ్‌లు మార్చినప్పుడు మార్పులు కనిపిస్తాయి.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,చెక్‌లిస్ట్
Checklist item name is required,చెక్‌లిస్ట్ అంశం పేరు అవసరం
Checklist item not found,చెక్‌లిస్ట్ అంశం కనుగొనబడలేదు
Checklist item title is required,చెక్‌లిస్ట్ అంశం శీర్షిక అవసరం
Checklist item {0} not found,చెక్‌లిస్ట్ అంశం {0} కనుగొనబడలేదు
Checklist item {0} not found in task,చెక్‌లిస్ట్ అంశం {0} పనిలో కనుగొనబడలేదు
Child,చైల్డ్
Choose file to upload,అప్‌లోడ్ చేయడానికి ఫైల్ ఎంచుకోండి
Circular dependency detected: {0},వృత్తాకార ఆధారం గుర్తించబడింది: {0}
Circular parent-child relationship detected,వృత్తాకార పేరెంట్-చైల్డ్ సంబంధం గుర్తించబడింది
Clear,తొలగించు
Clear all read,అన్ని చదివినవి తొలగించు
Clear date,తేదీ తొలగించు
Click on an activity from the list to view and manage its details.,వివరాలు చూడటానికి మరియు నిర్వహించడానికి జాబితా నుండి కార్యకలాపంపై క్లిక్ చేయండి.
Click the avatar to upload a new photo,కొత్త ఫోటో అప్‌లోడ్ చేయడానికి అవతార్‌పై క్లిక్ చేయండి
Click to add description...,వివరణ జోడించడానికి క్లిక్ చేయండి...
Click to add notes...,గమనికలు జోడించడానికి క్లిక్ చేయండి...
Click to assign contact,పరిచయం కేటాయించడానికి క్లిక్ చేయండి
Click to change status,స్థితి మార్చడానికి క్లిక్ చేయండి
Click to change type,రకం మార్చడానికి క్లిక్ చేయండి
Click to edit,సవరించడానికి క్లిక్ చేయండి
Click to edit budget,బడ్జెట్ సవరించడానికి క్లిక్ చేయండి
Click to edit description,వివరణ సవరించడానికి క్లిక్ చేయండి
Click to edit end date,ముగింపు తేదీ సవరించడానికి క్లిక్ చేయండి
Click to edit milestone name,మైలురాయి పేరు సవరించడానికి క్లిక్ చేయండి
Click to edit rate,రేటు సవరించడానికి క్లిక్ చేయండి
Click to edit start date,ప్రారంభ తేదీ సవరించడానికి క్లిక్ చేయండి
Click to edit title,శీర్షిక సవరించడానికి క్లిక్ చేయండి
Click to load,లోడ్ చేయడానికి క్లిక్ చేయండి
Click to set group dependency...,గ్రూప్ ఆధారం సెట్ చేయడానికి క్లిక్ చేయండి...
Click to set group...,గ్రూప్ సెట్ చేయడానికి క్లిక్ చేయండి...
Click to view,చూడటానికి క్లిక్ చేయండి
Click to view at-risk projects,ప్రమాదంలో ఉన్న ప్రాజెక్టులు చూడటానికి క్లిక్ చేయండి
Click to view critical projects,క్లిష్టమైన ప్రాజెక్టులు చూడటానికి క్లిక్ చేయండి
Click to view healthy projects,ఆరోగ్యకరమైన ప్రాజెక్టులు చూడటానికి క్లిక్ చేయండి
Client,క్లయింట్
Client already has a portal user: {0},క్లయింట్‌కు ఇప్పటికే పోర్టల్ వాడుకరి ఉంది: {0}
Client already has portal access,క్లయింట్‌కు ఇప్పటికే పోర్టల్ యాక్సెస్ ఉంది
Client has no portal user to revoke,క్లయింట్‌కు రద్దు చేయడానికి పోర్టల్ వాడుకరి లేరు
Client link removed from project {0},ప్రాజెక్టు {0} నుండి క్లయింట్ లింక్ తొలగించబడింది
Client Portal,క్లయింట్ పోర్టల్
Client {0} deleted successfully,క్లయింట్ {0} విజయవంతంగా తొలగించబడింది
Close,మూసివేయి
Close (Esc),మూసివేయి (Esc)
Comment,వ్యాఖ్య
comment,వ్యాఖ్య
Comment added,వ్యాఖ్య జోడించబడింది
Comment content is required,వ్యాఖ్య విషయం అవసరం
Comment name is required,వ్యాఖ్య పేరు అవసరం
Comment not found,వ్యాఖ్య కనుగొనబడలేదు
Comment removed,వ్యాఖ్య తొలగించబడింది
Comment {0} not found in task,వ్యాఖ్య {0} పనిలో కనుగొనబడలేదు
Comments,వ్యాఖ్యలు
comments,వ్యాఖ్యలు
Community Edition,Community Edition
Company,కంపెనీ
Company name...,కంపెనీ పేరు...
Complete,పూర్తి చేయి
Completed,పూర్తయింది
completed,పూర్తయింది
Completed Tasks,పూర్తయిన పనులు
Compliance,అనుసరణ
Configure default values for new projects and tasks,కొత్త ప్రాజెక్టులు మరియు పనుల కోసం డిఫాల్ట్ విలువలు కాన్ఫిగర్ చేయండి
Configure email notification settings,ఇమెయిల్ నోటిఫికేషన్ సెట్టింగ్‌లు కాన్ఫిగర్ చేయండి
Confirm,నిర్ధారించు
Contact deleted,పరిచయం తొలగించబడింది
Contact Details,పరిచయ వివరాలు
Contact Information,సంప్రదింపు సమాచారం
Contact name is required,పరిచయం పేరు అవసరం
Contact Support,సపోర్ట్‌ను సంప్రదించండి
Contact your project manager for more information.,మరిన్ని సమాచారం కోసం మీ ప్రాజెక్టు మేనేజర్‌ను సంప్రదించండి.
Contact:,పరిచయం:
Contacts,పరిచయాలు
Context,సందర్భం
Contractor,కాంట్రాక్టర్
Cost estimate cannot be negative,ఖర్చు అంచనా ఋణాత్మకంగా ఉండకూడదు
Cost Impact,ఖర్చు ప్రభావం
Cost Summary,ఖర్చు సారాంశం
Could not apply the template. Please try again.,టెంప్లేట్ వర్తింపజేయడం సాధ్యం కాలేదు. దయచేసి మళ్ళీ ప్రయత్నించండి.
Could not attach file to project,ప్రాజెక్టుకు ఫైల్ జోడించడం సాధ్యం కాలేదు
Could not change task priority,పని ప్రాధాన్యత మార్చడం సాధ్యం కాలేదు
Could not change task status,పని స్థితి మార్చడం సాధ్యం కాలేదు
Could not delete the project. Please try again.,ప్రాజెక్టును తొలగించడం సాధ్యం కాలేదు. దయచేసి మళ్ళీ ప్రయత్నించండి.
Could not delete the task. Please try again.,పనిని తొలగించడం సాధ్యం కాలేదు. దయచేసి మళ్ళీ ప్రయత్నించండి.
Could not delete the template.,టెంప్లేట్‌ను తొలగించడం సాధ్యం కాలేదు.
Could not duplicate the task. Please try again.,పనిని నకలు చేయడం సాధ్యం కాలేదు. దయచేసి మళ్ళీ ప్రయత్నించండి.
Could not export the template.,టెంప్లేట్‌ను ఎక్స్‌పోర్ట్ చేయడం సాధ్యం కాలేదు.
Could not import the template. Please check the file format.,టెంప్లేట్‌ను ఇంపోర్ట్ చేయడం సాధ్యం కాలేదు. దయచేసి ఫైల్ ఫార్మాట్ తనిఖీ చేయండి.
Could not link task to milestone,పనిని మైలురాయికి లింక్ చేయడం సాధ్యం కాలేదు
Could not load document details.,డాక్యుమెంట్ వివరాలు లోడ్ చేయడం సాధ్యం కాలేదు.
Could not load task details,పని వివరాలు లోడ్ చేయడం సాధ్యం కాలేదు
Could not promote checklist item to task.,చెక్‌లిస్ట్ అంశాన్ని పనిగా ప్రమోట్ చేయడం సాధ్యం కాలేదు.
Could not remove task from milestone,మైలురాయి నుండి పనిని తొలగించడం సాధ్యం కాలేదు
Could not save budget.,బడ్జెట్ సేవ్ చేయడం సాధ్యం కాలేదు.
Could not save changes to the milestone,మైలురాయికి మార్పులు సేవ్ చేయడం సాధ్యం కాలేదు
Could not save changes to the task,పనికి మార్పులు సేవ్ చేయడం సాధ్యం కాలేదు
Could not save description.,వివరణ సేవ్ చేయడం సాధ్యం కాలేదు.
Could not save end date.,ముగింపు తేదీ సేవ్ చేయడం సాధ్యం కాలేదు.
Could not save milestone name.,మైలురాయి పేరు సేవ్ చేయడం సాధ్యం కాలేదు.
Could not save start date.,ప్రారంభ తేదీ సేవ్ చేయడం సాధ్యం కాలేదు.
Could not save the template. Please try again.,టెంప్లేట్ సేవ్ చేయడం సాధ్యం కాలేదు. దయచేసి మళ్ళీ ప్రయత్నించండి.
Could not save title.,శీర్షిక సేవ్ చేయడం సాధ్యం కాలేదు.
Could not update dependency mode.,ఆధార మోడ్ అప్‌డేట్ చేయడం సాధ్యం కాలేదు.
Could not update milestone date,మైలురాయి తేదీ అప్‌డేట్ చేయడం సాధ్యం కాలేదు
Could not update project status.,ప్రాజెక్టు స్థితి అప్‌డేట్ చేయడం సాధ్యం కాలేదు.
Could not update project type.,ప్రాజెక్టు రకం అప్‌డేట్ చేయడం సాధ్యం కాలేదు.
Could not update setting.,సెట్టింగ్ అప్‌డేట్ చేయడం సాధ్యం కాలేదు.
Could not update task dates,పని తేదీలు అప్‌డేట్ చేయడం సాధ్యం కాలేదు
Could not update task status,పని స్థితి అప్‌డేట్ చేయడం సాధ్యం కాలేదు
Could not update the template.,టెంప్లేట్ అప్‌డేట్ చేయడం సాధ్యం కాలేదు.
Create a copy of this task,ఈ పని యొక్క కాపీ సృష్టించు
Create Contact,పరిచయం సృష్టించు
Create Event,ఈవెంట్ సృష్టించు
Create Milestone,మైలురాయి సృష్టించు
Create New Milestone,కొత్త మైలురాయి సృష్టించు
Create New Task,కొత్త పని సృష్టించు
Create Project,ప్రాజెక్టు సృష్టించు
Create Task,పని సృష్టించు
Create tasks and milestones from a template,టెంప్లేట్ నుండి పనులు మరియు మైలురాళ్లు సృష్టించు
Create your first project to get started.,ప్రారంభించడానికి మీ మొదటి ప్రాజెక్టును సృష్టించండి.
Create your first task to start tracking work on this project.,ఈ ప్రాజెక్టుపై పనిని ట్రాక్ చేయడం ప్రారంభించడానికి మీ మొదటి పనిని సృష్టించండి.
Created,సృష్టించబడింది
Creating...,సృష్టిస్తోంది...
Critical,క్లిష్టమైన
Critical Path,క్లిష్ట మార్గం
"Currency used for budgets, costs, and billing rates","బడ్జెట్లు, ఖర్చులు మరియు బిల్లింగ్ రేట్ల కోసం ఉపయోగించే కరెన్సీ"
Current,ప్రస్తుత
Current Assignments,ప్రస్తుత కేటాయింపులు
Current scheduled time:,ప్రస్తుతం షెడ్యూల్ చేసిన సమయం:
Currently running version,Currently running version
d lag,రోజుల ఆలస్యం
Daily Availability,రోజువారీ అందుబాటు
Daily Hours,రోజువారీ గంటలు
Danger Zone,ప్రమాద జోన్
Dark,డార్క్
Dashboard,డాష్‌బోర్డ్
Date,తేదీ
Date changes on this task will show cascade impact here,ఈ పనిపై తేదీ మార్పులు ఇక్కడ కాస్కేడ్ ప్రభావాన్ని చూపిస్తాయి
Date cleared,తేదీ తొలగించబడింది
Date of Joining,చేరిన తేదీ
Date updated,తేదీ అప్‌డేట్ చేయబడింది
Dates,తేదీలు
Dates cascaded,తేదీలు కాస్కేడ్ చేయబడ్డాయి
Dates will be relative to the project's start date.,తేదీలు ప్రాజెక్టు ప్రారంభ తేదీకి సాపేక్షంగా ఉంటాయి.
Day,రోజు
day,రోజు
days,రోజులు
Days before due date to send reminder,గడువు తేదీకి ముందు రిమైండర్ పంపడానికి రోజులు
Days Overdue,ఆలస్యమైన రోజులు
Days Remaining,మిగిలిన రోజులు
Deadline,గడువు
Deadlines,గడువులు
Decision,నిర్ణయం
Decline,తిరస్కరించు
Declined,తిరస్కరించబడింది
Default Currency,డిఫాల్ట్ కరెన్సీ
Default hours per week for contact capacity planning,పరిచయ సామర్థ్య ప్రణాళిక కోసం వారానికి డిఫాల్ట్ గంటలు
Default Priority,డిఫాల్ట్ ప్రాధాన్యత
Default Project Status,డిఫాల్ట్ ప్రాజెక్టు స్థితి
Default Task Status,డిఫాల్ట్ పని స్థితి
Default task view,డిఫాల్ట్ పని వీక్షణ
Default Values,డిఫాల్ట్ విలువలు
Default Weekly Capacity,డిఫాల్ట్ వారపు సామర్థ్యం
Defaults,డిఫాల్ట్‌లు
Defect Cost Impact,లోపం ఖర్చు ప్రభావం
Defect name is required,లోపం పేరు అవసరం
Defect Type,లోపం రకం
Defect {0} not found,లోపం {0} కనుగొనబడలేదు
Defects,లోపాలు
Defects & Issues,లోపాలు & సమస్యలు
Defects Resolved,పరిష్కరించబడిన లోపాలు
Delayed,ఆలస్యమైంది
Delete,తొలగించు
Delete Activity Data,కార్యకలాప డేటా తొలగించు
Delete all read notifications?,అన్ని చదివిన నోటిఫికేషన్లు తొలగించాలా?
Delete comment,వ్యాఖ్య తొలగించు
Delete Contact,పరిచయం తొలగించు
Delete Event,ఈవెంట్ తొలగించు
Delete Event?,ఈవెంట్ తొలగించాలా?
Delete failed,తొలగించడం విఫలమైంది
Delete file,ఫైల్ తొలగించు
Delete item,అంశం తొలగించు
Delete note,గమనిక తొలగించు
Delete Project,ప్రాజెక్టు తొలగించు
Delete Task,పని తొలగించు
Delete this project,ఈ ప్రాజెక్టు తొలగించు
Deleted,తొలగించబడింది
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ప్రాజెక్టు ""{0}"" తొలగించబడింది ({1} పనులు, {2} మైలురాళ్లు)"
Deletes notes and preferences. Source document is not affected.,గమనికలు మరియు ప్రాధాన్యతలను తొలగిస్తుంది. మూల డాక్యుమెంట్ ప్రభావితం కాదు.
Deleting...,తొలగిస్తోంది...
Department,విభాగం
Dependencies,ఆధారాలు
dependencies,డిపెండెన్సీలు
Dependencies are informational only,ఆధారాలు సమాచారం కోసం మాత్రమే
dependency,డిపెండెన్సీ
Dependency already exists,ఆధారం ఇప్పటికే ఉంది
Dependency Chain,ఆధార గొలుసు
Dependency created,ఆధారం సృష్టించబడింది
Dependency mode updated,ఆధార మోడ్ అప్‌డేట్ చేయబడింది
Dependency name is required,ఆధారం పేరు అవసరం
Dependency task {0} not found,ఆధార పని {0} కనుగొనబడలేదు
Dependency {0} not found,ఆధారం {0} కనుగొనబడలేదు
depends,ఆధారపడి ఉంది
Depends on Group,గ్రూప్‌పై ఆధారపడి ఉంది
Depends on task is required,ఆధార పని అవసరం
depends on...,ఆధారపడి ఉంది...
Descending -- click to reverse,అవరోహణ -- తిరగేయడానికి క్లిక్ చేయండి
Describe the defect in detail...,లోపాన్ని వివరంగా వర్ణించండి...
Description,వివరణ
Description updated,వివరణ అప్‌డేట్ చేయబడింది
Designation,హోదా
"Detailed description of the defect, location, and impact","లోపం, స్థానం మరియు ప్రభావం యొక్క వివరమైన వివరణ"
Details,వివరాలు
Discard timer,టైమర్ విస్మరించు
Discussion,చర్చ
Dismiss,Dismiss
Display,ప్రదర్శన
Document,డాక్యుమెంట్
Document attached to project,ప్రాజెక్టుకు డాక్యుమెంట్ జోడించబడింది
Document final decision and rationale,తుది నిర్ణయం మరియు హేతువును డాక్యుమెంట్ చేయండి
Documentation Review,డాక్యుమెంటేషన్ సమీక్ష
Documents,డాక్యుమెంట్లు
Done,పూర్తయింది
Download,డౌన్‌లోడ్
Drag to create dependency,ఆధారం సృష్టించడానికి డ్రాగ్ చేయండి
Dry Run,డ్రై రన్
Dry Run Complete,డ్రై రన్ పూర్తయింది
Due Date,గడువు తేదీ
Due date,గడువు తేదీ
Due Date (Earliest),గడువు తేదీ (ముందుగా)
Due date cannot be before start date,గడువు తేదీ ప్రారంభ తేదీకి ముందు ఉండకూడదు
Due date is in the past,గడువు తేదీ గతంలో ఉంది
Due Date Reminders,గడువు తేదీ రిమైండర్లు
Due Diligence,సమగ్ర పరిశీలన
Due Diligence Checklist,సమగ్ర పరిశీలన చెక్‌లిస్ట్
Due This Week,ఈ వారం గడువు
Due:,గడువు:
Duplicate events are not allowed,నకిలీ ఈవెంట్లు అనుమతించబడవు
Duplicate failed,నకలు చేయడం విఫలమైంది
Duplicate Task,పనిని నకలు చేయి
Duration,వ్యవధి
Duration Summary,వ్యవధి సారాంశం
Duration:,వ్యవధి:
e.g. Cracked wall finish in bathroom...,ఉదా. బాత్‌రూమ్‌లో పగిలిన గోడ ఫినిష్...
"e.g. Electrical, Plumbing...","ఉదా. ఎలక్ట్రికల్, ప్లంబింగ్..."
