+ Add Milestone,+ Tilfoej milepael
Add details or acceptance criteria for this milestone,Tilfoej detaljer eller acceptkriterier for denne milepael
"Add details, context, or acceptance criteria","Tilfoej detaljer, kontekst eller acceptkriterier"
Add first dependency,Tilfoej foerste afhaengighed
Add item,Tilfoej element
Add items below to track progress.,Tilfoej elementer nedenfor for at foelge fremskridtet.
Add items below to track subtasks,Tilfoej elementer nedenfor for at foelge delopgaver
Add Milestone,Tilfoej milepael
Add Milestone (Shift+M),Tilfoej milepael (Shift+M)
Add milestones to track key deliverables.,Tilfoej milepaele for at foelge vigtige leverancer.
Add New Contact,Tilfoej ny kontakt
Add Note,Tilfoej note
Add note,Tilfoej note
Add notes about this contact...,Tilfoej noter om denne kontakt...
Add reaction,Tilfoej reaktion
Add Skill,Tilfoej kompetence
Add start and due dates to tasks to see them on the Gantt chart,Tilfoej start- og forfaldsdatoer til opgaver for at se dem i Gantt-diagrammet
Add Task,Tilfoej opgave
Add Task (Shift+T),Tilfoej opgave (Shift+T)
Added Finish-to-Start dependency,Slut-til-start-afhaengighed tilfojet
Adding this dependency would create a circular reference: {0},Tilfoejelse af denne afhaengighed ville skabe en cirkelreference: {0}
Adding...,Tilfojer...
Address,Adresse
Advanced,Avanceret
All,Alle
All Active,Alle aktive
All Assignees,Alle tildelte
All Categories,Alle kategorier
All caught up!,Alt er opdateret!
All Contexts,Alle kontekster
All day,Hele dagen
All day event,Heldagsbegivenhed
All fields,Alle felter
All Priorities,Alle prioriteter
All Projects,Alle projekter
All Status,Alle statusser
All Statuses,Alle statusser
All task dependencies & relative dates,Alle opgaveafhaengigheder og relative datoer
All Tasks,Alle opgaver
All tasks across all projects.,Alle opgaver i alle projekter.
All tasks are already linked,Alle opgaver er allerede linket
All team members,Alle teammedlemmer
All Types,Alle typer
All Users,Alle brugere
Allocated,Tildelt
allocated,tildelt
Allow users to log time against tasks,Tillad brugere at registrere tid pa opgaver
Already exported to timesheet {0},Allerede eksporteret til tidsregistrering {0}
Already Migrated,Allerede migreret
Anyone with access,Alle med adgang
anytime to show this help,nar som helst for at vise denne hjaelp
App Updates,App Updates
Appearance,Udseende
Apply,Anvend
Apply cascade?,Anvende kaskade?
Apply Changes,Anvend aendringer
Apply failed,Anvendelse mislykkedes
Apply Template,Anvend skabelon
Applying...,Anvender...
Appointment,Moede
Appointment and resource are required,Moede og ressource er paakraevet
Appointment name is required,Moedenavn er paakraevet
Appointment not found,Moede ikke fundet
Appointment {0} not found,Moede {0} ikke fundet
Apps,Apps
Archive,Arkiver
Archive Activity,Arkiver aktivitet
Archived,Arkiveret
Are you sure you want to delete this activity data? This cannot be undone.,"Er du sikker pa, at du vil slette disse aktivitetsdata? Dette kan ikke fortrydes."
Are you sure you want to delete this comment?,Er du sikker pa at du vil slette denne kommentar?
Are you sure you want to delete this project?,Er du sikker pa at du vil slette dette projekt?
Are you sure?,Er du sikker?
Ascending -- click to reverse,Stigende -- klik for at vende om
Assign To,Tildel til
Assign to Me,Tildel til mig
Assigned Contact,Tildelt kontakt
Assigned To,Tildelt til
Assigned to,Tildelt til
Assigned to Me,Tildelt til mig
Assignee,Tildelt
Assignment,Tildeling
Assignment History,Tildelingshistorik
Assignment name is required,Tildelingsnavn er paakraevet
Assignment {0} not found,Tildeling {0} ikke fundet
Assignments,Tildelinger
At least one action is required,Mindst en handling er paakraevet
At least one event is required,Mindst en begivenhed er paakraevet
At least one event must be selected,Mindst en begivenhed skal vaelges
Attachment,Bilag
Attachments,Bilag
Attendees,Deltagere
"Audit trail, assignments, version history","Aendringslog, tildelinger, versionshistorik"
Auto,Automatisk
Auto Calculate Progress,Beregn fremskridt automatisk
Auto Set Missed Milestones,Marker overskredet milepaele automatisk
Auto-shift dependents when dates change,Flyt afhaengige automatisk ved datoaendring
Auto-Trail Start,Automatisk glidende start
Auto-Trail updated,Automatisk glidende start opdateret
Automatically calculate project progress from task completion,Beregn projektfremskridt automatisk fra opgavefaerdiggorelse
Automatically mark milestones as missed when overdue,Marker milepaele automatisk som overskredet ved forsinkelse
Automation rule {0} not found,Automatiseringsregel {0} ikke fundet
Automation: {0},Automatisering: {0}
Availability,Tilgaengelighed
Available,Tilgaengelig
Avatar updated successfully,Profilbillede opdateret
Avg Progress,Gennemsnitligt fremskridt
Back,Tilbage
Back to Portal,Tilbage til portalen
Back to Projects,Tilbage til projekter
Beginner,Begynder
Best regards,Med venlig hilsen
Billable,Fakturerbar
Billable Amount,Fakturerbart beloeb
Billable Hours,Fakturerbare timer
Billable Rate,Fakturerbar sats
Billing Rate,Faktureringssats
Blocked,Blokeret
Both dates are needed to display task as a bar in Gantt chart,Begge datoer er noedvendige for at vise opgaven som en bjealke i Gantt-diagrammet
Both doctype and docname are required,Bade doctype og docname er paakraevet
Both proposed start and end times are required,Bade foreslaaet start- og sluttid er paakraevet
Both task_name and depends_on are required,Bade task_name og depends_on er paakraevet
Breadcrumb,Sti
Brief description of the defect or damage,Kort beskrivelse af defekten eller skaden
Brief description of this template,Kort beskrivelse af denne skabelon
Brief description of your request,Kort beskrivelse af din anmodning
Brief project description,Kort projektbeskrivelse
Budget,Budget
Budget at risk,Budget i farezonen
Budget Burn Rate,Budgetforbrugshastighed
Budget Status,Budgetstatus
Budget updated,Budget opdateret
Budget:,Budget:
Bug,Fejl
Burn Rate,Forbrugshastighed
Busy,Optaget
By,Af
By Assignee,Per tildelt
By Group,Per gruppe
By Milestone,Per milepael
By Priority,Per prioritet
By Status,Per status
Cancel,Annuller
Cancelled,Annulleret
cannot be undone,kan ikke fortrydes
Cannot delete client with {0} linked projects. Unlink projects first.,Kan ikke slette klient med {0} linkede projekter. Fjern links foerst.
Cannot delete project with {0} linked tasks. Delete tasks first.,Kan ikke slette projekt med {0} linkede opgaver. Slet opgaverne foerst.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Kan ikke slette ressource med {0} aktive tildelinger. Faerdiggoer eller annuller dem foerst.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kan ikke slette opgave med {0} delopgaver. Slet delopgaverne foerst.
Capacity,Kapacitet
capacity,kapacitet
Capacity & Rates,Kapacitet og satser
Capture project structure for reuse,Gem projektstruktur til genbrug
Cascade,Kaskade
Cascade Preview,Kaskadeforhaandsvisning
Category,Kategori
Celebrate,Fejre
Change,Aendr
Change History,Aendringshistorik
Change Priority,Aendr prioritet
Change Status,Aendr status
Changes,Aendringer
Changes appear when fields are modified.,Aendringer vises nar felter aendres.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Tjekliste
Checklist item name is required,Navn pa tjeklistepunkt er paakraevet
Checklist item not found,Tjeklistepunkt ikke fundet
Checklist item title is required,Titel pa tjeklistepunkt er paakraevet
Checklist item {0} not found,Tjeklistepunkt {0} ikke fundet
Checklist item {0} not found in task,Tjeklistepunkt {0} ikke fundet i opgaven
Child,Underordnet
Choose file to upload,Vaelg fil at uploade
Circular dependency detected: {0},Cirkulaer afhaengighed registreret: {0}
Circular parent-child relationship detected,Cirkulaert foeraeldre-barn-forhold registreret
Clear,Ryd
Clear all read,Ryd alle laeste
Clear date,Ryd dato
Click on an activity from the list to view and manage its details.,Klik pa en aktivitet i listen for at se og haandtere dens detaljer.
Click the avatar to upload a new photo,Klik pa profilbilledet for at uploade et nyt foto
Click to add description...,Klik for at tilfoeje beskrivelse...
Click to add notes...,Klik for at tilfoeje noter...
Click to assign contact,Klik for at tildele kontakt
Click to change status,Klik for at aendre status
Click to change type,Klik for at aendre type
Click to edit,Klik for at redigere
Click to edit budget,Klik for at redigere budget
Click to edit description,Klik for at redigere beskrivelse
Click to edit end date,Klik for at redigere slutdato
Click to edit milestone name,Klik for at redigere milepael-navn
Click to edit rate,Klik for at redigere sats
Click to edit start date,Klik for at redigere startdato
Click to edit title,Klik for at redigere titel
Click to load,Klik for at indlaese
Click to set group dependency...,Klik for at angive gruppeafhaengighed...
Click to set group...,Klik for at angive gruppe...
Click to view,Klik for at vise
Click to view at-risk projects,Klik for at vise projekter i farezonen
Click to view critical projects,Klik for at vise kritiske projekter
Click to view healthy projects,Klik for at vise sunde projekter
Client,Klient
Client already has a portal user: {0},Klienten har allerede en portalbruger: {0}
Client already has portal access,Klienten har allerede portaladgang
Client has no portal user to revoke,Klienten har ingen portalbruger at tilbagekalde
Client link removed from project {0},Klientlink fjernet fra projekt {0}
Client Portal,Klientportal
Client {0} deleted successfully,Klient {0} slettet
Close,Luk
Close (Esc),Luk (Esc)
Comment,Kommentar
comment,kommentar
Comment added,Kommentar tilfojet
Comment content is required,Kommentarindhold er paakraevet
Comment name is required,Kommentarnavn er paakraevet
Comment not found,Kommentar ikke fundet
Comment removed,Kommentar fjernet
Comment {0} not found in task,Kommentar {0} ikke fundet i opgaven
Comments,Kommentarer
comments,kommentarer
Community Edition,Community Edition
Company,Virksomhed
Company name...,Virksomhedsnavn...
Complete,Faerdiggoer
Completed,Faerdiggjort
completed,faerdiggjort
Completed Tasks,Faerdiggjorte opgaver
Compliance,Overholdelse
Configure default values for new projects and tasks,Konfigurer standardvaerdier for nye projekter og opgaver
Configure email notification settings,Konfigurer indstillinger for e-mailnotifikationer
Confirm,Bekraeft
Contact deleted,Kontakt slettet
Contact Details,Kontaktoplysninger
Contact Information,Kontaktinformation
Contact name is required,Kontaktnavn er paakraevet
Contact Support,Kontakt support
Contact your project manager for more information.,Kontakt din projektleder for mere information.
Contact:,Kontakt:
Contacts,Kontakter
Context,Kontekst
Contractor,Entreprenoer
Cost estimate cannot be negative,Omkostningsestimat kan ikke vaere negativt
Cost Impact,Omkostningspaavirkning
Cost Summary,Omkostningsoversigt
Could not apply the template. Please try again.,Kunne ikke anvende skabelonen. Proev igen.
Could not attach file to project,Kunne ikke vedhaenge fil til projektet
Could not change task priority,Kunne ikke aendre opgaveprioritet
Could not change task status,Kunne ikke aendre opgavestatus
Could not delete the project. Please try again.,Kunne ikke slette projektet. Proev igen.
Could not delete the task. Please try again.,Kunne ikke slette opgaven. Proev igen.
Could not delete the template.,Kunne ikke slette skabelonen.
Could not duplicate the task. Please try again.,Kunne ikke kopiere opgaven. Proev igen.
Could not export the template.,Kunne ikke eksportere skabelonen.
Could not import the template. Please check the file format.,Kunne ikke importere skabelonen. Tjek filformatet.
Could not link task to milestone,Kunne ikke linke opgaven til milepael
Could not load document details.,Kunne ikke indlaese dokumentdetaljer.
Could not load task details,Kunne ikke indlaese opgavedetaljer
Could not promote checklist item to task.,Kunne ikke forfremme tjeklistepunkt til opgave.
Could not remove task from milestone,Kunne ikke fjerne opgaven fra milepael
Could not save budget.,Kunne ikke gemme budget.
Could not save changes to the milestone,Kunne ikke gemme aendringer i milepelen
Could not save changes to the task,Kunne ikke gemme aendringer i opgaven
Could not save description.,Kunne ikke gemme beskrivelse.
Could not save end date.,Kunne ikke gemme slutdato.
Could not save milestone name.,Kunne ikke gemme milepael-navn.
Could not save start date.,Kunne ikke gemme startdato.
Could not save the template. Please try again.,Kunne ikke gemme skabelonen. Proev igen.
Could not save title.,Kunne ikke gemme titel.
Could not update dependency mode.,Kunne ikke opdatere afhaengighedstilstand.
Could not update milestone date,Kunne ikke opdatere milepael-dato
Could not update project status.,Kunne ikke opdatere projektstatus.
Could not update project type.,Kunne ikke opdatere projekttype.
Could not update setting.,Kunne ikke opdatere indstilling.
Could not update task dates,Kunne ikke opdatere opgavedatoer
Could not update task status,Kunne ikke opdatere opgavestatus
Could not update the template.,Kunne ikke opdatere skabelonen.
Create a copy of this task,Opret en kopi af denne opgave
Create Contact,Opret kontakt
Create Event,Opret begivenhed
Create Milestone,Opret milepael
Create New Milestone,Opret ny milepael
Create New Task,Opret ny opgave
Create Project,Opret projekt
Create Task,Opret opgave
Create tasks and milestones from a template,Opret opgaver og milepaele fra en skabelon
Create your first project to get started.,Opret dit foerste projekt for at komme i gang.
Create your first task to start tracking work on this project.,Opret din foerste opgave for at begynde at foelge arbejdet i dette projekt.
Created,Oprettet
Creating...,Opretter...
Critical,Kritisk
Critical Path,Kritisk vej
"Currency used for budgets, costs, and billing rates","Valuta brugt til budgetter, omkostninger og faktureringssatser"
Current,Aktuel
Current Assignments,Aktuelle tildelinger
Current scheduled time:,Aktuel planlagt tid:
Currently running version,Currently running version
d lag,d forsinkelse
Daily Availability,Daglig tilgaengelighed
Daily Hours,Daglige timer
Danger Zone,Farezone
Dark,Moerk
Dashboard,Oversigt
Date,Dato
Date changes on this task will show cascade impact here,Datoaendringer pa denne opgave viser kaskadeeffekt her
Date cleared,Dato ryddet
Date of Joining,Tiltraedelsesdato
Date updated,Dato opdateret
Dates,Datoer
Dates cascaded,Datoer kaskaderet
Dates will be relative to the project's start date.,Datoer vil vaere relative til projektets startdato.
Day,Dag
day,dag
days,dage
Days before due date to send reminder,Dage foer forfaldsdato for at sende paamindelse
Days Overdue,Dage forsinket
Days Remaining,Dage tilbage
Deadline,Frist
Deadlines,Frister
Decision,Beslutning
Decline,Afvis
Declined,Afvist
Default Currency,Standardvaluta
Default hours per week for contact capacity planning,Standardtimer per uge for kontaktkapacitetsplanlaegning
Default Priority,Standardprioritet
Default Project Status,Standard projektstatus
Default Task Status,Standard opgavestatus
Default task view,Standardvisning for opgaver
Default Values,Standardvaerdier
Default Weekly Capacity,Standard ugekapacitet
Defaults,Standardvaerdier
Defect Cost Impact,Defektens omkostningspaavirkning
Defect name is required,Defektnavn er paakraevet
Defect Type,Defekttype
Defect {0} not found,Defekt {0} ikke fundet
Defects,Defekter
Defects & Issues,Defekter og problemer
Defects Resolved,Defekter udbedret
Delayed,Forsinket
Delete,Slet
Delete Activity Data,Slet aktivitetsdata
Delete all read notifications?,Slette alle laeste notifikationer?
Delete comment,Slet kommentar
Delete Contact,Slet kontakt
Delete Event,Slet begivenhed
Delete Event?,Slette begivenhed?
Delete failed,Sletning mislykkedes
Delete file,Slet fil
Delete item,Slet element
Delete note,Slet note
Delete Project,Slet projekt
Delete Task,Slet opgave
Delete this project,Slet dette projekt
Deleted,Slettet
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekt ""{0}"" slettet ({1} opgaver, {2} milepaele)"
Deletes notes and preferences. Source document is not affected.,Sletter noter og indstillinger. Kildedokumentet paavirkes ikke.
Deleting...,Sletter...
Department,Afdeling
Dependencies,Afhaengigheder
dependencies,afhaengigheder
Dependencies are informational only,Afhaengigheder er kun til information
dependency,afhaengighed
Dependency already exists,Afhaengighed eksisterer allerede
Dependency Chain,Afhaengighedskæde
Dependency created,Afhaengighed oprettet
Dependency mode updated,Afhaengighedstilstand opdateret
Dependency name is required,Afhaengighedsnavn er paakraevet
Dependency task {0} not found,Afhaengighedsopgave {0} ikke fundet
Dependency {0} not found,Afhaengighed {0} ikke fundet
depends,afhaenger
Depends on Group,Afhaenger af gruppe
Depends on task is required,Afhaengighedsopgave er paakraevet
depends on...,afhaenger af...
Descending -- click to reverse,Faldende -- klik for at vende om
Describe the defect in detail...,Beskriv defekten i detaljer...
Description,Beskrivelse
Description updated,Beskrivelse opdateret
Designation,Stilling
"Detailed description of the defect, location, and impact","Detaljeret beskrivelse af defekten, placering og paavirkning"
Details,Detaljer
Discard timer,Kassér tidtager
Discussion,Diskussion
Dismiss,Dismiss
Display,Visning
Document,Dokument
Document attached to project,Dokument vedhaengt projekt
Document final decision and rationale,Dokumenter endelig beslutning og begrundelse
Documentation Review,Dokumentationsgennemgang
Documents,Dokumenter
Done,Faerdig
Download,Download
Drag to create dependency,Traek for at oprette afhaengighed
Dry Run,Testkoesel
Dry Run Complete,Testkoesel faerdig
Due Date,Forfaldsdato
Due date,Forfaldsdato
Due Date (Earliest),Forfaldsdato (tidligst)
Due date cannot be before start date,Forfaldsdato kan ikke vaere foer startdato
Due date is in the past,Forfaldsdatoen er overskredet
Due Date Reminders,Paamindelser om forfaldsdato
Due Diligence,Forhaandsgennemgang
Due Diligence Checklist,Tjekliste for forhaandsgennemgang
Due This Week,Forfalder denne uge
Due:,Forfalder:
Duplicate events are not allowed,Duplikerede begivenheder er ikke tilladt
Duplicate failed,Kopiering mislykkedes
Duplicate Task,Kopiér opgave
Duration,Varighed
Duration Summary,Varighedsoversigt
Duration:,Varighed:
e.g. Cracked wall finish in bathroom...,f.eks. Revnet vaegoverflad i badevaerelse...
"e.g. Electrical, Plumbing...","f.eks. El, VVS..."
Edit,Rediger
Edit (E),Rediger (E)
Edit dependency,Rediger afhaengighed
Edit Event,Rediger begivenhed
Efficiency,Effektivitet
Either dependency_name or depends_on is required,Enten dependency_name eller depends_on er paakraevet
Email,E-mail
Email invitations to all attendees,E-mailinvitationer til alle deltagere
Email is required to create portal user,E-mail er paakraevet for at oprette portalbruger
Email notifications,E-mailnotifikationer
Employee,Medarbejder
Employee DocType not available,Medarbejder DocType ikke tilgaengelig
Employee not found,Medarbejder ikke fundet
Enable or disable optional features,Aktivér eller deaktivér valgfrie funktioner
Enable Time Tracking,Aktivér tidsregistrering
End,Slut
End Date,Slutdato
End date,Slutdato
End Date cannot be before Start Date,Slutdato kan ikke vaere foer startdato
End date cannot be before start date,Slutdato kan ikke vaere foer startdato
End date updated,Slutdato opdateret
End time was before start time. Adjusted to 1 hour after start.,Sluttidspunktet var foer starttidspunktet. Justeret til 1 time efter start.
End:,Slut:
Enter milestone name...,Indtast milepael-navn...
Enter project name,Indtast projektnavn
Enter task title...,Indtast opgavetitel...
Enter template name,Indtast skabelonnavn
Enter your note... Use @name to mention someone,Skriv din note... Brug @navn for at naevne nogen
Error,Fejl
Error loading activity,Fejl ved indlaesning af aktivitet
Error loading contacts,Fejl ved indlaesning af kontakter
Error loading dashboard,Fejl ved indlaesning af oversigt
Error loading project,Fejl ved indlaesning af projekt
Error loading projects,Fejl ved indlaesning af projekter
Error loading settings,Fejl ved indlaesning af indstillinger
Error loading tasks,Fejl ved indlaesning af opgaver
Error loading templates,Fejl ved indlaesning af skabeloner
Est. Hours,Est. timer
Estimated,Estimeret
Estimated Cost,Estimeret omkostning
Estimated Cost (€),Estimeret omkostning (€)
Estimated Hours,Estimerede timer
Estimated:,Estimeret:
Evaluate potential risks and concerns,Vurder potentielle risici og bekymringer
Event,Begivenhed
Event is required for event context,Begivenhed er paakraevet for begivenhedskontekst
Event is required when tracking context is 'event',"Begivenhed er paakraevet nar sporingskonteksten er ""begivenhed"""
Event Type,Begivenhedstype
Events,Begivenheder
Events not available. Please run: bench --site orga.localhost migrate,Begivenheder ikke tilgaengelige. Koer: bench --site orga.localhost migrate
Events:,Begivenheder:
Expert,Ekspert
Explain why you are proposing a different time...,Forklar hvorfor du foreslar et andet tidspunkt...
Export,Eksportér
Export failed,Eksport mislykkedes
Export JSON,Eksportér JSON
Exported,Eksporteret
Exported to timesheet {0},Eksporteret til tidsregistrering {0}
External,Ekstern
Failed to add item,Kunne ikke tilfoeje element
Failed to add note,Kunne ikke tilfoeje note
Failed to add skill,Kunne ikke tilfoeje kompetence
Failed to apply cascade changes: {0},Kunne ikke anvende kaskadeaendringer: {0}
Failed to create defect,Kunne ikke oprette defekt
Failed to create dependency,Kunne ikke oprette afhaengighed
Failed to create event,Kunne ikke oprette begivenhed
Failed to create milestone,Kunne ikke oprette milepael
Failed to create project,Kunne ikke oprette projekt
Failed to create task,Kunne ikke oprette opgave
Failed to create time log,Kunne ikke oprette tidspost
Failed to delete,Kunne ikke slette
Failed to delete comment,Kunne ikke slette kommentar
Failed to delete contact,Kunne ikke slette kontakt
Failed to load,Kunne ikke indlaese
Failed to load activity,Kunne ikke indlaese aktivitet
Failed to load assignments,Kunne ikke indlaese tildelinger
Failed to load contact,Kunne ikke indlaese kontakt
Failed to load dashboard data,Kunne ikke indlaese oversigtsdata
Failed to load defects,Kunne ikke indlaese defekter
Failed to load events,Kunne ikke indlaese begivenheder
Failed to load project,Kunne ikke indlaese projekt
Failed to load projects,Kunne ikke indlaese projekter
Failed to load report data,Kunne ikke indlaese rapportdata
Failed to load settings,Kunne ikke indlaese indstillinger
Failed to load tasks,Kunne ikke indlaese opgaver
Failed to move task,Kunne ikke flytte opgave
Failed to post comment,Kunne ikke publicere kommentar
Failed to propose new time,Kunne ikke foresla nyt tidspunkt
Failed to remove item,Kunne ikke fjerne element
Failed to remove skill,Kunne ikke fjerne kompetence
Failed to reorder milestones: {0},Kunne ikke omorganisere milepaele: {0}
Failed to reorder tasks: {0},Kunne ikke omorganisere opgaver: {0}
Failed to reschedule dependent tasks: {0},Kunne ikke omplanlaegge afhaengige opgaver: {0}
Failed to save,Kunne ikke gemme
Failed to save preferences,Kunne ikke gemme indstillinger
Failed to save settings,Kunne ikke gemme indstillinger
Failed to submit request. Please try again.,Kunne ikke sende anmodningen. Proev igen.
Failed to update item,Kunne ikke opdatere element
Failed to update priority,Kunne ikke opdatere prioritet
Failed to update task,Kunne ikke opdatere opgave
Failed to update tasks: {0},Kunne ikke opdatere opgaver: {0}
Failed to upload avatar,Kunne ikke uploade profilbillede
Feature,Funktion
Features,Funktioner
FF (Finish-Finish),FF (Slut-Slut)
FF - Finish-to-Finish,FF - Slut-til-Slut
Field has been updated,Feltet er opdateret
Field name is required for 'Set Field Value' action,"Feltnavn er paakraevet for handlingen ""Angiv feltvaerdi"""
Field {0} is not a Link field,Felt {0} er ikke et linkfelt
Field {0} not found in {1},Felt {0} ikke fundet i {1}
File,Fil
file,fil
File does not belong to this task,Filen tilhoerer ikke denne opgave
File name is required,Filnavn er paakraevet
File uploaded,Fil uploadet
File {0} not found,Fil {0} ikke fundet
Files,Filer
files,filer
Filter,Filter
Final Decision,Endelig beslutning
Finance,Oekonomi
Financial,Oekonomisk
Finish-to-Finish,Slut-til-Slut
Finish-to-Start,Slut-til-Start
Flag,Flag
Flag for attention,Flag for opmaerksomhed
Flagged,Flagget
Focus Panel,Fokuspanel
Follows your system preference. Currently:,Foelger din systemindstilling. Pt.:
Frappe Project {0} not found,Frappe-projekt {0} ikke fundet
Frappe Projects Migration,Frappe Projects-migrering
Frappe Projects module not available,Frappe Projects-modulet er ikke tilgaengeligt
Frappe Projects module not installed,Frappe Projects-modulet er ikke installeret
Frappe Projects sync is not enabled,Frappe Projects-synkronisering er ikke aktiveret
Frappe Task DocType not found,Frappe Task DocType ikke fundet
Frappe Task has no project,Frappe-opgaven har intet projekt
Frappe Task {0} not found,Frappe-opgave {0} ikke fundet
Fri,Fre
From,Fra
From Template,Fra skabelon
FS (Finish-Start),FS (Slut-Start)
FS - Finish-to-Start (default),FS - Slut-til-Start (standard)
Full form view with audit trail,Komplet formularvisning med aendringslog
Full name,Fulde navn
Gantt,Gantt
Gantt Chart,Gantt-diagram
Gantt View,Gantt-visning
General Note,Generel note
Get started,Kom i gang
Go back,Ga tilbage
Go Back,Go Back
Group by,Gruppér efter
Group dependency removed,Gruppeafhaengighed fjernet
Group dependency set,Gruppeafhaengighed angivet
Group removed,Gruppe fjernet
Group updated,Gruppe opdateret
Hammock task dates are auto-calculated and cannot be changed manually,Haengekoejeoppgavedatoer beregnes automatisk og kan ikke aendres manuelt
Have a question or need assistance? Fill out the form below and our team will get back to you.,"Har du et spoergsmaal eller brug for hjaelp? Udfyld formularen nedenfor, sa kontakter vi dig."
Health,Sundhed
Healthy,Sund
Hello {0},Hej {0}
Here's what's happening with your projects today.,Her er hvad der sker med dine projekter i dag.
Hide,Skjul
High,Hoej
History,Historik
Home,Hjem
Hourly Cost,Timeomkostning
Hours,Timer
hours,timer
Hours Logged,Registrerede timer
ID,ID
Image must be smaller than 5 MB,Billedet skal vaere mindre end 5 MB
Import,Importér
Import existing projects and tasks from Frappe Projects module,Importér eksisterende projekter og opgaver fra Frappe Projects-modulet
Import failed,Import mislykkedes
Import Template,Importér skabelon
Imported,Importeret
in,i
In Progress,I gang
In Review,Under gennemgang
In-app notifications,Notifikationer i appen
Inactive,Inaktiv
Initial Review,Indledende gennemgang
Installed Version,Installed Version
Insufficient permissions to view all tasks,Utilstraekkelige tilladelser til at vise alle opgaver
Intermediate,Mellemniveau
Internal,Intern
Invalid DocType,Ugyldigt DocType
Invalid DocType for import,Ugyldigt DocType til import
Invalid item type: {0},Ugyldig elementtype: {0}
Invalid JSON data,Ugyldige JSON-data
Invalid note type. Must be one of: {0},Ugyldig notetype. Skal vaere en af: {0}
Invalid project reference,Ugyldig projektreference
Invalid reaction type. Must be one of: {0},Ugyldig reaktionstype. Skal vaere en af: {0}
Invalid RSVP status,Ugyldig RSVP-status
Invalid status. Must be one of: {0},Ugyldig status. Skal vaere en af: {0}
Invalid status: {0},Ugyldig status: {0}
Invalid status: {0}. Must be one of: {1},Ugyldig status: {0}. Skal vaere en af: {1}
Invalid tracking context: {0},Ugyldig sporingskontekst: {0}
Invalid visibility. Must be one of: {0},Ugyldig synlighed. Skal vaere en af: {0}
Invitation: {0} - {1} at {2},Invitation: {0} - {1} kl. {2}
Invite People,Inviter personer
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element tilfojet
Item ID is required,Element-ID er paakraevet
Item removed,Element fjernet
Item type is required,Elementtype er paakraevet
Item {0} not found,Element {0} ikke fundet
Job title or role,Jobtitel eller rolle
Join Meeting,Deltag i moede
Just now,Lige nu
just now,lige nu
Kanban,Kanban
Kanban Board,Kanban-tavle
Kanban View,Kanban-visning
Keyboard Shortcuts,Tastaturgenveje
Keyboard shortcuts (?),Tastaturgenveje (?)
Last checked: {0},Last checked: {0}
Last Updated,Sidst opdateret
