+ Add Milestone,+ Добавить веху
Checking...,Checking...
Checklist,Список
Checklist item name is required,Название пункта списка обязательно
Checklist item not found,Пункт списка не найден
Checklist item title is required,Заголовок пункта списка обязателен
Checklist item {0} not found,Пункт списка {0} не найден
Checklist item {0} not found in task,Пункт списка {0} не найден в задаче
Child,Дочерний
Choose file to upload,Выберите файл для загрузки
Circular dependency detected: {0},Обнаружена циклическая зависимость: {0}
Circular parent-child relationship detected,Обнаружена циклическая связь «родитель-потомок»
Clear,Очистить
Clear all read,Очистить все прочитанные
Clear date,Очистить дату
Click on an activity from the list to view and manage its details.,Нажмите на активность из списка для просмотра и управления её деталями.
Click the avatar to upload a new photo,Нажмите на аватар для загрузки нового фото
Click to add description...,Нажмите для добавления описания...
Click to add notes...,Нажмите для добавления заметок...
Click to assign contact,Нажмите для назначения контакта
Click to change status,Нажмите для изменения статуса
Click to change type,Нажмите для изменения типа
Click to edit,Нажмите для редактирования
Click to edit budget,Нажмите для редактирования бюджета
Click to edit description,Нажмите для редактирования описания
Click to edit end date,Нажмите для редактирования даты окончания
Click to edit milestone name,Нажмите для редактирования названия вехи
Click to edit rate,Нажмите для редактирования ставки
Click to edit start date,Нажмите для редактирования даты начала
Click to edit title,Нажмите для редактирования заголовка
Click to load,Нажмите для загрузки
Click to set group dependency...,Нажмите для указания групповой зависимости...
Click to set group...,Нажмите для указания группы...
Click to view,Нажмите для просмотра
Click to view at-risk projects,Нажмите для просмотра проектов под угрозой
Click to view critical projects,Нажмите для просмотра критических проектов
Click to view healthy projects,Нажмите для просмотра проектов в норме
Client,Клиент
Client already has a portal user: {0},У клиента уже есть пользователь портала: {0}
Client already has portal access,У клиента уже есть доступ к порталу
Client has no portal user to revoke,У клиента нет пользователя портала для отзыва
Client link removed from project {0},Связь с клиентом удалена из проекта {0}
Client Portal,Клиентский портал
Client {0} deleted successfully,Клиент {0} успешно удалён
Close,Закрыть
Close (Esc),Закрыть (Esc)
Comment,Комментарий
comment,комментарий
Comment added,Комментарий добавлен
Comment content is required,Содержание комментария обязательно
Comment name is required,Название комментария обязательно
Comment not found,Комментарий не найден
Comment removed,Комментарий удалён
Comment {0} not found in task,Комментарий {0} не найден в задаче
Comments,Комментарии
comments,комментарии
Community Edition,Community Edition
Company,Компания
Company name...,Название компании...
Complete,Завершить
Completed,Завершено
completed,завершено
Completed Tasks,Завершённые задачи
Compliance,Соответствие
Configure default values for new projects and tasks,Настроить значения по умолчанию для новых проектов и задач
Configure email notification settings,Настроить параметры уведомлений по электронной почте
Confirm,Подтвердить
Contact deleted,Контакт удалён
Contact Details,Контактные данные
Contact Information,Контактная информация
Contact name is required,Имя контакта обязательно
Contact Support,Связаться с поддержкой
Contact your project manager for more information.,Свяжитесь с вашим руководителем проекта для получения дополнительной информации.
Contact:,Контакт:
Contacts,Контакты
Context,Контекст
Contractor,Подрядчик
Cost estimate cannot be negative,Оценка стоимости не может быть отрицательной
Cost Impact,Влияние на стоимость
Cost Summary,Сводка по стоимости
Could not apply the template. Please try again.,Не удалось применить шаблон. Пожалуйста
Could not attach file to project,Не удалось прикрепить файл к проекту
Could not change task priority,Не удалось изменить приоритет задачи
Could not change task status,Не удалось изменить статус задачи
Could not delete the project. Please try again.,Не удалось удалить проект. Пожалуйста
Could not delete the task. Please try again.,Не удалось удалить задачу. Пожалуйста
Could not delete the template.,Не удалось удалить шаблон.
Could not duplicate the task. Please try again.,Не удалось дублировать задачу. Пожалуйста
Could not export the template.,Не удалось экспортировать шаблон.
Could not import the template. Please check the file format.,Не удалось импортировать шаблон. Проверьте формат файла.
Could not link task to milestone,Не удалось связать задачу с вехой
Could not load document details.,Не удалось загрузить детали документа.
Could not load task details,Не удалось загрузить детали задачи
Could not promote checklist item to task.,Не удалось преобразовать пункт списка в задачу.
Could not remove task from milestone,Не удалось отвязать задачу от вехи
Could not save budget.,Не удалось сохранить бюджет.
Could not save changes to the milestone,Не удалось сохранить изменения вехи
Could not save changes to the task,Не удалось сохранить изменения задачи
Could not save description.,Не удалось сохранить описание.
Could not save end date.,Не удалось сохранить дату окончания.
Could not save milestone name.,Не удалось сохранить название вехи.
Could not save start date.,Не удалось сохранить дату начала.
Could not save the template. Please try again.,Не удалось сохранить шаблон. Пожалуйста
Could not save title.,Не удалось сохранить заголовок.
Could not update dependency mode.,Не удалось обновить режим зависимости.
Could not update milestone date,Не удалось обновить дату вехи
Could not update project status.,Не удалось обновить статус проекта.
Could not update project type.,Не удалось обновить тип проекта.
Could not update setting.,Не удалось обновить настройку.
Could not update task dates,Не удалось обновить даты задачи
Could not update task status,Не удалось обновить статус задачи
Could not update the template.,Не удалось обновить шаблон.
Create a copy of this task,Создать копию этой задачи
Create Contact,Создать контакт
Create Event,Создать событие
Create Milestone,Создать веху
Create New Milestone,Создать новую веху
Create New Task,Создать новую задачу
Create Project,Создать проект
Create Task,Создать задачу
Create tasks and milestones from a template,Создать задачи и вехи из шаблона
Create your first project to get started.,Создайте ваш первый проект для начала работы.
Create your first task to start tracking work on this project.,Создайте первую задачу для начала отслеживания работы над этим проектом.
Created,Создано
Creating...,Создание...
Critical,Критический
Critical Path,Критический путь
"Currency used for budgets, costs, and billing rates","Валюта для бюджетов, затрат и ставок оплаты"
Current,Текущий
Current Assignments,Текущие назначения
Current scheduled time:,Текущее запланированное время:
Currently running version,Currently running version
d lag,д задержки
Daily Availability,Ежедневная доступность
Daily Hours,Часов в день
Danger Zone,Опасная зона
Dark,Тёмная
Dashboard,Панель управления
Date,Дата
Date changes on this task will show cascade impact here,Изменения дат этой задачи покажут каскадное влияние здесь
Date cleared,Дата очищена
Date of Joining,Дата присоединения
Date updated,Дата обновлена
Dates,Даты
Dates cascaded,Даты каскадированы
Dates will be relative to the project's start date.,Даты будут относительными к дате начала проекта.
Day,День
day,день
days,дней
Days before due date to send reminder,За сколько дней до срока отправлять напоминание
Days Overdue,Дней просрочки
Days Remaining,Дней осталось
Deadline,Крайний срок
Deadlines,Сроки
Decision,Решение
Decline,Отклонить
Declined,Отклонено
Default Currency,Валюта по умолчанию
Default hours per week for contact capacity planning,Часов в неделю по умолчанию для планирования нагрузки контактов
Default Priority,Приоритет по умолчанию
Default Project Status,Статус проекта по умолчанию
Default Task Status,Статус задачи по умолчанию
Default task view,Вид задач по умолчанию
Default Values,Значения по умолчанию
Default Weekly Capacity,Нагрузка в неделю по умолчанию
Defaults,Значения по умолчанию
Defect Cost Impact,Финансовые последствия дефекта
Defect name is required,Название дефекта обязательно
Defect Type,Тип дефекта
Defect {0} not found,Дефект {0} не найден
Defects,Дефекты
Defects & Issues,Дефекты и проблемы
Defects Resolved,Дефекты устранены
Delayed,С задержкой
Delete,Удалить
Delete Activity Data,Удалить данные активности
Delete all read notifications?,Удалить все прочитанные уведомления?
Delete comment,Удалить комментарий
Delete Contact,Удалить контакт
Delete Event,Удалить событие
Delete Event?,Удалить событие?
Delete failed,Не удалось удалить
Delete file,Удалить файл
Delete item,Удалить элемент
Delete note,Удалить заметку
Delete Project,Удалить проект
Delete Task,Удалить задачу
Delete this project,Удалить этот проект
Deleted,Удалено
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Проект ""{0}"" удалён ({1} задач, {2} вех)"
Deletes notes and preferences. Source document is not affected.,Удаляет заметки и настройки. Исходный документ не затрагивается.
Deleting...,Удаление...
Department,Отдел
Dependencies,Зависимости
dependencies,зависимости
Dependencies are informational only,Зависимости носят информационный характер
dependency,зависимость
Dependency already exists,Зависимость уже существует
Dependency Chain,Цепочка зависимостей
Dependency created,Зависимость создана
Dependency mode updated,Режим зависимости обновлён
Dependency name is required,Название зависимости обязательно
Dependency task {0} not found,Зависимая задача {0} не найдена
Dependency {0} not found,Зависимость {0} не найдена
depends,зависит
Depends on Group,Зависит от группы
Depends on task is required,Зависимая задача обязательна
depends on...,зависит от...
Descending -- click to reverse,По убыванию — нажмите для обратного порядка
Describe the defect in detail...,Подробно опишите дефект...
Description,Описание
Description updated,Описание обновлено
Designation,Должность
"Detailed description of the defect, location, and impact","Подробное описание дефекта, его расположения и последствий"
Details,Подробности
Discard timer,Сбросить таймер
Discussion,Обсуждение
Dismiss,Dismiss
Display,Отображение
Document,Документ
Document attached to project,Документ прикреплён к проекту
Document final decision and rationale,Зафиксировать окончательное решение и обоснование
Documentation Review,Проверка документации
Documents,Документы
Done,Готово
Download,Скачать
Drag to create dependency,Перетащите для создания зависимости
Dry Run,Пробный запуск
Dry Run Complete,Пробный запуск завершён
Due Date,Срок выполнения
Due date,Срок выполнения
Due Date (Earliest),Срок выполнения (ближайший)
Due date cannot be before start date,Срок выполнения не может быть раньше даты начала
Due date is in the past,Срок выполнения в прошлом
Due Date Reminders,Напоминания о сроках
Due Diligence,Проверка
Due Diligence Checklist,Список проверки
Due This Week,Срок на этой неделе
Due:,Срок:
Duplicate events are not allowed,Дублирование событий не допускается
Duplicate failed,Не удалось дублировать
Duplicate Task,Дублировать задачу
Duration,Длительность
Duration Summary,Сводка по длительности
Duration:,Длительность:
e.g. Cracked wall finish in bathroom...,напр. Трещина в отделке стены в ванной комнате...
"e.g. Electrical, Plumbing...","напр. Электрика, Сантехника..."
Edit,Редактировать
Edit (E),Редактировать (E)
Edit dependency,Редактировать зависимость
Edit Event,Редактировать событие
Efficiency,Эффективность
Either dependency_name or depends_on is required,Требуется dependency_name или depends_on
Email,Электронная почта
Email invitations to all attendees,Отправить приглашения по электронной почте всем участникам
Email is required to create portal user,Для создания пользователя портала требуется электронная почта
Email notifications,Уведомления по электронной почте
Employee,Сотрудник
Employee DocType not available,DocType «Сотрудник» недоступен
Employee not found,Сотрудник не найден
Enable or disable optional features,Включить или отключить необязательные функции
Enable Time Tracking,Включить учёт времени
End,Конец
End Date,Дата окончания
End date,Дата окончания
End Date cannot be before Start Date,Дата окончания не может быть раньше даты начала
End date cannot be before start date,Дата окончания не может быть раньше даты начала
End date updated,Дата окончания обновлена
End time was before start time. Adjusted to 1 hour after start.,Время окончания было раньше времени начала. Скорректировано на 1 час после начала.
End:,Конец:
Enter milestone name...,Введите название вехи...
Enter project name,Введите название проекта
Enter task title...,Введите заголовок задачи...
Enter template name,Введите название шаблона
Enter your note... Use @name to mention someone,Введите заметку... Используйте @имя для упоминания
Error,Ошибка
Error loading activity,Ошибка при загрузке активности
Error loading contacts,Ошибка при загрузке контактов
Error loading dashboard,Ошибка при загрузке панели управления
Error loading project,Ошибка при загрузке проекта
Error loading projects,Ошибка при загрузке проектов
Error loading settings,Ошибка при загрузке настроек
Error loading tasks,Ошибка при загрузке задач
Error loading templates,Ошибка при загрузке шаблонов
Est. Hours,Расч. часы
Estimated,Расчётный
Estimated Cost,Расчётная стоимость
Estimated Cost (€),Расчётная стоимость (€)
Estimated Hours,Расчётные часы
Estimated:,Расчётное:
Evaluate potential risks and concerns,Оценить возможные риски и проблемы
Event,Событие
Event is required for event context,Событие обязательно для контекста события
Event is required when tracking context is 'event',"Событие обязательно, когда контекст отслеживания — «событие»"
Event Type,Тип события
Events,События
Events not available. Please run: bench --site orga.localhost migrate,События недоступны. Выполните: bench --site orga.localhost migrate
Events:,События:
Expert,Эксперт
Explain why you are proposing a different time...,Объясните
Export,Экспорт
Export failed,Не удалось экспортировать
Export JSON,Экспорт JSON
Exported,Экспортировано
Exported to timesheet {0},Экспортировано в табель {0}
External,Внешний
Failed to add item,Не удалось добавить элемент
Failed to add note,Не удалось добавить заметку
Failed to add skill,Не удалось добавить навык
Failed to apply cascade changes: {0},Не удалось применить каскадные изменения: {0}
Failed to create defect,Не удалось создать дефект
Failed to create dependency,Не удалось создать зависимость
Failed to create event,Не удалось создать событие
Failed to create milestone,Не удалось создать веху
Failed to create project,Не удалось создать проект
Failed to create task,Не удалось создать задачу
Failed to create time log,Не удалось создать запись времени
Failed to delete,Не удалось удалить
Failed to delete comment,Не удалось удалить комментарий
Failed to delete contact,Не удалось удалить контакт
Failed to load,Не удалось загрузить
Failed to load activity,Не удалось загрузить активность
Failed to load assignments,Не удалось загрузить назначения
Failed to load contact,Не удалось загрузить контакт
Failed to load dashboard data,Не удалось загрузить данные панели управления
Failed to load defects,Не удалось загрузить дефекты
Failed to load events,Не удалось загрузить события
Failed to load project,Не удалось загрузить проект
Failed to load projects,Не удалось загрузить проекты
Failed to load report data,Не удалось загрузить данные отчёта
Failed to load settings,Не удалось загрузить настройки
Failed to load tasks,Не удалось загрузить задачи
Failed to move task,Не удалось переместить задачу
Failed to post comment,Не удалось опубликовать комментарий
Failed to propose new time,Не удалось предложить новое время
Failed to remove item,Не удалось удалить элемент
Failed to remove skill,Не удалось удалить навык
Failed to reorder milestones: {0},Не удалось переупорядочить вехи: {0}
Failed to reorder tasks: {0},Не удалось переупорядочить задачи: {0}
Failed to reschedule dependent tasks: {0},Не удалось перепланировать зависимые задачи: {0}
Failed to save,Не удалось сохранить
Failed to save preferences,Не удалось сохранить настройки
Failed to save settings,Не удалось сохранить настройки
Failed to submit request. Please try again.,Не удалось отправить запрос. Пожалуйста
Failed to update item,Не удалось обновить элемент
Failed to update priority,Не удалось обновить приоритет
Failed to update task,Не удалось обновить задачу
Failed to update tasks: {0},Не удалось обновить задачи: {0}
Failed to upload avatar,Не удалось загрузить аватар
Feature,Функция
Features,Функции
FF (Finish-Finish),FF (Финиш-Финиш)
FF - Finish-to-Finish,FF — Финиш-Финиш
Field has been updated,Поле обновлено
Field name is required for 'Set Field Value' action,Имя поля обязательно для действия «Задать значение поля»
Field {0} is not a Link field,Поле {0} не является полем-ссылкой
Field {0} not found in {1},Поле {0} не найдено в {1}
File,Файл
file,файл
File does not belong to this task,Файл не относится к этой задаче
File name is required,Имя файла обязательно
File uploaded,Файл загружен
File {0} not found,Файл {0} не найден
Files,Файлы
files,файлы
Filter,Фильтр
Final Decision,Окончательное решение
Finance,Финансы
Financial,Финансовый
Finish-to-Finish,Финиш-Финиш
Finish-to-Start,Финиш-Старт
Flag,Отметить
Flag for attention,Отметить как важное
Flagged,Отмечено
Focus Panel,Панель фокуса
Follows your system preference. Currently:,Следует настройке вашей системы. Сейчас:
Frappe Project {0} not found,Проект Frappe {0} не найден
Frappe Projects Migration,Перенос Frappe Projects
Frappe Projects module not available,Модуль Frappe Projects недоступен
Frappe Projects module not installed,Модуль Frappe Projects не установлен
Frappe Projects sync is not enabled,Синхронизация с Frappe Projects не включена
Frappe Task DocType not found,DocType задачи Frappe не найден
Frappe Task has no project,Задача Frappe не связана с проектом
Frappe Task {0} not found,Задача Frappe {0} не найдена
Fri,Пт
From,От
From Template,Из шаблона
FS (Finish-Start),FS (Финиш-Старт)
FS - Finish-to-Start (default),FS — Финиш-Старт (по умолчанию)
Full form view with audit trail,Полный вид формы с журналом действий
Full name,Полное имя
Gantt,Gantt
Gantt Chart,Диаграмма Gantt
Gantt View,Вид Gantt
General Note,Общая заметка
Get started,Начать
Go back,Вернуться
Go Back,Назад
Group by,Группировать по
Group dependency removed,Групповая зависимость удалена
Group dependency set,Групповая зависимость установлена
Group removed,Группа удалена
Group updated,Группа обновлена
Hammock task dates are auto-calculated and cannot be changed manually,Даты задач-гамаков рассчитываются автоматически и не могут быть изменены вручную
Have a question or need assistance? Fill out the form below and our team will get back to you.,"Есть вопрос или нужна помощь? Заполните форму ниже, и наша команда свяжется с вами."
Health,Состояние
Healthy,В норме
Hello {0},Здравствуйте {0}
Here's what's happening with your projects today.,Вот что происходит с вашими проектами сегодня.
Hide,Скрыть
High,Высокий
History,История
Home,Главная
Hourly Cost,Почасовая стоимость
Hours,Часы
hours,часы
Hours Logged,Записано часов
ID,ID
Image must be smaller than 5 MB,Изображение должно быть меньше 5 МБ
Import,Импорт
Import existing projects and tasks from Frappe Projects module,Импортировать существующие проекты и задачи из модуля Frappe Projects
Import failed,Не удалось импортировать
Import Template,Импортировать шаблон
Imported,Импортировано
in,в
In Progress,В работе
In Review,На проверке
In-app notifications,Уведомления в приложении
Inactive,Неактивный
Initial Review,Первичная проверка
Installed Version,Installed Version
Insufficient permissions to view all tasks,Недостаточно прав для просмотра всех задач
Intermediate,Средний уровень
Internal,Внутренний
Invalid DocType,Неверный DocType
Invalid DocType for import,Неверный DocType для импорта
Invalid item type: {0},Неверный тип элемента: {0}
Invalid JSON data,Неверные данные JSON
Invalid note type. Must be one of: {0},Неверный тип заметки. Должен быть одним из: {0}
Invalid project reference,Неверная ссылка на проект
Invalid reaction type. Must be one of: {0},Неверный тип реакции. Должен быть одним из: {0}
Invalid RSVP status,Неверный статус RSVP
Invalid status. Must be one of: {0},Неверный статус. Должен быть одним из: {0}
Invalid status: {0},Неверный статус: {0}
Invalid status: {0}. Must be one of: {1},Неверный статус: {0}. Должен быть одним из: {1}
Invalid tracking context: {0},Неверный контекст отслеживания: {0}
Invalid visibility. Must be one of: {0},Неверная видимость. Должна быть одной из: {0}
Invitation: {0} - {1} at {2},Приглашение: {0} — {1} в {2}
Invite People,Пригласить людей
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","Дело не в вас, а в ссылке. Страница, которую вы ищете, возможно, была перемещена, переименована или ушла на заслуженный перерыв на кофе. Ваши проекты и данные в полной безопасности."
Item added,Элемент добавлен
Item ID is required,Идентификатор элемента обязателен
Item removed,Элемент удалён
Item type is required,Тип элемента обязателен
Item {0} not found,Элемент {0} не найден
Job title or role,Должность или роль
Join Meeting,Присоединиться к встрече
Just now,Только что
just now,только что
Kanban,Kanban
Kanban Board,Доска Kanban
Kanban View,Вид Kanban
Keyboard Shortcuts,Сочетания клавиш
Keyboard shortcuts (?),Сочетания клавиш (?)
Last checked: {0},Last checked: {0}
Last Updated,Последнее обновление
Last updated:,Последнее обновление:
Last Week,Прошлая неделя
Latest Version,Latest Version
Light,Светлая
Link failed,Не удалось связать
Link Task,Связать задачу
Linked,Связано
Linked employee not found,Связанный сотрудник не найден
Linked Tasks,Связанные задачи
List,Список
List View,Вид списка
Load failed,Не удалось загрузить
Load More,Загрузить ещё
Load more comments,Загрузить ещё комментарии
Loading activity...,Загрузка активности...
Loading changes...,Загрузка изменений...
Loading checklist...,Загрузка списка...
Loading comments...,Загрузка комментариев...
Loading contact...,Загрузка контакта...
Loading contacts...,Загрузка контактов...
Loading dependencies...,Загрузка зависимостей...
Loading details...,Загрузка подробностей...
Loading discussion...,Загрузка обсуждения...
Loading events...,Загрузка событий...
Loading files...,Загрузка файлов...
Loading notes...,Загрузка заметок...
Loading preferences...,Загрузка настроек...
Loading project...,Загрузка проекта...
Loading projects...,Загрузка проектов...
Loading replies...,Загрузка ответов...
Loading report data...,Загрузка данных отчёта...
Loading settings...,Загрузка настроек...
Loading task...,Загрузка задачи...
Loading templates...,Загрузка шаблонов...
Loading time logs...,Загрузка записей времени...
Loading your portal...,Загрузка вашего портала...
Loading...,Загрузка...
Location,Местоположение
Log Time,Записать время
Logout,Выйти
Low,Низкий
Make Offer,Сделать предложение
Manager,Руководитель
Manual Entry,Ввод вручную
Margin,Маржа
Mark all as read,Отметить все как прочитанные
Mark all read,Отметить все как прочитанные
Mark as read,Отметить как прочитанное
Mark as unread,Отметить как непрочитанное
Mark read,Отметить как прочитанное
Marking...,Отметка...
Material,Материал
Maybe,Возможно
Medium,Средний
Meeting,Совещание
Meeting Link,Ссылка на совещание
Meeting title,Название совещания
Meeting URL,Ссылка на совещание
Meetings,Совещания
Mention,Упоминание
Message,Сообщение
Message is required,Сообщение обязательно
Message is required for '{0}' action,Сообщение обязательно для действия «{0}»
Migrate,Перенести
Migration Complete,Перенос завершён
Migration ID:,ID переноса:
Migration log not found: {0},Журнал переноса не найден: {0}
Milestone,Веха
milestone,веха
Milestone created,Веха создана
Milestone description has been saved.,Описание вехи сохранено.
Milestone ID is required,Идентификатор вехи обязателен
Milestone marked as Missed (past due date),Веха отмечена как пропущенная (срок истёк)
Milestone moved,Веха перемещена
