+ Add Milestone,+ مایلسټون اضافه کړئ
Both task_name and depends_on are required,دواړه task_name او depends_on اړین دي
Breadcrumb,لارښوونې
Brief description of the defect or damage,د نیمګړتیا یا زیان لنډ تشریح
Brief description of this template,د دې کینډۍ لنډ تشریح
Brief description of your request,ستاسو د غوښتنې لنډ تشریح
Brief project description,د پروژې لنډ تشریح
Budget,بودجه
Budget at risk,بودجه په خطر کې ده
Budget Burn Rate,د بودجې مصرف نرخ
Budget Status,د بودجې حالت
Budget updated,بودجه تازه شوه
Budget:,بودجه:
Bug,تېروتنه
Burn Rate,د مصرف نرخ
Busy,بوخت
By,له خوا
By Assignee,د ټاکل شوي کس له مخې
By Group,د ګروپ له مخې
By Milestone,د مایلسټون له مخې
By Priority,د لومړیتوب له مخې
By Status,د حالت له مخې
Cancel,لغوه کړئ
Cancelled,لغوه شوی
cannot be undone,نشي بیرته راوړل کیدی
Cannot delete client with {0} linked projects. Unlink projects first.,پیرودونکی د {0} تړل شوو پروژو سره نشي حذف کیدی. لومړی پروژې جلا کړئ.
Cannot delete project with {0} linked tasks. Delete tasks first.,پروژه د {0} تړل شوو دندو سره نشي حذف کیدی. لومړی دندې حذف کړئ.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,سرچینه د {0} فعالو دندو ورکونو سره نشي حذف کیدی. لومړی یې بشپړ یا لغوه کړئ.
Cannot delete task with {0} subtasks. Delete subtasks first.,دنده د {0} فرعي دندو سره نشي حذف کیدی. لومړی فرعي دندې حذف کړئ.
Capacity,ظرفیت
capacity,ظرفیت
Capacity & Rates,ظرفیت او نرخونه
Capture project structure for reuse,د بیا کارونې لپاره د پروژې جوړښت ثبت کړئ
Cascade,آبشار
Cascade Preview,د آبشار مخلید
Category,کتګوري
Celebrate,ولمانځئ
Change,بدل کړئ
Change History,د بدلون تاریخچه
Change Priority,لومړیتوب بدل کړئ
Change Status,حالت بدل کړئ
Changes,بدلونونه
Changes appear when fields are modified.,بدلونونه ښکاره کیږي کله چې ساحې تعدیل شي.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,کتنې لیست
Checklist item name is required,د کتنې لیست د توکي نوم اړین دی
Checklist item not found,د کتنې لیست توکی ونه موندل شو
Checklist item title is required,د کتنې لیست د توکي سرلیک اړین دی
Checklist item {0} not found,د کتنې لیست توکی {0} ونه موندل شو
Checklist item {0} not found in task,د کتنې لیست توکی {0} په دنده کې ونه موندل شو
Child,فرعي
Choose file to upload,د پورته کولو لپاره دوتنه غوره کړئ
Circular dependency detected: {0},دوراني انحصار وموندل شو: {0}
Circular parent-child relationship detected,دوراني مور-ماشوم اړیکه وموندل شوه
Clear,پاک کړئ
Clear all read,ټول لوستل شوي پاک کړئ
Clear date,نیټه پاکه کړئ
Click on an activity from the list to view and manage its details.,د جزئیاتو لیدلو او مدیریت لپاره له لیست څخه یو فعالیت باندې کلیک وکړئ.
Click the avatar to upload a new photo,د نوي انځور پورته کولو لپاره په انځور باندې کلیک وکړئ
Click to add description...,د تشریح اضافه کولو لپاره کلیک وکړئ...
Click to add notes...,د یادښتونو اضافه کولو لپاره کلیک وکړئ...
Click to assign contact,د اړیکې ټاکلو لپاره کلیک وکړئ
Click to change status,د حالت بدلولو لپاره کلیک وکړئ
Click to change type,د ډول بدلولو لپاره کلیک وکړئ
Click to edit,د سمون لپاره کلیک وکړئ
Click to edit budget,د بودجې سمون لپاره کلیک وکړئ
Click to edit description,د تشریح سمون لپاره کلیک وکړئ
Click to edit end date,د پای نیټې سمون لپاره کلیک وکړئ
Click to edit milestone name,د مایلسټون نوم سمون لپاره کلیک وکړئ
Click to edit rate,د نرخ سمون لپاره کلیک وکړئ
Click to edit start date,د پیل نیټې سمون لپاره کلیک وکړئ
Click to edit title,د سرلیک سمون لپاره کلیک وکړئ
Click to load,د بارولو لپاره کلیک وکړئ
Click to set group dependency...,د ګروپ انحصار ټاکلو لپاره کلیک وکړئ...
Click to set group...,د ګروپ ټاکلو لپاره کلیک وکړئ...
Click to view,د لیدلو لپاره کلیک وکړئ
Click to view at-risk projects,په خطر کې پروژې لیدلو لپاره کلیک وکړئ
Click to view critical projects,مهمې پروژې لیدلو لپاره کلیک وکړئ
Click to view healthy projects,سالمې پروژې لیدلو لپاره کلیک وکړئ
Client,پیرودونکی
Client already has a portal user: {0},پیرودونکی لا دمخه د پورټل کارونکی لري: {0}
Client already has portal access,پیرودونکی لا دمخه پورټل ته لاسرسی لري
Client has no portal user to revoke,پیرودونکی د لغوه کولو لپاره هیڅ پورټل کارونکی نلري
Client link removed from project {0},د پیرودونکي تړنه له پروژې {0} څخه لرې شوه
Client Portal,د پیرودونکي پورټل
Client {0} deleted successfully,پیرودونکی {0} په بریالیتوب سره حذف شو
Close,وتړئ
Close (Esc),وتړئ (Esc)
Comment,نظر
comment,نظر
Comment added,نظر اضافه شو
Comment content is required,د نظر منځپانګه اړینه ده
Comment name is required,د نظر نوم اړین دی
Comment not found,نظر ونه موندل شو
Comment removed,نظر لرې شو
Comment {0} not found in task,نظر {0} په دنده کې ونه موندل شو
Comments,نظرونه
comments,نظرونه
Community Edition,Community Edition
Company,شرکت
Company name...,د شرکت نوم...
Complete,بشپړ کړئ
Completed,بشپړ شوی
completed,بشپړ شوی
Completed Tasks,بشپړ شوې دندې
Compliance,انطباق
Configure default values for new projects and tasks,د نویو پروژو او دندو لپاره اصلي ارزښتونه تنظیم کړئ
Configure email notification settings,د بریښنالیک خبرتیا تنظیمات تنظیم کړئ
Confirm,تایید کړئ
Contact deleted,اړیکه حذف شوه
Contact Details,د اړیکې جزئیات
Contact Information,د اړیکې معلومات
Contact name is required,د اړیکې نوم اړین دی
Contact Support,د ملاتړ سره اړیکه
Contact your project manager for more information.,د نورو معلوماتو لپاره خپل پروژه مدیر سره اړیکه ونیسئ.
Contact:,اړیکه:
Contacts,اړیکې
Context,شرایط
Contractor,قراردادی
Cost estimate cannot be negative,د لګښت اټکل نشي کولی منفي وي
Cost Impact,د لګښت اغیز
Cost Summary,د لګښت لنډیز
Could not apply the template. Please try again.,کینډۍ نشي پلي کیدی. مهرباني وکړئ بیا هڅه وکړئ.
Could not attach file to project,دوتنه پروژې ته نشي ضمیمه کیدی
Could not change task priority,د دندې لومړیتوب نشي بدلیدی
Could not change task status,د دندې حالت نشي بدلیدی
Could not delete the project. Please try again.,پروژه نشي حذف کیدی. مهرباني وکړئ بیا هڅه وکړئ.
Could not delete the task. Please try again.,دنده نشي حذف کیدی. مهرباني وکړئ بیا هڅه وکړئ.
Could not delete the template.,کینډۍ نشي حذف کیدی.
Could not duplicate the task. Please try again.,دنده نشي نقل کیدی. مهرباني وکړئ بیا هڅه وکړئ.
Could not export the template.,کینډۍ نشي صادر کیدی.
Could not import the template. Please check the file format.,کینډۍ نشي واردیدی. مهرباني وکړئ د دوتنې بڼه وکتلئ.
Could not link task to milestone,دنده مایلسټون ته نشي تړل کیدی
Could not load document details.,د سند جزئیات نشي بارول کیدی.
Could not load task details,د دندې جزئیات نشي بارول کیدی
Could not promote checklist item to task.,د کتنې لیست توکی دندې ته نشي ارتقا کیدی.
Could not remove task from milestone,دنده له مایلسټون څخه نشي لرې کیدی
Could not save budget.,بودجه نشي خوندي کیدی.
Could not save changes to the milestone,مایلسټون ته بدلونونه نشي خوندي کیدی
Could not save changes to the task,دندې ته بدلونونه نشي خوندي کیدی
Could not save description.,تشریح نشي خوندي کیدی.
Could not save end date.,د پای نیټه نشي خوندي کیدی.
Could not save milestone name.,د مایلسټون نوم نشي خوندي کیدی.
Could not save start date.,د پیل نیټه نشي خوندي کیدی.
Could not save the template. Please try again.,کینډۍ نشي خوندي کیدی. مهرباني وکړئ بیا هڅه وکړئ.
Could not save title.,سرلیک نشي خوندي کیدی.
Could not update dependency mode.,د انحصار حالت نشي تازه کیدی.
Could not update milestone date,د مایلسټون نیټه نشي تازه کیدی
Could not update project status.,د پروژې حالت نشي تازه کیدی.
Could not update project type.,د پروژې ډول نشي تازه کیدی.
Could not update setting.,تنظیم نشي تازه کیدی.
Could not update task dates,د دندې نیټې نشي تازه کیدی
Could not update task status,د دندې حالت نشي تازه کیدی
Could not update the template.,کینډۍ نشي تازه کیدی.
Create a copy of this task,د دې دندې یوه کاپي جوړه کړئ
Create Contact,اړیکه جوړه کړئ
Create Event,پیښه جوړه کړئ
Create Milestone,مایلسټون جوړ کړئ
Create New Milestone,نوی مایلسټون جوړ کړئ
Create New Task,نوې دنده جوړه کړئ
Create Project,پروژه جوړه کړئ
Create Task,دنده جوړه کړئ
Create tasks and milestones from a template,له کینډۍ څخه دندې او مایلسټونونه جوړ کړئ
Create your first project to get started.,د پیل لپاره خپله لومړۍ پروژه جوړه کړئ.
Create your first task to start tracking work on this project.,د دې پروژې د کار تعقیب پیلولو لپاره خپله لومړۍ دنده جوړه کړئ.
Created,جوړ شوی
Creating...,جوړیږي...
Critical,مهم
Critical Path,مهمه لاره
"Currency used for budgets, costs, and billing rates",د بودجو، لګښتونو، او د حساب نرخونو لپاره کارول شوې اسعار
Current,اوسنی
Current Assignments,اوسنۍ دندې ورکونې
Current scheduled time:,اوسنی مقرر شوی وخت:
Currently running version,Currently running version
d lag,ورځ ځنډ
Daily Availability,ورځنی شتون
Daily Hours,ورځنی ساعتونه
Danger Zone,خطرناکه ساحه
Dark,تیاره
Dashboard,ډشبورډ
Date,نیټه
Date changes on this task will show cascade impact here,په دې دنده کې د نیټې بدلونونه به دلته د آبشار اغیز وښیي
Date cleared,نیټه پاکه شوه
Date of Joining,د یوځای کیدو نیټه
Date updated,نیټه تازه شوه
Dates,نیټې
Dates cascaded,نیټې آبشار شوې
Dates will be relative to the project's start date.,نیټې به د پروژې د پیل نیټې په نسبت وي.
Day,ورځ
day,ورځ
days,ورځې
Days before due date to send reminder,د یادونې لیږلو لپاره د وعدې نیټې څخه مخکې ورځې
Days Overdue,ناوخته ورځې
Days Remaining,پاتې ورځې
Deadline,وروستۍ نیټه
Deadlines,وروستۍ نیټې
Decision,پریکړه
Decline,رد کړئ
Declined,رد شوی
Default Currency,اصلي اسعار
Default hours per week for contact capacity planning,د اړیکې ظرفیت پلان لپاره په اونۍ کې اصلي ساعتونه
Default Priority,اصلي لومړیتوب
Default Project Status,اصلي د پروژې حالت
Default Task Status,اصلي د دندې حالت
Default task view,اصلي د دندې لید
Default Values,اصلي ارزښتونه
Default Weekly Capacity,اصلي اونیز ظرفیت
Defaults,اصلي ارزښتونه
Defect Cost Impact,د نیمګړتیا لګښت اغیز
Defect name is required,د نیمګړتیا نوم اړین دی
Defect Type,د نیمګړتیا ډول
Defect {0} not found,نیمګړتیا {0} ونه موندل شوه
Defects,نیمګړتیاوې
Defects & Issues,نیمګړتیاوې او ستونزې
Defects Resolved,حل شوې نیمګړتیاوې
Delayed,ځنډ شوی
Delete,حذف کړئ
Delete Activity Data,د فعالیت معلومات حذف کړئ
Delete all read notifications?,ټولې لوستل شوې خبرتیاوې حذف کړئ؟
Delete comment,نظر حذف کړئ
Delete Contact,اړیکه حذف کړئ
Delete Event,پیښه حذف کړئ
Delete Event?,پیښه حذف کړئ؟
Delete failed,حذف کول ناکام شو
Delete file,دوتنه حذف کړئ
Delete item,توکی حذف کړئ
Delete note,یادښت حذف کړئ
Delete Project,پروژه حذف کړئ
Delete Task,دنده حذف کړئ
Delete this project,دا پروژه حذف کړئ
Deleted,حذف شوی
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","پروژه ""{0}"" حذف شوه ({1} دندې، {2} مایلسټونونه)"
Deletes notes and preferences. Source document is not affected.,یادښتونه او غوره توبونه حذفوي. اصلي سند متاثر نه کیږي.
Deleting...,حذف کیږي...
Department,څانګه
Dependencies,انحصارونه
dependencies,انحصارونه
Dependencies are informational only,انحصارونه یوازې معلوماتي دي
dependency,انحصار
Dependency already exists,انحصار لا دمخه شتون لري
Dependency Chain,د انحصار سلسله
Dependency created,انحصار جوړ شو
Dependency mode updated,د انحصار حالت تازه شو
Dependency name is required,د انحصار نوم اړین دی
Dependency task {0} not found,د انحصار دنده {0} ونه موندل شوه
Dependency {0} not found,انحصار {0} ونه موندل شو
depends,انحصار لري
Depends on Group,په ګروپ انحصار لري
Depends on task is required,انحصاري دنده اړینه ده
depends on...,انحصار لري...
Descending -- click to reverse,نزولي -- د بدلولو لپاره کلیک وکړئ
Describe the defect in detail...,نیمګړتیا په تفصیل سره تشریح کړئ...
Description,تشریح
Description updated,تشریح تازه شوه
Designation,عنوان
"Detailed description of the defect, location, and impact",د نیمګړتیا، ځای، او اغیز تفصیلي تشریح
Details,جزئیات
Discard timer,ټایمر رد کړئ
Discussion,بحث
Dismiss,Dismiss
Display,نندارتون
Document,سند
Document attached to project,سند پروژې ته ضمیمه شو
Document final decision and rationale,وروستۍ پریکړه او دلیل مستند کړئ
Documentation Review,د اسنادو بیاکتنه
Documents,اسناد
Done,بشپړ
Download,ښکته کړئ
Drag to create dependency,د انحصار جوړولو لپاره راکش کړئ
Dry Run,ازمایشي چلول
Dry Run Complete,ازمایشي چلول بشپړ شو
Due Date,د وعدې نیټه
Due date,د وعدې نیټه
Due Date (Earliest),د وعدې نیټه (تر ټولو وړومبۍ)
Due date cannot be before start date,د وعدې نیټه نشي کولی د پیل نیټې څخه مخکې وي
Due date is in the past,د وعدې نیټه تیره شوې ده
Due Date Reminders,د وعدې نیټې یادونې
Due Diligence,بشپړه پلټنه
Due Diligence Checklist,د بشپړې پلټنې کتنې لیست
Due This Week,دا اونۍ باید وشي
Due:,وعده:
Duplicate events are not allowed,نقلي پیښې اجازه نلري
Duplicate failed,نقل ناکام شو
Duplicate Task,دنده نقل کړئ
Duration,موده
Duration Summary,د مودې لنډیز
Duration:,موده:
e.g. Cracked wall finish in bathroom...,لکه: په تشناب کې د دیوال چاودنه...
"e.g. Electrical, Plumbing...",لکه: بریښنایي، نلدواني...
Edit,سم کړئ
Edit (E),سم کړئ (E)
Edit dependency,انحصار سم کړئ
Edit Event,پیښه سمه کړئ
Efficiency,موثریت
Either dependency_name or depends_on is required,یا dependency_name یا depends_on اړین دی
Email,بریښنالیک
Email invitations to all attendees,ټولو ګډون کوونکو ته د بریښنالیک بلنې
Email is required to create portal user,د پورټل کارونکي جوړولو لپاره بریښنالیک اړین دی
Email notifications,د بریښنالیک خبرتیاوې
Employee,کارمند
Employee DocType not available,د کارمند DocType شته نه دی
Employee not found,کارمند ونه موندل شو
Enable or disable optional features,اختیاري ځانګړتیاوې فعالې یا غیرفعالې کړئ
Enable Time Tracking,د وخت تعقیب فعال کړئ
End,پای
End Date,د پای نیټه
End date,د پای نیټه
End Date cannot be before Start Date,د پای نیټه نشي کولی د پیل نیټې څخه مخکې وي
End date cannot be before start date,د پای نیټه نشي کولی د پیل نیټې څخه مخکې وي
End date updated,د پای نیټه تازه شوه
End time was before start time. Adjusted to 1 hour after start.,د پای وخت د پیل وخت څخه مخکې وو. د پیل وروسته 1 ساعت ته تنظیم شو.
End:,پای:
Enter milestone name...,د مایلسټون نوم ولیکئ...
Enter project name,د پروژې نوم ولیکئ
Enter task title...,د دندې سرلیک ولیکئ...
Enter template name,د کینډۍ نوم ولیکئ
Enter your note... Use @name to mention someone,خپل یادښت ولیکئ... د یادونې لپاره @نوم وکاروئ
Error,تېروتنه
Error loading activity,د فعالیت بارولو تېروتنه
Error loading contacts,د اړیکو بارولو تېروتنه
Error loading dashboard,د ډشبورډ بارولو تېروتنه
Error loading project,د پروژې بارولو تېروتنه
Error loading projects,د پروژو بارولو تېروتنه
Error loading settings,د تنظیماتو بارولو تېروتنه
Error loading tasks,د دندو بارولو تېروتنه
Error loading templates,د کینډیو بارولو تېروتنه
Est. Hours,اټکل شوي ساعتونه
Estimated,اټکل شوی
Estimated Cost,اټکل شوی لګښت
Estimated Cost (€),اټکل شوی لګښت (€)
Estimated Hours,اټکل شوي ساعتونه
Estimated:,اټکل شوی:
Evaluate potential risks and concerns,احتمالي خطرونه او اندیښنې ارزولئ
Event,پیښه
Event is required for event context,د پیښې شرایطو لپاره پیښه اړینه ده
Event is required when tracking context is 'event',کله چې د تعقیب شرایط 'پیښه' وي نو پیښه اړینه ده
Event Type,د پیښې ډول
Events,پیښې
Events not available. Please run: bench --site orga.localhost migrate,پیښې شتون نلري. مهرباني وکړئ دا چل کړئ: bench --site orga.localhost migrate
Events:,پیښې:
Expert,متخصص
Explain why you are proposing a different time...,تشریح کړئ چې ولې تاسو بل وخت وړاندیز کوئ...
Export,صادر کړئ
Export failed,صادرول ناکام شو
Export JSON,JSON صادر کړئ
Exported,صادر شوی
Exported to timesheet {0},د وخت پاڼې {0} ته صادر شو
External,بهرنی
Failed to add item,توکی اضافه کول ناکام شو
Failed to add note,یادښت اضافه کول ناکام شو
Failed to add skill,مهارت اضافه کول ناکام شو
Failed to apply cascade changes: {0},د آبشار بدلونونه پلي کول ناکام شو: {0}
Failed to create defect,نیمګړتیا جوړول ناکام شو
Failed to create dependency,انحصار جوړول ناکام شو
Failed to create event,پیښه جوړول ناکام شو
Failed to create milestone,مایلسټون جوړول ناکام شو
Failed to create project,پروژه جوړول ناکام شو
Failed to create task,دنده جوړول ناکام شو
Failed to create time log,د وخت ثبت جوړول ناکام شو
Failed to delete,حذف کول ناکام شو
Failed to delete comment,نظر حذف کول ناکام شو
Failed to delete contact,اړیکه حذف کول ناکام شو
Failed to load,بارول ناکام شو
Failed to load activity,فعالیت بارول ناکام شو
Failed to load assignments,دندې ورکونې بارول ناکام شو
Failed to load contact,اړیکه بارول ناکام شو
Failed to load dashboard data,د ډشبورډ معلومات بارول ناکام شو
Failed to load defects,نیمګړتیاوې بارول ناکام شو
Failed to load events,پیښې بارول ناکام شو
Failed to load project,پروژه بارول ناکام شو
Failed to load projects,پروژې بارول ناکام شو
Failed to load report data,د راپور معلومات بارول ناکام شو
Failed to load settings,تنظیمات بارول ناکام شو
Failed to load tasks,دندې بارول ناکام شو
Failed to move task,دنده لیږدول ناکام شو
Failed to post comment,نظر خپرول ناکام شو
Failed to propose new time,نوی وخت وړاندیز کول ناکام شو
Failed to remove item,توکی لرې کول ناکام شو
Failed to remove skill,مهارت لرې کول ناکام شو
Failed to reorder milestones: {0},مایلسټونونه بیا ترتیبول ناکام شو: {0}
Failed to reorder tasks: {0},دندې بیا ترتیبول ناکام شو: {0}
Failed to reschedule dependent tasks: {0},تابع دندې بیا مقررول ناکام شو: {0}
Failed to save,خوندي کول ناکام شو
Failed to save preferences,غوره توبونه خوندي کول ناکام شو
Failed to save settings,تنظیمات خوندي کول ناکام شو
Failed to submit request. Please try again.,غوښتنه لیږل ناکام شو. مهرباني وکړئ بیا هڅه وکړئ.
Failed to update item,توکی تازه کول ناکام شو
Failed to update priority,لومړیتوب تازه کول ناکام شو
Failed to update task,دنده تازه کول ناکام شو
Failed to update tasks: {0},دندې تازه کول ناکام شو: {0}
Failed to upload avatar,انځور پورته کول ناکام شو
Feature,ځانګړتیا
Features,ځانګړتیاوې
FF (Finish-Finish),پپ (پای-پای)
FF - Finish-to-Finish,پپ - پای-ته-پای
Field has been updated,ساحه تازه شوه
Field name is required for 'Set Field Value' action,د 'ساحه ارزښت ټاکل' عمل لپاره د ساحې نوم اړین دی
Field {0} is not a Link field,ساحه {0} د تړنې ساحه نه ده
Field {0} not found in {1},ساحه {0} په {1} کې ونه موندل شوه
file,دوتنه
File,دوتنه
