+ Add Milestone,+ Додати віху
Appointment and resource are required,Зустріч і ресурс обов'язкові
Appointment name is required,Назва зустрічі обов'язкова
Appointment not found,Зустріч не знайдено
Appointment {0} not found,Зустріч {0} не знайдено
Apps,Додатки
Archive,Архівувати
Archive Activity,Архівувати активність
Archived,В архіві
Are you sure you want to delete this activity data? This cannot be undone.,"Ви впевнені, що хочете видалити ці дані активності? Цю дію не можна скасувати."
Are you sure you want to delete this comment?,Ви впевнені
Are you sure you want to delete this project?,Ви впевнені
Are you sure?,Ви впевнені?
Ascending -- click to reverse,За зростанням — натисніть для зворотного порядку
Assign To,Призначити
Assign to Me,Призначити мені
Assigned Contact,Призначений контакт
Assigned To,Призначено
Assigned to,Призначено
Assigned to Me,Призначено мені
Assignee,Виконавець
Assignment,Призначення
Assignment History,Історія призначень
Assignment name is required,Назва призначення обов'язкова
Assignment {0} not found,Призначення {0} не знайдено
Assignments,Призначення
At least one action is required,Потрібна щонайменше одна дія
At least one event is required,Потрібна щонайменше одна подія
At least one event must be selected,Потрібно обрати щонайменше одну подію
Attachment,Вкладення
Attachments,Вкладення
Attendees,Учасники
"Audit trail, assignments, version history","Журнал дій, призначення, історія версій"
Auto,Авто
Auto Calculate Progress,Автоматичний розрахунок прогресу
Auto Set Missed Milestones,Автоматично позначати пропущені віхи
Auto-shift dependents when dates change,Автоматично зсувати залежні при зміні дат
Auto-Trail Start,Автоматичне ковзання
Auto-Trail updated,Автоматичне ковзання оновлено
Automatically calculate project progress from task completion,Автоматично розраховувати прогрес проєкту за виконанням завдань
Automatically mark milestones as missed when overdue,Автоматично позначати віхи як пропущені при простроченні
Automation rule {0} not found,Правило автоматизації {0} не знайдено
Automation: {0},Автоматизація: {0}
Availability,Доступність
Available,Доступний
Avatar updated successfully,Аватар успішно оновлено
Avg Progress,Середній прогрес
Back,Назад
Back to Portal,Назад до порталу
Back to Projects,Назад до проєктів
Beginner,Початківець
Best regards,З повагою
Billable,Оплатний
Billable Amount,Оплатна сума
Billable Hours,Оплатні години
Billable Rate,Оплатна ставка
Billing Rate,Ставка оплати
Blocked,Заблоковано
Both dates are needed to display task as a bar in Gantt chart,Обидві дати потрібні для відображення завдання у вигляді смуги на діаграмі Gantt
Both doctype and docname are required,Потрібні і тип документа і назва документа
Both proposed start and end times are required,Потрібні і пропонований час початку і завершення
Both task_name and depends_on are required,Потрібні і task_name і depends_on
Breadcrumb,Навігаційний ланцюжок
Brief description of the defect or damage,Короткий опис дефекту або пошкодження
Brief description of this template,Короткий опис цього шаблону
Brief description of your request,Короткий опис вашого запиту
Brief project description,Короткий опис проєкту
Budget,Бюджет
Budget at risk,Бюджет під загрозою
Budget Burn Rate,Швидкість витрачання бюджету
Budget Status,Стан бюджету
Budget updated,Бюджет оновлено
Budget:,Бюджет:
Bug,Помилка
Burn Rate,Швидкість витрачання
Busy,Зайнятий
By,За
By Assignee,За виконавцем
By Group,За групою
By Milestone,За віхою
By Priority,За пріоритетом
By Status,За статусом
Cancel,Скасувати
Cancelled,Скасовано
cannot be undone,не можна скасувати
Cannot delete client with {0} linked projects. Unlink projects first.,Неможливо видалити клієнта з {0} пов'язаними проєктами. Спочатку від'єднайте проєкти.
Cannot delete project with {0} linked tasks. Delete tasks first.,Неможливо видалити проєкт із {0} пов'язаними завданнями. Спочатку видаліть завдання.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Неможливо видалити ресурс із {0} активними призначеннями. Спочатку завершіть або скасуйте їх.
Cannot delete task with {0} subtasks. Delete subtasks first.,Неможливо видалити завдання з {0} підзавданнями. Спочатку видаліть підзавдання.
Capacity,Навантаження
capacity,навантаження
Capacity & Rates,Навантаження та ставки
Capture project structure for reuse,Зберегти структуру проєкту для повторного використання
Cascade,Каскад
Cascade Preview,Попередній перегляд каскаду
Category,Категорія
Celebrate,Привітати
Change,Змінити
Change History,Історія змін
Change Priority,Змінити пріоритет
Change Status,Змінити статус
Changes,Зміни
Changes appear when fields are modified.,Зміни з'являються при редагуванні полів.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Список
Checklist item name is required,Назва пункту списку обов'язкова
Checklist item not found,Пункт списку не знайдено
Checklist item title is required,Заголовок пункту списку обов'язковий
Checklist item {0} not found,Пункт списку {0} не знайдено
Checklist item {0} not found in task,Пункт списку {0} не знайдено в завданні
Child,Дочірній
Choose file to upload,Оберіть файл для завантаження
Circular dependency detected: {0},Виявлено циклічну залежність: {0}
Circular parent-child relationship detected,Виявлено циклічний зв'язок «батько-нащадок»
Clear,Очистити
Clear all read,Очистити всі прочитані
Clear date,Очистити дату
Click on an activity from the list to view and manage its details.,Натисніть на активність зі списку для перегляду та керування її деталями.
Click the avatar to upload a new photo,Натисніть на аватар для завантаження нового фото
Click to add description...,Натисніть для додавання опису...
Click to add notes...,Натисніть для додавання нотаток...
Click to assign contact,Натисніть для призначення контакту
Click to change status,Натисніть для зміни статусу
Click to change type,Натисніть для зміни типу
Click to edit,Натисніть для редагування
Click to edit budget,Натисніть для редагування бюджету
Click to edit description,Натисніть для редагування опису
Click to edit end date,Натисніть для редагування дати завершення
Click to edit milestone name,Натисніть для редагування назви віхи
Click to edit rate,Натисніть для редагування ставки
Click to edit start date,Натисніть для редагування дати початку
Click to edit title,Натисніть для редагування заголовка
Click to load,Натисніть для завантаження
Click to set group dependency...,Натисніть для вказання групової залежності...
Click to set group...,Натисніть для вказання групи...
Click to view,Натисніть для перегляду
Click to view at-risk projects,Натисніть для перегляду проєктів під загрозою
Click to view critical projects,Натисніть для перегляду критичних проєктів
Click to view healthy projects,Натисніть для перегляду проєктів у нормі
Client,Клієнт
Client already has a portal user: {0},У клієнта вже є користувач порталу: {0}
Client already has portal access,Клієнт вже має доступ до порталу
Client has no portal user to revoke,У клієнта немає користувача порталу для відкликання
Client link removed from project {0},Зв'язок з клієнтом видалено з проєкту {0}
Client Portal,Клієнтський портал
Client {0} deleted successfully,Клієнта {0} успішно видалено
Close,Закрити
Close (Esc),Закрити (Esc)
Comment,Коментар
comment,коментар
Comment added,Коментар додано
Comment content is required,Зміст коментаря обов'язковий
Comment name is required,Назва коментаря обов'язкова
Comment not found,Коментар не знайдено
Comment removed,Коментар видалено
Comment {0} not found in task,Коментар {0} не знайдено в завданні
Comments,Коментарі
comments,коментарі
Community Edition,Community Edition
Company,Компанія
Company name...,Назва компанії...
Complete,Завершити
Completed,Завершено
completed,завершено
Completed Tasks,Завершені завдання
Compliance,Відповідність
Configure default values for new projects and tasks,Налаштувати значення за замовчуванням для нових проєктів і завдань
Configure email notification settings,Налаштувати параметри сповіщень електронною поштою
Confirm,Підтвердити
Contact deleted,Контакт видалено
Contact Details,Контактні дані
Contact Information,Контактна інформація
Contact name is required,Ім'я контакту обов'язкове
Contact Support,Зв'язатися з підтримкою
Contact your project manager for more information.,Зв'яжіться з вашим керівником проєкту для отримання додаткової інформації.
Contact:,Контакт:
Contacts,Контакти
Context,Контекст
Contractor,Підрядник
Cost estimate cannot be negative,Оцінка вартості не може бути від'ємною
Cost Impact,Вплив на вартість
Cost Summary,Зведення витрат
Could not apply the template. Please try again.,Не вдалося застосувати шаблон. Будь ласка
Could not attach file to project,Не вдалося прикріпити файл до проєкту
Could not change task priority,Не вдалося змінити пріоритет завдання
Could not change task status,Не вдалося змінити статус завдання
Could not delete the project. Please try again.,Не вдалося видалити проєкт. Будь ласка
Could not delete the task. Please try again.,Не вдалося видалити завдання. Будь ласка
Could not delete the template.,Не вдалося видалити шаблон.
Could not duplicate the task. Please try again.,Не вдалося дублювати завдання. Будь ласка
Could not export the template.,Не вдалося експортувати шаблон.
Could not import the template. Please check the file format.,Не вдалося імпортувати шаблон. Перевірте формат файлу.
Could not link task to milestone,Не вдалося пов'язати завдання з віхою
Could not load document details.,Не вдалося завантажити деталі документа.
Could not load task details,Не вдалося завантажити деталі завдання
Could not promote checklist item to task.,Не вдалося перетворити пункт списку на завдання.
Could not remove task from milestone,Не вдалося від'єднати завдання від віхи
Could not save budget.,Не вдалося зберегти бюджет.
Could not save changes to the milestone,Не вдалося зберегти зміни віхи
Could not save changes to the task,Не вдалося зберегти зміни завдання
Could not save description.,Не вдалося зберегти опис.
Could not save end date.,Не вдалося зберегти дату завершення.
Could not save milestone name.,Не вдалося зберегти назву віхи.
Could not save start date.,Не вдалося зберегти дату початку.
Could not save the template. Please try again.,Не вдалося зберегти шаблон. Будь ласка
Could not save title.,Не вдалося зберегти заголовок.
Could not update dependency mode.,Не вдалося оновити режим залежності.
Could not update milestone date,Не вдалося оновити дату віхи
Could not update project status.,Не вдалося оновити статус проєкту.
Could not update project type.,Не вдалося оновити тип проєкту.
Could not update setting.,Не вдалося оновити налаштування.
Could not update task dates,Не вдалося оновити дати завдання
Could not update task status,Не вдалося оновити статус завдання
Could not update the template.,Не вдалося оновити шаблон.
Create a copy of this task,Створити копію цього завдання
Create Contact,Створити контакт
Create Event,Створити подію
Create Milestone,Створити віху
Create New Milestone,Створити нову віху
Create New Task,Створити нове завдання
Create Project,Створити проєкт
Create Task,Створити завдання
Create tasks and milestones from a template,Створити завдання та віхи із шаблону
Create your first project to get started.,Створіть ваш перший проєкт для початку роботи.
Create your first task to start tracking work on this project.,Створіть перше завдання для початку відстеження роботи над цим проєктом.
Created,Створено
Creating...,Створення...
Critical,Критичний
Critical Path,Критичний шлях
"Currency used for budgets, costs, and billing rates","Валюта для бюджетів, витрат і ставок оплати"
Current,Поточний
Current Assignments,Поточні призначення
Current scheduled time:,Поточний запланований час:
Currently running version,Currently running version
d lag,д затримки
Daily Availability,Щоденна доступність
Daily Hours,Годин на день
Danger Zone,Небезпечна зона
Dark,Темна
Dashboard,Панель керування
Date,Дата
Date changes on this task will show cascade impact here,Зміни дат цього завдання покажуть каскадний вплив тут
Date cleared,Дату очищено
Date of Joining,Дата приєднання
Date updated,Дату оновлено
Dates,Дати
Dates cascaded,Дати каскадовано
Dates will be relative to the project's start date.,Дати будуть відносними до дати початку проєкту.
Day,День
day,день
days,днів
Days before due date to send reminder,За скільки днів до терміну надсилати нагадування
Days Overdue,Днів прострочення
Days Remaining,Днів залишилося
Deadline,Кінцевий термін
Deadlines,Терміни
Decision,Рішення
Decline,Відхилити
Declined,Відхилено
Default Currency,Валюта за замовчуванням
Default hours per week for contact capacity planning,Годин на тиждень за замовчуванням для планування навантаження контактів
Default Priority,Пріоритет за замовчуванням
Default Project Status,Статус проєкту за замовчуванням
Default Task Status,Статус завдання за замовчуванням
Default task view,Вигляд завдань за замовчуванням
Default Values,Значення за замовчуванням
Default Weekly Capacity,Навантаження на тиждень за замовчуванням
Defaults,За замовчуванням
Defect Cost Impact,Фінансові наслідки дефекту
Defect name is required,Назва дефекту обов'язкова
Defect Type,Тип дефекту
Defect {0} not found,Дефект {0} не знайдено
Defects,Дефекти
Defects & Issues,Дефекти та проблеми
Defects Resolved,Дефекти усунено
Delayed,Із затримкою
Delete,Видалити
Delete Activity Data,Видалити дані активності
Delete all read notifications?,Видалити всі прочитані сповіщення?
Delete comment,Видалити коментар
Delete Contact,Видалити контакт
Delete Event,Видалити подію
Delete Event?,Видалити подію?
Delete failed,Не вдалося видалити
Delete file,Видалити файл
Delete item,Видалити елемент
Delete note,Видалити нотатку
Delete Project,Видалити проєкт
Delete Task,Видалити завдання
Delete this project,Видалити цей проєкт
Deleted,Видалено
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Проєкт ""{0}"" видалено ({1} завдань, {2} віх)"
Deletes notes and preferences. Source document is not affected.,Видаляє нотатки та налаштування. Вихідний документ не зачіпається.
Deleting...,Видалення...
Department,Відділ
Dependencies,Залежності
dependencies,залежності
Dependencies are informational only,Залежності мають лише інформаційний характер
dependency,залежність
Dependency already exists,Залежність вже існує
Dependency Chain,Ланцюжок залежностей
Dependency created,Залежність створено
Dependency mode updated,Режим залежності оновлено
Dependency name is required,Назва залежності обов'язкова
Dependency task {0} not found,Залежне завдання {0} не знайдено
Dependency {0} not found,Залежність {0} не знайдено
depends,залежить
Depends on Group,Залежить від групи
Depends on task is required,Залежне завдання обов'язкове
depends on...,залежить від...
Descending -- click to reverse,За спаданням — натисніть для зворотного порядку
Describe the defect in detail...,Детально опишіть дефект...
Description,Опис
Description updated,Опис оновлено
Designation,Посада
"Detailed description of the defect, location, and impact","Детальний опис дефекту, його розташування та наслідків"
Details,Подробиці
Discard timer,Скинути таймер
Discussion,Обговорення
Dismiss,Dismiss
Display,Відображення
Document,Документ
Document attached to project,Документ прикріплено до проєкту
Document final decision and rationale,Зафіксувати остаточне рішення та обґрунтування
Documentation Review,Перевірка документації
Documents,Документи
Done,Готово
Download,Завантажити
Drag to create dependency,Перетягніть для створення залежності
Dry Run,Пробний запуск
Dry Run Complete,Пробний запуск завершено
Due Date,Термін виконання
Due date,Термін виконання
Due Date (Earliest),Термін виконання (найближчий)
Due date cannot be before start date,Термін виконання не може бути раніше дати початку
Due date is in the past,Термін виконання в минулому
Due Date Reminders,Нагадування про терміни
Due Diligence,Перевірка
Due Diligence Checklist,Список перевірки
Due This Week,Термін цього тижня
Due:,Термін:
Duplicate events are not allowed,Дублювання подій не дозволяється
Duplicate failed,Не вдалося дублювати
Duplicate Task,Дублювати завдання
Duration,Тривалість
Duration Summary,Зведення тривалості
Duration:,Тривалість:
e.g. Cracked wall finish in bathroom...,напр. Тріщина в оздобленні стіни у ванній кімнаті...
"e.g. Electrical, Plumbing...","напр. Електрика, Сантехніка..."
Edit,Редагувати
Edit (E),Редагувати (E)
Edit dependency,Редагувати залежність
Edit Event,Редагувати подію
Efficiency,Ефективність
Either dependency_name or depends_on is required,Потрібно dependency_name або depends_on
Email,Електронна пошта
Email invitations to all attendees,Надіслати запрошення електронною поштою всім учасникам
Email is required to create portal user,Для створення користувача порталу потрібна електронна пошта
Email notifications,Сповіщення електронною поштою
Employee,Працівник
Employee DocType not available,DocType «Працівник» недоступний
Employee not found,Працівника не знайдено
Enable or disable optional features,Увімкнути або вимкнути необов'язкові функції
Enable Time Tracking,Увімкнути облік часу
End,Кінець
End Date,Дата завершення
End date,Дата завершення
End Date cannot be before Start Date,Дата завершення не може бути раніше дати початку
End date cannot be before start date,Дата завершення не може бути раніше дати початку
End date updated,Дату завершення оновлено
End time was before start time. Adjusted to 1 hour after start.,Час завершення був раніше часу початку. Скориговано на 1 годину після початку.
End:,Кінець:
Enter milestone name...,Введіть назву віхи...
Enter project name,Введіть назву проєкту
Enter task title...,Введіть заголовок завдання...
Enter template name,Введіть назву шаблону
Enter your note... Use @name to mention someone,Введіть нотатку... Використовуйте @ім'я для згадування
Error,Помилка
Error loading activity,Помилка при завантаженні активності
Error loading contacts,Помилка при завантаженні контактів
Error loading dashboard,Помилка при завантаженні панелі керування
Error loading project,Помилка при завантаженні проєкту
Error loading projects,Помилка при завантаженні проєктів
Error loading settings,Помилка при завантаженні налаштувань
Error loading tasks,Помилка при завантаженні завдань
Error loading templates,Помилка при завантаженні шаблонів
Est. Hours,Розр. годин
Estimated,Розрахунковий
Estimated Cost,Розрахункова вартість
Estimated Cost (€),Розрахункова вартість (€)
Estimated Hours,Розрахункові години
Estimated:,Розрахунково:
Evaluate potential risks and concerns,Оцінити можливі ризики та проблеми
Event,Подія
Event is required for event context,Подія обов'язкова для контексту події
Event is required when tracking context is 'event',"Подія обов'язкова, коли контекст відстеження — «подія»"
Event Type,Тип події
Events,Події
Events not available. Please run: bench --site orga.localhost migrate,Події недоступні. Виконайте: bench --site orga.localhost migrate
Events:,Події:
Expert,Експерт
Explain why you are proposing a different time...,Поясніть
Export,Експорт
Export failed,Не вдалося експортувати
Export JSON,Експорт JSON
Exported,Експортовано
Exported to timesheet {0},Експортовано до табелю {0}
External,Зовнішній
Failed to add item,Не вдалося додати елемент
Failed to add note,Не вдалося додати нотатку
Failed to add skill,Не вдалося додати навичку
Failed to apply cascade changes: {0},Не вдалося застосувати каскадні зміни: {0}
Failed to create defect,Не вдалося створити дефект
Failed to create dependency,Не вдалося створити залежність
Failed to create event,Не вдалося створити подію
Failed to create milestone,Не вдалося створити віху
Failed to create project,Не вдалося створити проєкт
Failed to create task,Не вдалося створити завдання
Failed to create time log,Не вдалося створити запис часу
Failed to delete,Не вдалося видалити
Failed to delete comment,Не вдалося видалити коментар
Failed to delete contact,Не вдалося видалити контакт
Failed to load,Не вдалося завантажити
Failed to load activity,Не вдалося завантажити активність
Failed to load assignments,Не вдалося завантажити призначення
Failed to load contact,Не вдалося завантажити контакт
Failed to load dashboard data,Не вдалося завантажити дані панелі керування
Failed to load defects,Не вдалося завантажити дефекти
Failed to load events,Не вдалося завантажити події
Failed to load project,Не вдалося завантажити проєкт
Failed to load projects,Не вдалося завантажити проєкти
Failed to load report data,Не вдалося завантажити дані звіту
Failed to load settings,Не вдалося завантажити налаштування
Failed to load tasks,Не вдалося завантажити завдання
Failed to move task,Не вдалося перемістити завдання
Failed to post comment,Не вдалося опублікувати коментар
Failed to propose new time,Не вдалося запропонувати новий час
Failed to remove item,Не вдалося видалити елемент
Failed to remove skill,Не вдалося видалити навичку
Failed to reorder milestones: {0},Не вдалося переупорядкувати віхи: {0}
Failed to reorder tasks: {0},Не вдалося переупорядкувати завдання: {0}
Failed to reschedule dependent tasks: {0},Не вдалося переплановувати залежні завдання: {0}
Failed to save,Не вдалося зберегти
Failed to save preferences,Не вдалося зберегти налаштування
Failed to save settings,Не вдалося зберегти налаштування
Failed to submit request. Please try again.,Не вдалося надіслати запит. Будь ласка
Failed to update item,Не вдалося оновити елемент
Failed to update priority,Не вдалося оновити пріоритет
Failed to update task,Не вдалося оновити завдання
Failed to update tasks: {0},Не вдалося оновити завдання: {0}
Failed to upload avatar,Не вдалося завантажити аватар
Feature,Функція
Features,Функції
FF (Finish-Finish),FF (Фініш-Фініш)
FF - Finish-to-Finish,FF — Фініш-Фініш
Field has been updated,Поле оновлено
Field name is required for 'Set Field Value' action,Назва поля обов'язкова для дії «Задати значення поля»
Field {0} is not a Link field,Поле {0} не є полем-посиланням
Field {0} not found in {1},Поле {0} не знайдено в {1}
File,Файл
file,файл
File does not belong to this task,Файл не належить до цього завдання
File name is required,Назва файлу обов'язкова
File uploaded,Файл завантажено
File {0} not found,Файл {0} не знайдено
Files,Файли
files,файли
Filter,Фільтр
Final Decision,Остаточне рішення
Finance,Фінанси
Financial,Фінансовий
Finish-to-Finish,Фініш-Фініш
Finish-to-Start,Фініш-Старт
Flag,Позначити
Flag for attention,Позначити як важливе
Flagged,Позначено
Focus Panel,Панель фокусу
Follows your system preference. Currently:,Відповідає налаштуванню вашої системи. Зараз:
Frappe Project {0} not found,Проєкт Frappe {0} не знайдено
Frappe Projects Migration,Перенесення Frappe Projects
Frappe Projects module not available,Модуль Frappe Projects недоступний
Frappe Projects module not installed,Модуль Frappe Projects не встановлено
Frappe Projects sync is not enabled,Синхронізацію з Frappe Projects не ввімкнено
Frappe Task DocType not found,DocType завдання Frappe не знайдено
Frappe Task has no project,Завдання Frappe не пов'язане з проєктом
Frappe Task {0} not found,Завдання Frappe {0} не знайдено
Fri,Пт
From,Від
From Template,Із шаблону
FS (Finish-Start),FS (Фініш-Старт)
FS - Finish-to-Start (default),FS — Фініш-Старт (за замовчуванням)
Full form view with audit trail,Повний вигляд форми з журналом дій
Full name,Повне ім'я
Gantt,Gantt
Gantt Chart,Діаграма Gantt
Gantt View,Вигляд Gantt
General Note,Загальна нотатка
Get started,Почати
Go back,Повернутися
Go Back,Go Back
Group by,Групувати за
Group dependency removed,Групову залежність видалено
Group dependency set,Групову залежність встановлено
Group removed,Групу видалено
Group updated,Групу оновлено
Hammock task dates are auto-calculated and cannot be changed manually,Дати завдань-гамаків розраховуються автоматично і не можуть бути змінені вручну
Have a question or need assistance? Fill out the form below and our team will get back to you.,"Маєте питання або потрібна допомога? Заповніть форму нижче, і наша команда зв'яжеться з вами."
Health,Стан
Healthy,У нормі
Hello {0},Вітаємо {0}
Here's what's happening with your projects today.,Ось що відбувається з вашими проєктами сьогодні.
Hide,Сховати
High,Високий
History,Історія
Home,Головна
Hourly Cost,Погодинна вартість
Hours,Годин
hours,годин
Hours Logged,Записано годин
ID,ID
Image must be smaller than 5 MB,Зображення має бути менше 5 МБ
Import,Імпорт
Import existing projects and tasks from Frappe Projects module,Імпортувати наявні проєкти та завдання з модуля Frappe Projects
Import failed,Не вдалося імпортувати
Import Template,Імпортувати шаблон
Imported,Імпортовано
in,в
In Progress,У роботі
In Review,На перевірці
In-app notifications,Сповіщення в додатку
Inactive,Неактивний
Initial Review,Первинна перевірка
Installed Version,Installed Version
Insufficient permissions to view all tasks,Недостатньо прав для перегляду всіх завдань
Intermediate,Середній рівень
Internal,Внутрішній
Invalid DocType,Невірний DocType
Invalid DocType for import,Невірний DocType для імпорту
Invalid item type: {0},Невірний тип елемента: {0}
Invalid JSON data,Невірні дані JSON
Invalid note type. Must be one of: {0},Невірний тип нотатки. Має бути одним з: {0}
Invalid project reference,Невірне посилання на проєкт
Invalid reaction type. Must be one of: {0},Невірний тип реакції. Має бути одним з: {0}
Invalid RSVP status,Невірний статус RSVP
Invalid status. Must be one of: {0},Невірний статус. Має бути одним з: {0}
Invalid status: {0},Невірний статус: {0}
Invalid status: {0}. Must be one of: {1},Невірний статус: {0}. Має бути одним з: {1}
Invalid tracking context: {0},Невірний контекст відстеження: {0}
Invalid visibility. Must be one of: {0},Невірна видимість. Має бути одною з: {0}
Invitation: {0} - {1} at {2},Запрошення: {0} — {1} о {2}
Invite People,Запросити людей
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Елемент додано
Item ID is required,Ідентифікатор елемента обов'язковий
Item removed,Елемент видалено
Item type is required,Тип елемента обов'язковий
Item {0} not found,Елемент {0} не знайдено
Job title or role,Посада або роль
Join Meeting,Приєднатися до зустрічі
Just now,Щойно
just now,щойно
Kanban,Kanban
Kanban Board,Дошка Kanban
Kanban View,Вигляд Kanban
Keyboard Shortcuts,Клавіатурні скорочення
Keyboard shortcuts (?),Клавіатурні скорочення (?)
Last checked: {0},Last checked: {0}
Last Updated,Останнє оновлення
Last updated:,Останнє оновлення:
Last Week,Минулий тиждень
Latest Version,Latest Version
Light,Світла
Link failed,Не вдалося пов'язати
Link Task,Пов'язати завдання
Linked,Пов'язано
Linked employee not found,Пов'язаного працівника не знайдено
Linked Tasks,Пов'язані завдання
List,Список
List View,Вигляд списку
Load failed,Не вдалося завантажити
Load More,Завантажити ще
Load more comments,Завантажити ще коментарі
Loading activity...,Завантаження активності...
Loading changes...,Завантаження змін...
Loading checklist...,Завантаження списку...
Loading comments...,Завантаження коментарів...
Loading contact...,Завантаження контакту...
Loading contacts...,Завантаження контактів...
Loading dependencies...,Завантаження залежностей...
Loading details...,Завантаження подробиць...
Loading discussion...,Завантаження обговорення...
Loading events...,Завантаження подій...
Loading files...,Завантаження файлів...
Loading notes...,Завантаження нотаток...
Loading preferences...,Завантаження налаштувань...
Loading project...,Завантаження проєкту...
Loading projects...,Завантаження проєктів...
Loading replies...,Завантаження відповідей...
Loading report data...,Завантаження даних звіту...
Loading settings...,Завантаження налаштувань...
Loading task...,Завантаження завдання...
Loading templates...,Завантаження шаблонів...
Loading time logs...,Завантаження записів часу...
Loading your portal...,Завантаження вашого порталу...
Loading...,Завантаження...
Location,Місцезнаходження
Log Time,Записати час
Logout,Вийти
Low,Низький
Make Offer,Зробити пропозицію
Manager,Керівник
Manual Entry,Ручне введення
Margin,Маржа
Mark all as read,Позначити все як прочитане
Mark all read,Позначити все як прочитане
Mark as read,Позначити як прочитане
