+ Add Milestone,+ माइलस्टोन जोड़ें
Client already has portal access,ग्राहक के पास पहले से पोर्टल पहुँच है
Client has no portal user to revoke,ग्राहक के पास रद्द करने के लिए कोई पोर्टल उपयोगकर्ता नहीं है
Client link removed from project {0},परियोजना {0} से ग्राहक लिंक हटाया गया
Client Portal,ग्राहक पोर्टल
Client {0} deleted successfully,ग्राहक {0} सफलतापूर्वक हटाया गया
Close,बंद करें
Close (Esc),बंद करें (Esc)
Comment,टिप्पणी
comment,टिप्पणी
Comment added,टिप्पणी जोड़ी गई
Comment content is required,टिप्पणी की सामग्री आवश्यक है
Comment name is required,टिप्पणी का नाम आवश्यक है
Comment not found,टिप्पणी नहीं मिली
Comment removed,टिप्पणी हटाई गई
Comment {0} not found in task,कार्य में टिप्पणी {0} नहीं मिली
Comments,टिप्पणियाँ
comments,टिप्पणियाँ
Community Edition,Community Edition
Company,कंपनी
Company name...,कंपनी का नाम...
Complete,पूर्ण करें
Completed,पूर्ण
completed,पूर्ण
Completed Tasks,पूर्ण कार्य
Compliance,अनुपालन
Configure default values for new projects and tasks,नई परियोजनाओं और कार्यों के लिए डिफ़ॉल्ट मान कॉन्फ़िगर करें
Configure email notification settings,ईमेल सूचना सेटिंग्स कॉन्फ़िगर करें
Confirm,पुष्टि करें
Contact deleted,संपर्क हटाया गया
Contact Details,संपर्क विवरण
Contact Information,संपर्क जानकारी
Contact name is required,संपर्क का नाम आवश्यक है
Contact Support,सहायता से संपर्क करें
Contact your project manager for more information.,अधिक जानकारी के लिए अपने परियोजना प्रबंधक से संपर्क करें।
Contact:,संपर्क:
Contacts,संपर्क
Context,संदर्भ
Contractor,ठेकेदार
Cost estimate cannot be negative,लागत अनुमान ऋणात्मक नहीं हो सकता
Cost Impact,लागत प्रभाव
Cost Summary,लागत सारांश
Could not apply the template. Please try again.,टेम्पलेट लागू नहीं हो सका। कृपया पुनः प्रयास करें।
Could not attach file to project,परियोजना से फ़ाइल संलग्न नहीं हो सकी
Could not change task priority,कार्य प्राथमिकता बदल नहीं सकी
Could not change task status,कार्य स्थिति बदल नहीं सकी
Could not delete the project. Please try again.,परियोजना हटाई नहीं जा सकी। कृपया पुनः प्रयास करें।
Could not delete the task. Please try again.,कार्य हटाया नहीं जा सका। कृपया पुनः प्रयास करें।
Could not delete the template.,टेम्पलेट हटाया नहीं जा सका।
Could not duplicate the task. Please try again.,कार्य की प्रतिलिपि नहीं बन सकी। कृपया पुनः प्रयास करें।
Could not export the template.,टेम्पलेट निर्यात नहीं हो सका।
Could not import the template. Please check the file format.,टेम्पलेट आयात नहीं हो सका। कृपया फ़ाइल प्रारूप जाँचें।
Could not link task to milestone,कार्य को माइलस्टोन से जोड़ा नहीं जा सका
Could not load document details.,दस्तावेज़ विवरण लोड नहीं हो सका।
Could not load task details,कार्य विवरण लोड नहीं हो सका
Could not promote checklist item to task.,चेकलिस्ट आइटम को कार्य में प्रोमोट नहीं किया जा सका।
Could not remove task from milestone,कार्य को माइलस्टोन से हटाया नहीं जा सका
Could not save budget.,बजट सहेजा नहीं जा सका।
Could not save changes to the milestone,माइलस्टोन में बदलाव सहेजे नहीं जा सके
Could not save changes to the task,कार्य में बदलाव सहेजे नहीं जा सके
Could not save description.,विवरण सहेजा नहीं जा सका।
Could not save end date.,समाप्ति तिथि सहेजी नहीं जा सकी।
Could not save milestone name.,माइलस्टोन का नाम सहेजा नहीं जा सका।
Could not save start date.,आरंभ तिथि सहेजी नहीं जा सकी।
Could not save the template. Please try again.,टेम्पलेट सहेजा नहीं जा सका। कृपया पुनः प्रयास करें।
Could not save title.,शीर्षक सहेजा नहीं जा सका।
Could not update dependency mode.,निर्भरता मोड अपडेट नहीं हो सका।
Could not update milestone date,माइलस्टोन तिथि अपडेट नहीं हो सकी
Could not update project status.,परियोजना स्थिति अपडेट नहीं हो सकी।
Could not update project type.,परियोजना प्रकार अपडेट नहीं हो सका।
Could not update setting.,सेटिंग अपडेट नहीं हो सकी।
Could not update task dates,कार्य तिथियाँ अपडेट नहीं हो सकीं
Could not update task status,कार्य स्थिति अपडेट नहीं हो सकी
Could not update the template.,टेम्पलेट अपडेट नहीं हो सका।
Create a copy of this task,इस कार्य की प्रतिलिपि बनाएँ
Create Contact,संपर्क बनाएँ
Create Event,कार्यक्रम बनाएँ
Create Milestone,माइलस्टोन बनाएँ
Create New Milestone,नया माइलस्टोन बनाएँ
Create New Task,नया कार्य बनाएँ
Create Project,परियोजना बनाएँ
Create Task,कार्य बनाएँ
Create tasks and milestones from a template,टेम्पलेट से कार्य और माइलस्टोन बनाएँ
Create your first project to get started.,शुरू करने के लिए अपनी पहली परियोजना बनाएँ।
Create your first task to start tracking work on this project.,इस परियोजना पर काम ट्रैक करना शुरू करने के लिए अपना पहला कार्य बनाएँ।
Created,बनाया गया
Creating...,बनाया जा रहा है...
Critical,गंभीर
Critical Path,गंभीर पथ
"Currency used for budgets, costs, and billing rates","बजट, लागत और बिलिंग दरों के लिए उपयोग की जाने वाली मुद्रा"
Current,वर्तमान
Current Assignments,वर्तमान असाइनमेंट
Current scheduled time:,वर्तमान निर्धारित समय:
Currently running version,Currently running version
d lag,दि विलंब
Daily Availability,दैनिक उपलब्धता
Daily Hours,दैनिक घंटे
Danger Zone,खतरा क्षेत्र
Dark,गहरा
Dashboard,डैशबोर्ड
Date,तिथि
Date changes on this task will show cascade impact here,इस कार्य पर तिथि बदलाव यहाँ कैस्केड प्रभाव दिखाएंगे
Date cleared,तिथि साफ़ की गई
Date of Joining,शामिल होने की तिथि
Date updated,तिथि अपडेट की गई
Dates,तिथियाँ
Dates cascaded,तिथियाँ कैस्केड की गईं
Dates will be relative to the project's start date.,तिथियाँ परियोजना की आरंभ तिथि के सापेक्ष होंगी।
Day,दिन
day,दिन
days,दिन
Days before due date to send reminder,अनुस्मारक भेजने के लिए नियत तिथि से पहले के दिन
Days Overdue,विलंब के दिन
Days Remaining,शेष दिन
Deadline,अंतिम तिथि
Deadlines,अंतिम तिथियाँ
Decision,निर्णय
Decline,अस्वीकार करें
Declined,अस्वीकृत
Default Currency,डिफ़ॉल्ट मुद्रा
Default hours per week for contact capacity planning,संपर्क क्षमता नियोजन के लिए प्रति सप्ताह डिफ़ॉल्ट घंटे
Default Priority,डिफ़ॉल्ट प्राथमिकता
Default Project Status,डिफ़ॉल्ट परियोजना स्थिति
Default Task Status,डिफ़ॉल्ट कार्य स्थिति
Default task view,डिफ़ॉल्ट कार्य दृश्य
Default Values,डिफ़ॉल्ट मान
Default Weekly Capacity,डिफ़ॉल्ट साप्ताहिक क्षमता
Defaults,डिफ़ॉल्ट
Defect Cost Impact,दोष लागत प्रभाव
Defect name is required,दोष का नाम आवश्यक है
Defect Type,दोष प्रकार
Defect {0} not found,दोष {0} नहीं मिला
Defects,दोष
Defects & Issues,दोष और समस्याएँ
Defects Resolved,दोष हल किए गए
Delayed,विलंबित
Delete,हटाएँ
Delete Activity Data,गतिविधि डेटा हटाएँ
Delete all read notifications?,सभी पढ़ी हुई सूचनाएँ हटाएँ?
Delete comment,टिप्पणी हटाएँ
Delete Contact,संपर्क हटाएँ
Delete Event,कार्यक्रम हटाएँ
Delete Event?,कार्यक्रम हटाएँ?
Delete failed,हटाना विफल
Delete file,फ़ाइल हटाएँ
Delete item,आइटम हटाएँ
Delete note,नोट हटाएँ
Delete Project,परियोजना हटाएँ
Delete Task,कार्य हटाएँ
Delete this project,यह परियोजना हटाएँ
Deleted,हटाया गया
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","परियोजना ""{0}"" हटाई गई ({1} कार्य, {2} माइलस्टोन)"
Deletes notes and preferences. Source document is not affected.,नोट और प्राथमिकताएँ हटाता है। स्रोत दस्तावेज़ प्रभावित नहीं होता।
Deleting...,हटाया जा रहा है...
Department,विभाग
Dependencies,निर्भरताएँ
dependencies,निर्भरताएँ
Dependencies are informational only,निर्भरताएँ केवल सूचनात्मक हैं
dependency,निर्भरता
Dependency already exists,निर्भरता पहले से मौजूद है
Dependency Chain,निर्भरता श्रृंखला
Dependency created,निर्भरता बनाई गई
Dependency mode updated,निर्भरता मोड अपडेट किया गया
Dependency name is required,निर्भरता का नाम आवश्यक है
Dependency task {0} not found,निर्भरता कार्य {0} नहीं मिला
Dependency {0} not found,निर्भरता {0} नहीं मिली
depends,निर्भर
Depends on Group,समूह पर निर्भर
Depends on task is required,निर्भर कार्य आवश्यक है
depends on...,निर्भर करता है...
Descending -- click to reverse,घटते क्रम में -- उलटने के लिए क्लिक करें
Describe the defect in detail...,दोष का विस्तार से वर्णन करें...
Description,विवरण
Description updated,विवरण अपडेट किया गया
Designation,पदनाम
"Detailed description of the defect, location, and impact","दोष, स्थान और प्रभाव का विस्तृत विवरण"
Details,विवरण
Discard timer,टाइमर खारिज करें
Discussion,चर्चा
Dismiss,Dismiss
Display,प्रदर्शन
Document,दस्तावेज़
Document attached to project,दस्तावेज़ परियोजना से संलग्न किया गया
Document final decision and rationale,अंतिम निर्णय और तर्क को दस्तावेज़ित करें
Documentation Review,दस्तावेज़ समीक्षा
Documents,दस्तावेज़
Done,पूर्ण
Download,डाउनलोड
Drag to create dependency,निर्भरता बनाने के लिए खींचें
Dry Run,परीक्षण चालन
Dry Run Complete,परीक्षण चालन पूर्ण
Due Date,नियत तिथि
Due date,नियत तिथि
Due Date (Earliest),नियत तिथि (सबसे पहले)
Due date cannot be before start date,नियत तिथि आरंभ तिथि से पहले नहीं हो सकती
Due date is in the past,नियत तिथि बीत चुकी है
Due Date Reminders,नियत तिथि अनुस्मारक
Due Diligence,उचित सावधानी
Due Diligence Checklist,उचित सावधानी चेकलिस्ट
Due This Week,इस सप्ताह नियत
Due:,नियत:
Duplicate events are not allowed,डुप्लिकेट कार्यक्रमों की अनुमति नहीं है
Duplicate failed,प्रतिलिपि बनाना विफल
Duplicate Task,कार्य की प्रतिलिपि बनाएँ
Duration,अवधि
Duration Summary,अवधि सारांश
Duration:,अवधि:
e.g. Cracked wall finish in bathroom...,जैसे दीवार की दरार बाथरूम में...
"e.g. Electrical, Plumbing...","जैसे बिजली, प्लंबिंग..."
Edit,संपादित करें
Edit (E),संपादित करें (E)
Edit dependency,निर्भरता संपादित करें
Edit Event,कार्यक्रम संपादित करें
Efficiency,दक्षता
Either dependency_name or depends_on is required,dependency_name या depends_on में से कोई एक आवश्यक है
Email,ईमेल
Email invitations to all attendees,सभी सहभागियों को ईमेल निमंत्रण
Email is required to create portal user,पोर्टल उपयोगकर्ता बनाने के लिए ईमेल आवश्यक है
Email notifications,ईमेल सूचनाएँ
Employee,कर्मचारी
Employee DocType not available,कर्मचारी DocType उपलब्ध नहीं है
Employee not found,कर्मचारी नहीं मिला
Enable or disable optional features,वैकल्पिक सुविधाएँ सक्षम या अक्षम करें
Enable Time Tracking,समय ट्रैकिंग सक्षम करें
End,समाप्ति
End Date,समाप्ति तिथि
End date,समाप्ति तिथि
End Date cannot be before Start Date,समाप्ति तिथि आरंभ तिथि से पहले नहीं हो सकती
End date cannot be before start date,समाप्ति तिथि आरंभ तिथि से पहले नहीं हो सकती
End date updated,समाप्ति तिथि अपडेट की गई
End time was before start time. Adjusted to 1 hour after start.,समाप्ति समय आरंभ समय से पहले था। आरंभ के 1 घंटे बाद समायोजित किया गया।
End:,समाप्ति:
Enter milestone name...,माइलस्टोन का नाम दर्ज करें...
Enter project name,परियोजना का नाम दर्ज करें
Enter task title...,कार्य शीर्षक दर्ज करें...
Enter template name,टेम्पलेट का नाम दर्ज करें
Enter your note... Use @name to mention someone,अपना नोट दर्ज करें... किसी का उल्लेख करने के लिए @नाम का उपयोग करें
Error,त्रुटि
Error loading activity,गतिविधि लोड करने में त्रुटि
Error loading contacts,संपर्क लोड करने में त्रुटि
Error loading dashboard,डैशबोर्ड लोड करने में त्रुटि
Error loading project,परियोजना लोड करने में त्रुटि
Error loading projects,परियोजनाएँ लोड करने में त्रुटि
Error loading settings,सेटिंग्स लोड करने में त्रुटि
Error loading tasks,कार्य लोड करने में त्रुटि
Error loading templates,टेम्पलेट लोड करने में त्रुटि
Est. Hours,अनु. घंटे
Estimated,अनुमानित
Estimated Cost,अनुमानित लागत
Estimated Cost (€),अनुमानित लागत (€)
Estimated Hours,अनुमानित घंटे
Estimated:,अनुमानित:
Evaluate potential risks and concerns,संभावित जोखिमों और चिंताओं का मूल्यांकन करें
Event,कार्यक्रम
Event is required for event context,कार्यक्रम संदर्भ के लिए कार्यक्रम आवश्यक है
Event is required when tracking context is 'event',जब ट्रैकिंग संदर्भ 'event' हो तो कार्यक्रम आवश्यक है
Event Type,कार्यक्रम प्रकार
Events,कार्यक्रम
Events not available. Please run: bench --site orga.localhost migrate,कार्यक्रम उपलब्ध नहीं हैं। कृपया चलाएँ: bench --site orga.localhost migrate
Events:,कार्यक्रम:
Expert,विशेषज्ञ
Explain why you are proposing a different time...,बताएँ कि आप भिन्न समय क्यों प्रस्तावित कर रहे हैं...
Export,निर्यात
Export failed,निर्यात विफल
Export JSON,JSON निर्यात करें
Exported,निर्यात किया गया
Exported to timesheet {0},टाइमशीट {0} में निर्यात किया गया
External,बाहरी
Failed to add item,आइटम जोड़ना विफल
Failed to add note,नोट जोड़ना विफल
Failed to add skill,कौशल जोड़ना विफल
Failed to apply cascade changes: {0},कैस्केड बदलाव लागू करना विफल: {0}
Failed to create defect,दोष बनाना विफल
Failed to create dependency,निर्भरता बनाना विफल
Failed to create event,कार्यक्रम बनाना विफल
Failed to create milestone,माइलस्टोन बनाना विफल
Failed to create project,परियोजना बनाना विफल
Failed to create task,कार्य बनाना विफल
Failed to create time log,समय प्रविष्टि बनाना विफल
Failed to delete,हटाना विफल
Failed to delete comment,टिप्पणी हटाना विफल
Failed to delete contact,संपर्क हटाना विफल
Failed to load,लोड करना विफल
Failed to load activity,गतिविधि लोड करना विफल
Failed to load assignments,असाइनमेंट लोड करना विफल
Failed to load contact,संपर्क लोड करना विफल
Failed to load dashboard data,डैशबोर्ड डेटा लोड करना विफल
Failed to load defects,दोष लोड करना विफल
Failed to load events,कार्यक्रम लोड करना विफल
Failed to load project,परियोजना लोड करना विफल
Failed to load projects,परियोजनाएँ लोड करना विफल
Failed to load report data,रिपोर्ट डेटा लोड करना विफल
Failed to load settings,सेटिंग्स लोड करना विफल
Failed to load tasks,कार्य लोड करना विफल
Failed to move task,कार्य ले जाना विफल
Failed to post comment,टिप्पणी पोस्ट करना विफल
Failed to propose new time,नया समय प्रस्तावित करना विफल
Failed to remove item,आइटम हटाना विफल
Failed to remove skill,कौशल हटाना विफल
Failed to reorder milestones: {0},माइलस्टोन पुनःक्रमित करना विफल: {0}
