+ Add Milestone,+ Lasit Mearrádusa
Adding...,Lasihuvvo...
Address,Čujuhus
Advanced,Viidáset
All,Buot
All Active,Buot aktiivvalaččat
All Assignees,Buot juolluduvvomat
All Categories,Buot kategoriiját
All caught up!,Buot lohkkojuvvon!
All Contexts,Buot konteavsttat
All day,Olles beaivi
All day event,Olles beaivve dáhpáhus
All fields,Buot gieddut
All Priorities,Buot vuoruheamit
All Projects,Buot prošeavttat
All Status,Buot dilálašvuođat
All Statuses,Buot dilálašvuođat
All task dependencies & relative dates,Buot barggu sorjavuođat ja relatiivvalaš beaivemearat
All Tasks,Buot barggut
All tasks across all projects.,Buot barggut buot prošeavttain.
All tasks are already linked,Buot barggut leat juo liŋkkejuvvon
All team members,Buot joavkku lahtut
All Types,Buot šlájat
All Users,Buot geavaheaddjit
Allocated,Juolluduvvon
allocated,juolluduvvon
Allow users to log time against tasks,Lohpi geavaheaddjiid čállit áiggi bargguid ektui
Already exported to timesheet {0},Juo eksporterejuvvon áigetábeallii {0}
Already Migrated,Juo sirdon
Anyone with access,Juohkehaš geain lea beassan
anytime to show this help,goassege čájehit dán veahki
App Updates,App Updates
Appearance,Olggosoaidnu
Apply,Geavat
Apply cascade?,Geavat čuovganjohtin?
Apply Changes,Geavat Rievdadusaid
Apply failed,Geavaheapmi ii lihkostuvvan
Apply Template,Geavat Málle
Applying...,Geavahuvvo...
Appointment,Soahpamušš
Appointment and resource are required,Soahpamušš ja resursa dárbbašuvvojit
Appointment name is required,Soahpamuša namma dárbbašuvvo
Appointment not found,Soahpamušš ii gávdnon
Appointment {0} not found,Soahpamušš {0} ii gávdnon
Apps,Applikašuvnnat
Archive,Arkiivva
Archive Activity,Arkivere Doaimma
Archived,Arkiverejuvvon
Are you sure you want to delete this activity data? This cannot be undone.,Leatgo sihkar ahte háliidat sihkkut dán doaimma dieđuid? Dát ii sáhte máhcahuvvot.
Are you sure you want to delete this comment?,Leatgo sihkar ahte háliidat sihkkut dán kommeantara?
Are you sure you want to delete this project?,Leatgo sihkar ahte háliidat sihkkut dán prošeavtta?
Are you sure?,Leatgo sihkar?
Ascending -- click to reverse,Bajás -- coahkkal jorgalit
Assign To,Juollet
Assign to Me,Juollet Munnje
Assigned Contact,Juolluduvvon Oktavuohta
Assigned To,Juolluduvvon
Assigned to,Juolluduvvon
Assigned to Me,Juolluduvvon munnje
Assignee,Juolluduvvon olmmoš
Assignment,Juolludeapmi
Assignment History,Juolludeami historjá
Assignment name is required,Juolludeami namma dárbbašuvvo
Assignment {0} not found,Juolludeapmi {0} ii gávdnon
Assignments,Juolludeamit
At least one action is required,Unnimustá okta doaibma dárbbašuvvo
At least one event is required,Unnimustá okta dáhpáhus dárbbašuvvo
At least one event must be selected,Unnimustá okta dáhpáhus ferte válljejuvvot
Attachment,Mielddusat
Attachments,Mielddusasat
Attendees,Oasseváldit
"Audit trail, assignments, version history","Dárkkistanluodda, juolludeamit, veršuvdnahistorjá"
Auto,Automáhtalaš
Auto Calculate Progress,Automáhtalaččat Rehkenastte Ovdáneami
Auto Set Missed Milestones,Automáhtalaččat Mearkkiš Massojuvvon Mearrádusaid
Auto-shift dependents when dates change,Automáhtalaččat sirde sorjavaččaid go beaivemearat rievdaduvvojit
Auto-Trail Start,Automáhtalaš Njuikimálgu
Auto-Trail updated,Automáhtalaš njuikin ođasmahttojuvvon
Automatically calculate project progress from task completion,Automáhtalaččat rehkenastte prošeavtta ovdáneami bargguid gárvvistemiid vuođul
Automatically mark milestones as missed when overdue,Automáhtalaččat mearkkiš mearrádusaid massojuvvon go áigerássi lea vássán
Automation rule {0} not found,Automatiserenjuolga {0} ii gávdnon
Automation: {0},Automatiseren: {0}
Availability,Olamuttisvuohta
Available,Olámuttus
Avatar updated successfully,Govva ođasmahttojuvvon lihkostuvvan
Avg Progress,Gaskaárvvu ovdáneapmi
Back,Máhcca
Back to Portal,Máhcca Portálii
Back to Projects,Máhcca Prošeavttaide
Beginner,Álggovuolggalaš
Best regards,Buoremus dearvvuođat
Billable,Rehkenastojuvvo
Billable Amount,Rehkenastojuvvon mearri
Billable Hours,Rehkenastojuvvon diimmut
Billable Rate,Rehkenastojuvvon rádji
Billing Rate,Máksima rádji
Blocked,Eastojuvvon
Both dates are needed to display task as a bar in Gantt chart,Goappat beaivemearat dárbbašuvvojit barggu čájehemii bálkán Gantt-tabeallas
Both doctype and docname are required,Sihke doctype ja docname dárbbašuvvojit
Both proposed start and end times are required,Sihke evttohuvvon álgu- ja loahppaáiggit dárbbašuvvojit
Both task_name and depends_on are required,Sihke task_name ja depends_on dárbbašuvvojit
Breadcrumb,Láibemuorri
Brief description of the defect or damage,Oanehis govvádus feailla dahje vahága birra
Brief description of this template,Oanehis govvádus dán málle birra
Brief description of your request,Oanehis govvádus du ohcamu birra
Brief project description,Oanehis prošeavtta govvádus
Budget,Bušeahtta
Budget at risk,Bušeahtta lea váráladdji
Budget Burn Rate,Bušeahta geavahanrádji
Budget Status,Bušeahta dilli
Budget updated,Bušeahtta ođasmahttojuvvon
Budget:,Bušeahtta:
Bug,Feaila
Burn Rate,Geavahanrádji
Busy,Galbma
By,Bokte
By Assignee,Juolluduvvon olbmo mielde
By Group,Joavkku mielde
By Milestone,Mearrádusa mielde
By Priority,Vuoruheami mielde
By Status,Dilálašvuođa mielde
Cancel,Šluhtte
Cancelled,Šluhttejuvvon
cannot be undone,ii sáhte máhcahuvvot
Cannot delete client with {0} linked projects. Unlink projects first.,Ii sáhte sihkkut áššehasa main leat {0} liŋkkejuvvon prošeavtta. Sirre prošeavttaid ovdal.
Cannot delete project with {0} linked tasks. Delete tasks first.,Ii sáhte sihkkut prošeavtta main leat {0} liŋkkejuvvon barggu. Sihkku bargguid ovdal.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Ii sáhte sihkkut resursa main leat {0} aktiivvalaš juolludeami. Gárvviš dahje šluhtte ovdal.
Cannot delete task with {0} subtasks. Delete subtasks first.,Ii sáhte sihkkut barggu main leat {0} vuollebargu. Sihkku vuollebargguid ovdal.
Capacity,Kapasitehta
capacity,kapasitehta
Capacity & Rates,Kapasitehta ja rádjit
Capture project structure for reuse,Vurke prošeavtta ráhkadusa ođđasitgeavaheami várás
Cascade,Čuovganjohtin
Cascade Preview,Čuovganjohtin ovdagáttu
Category,Kategoriija
Celebrate,Ávvudit
Change,Rievdat
Change History,Rievdadushistorjá
Change Priority,Rievdat Vuoruheami
Change Status,Rievdat Dilálašvuođa
Changes,Rievdadusat
Changes appear when fields are modified.,Rievdadusat čájehuvvojit go gieddut rievdaduvvojit.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Dárkkistanlistu
Checklist item name is required,Dárkkistanlisttu oasi namma dárbbašuvvo
Checklist item not found,Dárkkistanlisttu oassi ii gávdnon
Checklist item title is required,Dárkkistanlisttu oasi bajilčála dárbbašuvvo
Checklist item {0} not found,Dárkkistanlisttu oassi {0} ii gávdnon
Checklist item {0} not found in task,Dárkkistanlisttu oassi {0} ii gávdnon barggus
Child,Mánná
Choose file to upload,Vállje fiilla viežžamii
Circular dependency detected: {0},Johtolat sorjavuohta gávdnon: {0}
Circular parent-child relationship detected,Johtolat váhnen-mánná oktavuohta gávdnon
Clear,Sihko
Clear all read,Sihko buot lohkkojuvvon
Clear date,Sihko beaivemeari
Click on an activity from the list to view and manage its details.,Coahkkal doaimma listtas oaidnit ja hálddašit dan dieđuid.
Click the avatar to upload a new photo,Coahkkal gova viežžat ođđa gova
Click to add description...,Coahkkal lasihit govvádusa...
Click to add notes...,Coahkkal lasihit čállosiid...
Click to assign contact,Coahkkal juolludit oktavuođa
Click to change status,Coahkkal rievdadit dilálašvuođa
Click to change type,Coahkkal rievdadit šlája
Click to edit,Coahkkal rievdadit
Click to edit budget,Coahkkal rievdadit bušeahta
Click to edit description,Coahkkal rievdadit govvádusa
Click to edit end date,Coahkkal rievdadit loahppabeavvi
Click to edit milestone name,Coahkkal rievdadit mearrádusa nama
Click to edit rate,Coahkkal rievdadit ráji
Click to edit start date,Coahkkal rievdadit álgobeavvi
Click to edit title,Coahkkal rievdadit bajilčála
Click to load,Coahkkal viežžat
Click to set group dependency...,Coahkkal bidjat joavkkusorjavuođa...
Click to set group...,Coahkkal bidjat joavkku...
Click to view,Coahkkal oaidnit
Click to view at-risk projects,Coahkkal oaidnit váráladdji prošeavttaid
Click to view critical projects,Coahkkal oaidnit kritihkalaš prošeavttaid
Click to view healthy projects,Coahkkal oaidnit dearvvašlaš prošeavttaid
Client,Áššehas
Client already has a portal user: {0},Áššehasas lea juo portálageavaheaddji: {0}
Client already has portal access,Áššehasas lea juo portálabeassan
Client has no portal user to revoke,Áššehasas ii leat portálageavaheaddji maid válddet eret
Client link removed from project {0},Áššehasa liŋkka váldojuvvon eret prošeavttas {0}
Client Portal,Áššehasa Portála
Client {0} deleted successfully,Áššehas {0} sihkkojuvvon lihkostuvvan
Close,Gidde
Close (Esc),Gidde (Esc)
Comment,Kommeantár
comment,kommeantár
Comment added,Kommeantár lasihuvvon
Comment content is required,Kommeantára sisdoallu dárbbašuvvo
Comment name is required,Kommeantára namma dárbbašuvvo
Comment not found,Kommeantár ii gávdnon
Comment removed,Kommeantár váldojuvvon eret
Comment {0} not found in task,Kommeantár {0} ii gávdnon barggus
Comments,Kommeantárat
comments,kommeantárat
Community Edition,Community Edition
Company,Fitnodahka
Company name...,Fitnodaga namma...
Complete,Gárvviš
Completed,Gárvvis
completed,gárvvistuvvon
Completed Tasks,Gárvvistuvvon barggut
Compliance,Čuovvun
Configure default values for new projects and tasks,Heivet vuođđoárvvuid ođđa prošeavttaide ja barggude
Configure email notification settings,Heivet e-poasta dieđáhusheivehusat
Confirm,Sihkkarastte
Contact deleted,Oktavuohta sihkkojuvvon
Contact Details,Oktavuođa dieđut
Contact Information,Oktavuohtadieđut
Contact name is required,Oktavuođa namma dárbbašuvvo
Contact Support,Váldde Oktavuođa Doarjjiin
Contact your project manager for more information.,Váldde oktavuođa prošeavttajođiheddjiinis eanet dieđuid várás.
Contact:,Oktavuohta:
Contacts,Oktavuođat
Context,Konteavstta
Contractor,Osiidoalli
Cost estimate cannot be negative,Golloárvvoštallan ii sáhte leat negatiivvalaš
Cost Impact,Gollovaikuhus
Cost Summary,Golločoahkkáigeassu
Could not apply the template. Please try again.,Ii lihkostuvvan geavahit málle. Geahččal ođđasit.
Could not attach file to project,Ii lihkostuvvan mielddusdahkat fiilla prošeavttii
Could not change task priority,Ii lihkostuvvan rievdadit barggu vuoruheami
Could not change task status,Ii lihkostuvvan rievdadit barggu dilálašvuođa
Could not delete the project. Please try again.,Ii lihkostuvvan sihkkut prošeavtta. Geahččal ođđasit.
Could not delete the task. Please try again.,Ii lihkostuvvan sihkkut barggu. Geahččal ođđasit.
Could not delete the template.,Ii lihkostuvvan sihkkut málle.
Could not duplicate the task. Please try again.,Ii lihkostuvvan máŋggudit barggu. Geahččal ođđasit.
Could not export the template.,Ii lihkostuvvan eksporterejit málle.
Could not import the template. Please check the file format.,Ii lihkostuvvan importerejit málle. Dárkkis fiillaformáhta.
Could not link task to milestone,Ii lihkostuvvan liŋkkejit barggu mearrádussii
Could not load document details.,Ii lihkostuvvan viežžat dokumeantta dieđuid.
Could not load task details,Ii lihkostuvvan viežžat barggu dieđuid
Could not promote checklist item to task.,Ii lihkostuvvan loktet dárkkistanlisttu oasi bargun.
Could not remove task from milestone,Ii lihkostuvvan válddit barggu mearrádusas eret
Could not save budget.,Ii lihkostuvvan vurket bušeahta.
Could not save changes to the milestone,Ii lihkostuvvan vurket rievdadusaid mearrádussii
Could not save changes to the task,Ii lihkostuvvan vurket rievdadusaid bargui
Could not save description.,Ii lihkostuvvan vurket govvádusa.
Could not save end date.,Ii lihkostuvvan vurket loahppabeavvi.
Could not save milestone name.,Ii lihkostuvvan vurket mearrádusa nama.
Could not save start date.,Ii lihkostuvvan vurket álgobeavvi.
Could not save the template. Please try again.,Ii lihkostuvvan vurket málle. Geahččal ođđasit.
Could not save title.,Ii lihkostuvvan vurket bajilčála.
Could not update dependency mode.,Ii lihkostuvvan ođasmahttit sorjavuohtavuogi.
Could not update milestone date,Ii lihkostuvvan ođasmahttit mearrádusa beaivemeari
Could not update project status.,Ii lihkostuvvan ođasmahttit prošeavtta dilálašvuođa.
Could not update project type.,Ii lihkostuvvan ođasmahttit prošeavtta šlája.
Could not update setting.,Ii lihkostuvvan ođasmahttit heivehusat.
Could not update task dates,Ii lihkostuvvan ođasmahttit barggu beaivemearaid
Could not update task status,Ii lihkostuvvan ođasmahttit barggu dilálašvuođa
Could not update the template.,Ii lihkostuvvan ođasmahttit málle.
Create a copy of this task,Ráhkat kopia dán barggus
Create Contact,Ráhkat Oktavuođa
Create Event,Ráhkat Dáhpáhusa
Create Milestone,Ráhkat Mearrádusa
Create New Milestone,Ráhkat Ođđa Mearrádusa
Create New Task,Ráhkat Ođđa Barggu
Create Project,Ráhkat Prošeavtta
Create Task,Ráhkat Barggu
Create tasks and milestones from a template,Ráhkat bargguid ja mearrádusaid málles
Create your first project to get started.,Ráhkat vuosttas prošeavttadat álgimii.
Create your first task to start tracking work on this project.,Ráhkat vuosttas barggudat čuovvut dán prošeavtta barggu.
Created,Ráhkaduvvon
Creating...,Ráhkaduvvo...
Critical,Kritihkalaš
Critical Path,Kritihkalaš Luodda
"Currency used for budgets, costs, and billing rates","Valuhtta mii geavahuvvo bušeahtaide, goluide ja máksima rádjide"
Current,Dálááigge
Current Assignments,Dálááigge juolludeamit
Current scheduled time:,Dálááigge plánejuvvon áigi:
Currently running version,Currently running version
d lag,b maŋŋoneapmi
Daily Availability,Beaivválaš olamuttisvuohta
Daily Hours,Beaivválaš diimmut
Danger Zone,Váráladdji guovlu
Dark,Seavdnjat
Dashboard,Stivrengođđi
Date,Beaivemearri
Date changes on this task will show cascade impact here,Beaivemearrerievdadusat dán barggus čájehit čuovganjohtin váikkuhusa dás
Date cleared,Beaivemearri sihkkojuvvon
Date of Joining,Álgobeavvi
Date updated,Beaivemearri ođasmahttojuvvon
Dates,Beaivemearat
Dates cascaded,Beaivemearat čuovganjohtejuvvon
Dates will be relative to the project's start date.,Beaivemearat leat relatiivvalaččat prošeavtta álgobeavvái.
Day,Beaivi
day,beaivi
days,beaivvit
Days before due date to send reminder,Beaivvit ovdal áigerássi sáddet muittuhusa
Days Overdue,Beaivvit maŋŋil áigerássi
Days Remaining,Beaivvit guđđon
Deadline,Áigerássi
Deadlines,Áigerásit
Decision,Mearrádus
Decline,Biehttal
Declined,Biehttaluvvon
Default Currency,Vuođđovaluhtta
Default hours per week for contact capacity planning,Vuođđodiimmut vahkkui oktavuođa kapasitehtaplánema várás
Default Priority,Vuođđovuoruheapmi
Default Project Status,Vuođđo prošeavttadilálašvuohta
Default Task Status,Vuođđo barggudilálašvuohta
Default task view,Vuođđo barggučájeheapmi
Default Values,Vuođđoárvvut
Default Weekly Capacity,Vuođđo vahkkosaš kapasitehta
Defaults,Vuođđoárvvut
Defect Cost Impact,Feailla gollováikkuhus
Defect name is required,Feailla namma dárbbašuvvo
Defect Type,Feaillašládja
Defect {0} not found,Feaila {0} ii gávdnon
Defects,Feaillat
Defects & Issues,Feaillat ja čuolmmat
Defects Resolved,Divvojuvvon feaillat
Delayed,Maŋŋiduvvon
Delete,Sihkku
Delete Activity Data,Sihkku Doaimma Dieđuid
Delete all read notifications?,Sihkkut buot lohkkojuvvon dieđáhusaid?
Delete comment,Sihkku kommeantára
Delete Contact,Sihkku Oktavuođa
Delete Event,Sihkku Dáhpáhusa
Delete Event?,Sihkku Dáhpáhusa?
Delete failed,Sihkkun ii lihkostuvvan
Delete file,Sihkku fiilla
Delete item,Sihkku oasi
Delete note,Sihkku čállosa
Delete Project,Sihkku Prošeavtta
Delete Task,Sihkku Barggu
Delete this project,Sihkku dán prošeavtta
Deleted,Sihkkojuvvon
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Sihkkojuvvon prošeavtta ""{0}"" ({1} barggu, {2} mearrádusa)"
Deletes notes and preferences. Source document is not affected.,Sihkku čállosiid ja válljejumiid. Gáldudokumeantta ii váikkuhuvvo.
Deleting...,Sihkkojuvvo...
Department,Ossodahka
Dependencies,Sorjavuođat
dependencies,sorjavuođat
Dependencies are informational only,Sorjavuođat leat dušše diehtudieđut
dependency,sorjavuohta
Dependency already exists,Sorjavuohta lea juo gávdnamis
Dependency Chain,Sorjavuohtačuolbma
Dependency created,Sorjavuohta ráhkaduvvon
Dependency mode updated,Sorjavuohtavuohki ođasmahttojuvvon
Dependency name is required,Sorjavuođa namma dárbbašuvvo
Dependency task {0} not found,Sorjavuohtabargu {0} ii gávdnon
Dependency {0} not found,Sorjavuohta {0} ii gávdnon
depends,sorjá
Depends on Group,Sorjavaš Joavkkus
Depends on task is required,Sorjavaš bargu dárbbašuvvo
depends on...,sorjá...
Descending -- click to reverse,Vuolás -- coahkkal jorgalit
Describe the defect in detail...,Govvit feailla dárkileappot...
Description,Govvádus
Description updated,Govvádus ođasmahttojuvvon
Designation,Nammadeapmi
"Detailed description of the defect, location, and impact","Dárkilgovvádus feaillas, sajis ja váikkuhusas"
Details,Dieđut
Discard timer,Luobat áigemihtidanmáhkku
Discussion,Digaštallan
Dismiss,Dismiss
Display,Čájeheapmi
Document,Dokumeantta
Document attached to project,Dokumeantta mielddusdahkkon prošeavttii
Document final decision and rationale,Dokumentere loahpalaš mearrádusa ja ákkaid
Documentation Review,Dokumentašuvdnaiskkan
Documents,Dokumeanttát
Done,Gárvvis
Download,Viečča
Drag to create dependency,Gease ráhkadit sorjavuođa
Dry Run,Geahččalanjohtolahka
Dry Run Complete,Geahččalanjohtolahka gárvvis
Due Date,Áigerássi
Due date,Áigerássi
Due Date (Earliest),Áigerássi (áramus)
Due date cannot be before start date,Áigerássi ii sáhte leat ovdal álgobeavvi
Due date is in the past,Áigerássi lea vássán
Due Date Reminders,Áigerássimuittuhussat
Due Diligence,Vuđolaš Dárkkisteapmi
Due Diligence Checklist,Vuđolaš Dárkkisteami Dárkkistanlistu
Due This Week,Áigerássi dán vahkus
Due:,Áigerássi:
Duplicate events are not allowed,Máŋggiduvvon dáhpáhusat eai leat lohpiduvvon
Duplicate failed,Máŋggudeapmi ii lihkostuvvan
Duplicate Task,Máŋggut Barggu
Duration,Bisteahtti
Duration Summary,Bisteahttičoahkkáigeassu
Duration:,Bisteahtti:
e.g. Cracked wall finish in bathroom...,omd. Ráigánan seaidnedikšun lávddis...
"e.g. Electrical, Plumbing...","omd. Elektrovdna, Čáhci..."
Edit,Rievdat
Edit (E),Rievdat (E)
Edit dependency,Rievdat sorjavuođa
Edit Event,Rievdat Dáhpáhusa
Efficiency,Beaktilvuohta
Either dependency_name or depends_on is required,dependency_name dahje depends_on dárbbašuvvo
Email,E-poasta
Email invitations to all attendees,E-poasta bovdehussat buot oasseváldiide
Email is required to create portal user,E-poasta dárbbašuvvo portálageavaheaddji ráhkadeapmái
Email notifications,E-poasta dieđáhusat
Employee,Bargi
Employee DocType not available,Bargi DocType ii gávdno
Employee not found,Bargi ii gávdnon
Enable or disable optional features,Dohkket dahje alde válljenmuttiid
Enable Time Tracking,Dohkket Áigečuovvuma
End,Loahppa
End Date,Loahppabeavvi
End date,Loahppabeavvi
End Date cannot be before Start Date,Loahppabeavvi ii sáhte leat ovdal Álgobeavvi
End date cannot be before start date,Loahppabeavvi ii sáhte leat ovdal álgobeavvi
End date updated,Loahppabeavvi ođasmahttojuvvon
End time was before start time. Adjusted to 1 hour after start.,Loahppaáigi lei ovdal álgoáigge. Heivehuvvon 1 diibmu maŋŋil álggu.
End:,Loahppa:
Enter milestone name...,Čále mearrádusa nama...
Enter project name,Čále prošeavtta nama
Enter task title...,Čále barggu bajilčála...
Enter template name,Čále málle nama
Enter your note... Use @name to mention someone,Čále čállosat... Geavat @namma namuhit muhtin olbmo
Error,Feaila
Error loading activity,Feaila doaimma viežžamis
Error loading contacts,Feaila oktavuođaid viežžamis
Error loading dashboard,Feaila stivrengođđi viežžamis
Error loading project,Feaila prošeavtta viežžamis
Error loading projects,Feaila prošeavttaid viežžamis
Error loading settings,Feaila heivehusaid viežžamis
Error loading tasks,Feaila bargguid viežžamis
Error loading templates,Feaila málliid viežžamis
Est. Hours,Árvv. diimmut
Estimated,Árvvoštallon
Estimated Cost,Árvvoštallon golut
Estimated Cost (€),Árvvoštallon golut (€)
Estimated Hours,Árvvoštallon diimmut
Estimated:,Árvvoštallon:
Evaluate potential risks and concerns,Árvvoštalat vejolaš riskaid ja fuolahusaid
Event,Dáhpáhus
Event is required for event context,Dáhpáhus dárbbašuvvo dáhpáhuskonteavsttas
Event is required when tracking context is 'event',Dáhpáhus dárbbašuvvo go čuovvunkonteavstta lea 'dáhpáhus'
Event Type,Dáhpáhusšládja
Events,Dáhpáhusat
Events not available. Please run: bench --site orga.localhost migrate,Dáhpáhusat eai gávdno. Čađat: bench --site orga.localhost migrate
Events:,Dáhpáhusat:
Expert,Áššedovdi
Explain why you are proposing a different time...,Čilge manin evttohat earálágan áiggi...
Export,Eksportere
Export failed,Eksporteren ii lihkostuvvan
Export JSON,Eksportere JSON
Exported,Eksporterejuvvon
Exported to timesheet {0},Eksporterejuvvon áigetábeallii {0}
External,Olgguldas
Failed to add item,Ii lihkostuvvan lasihit oasi
Failed to add note,Ii lihkostuvvan lasihit čállosa
Failed to add skill,Ii lihkostuvvan lasihit máhtu
Failed to apply cascade changes: {0},Ii lihkostuvvan geavahit čuovganjohtin rievdadusaid: {0}
Failed to create defect,Ii lihkostuvvan ráhkadit feailla
Failed to create dependency,Ii lihkostuvvan ráhkadit sorjavuođa
Failed to create event,Ii lihkostuvvan ráhkadit dáhpáhusa
Failed to create milestone,Ii lihkostuvvan ráhkadit mearrádusa
Failed to create project,Ii lihkostuvvan ráhkadit prošeavtta
Failed to create task,Ii lihkostuvvan ráhkadit barggu
Failed to create time log,Ii lihkostuvvan ráhkadit áigečállima
Failed to delete,Ii lihkostuvvan sihkkut
Failed to delete comment,Ii lihkostuvvan sihkkut kommeantára
Failed to delete contact,Ii lihkostuvvan sihkkut oktavuođa
Failed to load,Ii lihkostuvvan viežžat
Failed to load activity,Ii lihkostuvvan viežžat doaimma
Failed to load assignments,Ii lihkostuvvan viežžat juolludeamiid
Failed to load contact,Ii lihkostuvvan viežžat oktavuođa
Failed to load dashboard data,Ii lihkostuvvan viežžat stivrengođđi dieđuid
Failed to load defects,Ii lihkostuvvan viežžat feaillaid
Failed to load events,Ii lihkostuvvan viežžat dáhpáhusaid
Failed to load project,Ii lihkostuvvan viežžat prošeavtta
Failed to load projects,Ii lihkostuvvan viežžat prošeavttaid
Failed to load report data,Ii lihkostuvvan viežžat raportadieđuid
Failed to load settings,Ii lihkostuvvan viežžat heivehusaid
Failed to load tasks,Ii lihkostuvvan viežžat bargguid
Failed to move task,Ii lihkostuvvan sirdit barggu
Failed to post comment,Ii lihkostuvvan almmustahtit kommeantára
Failed to propose new time,Ii lihkostuvvan evttohit ođđa áiggi
Failed to remove item,Ii lihkostuvvan válddit oasi eret
Failed to remove skill,Ii lihkostuvvan válddit máhtu eret
Failed to reorder milestones: {0},Ii lihkostuvvan ortnegoahtit mearrádusaid ođđasit: {0}
Failed to reorder tasks: {0},Ii lihkostuvvan ortnegoahtit bargguid ođđasit: {0}
Failed to reschedule dependent tasks: {0},Ii lihkostuvvan plánet ođđasit sorjavaš bargguid: {0}
Failed to save,Ii lihkostuvvan vurket
Failed to save preferences,Ii lihkostuvvan vurket válljejumiid
Failed to save settings,Ii lihkostuvvan vurket heivehusaid
Failed to submit request. Please try again.,Ii lihkostuvvan sáddet ohcamu. Geahččal ođđasit.
Failed to update item,Ii lihkostuvvan ođasmahttit oasi
Failed to update priority,Ii lihkostuvvan ođasmahttit vuoruheami
Failed to update task,Ii lihkostuvvan ođasmahttit barggu
Failed to update tasks: {0},Ii lihkostuvvan ođasmahttit bargguid: {0}
Failed to upload avatar,Ii lihkostuvvan viežžat gova
Feature,Iešvuohta
Features,Iešvuođat
FF (Finish-Finish),FF (Loahppa-Loahppa)
FF - Finish-to-Finish,FF - Loahppa-Loahpii
