+ Add Milestone,+ Agregar hito
Appointment {0} not found,Cita {0} no encontrada
Apps,Aplicaciones
Archive,Archivar
Archive Activity,Archivar actividad
Archived,Archivado
Are you sure you want to delete this activity data? This cannot be undone.,¿Está seguro de que desea eliminar estos datos de actividad? Esta acción no se puede deshacer.
Are you sure you want to delete this comment?,¿Está seguro de que desea eliminar este comentario?
Are you sure you want to delete this project?,¿Está seguro de que desea eliminar este proyecto?
Are you sure?,¿Está seguro?
Ascending -- click to reverse,Ascendente -- haga clic para invertir
Assign To,Asignar a
Assign to Me,Asignarme
Assigned Contact,Contacto asignado
Assigned To,Asignado a
Assigned to,Asignado a
Assigned to Me,Asignado a mí
Assignee,Asignado
Assignment,Asignación
Assignment History,Historial de asignaciones
Assignment name is required,El nombre de la asignación es obligatorio
Assignment {0} not found,Asignación {0} no encontrada
Assignments,Asignaciones
At least one action is required,Se requiere al menos una acción
At least one event is required,Se requiere al menos un evento
At least one event must be selected,Se debe seleccionar al menos un evento
Attachment,Adjunto
Attachments,Adjuntos
Attendees,Asistentes
"Audit trail, assignments, version history","Registro de auditoría, asignaciones, historial de versiones"
Auto,Automático
Auto Calculate Progress,Calcular avance automáticamente
Auto Set Missed Milestones,Marcar hitos vencidos automáticamente
Auto-shift dependents when dates change,Desplazar dependientes automáticamente cuando cambien las fechas
Auto-Trail Start,Inicio por deslizamiento automático
Auto-Trail updated,Deslizamiento automático actualizado
Automatically calculate project progress from task completion,Calcular automáticamente el avance del proyecto a partir de las tareas completadas
Automatically mark milestones as missed when overdue,Marcar automáticamente los hitos como vencidos cuando estén atrasados
Automation rule {0} not found,Regla de automatización {0} no encontrada
Automation: {0},Automatización: {0}
Availability,Disponibilidad
Available,Disponible
Avatar updated successfully,Avatar actualizado correctamente
Avg Progress,Avance promedio
Back,Volver
Back to Portal,Volver al portal
Back to Projects,Volver a proyectos
Beginner,Principiante
Best regards,Atentamente
Billable,Facturable
Billable Amount,Monto facturable
Billable Hours,Horas facturables
Billable Rate,Tarifa facturable
Billing Rate,Tarifa de facturación
Blocked,Bloqueado
Both dates are needed to display task as a bar in Gantt chart,Se necesitan ambas fechas para mostrar la tarea como barra en el diagrama de Gantt
Both doctype and docname are required,Se requieren tanto el doctype como el docname
Both proposed start and end times are required,Se requieren tanto la hora de inicio como la de fin propuestas
Both task_name and depends_on are required,Se requieren tanto task_name como depends_on
Breadcrumb,Ruta de navegación
Brief description of the defect or damage,Breve descripción del defecto o daño
Brief description of this template,Breve descripción de esta plantilla
Brief description of your request,Breve descripción de su solicitud
Brief project description,Breve descripción del proyecto
Budget,Presupuesto
Budget at risk,Presupuesto en riesgo
Budget Burn Rate,Tasa de consumo del presupuesto
Budget Status,Estado del presupuesto
Budget updated,Presupuesto actualizado
Budget:,Presupuesto:
Bug,Error
Burn Rate,Tasa de consumo
Busy,Ocupado
By,Por
By Assignee,Por asignado
By Group,Por grupo
By Milestone,Por hito
By Priority,Por prioridad
By Status,Por estado
Cancel,Cancelar
Cancelled,Cancelado
cannot be undone,no se puede deshacer
Cannot delete client with {0} linked projects. Unlink projects first.,No se puede eliminar el cliente con {0} proyectos vinculados. Desvincule los proyectos primero.
Cannot delete project with {0} linked tasks. Delete tasks first.,No se puede eliminar el proyecto con {0} tareas vinculadas. Elimine las tareas primero.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,No se puede eliminar el recurso con {0} asignaciones activas. Complételas o cancélelas primero.
Cannot delete task with {0} subtasks. Delete subtasks first.,No se puede eliminar la tarea con {0} subtareas. Elimine las subtareas primero.
Capacity,Capacidad
capacity,capacidad
Capacity & Rates,Capacidad y tarifas
Capture project structure for reuse,Capturar la estructura del proyecto para reutilización
Cascade,Cascada
Cascade Preview,Vista previa de cascada
Category,Categoría
Celebrate,Celebrar
Change,Cambiar
Change History,Historial de cambios
Change Priority,Cambiar prioridad
Change Status,Cambiar estado
Changes,Cambios
Changes appear when fields are modified.,Los cambios aparecen cuando se modifican los campos.
Check for new versions of Orga,Buscar nuevas versiones de Orga
Check for Updates,Buscar actualizaciones
Checking...,Verificando...
Checklist,Lista de verificación
Checklist item name is required,El nombre del elemento de la lista de verificación es obligatorio
Checklist item not found,Elemento de la lista de verificación no encontrado
Checklist item title is required,El título del elemento de la lista de verificación es obligatorio
Checklist item {0} not found,Elemento de la lista de verificación {0} no encontrado
Checklist item {0} not found in task,Elemento de la lista de verificación {0} no encontrado en la tarea
Child,Hijo
Choose file to upload,Elegir archivo para subir
Circular dependency detected: {0},Dependencia circular detectada: {0}
Circular parent-child relationship detected,Relación circular padre-hijo detectada
Clear,Borrar
Clear all read,Borrar todas las leídas
Clear date,Borrar fecha
Click on an activity from the list to view and manage its details.,Haga clic en una actividad de la lista para ver y gestionar sus detalles.
Click the avatar to upload a new photo,Haga clic en el avatar para subir una nueva foto
Click to add description...,Haga clic para agregar una descripción...
Click to add notes...,Haga clic para agregar notas...
Click to assign contact,Haga clic para asignar un contacto
Click to change status,Haga clic para cambiar el estado
Click to change type,Haga clic para cambiar el tipo
Click to edit,Haga clic para editar
Click to edit budget,Haga clic para editar el presupuesto
Click to edit description,Haga clic para editar la descripción
Click to edit end date,Haga clic para editar la fecha de fin
Click to edit milestone name,Haga clic para editar el nombre del hito
Click to edit rate,Haga clic para editar la tarifa
Click to edit start date,Haga clic para editar la fecha de inicio
Click to edit title,Haga clic para editar el título
Click to load,Haga clic para cargar
Click to set group dependency...,Haga clic para establecer una dependencia de grupo...
Click to set group...,Haga clic para establecer el grupo...
Click to view,Haga clic para ver
Click to view at-risk projects,Haga clic para ver los proyectos en riesgo
Click to view critical projects,Haga clic para ver los proyectos críticos
Click to view healthy projects,Haga clic para ver los proyectos saludables
Client,Cliente
Client already has a portal user: {0},El cliente ya tiene un usuario del portal: {0}
Client already has portal access,El cliente ya tiene acceso al portal
Client has no portal user to revoke,El cliente no tiene usuario del portal que revocar
Client link removed from project {0},Vínculo del cliente eliminado del proyecto {0}
Client Portal,Portal del cliente
Client {0} deleted successfully,Cliente {0} eliminado correctamente
Close,Cerrar
Close (Esc),Cerrar (Esc)
Comment,Comentario
comment,comentario
Comment added,Comentario agregado
Comment content is required,El contenido del comentario es obligatorio
Comment name is required,El nombre del comentario es obligatorio
Comment not found,Comentario no encontrado
Comment removed,Comentario eliminado
Comment {0} not found in task,Comentario {0} no encontrado en la tarea
Comments,Comentarios
comments,comentarios
Community Edition,Edición Comunitaria
Company,Empresa
Company name...,Nombre de la empresa...
Complete,Completar
Completed,Completado
completed,completado
Completed Tasks,Tareas completadas
Compliance,Cumplimiento
Configure default values for new projects and tasks,Configurar valores predeterminados para nuevos proyectos y tareas
Configure email notification settings,Configurar los ajustes de notificaciones por correo electrónico
Confirm,Confirmar
Contact deleted,Contacto eliminado
Contact Details,Detalles del contacto
Contact Information,Información de contacto
Contact name is required,El nombre del contacto es obligatorio
Contact Support,Contactar soporte
Contact your project manager for more information.,Contacte a su responsable de proyecto para más información.
Contact:,Contacto:
Contacts,Contactos
Context,Contexto
Contractor,Contratista
Cost estimate cannot be negative,La estimación de costos no puede ser negativa
Cost Impact,Impacto en costos
Cost Summary,Resumen de costos
Could not apply the template. Please try again.,No se pudo aplicar la plantilla. Inténtelo de nuevo.
Could not attach file to project,No se pudo adjuntar el archivo al proyecto
Could not change task priority,No se pudo cambiar la prioridad de la tarea
Could not change task status,No se pudo cambiar el estado de la tarea
Could not delete the project. Please try again.,No se pudo eliminar el proyecto. Inténtelo de nuevo.
Could not delete the task. Please try again.,No se pudo eliminar la tarea. Inténtelo de nuevo.
Could not delete the template.,No se pudo eliminar la plantilla.
Could not duplicate the task. Please try again.,No se pudo duplicar la tarea. Inténtelo de nuevo.
Could not export the template.,No se pudo exportar la plantilla.
Could not import the template. Please check the file format.,No se pudo importar la plantilla. Verifique el formato del archivo.
Could not link task to milestone,No se pudo vincular la tarea al hito
Could not load document details.,No se pudieron cargar los detalles del documento.
Could not load task details,No se pudieron cargar los detalles de la tarea
Could not promote checklist item to task.,No se pudo promover el elemento de la lista de verificación a tarea.
Could not remove task from milestone,No se pudo quitar la tarea del hito
Could not save budget.,No se pudo guardar el presupuesto.
Could not save changes to the milestone,No se pudieron guardar los cambios del hito
Could not save changes to the task,No se pudieron guardar los cambios de la tarea
Could not save description.,No se pudo guardar la descripción.
Could not save end date.,No se pudo guardar la fecha de fin.
Could not save milestone name.,No se pudo guardar el nombre del hito.
Could not save start date.,No se pudo guardar la fecha de inicio.
Could not save the template. Please try again.,No se pudo guardar la plantilla. Inténtelo de nuevo.
Could not save title.,No se pudo guardar el título.
Could not update dependency mode.,No se pudo actualizar el modo de dependencia.
Could not update milestone date,No se pudo actualizar la fecha del hito
Could not update project status.,No se pudo actualizar el estado del proyecto.
Could not update project type.,No se pudo actualizar el tipo de proyecto.
Could not update setting.,No se pudo actualizar el ajuste.
Could not update task dates,No se pudieron actualizar las fechas de la tarea
Could not update task status,No se pudo actualizar el estado de la tarea
Could not update the template.,No se pudo actualizar la plantilla.
Create a copy of this task,Crear una copia de esta tarea
Create Contact,Crear contacto
Create Event,Crear evento
Create Milestone,Crear hito
Create New Milestone,Crear nuevo hito
Create New Task,Crear nueva tarea
Create Project,Crear proyecto
Create Task,Crear tarea
Create tasks and milestones from a template,Crear tareas e hitos a partir de una plantilla
Create your first project to get started.,Cree su primer proyecto para comenzar.
Create your first task to start tracking work on this project.,Cree su primera tarea para comenzar a seguir el trabajo en este proyecto.
Created,Creado
Creating...,Creando...
Critical,Crítico
Critical Path,Ruta crítica
"Currency used for budgets, costs, and billing rates","Moneda utilizada para presupuestos, costos y tarifas de facturación"
Current,Actual
Current Assignments,Asignaciones actuales
Current scheduled time:,Horario programado actual:
Currently running version,Versión actualmente instalada
d lag,d de desfase
Daily Availability,Disponibilidad diaria
Daily Hours,Horas diarias
Danger Zone,Zona de peligro
Dark,Oscuro
Dashboard,Panel de control
Date,Fecha
Date changes on this task will show cascade impact here,Los cambios de fecha en esta tarea mostrarán el impacto en cascada aquí
Date cleared,Fecha borrada
Date of Joining,Fecha de ingreso
Date updated,Fecha actualizada
Dates,Fechas
Dates cascaded,Fechas aplicadas en cascada
Dates will be relative to the project's start date.,Las fechas serán relativas a la fecha de inicio del proyecto.
Day,Día
day,día
days,días
Days before due date to send reminder,Días antes de la fecha de vencimiento para enviar recordatorio
Days Overdue,Días de atraso
Days Remaining,Días restantes
Deadline,Fecha límite
Deadlines,Fechas límite
Decision,Decisión
Decline,Rechazar
Declined,Rechazado
Default Currency,Moneda predeterminada
Default hours per week for contact capacity planning,Horas predeterminadas por semana para la planificación de capacidad de contactos
Default Priority,Prioridad predeterminada
Default Project Status,Estado predeterminado del proyecto
Default Task Status,Estado predeterminado de la tarea
Default task view,Vista predeterminada de tareas
Default Values,Valores predeterminados
Default Weekly Capacity,Capacidad semanal predeterminada
Defaults,Valores predeterminados
Defect Cost Impact,Impacto financiero del defecto
Defect name is required,El nombre del defecto es obligatorio
Defect Type,Tipo de defecto
Defect {0} not found,Defecto {0} no encontrado
Defects,Defectos
Defects & Issues,Defectos y problemas
Defects Resolved,Defectos resueltos
Delayed,Retrasado
Delete,Eliminar
Delete Activity Data,Eliminar datos de actividad
Delete all read notifications?,¿Eliminar todas las notificaciones leídas?
Delete comment,Eliminar comentario
Delete Contact,Eliminar contacto
Delete Event,Eliminar evento
Delete Event?,¿Eliminar evento?
Delete failed,Error al eliminar
Delete file,Eliminar archivo
Delete item,Eliminar elemento
Delete note,Eliminar nota
Delete Project,Eliminar proyecto
Delete Task,Eliminar tarea
Delete this project,Eliminar este proyecto
Deleted,Eliminado
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Proyecto ""{0}"" eliminado ({1} tareas, {2} hitos)"
Deletes notes and preferences. Source document is not affected.,Elimina notas y preferencias. El documento de origen no se ve afectado.
Deleting...,Eliminando...
Department,Departamento
Dependencies,Dependencias
dependencies,dependencias
Dependencies are informational only,Las dependencias son solo informativas
dependency,dependencia
Dependency already exists,La dependencia ya existe
Dependency Chain,Cadena de dependencias
Dependency created,Dependencia creada
Dependency mode updated,Modo de dependencia actualizado
Dependency name is required,El nombre de la dependencia es obligatorio
Dependency task {0} not found,Tarea de dependencia {0} no encontrada
Dependency {0} not found,Dependencia {0} no encontrada
depends,depende
Depends on Group,Depende del grupo
Depends on task is required,La tarea de dependencia es obligatoria
depends on...,depende de...
Descending -- click to reverse,Descendente -- haga clic para invertir
Describe the defect in detail...,Describa el defecto en detalle...
Description,Descripción
Description updated,Descripción actualizada
Designation,Cargo
"Detailed description of the defect, location, and impact","Descripción detallada del defecto, ubicación e impacto"
Details,Detalles
Discard timer,Descartar cronómetro
Discussion,Discusión
Dismiss,Descartar
Display,Visualización
Document,Documento
Document attached to project,Documento adjuntado al proyecto
Document final decision and rationale,Documentar la decisión final y su justificación
Documentation Review,Revisión de documentación
Documents,Documentos
Done,Hecho
Download,Descargar
Drag to create dependency,Arrastrar para crear dependencia
Dry Run,Simulación
Dry Run Complete,Simulación completada
Due Date,Fecha de vencimiento
Due date,Fecha de vencimiento
Due Date (Earliest),Fecha de vencimiento (más próxima)
Due date cannot be before start date,La fecha de vencimiento no puede ser anterior a la fecha de inicio
Due date is in the past,La fecha de vencimiento está en el pasado
Due Date Reminders,Recordatorios de fecha de vencimiento
Due Diligence,Verificación previa
Due Diligence Checklist,Lista de verificación previa
Due This Week,Vence esta semana
Due:,Vence:
Duplicate events are not allowed,No se permiten eventos duplicados
Duplicate failed,Error al duplicar
Duplicate Task,Duplicar tarea
Duration,Duración
Duration Summary,Resumen de duración
Duration:,Duración:
e.g. Cracked wall finish in bathroom...,ej.: Acabado de pared agrietado en el baño...
"e.g. Electrical, Plumbing...","ej.: Electricidad, Plomería..."
Edit,Editar
Edit (E),Editar (E)
Edit dependency,Editar dependencia
Edit Event,Editar evento
Efficiency,Eficiencia
Either dependency_name or depends_on is required,Se requiere dependency_name o depends_on
Email,Correo electrónico
Email invitations to all attendees,Invitaciones por correo electrónico a todos los asistentes
Email is required to create portal user,El correo electrónico es obligatorio para crear un usuario del portal
Email notifications,Notificaciones por correo electrónico
Employee,Empleado
Employee DocType not available,DocType Empleado no disponible
Employee not found,Empleado no encontrado
Enable or disable optional features,Activar o desactivar funciones opcionales
Enable Time Tracking,Activar seguimiento de tiempo
End,Fin
End Date,Fecha de fin
End date,Fecha de fin
End Date cannot be before Start Date,La fecha de fin no puede ser anterior a la fecha de inicio
End date cannot be before start date,La fecha de fin no puede ser anterior a la fecha de inicio
End date updated,Fecha de fin actualizada
End time was before start time. Adjusted to 1 hour after start.,La hora de fin era anterior a la hora de inicio. Se ajustó a 1 hora después del inicio.
End:,Fin:
Enter milestone name...,Ingrese el nombre del hito...
Enter project name,Ingrese el nombre del proyecto
Enter task title...,Ingrese el título de la tarea...
Enter template name,Ingrese el nombre de la plantilla
Enter your note... Use @name to mention someone,Ingrese su nota... Use @nombre para mencionar a alguien
Error,Error
Error loading activity,Error al cargar la actividad
Error loading contacts,Error al cargar los contactos
Error loading dashboard,Error al cargar el panel de control
Error loading project,Error al cargar el proyecto
Error loading projects,Error al cargar los proyectos
Error loading settings,Error al cargar los ajustes
Error loading tasks,Error al cargar las tareas
Error loading templates,Error al cargar las plantillas
Est. Hours,Horas est.
Estimated,Estimado
Estimated Cost,Costo estimado
Estimated Cost (€),Costo estimado (€)
Estimated Hours,Horas estimadas
Estimated:,Estimado:
Evaluate potential risks and concerns,Evaluar riesgos y preocupaciones potenciales
Event,Evento
Event is required for event context,El evento es obligatorio para el contexto de evento
Event is required when tracking context is 'event',El evento es obligatorio cuando el contexto de seguimiento es «evento»
Event Type,Tipo de evento
Events,Eventos
Events not available. Please run: bench --site orga.localhost migrate,Eventos no disponibles. Ejecute: bench --site orga.localhost migrate
Events:,Eventos:
Expert,Experto
Explain why you are proposing a different time...,Explique por qué propone un horario diferente...
Export,Exportar
Export failed,Error al exportar
Export JSON,Exportar a JSON
Exported,Exportado
Exported to timesheet {0},Exportado a la hoja de tiempo {0}
External,Externo
Failed to add item,Error al agregar el elemento
Failed to add note,Error al agregar la nota
Failed to add skill,Error al agregar la habilidad
Failed to apply cascade changes: {0},Error al aplicar los cambios en cascada: {0}
Failed to create defect,Error al crear el defecto
Failed to create dependency,Error al crear la dependencia
Failed to create event,Error al crear el evento
Failed to create milestone,Error al crear el hito
Failed to create project,Error al crear el proyecto
Failed to create task,Error al crear la tarea
Failed to create time log,Error al crear la entrada de tiempo
Failed to delete,Error al eliminar
Failed to delete comment,Error al eliminar el comentario
Failed to delete contact,Error al eliminar el contacto
Failed to load,Error al cargar
Failed to load activity,Error al cargar la actividad
Failed to load assignments,Error al cargar las asignaciones
Failed to load contact,Error al cargar el contacto
Failed to load dashboard data,Error al cargar los datos del panel de control
Failed to load defects,Error al cargar los defectos
Failed to load events,Error al cargar los eventos
Failed to load project,Error al cargar el proyecto
Failed to load projects,Error al cargar los proyectos
Failed to load report data,Error al cargar los datos del informe
Failed to load settings,Error al cargar los ajustes
Failed to load tasks,Error al cargar las tareas
Failed to move task,Error al mover la tarea
Failed to post comment,Error al publicar el comentario
Failed to propose new time,Error al proponer un nuevo horario
Failed to remove item,Error al quitar el elemento
Failed to remove skill,Error al quitar la habilidad
Failed to reorder milestones: {0},Error al reordenar los hitos: {0}
Failed to reorder tasks: {0},Error al reordenar las tareas: {0}
Failed to reschedule dependent tasks: {0},Error al reprogramar las tareas dependientes: {0}
Failed to save,Error al guardar
Failed to save preferences,Error al guardar las preferencias
Failed to save settings,Error al guardar los ajustes
Failed to submit request. Please try again.,Error al enviar la solicitud. Inténtelo de nuevo.
Failed to update item,Error al actualizar el elemento
Failed to update priority,Error al actualizar la prioridad
Failed to update task,Error al actualizar la tarea
Failed to update tasks: {0},Error al actualizar las tareas: {0}
Failed to upload avatar,Error al subir el avatar
Feature,Función
Features,Funciones
FF (Finish-Finish),FF (Fin-Fin)
FF - Finish-to-Finish,FF - Fin-a-Fin
Field has been updated,El campo ha sido actualizado
Field name is required for 'Set Field Value' action,El nombre del campo es obligatorio para la acción «Establecer valor del campo»
Field {0} is not a Link field,El campo {0} no es un campo de tipo Enlace
Field {0} not found in {1},Campo {0} no encontrado en {1}
File,Archivo
file,archivo
File does not belong to this task,El archivo no pertenece a esta tarea
File name is required,El nombre del archivo es obligatorio
File uploaded,Archivo subido
File {0} not found,Archivo {0} no encontrado
Files,Archivos
files,archivos
Filter,Filtro
Final Decision,Decisión final
Finance,Finanzas
Financial,Financiero
Finish-to-Finish,Fin-a-Fin
Finish-to-Start,Fin-a-Inicio
Flag,Marcar
Flag for attention,Marcar para atención
Flagged,Marcado
Focus Panel,Panel de enfoque
Follows your system preference. Currently:,Sigue su preferencia del sistema. Actualmente:
Frappe Project {0} not found,Proyecto Frappe {0} no encontrado
Frappe Projects Migration,Migración de Frappe Projects
Frappe Projects module not available,Módulo Frappe Projects no disponible
Frappe Projects module not installed,Módulo Frappe Projects no instalado
Frappe Projects sync is not enabled,La sincronización con Frappe Projects no está activada
Frappe Task DocType not found,DocType Tarea de Frappe no encontrado
Frappe Task has no project,La tarea de Frappe no tiene proyecto
Frappe Task {0} not found,Tarea de Frappe {0} no encontrada
Fri,Vie
From,Desde
From Template,Desde plantilla
FS (Finish-Start),FS (Fin-Inicio)
FS - Finish-to-Start (default),FS - Fin-a-Inicio (predeterminado)
Full form view with audit trail,Vista de formulario completa con registro de auditoría
Full name,Nombre completo
Gantt,Gantt
Gantt Chart,Diagrama de Gantt
Gantt View,Vista Gantt
General Note,Nota general
Get started,Comenzar
Go back,Volver
Go Back,Volver
Group by,Agrupar por
Group dependency removed,Dependencia de grupo eliminada
Group dependency set,Dependencia de grupo establecida
Group removed,Grupo eliminado
Group updated,Grupo actualizado
Hammock task dates are auto-calculated and cannot be changed manually,Las fechas de las tareas hamaca se calculan automáticamente y no se pueden cambiar manualmente
Have a question or need assistance? Fill out the form below and our team will get back to you.,¿Tiene una pregunta o necesita ayuda? Complete el formulario a continuación y nuestro equipo se pondrá en contacto con usted.
Health,Salud
Healthy,Saludable
Hello {0},Hola {0}
Here's what's happening with your projects today.,Esto es lo que sucede con sus proyectos hoy.
Hide,Ocultar
High,Alta
History,Historial
Home,Inicio
Hourly Cost,Costo por hora
Hours,Horas
hours,horas
Hours Logged,Horas registradas
ID,ID
Image must be smaller than 5 MB,La imagen debe ser menor de 5 MB
Import,Importar
Import existing projects and tasks from Frappe Projects module,Importar proyectos y tareas existentes desde el módulo Frappe Projects
Import failed,Error al importar
Import Template,Importar plantilla
Imported,Importado
in,en
In Progress,En curso
In Review,En revisión
In-app notifications,Notificaciones en la aplicación
Inactive,Inactivo
Initial Review,Revisión inicial
Installed Version,Versión instalada
Insufficient permissions to view all tasks,Permisos insuficientes para ver todas las tareas
Intermediate,Intermedio
Internal,Interno
Invalid DocType,DocType no válido
Invalid DocType for import,DocType no válido para importación
Invalid item type: {0},Tipo de elemento no válido: {0}
Invalid JSON data,Datos JSON no válidos
Invalid note type. Must be one of: {0},Tipo de nota no válido. Debe ser uno de: {0}
Invalid project reference,Referencia de proyecto no válida
Invalid reaction type. Must be one of: {0},Tipo de reacción no válido. Debe ser uno de: {0}
Invalid RSVP status,Estado RSVP no válido
Invalid status. Must be one of: {0},Estado no válido. Debe ser uno de: {0}
Invalid status: {0},Estado no válido: {0}
Invalid status: {0}. Must be one of: {1},Estado no válido: {0}. Debe ser uno de: {1}
Invalid tracking context: {0},Contexto de seguimiento no válido: {0}
Invalid visibility. Must be one of: {0},Visibilidad no válida. Debe ser una de: {0}
Invitation: {0} - {1} at {2},Invitación: {0} - {1} a las {2}
Invite People,Invitar personas
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","No eres tú, es el enlace. La página que buscas puede haber sido movida, renombrada o se está tomando un merecido descanso. Tus proyectos y datos están perfectamente seguros."
Item added,Elemento agregado
Item ID is required,El ID del elemento es obligatorio
Item removed,Elemento eliminado
Item type is required,El tipo de elemento es obligatorio
Item {0} not found,Elemento {0} no encontrado
Job title or role,Cargo o función
Join Meeting,Unirse a la reunión
Just now,Ahora mismo
just now,ahora mismo
Kanban,Kanban
Kanban Board,Tablero Kanban
Kanban View,Vista Kanban
Keyboard Shortcuts,Atajos de teclado
Keyboard shortcuts (?),Atajos de teclado (?)
Last checked: {0},Última verificación: {0}
Last Updated,Última actualización
Last updated:,Última actualización:
Last Week,Semana pasada
Latest Version,Última versión
Light,Claro
Link failed,Error al vincular
Link Task,Vincular tarea
Linked,Vinculado
Linked employee not found,Empleado vinculado no encontrado
Linked Tasks,Tareas vinculadas
List,Lista
List View,Vista de lista
Load failed,Error al cargar
Load More,Cargar más
Load more comments,Cargar más comentarios
Loading activity...,Cargando actividad...
Loading changes...,Cargando cambios...
Loading checklist...,Cargando lista de verificación...
Loading comments...,Cargando comentarios...
Loading contact...,Cargando contacto...
Loading contacts...,Cargando contactos...
Loading dependencies...,Cargando dependencias...
Loading details...,Cargando detalles...
Loading discussion...,Cargando discusión...
Loading events...,Cargando eventos...
Loading files...,Cargando archivos...
Loading notes...,Cargando notas...
Loading preferences...,Cargando preferencias...
Loading project...,Cargando proyecto...
Loading projects...,Cargando proyectos...
Loading replies...,Cargando respuestas...
Loading report data...,Cargando datos del informe...
Loading settings...,Cargando ajustes...
Loading task...,Cargando tarea...
Loading templates...,Cargando plantillas...
