+ Add Milestone,+ 新增里程碑
Could not import the template. Please check the file format.,無法匯入範本，請檢查檔案格式。
Could not link task to milestone,無法將工作關聯到里程碑
Could not load document details.,無法載入文件詳細資訊。
Could not load task details,無法載入工作詳細資訊
Could not promote checklist item to task.,無法將檢核清單項目升級為工作。
Could not remove task from milestone,無法從里程碑移除工作
Could not save budget.,無法儲存預算。
Could not save changes to the milestone,無法儲存里程碑的變更
Could not save changes to the task,無法儲存工作的變更
Could not save description.,無法儲存說明。
Could not save end date.,無法儲存結束日期。
Could not save milestone name.,無法儲存里程碑名稱。
Could not save start date.,無法儲存開始日期。
Could not save the template. Please try again.,無法儲存範本，請重試。
Could not save title.,無法儲存標題。
Could not update dependency mode.,無法更新相依模式。
Could not update milestone date,無法更新里程碑日期
Could not update project status.,無法更新專案狀態。
Could not update project type.,無法更新專案類型。
Could not update setting.,無法更新設定。
Could not update task dates,無法更新工作日期
Could not update task status,無法更新工作狀態
Could not update the template.,無法更新範本。
Create a copy of this task,建立此工作的副本
Create Contact,建立聯絡人
Create Event,建立活動
Create Milestone,建立里程碑
Create New Milestone,建立新里程碑
Create New Task,建立新工作
Create Project,建立專案
Create Task,建立工作
Create tasks and milestones from a template,從範本建立工作和里程碑
Create your first project to get started.,建立您的第一個專案以開始使用。
Create your first task to start tracking work on this project.,建立您的第一項工作以開始追蹤此專案的進度。
Created,已建立
Creating...,建立中...
Critical,緊急
Critical Path,關鍵路徑
"Currency used for budgets, costs, and billing rates",用於預算、成本和計費費率的幣別
Current,目前
Current Assignments,目前的指派
Current scheduled time:,目前排定的時間：
Currently running version,Currently running version
d lag,天延遲
Daily Availability,每日可用時段
Daily Hours,每日時數
Danger Zone,危險區域
Dark,深色
Dashboard,儀表板
Date,日期
Date changes on this task will show cascade impact here,此工作的日期變更將在這裡顯示連鎖影響
Date cleared,日期已清除
Date of Joining,到職日期
Date updated,日期已更新
Dates,日期
Dates cascaded,日期已連鎖更新
Dates will be relative to the project's start date.,日期將相對於專案的開始日期。
Day,日
day,天
days,天
Days before due date to send reminder,截止日期前幾天發送提醒
Days Overdue,逾期天數
Days Remaining,剩餘天數
Deadline,截止期限
Deadlines,截止期限
Decision,決定
Decline,拒絕
Declined,已拒絕
Default Currency,預設幣別
Default hours per week for contact capacity planning,聯絡人容量規劃的預設每週時數
Default Priority,預設優先順序
Default Project Status,預設專案狀態
Default Task Status,預設工作狀態
Default task view,預設工作檢視
Default Values,預設值
Default Weekly Capacity,預設每週容量
Defaults,預設值
Defect Cost Impact,缺陷的成本影響
Defect name is required,缺陷名稱為必填
Defect Type,缺陷類型
Defect {0} not found,找不到缺陷 {0}
Defects,缺陷
Defects & Issues,缺陷與問題
Defects Resolved,已解決的缺陷
Delayed,延遲
Delete,刪除
Delete Activity Data,刪除活動資料
Delete all read notifications?,刪除所有已讀通知？
Delete comment,刪除留言
Delete Contact,刪除聯絡人
Delete Event,刪除活動
Delete Event?,刪除活動？
Delete failed,刪除失敗
Delete file,刪除檔案
Delete item,刪除項目
Delete note,刪除備註
Delete Project,刪除專案
Delete Task,刪除工作
Delete this project,刪除此專案
Deleted,已刪除
"Deleted project ""{0}"" ({1} tasks, {2} milestones)",已刪除專案「{0}」（{1} 項工作，{2} 個里程碑）
Deletes notes and preferences. Source document is not affected.,刪除備註和偏好設定。來源文件不受影響。
Deleting...,刪除中...
Department,部門
Dependencies,相依項目
dependencies,相依項目
Dependencies are informational only,相依項目僅供參考
dependency,相依項目
Dependency already exists,相依項目已存在
Dependency Chain,相依鏈
Dependency created,相依項目已建立
Dependency mode updated,相依模式已更新
Dependency name is required,相依項目名稱為必填
Dependency task {0} not found,找不到相依工作 {0}
Dependency {0} not found,找不到相依項目 {0}
depends,相依
Depends on Group,相依於群組
Depends on task is required,相依的工作為必填
depends on...,相依於...
Descending -- click to reverse,降冪排列 -- 點擊以反轉
Describe the defect in detail...,請詳細描述缺陷...
Description,說明
Description updated,說明已更新
Designation,職稱
"Detailed description of the defect, location, and impact",缺陷、位置和影響的詳細說明
Details,詳細資訊
Discard timer,捨棄計時器
Discussion,討論
Dismiss,Dismiss
Display,顯示
Document,文件
Document attached to project,文件已附加到專案
Document final decision and rationale,記錄最終決定和理由
Documentation Review,文件審查
Documents,文件
Done,完成
Download,下載
Drag to create dependency,拖曳以建立相依項目
Dry Run,模擬執行
Dry Run Complete,模擬執行完成
Due Date,截止日期
Due date,截止日期
Due Date (Earliest),截止日期（最早）
Due date cannot be before start date,截止日期不能早於開始日期
Due date is in the past,截止日期已過
Due Date Reminders,截止日期提醒
Due Diligence,盡職調查
Due Diligence Checklist,盡職調查檢核清單
Due This Week,本週到期
Due:,截止：
Duplicate events are not allowed,不允許重複的事件
Duplicate failed,複製失敗
Duplicate Task,複製工作
Duration,期間
Duration Summary,期間摘要
Duration:,期間：
e.g. Cracked wall finish in bathroom...,例如：浴室牆面飾面裂縫...
"e.g. Electrical, Plumbing...",例如：電氣、水管...
Edit,編輯
Edit (E),編輯 (E)
Edit dependency,編輯相依項目
Edit Event,編輯活動
Efficiency,效率
Either dependency_name or depends_on is required,需填寫 dependency_name 或 depends_on
Email,電子郵件
Email invitations to all attendees,以電子郵件邀請所有出席者
Email is required to create portal user,建立入口網站使用者需要電子郵件
Email notifications,電子郵件通知
Employee,員工
Employee DocType not available,員工 DocType 無法使用
Employee not found,找不到員工
Enable or disable optional features,啟用或停用選用功能
Enable Time Tracking,啟用時間追蹤
End,結束
End Date,結束日期
End date,結束日期
End Date cannot be before Start Date,結束日期不能早於開始日期
End date cannot be before start date,結束日期不能早於開始日期
End date updated,結束日期已更新
End time was before start time. Adjusted to 1 hour after start.,結束時間早於開始時間，已調整為開始後 1 小時。
End:,結束：
Enter milestone name...,輸入里程碑名稱...
Enter project name,輸入專案名稱
Enter task title...,輸入工作標題...
Enter template name,輸入範本名稱
Enter your note... Use @name to mention someone,輸入您的備註... 使用 @名稱 來提及某人
Error,錯誤
Error loading activity,載入活動時發生錯誤
Error loading contacts,載入聯絡人時發生錯誤
Error loading dashboard,載入儀表板時發生錯誤
Error loading project,載入專案時發生錯誤
Error loading projects,載入專案列表時發生錯誤
Error loading settings,載入設定時發生錯誤
Error loading tasks,載入工作時發生錯誤
Error loading templates,載入範本時發生錯誤
Est. Hours,預估時數
Estimated,預估
Estimated Cost,預估成本
Estimated Cost (€),預估成本 (€)
Estimated Hours,預估時數
Estimated:,預估：
Evaluate potential risks and concerns,評估潛在風險和疑慮
Event,活動
Event is required for event context,活動情境需要指定活動
Event is required when tracking context is 'event',當追蹤情境為「活動」時，活動為必填
Event Type,活動類型
Events,活動
Events not available. Please run: bench --site orga.localhost migrate,活動功能無法使用，請執行：bench --site orga.localhost migrate
Events:,活動：
Expert,專家
Explain why you are proposing a different time...,請說明您提議不同時間的原因...
Export,匯出
Export failed,匯出失敗
Export JSON,匯出 JSON
Exported,已匯出
Exported to timesheet {0},已匯出至時間表 {0}
External,外部
Failed to add item,新增項目失敗
Failed to add note,新增備註失敗
Failed to add skill,新增技能失敗
Failed to apply cascade changes: {0},套用連鎖變更失敗：{0}
Failed to create defect,建立缺陷失敗
Failed to create dependency,建立相依項目失敗
Failed to create event,建立活動失敗
Failed to create milestone,建立里程碑失敗
Failed to create project,建立專案失敗
Failed to create task,建立工作失敗
Failed to create time log,建立時間記錄失敗
Failed to delete,刪除失敗
Failed to delete comment,刪除留言失敗
Failed to delete contact,刪除聯絡人失敗
Failed to load,載入失敗
Failed to load activity,載入活動失敗
Failed to load assignments,載入指派失敗
Failed to load contact,載入聯絡人失敗
Failed to load dashboard data,載入儀表板資料失敗
Failed to load defects,載入缺陷失敗
Failed to load events,載入活動失敗
Failed to load project,載入專案失敗
Failed to load projects,載入專案列表失敗
Failed to load report data,載入報表資料失敗
Failed to load settings,載入設定失敗
Failed to load tasks,載入工作失敗
Failed to move task,移動工作失敗
Failed to post comment,發表留言失敗
Failed to propose new time,提議新時間失敗
Failed to remove item,移除項目失敗
Failed to remove skill,移除技能失敗
Failed to reorder milestones: {0},重新排序里程碑失敗：{0}
Failed to reorder tasks: {0},重新排序工作失敗：{0}
Failed to reschedule dependent tasks: {0},重新排程相依工作失敗：{0}
Failed to save,儲存失敗
Failed to save preferences,儲存偏好設定失敗
Failed to save settings,儲存設定失敗
Failed to submit request. Please try again.,提交請求失敗，請重試。
Failed to update item,更新項目失敗
Failed to update priority,更新優先順序失敗
Failed to update task,更新工作失敗
Failed to update tasks: {0},更新工作失敗：{0}
Failed to upload avatar,上傳頭像失敗
Feature,功能
Features,功能
FF (Finish-Finish),FF（完成-完成）
FF - Finish-to-Finish,FF - 完成到完成
Field has been updated,欄位已更新
Field name is required for 'Set Field Value' action,「設定欄位值」動作需要欄位名稱
Field {0} is not a Link field,欄位 {0} 不是連結類型欄位
Field {0} not found in {1},在 {1} 中找不到欄位 {0}
File,檔案
file,檔案
File does not belong to this task,此檔案不屬於這項工作
File name is required,檔案名稱為必填
File uploaded,檔案已上傳
File {0} not found,找不到檔案 {0}
Files,檔案
files,檔案
Filter,篩選
Final Decision,最終決定
Finance,財務
Financial,財務
Finish-to-Finish,完成到完成
Finish-to-Start,完成到開始
Flag,標記
Flag for attention,標記以引起注意
Flagged,已標記
Focus Panel,專注面板
Follows your system preference. Currently:,依循您的系統偏好。目前：
Frappe Project {0} not found,找不到 Frappe 專案 {0}
Frappe Projects Migration,Frappe Projects 移轉
Frappe Projects module not available,Frappe Projects 模組無法使用
Frappe Projects module not installed,Frappe Projects 模組未安裝
Frappe Projects sync is not enabled,Frappe Projects 同步未啟用
Frappe Task DocType not found,找不到 Frappe 工作 DocType
Frappe Task has no project,Frappe 工作沒有關聯專案
Frappe Task {0} not found,找不到 Frappe 工作 {0}
Fri,五
From,從
From Template,從範本
FS (Finish-Start),FS（完成-開始）
FS - Finish-to-Start (default),FS - 完成到開始（預設）
Full form view with audit trail,含稽核紀錄的完整表單檢視
Full name,全名
Gantt,Gantt
Gantt Chart,Gantt 圖
Gantt View,Gantt 檢視
General Note,一般備註
Get started,開始使用
Go back,返回
Go Back,返回
Group by,分組依據
Group dependency removed,群組相依已移除
Group dependency set,群組相依已設定
Group removed,群組已移除
Group updated,群組已更新
Hammock task dates are auto-calculated and cannot be changed manually,吊床工作的日期是自動計算的，無法手動修改
Have a question or need assistance? Fill out the form below and our team will get back to you.,有問題或需要協助嗎？請填寫下方表單，我們的團隊會盡快回覆您。
Health,健康度
Healthy,健康
Hello {0},您好 {0}
Here's what's happening with your projects today.,以下是您的專案今日動態。
Hide,隱藏
High,高
History,歷程
Home,首頁
Hourly Cost,每小時成本
Hours,小時
hours,小時
Hours Logged,已記錄時數
ID,ID
Image must be smaller than 5 MB,圖片大小須小於 5 MB
Import,匯入
Import existing projects and tasks from Frappe Projects module,從 Frappe Projects 模組匯入現有專案和工作
Import failed,匯入失敗
Import Template,匯入範本
Imported,已匯入
in,在
In Progress,進行中
In Review,審查中
In-app notifications,應用程式內通知
Inactive,未啟用
Initial Review,初步審查
Installed Version,Installed Version
Insufficient permissions to view all tasks,權限不足以檢視所有工作
Intermediate,中級
Internal,內部
Invalid DocType,無效的 DocType
Invalid DocType for import,匯入用的 DocType 無效
Invalid item type: {0},無效的項目類型：{0}
Invalid JSON data,JSON 資料無效
Invalid note type. Must be one of: {0},無效的備註類型。必須為以下之一：{0}
Invalid project reference,專案參照無效
Invalid reaction type. Must be one of: {0},無效的回應類型。必須為以下之一：{0}
Invalid RSVP status,RSVP 狀態無效
Invalid status. Must be one of: {0},無效的狀態。必須為以下之一：{0}
Invalid status: {0},無效的狀態：{0}
Invalid status: {0}. Must be one of: {1},無效的狀態：{0}。必須為以下之一：{1}
Invalid tracking context: {0},無效的追蹤情境：{0}
Invalid visibility. Must be one of: {0},無效的可見性。必須為以下之一：{0}
Invitation: {0} - {1} at {2},邀請：{0} - {1} 於 {2}
Invite People,邀請人員
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.",不是你的問題，是連結的問題。您要找的頁面可能已被移動、重新命名，或正在享受應得的咖啡休息時間。您的專案和資料完全安全。
Item added,項目已新增
Item ID is required,項目 ID 為必填
Item removed,項目已移除
Item type is required,項目類型為必填
Item {0} not found,找不到項目 {0}
Job title or role,職稱或角色
Join Meeting,加入會議
Just now,剛才
just now,剛才
Kanban,Kanban
Kanban Board,Kanban 看板
Kanban View,Kanban 檢視
Keyboard Shortcuts,鍵盤快捷鍵
Keyboard shortcuts (?),鍵盤快捷鍵 (?)
Last checked: {0},Last checked: {0}
Last Updated,最後更新
Last updated:,最後更新：
Last Week,上週
Latest Version,Latest Version
Light,淺色
Link failed,關聯失敗
Link Task,關聯工作
Linked,已關聯
Linked employee not found,找不到關聯的員工
Linked Tasks,關聯的工作
List,清單
List View,清單檢視
Load failed,載入失敗
Load More,載入更多
Load more comments,載入更多留言
Loading activity...,載入活動中...
Loading changes...,載入變更中...
Loading checklist...,載入檢核清單中...
Loading comments...,載入留言中...
Loading contact...,載入聯絡人中...
Loading contacts...,載入聯絡人中...
Loading dependencies...,載入相依項目中...
Loading details...,載入詳細資訊中...
Loading discussion...,載入討論中...
Loading events...,載入活動中...
Loading files...,載入檔案中...
Loading notes...,載入備註中...
Loading preferences...,載入偏好設定中...
Loading project...,載入專案中...
Loading projects...,載入專案列表中...
Loading replies...,載入回覆中...
Loading report data...,載入報表資料中...
Loading settings...,載入設定中...
Loading task...,載入工作中...
Loading templates...,載入範本中...
Loading time logs...,載入時間記錄中...
Loading your portal...,載入您的入口網站中...
Loading...,載入中...
Location,地點
Log Time,記錄時間
Logout,登出
Low,低
Make Offer,提出報價
Manager,主管
Manual Entry,手動輸入
Margin,利潤
Mark all as read,全部標記為已讀
Mark all read,全部標記為已讀
Mark as read,標記為已讀
Mark as unread,標記為未讀
Mark read,標記為已讀
Marking...,標記中...
Material,材料
Maybe,也許
Medium,中
Meeting,會議
Meeting Link,會議連結
Meeting title,會議標題
Meeting URL,會議網址
Meetings,會議
Mention,提及
Message,訊息
Message is required,訊息為必填
Message is required for '{0}' action,「{0}」動作需要訊息
Migrate,移轉
Migration Complete,移轉完成
Migration ID:,移轉 ID：
Migration log not found: {0},找不到移轉記錄：{0}
Milestone,里程碑
milestone,里程碑
Milestone created,里程碑已建立
Milestone description has been saved.,里程碑說明已儲存。
Milestone ID is required,里程碑 ID 為必填
Milestone marked as Missed (past due date),里程碑已標記為錯過（已逾截止日期）
Milestone moved,里程碑已移動
Milestone Name,里程碑名稱
Milestone name has been saved.,里程碑名稱已儲存。
Milestone name is required,里程碑名稱為必填
Milestone updated,里程碑已更新
Milestone {0} not found,找不到里程碑 {0}
Milestone {0} not in project {1},里程碑 {0} 不在專案 {1} 中
Milestones,里程碑
milestones,里程碑
Milestones:,里程碑：
Minutes,分鐘
Missed,已錯過
Mixed,混合
Mobile,行動裝置
Moderate,中等
Modified,已修改
"Modify details, time, or attendees",修改詳情、時間或參與者
Mon,一
Month,月
Move failed,移動失敗
Must be a positive number,必須為正數
Must finish before this finishes,必須在此項完成之前完成
Must finish before this starts,必須在此項開始之前完成
Must start before this finishes,必須在此項完成之前開始
Must start before this starts,必須在此項開始之前開始
My Assignments,我的指派
My Projects,我的專案
My Schedule,我的行程
My Tasks,我的工作
N/A,不適用
Name,名稱
Name (A-Z),名稱 (A-Z)
Name (Z-A),名稱 (Z-A)
Name cannot exceed 255 characters,名稱不能超過 255 個字元
Need help?,需要協助嗎？
Needs Attention,需要關注
Never,Never
new activities,新活動
New Activity,新活動
New activity,新活動
New Event,新活動
New index is required,新索引為必填
New Project,新專案
New tasks will auto-trail by default.,新工作預設將自動延伸。
Newest First,最新的在前
Next,下一個
Next 14 days,未來 14 天
Next 30 days,未來 30 天
Next 60 days,未來 60 天
Next 7 days,未來 7 天
Next 90 days,未來 90 天
Next Week,下週
Next:,下一個：
No,否
No active assignments,沒有進行中的指派
No active projects,沒有進行中的專案
No active timer found,找不到進行中的計時器
No activity selected,未選擇活動
No assignments found,找不到指派
No attendees,沒有出席者
no change,無變更
No changes for this field.,此欄位沒有變更。
No changes recorded for this activity.,此活動沒有記錄的變更。
No checklist items yet,尚無檢核清單項目
No checklist items yet.,尚無檢核清單項目。
No comments yet,尚無留言
No comments yet.,尚無留言。
No contacts available,沒有可用的聯絡人
No content for this tab,此分頁沒有內容
No data available,沒有可用的資料
No data available for the selected filters,所選篩選條件沒有可用的資料
No data to export,沒有可匯出的資料
No dates set,未設定日期
No defects reported,沒有回報的缺陷
No dependencies defined,未定義相依項目
No description,無說明
No discussion yet.,尚無討論。
No documents attached,沒有附加的文件
No due date,無截止日期
No employee linked to this resource,沒有員工關聯到此資源
No ERPNext employee linked to resource,沒有 ERPNext 員工關聯到此資源
No events found,找不到活動
No files attached yet.,尚未附加任何檔案。
No Frappe Project linked,沒有關聯的 Frappe 專案
No Grouping,不分組
No items,沒有項目
No matching tasks,沒有符合的工作
No matching tasks found,找不到符合的工作
No migration history,沒有移轉紀錄
No Milestone,無里程碑
No milestones,無里程碑
No milestones defined for this project.,此專案未定義里程碑。
No notes yet.,尚無備註。
No notes yet. Add a due diligence note to track progress.,尚無備註。新增一則盡職調查備註以追蹤進度。
No notifications,沒有通知
No Orga Project linked to Frappe Project {0},沒有 Orga 專案關聯到 Frappe 專案 {0}
No overdue tasks,沒有逾期的工作
No pending cascade changes,沒有待處理的連鎖變更
No predecessors - this task can start independently,沒有前置工作 - 此工作可以獨立開始
No project,無專案
No projects found,找不到專案
