+ Add Milestone,+ Bæta við áfanga
Appointment,Tímabókanir
Appointment and resource are required,Tímabókun og úrræði er krafist
Appointment name is required,Nafn tímabókunar er krafist
Appointment not found,Tímabókun fannst ekki
Appointment {0} not found,Tímabókun {0} fannst ekki
Apps,Forrit
Archive,Setja í safn
Archive Activity,Setja virkni í safn
Archived,Í safni
Are you sure you want to delete this activity data? This cannot be undone.,Ertu viss um að þú viljir eyða þessum virkniupplýsingum? Þetta er ekki hægt að afturkalla.
Are you sure you want to delete this comment?,Ertu viss um að þú viljir eyða þessari athugasemd?
Are you sure you want to delete this project?,Ertu viss um að þú viljir eyða þessu verkefni?
Are you sure?,Ertu viss?
Ascending -- click to reverse,Hækkandi -- smelltu til að snúa við
Assign To,Úthluta á
Assign to Me,Úthluta á mig
Assigned Contact,Úthluaður tengiliður
Assigned To,Úthlutað á
Assigned to,Úthlutað á
Assigned to Me,Úthlutað á mig
Assignee,Úthlutunaraðili
Assignment,Úthlutun
Assignment History,Úthlutunarferill
Assignment name is required,Nafn úthlutunar er krafist
Assignment {0} not found,Úthlutun {0} fannst ekki
Assignments,Úthlutanir
At least one action is required,Að minnsta kosti ein aðgerð er krafist
At least one event is required,Að minnsta kosti einn viðburður er krafist
At least one event must be selected,Að minnsta kosti einn viðburður verður að vera valinn
Attachment,Viðhengi
Attachments,Viðhengi
Attendees,Þátttakendur
"Audit trail, assignments, version history","Eftirlitsferill, úthlutanir, útgáfuferill"
Auto,Sjálfvirkt
Auto Calculate Progress,Reikna framvindu sjálfvirkt
Auto Set Missed Milestones,Merkja liðna áfanga sjálfvirkt
Auto-shift dependents when dates change,Sjálfvirk tilfærsla á tengdum verkum þegar dagsetningar breytast
Auto-Trail Start,Sjálfvirk framlenging upphafs
Auto-Trail updated,Sjálfvirk framlenging uppfærð
Automatically calculate project progress from task completion,Reikna framvindu verkefnis sjálfvirkt út frá loknum verkum
Automatically mark milestones as missed when overdue,Merkja áfanga sjálfvirkt sem liðna þegar þeir eru komnir fram yfir frest
Automation rule {0} not found,Sjálfvirkniregla {0} fannst ekki
Automation: {0},Sjálfvirkni: {0}
Availability,Lausastaða
Available,Laus
Avatar updated successfully,Prófílmynd uppfærð
Avg Progress,Meðalframvinda
Back,Til baka
Back to Portal,Aftur á gátt
Back to Projects,Aftur í verkefni
Beginner,Byrjandi
Best regards,Bestu kveðjur
Billable,Reikningshæft
Billable Amount,Reikningshæf upphæð
Billable Hours,Reikningshæfar stundir
Billable Rate,Reikningsgjald
Billing Rate,Gjaldtaka
Blocked,Lokað á
Both dates are needed to display task as a bar in Gantt chart,Báðar dagsetningar þarf til að birta verk sem stiku í Gantt-línuriti
Both doctype and docname are required,Bæði doctype og docname eru krafist
Both proposed start and end times are required,Bæði tillögutímar upphafs og loka eru krafist
Both task_name and depends_on are required,Bæði task_name og depends_on eru krafist
Breadcrumb,Brauðmylsna
Brief description of the defect or damage,Stutt lýsing á galla eða skemmdum
Brief description of this template,Stutt lýsing á þessu sniðmáti
Brief description of your request,Stutt lýsing á beiðni þinni
Brief project description,Stutt verkefnislýsing
Budget,Fjárhagsáætlun
Budget at risk,Fjárhagsáætlun í hættu
Budget Burn Rate,Hraði fjárnotkunar
Budget Status,Staða fjárhagsáætlunar
Budget updated,Fjárhagsáætlun uppfærð
Budget:,Fjárhagsáætlun:
Bug,Villa
Burn Rate,Hraði notkunar
Busy,Upptekin/n
By,Eftir
By Assignee,Eftir úthlutunaraðila
By Group,Eftir hóp
By Milestone,Eftir áfanga
By Priority,Eftir forgangi
By Status,Eftir stöðu
Cancel,Hætta við
Cancelled,Hætt við
cannot be undone,ekki hægt að afturkalla
Cannot delete client with {0} linked projects. Unlink projects first.,Ekki er hægt að eyða viðskiptavini með {0} tengd verkefni. Aftengdu verkefnin fyrst.
Cannot delete project with {0} linked tasks. Delete tasks first.,Ekki er hægt að eyða verkefni með {0} tengd verk. Eyddu verkum fyrst.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Ekki er hægt að eyða úrræði með {0} virkar úthlutanir. Ljúktu þeim eða hættu við fyrst.
Cannot delete task with {0} subtasks. Delete subtasks first.,Ekki er hægt að eyða verki með {0} undirverkum. Eyddu undirverkum fyrst.
Capacity,Afkastageta
capacity,afkastageta
Capacity & Rates,Afkastageta og gjöld
Capture project structure for reuse,Vista verkefnisuppbyggingu til endurnotkunar
Cascade,Keðjubreyting
Cascade Preview,Forskoðun keðjubreytinga
Category,Flokkur
Celebrate,Fagna
Change,Breyta
Change History,Breytingaferill
Change Priority,Breyta forgangi
Change Status,Breyta stöðu
Changes,Breytingar
Changes appear when fields are modified.,Breytingar birtast þegar reitir eru breytt.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Gátlisti
Checklist item name is required,Nafn gátlistaatriðis er krafist
Checklist item not found,Gátlistaatriði fannst ekki
Checklist item title is required,Titill gátlistaatriðis er krafist
Checklist item {0} not found,Gátlistaatriði {0} fannst ekki
Checklist item {0} not found in task,Gátlistaatriði {0} fannst ekki í verki
Child,Undirliður
Choose file to upload,Veldu skrá til að hlaða upp
Circular dependency detected: {0},Hringtengsl greind: {0}
Circular parent-child relationship detected,Hringtengsl yfirliðar og undirliðar greind
Clear,Hreinsa
Clear all read,Hreinsa allar lesnar
Clear date,Hreinsa dagsetningu
Click on an activity from the list to view and manage its details.,Smelltu á virkni af listanum til að skoða og stjórna upplýsingum hennar.
Click the avatar to upload a new photo,Smelltu á prófílmyndina til að hlaða upp nýrri mynd
Click to add description...,Smelltu til að bæta við lýsingu...
Click to add notes...,Smelltu til að bæta við athugasemdum...
Click to assign contact,Smelltu til að úthluta tengilið
Click to change status,Smelltu til að breyta stöðu
Click to change type,Smelltu til að breyta tegund
Click to edit,Smelltu til að breyta
Click to edit budget,Smelltu til að breyta fjárhagsáætlun
Click to edit description,Smelltu til að breyta lýsingu
Click to edit end date,Smelltu til að breyta lokadagsetningu
Click to edit milestone name,Smelltu til að breyta nafni áfanga
Click to edit rate,Smelltu til að breyta gjaldi
Click to edit start date,Smelltu til að breyta upphafsdagsetningu
Click to edit title,Smelltu til að breyta titli
Click to load,Smelltu til að hlaða
Click to set group dependency...,Smelltu til að stilla hóptengsl...
Click to set group...,Smelltu til að stilla hóp...
Click to view,Smelltu til að skoða
Click to view at-risk projects,Smelltu til að skoða verkefni í hættu
Click to view critical projects,Smelltu til að skoða mikilvæg verkefni
Click to view healthy projects,Smelltu til að skoða verkefni í góðri stöðu
Client,Viðskiptavinur
Client already has a portal user: {0},Viðskiptavinur á þegar gáttarnotanda: {0}
Client already has portal access,Viðskiptavinur hefur þegar aðgang að gátt
Client has no portal user to revoke,Viðskiptavinur á engan gáttarnotanda til að afturkalla
Client link removed from project {0},Tengill viðskiptavinar fjarlægður úr verkefni {0}
Client Portal,Viðskiptavinagátt
Client {0} deleted successfully,Viðskiptavinur {0} eytt
Close,Loka
Close (Esc),Loka (Esc)
Comment,Athugasemd
comment,athugasemd
Comment added,Athugasemd bætt við
Comment content is required,Efni athugasemdar er krafist
Comment name is required,Nafn athugasemdar er krafist
Comment not found,Athugasemd fannst ekki
Comment removed,Athugasemd fjarlægð
Comment {0} not found in task,Athugasemd {0} fannst ekki í verki
Comments,Athugasemdir
comments,athugasemdir
Community Edition,Community Edition
Company,Fyrirtæki
Company name...,Nafn fyrirtækis...
Complete,Ljúka
Completed,Lokið
completed,lokið
Completed Tasks,Lokin verk
Compliance,Samræmi
Configure default values for new projects and tasks,Stilla sjálfgefin gildi fyrir ný verkefni og verk
Configure email notification settings,Stilla tilkynningar í tölvupósti
Confirm,Staðfesta
Contact deleted,Tengilið eytt
Contact Details,Tengiliðaupplýsingar
Contact Information,Samskiptaupplýsingar
Contact name is required,Nafn tengiliðar er krafist
Contact Support,Hafa samband við aðstoð
Contact your project manager for more information.,Hafðu samband við verkefnastjóra til að fá nánari upplýsingar.
Contact:,Tengiliður:
Contacts,Tengiliðir
Context,Samhengi
Contractor,Verktaki
Cost estimate cannot be negative,Kostnaðarmat getur ekki verið neikvætt
Cost Impact,Kostnaðaráhrif
Cost Summary,Kostnaðaryfirlit
Could not apply the template. Please try again.,Ekki tókst að nota sniðmátið. Reyndu aftur.
Could not attach file to project,Ekki tókst að hengja skrá við verkefni
Could not change task priority,Ekki tókst að breyta forgangi verks
Could not change task status,Ekki tókst að breyta stöðu verks
Could not delete the project. Please try again.,Ekki tókst að eyða verkefninu. Reyndu aftur.
Could not delete the task. Please try again.,Ekki tókst að eyða verkinu. Reyndu aftur.
Could not delete the template.,Ekki tókst að eyða sniðmátinu.
Could not duplicate the task. Please try again.,Ekki tókst að afrita verkið. Reyndu aftur.
Could not export the template.,Ekki tókst að flytja sniðmátið út.
Could not import the template. Please check the file format.,Ekki tókst að flytja sniðmátið inn. Athugaðu skráarsniðið.
Could not link task to milestone,Ekki tókst að tengja verk við áfanga
Could not load document details.,Ekki tókst að hlaða skjalupplýsingum.
Could not load task details,Ekki tókst að hlaða verkupplýsingum
Could not promote checklist item to task.,Ekki tókst að umbreyta gátlistaatriði í verk.
Could not remove task from milestone,Ekki tókst að fjarlægja verk úr áfanga
Could not save budget.,Ekki tókst að vista fjárhagsáætlun.
Could not save changes to the milestone,Ekki tókst að vista breytingar á áfanga
Could not save changes to the task,Ekki tókst að vista breytingar á verki
Could not save description.,Ekki tókst að vista lýsingu.
Could not save end date.,Ekki tókst að vista lokadagsetningu.
Could not save milestone name.,Ekki tókst að vista nafn áfanga.
Could not save start date.,Ekki tókst að vista upphafsdagsetningu.
Could not save the template. Please try again.,Ekki tókst að vista sniðmátið. Reyndu aftur.
Could not save title.,Ekki tókst að vista titil.
Could not update dependency mode.,Ekki tókst að uppfæra tengslaham.
Could not update milestone date,Ekki tókst að uppfæra dagsetningu áfanga
Could not update project status.,Ekki tókst að uppfæra stöðu verkefnis.
Could not update project type.,Ekki tókst að uppfæra tegund verkefnis.
Could not update setting.,Ekki tókst að uppfæra stillingu.
Could not update task dates,Ekki tókst að uppfæra dagsetningar verks
Could not update task status,Ekki tókst að uppfæra stöðu verks
Could not update the template.,Ekki tókst að uppfæra sniðmátið.
Create a copy of this task,Búa til afrit af þessu verki
Create Contact,Búa til tengilið
Create Event,Búa til viðburð
Create Milestone,Búa til áfanga
Create New Milestone,Búa til nýjan áfanga
Create New Task,Búa til nýtt verk
Create Project,Búa til verkefni
Create Task,Búa til verk
Create tasks and milestones from a template,Búa til verk og áfanga úr sniðmáti
Create your first project to get started.,Búðu til fyrsta verkefnið þitt til að byrja.
Create your first task to start tracking work on this project.,Búðu til fyrsta verkið þitt til að byrja að fylgjast með vinnu í þessu verkefni.
Created,Búið til
Creating...,Bý til...
Critical,Mjög brýnt
Critical Path,Mikilvægasta leiðin
"Currency used for budgets, costs, and billing rates","Gjaldmiðill notaður fyrir fjárhagsáætlanir, kostnað og innheimtuverð"
Current,Núverandi
Current Assignments,Núverandi úthlutanir
Current scheduled time:,Tímasetning eins og hún er:
Currently running version,Currently running version
d lag,d seinkun
Daily Availability,Dagleg staða
Daily Hours,Dagstundir
Danger Zone,Hættusvæði
Dark,Dökkt
Dashboard,Stjórnborð
Date,Dagsetning
Date changes on this task will show cascade impact here,Dagsetningarbreytingar á þessu verki munu sýna keðjuáhrif hér
Date cleared,Dagsetning hreinsuð
Date of Joining,Upphafsdagur
Date updated,Dagsetning uppfærð
Dates,Dagsetningar
Dates cascaded,Dagsetningar keðjubreyttar
Dates will be relative to the project's start date.,Dagsetningar verða miðað við upphafsdagsetningu verkefnisins.
Day,Dagur
day,dagur
days,dagar
Days before due date to send reminder,Dagar fyrir skiladag til að senda áminningu
Days Overdue,Dagar fram yfir frest
Days Remaining,Dagar eftir
Deadline,Frestur
Deadlines,Frestir
Decision,Ákvörðun
Decline,Hafna
Declined,Hafnað
Default Currency,Sjálfgefinn gjaldmiðill
Default hours per week for contact capacity planning,Sjálfgefnar stundir á viku til áætlunar á afkastagetu tengiliða
Default Priority,Sjálfgefinn forgangur
Default Project Status,Sjálfgefin staða verkefnis
Default Task Status,Sjálfgefin staða verks
Default task view,Sjálfgefið viðmót verka
Default Values,Sjálfgefin gildi
Default Weekly Capacity,Sjálfgefin vikuleg afkastageta
Defaults,Sjálfgildi
Defect Cost Impact,Kostnaðaráhrif galla
Defect name is required,Nafn galla er krafist
Defect Type,Tegund galla
Defect {0} not found,Galli {0} fannst ekki
Defects,Gallar
Defects & Issues,Gallar og vandamál
Defects Resolved,Gallar lagfærðir
Delayed,Seinkað
Delete,Eyða
Delete Activity Data,Eyða virkniupplýsingum
Delete all read notifications?,Eyða öllum lesnum tilkynningum?
Delete comment,Eyða athugasemd
Delete Contact,Eyða tengilið
Delete Event,Eyða viðburði
Delete Event?,Eyða viðburði?
Delete failed,Eyðing mistókst
Delete file,Eyða skrá
Delete item,Eyða atriði
Delete note,Eyða athugasemd
Delete Project,Eyða verkefni
Delete Task,Eyða verki
Delete this project,Eyða þessu verkefni
Deleted,Eytt
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Verkefni ""{0}"" eytt ({1} verk, {2} áfangar)"
Deletes notes and preferences. Source document is not affected.,Eyðir athugasemdum og stillingum. Upprunaskjalið verður ekki fyrir áhrifum.
Deleting...,Eyði...
Department,Deild
Dependencies,Tengsl
dependencies,tengsl
Dependencies are informational only,Tengsl eru aðeins til upplýsinga
dependency,tengsl
Dependency already exists,Tengsl eru þegar til
Dependency Chain,Tengslarás
Dependency created,Tengsl búin til
Dependency mode updated,Tengslahamur uppfærður
Dependency name is required,Nafn tengsla er krafist
Dependency task {0} not found,Tengsláverk {0} fannst ekki
Dependency {0} not found,Tengsl {0} fundust ekki
depends,veltur á
Depends on Group,Veltur á hóp
Depends on task is required,Tengslaverk er krafist
depends on...,veltur á...
Descending -- click to reverse,Lækkandi -- smelltu til að snúa við
Describe the defect in detail...,Lýstu gallanum ítarlega...
Description,Lýsing
Description updated,Lýsing uppfærð
Designation,Starfsheiti
"Detailed description of the defect, location, and impact","Ítarleg lýsing á galla, staðsetningu og áhrifum"
Details,Upplýsingar
Discard timer,Henda tímamæli
Discussion,Umræða
Dismiss,Dismiss
Display,Birting
Document,Skjal
Document attached to project,Skjal hengt við verkefni
Document final decision and rationale,Skrá endanlega ákvörðun og rökstuðning
Documentation Review,Yfirferð skjala
Documents,Skjöl
Done,Búið
Download,Hala niður
Drag to create dependency,Dragðu til að búa til tengsl
Dry Run,Prufukeyrsla
Dry Run Complete,Prufukeyrslu lokið
Due Date,Skiladagur
Due date,Skiladagur
Due Date (Earliest),Skiladagur (fyrsti)
Due date cannot be before start date,Skiladagur getur ekki verið á undan upphafsdegi
Due date is in the past,Skiladagur er liðinn
Due Date Reminders,Áminningar um skiladag
Due Diligence,Áreiðanleikakönnun
Due Diligence Checklist,Gátlisti áreiðanleikakönnunar
Due This Week,Á dagskrá þessa viku
Due:,Skiladagur:
Duplicate events are not allowed,Tvítekinn viðburður er ekki leyfður
Duplicate failed,Afritun mistókst
Duplicate Task,Afrita verk
Duration,Lengd
Duration Summary,Lengdaryfirlit
Duration:,Lengd:
e.g. Cracked wall finish in bathroom...,t.d. Sprungið veggefni í baðherbergi...
"e.g. Electrical, Plumbing...","t.d. Rafmagn, pípulagnir..."
Edit,Breyta
Edit (E),Breyta (E)
Edit dependency,Breyta tengslum
Edit Event,Breyta viðburði
Efficiency,Skilvirkni
Either dependency_name or depends_on is required,Annaðhvort dependency_name eða depends_on er krafist
Email,Tölvupóstur
Email invitations to all attendees,Tölvupóstboð til allra þátttakenda
Email is required to create portal user,Netfang er krafist til að búa til gáttarnotanda
Email notifications,Tilkynningar í tölvupósti
Employee,Starfsmaður
Employee DocType not available,DocType starfsmanns er ekki tiltækt
Employee not found,Starfsmaður fannst ekki
Enable or disable optional features,Virkja eða slökkva á valfrjálsum eiginleikum
Enable Time Tracking,Virkja tímaskráningu
End,Lok
End Date,Lokadagsetning
End date,Lokadagsetning
End Date cannot be before Start Date,Lokadagsetning getur ekki verið á undan upphafsdagsetningu
End date cannot be before start date,Lokadagsetning getur ekki verið á undan upphafsdagsetningu
End date updated,Lokadagsetning uppfærð
End time was before start time. Adjusted to 1 hour after start.,Lokatími var á undan upphafstíma. Breytt í 1 klukkustund eftir upphaf.
End:,Lok:
Enter milestone name...,Sláðu inn nafn áfanga...
Enter project name,Sláðu inn nafn verkefnis
Enter task title...,Sláðu inn titil verks...
Enter template name,Sláðu inn nafn sniðmáts
Enter your note... Use @name to mention someone,Skrifaðu athugasemd... Notaðu @nafn til að nefna einhvern
Error,Villa
Error loading activity,Villa við hleðslu virkni
Error loading contacts,Villa við hleðslu tengiliða
Error loading dashboard,Villa við hleðslu stjórnborðs
Error loading project,Villa við hleðslu verkefnis
Error loading projects,Villa við hleðslu verkefna
Error loading settings,Villa við hleðslu stillinga
Error loading tasks,Villa við hleðslu verka
Error loading templates,Villa við hleðslu sniðmáta
Est. Hours,Áætl. stundir
Estimated,Áætlað
Estimated Cost,Áætlaður kostnaður
Estimated Cost (€),Áætlaður kostnaður (€)
Estimated Hours,Áætlaðar stundir
Estimated:,Áætlað:
Evaluate potential risks and concerns,Meta hugsanlega áhættu og áhyggjuefni
Event,Viðburður
Event is required for event context,Viðburður er krafist fyrir viðburðarsamhengi
Event is required when tracking context is 'event',"Viðburður er krafist þegar rakningarsamhengi er „viðburður""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Tegund viðburðar
Events,Viðburðir
Events not available. Please run: bench --site orga.localhost migrate,Viðburðir ekki tiltækir. Keyrðu: bench --site orga.localhost migrate
Events:,Viðburðir:
Expert,Sérfræðingur
Explain why you are proposing a different time...,Útskýrðu hvers vegna þú leggur til annan tíma...
Export,Flytja út
Export failed,Útflutningur mistókst
Export JSON,Flytja út sem JSON
Exported,Flutt út
Exported to timesheet {0},Flutt út í tímaskýrslu {0}
External,Ytri
Failed to add item,Ekki tókst að bæta við atriði
Failed to add note,Ekki tókst að bæta við athugasemd
Failed to add skill,Ekki tókst að bæta við færni
Failed to apply cascade changes: {0},Ekki tókst að nota keðjubreytingar: {0}
Failed to create defect,Ekki tókst að búa til galla
Failed to create dependency,Ekki tókst að búa til tengsl
Failed to create event,Ekki tókst að búa til viðburð
Failed to create milestone,Ekki tókst að búa til áfanga
Failed to create project,Ekki tókst að búa til verkefni
Failed to create task,Ekki tókst að búa til verk
Failed to create time log,Ekki tókst að búa til tímafærslu
Failed to delete,Ekki tókst að eyða
Failed to delete comment,Ekki tókst að eyða athugasemd
Failed to delete contact,Ekki tókst að eyða tengilið
Failed to load,Ekki tókst að hlaða
Failed to load activity,Ekki tókst að hlaða virkni
Failed to load assignments,Ekki tókst að hlaða úthlutanir
Failed to load contact,Ekki tókst að hlaða tengilið
Failed to load dashboard data,Ekki tókst að hlaða gögnum stjórnborðs
Failed to load defects,Ekki tókst að hlaða galla
Failed to load events,Ekki tókst að hlaða viðburði
Failed to load project,Ekki tókst að hlaða verkefni
Failed to load projects,Ekki tókst að hlaða verkefni
Failed to load report data,Ekki tókst að hlaða skýrslugögnum
Failed to load settings,Ekki tókst að hlaða stillingum
Failed to load tasks,Ekki tókst að hlaða verk
Failed to move task,Ekki tókst að færa verk
Failed to post comment,Ekki tókst að birta athugasemd
Failed to propose new time,Ekki tókst að leggja til nýjan tíma
Failed to remove item,Ekki tókst að fjarlægja atriði
Failed to remove skill,Ekki tókst að fjarlægja færni
Failed to reorder milestones: {0},Ekki tókst að endurraða áföngum: {0}
Failed to reorder tasks: {0},Ekki tókst að endurraða verkum: {0}
Failed to reschedule dependent tasks: {0},Ekki tókst að enduráætla tengd verk: {0}
Failed to save,Ekki tókst að vista
Failed to save preferences,Ekki tókst að vista stillingar
Failed to save settings,Ekki tókst að vista stillingar
Failed to submit request. Please try again.,Ekki tókst að senda beiðni. Reyndu aftur.
Failed to update item,Ekki tókst að uppfæra atriði
Failed to update priority,Ekki tókst að uppfæra forgang
Failed to update task,Ekki tókst að uppfæra verk
Failed to update tasks: {0},Ekki tókst að uppfæra verk: {0}
Failed to upload avatar,Ekki tókst að hlaða upp prófílmynd
Feature,Eiginleiki
Features,Eiginleikar
FF (Finish-Finish),FF (Lok-Lok)
FF - Finish-to-Finish,FF - Lok-til-Loka
Field has been updated,Reitur hefur verið uppfærður
Field name is required for 'Set Field Value' action,"Heiti reitar er krafist fyrir aðgerðina „Stilla reitargildi""
Field {0} is not a Link field,Reitur {0} er ekki tengilsvæði
Field {0} not found in {1},Reitur {0} fannst ekki í {1}
File,Skrá
File does not belong to this task,Skrá tilheyrir ekki þessu verki
File name is required,Skráarnafn er krafist
File uploaded,Skrá hlaðið upp
File {0} not found,Skrá {0} fannst ekki
Files,Skrár
Filter,Sía
Final Decision,Endanleg ákvörðun
Finance,Fjármál
Financial,Fjárhagslegt
Finish-to-Finish,Lok-til-Loka
Finish-to-Start,Lok-til-Upphafs
Flag,Flagga
Flag for attention,Flagga til athygli
Flagged,Flaggað
Follows your system preference. Currently:,Fylgir kerfisstillingu þinni. Núna:
Focus Panel,Fókusgluggi
Frappe Project {0} not found,Frappe verkefni {0} fannst ekki
Frappe Projects Migration,Flutningur Frappe verkefna
Frappe Projects module not available,Frappe verkefnaeining er ekki tiltæk
Frappe Projects module not installed,Frappe verkefnaeining er ekki uppsett
Frappe Projects sync is not enabled,Samstilling Frappe verkefna er ekki virk
Frappe Task DocType not found,Frappe verkstegund fannst ekki
Frappe Task has no project,Frappe verk á ekkert verkefni
Frappe Task {0} not found,Frappe verk {0} fannst ekki
Fri,Fös
From,Frá
From Template,Úr sniðmáti
Full form view with audit trail,Fullt skráaryfirlit með eftirlitsferli
Full name,Fullt nafn
Gantt,Gantt
Gantt Chart,Gantt-línurit
Gantt View,Gantt-yfirlit
General Note,Almenn athugasemd
Get started,Byrja
Go back,Fara til baka
Group by,Hópa eftir
Group dependency removed,Hóptengsl fjarlægð
Group dependency set,Hóptengsl stillt
Group removed,Hópur fjarlægður
Group updated,Hópur uppfærður
Hammock task dates are auto-calculated and cannot be changed manually,Dagsetningar svifverka eru reiknaðar sjálfvirkt og er ekki hægt að breyta handvirkt
Have a question or need assistance? Fill out the form below and our team will get back to you."""
Field {0} is not a Link field,Reitur {0} er ekki tengireitur
Field {0} not found in {1},Reitur {0} fannst ekki í {1}
file,skrá
File,Skrá
File does not belong to this task,Skrá tilheyrir ekki þessu verkefni
File name is required,Skráarnafn er nauðsynlegt
File uploaded,Skrá hlaðið upp
File {0} not found,Skrá {0} fannst ekki
files,skrár
Files,Skrár
Filter,Sía
Final Decision,Endanleg ákvörðun
Finance,Fjármál
Financial,Fjárhagslegt
Finish-to-Finish,Lok-til-Loka
Finish-to-Start,Lok-til-Upphaf
Flag,Flagg
Flag for attention,Merkja til athygli
Flagged,Merkt
Focus Panel,Fókusborð
Follows your system preference. Currently:,Fylgir kerfisstillingum þínum. Eins og stendur:
Frappe Project {0} not found,Frappe verkefni {0} fannst ekki
Frappe Projects Migration,Frappe Projects flutningur
Frappe Projects module not available,Frappe Projects eining ekki tiltæk
Frappe Projects module not installed,Frappe Projects eining ekki uppsett
