+ Add Milestone,+ Προσθήκη ορόσημου
Add checklist item...,Προσθήκη στοιχείου λίστας ελέγχου...
Add Contact,Προσθήκη επαφής
Add contacts via the Desk interface or clear filters,Προσθέστε επαφές μέσω του Desk ή καθαρίστε τα φίλτρα
Add Dependency,Προσθήκη εξάρτησης
Add details about this event...,Προσθήκη λεπτομερειών για αυτό το συμβάν...
Add details about this milestone...,Προσθήκη λεπτομερειών για αυτό το ορόσημο...
Add details about this task...,Προσθήκη λεπτομερειών για αυτή την εργασία...
Add details or acceptance criteria for this milestone,Προσθήκη λεπτομερειών ή κριτηρίων αποδοχής για αυτό το ορόσημο
"Add details, context, or acceptance criteria","Προσθήκη λεπτομερειών, πλαισίου ή κριτηρίων αποδοχής"
Add first dependency,Προσθήκη πρώτης εξάρτησης
Add item,Προσθήκη στοιχείου
Add items below to track progress.,Προσθέστε στοιχεία παρακάτω για να παρακολουθείτε την πρόοδο.
Add items below to track subtasks,Προσθέστε στοιχεία παρακάτω για να παρακολουθείτε τις υποεργασίες
Add Milestone,Προσθήκη ορόσημου
Add Milestone (Shift+M),Προσθήκη ορόσημου (Shift+M)
Add milestones to track key deliverables.,Προσθέστε ορόσημα για να παρακολουθείτε τα βασικά παραδοτέα.
Add New Contact,Προσθήκη νέας επαφής
Add Note,Προσθήκη σημείωσης
Add note,Προσθήκη σημείωσης
Add notes about this contact...,Προσθήκη σημειώσεων για αυτή την επαφή...
Add reaction,Προσθήκη αντίδρασης
Add Skill,Προσθήκη δεξιότητας
Add start and due dates to tasks to see them on the Gantt chart,Προσθέστε ημερομηνίες έναρξης και λήξης στις εργασίες για να τις δείτε στο Gantt
Add Task,Προσθήκη εργασίας
Add Task (Shift+T),Προσθήκη εργασίας (Shift+T)
Added Finish-to-Start dependency,Προστέθηκε εξάρτηση Τέλος-προς-Αρχή
Adding this dependency would create a circular reference: {0},Η προσθήκη αυτής της εξάρτησης θα δημιουργούσε κυκλική αναφορά: {0}
Adding...,Προσθήκη...
Address,Διεύθυνση
Advanced,Για προχωρημένους
All,Όλα
All Active,Όλα τα ενεργά
All Assignees,Όλοι οι ανατεθειμένοι
All Categories,Όλες οι κατηγορίες
All caught up!,Είστε ενημερωμένοι!
All Contexts,Όλα τα πλαίσια
All day,Ολοήμερο
All day event,Ολοήμερο συμβάν
All fields,Όλα τα πεδία
All Priorities,Όλες οι προτεραιότητες
All Projects,Όλα τα έργα
All Status,Όλες οι καταστάσεις
All Statuses,Όλες οι καταστάσεις
All task dependencies & relative dates,Όλες οι εξαρτήσεις εργασιών και σχετικές ημερομηνίες
All Tasks,Όλες οι εργασίες
All tasks across all projects.,Όλες οι εργασίες σε όλα τα έργα.
All tasks are already linked,Όλες οι εργασίες είναι ήδη συνδεδεμένες
All team members,Όλα τα μέλη της ομάδας
All Types,Όλοι οι τύποι
All Users,Όλοι οι χρήστες
Allocated,Κατανεμημένο
allocated,κατανεμημένο
Allow users to log time against tasks,Να επιτρέπεται στους χρήστες η καταγραφή χρόνου σε εργασίες
Already exported to timesheet {0},Ήδη εξαγμένο στο φύλλο χρόνου {0}
Already Migrated,Ήδη μεταφερμένο
Anyone with access,Οποιοσδήποτε με πρόσβαση
anytime to show this help,οποτεδήποτε για εμφάνιση αυτής της βοήθειας
App Updates,App Updates
Appearance,Εμφάνιση
Apply,Εφαρμογή
Apply cascade?,Εφαρμογή αλυσιδωτής αλλαγής;
Apply Changes,Εφαρμογή αλλαγών
Apply failed,Η εφαρμογή απέτυχε
Apply Template,Εφαρμογή προτύπου
Applying...,Εφαρμογή...
Appointment,Ραντεβού
Appointment and resource are required,Απαιτείται ραντεβού και πόρος
Appointment name is required,Απαιτείται το όνομα του ραντεβού
Appointment not found,Το ραντεβού δεν βρέθηκε
Appointment {0} not found,Το ραντεβού {0} δεν βρέθηκε
Apps,Εφαρμογές
Archive,Αρχειοθέτηση
Archive Activity,Αρχειοθέτηση δραστηριότητας
Archived,Αρχειοθετημένο
Are you sure you want to delete this activity data? This cannot be undone.,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτά τα δεδομένα δραστηριότητας; Αυτό δεν μπορεί να αναιρεθεί.
Are you sure you want to delete this comment?,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το σχόλιο;
Are you sure you want to delete this project?,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το έργο;
Are you sure?,Είστε σίγουροι;
Ascending -- click to reverse,Αύξουσα -- κάντε κλικ για αντιστροφή
Assign To,Ανάθεση σε
Assign to Me,Ανάθεση σε εμένα
Assigned Contact,Ανατεθειμένη επαφή
Assigned To,Ανατέθηκε σε
Assigned to,Ανατέθηκε σε
Assigned to Me,Ανατέθηκε σε εμένα
Assignee,Υπεύθυνος
Assignment,Ανάθεση
Assignment History,Ιστορικό αναθέσεων
Assignment name is required,Απαιτείται το όνομα της ανάθεσης
Assignment {0} not found,Η ανάθεση {0} δεν βρέθηκε
Assignments,Αναθέσεις
At least one action is required,Απαιτείται τουλάχιστον μία ενέργεια
At least one event is required,Απαιτείται τουλάχιστον ένα συμβάν
At least one event must be selected,Πρέπει να επιλεγεί τουλάχιστον ένα συμβάν
Attachment,Συνημμένο
Attachments,Συνημμένα
Attendees,Συμμετέχοντες
"Audit trail, assignments, version history","Ιστορικό ελέγχου, αναθέσεις, ιστορικό εκδόσεων"
Auto,Αυτόματο
Auto Calculate Progress,Αυτόματος υπολογισμός προόδου
Auto Set Missed Milestones,Αυτόματη σήμανση χαμένων ορόσημων
Auto-shift dependents when dates change,Αυτόματη μετατόπιση εξαρτώμενων όταν αλλάζουν οι ημερομηνίες
Auto-Trail Start,Αυτόματη ολίσθηση έναρξης
Auto-Trail updated,Η αυτόματη ολίσθηση ενημερώθηκε
Automatically calculate project progress from task completion,Αυτόματος υπολογισμός προόδου έργου από την ολοκλήρωση εργασιών
Automatically mark milestones as missed when overdue,Αυτόματη σήμανση ορόσημων ως χαμένων όταν είναι εκπρόθεσμα
Automation rule {0} not found,Ο κανόνας αυτοματισμού {0} δεν βρέθηκε
Automation: {0},Αυτοματισμός: {0}
Availability,Διαθεσιμότητα
Available,Διαθέσιμο
Avatar updated successfully,Η φωτογραφία προφίλ ενημερώθηκε
Avg Progress,Μέση πρόοδος
Back,Πίσω
Back to Portal,Πίσω στην πύλη
Back to Projects,Πίσω στα έργα
Beginner,Αρχάριος
Best regards,Με εκτίμηση
Billable,Χρεώσιμο
Billable Amount,Χρεώσιμο ποσό
Billable Hours,Χρεώσιμες ώρες
Billable Rate,Χρεώσιμο τιμολόγιο
Billing Rate,Τιμολόγιο χρέωσης
Blocked,Αποκλεισμένο
Both dates are needed to display task as a bar in Gantt chart,Χρειάζονται και οι δύο ημερομηνίες για να εμφανιστεί η εργασία ως μπάρα στο Gantt
Both doctype and docname are required,Απαιτούνται και το doctype και το docname
Both proposed start and end times are required,Απαιτούνται και οι προτεινόμενες ώρες έναρξης και λήξης
Both task_name and depends_on are required,Απαιτούνται και το task_name και το depends_on
Breadcrumb,Διαδρομή πλοήγησης
Brief description of the defect or damage,Σύντομη περιγραφή του ελαττώματος ή της ζημιάς
Brief description of this template,Σύντομη περιγραφή αυτού του προτύπου
Brief description of your request,Σύντομη περιγραφή του αιτήματός σας
Brief project description,Σύντομη περιγραφή έργου
Budget,Προϋπολογισμός
Budget at risk,Προϋπολογισμός σε κίνδυνο
Budget Burn Rate,Ρυθμός κατανάλωσης προϋπολογισμού
Budget Status,Κατάσταση προϋπολογισμού
Budget updated,Ο προϋπολογισμός ενημερώθηκε
Budget:,Προϋπολογισμός:
Bug,Σφάλμα
Burn Rate,Ρυθμός κατανάλωσης
Busy,Απασχολημένος
By,Από
By Assignee,Ανά υπεύθυνο
By Group,Ανά ομάδα
By Milestone,Ανά ορόσημο
By Priority,Ανά προτεραιότητα
By Status,Ανά κατάσταση
Cancel,Ακύρωση
Cancelled,Ακυρωμένο
cannot be undone,δεν μπορεί να αναιρεθεί
Cannot delete client with {0} linked projects. Unlink projects first.,Δεν είναι δυνατή η διαγραφή πελάτη με {0} συνδεδεμένα έργα. Αποσυνδέστε πρώτα τα έργα.
Cannot delete project with {0} linked tasks. Delete tasks first.,Δεν είναι δυνατή η διαγραφή έργου με {0} συνδεδεμένες εργασίες. Διαγράψτε πρώτα τις εργασίες.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Δεν είναι δυνατή η διαγραφή πόρου με {0} ενεργές αναθέσεις. Ολοκληρώστε ή ακυρώστε τις πρώτα.
Cannot delete task with {0} subtasks. Delete subtasks first.,Δεν είναι δυνατή η διαγραφή εργασίας με {0} υποεργασίες. Διαγράψτε πρώτα τις υποεργασίες.
Capacity,Χωρητικότητα
capacity,χωρητικότητα
Capacity & Rates,Χωρητικότητα και τιμές
Capture project structure for reuse,Αποθήκευση δομής έργου για επαναχρησιμοποίηση
Cascade,Αλυσιδωτή αλλαγή
Cascade Preview,Προεπισκόπηση αλυσιδωτής αλλαγής
Category,Κατηγορία
Celebrate,Γιορτασμός
Change,Αλλαγή
Change History,Ιστορικό αλλαγών
Change Priority,Αλλαγή προτεραιότητας
Change Status,Αλλαγή κατάστασης
Changes,Αλλαγές
Changes appear when fields are modified.,Οι αλλαγές εμφανίζονται όταν τροποποιούνται πεδία.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Λίστα ελέγχου
Checklist item name is required,Απαιτείται το όνομα του στοιχείου λίστας ελέγχου
Checklist item not found,Το στοιχείο λίστας ελέγχου δεν βρέθηκε
Checklist item title is required,Απαιτείται ο τίτλος του στοιχείου λίστας ελέγχου
Checklist item {0} not found,Το στοιχείο λίστας ελέγχου {0} δεν βρέθηκε
Checklist item {0} not found in task,Το στοιχείο λίστας ελέγχου {0} δεν βρέθηκε στην εργασία
Child,Θυγατρικό
Choose file to upload,Επιλέξτε αρχείο για μεταφόρτωση
Circular dependency detected: {0},Εντοπίστηκε κυκλική εξάρτηση: {0}
Circular parent-child relationship detected,Εντοπίστηκε κυκλική σχέση γονέα-παιδιού
Clear,Καθαρισμός
Clear all read,Καθαρισμός όλων των αναγνωσμένων
Clear date,Καθαρισμός ημερομηνίας
Click on an activity from the list to view and manage its details.,Κάντε κλικ σε μια δραστηριότητα από τη λίστα για να δείτε και να διαχειριστείτε τις λεπτομέρειές της.
Click the avatar to upload a new photo,Κάντε κλικ στη φωτογραφία προφίλ για να ανεβάσετε νέα φωτογραφία
Click to add description...,Κάντε κλικ για προσθήκη περιγραφής...
Click to add notes...,Κάντε κλικ για προσθήκη σημειώσεων...
Click to assign contact,Κάντε κλικ για ανάθεση επαφής
Click to change status,Κάντε κλικ για αλλαγή κατάστασης
Click to change type,Κάντε κλικ για αλλαγή τύπου
Click to edit,Κάντε κλικ για επεξεργασία
Click to edit budget,Κάντε κλικ για επεξεργασία προϋπολογισμού
Click to edit description,Κάντε κλικ για επεξεργασία περιγραφής
Click to edit end date,Κάντε κλικ για επεξεργασία ημερομηνίας λήξης
Click to edit milestone name,Κάντε κλικ για επεξεργασία ονόματος ορόσημου
Click to edit rate,Κάντε κλικ για επεξεργασία τιμής
Click to edit start date,Κάντε κλικ για επεξεργασία ημερομηνίας έναρξης
Click to edit title,Κάντε κλικ για επεξεργασία τίτλου
Click to load,Κάντε κλικ για φόρτωση
Click to set group dependency...,Κάντε κλικ για ορισμό εξάρτησης ομάδας...
Click to set group...,Κάντε κλικ για ορισμό ομάδας...
Click to view,Κάντε κλικ για προβολή
Click to view at-risk projects,Κάντε κλικ για προβολή έργων σε κίνδυνο
Click to view critical projects,Κάντε κλικ για προβολή κρίσιμων έργων
Click to view healthy projects,Κάντε κλικ για προβολή έργων σε καλή κατάσταση
Client,Πελάτης
Client already has a portal user: {0},Ο πελάτης έχει ήδη χρήστη πύλης: {0}
Client already has portal access,Ο πελάτης έχει ήδη πρόσβαση στην πύλη
Client has no portal user to revoke,Ο πελάτης δεν έχει χρήστη πύλης για ανάκληση
Client link removed from project {0},Ο σύνδεσμος πελάτη αφαιρέθηκε από το έργο {0}
Client Portal,Πύλη πελάτη
Client {0} deleted successfully,Ο πελάτης {0} διαγράφηκε
Close,Κλείσιμο
Close (Esc),Κλείσιμο (Esc)
Comment,Σχόλιο
comment,σχόλιο
Comment added,Το σχόλιο προστέθηκε
Comment content is required,Απαιτείται το περιεχόμενο του σχολίου
Comment name is required,Απαιτείται το όνομα του σχολίου
Comment not found,Το σχόλιο δεν βρέθηκε
Comment removed,Το σχόλιο αφαιρέθηκε
Comment {0} not found in task,Το σχόλιο {0} δεν βρέθηκε στην εργασία
Comments,Σχόλια
comments,σχόλια
Community Edition,Community Edition
Company,Εταιρεία
Company name...,Όνομα εταιρείας...
Complete,Ολοκλήρωση
Completed,Ολοκληρωμένο
completed,ολοκληρωμένο
Completed Tasks,Ολοκληρωμένες εργασίες
Compliance,Συμμόρφωση
Configure default values for new projects and tasks,Ρύθμιση προεπιλεγμένων τιμών για νέα έργα και εργασίες
Configure email notification settings,Ρύθμιση ειδοποιήσεων email
Confirm,Επιβεβαίωση
Contact deleted,Η επαφή διαγράφηκε
Contact Details,Στοιχεία επαφής
Contact Information,Πληροφορίες επικοινωνίας
Contact name is required,Απαιτείται το όνομα της επαφής
Contact Support,Επικοινωνία με υποστήριξη
Contact your project manager for more information.,Επικοινωνήστε με τον υπεύθυνο έργου για περισσότερες πληροφορίες.
Contact:,Επαφή:
Contacts,Επαφές
Context,Πλαίσιο
Contractor,Εργολάβος
Cost estimate cannot be negative,Η εκτίμηση κόστους δεν μπορεί να είναι αρνητική
Cost Impact,Επίπτωση κόστους
Cost Summary,Σύνοψη κόστους
Could not apply the template. Please try again.,Δεν ήταν δυνατή η εφαρμογή του προτύπου. Δοκιμάστε ξανά.
Could not attach file to project,Δεν ήταν δυνατή η επισύναψη αρχείου στο έργο
Could not change task priority,Δεν ήταν δυνατή η αλλαγή προτεραιότητας εργασίας
Could not change task status,Δεν ήταν δυνατή η αλλαγή κατάστασης εργασίας
Could not delete the project. Please try again.,Δεν ήταν δυνατή η διαγραφή του έργου. Δοκιμάστε ξανά.
Could not delete the task. Please try again.,Δεν ήταν δυνατή η διαγραφή της εργασίας. Δοκιμάστε ξανά.
Could not delete the template.,Δεν ήταν δυνατή η διαγραφή του προτύπου.
Could not duplicate the task. Please try again.,Δεν ήταν δυνατή η αντιγραφή της εργασίας. Δοκιμάστε ξανά.
Could not export the template.,Δεν ήταν δυνατή η εξαγωγή του προτύπου.
Could not import the template. Please check the file format.,Δεν ήταν δυνατή η εισαγωγή του προτύπου. Ελέγξτε τη μορφή αρχείου.
Could not link task to milestone,Δεν ήταν δυνατή η σύνδεση εργασίας με ορόσημο
Could not load document details.,Δεν ήταν δυνατή η φόρτωση λεπτομερειών εγγράφου.
Could not load task details,Δεν ήταν δυνατή η φόρτωση λεπτομερειών εργασίας
Could not promote checklist item to task.,Δεν ήταν δυνατή η προαγωγή στοιχείου λίστας ελέγχου σε εργασία.
Could not remove task from milestone,Δεν ήταν δυνατή η αφαίρεση εργασίας από ορόσημο
Could not save budget.,Δεν ήταν δυνατή η αποθήκευση του προϋπολογισμού.
Could not save changes to the milestone,Δεν ήταν δυνατή η αποθήκευση αλλαγών στο ορόσημο
Could not save changes to the task,Δεν ήταν δυνατή η αποθήκευση αλλαγών στην εργασία
Could not save description.,Δεν ήταν δυνατή η αποθήκευση της περιγραφής.
Could not save end date.,Δεν ήταν δυνατή η αποθήκευση της ημερομηνίας λήξης.
Could not save milestone name.,Δεν ήταν δυνατή η αποθήκευση του ονόματος ορόσημου.
Could not save start date.,Δεν ήταν δυνατή η αποθήκευση της ημερομηνίας έναρξης.
Could not save the template. Please try again.,Δεν ήταν δυνατή η αποθήκευση του προτύπου. Δοκιμάστε ξανά.
Could not save title.,Δεν ήταν δυνατή η αποθήκευση του τίτλου.
Could not update dependency mode.,Δεν ήταν δυνατή η ενημέρωση της λειτουργίας εξάρτησης.
Could not update milestone date,Δεν ήταν δυνατή η ενημέρωση της ημερομηνίας ορόσημου
Could not update project status.,Δεν ήταν δυνατή η ενημέρωση κατάστασης έργου.
Could not update project type.,Δεν ήταν δυνατή η ενημέρωση τύπου έργου.
Could not update setting.,Δεν ήταν δυνατή η ενημέρωση ρύθμισης.
Could not update task dates,Δεν ήταν δυνατή η ενημέρωση ημερομηνιών εργασίας
Could not update task status,Δεν ήταν δυνατή η ενημέρωση κατάστασης εργασίας
Could not update the template.,Δεν ήταν δυνατή η ενημέρωση του προτύπου.
Create a copy of this task,Δημιουργία αντιγράφου αυτής της εργασίας
Create Contact,Δημιουργία επαφής
Create Event,Δημιουργία συμβάντος
Create Milestone,Δημιουργία ορόσημου
Create New Milestone,Δημιουργία νέου ορόσημου
Create New Task,Δημιουργία νέας εργασίας
Create Project,Δημιουργία έργου
Create Task,Δημιουργία εργασίας
Create tasks and milestones from a template,Δημιουργία εργασιών και ορόσημων από πρότυπο
Create your first project to get started.,Δημιουργήστε το πρώτο σας έργο για να ξεκινήσετε.
Create your first task to start tracking work on this project.,Δημιουργήστε την πρώτη σας εργασία για να αρχίσετε να παρακολουθείτε τη δουλειά σε αυτό το έργο.
Created,Δημιουργήθηκε
Creating...,Δημιουργία...
Critical,Κρίσιμο
Critical Path,Κρίσιμη διαδρομή
"Currency used for budgets, costs, and billing rates","Νόμισμα που χρησιμοποιείται για προϋπολογισμούς, κόστη και τιμές χρέωσης"
Current,Τρέχον
Current Assignments,Τρέχουσες αναθέσεις
Current scheduled time:,Τρέχων προγραμματισμένος χρόνος:
Currently running version,Currently running version
d lag,η καθυστέρηση
Daily Availability,Ημερήσια διαθεσιμότητα
Daily Hours,Ημερήσιες ώρες
Danger Zone,Επικίνδυνη ζώνη
Dark,Σκοτεινό
Dashboard,Πίνακας ελέγχου
Date,Ημερομηνία
Date changes on this task will show cascade impact here,Οι αλλαγές ημερομηνιών σε αυτή την εργασία θα δείξουν τις αλυσιδωτές επιπτώσεις εδώ
Date cleared,Η ημερομηνία καθαρίστηκε
Date of Joining,Ημερομηνία ένταξης
Date updated,Η ημερομηνία ενημερώθηκε
Dates,Ημερομηνίες
Dates cascaded,Οι ημερομηνίες μεταφέρθηκαν αλυσιδωτά
Dates will be relative to the project's start date.,Οι ημερομηνίες θα είναι σχετικές με την ημερομηνία έναρξης του έργου.
Day,Ημέρα
day,ημέρα
days,ημέρες
Days before due date to send reminder,Ημέρες πριν τη λήξη για αποστολή υπενθύμισης
Days Overdue,Ημέρες καθυστέρησης
Days Remaining,Ημέρες που απομένουν
Deadline,Προθεσμία
Deadlines,Προθεσμίες
Decision,Απόφαση
Decline,Απόρριψη
Declined,Απορρίφθηκε
Default Currency,Προεπιλεγμένο νόμισμα
Default hours per week for contact capacity planning,Προεπιλεγμένες ώρες ανά εβδομάδα για σχεδιασμό χωρητικότητας επαφών
Default Priority,Προεπιλεγμένη προτεραιότητα
Default Project Status,Προεπιλεγμένη κατάσταση έργου
Default Task Status,Προεπιλεγμένη κατάσταση εργασίας
Default task view,Προεπιλεγμένη προβολή εργασιών
Default Values,Προεπιλεγμένες τιμές
Default Weekly Capacity,Προεπιλεγμένη εβδομαδιαία χωρητικότητα
Defaults,Προεπιλογές
Defect Cost Impact,Κόστος επίπτωσης ελαττώματος
Defect name is required,Απαιτείται το όνομα του ελαττώματος
Defect Type,Τύπος ελαττώματος
Defect {0} not found,Το ελάττωμα {0} δεν βρέθηκε
Defects,Ελαττώματα
Defects & Issues,Ελαττώματα και ζητήματα
Defects Resolved,Ελαττώματα που επιλύθηκαν
Delayed,Καθυστερημένο
Delete,Διαγραφή
Delete Activity Data,Διαγραφή δεδομένων δραστηριότητας
Delete all read notifications?,Διαγραφή όλων των αναγνωσμένων ειδοποιήσεων;
Delete comment,Διαγραφή σχολίου
Delete Contact,Διαγραφή επαφής
Delete Event,Διαγραφή συμβάντος
Delete Event?,Διαγραφή συμβάντος;
Delete failed,Η διαγραφή απέτυχε
Delete file,Διαγραφή αρχείου
Delete item,Διαγραφή στοιχείου
Delete note,Διαγραφή σημείωσης
Delete Project,Διαγραφή έργου
Delete Task,Διαγραφή εργασίας
Delete this project,Διαγραφή αυτού του έργου
Deleted,Διαγράφηκε
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Το έργο ""{0}"" διαγράφηκε ({1} εργασίες, {2} ορόσημα)"
Deletes notes and preferences. Source document is not affected.,Διαγράφει σημειώσεις και προτιμήσεις. Το αρχικό έγγραφο δεν επηρεάζεται.
Deleting...,Διαγραφή...
Department,Τμήμα
Dependencies,Εξαρτήσεις
dependencies,εξαρτήσεις
Dependencies are informational only,Οι εξαρτήσεις είναι μόνο ενημερωτικές
dependency,εξάρτηση
Dependency already exists,Η εξάρτηση υπάρχει ήδη
Dependency Chain,Αλυσίδα εξαρτήσεων
Dependency created,Η εξάρτηση δημιουργήθηκε
Dependency mode updated,Η λειτουργία εξάρτησης ενημερώθηκε
Dependency name is required,Απαιτείται το όνομα της εξάρτησης
Dependency task {0} not found,Η εργασία εξάρτησης {0} δεν βρέθηκε
Dependency {0} not found,Η εξάρτηση {0} δεν βρέθηκε
depends,εξαρτάται
Depends on Group,Εξαρτάται από ομάδα
Depends on task is required,Απαιτείται εργασία εξάρτησης
depends on...,εξαρτάται από...
Descending -- click to reverse,Φθίνουσα -- κάντε κλικ για αντιστροφή
Describe the defect in detail...,Περιγράψτε το ελάττωμα αναλυτικά...
Description,Περιγραφή
Description updated,Η περιγραφή ενημερώθηκε
Designation,Τίτλος θέσης
"Detailed description of the defect, location, and impact","Λεπτομερής περιγραφή του ελαττώματος, της τοποθεσίας και των επιπτώσεων"
Details,Λεπτομέρειες
Discard timer,Απόρριψη χρονομέτρου
Discussion,Συζήτηση
Dismiss,Dismiss
Display,Εμφάνιση
Document,Έγγραφο
Document attached to project,Το έγγραφο επισυνάφθηκε στο έργο
Document final decision and rationale,Καταγραφή τελικής απόφασης και αιτιολόγησης
Documentation Review,Ανασκόπηση εγγράφων
Documents,Έγγραφα
Done,Έτοιμο
Download,Λήψη
Drag to create dependency,Σύρετε για δημιουργία εξάρτησης
Dry Run,Δοκιμαστική εκτέλεση
Dry Run Complete,Η δοκιμαστική εκτέλεση ολοκληρώθηκε
Due Date,Ημερομηνία λήξης
Due date,Ημερομηνία λήξης
Due Date (Earliest),Ημερομηνία λήξης (πρώτη)
Due date cannot be before start date,Η ημερομηνία λήξης δεν μπορεί να είναι πριν την ημερομηνία έναρξης
Due date is in the past,Η ημερομηνία λήξης έχει παρέλθει
Due Date Reminders,Υπενθυμίσεις ημερομηνίας λήξης
Due Diligence,Ενδελεχής έλεγχος
Due Diligence Checklist,Λίστα ελέγχου ενδελεχούς ελέγχου
Due This Week,Λήγει αυτή την εβδομάδα
Due:,Λήξη:
Duplicate events are not allowed,Δεν επιτρέπονται διπλά συμβάντα
Duplicate failed,Η αντιγραφή απέτυχε
Duplicate Task,Αντιγραφή εργασίας
Duration,Διάρκεια
Duration Summary,Σύνοψη διάρκειας
Duration:,Διάρκεια:
e.g. Cracked wall finish in bathroom...,π.χ. Ραγισμένο φινίρισμα τοίχου στο μπάνιο...
"e.g. Electrical, Plumbing...","π.χ. Ηλεκτρικά, Υδραυλικά..."
Edit,Επεξεργασία
Edit (E),Επεξεργασία (E)
Edit dependency,Επεξεργασία εξάρτησης
Edit Event,Επεξεργασία συμβάντος
Efficiency,Αποδοτικότητα
Either dependency_name or depends_on is required,Απαιτείται είτε dependency_name είτε depends_on
Email,Email
Email invitations to all attendees,Αποστολή προσκλήσεων email σε όλους τους συμμετέχοντες
Email is required to create portal user,Απαιτείται email για τη δημιουργία χρήστη πύλης
Email notifications,Ειδοποιήσεις email
Employee,Υπάλληλος
Employee DocType not available,Το DocType υπαλλήλου δεν είναι διαθέσιμο
Employee not found,Ο υπάλληλος δεν βρέθηκε
Enable or disable optional features,Ενεργοποίηση ή απενεργοποίηση προαιρετικών λειτουργιών
Enable Time Tracking,Ενεργοποίηση καταγραφής χρόνου
End,Λήξη
End Date,Ημερομηνία λήξης
End date,Ημερομηνία λήξης
End Date cannot be before Start Date,Η ημερομηνία λήξης δεν μπορεί να είναι πριν την ημερομηνία έναρξης
End date cannot be before start date,Η ημερομηνία λήξης δεν μπορεί να είναι πριν την ημερομηνία έναρξης
End date updated,Η ημερομηνία λήξης ενημερώθηκε
End time was before start time. Adjusted to 1 hour after start.,Η ώρα λήξης ήταν πριν την ώρα έναρξης. Προσαρμόστηκε σε 1 ώρα μετά την έναρξη.
End:,Λήξη:
Enter milestone name...,Εισάγετε όνομα ορόσημου...
Enter project name,Εισάγετε όνομα έργου
Enter task title...,Εισάγετε τίτλο εργασίας...
Enter template name,Εισάγετε όνομα προτύπου
Enter your note... Use @name to mention someone,Γράψτε τη σημείωσή σας... Χρησιμοποιήστε @όνομα για αναφορά σε κάποιον
Error,Σφάλμα
Error loading activity,Σφάλμα φόρτωσης δραστηριότητας
Error loading contacts,Σφάλμα φόρτωσης επαφών
Error loading dashboard,Σφάλμα φόρτωσης πίνακα ελέγχου
Error loading project,Σφάλμα φόρτωσης έργου
Error loading projects,Σφάλμα φόρτωσης έργων
Error loading settings,Σφάλμα φόρτωσης ρυθμίσεων
Error loading tasks,Σφάλμα φόρτωσης εργασιών
Error loading templates,Σφάλμα φόρτωσης προτύπων
Est. Hours,Εκτ. ώρες
Estimated,Εκτιμώμενο
Estimated Cost,Εκτιμώμενο κόστος
Estimated Cost (€),Εκτιμώμενο κόστος (€)
