+ Add Milestone,+ Ongeza Hatua Muhimu
Ascending -- click to reverse,Kupanda -- bofya kubadilisha
Assign To,Gawia
Assign to Me,Jigawie Mimi
Assigned Contact,Mawasiliano yaliyogawiwa
Assigned To,Imegawiwa kwa
Assigned to,Imegawiwa kwa
Assigned to Me,Imegawiwa kwangu
Assignee,Aliyegawiwa
Assignment,Mgawanyo
Assignment History,Historia ya mgawanyo
Assignment name is required,Jina la mgawanyo linahitajika
Assignment {0} not found,Mgawanyo {0} haujapatikana
Assignments,Migawanyo
At least one action is required,Angalau hatua moja inahitajika
At least one event is required,Angalau tukio moja linahitajika
At least one event must be selected,Angalau tukio moja lazima lichaguliwe
Attachment,Kiambatisho
Attachments,Viambatisho
Attendees,Washiriki
"Audit trail, assignments, version history","Rekodi ya ukaguzi, migawanyo, historia ya toleo"
Auto,Otomatiki
Auto Calculate Progress,Hesabu Maendeleo Kiotomatiki
Auto Set Missed Milestones,Weka Hatua Zilizokosa Kiotomatiki
Auto-shift dependents when dates change,Sogeza wategemezi kiotomatiki tarehe zinapobadilika
Auto-Trail Start,Kuanza Kuteleza Kiotomatiki
Auto-Trail updated,Kuteleza kiotomatiki kumesasishwa
Automatically calculate project progress from task completion,Hesabu maendeleo ya mradi kiotomatiki kutokana na kukamilika kwa kazi
Automatically mark milestones as missed when overdue,Weka alama ya hatua muhimu kuwa zimekoswa zinapochelewa
Automation rule {0} not found,Kanuni ya otomatiki {0} haijapatikana
Automation: {0},Otomatiki: {0}
Availability,Upatikanaji
Available,Inapatikana
Avatar updated successfully,Picha ya wasifu imesasishwa kwa mafanikio
Avg Progress,Maendeleo ya wastani
Back,Rudi
Back to Portal,Rudi kwenye Lango
Back to Projects,Rudi kwenye Miradi
Beginner,Mwanzo
Best regards,Salamu njema
Billable,Inalipiwa
Billable Amount,Kiasi kinacholipiwa
Billable Hours,Masaa yanayolipiwa
Billable Rate,Kiwango kinacholipiwa
Billing Rate,Kiwango cha malipo
Blocked,Imezuiwa
Both dates are needed to display task as a bar in Gantt chart,Tarehe zote mbili zinahitajika kuonyesha kazi kama mstari kwenye chati ya Gantt
Both doctype and docname are required,doctype na docname zote zinahitajika
Both proposed start and end times are required,Nyakati za kuanza na mwisho zilizopendekezwa zote zinahitajika
Both task_name and depends_on are required,task_name na depends_on zote zinahitajika
Breadcrumb,Njia ya urambazaji
Brief description of the defect or damage,Maelezo mafupi ya kasoro au uharibifu
Brief description of this template,Maelezo mafupi ya kiolezo hiki
Brief description of your request,Maelezo mafupi ya ombi lako
Brief project description,Maelezo mafupi ya mradi
Budget,Bajeti
Budget at risk,Bajeti iko hatarini
Budget Burn Rate,Kiwango cha matumizi ya bajeti
Budget Status,Hali ya bajeti
Budget updated,Bajeti imesasishwa
Budget:,Bajeti:
Bug,Hitilafu
Burn Rate,Kiwango cha matumizi
Busy,Shughuli nyingi
By,Na
By Assignee,Kwa aliyegawiwa
By Group,Kwa kikundi
By Milestone,Kwa hatua muhimu
By Priority,Kwa kipaumbele
By Status,Kwa hali
Cancel,Ghairi
Cancelled,Imeghairiwa
cannot be undone,haiwezi kurudishwa
Cannot delete client with {0} linked projects. Unlink projects first.,Huwezi kufuta mteja mwenye miradi {0} iliyounganishwa. Ondoa muunganisho wa miradi kwanza.
Cannot delete project with {0} linked tasks. Delete tasks first.,Huwezi kufuta mradi wenye kazi {0} zilizounganishwa. Futa kazi kwanza.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Huwezi kufuta rasilimali yenye migawanyo {0} inayofanya kazi. Kamilisha au ghairi kwanza.
Cannot delete task with {0} subtasks. Delete subtasks first.,Huwezi kufuta kazi yenye kazi ndogo {0}. Futa kazi ndogo kwanza.
Capacity,Uwezo
capacity,uwezo
Capacity & Rates,Uwezo na Viwango
Capture project structure for reuse,Hifadhi muundo wa mradi kwa matumizi tena
Cascade,Msururu
Cascade Preview,Muonekano wa msururu
Category,Kategoria
Celebrate,Sherehekea
Change,Badilisha
Change History,Historia ya mabadiliko
Change Priority,Badilisha Kipaumbele
Change Status,Badilisha Hali
Changes,Mabadiliko
Changes appear when fields are modified.,Mabadiliko yanaonekana sehemu zinapobadilishwa.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Orodha ya ukaguzi
Checklist item name is required,Jina la kipengee cha orodha ya ukaguzi linahitajika
Checklist item not found,Kipengee cha orodha ya ukaguzi hakijapatikana
Checklist item title is required,Kichwa cha kipengee cha orodha ya ukaguzi kinahitajika
Checklist item {0} not found,Kipengee cha orodha ya ukaguzi {0} hakijapatikana
Checklist item {0} not found in task,Kipengee cha orodha ya ukaguzi {0} hakijapatikana katika kazi
Child,Mtoto
Choose file to upload,Chagua faili ya kupakia
Circular dependency detected: {0},Tegemezi ya mzunguko imegunduliwa: {0}
Circular parent-child relationship detected,Uhusiano wa mzunguko wa mzazi-mtoto umegunduliwa
Clear,Futa
Clear all read,Futa zilizosomwa zote
Clear date,Futa tarehe
Click on an activity from the list to view and manage its details.,Bofya shughuli kutoka orodha kuona na kudhibiti maelezo yake.
Click the avatar to upload a new photo,Bofya picha ya wasifu kupakia picha mpya
Click to add description...,Bofya kuongeza maelezo...
Click to add notes...,Bofya kuongeza madokezo...
Click to assign contact,Bofya kugawia mawasiliano
Click to change status,Bofya kubadilisha hali
Click to change type,Bofya kubadilisha aina
Click to edit,Bofya kuhariri
Click to edit budget,Bofya kuhariri bajeti
Click to edit description,Bofya kuhariri maelezo
Click to edit end date,Bofya kuhariri tarehe ya mwisho
Click to edit milestone name,Bofya kuhariri jina la hatua muhimu
Click to edit rate,Bofya kuhariri kiwango
Click to edit start date,Bofya kuhariri tarehe ya kuanza
Click to edit title,Bofya kuhariri kichwa
Click to load,Bofya kupakia
Click to set group dependency...,Bofya kuweka tegemezi ya kikundi...
Click to set group...,Bofya kuweka kikundi...
Click to view,Bofya kuona
Click to view at-risk projects,Bofya kuona miradi iliyo hatarini
Click to view critical projects,Bofya kuona miradi muhimu
Click to view healthy projects,Bofya kuona miradi yenye afya njema
Client,Mteja
Client already has a portal user: {0},Mteja tayari ana mtumiaji wa lango: {0}
Client already has portal access,Mteja tayari ana ruhusa ya lango
Client has no portal user to revoke,Mteja hana mtumiaji wa lango wa kuondolewa
Client link removed from project {0},Kiungo cha mteja kimeondolewa kutoka mradi {0}
Client Portal,Lango la Mteja
Client {0} deleted successfully,Mteja {0} amefutwa kwa mafanikio
Close,Funga
Close (Esc),Funga (Esc)
Comment,Maoni
comment,maoni
Comment added,Maoni yameongezwa
Comment content is required,Maudhui ya maoni yanahitajika
Comment name is required,Jina la maoni linahitajika
Comment not found,Maoni hayajapatikana
Comment removed,Maoni yameondolewa
Comment {0} not found in task,Maoni {0} hayajapatikana katika kazi
Comments,Maoni
comments,maoni
Community Edition,Community Edition
Company,Kampuni
Company name...,Jina la kampuni...
Complete,Kamilisha
Completed,Imekamilika
completed,imekamilika
Completed Tasks,Kazi zilizokamilika
Compliance,Uzingatiaji
Configure default values for new projects and tasks,Sanidi thamani za awali kwa miradi na kazi mpya
Configure email notification settings,Sanidi mipangilio ya arifa za barua pepe
Confirm,Thibitisha
Contact deleted,Mawasiliano yamefutwa
Contact Details,Maelezo ya mawasiliano
Contact Information,Taarifa za mawasiliano
Contact name is required,Jina la mawasiliano linahitajika
Contact Support,Wasiliana na Msaada
Contact your project manager for more information.,Wasiliana na meneja wa mradi wako kwa taarifa zaidi.
Contact:,Mawasiliano:
Contacts,Mawasiliano
Context,Muktadha
Contractor,Mkandarasi
Cost estimate cannot be negative,Makadirio ya gharama hayawezi kuwa hasi
Cost Impact,Athari ya gharama
Cost Summary,Muhtasari wa gharama
Could not apply the template. Please try again.,Haikuweza kutekeleza kiolezo. Tafadhali jaribu tena.
Could not attach file to project,Haikuweza kuambatisha faili kwenye mradi
Could not change task priority,Haikuweza kubadilisha kipaumbele cha kazi
Could not change task status,Haikuweza kubadilisha hali ya kazi
Could not delete the project. Please try again.,Haikuweza kufuta mradi. Tafadhali jaribu tena.
Could not delete the task. Please try again.,Haikuweza kufuta kazi. Tafadhali jaribu tena.
Could not delete the template.,Haikuweza kufuta kiolezo.
Could not duplicate the task. Please try again.,Haikuweza kunakili kazi. Tafadhali jaribu tena.
Could not export the template.,Haikuweza kuhamisha kiolezo nje.
Could not import the template. Please check the file format.,Haikuweza kuingiza kiolezo. Tafadhali angalia muundo wa faili.
Could not link task to milestone,Haikuweza kuunganisha kazi na hatua muhimu
Could not load document details.,Haikuweza kupakia maelezo ya hati.
Could not load task details,Haikuweza kupakia maelezo ya kazi
Could not promote checklist item to task.,Haikuweza kupandisha kipengee cha orodha ya ukaguzi kuwa kazi.
Could not remove task from milestone,Haikuweza kuondoa kazi kutoka hatua muhimu
Could not save budget.,Haikuweza kuhifadhi bajeti.
Could not save changes to the milestone,Haikuweza kuhifadhi mabadiliko ya hatua muhimu
Could not save changes to the task,Haikuweza kuhifadhi mabadiliko ya kazi
Could not save description.,Haikuweza kuhifadhi maelezo.
Could not save end date.,Haikuweza kuhifadhi tarehe ya mwisho.
Could not save milestone name.,Haikuweza kuhifadhi jina la hatua muhimu.
Could not save start date.,Haikuweza kuhifadhi tarehe ya kuanza.
Could not save the template. Please try again.,Haikuweza kuhifadhi kiolezo. Tafadhali jaribu tena.
Could not save title.,Haikuweza kuhifadhi kichwa.
Could not update dependency mode.,Haikuweza kusasisha hali ya tegemezi.
Could not update milestone date,Haikuweza kusasisha tarehe ya hatua muhimu
Could not update project status.,Haikuweza kusasisha hali ya mradi.
Could not update project type.,Haikuweza kusasisha aina ya mradi.
Could not update setting.,Haikuweza kusasisha mpangilio.
Could not update task dates,Haikuweza kusasisha tarehe za kazi
Could not update task status,Haikuweza kusasisha hali ya kazi
Could not update the template.,Haikuweza kusasisha kiolezo.
Create a copy of this task,Unda nakala ya kazi hii
Create Contact,Unda Mawasiliano
Create Event,Unda Tukio
Create Milestone,Unda Hatua Muhimu
Create New Milestone,Unda Hatua Muhimu Mpya
Create New Task,Unda Kazi Mpya
Create Project,Unda Mradi
Create Task,Unda Kazi
Create tasks and milestones from a template,Unda kazi na hatua muhimu kutoka kwenye kiolezo
Create your first project to get started.,Unda mradi wako wa kwanza kuanza.
Create your first task to start tracking work on this project.,Unda kazi yako ya kwanza kuanza kufuatilia kazi kwenye mradi huu.
Created,Imeundwa
Creating...,Inaunda...
Critical,Muhimu sana
Critical Path,Njia Muhimu
"Currency used for budgets, costs, and billing rates","Sarafu inayotumika kwa bajeti, gharama, na viwango vya malipo"
Current,Sasa hivi
Current Assignments,Migawanyo ya sasa
Current scheduled time:,Muda uliopangwa sasa:
Currently running version,Currently running version
d lag,siku za kuchelewa
Daily Availability,Upatikanaji wa kila siku
Daily Hours,Masaa ya kila siku
Danger Zone,Eneo hatari
Dark,Giza
Dashboard,Dashibodi
Date,Tarehe
Date changes on this task will show cascade impact here,Mabadiliko ya tarehe kwenye kazi hii yataonyesha athari ya msururu hapa
Date cleared,Tarehe imefutwa
Date of Joining,Tarehe ya kujiunga
Date updated,Tarehe imesasishwa
Dates,Tarehe
Dates cascaded,Tarehe zimesururu
Dates will be relative to the project's start date.,Tarehe zitakuwa kulingana na tarehe ya kuanza ya mradi.
Day,Siku
day,siku
days,siku
Days before due date to send reminder,Siku kabla ya tarehe ya mwisho kutuma kumbusho
Days Overdue,Siku za ucheleweshaji
Days Remaining,Siku zilizobaki
Deadline,Muda wa mwisho
Deadlines,Nyakati za mwisho
Decision,Uamuzi
Decline,Kataa
Declined,Imekataliwa
Default Currency,Sarafu ya awali
Default hours per week for contact capacity planning,Masaa ya awali kwa wiki kwa mipango ya uwezo wa mawasiliano
Default Priority,Kipaumbele cha awali
Default Project Status,Hali ya awali ya mradi
Default Task Status,Hali ya awali ya kazi
Default task view,Muonekano wa kazi wa awali
Default Values,Thamani za awali
Default Weekly Capacity,Uwezo wa kila wiki wa awali
Defaults,Thamani za awali
Defect Cost Impact,Athari ya gharama ya kasoro
Defect name is required,Jina la kasoro linahitajika
Defect Type,Aina ya kasoro
Defect {0} not found,Kasoro {0} haijapatikana
Defects,Kasoro
Defects & Issues,Kasoro na Matatizo
Defects Resolved,Kasoro zilizorekebishwa
Delayed,Imechelewa
Delete,Futa
Delete Activity Data,Futa Data ya Shughuli
Delete all read notifications?,Futa arifa zote zilizosomwa?
Delete comment,Futa maoni
Delete Contact,Futa Mawasiliano
Delete Event,Futa Tukio
Delete Event?,Futa Tukio?
Delete failed,Kufuta kumeshindikana
Delete file,Futa faili
Delete item,Futa kipengee
Delete note,Futa dokezo
Delete Project,Futa Mradi
Delete Task,Futa Kazi
Delete this project,Futa mradi huu
Deleted,Imefutwa
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Mradi ""{0}"" umefutwa (kazi {1}, hatua muhimu {2})"
Deletes notes and preferences. Source document is not affected.,Inafuta madokezo na mapendeleo. Hati chanzo haiathiriki.
Deleting...,Inafuta...
Department,Idara
Dependencies,Tegemezi
dependencies,tegemezi
Dependencies are informational only,Tegemezi ni za taarifa tu
dependency,tegemezi
Dependency already exists,Tegemezi tayari ipo
Dependency Chain,Mnyororo wa tegemezi
Dependency created,Tegemezi imeundwa
Dependency mode updated,Hali ya tegemezi imesasishwa
Dependency name is required,Jina la tegemezi linahitajika
Dependency task {0} not found,Kazi ya tegemezi {0} haijapatikana
Dependency {0} not found,Tegemezi {0} haijapatikana
depends,inategemea
Depends on Group,Inategemea Kikundi
Depends on task is required,Kazi ya kutegemea inahitajika
depends on...,inategemea...
Descending -- click to reverse,Kushuka -- bofya kubadilisha
Describe the defect in detail...,Eleza kasoro kwa undani...
Description,Maelezo
Description updated,Maelezo yamesasishwa
Designation,Cheo
"Detailed description of the defect, location, and impact","Maelezo ya kina ya kasoro, eneo, na athari"
Details,Maelezo
Discard timer,Tupa kipima muda
Discussion,Mazungumzo
Dismiss,Dismiss
Display,Onyesha
Document,Hati
Document attached to project,Hati imeambatishwa kwenye mradi
Document final decision and rationale,Andika uamuzi wa mwisho na sababu
Documentation Review,Ukaguzi wa nyaraka
Documents,Hati
Done,Imekamilika
Download,Pakua
Drag to create dependency,Buruta kuunda tegemezi
Dry Run,Jaribio la mazoezi
Dry Run Complete,Jaribio la mazoezi limekamilika
Due Date,Tarehe ya mwisho
Due date,Tarehe ya mwisho
Due Date (Earliest),Tarehe ya mwisho (ya mapema zaidi)
Due date cannot be before start date,Tarehe ya mwisho haiwezi kuwa kabla ya tarehe ya kuanza
Due date is in the past,Tarehe ya mwisho imepita
Due Date Reminders,Kumbusho za tarehe ya mwisho
Due Diligence,Uchunguzi wa kina
Due Diligence Checklist,Orodha ya ukaguzi wa uchunguzi wa kina
Due This Week,Inatarajiwa wiki hii
Due:,Inatarajiwa:
Duplicate events are not allowed,Matukio yanayofanana hayaruhusiwi
Duplicate failed,Kunakili kumeshindikana
Duplicate Task,Nakili Kazi
Duration,Muda
Duration Summary,Muhtasari wa muda
Duration:,Muda:
e.g. Cracked wall finish in bathroom...,mfano: Ukuta wenye nyufa katika bafuni...
"e.g. Electrical, Plumbing...","mfano: Umeme, Mabomba..."
Edit,Hariri
Edit (E),Hariri (E)
Edit dependency,Hariri tegemezi
Edit Event,Hariri Tukio
Efficiency,Ufanisi
Either dependency_name or depends_on is required,dependency_name au depends_on inahitajika
Email,Barua pepe
Email invitations to all attendees,Mialiko ya barua pepe kwa washiriki wote
Email is required to create portal user,Barua pepe inahitajika kuunda mtumiaji wa lango
Email notifications,Arifa za barua pepe
Employee,Mfanyakazi
Employee DocType not available,DocType ya Mfanyakazi haipatikani
Employee not found,Mfanyakazi hajapatikana
Enable or disable optional features,Washa au zima vipengele vya hiari
Enable Time Tracking,Washa Ufuatiliaji wa Muda
End,Mwisho
End Date,Tarehe ya mwisho
End date,Tarehe ya mwisho
End Date cannot be before Start Date,Tarehe ya mwisho haiwezi kuwa kabla ya Tarehe ya kuanza
End date cannot be before start date,Tarehe ya mwisho haiwezi kuwa kabla ya tarehe ya kuanza
End date updated,Tarehe ya mwisho imesasishwa
End time was before start time. Adjusted to 1 hour after start.,Saa ya mwisho ilikuwa kabla ya saa ya kuanza. Imerekebishwa kuwa saa 1 baada ya kuanza.
End:,Mwisho:
Enter milestone name...,Ingiza jina la hatua muhimu...
Enter project name,Ingiza jina la mradi
Enter task title...,Ingiza kichwa cha kazi...
Enter template name,Ingiza jina la kiolezo
Enter your note... Use @name to mention someone,Ingiza dokezo lako... Tumia @jina kumtaja mtu
Error,Hitilafu
Error loading activity,Hitilafu ya kupakia shughuli
Error loading contacts,Hitilafu ya kupakia mawasiliano
Error loading dashboard,Hitilafu ya kupakia dashibodi
Error loading project,Hitilafu ya kupakia mradi
Error loading projects,Hitilafu ya kupakia miradi
Error loading settings,Hitilafu ya kupakia mipangilio
Error loading tasks,Hitilafu ya kupakia kazi
Error loading templates,Hitilafu ya kupakia violezo
Est. Hours,Masaa yaliy.
Estimated,Iliyokadiriwa
Estimated Cost,Gharama iliyokadiriwa
Estimated Cost (€),Gharama iliyokadiriwa (€)
Estimated Hours,Masaa yaliyokadiriwa
Estimated:,Iliyokadiriwa:
Evaluate potential risks and concerns,Tathmini hatari na wasiwasi unaoweza kutokea
Event,Tukio
Event is required for event context,Tukio linahitajika kwa muktadha wa tukio
Event is required when tracking context is 'event',Tukio linahitajika muktadha wa ufuatiliaji unapokuwa 'tukio'
Event Type,Aina ya tukio
Events,Matukio
Events not available. Please run: bench --site orga.localhost migrate,Matukio hayapatikani. Tafadhali tekeleza: bench --site orga.localhost migrate
Events:,Matukio:
Expert,Mtaalamu
Explain why you are proposing a different time...,Eleza kwa nini unapendekeza wakati tofauti...
Export,Hamisha nje
Export failed,Kuhamisha nje kumeshindikana
Export JSON,Hamisha JSON nje
Exported,Imehamishwa nje
Exported to timesheet {0},Imehamishwa kwenye karatasi ya muda {0}
External,Nje
Failed to add item,Imeshindikana kuongeza kipengee
Failed to add note,Imeshindikana kuongeza dokezo
Failed to add skill,Imeshindikana kuongeza ujuzi
Failed to apply cascade changes: {0},Imeshindikana kutekeleza mabadiliko ya msururu: {0}
Failed to create defect,Imeshindikana kuunda kasoro
Failed to create dependency,Imeshindikana kuunda tegemezi
Failed to create event,Imeshindikana kuunda tukio
Failed to create milestone,Imeshindikana kuunda hatua muhimu
Failed to create project,Imeshindikana kuunda mradi
Failed to create task,Imeshindikana kuunda kazi
Failed to create time log,Imeshindikana kuunda ingizo la muda
Failed to delete,Imeshindikana kufuta
Failed to delete comment,Imeshindikana kufuta maoni
Failed to delete contact,Imeshindikana kufuta mawasiliano
Failed to load,Imeshindikana kupakia
Failed to load activity,Imeshindikana kupakia shughuli
Failed to load assignments,Imeshindikana kupakia migawanyo
Failed to load contact,Imeshindikana kupakia mawasiliano
Failed to load dashboard data,Imeshindikana kupakia data ya dashibodi
Failed to load defects,Imeshindikana kupakia kasoro
Failed to load events,Imeshindikana kupakia matukio
Failed to load project,Imeshindikana kupakia mradi
Failed to load projects,Imeshindikana kupakia miradi
Failed to load report data,Imeshindikana kupakia data ya ripoti
Failed to load settings,Imeshindikana kupakia mipangilio
Failed to load tasks,Imeshindikana kupakia kazi
Failed to move task,Imeshindikana kusogeza kazi
Failed to post comment,Imeshindikana kuchapisha maoni
Failed to propose new time,Imeshindikana kupendekeza wakati mpya
Failed to remove item,Imeshindikana kuondoa kipengee
Failed to remove skill,Imeshindikana kuondoa ujuzi
Failed to reorder milestones: {0},Imeshindikana kupanga upya hatua muhimu: {0}
Failed to reorder tasks: {0},Imeshindikana kupanga upya kazi: {0}
Failed to reschedule dependent tasks: {0},Imeshindikana kupanga upya kazi tegemezi: {0}
Failed to save,Imeshindikana kuhifadhi
Failed to save preferences,Imeshindikana kuhifadhi mapendeleo
Failed to save settings,Imeshindikana kuhifadhi mipangilio
Failed to submit request. Please try again.,Imeshindikana kutuma ombi. Tafadhali jaribu tena.
Failed to update item,Imeshindikana kusasisha kipengee
Failed to update priority,Imeshindikana kusasisha kipaumbele
Failed to update task,Imeshindikana kusasisha kazi
Failed to update tasks: {0},Imeshindikana kusasisha kazi: {0}
Failed to upload avatar,Imeshindikana kupakia picha ya wasifu
Feature,Kipengele
Features,Vipengele
FF (Finish-Finish),FF (Mwisho-Mwisho)
FF - Finish-to-Finish,FF - Mwisho-hadi-Mwisho
Field has been updated,Sehemu imesasishwa
Field name is required for 'Set Field Value' action,Jina la sehemu linahitajika kwa hatua ya 'Weka Thamani ya Sehemu'
Field {0} is not a Link field,Sehemu {0} si sehemu ya Kiungo
Field {0} not found in {1},Sehemu {0} haijapatikana katika {1}
File,Faili
file,faili
File does not belong to this task,Faili si ya kazi hii
File name is required,Jina la faili linahitajika
File uploaded,Faili imepakiwa
File {0} not found,Faili {0} haijapatikana
Files,Faili
files,faili
Filter,Chujio
Final Decision,Uamuzi wa Mwisho
Finance,Fedha
Financial,Kifedha
Finish-to-Finish,Mwisho-hadi-Mwisho
Finish-to-Start,Mwisho-hadi-Mwanzo
Flag,Alama
Flag for attention,Weka alama kwa umakini
Flagged,Imewekwa alama
Focus Panel,Paneli ya Umakini
Follows your system preference. Currently:,Inafuata mapendeleo yako ya mfumo. Sasa hivi:
Frappe Project {0} not found,Mradi wa Frappe {0} haujapatikana
Frappe Projects Migration,Uhamishaji wa Frappe Projects
Frappe Projects module not available,Moduli ya Frappe Projects haipatikani
Frappe Projects module not installed,Moduli ya Frappe Projects haijawekwa
Frappe Projects sync is not enabled,Usawazishaji wa Frappe Projects haujawashwa
Frappe Task DocType not found,DocType ya Kazi ya Frappe haijapatikana
Frappe Task has no project,Kazi ya Frappe haina mradi
Frappe Task {0} not found,Kazi ya Frappe {0} haijapatikana
Fri,Iju
From,Kutoka
From Template,Kutoka Kiolezo
FS (Finish-Start),FS (Mwisho-Mwanzo)
FS - Finish-to-Start (default),FS - Mwisho-hadi-Mwanzo (chaguo-msingi)
Full form view with audit trail,Muonekano kamili wa fomu na rekodi ya ukaguzi
Full name,Jina kamili
Gantt,Gantt
Gantt Chart,Chati ya Gantt
Gantt View,Muonekano wa Gantt
General Note,Dokezo la Jumla
Get started,Anza
Go back,Rudi nyuma
Go Back,Go Back
Group by,Panga kwa vikundi
Group dependency removed,Tegemezi ya kikundi imeondolewa
