+ Add Milestone,+ Mérföldkő hozzáadása
Assignment History,Hozzárendelési előzmények
Assignment name is required,A hozzárendelés neve kötelező
Assignment {0} not found,A(z) {0} hozzárendelés nem található
Assignments,Hozzárendelések
At least one action is required,Legalább egy művelet szükséges
At least one event is required,Legalább egy esemény szükséges
At least one event must be selected,Legalább egy eseményt ki kell választani
Attachment,Melléklet
Attachments,Mellékletek
Attendees,Résztvevők
"Audit trail, assignments, version history","Naplónyom, hozzárendelések, verzióelőzmények"
Auto,Automatikus
Auto Calculate Progress,Haladás automatikus számítása
Auto Set Missed Milestones,Elmulasztott mérföldkövek automatikus beállítása
Auto-shift dependents when dates change,Függő elemek automatikus eltolása dátumváltozáskor
Auto-Trail Start,Automatikus csúszó kezdés
Auto-Trail updated,Automatikus csúszó kezdés frissítve
Automatically calculate project progress from task completion,Projekt haladásának automatikus számítása a feladatok teljesítéséből
Automatically mark milestones as missed when overdue,Mérföldkövek automatikus elmulasztottnak jelölése határidő lejártakor
Automation rule {0} not found,A(z) {0} automatizálási szabály nem található
Automation: {0},Automatizálás: {0}
Availability,Elérhetőség
Available,Elérhető
Avatar updated successfully,Profilkép sikeresen frissítve
Avg Progress,Átlagos haladás
Back,Vissza
Back to Portal,Vissza a portálra
Back to Projects,Vissza a projektekhez
Beginner,Kezdő
Best regards,Üdvözlettel
Billable,Számlázható
Billable Amount,Számlázható összeg
Billable Hours,Számlázható órák
Billable Rate,Számlázási díj
Billing Rate,Számlázási díj
Blocked,Blokkolt
Both dates are needed to display task as a bar in Gantt chart,Mindkét dátum szükséges a feladat sávként való megjelenítéséhez a Gantt diagramon
Both doctype and docname are required,A doctype és a docname egyaránt szükséges
Both proposed start and end times are required,A javasolt kezdési és befejezési idő egyaránt szükséges
Both task_name and depends_on are required,A task_name és a depends_on egyaránt szükséges
Breadcrumb,Navigációs útvonal
Brief description of the defect or damage,A hiba vagy sérülés rövid leírása
Brief description of this template,A sablon rövid leírása
Brief description of your request,Kérésének rövid leírása
Brief project description,Rövid projektleírás
Budget,Költségvetés
Budget at risk,Költségvetés veszélyben
Budget Burn Rate,Költségvetés felhasználási ütem
Budget Status,Költségvetés állapota
Budget updated,Költségvetés frissítve
Budget:,Költségvetés:
Bug,Hiba
Burn Rate,Felhasználási ütem
Busy,Foglalt
By,Szerint
By Assignee,Hozzárendelt szerint
By Group,Csoport szerint
By Milestone,Mérföldkő szerint
By Priority,Prioritás szerint
By Status,Állapot szerint
Cancel,Mégse
Cancelled,Visszavonva
cannot be undone,nem vonható vissza
Cannot delete client with {0} linked projects. Unlink projects first.,Nem lehet törölni az ügyfelet {0} kapcsolt projekttel. Először válassza le a projekteket.
Cannot delete project with {0} linked tasks. Delete tasks first.,Nem lehet törölni a projektet {0} kapcsolt feladattal. Először törölje a feladatokat.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Nem lehet törölni az erőforrást {0} aktív hozzárendeléssel. Először fejezze be vagy vonja vissza őket.
Cannot delete task with {0} subtasks. Delete subtasks first.,Nem lehet törölni a feladatot {0} részfeladattal. Először törölje a részfeladatokat.
Capacity,Kapacitás
capacity,kapacitás
Capacity & Rates,Kapacitás és díjak
Capture project structure for reuse,Projektstruktúra mentése újrafelhasználáshoz
Cascade,Továbbgyűrűzés
Cascade Preview,Továbbgyűrűzés előnézet
Category,Kategória
Celebrate,Ünneplés
Change,Módosítás
Change History,Módosítási előzmények
Change Priority,Prioritás módosítása
Change Status,Állapot módosítása
Changes,Módosítások
Changes appear when fields are modified.,A módosítások a mezők szerkesztésekor jelennek meg.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Ellenőrzőlista
Checklist item name is required,Az ellenőrzőlista-elem neve kötelező
Checklist item not found,Ellenőrzőlista-elem nem található
Checklist item title is required,Az ellenőrzőlista-elem címe kötelező
Checklist item {0} not found,A(z) {0} ellenőrzőlista-elem nem található
Checklist item {0} not found in task,A(z) {0} ellenőrzőlista-elem nem található a feladatban
Child,Gyermek
Choose file to upload,Válasszon feltöltendő fájlt
Circular dependency detected: {0},Körkörös függőség észlelve: {0}
Circular parent-child relationship detected,Körkörös szülő-gyermek kapcsolat észlelve
Clear,Törlés
Clear all read,Összes olvasott törlése
Clear date,Dátum törlése
Click on an activity from the list to view and manage its details.,Kattintson egy tevékenységre a listában a részletek megtekintéséhez és kezeléséhez.
Click the avatar to upload a new photo,Kattintson a profilképre új fénykép feltöltéséhez
Click to add description...,Kattintson a leírás hozzáadásához...
Click to add notes...,Kattintson a jegyzetek hozzáadásához...
Click to assign contact,Kattintson a kapcsolattartó hozzárendeléséhez
Click to change status,Kattintson az állapot módosításához
Click to change type,Kattintson a típus módosításához
Click to edit,Kattintson a szerkesztéshez
Click to edit budget,Kattintson a költségvetés szerkesztéséhez
Click to edit description,Kattintson a leírás szerkesztéséhez
Click to edit end date,Kattintson a befejezési dátum szerkesztéséhez
Click to edit milestone name,Kattintson a mérföldkő nevének szerkesztéséhez
Click to edit rate,Kattintson a díj szerkesztéséhez
Click to edit start date,Kattintson a kezdési dátum szerkesztéséhez
Click to edit title,Kattintson a cím szerkesztéséhez
Click to load,Kattintson a betöltéshez
Click to set group dependency...,Kattintson a csoportfüggőség beállításához...
Click to set group...,Kattintson a csoport beállításához...
Click to view,Kattintson a megtekintéshez
Click to view at-risk projects,Kattintson a veszélyeztetett projektek megtekintéséhez
Click to view critical projects,Kattintson a kritikus projektek megtekintéséhez
Click to view healthy projects,Kattintson az egészséges projektek megtekintéséhez
Client,Ügyfél
Client already has a portal user: {0},Az ügyfélnek már van portálfelhasználója: {0}
Client already has portal access,Az ügyfélnek már van portálhozzáférése
Client has no portal user to revoke,Az ügyfélnek nincs visszavonható portálfelhasználója
Client link removed from project {0},Ügyfél-hivatkozás eltávolítva a(z) {0} projektből
Client Portal,Ügyfélportál
Client {0} deleted successfully,A(z) {0} ügyfél sikeresen törölve
Close,Bezárás
Close (Esc),Bezárás (Esc)
Comment,Hozzászólás
comment,hozzászólás
Comment added,Hozzászólás hozzáadva
Comment content is required,A hozzászólás tartalma kötelező
Comment name is required,A hozzászólás neve kötelező
Comment not found,Hozzászólás nem található
Comment removed,Hozzászólás eltávolítva
Comment {0} not found in task,A(z) {0} hozzászólás nem található a feladatban
Comments,Hozzászólások
comments,hozzászólások
Community Edition,Community Edition
Company,Cég
Company name...,Cégnév...
Complete,Befejezés
Completed,Befejezve
completed,befejezve
Completed Tasks,Befejezett feladatok
Compliance,Megfelelőség
Configure default values for new projects and tasks,Alapértékek beállítása új projektekhez és feladatokhoz
Configure email notification settings,E-mail értesítési beállítások konfigurálása
Confirm,Megerősítés
Contact deleted,Kapcsolattartó törölve
Contact Details,Kapcsolattartó részletei
Contact Information,Kapcsolattartási adatok
Contact name is required,A kapcsolattartó neve kötelező
Contact Support,Kapcsolatfelvétel a támogatással
Contact your project manager for more information.,Forduljon a projektvezetőhöz további információért.
Contact:,Kapcsolattartó:
Contacts,Kapcsolattartók
Context,Kontextus
Contractor,Alvállalkozó
Cost estimate cannot be negative,A költségbecslés nem lehet negatív
Cost Impact,Költséghatás
Cost Summary,Költségösszesítő
Could not apply the template. Please try again.,Nem sikerült alkalmazni a sablont. Kérjük próbálja újra.
Could not attach file to project,Nem sikerült fájlt csatolni a projekthez
Could not change task priority,Nem sikerült módosítani a feladat prioritását
Could not change task status,Nem sikerült módosítani a feladat állapotát
Could not delete the project. Please try again.,Nem sikerült törölni a projektet. Kérjük próbálja újra.
Could not delete the task. Please try again.,Nem sikerült törölni a feladatot. Kérjük próbálja újra.
Could not delete the template.,Nem sikerült törölni a sablont.
Could not duplicate the task. Please try again.,Nem sikerült duplikálni a feladatot. Kérjük próbálja újra.
Could not export the template.,Nem sikerült exportálni a sablont.
Could not import the template. Please check the file format.,Nem sikerült importálni a sablont. Kérjük ellenőrizze a fájlformátumot.
Could not link task to milestone,Nem sikerült a feladatot a mérföldkőhöz kapcsolni
Could not load document details.,Nem sikerült betölteni a dokumentum részleteit.
Could not load task details,Nem sikerült betölteni a feladat részleteit
Could not promote checklist item to task.,Nem sikerült az ellenőrzőlista-elemet feladattá előléptetni.
Could not remove task from milestone,Nem sikerült a feladatot eltávolítani a mérföldkőből
Could not save budget.,Nem sikerült menteni a költségvetést.
Could not save changes to the milestone,Nem sikerült menteni a mérföldkő módosításait
Could not save changes to the task,Nem sikerült menteni a feladat módosításait
Could not save description.,Nem sikerült menteni a leírást.
Could not save end date.,Nem sikerült menteni a befejezési dátumot.
Could not save milestone name.,Nem sikerült menteni a mérföldkő nevét.
Could not save start date.,Nem sikerült menteni a kezdési dátumot.
Could not save the template. Please try again.,Nem sikerült menteni a sablont. Kérjük próbálja újra.
Could not save title.,Nem sikerült menteni a címet.
Could not update dependency mode.,Nem sikerült frissíteni a függőségi módot.
Could not update milestone date,Nem sikerült frissíteni a mérföldkő dátumát
Could not update project status.,Nem sikerült frissíteni a projekt állapotát.
Could not update project type.,Nem sikerült frissíteni a projekt típusát.
Could not update setting.,Nem sikerült frissíteni a beállítást.
Could not update task dates,Nem sikerült frissíteni a feladat dátumait
Could not update task status,Nem sikerült frissíteni a feladat állapotát
Could not update the template.,Nem sikerült frissíteni a sablont.
Create a copy of this task,A feladat másolatának létrehozása
Create Contact,Kapcsolattartó létrehozása
Create Event,Esemény létrehozása
Create Milestone,Mérföldkő létrehozása
Create New Milestone,Új mérföldkő létrehozása
Create New Task,Új feladat létrehozása
Create Project,Projekt létrehozása
Create Task,Feladat létrehozása
Create tasks and milestones from a template,Feladatok és mérföldkövek létrehozása sablonból
Create your first project to get started.,Hozza létre első projektjét a kezdéshez.
Create your first task to start tracking work on this project.,Hozza létre első feladatát a munka nyomon követésének megkezdéséhez.
Created,Létrehozva
Creating...,Létrehozás...
Critical,Kritikus
Critical Path,Kritikus útvonal
"Currency used for budgets, costs, and billing rates","Költségvetésekhez, költségekhez és számlázási díjakhoz használt pénznem"
Current,Jelenlegi
Current Assignments,Jelenlegi hozzárendelések
Current scheduled time:,Jelenleg ütemezett időpont:
Currently running version,Currently running version
d lag,nap eltolás
Daily Availability,Napi elérhetőség
Daily Hours,Napi órák
Danger Zone,Veszélyzóna
Dark,Sötét
Dashboard,Irányítópult
Date,Dátum
Date changes on this task will show cascade impact here,A feladat dátumváltozásai itt mutatják a továbbgyűrűző hatást
Date cleared,Dátum törölve
Date of Joining,Belépés dátuma
Date updated,Dátum frissítve
Dates,Dátumok
Dates cascaded,Dátumok továbbgyűrűzve
Dates will be relative to the project's start date.,A dátumok a projekt kezdési dátumához lesznek viszonyítva.
Day,Nap
day,nap
days,nap
Days before due date to send reminder,Napok a határidő előtt az emlékeztető küldéséhez
Days Overdue,Késéses napok
Days Remaining,Hátralévő napok
Deadline,Határidő
Deadlines,Határidők
Decision,Döntés
Decline,Elutasítás
Declined,Elutasítva
Default Currency,Alapértelmezett pénznem
Default hours per week for contact capacity planning,Alapértelmezett heti órák a kapcsolattartó kapacitástervezéséhez
Default Priority,Alapértelmezett prioritás
Default Project Status,Alapértelmezett projektállapot
Default Task Status,Alapértelmezett feladatállapot
Default task view,Alapértelmezett feladatnézet
Default Values,Alapértékek
Default Weekly Capacity,Alapértelmezett heti kapacitás
Defaults,Alapértékek
Defect Cost Impact,Hiba költséghatása
Defect name is required,A hiba neve kötelező
Defect Type,Hibatípus
Defect {0} not found,A(z) {0} hiba nem található
Defects,Hibák
Defects & Issues,Hibák és problémák
Defects Resolved,Javított hibák
Delayed,Késleltetett
Delete,Törlés
Delete Activity Data,Tevékenységadatok törlése
Delete all read notifications?,Törli az összes olvasott értesítést?
Delete comment,Hozzászólás törlése
Delete Contact,Kapcsolattartó törlése
Delete Event,Esemény törlése
Delete Event?,Esemény törlése?
Delete failed,A törlés sikertelen
Delete file,Fájl törlése
Delete item,Elem törlése
Delete note,Jegyzet törlése
Delete Project,Projekt törlése
Delete Task,Feladat törlése
Delete this project,Projekt törlése
Deleted,Törölve
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","A(z) ""{0}"" projekt törölve ({1} feladat, {2} mérföldkő)"
Deletes notes and preferences. Source document is not affected.,Törli a jegyzeteket és beállításokat. A forrásdokumentumot nem érinti.
Deleting...,Törlés...
Department,Részleg
Dependencies,Függőségek
dependencies,függőségek
Dependencies are informational only,A függőségek csak tájékoztató jellegűek
dependency,függőség
Dependency already exists,A függőség már létezik
Dependency Chain,Függőségi lánc
Dependency created,Függőség létrehozva
Dependency mode updated,Függőségi mód frissítve
Dependency name is required,A függőség neve kötelező
Dependency task {0} not found,A(z) {0} függő feladat nem található
Dependency {0} not found,A(z) {0} függőség nem található
depends,függ
Depends on Group,Csoporttól függ
Depends on task is required,A függő feladat megadása kötelező
depends on...,függ ettől...
Descending -- click to reverse,Csökkenő -- kattintson a megfordításhoz
Describe the defect in detail...,Írja le részletesen a hibát...
Description,Leírás
Description updated,Leírás frissítve
Designation,Beosztás
"Detailed description of the defect, location, and impact","A hiba részletes leírása, helye és hatása"
Details,Részletek
Discard timer,Időmérő elvetése
Discussion,Megbeszélés
Dismiss,Dismiss
Display,Megjelenítés
Document,Dokumentum
Document attached to project,Dokumentum csatolva a projekthez
Document final decision and rationale,Végső döntés és indoklás dokumentálása
Documentation Review,Dokumentáció-ellenőrzés
Documents,Dokumentumok
Done,Kész
Download,Letöltés
Drag to create dependency,Húzza a függőség létrehozásához
Dry Run,Próbafuttatás
Dry Run Complete,Próbafuttatás kész
Due Date,Határidő
Due date,Határidő
Due Date (Earliest),Határidő (legkorábbi)
Due date cannot be before start date,A határidő nem lehet korábbi a kezdési dátumnál
Due date is in the past,A határidő a múltban van
Due Date Reminders,Határidő-emlékeztetők
Due Diligence,Átvilágítás
Due Diligence Checklist,Átvilágítási ellenőrzőlista
Due This Week,Ezen a héten esedékes
Due:,Határidő:
Duplicate events are not allowed,Ismétlődő események nem engedélyezettek
Duplicate failed,A duplikálás sikertelen
Duplicate Task,Feladat duplikálása
Duration,Időtartam
Duration Summary,Időtartam összesítő
Duration:,Időtartam:
e.g. Cracked wall finish in bathroom...,pl. Megrepedezett fali burkolat a fürdőszobában...
"e.g. Electrical, Plumbing...","pl. Villanyszerelés, Vízvezeték..."
Edit,Szerkesztés
Edit (E),Szerkesztés (E)
Edit dependency,Függőség szerkesztése
Edit Event,Esemény szerkesztése
Efficiency,Hatékonyság
Either dependency_name or depends_on is required,A dependency_name vagy a depends_on megadása kötelező
Email,E-mail
Email invitations to all attendees,E-mail meghívók minden résztvevőnek
Email is required to create portal user,E-mail cím szükséges a portálfelhasználó létrehozásához
Email notifications,E-mail értesítések
Employee,Alkalmazott
Employee DocType not available,Alkalmazott DocType nem érhető el
Employee not found,Alkalmazott nem található
Enable or disable optional features,Opcionális funkciók engedélyezése vagy letiltása
Enable Time Tracking,Időkövetés engedélyezése
End,Vége
End Date,Befejezési dátum
End date,Befejezési dátum
End Date cannot be before Start Date,A befejezési dátum nem lehet korábbi a kezdési dátumnál
End date cannot be before start date,A befejezési dátum nem lehet korábbi a kezdési dátumnál
End date updated,Befejezési dátum frissítve
End time was before start time. Adjusted to 1 hour after start.,A befejezési idő korábbi volt a kezdési időnél. 1 órával a kezdés utánra módosítva.
End:,Vége:
Enter milestone name...,Adja meg a mérföldkő nevét...
Enter project name,Adja meg a projekt nevét
Enter task title...,Adja meg a feladat címét...
Enter template name,Adja meg a sablon nevét
Enter your note... Use @name to mention someone,Írja be jegyzetét... Használja a @nevet valaki megemlítéséhez
Error,Hiba
Error loading activity,Hiba a tevékenység betöltésekor
Error loading contacts,Hiba a kapcsolattartók betöltésekor
Error loading dashboard,Hiba az irányítópult betöltésekor
Error loading project,Hiba a projekt betöltésekor
Error loading projects,Hiba a projektek betöltésekor
Error loading settings,Hiba a beállítások betöltésekor
Error loading tasks,Hiba a feladatok betöltésekor
Error loading templates,Hiba a sablonok betöltésekor
Est. Hours,Becs. órák
Estimated,Becsült
Estimated Cost,Becsült költség
Estimated Cost (€),Becsült költség (€)
Estimated Hours,Becsült órák
Estimated:,Becsült:
Evaluate potential risks and concerns,Lehetséges kockázatok és aggályok értékelése
Event,Esemény
Event is required for event context,Az esemény megadása kötelező eseménykontextusban
Event is required when tracking context is 'event',"Az esemény megadása kötelező, ha a követési kontextus „esemény""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Eseménytípus
Events,Események
Events not available. Please run: bench --site orga.localhost migrate,"Események nem elérhetők. Kérjük, futtassa: bench --site orga.localhost migrate"
Events:,Események:
Expert,Szakértő
Explain why you are proposing a different time...,Magyarázza el miért javasol más időpontot...
Export,Exportálás
Export failed,Az exportálás sikertelen
Export JSON,Exportálás JSON-be
Exported,Exportálva
Exported to timesheet {0},Exportálva a(z) {0} munkaidő-nyilvántartásba
External,Külső
Failed to add item,Nem sikerült hozzáadni az elemet
Failed to add note,Nem sikerült hozzáadni a jegyzetet
Failed to add skill,Nem sikerült hozzáadni a képességet
Failed to apply cascade changes: {0},Nem sikerült alkalmazni a továbbgyűrűző módosításokat: {0}
Failed to create defect,Nem sikerült létrehozni a hibát
Failed to create dependency,Nem sikerült létrehozni a függőséget
Failed to create event,Nem sikerült létrehozni az eseményt
Failed to create milestone,Nem sikerült létrehozni a mérföldkövet
Failed to create project,Nem sikerült létrehozni a projektet
Failed to create task,Nem sikerült létrehozni a feladatot
Failed to create time log,Nem sikerült létrehozni az időbejegyzést
Failed to delete,A törlés sikertelen
Failed to delete comment,Nem sikerült törölni a hozzászólást
Failed to delete contact,Nem sikerült törölni a kapcsolattartót
Failed to load,A betöltés sikertelen
Failed to load activity,Nem sikerült betölteni a tevékenységet
Failed to load assignments,Nem sikerült betölteni a hozzárendeléseket
Failed to load contact,Nem sikerült betölteni a kapcsolattartót
Failed to load dashboard data,Nem sikerült betölteni az irányítópult adatait
Failed to load defects,Nem sikerült betölteni a hibákat
Failed to load events,Nem sikerült betölteni az eseményeket
Failed to load project,Nem sikerült betölteni a projektet
Failed to load projects,Nem sikerült betölteni a projekteket
Failed to load report data,Nem sikerült betölteni a jelentés adatait
Failed to load settings,Nem sikerült betölteni a beállításokat
Failed to load tasks,Nem sikerült betölteni a feladatokat
Failed to move task,Nem sikerült áthelyezni a feladatot
Failed to post comment,Nem sikerült közzétenni a hozzászólást
Failed to propose new time,Nem sikerült új időpontot javasolni
Failed to remove item,Nem sikerült eltávolítani az elemet
Failed to remove skill,Nem sikerült eltávolítani a képességet
Failed to reorder milestones: {0},Nem sikerült átrendezni a mérföldköveket: {0}
Failed to reorder tasks: {0},Nem sikerült átrendezni a feladatokat: {0}
Failed to reschedule dependent tasks: {0},Nem sikerült átütemezni a függő feladatokat: {0}
Failed to save,A mentés sikertelen
Failed to save preferences,Nem sikerült menteni a beállításokat
Failed to save settings,Nem sikerült menteni a beállításokat
Failed to submit request. Please try again.,Nem sikerült elküldeni a kérést. Kérjük próbálja újra.
Failed to update item,Nem sikerült frissíteni az elemet
Failed to update priority,Nem sikerült frissíteni a prioritást
Failed to update task,Nem sikerült frissíteni a feladatot
Failed to update tasks: {0},Nem sikerült frissíteni a feladatokat: {0}
Failed to upload avatar,Nem sikerült feltölteni a profilképet
Feature,Funkció
Features,Funkciók
FF (Finish-Finish),FF (Befejezés-Befejezés)
FF - Finish-to-Finish,FF - Befejezéstől-befejezésig
Field has been updated,A mező frissítve lett
Field name is required for 'Set Field Value' action,"A mező neve kötelező a „Mezőérték beállítása művelethez"""
Field {0} is not a Link field,A(z) {0} mező nem hivatkozás típusú mező
Field {0} not found in {1},A(z) {0} mező nem található a(z) {1} elemben
File,Fájl
file,fájl
File does not belong to this task,A fájl nem tartozik ehhez a feladathoz
File name is required,A fájlnév kötelező
File uploaded,Fájl feltöltve
File {0} not found,A(z) {0} fájl nem található
Files,Fájlok
files,fájlok
Filter,Szűrő
Final Decision,Végső döntés
Finance,Pénzügyek
Financial,Pénzügyi
Finish-to-Finish,Befejezéstől-befejezésig
Finish-to-Start,Befejezéstől-kezdésig
Flag,Megjelölés
Flag for attention,Megjelölés figyelemre
Flagged,Megjelölve
Focus Panel,Fókuszpanel
Follows your system preference. Currently:,A rendszerbeállítását követi. Jelenleg:
Frappe Project {0} not found,A(z) {0} Frappe projekt nem található
Frappe Projects Migration,Frappe Projects áttelepítés
Frappe Projects module not available,A Frappe Projects modul nem érhető el
Frappe Projects module not installed,A Frappe Projects modul nincs telepítve
Frappe Projects sync is not enabled,A Frappe Projects szinkronizálás nincs engedélyezve
Frappe Task DocType not found,Frappe feladat DocType nem található
Frappe Task has no project,A Frappe feladatnak nincs projektje
Frappe Task {0} not found,A(z) {0} Frappe feladat nem található
Fri,Pén
From,Ettől
From Template,Sablonból
FS (Finish-Start),FS (Befejezés-Kezdés)
FS - Finish-to-Start (default),FS - Befejezéstől-kezdésig (alapértelmezett)
Full form view with audit trail,Teljes űrlapnézet naplónyommal
Full name,Teljes név
Gantt,Gantt
Gantt Chart,Gantt diagram
Gantt View,Gantt nézet
General Note,Általános jegyzet
Get started,Kezdjük el
Go back,Visszalépés
Go Back,Go Back
Group by,Csoportosítás
Group dependency removed,Csoportfüggőség eltávolítva
Group dependency set,Csoportfüggőség beállítva
Group removed,Csoport eltávolítva
Group updated,Csoport frissítve
Hammock task dates are auto-calculated and cannot be changed manually,A függőágy-feladat dátumait a rendszer automatikusan számítja és nem módosíthatók kézzel
Have a question or need assistance? Fill out the form below and our team will get back to you.,Kérdése van vagy segítségre van szüksége? Töltse ki az alábbi űrlapot és csapatunk válaszolni fog.
Health,Egészség
Healthy,Egészséges
Hello {0},Szia {0}
Here's what's happening with your projects today.,Íme mi történik a projektjeivel ma.
Hide,Elrejtés
High,Magas
History,Előzmények
Home,Főoldal
Hourly Cost,Óradíj
Hours,Órák
hours,óra
Hours Logged,Rögzített órák
ID,Azonosító
Image must be smaller than 5 MB,A kép nem lehet nagyobb 5 MB-nál
Import,Importálás
Import existing projects and tasks from Frappe Projects module,Meglévő projektek és feladatok importálása a Frappe Projects modulból
Import failed,Az importálás sikertelen
