Add Task,Peywir Zêde Bike
Add Task (Shift+T),Peywir Zêde Bike (Shift+T)
Added Finish-to-Start dependency,Pêwendiya Dawî-bo-Destpêk hat zêdekirin
Adding this dependency would create a circular reference: {0},Zêdekirina vê pêwendiyê dê referanseke dorveger biafirîne: {0}
Adding...,Tê zêdekirin...
Address,Navnîşan
Advanced,Pêşketî
All,Hemû
All Active,Hemû yên Çalak
All Assignees,Hemû Peywirdar
All Categories,Hemû Kategorî
All caught up!,Tu tişt nayê!
All Contexts,Hemû Çarçove
All day,Tevahiya rojê
All day event,Bûyera tevahiya rojê
All fields,Hemû qad
All Priorities,Hemû Pêşînî
All Projects,Hemû Proje
All Status,Hemû Rewş
All Statuses,Hemû Rewş
All task dependencies & relative dates,Hemû pêwendiyên peywirê û dîrokên têkildar
All Tasks,Hemû Peywir
All tasks across all projects.,Hemû peywirên li seranserê hemû projeyan.
All tasks are already linked,Hemû peywir jixwe girêdayî ne
All team members,Hemû endamên tîmê
All Types,Hemû Cure
All Users,Hemû Bikarhêner
Allocated,Veqetandî
allocated,veqetandî
Allow users to log time against tasks,Destûrê bide bikarhêneran ku demê li hember peywiran tomar bikin
Already exported to timesheet {0},Berê hatiye hinardekirin bo tabloya demê {0}
Already Migrated,Berê hatiye koçkirin
Anyone with access,Her kesê ku gihîştina wî heye
anytime to show this help,her dem ji bo nîşandana vê alîkariyê
App Updates,App Updates
Appearance,Xuyabûn
Apply,Bicîh Bîne
Apply cascade?,Cascade bicîh bîne?
Apply Changes,Guhertinan Bicîh Bîne
Apply failed,Bicîhkirin têk çû
Apply Template,Şablonê Bicîh Bîne
Applying...,Tê bicîhkirin...
Appointment,Randevû
Appointment and resource are required,Randevû û çavkanî pêwîst in
Appointment name is required,Navê randevûyê pêwîst e
Appointment not found,Randevû nehat dîtin
Appointment {0} not found,Randevûya {0} nehat dîtin
Apps,Serlêdan
Archive,Arşîv
Archive Activity,Çalakiyê Arşîv Bike
Archived,Hatiye arşîvkirin
Are you sure you want to delete this activity data? This cannot be undone.,Ma hûn bawer in ku hûn dixwazin van daneyên çalakiyê jêbibin? Ev nayê vegerandin.
Are you sure you want to delete this comment?,Ma hûn bawer in ku hûn dixwazin vê şîroveyê jêbibin?
Are you sure you want to delete this project?,Ma hûn bawer in ku hûn dixwazin vê projeyê jêbibin?
Are you sure?,Ma hûn bawer in?
Ascending -- click to reverse,Hilkişîn -- bikirtînin ji bo berevajîkirinê
Assign To,Peywir Bike Ji
Assign to Me,Ji Min Re Peywir Bike
Assigned Contact,Têkiliya Peywirkirî
Assigned To,Peywirkirî Ji
Assigned to,Peywirkirî ji
Assigned to Me,Ji Min Re Peywirkirî
Assignee,Peywirdar
Assignment,Peywirkirin
Assignment History,Dîroka Peywirkirinê
Assignment name is required,Navê peywirkirinê pêwîst e
Assignment {0} not found,Peywirkirina {0} nehat dîtin
Assignments,Peywirkirin
At least one action is required,Bi kêmanî yek çalakî pêwîst e
At least one event is required,Bi kêmanî yek bûyer pêwîst e
At least one event must be selected,Bi kêmanî divê yek bûyer were hilbijartin
Attachment,Pêvek
Attachments,Pêvek
Attendees,Beşdaran
"Audit trail, assignments, version history","Şopandina kontrolê, peywirkirin, dîroka guhertoyan"
Auto,Otomatîk
Auto Calculate Progress,Pêşveçûnê Otomatîk Hesab Bike
Auto Set Missed Milestones,Qonaxên Girîng ên Derbasbûyî Otomatîk Destnîşan Bike
Auto-shift dependents when dates change,Pêwendîdaran otomatîk biguhêze dema dîrok diguherin
Auto-Trail Start,Destpêka Şop-Otomatîk
Auto-Trail updated,Şop-Otomatîk hat nûkirin
Automatically calculate project progress from task completion,Pêşveçûna projeyê otomatîk ji temamkirina peywiran hesab bike
Automatically mark milestones as missed when overdue,Qonaxên girîng otomatîk wekî derbasbûyî nîşan bike dema ku dereng in
Automation rule {0} not found,Rêgeza otomasyonê {0} nehat dîtin
Automation: {0},Otomasyon: {0}
Availability,Berdestbûn
Available,Berdest
Avatar updated successfully,Wêne bi serkeftî hat nûkirin
Avg Progress,Pêşveçûna Navîn
Back,Paş
Back to Portal,Vegere Portalê
Back to Projects,Vegere Projeyan
Beginner,Destpêker
Best regards,Silav û rêz
Billable,Fatûrekirî
Billable Amount,Mîqdara Fatûrekirî
Billable Hours,Saetên Fatûrekirî
Billable Rate,Rêjeya Fatûrekirinê
Billing Rate,Rêjeya Fatûrekirinê
Blocked,Astengkirî
Both dates are needed to display task as a bar in Gantt chart,Her du dîrok pêwîst in ji bo nîşandana peywirê wekî barikê di nexşeya Gantt de
Both doctype and docname are required,Her du doctype û docname pêwîst in
Both proposed start and end times are required,Her du demên destpêk û dawiyê yên pêşniyarkirî pêwîst in
Both task_name and depends_on are required,Her du task_name û depends_on pêwîst in
Breadcrumb,Rêça Navîgasyonê
Brief description of the defect or damage,Danasîna kurt ya kêmasî an zirarê
Brief description of this template,Danasîna kurt ya vê şablonê
Brief description of your request,Danasîna kurt ya daxwaza we
Brief project description,Danasîna kurt ya projeyê
Budget,Budce
Budget at risk,Budce di xetereyê de
Budget Burn Rate,Rêjeya Xercekirina Budceyê
Budget Status,Rewşa Budceyê
Budget updated,Budce hat nûkirin
Budget:,Budce:
Bug,Çewtî
Burn Rate,Rêjeya Xercekirinê
Busy,Mijûl
By,Ji aliyê
By Assignee,Li Gor Peywirdar
By Group,Li Gor Komê
By Milestone,Li Gor Qonaxa Girîng
By Priority,Li Gor Pêşîniyê
By Status,Li Gor Rewşê
Cancel,Betal Bike
Cancelled,Hatiye betalkirin
cannot be undone,nayê vegerandin
Cannot delete client with {0} linked projects. Unlink projects first.,Xerîdarê bi {0} projeyên girêdayî nayê jêbirin. Pêşî projeyan veqetînin.
Cannot delete project with {0} linked tasks. Delete tasks first.,Projeya bi {0} peywirên girêdayî nayê jêbirin. Pêşî peywiran jêbibin.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Çavkaniya bi {0} peywirkirinên çalak nayê jêbirin. Pêşî wan temam an betal bikin.
Cannot delete task with {0} subtasks. Delete subtasks first.,Peywira bi {0} bin-peywiran nayê jêbirin. Pêşî bin-peywiran jêbibin.
Capacity,Kapasîte
capacity,kapasîte
Capacity & Rates,Kapasîte û Rêje
Capture project structure for reuse,Avahiya projeyê ji bo karanîna dîsa tomar bike
Cascade,Cascade
Cascade Preview,Pêşdîtina Cascade
Category,Kategorî
Celebrate,Pîrozkirin
Change,Biguherîne
Change History,Dîroka Guhertinan
Change Priority,Pêşîniyê Biguherîne
Change Status,Rewşê Biguherîne
Changes,Guhertin
Changes appear when fields are modified.,Guhertin dema ku qad têne guherandin xuya dibin.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Lîsteya Kontrolê
Checklist item name is required,Navê babetê lîsteyê pêwîst e
Checklist item not found,Babetê lîsteyê nehat dîtin
Checklist item title is required,Sernivîsa babetê lîsteyê pêwîst e
Checklist item {0} not found,Babetê lîsteyê {0} nehat dîtin
Checklist item {0} not found in task,Babetê lîsteyê {0} di peywirê de nehat dîtin
Child,Zarok
Choose file to upload,Dosyeyê ji bo barkirinê hilbijêre
Circular dependency detected: {0},Pêwendiya dorveger hat dîtin: {0}
Circular parent-child relationship detected,Têkiliya dorveger a dê-zarok hat dîtin
Clear,Paqij Bike
Clear all read,Hemû xwendiyan paqij bike
Clear date,Dîrokê paqij bike
Click on an activity from the list to view and manage its details.,Li çalakiyekê ji lîsteyê bikirtînin da ku hûrguliyên wê bibînin û birêve bibin.
Click the avatar to upload a new photo,Li wêneyê bikirtînin ji bo barkirina wêneyeke nû
Click to add description...,Bikirtînin ji bo zêdekirina danasînê...
Click to add notes...,Bikirtînin ji bo zêdekirina notan...
Click to assign contact,Bikirtînin ji bo peywirkirina têkiliyê
Click to change status,Bikirtînin ji bo guherandina rewşê
Click to change type,Bikirtînin ji bo guherandina cureyê
Click to edit,Bikirtînin ji bo sererastkirinê
Click to edit budget,Bikirtînin ji bo sererastkirina budceyê
Click to edit description,Bikirtînin ji bo sererastkirina danasînê
Click to edit end date,Bikirtînin ji bo sererastkirina dîroka dawiyê
Click to edit milestone name,Bikirtînin ji bo sererastkirina navê qonaxa girîng
Click to edit rate,Bikirtînin ji bo sererastkirina rêjeyê
Click to edit start date,Bikirtînin ji bo sererastkirina dîroka destpêkê
Click to edit title,Bikirtînin ji bo sererastkirina sernivîsê
Click to load,Bikirtînin ji bo barkirinê
Click to set group dependency...,Bikirtînin ji bo destnîşankirina pêwendiya komê...
Click to set group...,Bikirtînin ji bo destnîşankirina komê...
Click to view,Bikirtînin ji bo dîtinê
Click to view at-risk projects,Bikirtînin ji bo dîtina projeyên di xetereyê de
Click to view critical projects,Bikirtînin ji bo dîtina projeyên krîtîk
Click to view healthy projects,Bikirtînin ji bo dîtina projeyên saxlem
Client,Xerîdar
Client already has a portal user: {0},Xerîdar jixwe bikarhênerê portalê heye: {0}
Client already has portal access,Xerîdar jixwe gihîştina portalê heye
Client has no portal user to revoke,Xerîdar bikarhênerê portalê tune ku were betalkirin
Client link removed from project {0},Girêdana xerîdar ji projeya {0} hat rakirin
Client Portal,Portala Xerîdaran
Client {0} deleted successfully,Xerîdarê {0} bi serkeftî hat jêbirin
Close,Bigire
Close (Esc),Bigire (Esc)
Comment,Şîrove
comment,şîrove
Comment added,Şîrove hat zêdekirin
Comment content is required,Naveroka şîroveyê pêwîst e
Comment name is required,Navê şîroveyê pêwîst e
Comment not found,Şîrove nehat dîtin
Comment removed,Şîrove hat rakirin
Comment {0} not found in task,Şîroveya {0} di peywirê de nehat dîtin
Comments,Şîrove
comments,şîrove
Community Edition,Community Edition
Company,Pargîdanî
Company name...,Navê pargîdaniyê...
Complete,Temam Bike
Completed,Temamkirî
completed,temamkirî
Completed Tasks,Peywirên Temamkirî
Compliance,Lihevhatinî
Configure default values for new projects and tasks,Nirxên pêşwext ji bo proje û peywirên nû mîheng bike
Configure email notification settings,Mîhengên agahdariya e-nameyê mîheng bike
Confirm,Piştrast Bike
Contact deleted,Têkilî hat jêbirin
Contact Details,Hûrguliyên Têkiliyê
Contact Information,Agahiyên Têkiliyê
Contact name is required,Navê têkiliyê pêwîst e
Contact Support,Bi Piştgiriyê Re Têkilî Daynin
Contact your project manager for more information.,Ji bo bêtir agahî bi rêvebirê projeya xwe re têkilî daynin.
Contact:,Têkilî:
Contacts,Têkilî
Context,Çarçove
Contractor,Peymankar
Cost estimate cannot be negative,Texmîna lêçûnê nikare neyînî be
Cost Impact,Bandora Lêçûnê
Cost Summary,Kurteya Lêçûnê
Could not apply the template. Please try again.,Şablon nehat bicîhkirin. Ji kerema xwe dîsa biceribînin.
Could not attach file to project,Dosye nehat girêdan bi projeyê re
Could not change task priority,Pêşîniya peywirê nehat guherandin
Could not change task status,Rewşa peywirê nehat guherandin
Could not delete the project. Please try again.,Proje nehat jêbirin. Ji kerema xwe dîsa biceribînin.
Could not delete the task. Please try again.,Peywir nehat jêbirin. Ji kerema xwe dîsa biceribînin.
Could not delete the template.,Şablon nehat jêbirin.
Could not duplicate the task. Please try again.,Peywir nehat dubarekirin. Ji kerema xwe dîsa biceribînin.
Could not export the template.,Şablon nehat hinardekirin.
Could not import the template. Please check the file format.,Şablon nehat hawirdekirin. Ji kerema xwe formata dosyeyê kontrol bikin.
Could not link task to milestone,Peywir nehat girêdan bi qonaxa girîng re
Could not load document details.,Hûrguliyên belgeyê nehatin barkirin.
Could not load task details,Hûrguliyên peywirê nehatin barkirin
Could not promote checklist item to task.,Babetê lîsteyê nehat pêşxistin bo peywirê.
Could not remove task from milestone,Peywir ji qonaxa girîng nehat rakirin
Could not save budget.,Budce nehat tomarkirin.
Could not save changes to the milestone,Guherandinên qonaxa girîng nehatin tomarkirin
Could not save changes to the task,Guherandinên peywirê nehatin tomarkirin
Could not save description.,Danasîn nehat tomarkirin.
Could not save end date.,Dîroka dawiyê nehat tomarkirin.
Could not save milestone name.,Navê qonaxa girîng nehat tomarkirin.
Could not save start date.,Dîroka destpêkê nehat tomarkirin.
Could not save the template. Please try again.,Şablon nehat tomarkirin. Ji kerema xwe dîsa biceribînin.
Could not save title.,Sernivîs nehat tomarkirin.
Could not update dependency mode.,Moda pêwendiyê nehat nûkirin.
Could not update milestone date,Dîroka qonaxa girîng nehat nûkirin
Could not update project status.,Rewşa projeyê nehat nûkirin.
Could not update project type.,Cureyê projeyê nehat nûkirin.
Could not update setting.,Mîheng nehat nûkirin.
Could not update task dates,Dîrokên peywirê nehatin nûkirin
Could not update task status,Rewşa peywirê nehat nûkirin
Could not update the template.,Şablon nehat nûkirin.
Create a copy of this task,Kopiyeke vê peywirê biafirîne
Create Contact,Têkiliyê Biafirîne
Create Event,Bûyerê Biafirîne
Create Milestone,Qonaxa Girîng Biafirîne
Create New Milestone,Qonaxa Girîng a Nû Biafirîne
Create New Task,Peywira Nû Biafirîne
Create Project,Projeyê Biafirîne
Create Task,Peywirê Biafirîne
Create tasks and milestones from a template,Peywir û qonaxên girîng ji şablonê biafirîne
Create your first project to get started.,Projeya xwe ya yekem biafirînin da ku dest pê bikin.
Create your first task to start tracking work on this project.,Peywira xwe ya yekem biafirînin da ku şopandina karê li ser vê projeyê dest pê bikin.
Created,Hatiye afirandin
Creating...,Tê afirandin...
Critical,Krîtîk
Critical Path,Rêya Krîtîk
"Currency used for budgets, costs, and billing rates","Diravê ku ji bo budce, lêçûn, û rêjeyên fatûrekirinê tê bikaranîn"
Current,Niha
Current Assignments,Peywirkirinên Niha
Current scheduled time:,Dema plansazkirî ya niha:
Currently running version,Currently running version
d lag,roj dereng
Daily Availability,Berdestbûna Rojane
Daily Hours,Saetên Rojane
Danger Zone,Qada Xeternak
Dark,Tarî
Dashboard,Dashboard
Date,Dîrok
Date changes on this task will show cascade impact here,Guherandinên dîrokê yên li ser vê peywirê dê bandora cascade li vir nîşan bidin
Date cleared,Dîrok hat paqijkirin
Date of Joining,Dîroka Tev Lêbûnê
Date updated,Dîrok hat nûkirin
Dates,Dîrok
Dates cascaded,Dîrok hatin cascade kirin
Dates will be relative to the project's start date.,Dîrok dê li gorî dîroka destpêka projeyê bin.
Day,Roj
day,roj
days,roj
Days before due date to send reminder,Rojên berî dîroka dawî ji bo şandina bîranînê
Days Overdue,Rojên Derengmayî
Days Remaining,Rojên Mane
Deadline,Dîroka Dawî
Deadlines,Dîrokên Dawî
Decision,Biryar
Decline,Red Bike
Declined,Hatiye redkirin
Default Currency,Diravê Pêşwext
Default hours per week for contact capacity planning,Saetên pêşwext ên heftanê ji bo plansaziya kapasîteya têkiliyê
Default Priority,Pêşîniya Pêşwext
Default Project Status,Rewşa Pêşwext a Projeyê
Default Task Status,Rewşa Pêşwext a Peywirê
Default task view,Dîtina pêşwext a peywirê
Default Values,Nirxên Pêşwext
Default Weekly Capacity,Kapasîteya Heftanê ya Pêşwext
Defaults,Pêşwext
Defect Cost Impact,Bandora Lêçûna Kêmasiyê
Defect name is required,Navê kêmasiyê pêwîst e
Defect Type,Cureyê Kêmasiyê
Defect {0} not found,Kêmasiya {0} nehat dîtin
Defects,Kêmasî
Defects & Issues,Kêmasî û Pirsgirêk
Defects Resolved,Kêmasiyên Çareserkirî
Delayed,Derengmayî
Delete,Jêbibe
Delete Activity Data,Daneyên Çalakiyê Jêbibe
Delete all read notifications?,Hemû agahdariyên xwendî jêbibin?
Delete comment,Şîroveyê jêbibe
Delete Contact,Têkiliyê Jêbibe
Delete Event,Bûyerê Jêbibe
Delete Event?,Bûyerê jêbibin?
Delete failed,Jêbirin têk çû
Delete file,Dosyeyê jêbibe
Delete item,Babetê jêbibe
Delete note,Notê jêbibe
Delete Project,Projeyê Jêbibe
Delete Task,Peywirê Jêbibe
Delete this project,Vê projeyê jêbibe
Deleted,Hatiye jêbirin
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projeya ""{0}"" hat jêbirin ({1} peywir, {2} qonaxên girîng)"
Deletes notes and preferences. Source document is not affected.,Not û tercîhan jê dibe. Belgeya çavkaniyê bandor nabe.
Deleting...,Tê jêbirin...
Department,Beş
Dependencies,Pêwendî
dependencies,pêwendî
Dependencies are informational only,Pêwendî tenê ji bo agahdariyê ne
dependency,pêwendî
Dependency already exists,Pêwendî jixwe heye
Dependency Chain,Zincîra Pêwendiyê
Dependency created,Pêwendî hat afirandin
Dependency mode updated,Moda pêwendiyê hat nûkirin
Dependency name is required,Navê pêwendiyê pêwîst e
Dependency task {0} not found,Peywira pêwendiyê {0} nehat dîtin
Dependency {0} not found,Pêwendiya {0} nehat dîtin
depends,pêwendî ye
Depends on Group,Pêwendî bi Komê
Depends on task is required,Peywira pêwendiyê pêwîst e
depends on...,pêwendî bi...
Descending -- click to reverse,Daketinî -- bikirtînin ji bo berevajîkirinê
Describe the defect in detail...,Kêmasiyê bi hûrgulî diyar bikin...
Description,Danasîn
Description updated,Danasîn hat nûkirin
Designation,Pileya Karî
"Detailed description of the defect, location, and impact","Danasîna hûrgulî ya kêmasiyê, cih, û bandorê"
Details,Hûrgulî
Discard timer,Demjimêrê bavêje
Discussion,Nîqaş
Dismiss,Dismiss
Display,Nîşandan
Document,Belge
Document attached to project,Belge bi projeyê re hat girêdan
Document final decision and rationale,Biryara dawî û sedemê tomar bike
Documentation Review,Lêkolîna Belgeyan
Documents,Belge
Done,Qediya
Download,Daxistin
Drag to create dependency,Bikişînin ji bo afirandina pêwendiyê
Dry Run,Ceribandin
Dry Run Complete,Ceribandin Temam Bû
Due Date,Dîroka Dawî
Due date,Dîroka dawî
Due Date (Earliest),Dîroka Dawî (Zûtirîn)
Due date cannot be before start date,Dîroka dawî nikare berî dîroka destpêkê be
Due date is in the past,Dîroka dawî di boriyê de ye
Due Date Reminders,Bîranînên Dîroka Dawî
Due Diligence,Lêkolîna Hûrgulî
Due Diligence Checklist,Lîsteya Kontrolê ya Lêkolîna Hûrgulî
Due This Week,Vê Hefteyê Diqede
Due:,Dîroka Dawî:
Duplicate events are not allowed,Bûyerên dubare nayên destûrkirin
Duplicate failed,Dubarekirin têk çû
Duplicate Task,Peywirê Dubare Bike
Duration,Dirêjahî
Duration Summary,Kurteya Dirêjahiyê
Duration:,Dirêjahî:
e.g. Cracked wall finish in bathroom...,mînak: Çiriyandina dîwarê di serşokê de...
"e.g. Electrical, Plumbing...","mînak: Elektrîk, Tesîsat..."
Edit,Sererast Bike
Edit (E),Sererast Bike (E)
Edit dependency,Pêwendiyê sererast bike
Edit Event,Bûyerê Sererast Bike
Efficiency,Karîgerî
Either dependency_name or depends_on is required,Yan dependency_name yan depends_on pêwîst e
Email,E-name
Email invitations to all attendees,Vexwendnameyên e-nameyê ji hemû beşdaran re
Email is required to create portal user,E-name ji bo afirandina bikarhênerê portalê pêwîst e
Email notifications,Agahdariyên e-nameyê
Employee,Karker
Employee DocType not available,DocType ya Karker berdest nîne
Employee not found,Karker nehat dîtin
Enable or disable optional features,Taybetmendiyên vebijarkî çalak an neçalak bike
Enable Time Tracking,Şopandina Demê Çalak Bike
End,Dawî
End Date,Dîroka Dawiyê
End date,Dîroka dawiyê
End Date cannot be before Start Date,Dîroka Dawiyê nikare berî Dîroka Destpêkê be
End date cannot be before start date,Dîroka dawiyê nikare berî dîroka destpêkê be
End date updated,Dîroka dawiyê hat nûkirin
End time was before start time. Adjusted to 1 hour after start.,Dema dawiyê berî dema destpêkê bû. Hat rastkirin bo 1 saet piştî destpêkê.
End:,Dawî:
Enter milestone name...,Navê qonaxa girîng binivîsin...
Enter project name,Navê projeyê binivîsin
Enter task title...,Sernivîsa peywirê binivîsin...
Enter template name,Navê şablonê binivîsin
Enter your note... Use @name to mention someone,Nota xwe binivîsin... @nav bikar bînin ji bo behskirina kesekî
Error,Çewtî
Error loading activity,Çewtiya barkirina çalakiyê
Error loading contacts,Çewtiya barkirina têkiliyan
Error loading dashboard,Çewtiya barkirina dashboard
Error loading project,Çewtiya barkirina projeyê
Error loading projects,Çewtiya barkirina projeyan
Error loading settings,Çewtiya barkirina mîhengan
Error loading tasks,Çewtiya barkirina peywiran
Error loading templates,Çewtiya barkirina şablonan
Est. Hours,Saet. Texmîn.
Estimated,Texmînkirî
Estimated Cost,Lêçûna Texmînkirî
Estimated Cost (€),Lêçûna Texmînkirî (€)
Estimated Hours,Saetên Texmînkirî
Estimated:,Texmînkirî:
Evaluate potential risks and concerns,Xetereyên potansiyel û fikaran binirxînin
Event,Bûyer
Event is required for event context,Bûyer ji bo çarçoveya bûyerê pêwîst e
Event is required when tracking context is 'event',Bûyer pêwîst e dema çarçoveya şopandinê 'bûyer' e
Event Type,Cureyê Bûyerê
Events,Bûyer
Events not available. Please run: bench --site orga.localhost migrate,Bûyer berdest nînin. Ji kerema xwe bixebitînin: bench --site orga.localhost migrate
Events:,Bûyer:
Expert,Pispor
Explain why you are proposing a different time...,Rave bikin çima hûn demek cuda pêşniyar dikin...
Export,Hinardekirinê
Export failed,Hinardekirin têk çû
Export JSON,JSON Hinardekin
Exported,Hatiye hinardekirin
Exported to timesheet {0},Ji tabloya demê {0} re hat hinardekirin
External,Derve
Failed to add item,Zêdekirina babetê têk çû
Failed to add note,Zêdekirina notê têk çû
Failed to add skill,Zêdekirina jêhatiyê têk çû
Failed to apply cascade changes: {0},Bicîhkirina guherandinên cascade têk çû: {0}
Failed to create defect,Afirandina kêmasiyê têk çû
Failed to create dependency,Afirandina pêwendiyê têk çû
Failed to create event,Afirandina bûyerê têk çû
Failed to create milestone,Afirandina qonaxa girîng têk çû
Failed to create project,Afirandina projeyê têk çû
Failed to create task,Afirandina peywirê têk çû
Failed to create time log,Afirandina tomara demê têk çû
Failed to delete,Jêbirin têk çû
Failed to delete comment,Jêbirina şîroveyê têk çû
Failed to delete contact,Jêbirina têkiliyê têk çû
Failed to load,Barkirin têk çû
Failed to load activity,Barkirina çalakiyê têk çû
Failed to load assignments,Barkirina peywirkirinên têk çû
Failed to load contact,Barkirina têkiliyê têk çû
Failed to load dashboard data,Barkirina daneyên dashboard têk çû
Failed to load defects,Barkirina kêmasiyan têk çû
Failed to load events,Barkirina bûyeran têk çû
Failed to load project,Barkirina projeyê têk çû
Failed to load projects,Barkirina projeyan têk çû
Failed to load report data,Barkirina daneyên raporê têk çû
Failed to load settings,Barkirina mîhengan têk çû
Failed to load tasks,Barkirina peywiran têk çû
Failed to move task,Veguhestina peywirê têk çû
Failed to post comment,Şandina şîroveyê têk çû
Failed to propose new time,Pêşniyarkirina dema nû têk çû
Failed to remove item,Rakirina babetê têk çû
Failed to remove skill,Rakirina jêhatiyê têk çû
Failed to reorder milestones: {0},Ji nû ve rêzkirina qonaxên girîng têk çû: {0}
Failed to reorder tasks: {0},Ji nû ve rêzkirina peywiran têk çû: {0}
Failed to reschedule dependent tasks: {0},Ji nû ve plansazkirina peywirên pêwendîdar têk çû: {0}
Failed to save,Tomarkirin têk çû
Failed to save preferences,Tomarkirina tercîhan têk çû
Failed to save settings,Tomarkirina mîhengan têk çû
Failed to submit request. Please try again.,Şandina daxwazê têk çû. Ji kerema xwe dîsa biceribînin.
Failed to update item,Nûkirina babetê têk çû
Failed to update priority,Nûkirina pêşîniyê têk çû
Failed to update task,Nûkirina peywirê têk çû
Failed to update tasks: {0},Nûkirina peywiran têk çû: {0}
Failed to upload avatar,Barkirina wêneyê têk çû
Feature,Taybetmendî
Features,Taybetmendî
FF (Finish-Finish),DD (Dawî-Dawî)
FF - Finish-to-Finish,DD - Dawî-bo-Dawî
Field has been updated,Qad hat nûkirin
Field name is required for 'Set Field Value' action,Navê qadê ji bo çalakiya 'Nirxa Qadê Destnîşan Bike' pêwîst e
Field {0} is not a Link field,Qada {0} qada Link nîne
Field {0} not found in {1},Qada {0} di {1} de nehat dîtin
file,dosye
File,Dosye
File does not belong to this task,Dosye ne ya vê peywirê ye
File name is required,Navê dosyeyê pêwîst e
File uploaded,Dosye hat barkirin
File {0} not found,Dosyeya {0} nehat dîtin
files,dosye
Files,Dosye
Filter,Fîltre
Final Decision,Biryara Dawî
Finance,Darayî
Financial,Darayî
Finish-to-Finish,Dawî-bo-Dawî
Finish-to-Start,Dawî-bo-Destpêk
Flag,Nîşankirin
Flag for attention,Ji bo baldariyê nîşan bike
Flagged,Nîşankirî
Focus Panel,Panela Balkêşandinê
Follows your system preference. Currently:,Li gorî tercîha pergala we dimeşe. Niha:
