+ Add Milestone,+ Dodaj mejnik
Create your first task to start tracking work on this project.,Ustvarite prvo nalogo za začetek spremljanja dela na tem projektu.
Created,Ustvarjeno
Creating...,Ustvarjanje...
Critical,Kritično
Critical Path,Kritična pot
"Currency used for budgets, costs, and billing rates","Valuta za proračune, stroške in postavke za zaračunavanje"
Current,Trenutno
Current Assignments,Trenutne dodelitve
Current scheduled time:,Trenutno načrtovani čas:
Currently running version,Currently running version
d lag,d zamik
Daily Availability,Dnevna razpoložljivost
Daily Hours,Dnevne ure
Danger Zone,Nevarno območje
Dark,Temno
Dashboard,Nadzorna plošča
Date,Datum
Date changes on this task will show cascade impact here,Spremembe datumov na tej nalogi bodo tukaj prikazale kaskadni vpliv
Date cleared,Datum počiščen
Date of Joining,Datum pridružitve
Date updated,Datum posodobljen
Dates,Datumi
Dates cascaded,Datumi kaskadno posodobljeni
Dates will be relative to the project's start date.,Datumi bodo relativni glede na datum začetka projekta.
Day,Dan
day,dan
days,dni
Days before due date to send reminder,Dni pred rokom za pošiljanje opomnika
Days Overdue,Dni zamude
Days Remaining,Preostali dnevi
Deadline,Rok
Deadlines,Roki
Decision,Odločitev
Decline,Zavrni
Declined,Zavrnjeno
Default Currency,Privzeta valuta
Default hours per week for contact capacity planning,Privzete ure na teden za načrtovanje zmogljivosti stikov
Default Priority,Privzeta prioriteta
Default Project Status,Privzeto stanje projekta
Default Task Status,Privzeto stanje naloge
Default task view,Privzet pogled nalog
Default Values,Privzete vrednosti
Default Weekly Capacity,Privzeta tedenska zmogljivost
Defaults,Privzeto
Defect Cost Impact,Finančni vpliv napake
Defect name is required,Ime napake je obvezno
Defect Type,Vrsta napake
Defect {0} not found,Napaka {0} ni najdena
Defects,Napake
Defects & Issues,Napake in težave
Defects Resolved,Odpravljene napake
Delayed,Zakasnelo
Delete,Izbriši
Delete Activity Data,Izbriši podatke o dejavnosti
Delete all read notifications?,Izbriši vsa prebrana obvestila?
Delete comment,Izbriši komentar
Delete Contact,Izbriši stik
Delete Event,Izbriši dogodek
Delete Event?,Izbriši dogodek?
Delete failed,Brisanje ni uspelo
Delete file,Izbriši datoteko
Delete item,Izbriši element
Delete note,Izbriši opombo
Delete Project,Izbriši projekt
Delete Task,Izbriši nalogo
Delete this project,Izbriši ta projekt
Deleted,Izbrisano
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Izbrisan projekt ""{0}"" ({1} nalog, {2} mejnikov)"
Deletes notes and preferences. Source document is not affected.,Izbriše opombe in nastavitve. Izvorni dokument ni prizadet.
Deleting...,Brisanje...
Department,Oddelek
Dependencies,Odvisnosti
dependencies,odvisnosti
Dependencies are informational only,Odvisnosti so zgolj informativne
dependency,odvisnost
Dependency already exists,Odvisnost že obstaja
Dependency Chain,Veriga odvisnosti
Dependency created,Odvisnost ustvarjena
Dependency mode updated,Način odvisnosti posodobljen
Dependency name is required,Ime odvisnosti je obvezno
Dependency task {0} not found,Odvisna naloga {0} ni najdena
Dependency {0} not found,Odvisnost {0} ni najdena
depends,odvisno
Depends on Group,Odvisno od skupine
Depends on task is required,Odvisna naloga je obvezna
depends on...,odvisno od...
Descending -- click to reverse,Padajoče -- kliknite za obratno
Describe the defect in detail...,Podrobno opišite napako...
Description,Opis
Description updated,Opis posodobljen
Designation,Naziv delovnega mesta
"Detailed description of the defect, location, and impact","Podroben opis napake, lokacije in vpliva"
Details,Podrobnosti
Discard timer,Zavrzi štoparico
Discussion,Razprava
Dismiss,Dismiss
Display,Prikaz
Document,Dokument
Document attached to project,Dokument priložen projektu
Document final decision and rationale,Dokumentirajte končno odločitev in utemeljitev
Documentation Review,Pregled dokumentacije
Documents,Dokumenti
Done,Končano
Download,Prenesi
Drag to create dependency,Povlecite za ustvarjanje odvisnosti
Dry Run,Preskus
Dry Run Complete,Preskus končan
Due Date,Rok
Due date,Rok
Due Date (Earliest),Rok (najzgodnejši)
Due date cannot be before start date,Rok ne more biti pred datumom začetka
Due date is in the past,Rok je v preteklosti
Due Date Reminders,Opomniki roka
Due Diligence,Skrbni pregled
Due Diligence Checklist,Kontrolni seznam skrbnega pregleda
Due This Week,Rok ta teden
Due:,Rok:
Duplicate events are not allowed,Podvojeni dogodki niso dovoljeni
Duplicate failed,Podvajanje ni uspelo
Duplicate Task,Podvoji nalogo
Duration,Trajanje
Duration Summary,Povzetek trajanja
Duration:,Trajanje:
e.g. Cracked wall finish in bathroom...,npr. razpokan omet v kopalnici...
"e.g. Electrical, Plumbing...","npr. elektrika, vodovod..."
Edit,Uredi
Edit (E),Uredi (E)
Edit dependency,Uredi odvisnost
Edit Event,Uredi dogodek
Efficiency,Učinkovitost
Either dependency_name or depends_on is required,Zahtevan je dependency_name ali depends_on
Email,E-pošta
Email invitations to all attendees,E-poštna povabila vsem udeležencem
Email is required to create portal user,E-poštni naslov je obvezen za ustvarjanje uporabnika portala
Email notifications,E-poštna obvestila
Employee,Zaposleni
Employee DocType not available,Tip dokumenta Zaposleni ni na voljo
Employee not found,Zaposleni ni najden
Enable or disable optional features,Omogočite ali onemogočite izbirne funkcije
Enable Time Tracking,Omogoči sledenje časa
End,Konec
End Date,Datum konca
End date,Datum konca
End Date cannot be before Start Date,Datum konca ne more biti pred datumom začetka
End date cannot be before start date,Datum konca ne more biti pred datumom začetka
End date updated,Datum konca posodobljen
End time was before start time. Adjusted to 1 hour after start.,Čas konca je bil pred časom začetka. Prilagojeno na 1 uro po začetku.
End:,Konec:
Enter milestone name...,Vnesite ime mejnika...
Enter project name,Vnesite ime projekta
Enter task title...,Vnesite naslov naloge...
Enter template name,Vnesite ime predloge
Enter your note... Use @name to mention someone,Vnesite svojo opombo... Uporabite @ime za omembo
Error,Napaka
Error loading activity,Napaka pri nalaganju dejavnosti
Error loading contacts,Napaka pri nalaganju stikov
Error loading dashboard,Napaka pri nalaganju nadzorne plošče
Error loading project,Napaka pri nalaganju projekta
Error loading projects,Napaka pri nalaganju projektov
Error loading settings,Napaka pri nalaganju nastavitev
Error loading tasks,Napaka pri nalaganju nalog
Error loading templates,Napaka pri nalaganju predlog
Est. Hours,Ocenjene ure
Estimated,Ocenjeno
Estimated Cost,Ocenjeni stroški
Estimated Cost (€),Ocenjeni stroški (€)
Estimated Hours,Ocenjene ure
Estimated:,Ocenjeno:
Evaluate potential risks and concerns,Ocenite morebitna tveganja in pomisleke
Event,Dogodek
Event is required for event context,Dogodek je obvezen za kontekst dogodka
Event is required when tracking context is 'event',"Dogodek je obvezen, ko je kontekst sledenja »dogodek«"
Event Type,Vrsta dogodka
Events,Dogodki
Events not available. Please run: bench --site orga.localhost migrate,Dogodki niso na voljo. Zaženite: bench --site orga.localhost migrate
Events:,Dogodki:
Expert,Strokovnjak
Explain why you are proposing a different time...,Pojasnite
Export,Izvozi
Export failed,Izvoz ni uspel
Export JSON,Izvozi JSON
Exported,Izvoženo
Exported to timesheet {0},Izvoženo v časovnico {0}
External,Zunanji
Failed to add item,Dodajanje elementa ni uspelo
Failed to add note,Dodajanje opombe ni uspelo
Failed to add skill,Dodajanje veščine ni uspelo
Failed to apply cascade changes: {0},Uporaba kaskadnih sprememb ni uspela: {0}
Failed to create defect,Ustvarjanje napake ni uspelo
Failed to create dependency,Ustvarjanje odvisnosti ni uspelo
Failed to create event,Ustvarjanje dogodka ni uspelo
Failed to create milestone,Ustvarjanje mejnika ni uspelo
Failed to create project,Ustvarjanje projekta ni uspelo
Failed to create task,Ustvarjanje naloge ni uspelo
Failed to create time log,Ustvarjanje časovnega zapisa ni uspelo
Failed to delete,Brisanje ni uspelo
Failed to delete comment,Brisanje komentarja ni uspelo
Failed to delete contact,Brisanje stika ni uspelo
Failed to load,Nalaganje ni uspelo
Failed to load activity,Nalaganje dejavnosti ni uspelo
Failed to load assignments,Nalaganje dodelitev ni uspelo
Failed to load contact,Nalaganje stika ni uspelo
Failed to load dashboard data,Nalaganje podatkov nadzorne plošče ni uspelo
Failed to load defects,Nalaganje napak ni uspelo
Failed to load events,Nalaganje dogodkov ni uspelo
Failed to load project,Nalaganje projekta ni uspelo
Failed to load projects,Nalaganje projektov ni uspelo
Failed to load report data,Nalaganje podatkov poročila ni uspelo
Failed to load settings,Nalaganje nastavitev ni uspelo
Failed to load tasks,Nalaganje nalog ni uspelo
Failed to move task,Premik naloge ni uspel
Failed to post comment,Objava komentarja ni uspela
Failed to propose new time,Predlaganje novega časa ni uspelo
Failed to remove item,Odstranjevanje elementa ni uspelo
Failed to remove skill,Odstranjevanje veščine ni uspelo
Failed to reorder milestones: {0},Prerazporeditev mejnikov ni uspela: {0}
Failed to reorder tasks: {0},Prerazporeditev nalog ni uspela: {0}
Failed to reschedule dependent tasks: {0},Prerazporeditev odvisnih nalog ni uspela: {0}
Failed to save,Shranjevanje ni uspelo
Failed to save preferences,Shranjevanje nastavitev ni uspelo
Failed to save settings,Shranjevanje nastavitev ni uspelo
Failed to submit request. Please try again.,Pošiljanje zahteve ni uspelo. Poskusite znova.
Failed to update item,Posodobitev elementa ni uspela
Failed to update priority,Posodobitev prioritete ni uspela
Failed to update task,Posodobitev naloge ni uspela
Failed to update tasks: {0},Posodobitev nalog ni uspela: {0}
Failed to upload avatar,Nalaganje slike profila ni uspelo
Feature,Funkcija
Features,Funkcije
FF (Finish-Finish),FF (konec-konec)
FF - Finish-to-Finish,FF - konec-konec
Field has been updated,Polje je bilo posodobljeno
Field name is required for 'Set Field Value' action,Ime polja je obvezno za dejanje »Nastavi vrednost polja«
Field {0} is not a Link field,Polje {0} ni polje tipa Povezava
Field {0} not found in {1},Polje {0} ni najdeno v {1}
File,Datoteka
file,datoteka
File does not belong to this task,Datoteka ne pripada tej nalogi
File name is required,Ime datoteke je obvezno
File uploaded,Datoteka naložena
File {0} not found,Datoteka {0} ni najdena
Files,Datoteke
files,datoteke
Filter,Filter
Final Decision,Končna odločitev
Finance,Finance
Financial,Finančno
Finish-to-Finish,Konec-konec
Finish-to-Start,Konec-začetek
Flag,Označi
Flag for attention,Označi za pozornost
Flagged,Označeno
Focus Panel,Osrednji panel
Follows your system preference. Currently:,Sledi vaši sistemski nastavitvi. Trenutno:
Frappe Project {0} not found,Frappe projekt {0} ni najden
Frappe Projects Migration,Frappe Projects selitev
Frappe Projects module not available,Modul Frappe Projects ni na voljo
Frappe Projects module not installed,Modul Frappe Projects ni nameščen
Frappe Projects sync is not enabled,Sinhronizacija Frappe Projects ni omogočena
Frappe Task DocType not found,Frappe tip dokumenta Naloga ni najden
Frappe Task has no project,Frappe naloga nima projekta
Frappe Task {0} not found,Frappe naloga {0} ni najdena
Fri,Pet
From,Od
From Template,Iz predloge
FS (Finish-Start),FS (konec-začetek)
FS - Finish-to-Start (default),FS - konec-začetek (privzeto)
Full form view with audit trail,Celoten pogled obrazca z revizijsko sledjo
Full name,Polno ime
Gantt,Gantt
Gantt Chart,Gantt diagram
Gantt View,Gantt pogled
General Note,Splošna opomba
Get started,Začnite
Go back,Nazaj
Go Back,Go Back
Group by,Združi po
Group dependency removed,Odvisnost skupine odstranjena
Group dependency set,Odvisnost skupine nastavljena
Group removed,Skupina odstranjena
Group updated,Skupina posodobljena
Hammock task dates are auto-calculated and cannot be changed manually,Datumi viseče naloge so samodejno izračunani in jih ni mogoče ročno spremeniti
Have a question or need assistance? Fill out the form below and our team will get back to you.,Imate vprašanje ali potrebujete pomoč? Izpolnite spodnji obrazec in naša ekipa vam bo odgovorila.
Health,Zdravje
Healthy,Zdravo
Hello {0},Pozdravljeni {0}
Here's what's happening with your projects today.,Tukaj je pregled dogajanja na vaših projektih danes.
Hide,Skrij
High,Visoka
History,Zgodovina
Home,Domov
Hourly Cost,Urni strošek
Hours,Ure
hours,ure
Hours Logged,Zabeležene ure
ID,ID
Image must be smaller than 5 MB,Slika mora biti manjša od 5 MB
Import,Uvozi
Import existing projects and tasks from Frappe Projects module,Uvozite obstoječe projekte in naloge iz modula Frappe Projects
Import failed,Uvoz ni uspel
Import Template,Uvozi predlogo
Imported,Uvoženo
in,v
In Progress,V teku
In Review,V pregledu
In-app notifications,Obvestila v aplikaciji
Inactive,Neaktiven
Initial Review,Začetni pregled
Installed Version,Installed Version
Insufficient permissions to view all tasks,Nezadostna dovoljenja za ogled vseh nalog
Intermediate,Srednji
Internal,Notranji
Invalid DocType,Neveljaven tip dokumenta
Invalid DocType for import,Neveljaven tip dokumenta za uvoz
Invalid item type: {0},Neveljavna vrsta elementa: {0}
Invalid JSON data,Neveljavni podatki JSON
Invalid note type. Must be one of: {0},Neveljavna vrsta opombe. Mora biti ena od: {0}
Invalid project reference,Neveljavna referenca projekta
Invalid reaction type. Must be one of: {0},Neveljavna vrsta odziva. Mora biti ena od: {0}
Invalid RSVP status,Neveljavno stanje RSVP
Invalid status. Must be one of: {0},Neveljavno stanje. Mora biti eno od: {0}
Invalid status: {0},Neveljavno stanje: {0}
Invalid status: {0}. Must be one of: {1},Neveljavno stanje: {0}. Mora biti eno od: {1}
Invalid tracking context: {0},Neveljaven kontekst sledenja: {0}
Invalid visibility. Must be one of: {0},Neveljavna vidljivost. Mora biti ena od: {0}
Invitation: {0} - {1} at {2},Povabilo: {0} - {1} ob {2}
Invite People,Povabi osebe
