+ Add Milestone,+ মাইলস্টোন যোগ করুন
Already Migrated,ইতিমধ্যে মাইগ্রেট করা হয়েছে
Anyone with access,যাদের অ্যাক্সেস আছে
anytime to show this help,এই সাহায্য দেখাতে যেকোনো সময়
App Updates,App Updates
Appearance,চেহারা
Apply,প্রয়োগ করুন
Apply cascade?,ক্যাসকেড প্রয়োগ করবেন?
Apply Changes,পরিবর্তন প্রয়োগ করুন
Apply failed,প্রয়োগ ব্যর্থ
Apply Template,টেমপ্লেট প্রয়োগ করুন
Applying...,প্রয়োগ করা হচ্ছে...
Appointment,অ্যাপয়েন্টমেন্ট
Appointment and resource are required,অ্যাপয়েন্টমেন্ট এবং রিসোর্স প্রয়োজন
Appointment name is required,অ্যাপয়েন্টমেন্টের নাম প্রয়োজন
Appointment not found,অ্যাপয়েন্টমেন্ট পাওয়া যায়নি
Appointment {0} not found,অ্যাপয়েন্টমেন্ট {0} পাওয়া যায়নি
Apps,অ্যাপস
Archive,আর্কাইভ
Archive Activity,কার্যকলাপ আর্কাইভ করুন
Archived,আর্কাইভকৃত
Are you sure you want to delete this activity data? This cannot be undone.,আপনি কি নিশ্চিত যে এই কার্যকলাপ ডেটা মুছতে চান? এটি পূর্বাবস্থায় ফেরানো যাবে না।
Are you sure you want to delete this comment?,আপনি কি নিশ্চিত যে এই মন্তব্য মুছতে চান?
Are you sure you want to delete this project?,আপনি কি নিশ্চিত যে এই প্রকল্প মুছতে চান?
Are you sure?,আপনি কি নিশ্চিত?
Ascending -- click to reverse,ঊর্ধ্বক্রম -- উল্টাতে ক্লিক করুন
Assign To,অ্যাসাইন করুন
Assign to Me,আমাকে অ্যাসাইন করুন
Assigned Contact,অ্যাসাইনকৃত পরিচিতি
Assigned To,অ্যাসাইনকৃত
Assigned to,অ্যাসাইনকৃত
Assigned to Me,আমাকে অ্যাসাইনকৃত
Assignee,অ্যাসাইনি
Assignment,অ্যাসাইনমেন্ট
Assignment History,অ্যাসাইনমেন্ট ইতিহাস
Assignment name is required,অ্যাসাইনমেন্টের নাম প্রয়োজন
Assignment {0} not found,অ্যাসাইনমেন্ট {0} পাওয়া যায়নি
Assignments,অ্যাসাইনমেন্টসমূহ
At least one action is required,অন্তত একটি অ্যাকশন প্রয়োজন
At least one event is required,অন্তত একটি ইভেন্ট প্রয়োজন
At least one event must be selected,অন্তত একটি ইভেন্ট নির্বাচন করতে হবে
Attachment,সংযুক্তি
Attachments,সংযুক্তিসমূহ
Attendees,অংশগ্রহণকারীগণ
"Audit trail, assignments, version history","অডিট ট্রেইল, অ্যাসাইনমেন্ট, সংস্করণ ইতিহাস"
Auto,স্বয়ংক্রিয়
Auto Calculate Progress,অগ্রগতি স্বয়ংক্রিয়ভাবে গণনা করুন
Auto Set Missed Milestones,মিসড মাইলস্টোন স্বয়ংক্রিয়ভাবে সেট করুন
Auto-shift dependents when dates change,তারিখ পরিবর্তন হলে নির্ভরশীলদের স্বয়ংক্রিয়ভাবে সরান
Auto-Trail Start,অটো-ট্রেইল শুরু
Auto-Trail updated,অটো-ট্রেইল আপডেট হয়েছে
Automatically calculate project progress from task completion,টাস্ক সম্পন্নতা থেকে প্রকল্পের অগ্রগতি স্বয়ংক্রিয়ভাবে গণনা করুন
Automatically mark milestones as missed when overdue,মেয়াদোত্তীর্ণ হলে স্বয়ংক্রিয়ভাবে মাইলস্টোন মিসড হিসেবে চিহ্নিত করুন
Automation rule {0} not found,অটোমেশন নিয়ম {0} পাওয়া যায়নি
Automation: {0},অটোমেশন: {0}
Availability,প্রাপ্যতা
Available,উপলব্ধ
Avatar updated successfully,অবতার সফলভাবে আপডেট হয়েছে
Avg Progress,গড় অগ্রগতি
Back,পেছনে
Back to Portal,পোর্টালে ফিরুন
Back to Projects,প্রকল্পে ফিরুন
Beginner,শিক্ষানবিশ
Best regards,শুভেচ্ছান্তে
Billable,বিলযোগ্য
Billable Amount,বিলযোগ্য পরিমাণ
Billable Hours,বিলযোগ্য ঘণ্টা
Billable Rate,বিলযোগ্য হার
Billing Rate,বিলিং হার
Blocked,ব্লকড
Both dates are needed to display task as a bar in Gantt chart,গ্যান্ট চার্টে টাস্ক বার হিসেবে দেখাতে উভয় তারিখ প্রয়োজন
Both doctype and docname are required,DocType এবং DocName উভয়ই প্রয়োজন
Both proposed start and end times are required,প্রস্তাবিত শুরু ও শেষ উভয় সময় প্রয়োজন
Both task_name and depends_on are required,task_name এবং depends_on উভয়ই প্রয়োজন
Breadcrumb,ব্রেডক্রাম্ব
Brief description of the defect or damage,ত্রুটি বা ক্ষতির সংক্ষিপ্ত বিবরণ
Brief description of this template,এই টেমপ্লেটের সংক্ষিপ্ত বিবরণ
Brief description of your request,আপনার অনুরোধের সংক্ষিপ্ত বিবরণ
Brief project description,সংক্ষিপ্ত প্রকল্প বিবরণ
Budget,বাজেট
Budget at risk,বাজেট ঝুঁকিতে
Budget Burn Rate,বাজেট খরচের হার
Budget Status,বাজেট স্ট্যাটাস
Budget updated,বাজেট আপডেট হয়েছে
Budget:,বাজেট:
Bug,বাগ
Burn Rate,খরচের হার
Busy,ব্যস্ত
By,দ্বারা
By Assignee,অ্যাসাইনি অনুসারে
By Group,গ্রুপ অনুসারে
By Milestone,মাইলস্টোন অনুসারে
By Priority,অগ্রাধিকার অনুসারে
By Status,স্ট্যাটাস অনুসারে
Cancel,বাতিল
Cancelled,বাতিল হয়েছে
cannot be undone,পূর্বাবস্থায় ফেরানো যাবে না
Cannot delete client with {0} linked projects. Unlink projects first.,{0}টি সংযুক্ত প্রকল্প সহ ক্লায়েন্ট মুছে ফেলা যাবে না। আগে প্রকল্পগুলি বিচ্ছিন্ন করুন।
Cannot delete project with {0} linked tasks. Delete tasks first.,{0}টি সংযুক্ত টাস্ক সহ প্রকল্প মুছে ফেলা যাবে না। আগে টাস্কগুলি মুছুন।
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0}টি সক্রিয় অ্যাসাইনমেন্ট সহ রিসোর্স মুছে ফেলা যাবে না। আগে সেগুলি সম্পন্ন বা বাতিল করুন।
Cannot delete task with {0} subtasks. Delete subtasks first.,{0}টি সাব-টাস্ক সহ টাস্ক মুছে ফেলা যাবে না। আগে সাব-টাস্কগুলি মুছুন।
Capacity,ক্ষমতা
capacity,ক্ষমতা
Capacity & Rates,ক্ষমতা ও হার
Capture project structure for reuse,পুনঃব্যবহারের জন্য প্রকল্পের কাঠামো ক্যাপচার করুন
Cascade,ক্যাসকেড
Cascade Preview,ক্যাসকেড পূর্বদর্শন
Category,বিভাগ
Celebrate,উদযাপন
Change,পরিবর্তন
Change History,পরিবর্তনের ইতিহাস
Change Priority,অগ্রাধিকার পরিবর্তন করুন
Change Status,স্ট্যাটাস পরিবর্তন করুন
Changes,পরিবর্তনসমূহ
Changes appear when fields are modified.,ক্ষেত্র পরিবর্তন হলে পরিবর্তনগুলি দেখা যায়।
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,চেকলিস্ট
Checklist item name is required,চেকলিস্ট আইটেমের নাম প্রয়োজন
Checklist item not found,চেকলিস্ট আইটেম পাওয়া যায়নি
Checklist item title is required,চেকলিস্ট আইটেমের শিরোনাম প্রয়োজন
Checklist item {0} not found,চেকলিস্ট আইটেম {0} পাওয়া যায়নি
Checklist item {0} not found in task,টাস্কে চেকলিস্ট আইটেম {0} পাওয়া যায়নি
Child,চাইল্ড
Choose file to upload,আপলোড করতে ফাইল নির্বাচন করুন
Circular dependency detected: {0},চক্রাকার নির্ভরতা সনাক্ত হয়েছে: {0}
Circular parent-child relationship detected,চক্রাকার প্যারেন্ট-চাইল্ড সম্পর্ক সনাক্ত হয়েছে
Clear,মুছুন
Clear all read,সব পঠিত মুছুন
Clear date,তারিখ মুছুন
Click on an activity from the list to view and manage its details.,বিস্তারিত দেখতে ও পরিচালনা করতে তালিকা থেকে একটি কার্যকলাপে ক্লিক করুন।
Click the avatar to upload a new photo,নতুন ছবি আপলোড করতে অবতারে ক্লিক করুন
Click to add description...,বিবরণ যোগ করতে ক্লিক করুন...
Click to add notes...,নোট যোগ করতে ক্লিক করুন...
Click to assign contact,পরিচিতি অ্যাসাইন করতে ক্লিক করুন
Click to change status,স্ট্যাটাস পরিবর্তন করতে ক্লিক করুন
Click to change type,ধরন পরিবর্তন করতে ক্লিক করুন
Click to edit,সম্পাদনা করতে ক্লিক করুন
Click to edit budget,বাজেট সম্পাদনা করতে ক্লিক করুন
Click to edit description,বিবরণ সম্পাদনা করতে ক্লিক করুন
Click to edit end date,শেষ তারিখ সম্পাদনা করতে ক্লিক করুন
Click to edit milestone name,মাইলস্টোনের নাম সম্পাদনা করতে ক্লিক করুন
Click to edit rate,হার সম্পাদনা করতে ক্লিক করুন
Click to edit start date,শুরুর তারিখ সম্পাদনা করতে ক্লিক করুন
Click to edit title,শিরোনাম সম্পাদনা করতে ক্লিক করুন
Click to load,লোড করতে ক্লিক করুন
Click to set group dependency...,গ্রুপ নির্ভরতা সেট করতে ক্লিক করুন...
Click to set group...,গ্রুপ সেট করতে ক্লিক করুন...
Click to view,দেখতে ক্লিক করুন
Click to view at-risk projects,ঝুঁকিপূর্ণ প্রকল্প দেখতে ক্লিক করুন
Click to view critical projects,সংকটপূর্ণ প্রকল্প দেখতে ক্লিক করুন
Click to view healthy projects,সুস্থ প্রকল্প দেখতে ক্লিক করুন
Client,ক্লায়েন্ট
Client already has a portal user: {0},ক্লায়েন্টের ইতিমধ্যে একটি পোর্টাল ব্যবহারকারী আছে: {0}
Client already has portal access,ক্লায়েন্টের ইতিমধ্যে পোর্টাল অ্যাক্সেস আছে
Client has no portal user to revoke,ক্লায়েন্টের বাতিল করার কোনো পোর্টাল ব্যবহারকারী নেই
Client link removed from project {0},প্রকল্প {0} থেকে ক্লায়েন্ট লিংক সরানো হয়েছে
Client Portal,ক্লায়েন্ট পোর্টাল
Client {0} deleted successfully,ক্লায়েন্ট {0} সফলভাবে মুছে ফেলা হয়েছে
Close,বন্ধ করুন
Close (Esc),বন্ধ করুন (Esc)
Comment,মন্তব্য
comment,মন্তব্য
Comment added,মন্তব্য যোগ হয়েছে
Comment content is required,মন্তব্যের বিষয়বস্তু প্রয়োজন
Comment name is required,মন্তব্যের নাম প্রয়োজন
Comment not found,মন্তব্য পাওয়া যায়নি
Comment removed,মন্তব্য সরানো হয়েছে
Comment {0} not found in task,টাস্কে মন্তব্য {0} পাওয়া যায়নি
Comments,মন্তব্যসমূহ
comments,মন্তব্য
Community Edition,Community Edition
Company,কোম্পানি
Company name...,কোম্পানির নাম...
Complete,সম্পন্ন করুন
Completed,সম্পন্ন
completed,সম্পন্ন
Completed Tasks,সম্পন্ন টাস্ক
Compliance,সম্মতি
Configure default values for new projects and tasks,নতুন প্রকল্প ও টাস্কের জন্য ডিফল্ট মান কনফিগার করুন
Configure email notification settings,ইমেইল বিজ্ঞপ্তি সেটিংস কনফিগার করুন
Confirm,নিশ্চিত করুন
Contact deleted,পরিচিতি মুছে ফেলা হয়েছে
Contact Details,পরিচিতির বিস্তারিত
Contact Information,যোগাযোগের তথ্য
Contact name is required,পরিচিতির নাম প্রয়োজন
Contact Support,সাপোর্টে যোগাযোগ করুন
Contact your project manager for more information.,আরও তথ্যের জন্য আপনার প্রকল্প ব্যবস্থাপকের সাথে যোগাযোগ করুন।
Contact:,যোগাযোগ:
Contacts,পরিচিতিসমূহ
Context,প্রসঙ্গ
Contractor,ঠিকাদার
Cost estimate cannot be negative,খরচের অনুমান ঋণাত্মক হতে পারে না
Cost Impact,খরচের প্রভাব
Cost Summary,খরচের সারসংক্ষেপ
Could not apply the template. Please try again.,টেমপ্লেট প্রয়োগ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।
Could not attach file to project,প্রকল্পে ফাইল সংযুক্ত করা যায়নি
Could not change task priority,টাস্কের অগ্রাধিকার পরিবর্তন করা যায়নি
Could not change task status,টাস্কের স্ট্যাটাস পরিবর্তন করা যায়নি
Could not delete the project. Please try again.,প্রকল্প মুছে ফেলা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।
Could not delete the task. Please try again.,টাস্ক মুছে ফেলা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।
Could not delete the template.,টেমপ্লেট মুছে ফেলা যায়নি।
Could not duplicate the task. Please try again.,টাস্ক ডুপ্লিকেট করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।
Could not export the template.,টেমপ্লেট রপ্তানি করা যায়নি।
Could not import the template. Please check the file format.,টেমপ্লেট ইমপোর্ট করা যায়নি। অনুগ্রহ করে ফাইল ফরম্যাট পরীক্ষা করুন।
Could not link task to milestone,টাস্ককে মাইলস্টোনের সাথে সংযুক্ত করা যায়নি
Could not load document details.,ডকুমেন্টের বিস্তারিত লোড করা যায়নি।
Could not load task details,টাস্কের বিস্তারিত লোড করা যায়নি
Could not promote checklist item to task.,চেকলিস্ট আইটেমকে টাস্কে উন্নীত করা যায়নি।
Could not remove task from milestone,মাইলস্টোন থেকে টাস্ক সরানো যায়নি
Could not save budget.,বাজেট সংরক্ষণ করা যায়নি।
Could not save changes to the milestone,মাইলস্টোনে পরিবর্তন সংরক্ষণ করা যায়নি
Could not save changes to the task,টাস্কে পরিবর্তন সংরক্ষণ করা যায়নি
Could not save description.,বিবরণ সংরক্ষণ করা যায়নি।
Could not save end date.,শেষ তারিখ সংরক্ষণ করা যায়নি।
Could not save milestone name.,মাইলস্টোনের নাম সংরক্ষণ করা যায়নি।
Could not save start date.,শুরুর তারিখ সংরক্ষণ করা যায়নি।
Could not save the template. Please try again.,টেমপ্লেট সংরক্ষণ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।
Could not save title.,শিরোনাম সংরক্ষণ করা যায়নি।
Could not update dependency mode.,নির্ভরতা মোড আপডেট করা যায়নি।
Could not update milestone date,মাইলস্টোনের তারিখ আপডেট করা যায়নি
Could not update project status.,প্রকল্পের স্ট্যাটাস আপডেট করা যায়নি।
Could not update project type.,প্রকল্পের ধরন আপডেট করা যায়নি।
Could not update setting.,সেটিং আপডেট করা যায়নি।
Could not update task dates,টাস্কের তারিখ আপডেট করা যায়নি
Could not update task status,টাস্কের স্ট্যাটাস আপডেট করা যায়নি
Could not update the template.,টেমপ্লেট আপডেট করা যায়নি।
Create a copy of this task,এই টাস্কের একটি অনুলিপি তৈরি করুন
Create Contact,পরিচিতি তৈরি করুন
Create Event,ইভেন্ট তৈরি করুন
Create Milestone,মাইলস্টোন তৈরি করুন
Create New Milestone,নতুন মাইলস্টোন তৈরি করুন
Create New Task,নতুন টাস্ক তৈরি করুন
Create Project,প্রকল্প তৈরি করুন
Create Task,টাস্ক তৈরি করুন
Create tasks and milestones from a template,একটি টেমপ্লেট থেকে টাস্ক ও মাইলস্টোন তৈরি করুন
Create your first project to get started.,শুরু করতে আপনার প্রথম প্রকল্প তৈরি করুন।
Create your first task to start tracking work on this project.,এই প্রকল্পে কাজ ট্র্যাক করা শুরু করতে আপনার প্রথম টাস্ক তৈরি করুন।
Created,তৈরি হয়েছে
Creating...,তৈরি করা হচ্ছে...
Critical,সংকটপূর্ণ
Critical Path,সংকটপূর্ণ পথ
"Currency used for budgets, costs, and billing rates","বাজেট, খরচ এবং বিলিং হারের জন্য ব্যবহৃত মুদ্রা"
Current,বর্তমান
Current Assignments,বর্তমান অ্যাসাইনমেন্ট
Current scheduled time:,বর্তমান নির্ধারিত সময়:
Currently running version,Currently running version
d lag,দিন বিলম্ব
Daily Availability,দৈনিক প্রাপ্যতা
Daily Hours,দৈনিক ঘণ্টা
Danger Zone,বিপদ অঞ্চল
Dark,গাঢ়
Dashboard,ড্যাশবোর্ড
Date,তারিখ
Date changes on this task will show cascade impact here,এই টাস্কে তারিখ পরিবর্তন এখানে ক্যাসকেড প্রভাব দেখাবে
Date cleared,তারিখ মুছে ফেলা হয়েছে
Date of Joining,যোগদানের তারিখ
Date updated,তারিখ আপডেট হয়েছে
Dates,তারিখসমূহ
Dates cascaded,তারিখ ক্যাসকেড হয়েছে
Dates will be relative to the project's start date.,তারিখগুলি প্রকল্পের শুরুর তারিখের সাপেক্ষে হবে।
Day,দিন
day,দিন
days,দিন
Days before due date to send reminder,রিমাইন্ডার পাঠানোর জন্য শেষ তারিখের কত দিন আগে
Days Overdue,মেয়াদোত্তীর্ণ দিন
Days Remaining,অবশিষ্ট দিন
Deadline,সময়সীমা
Deadlines,সময়সীমাসমূহ
Decision,সিদ্ধান্ত
Decline,প্রত্যাখ্যান করুন
Declined,প্রত্যাখ্যাত
Default Currency,ডিফল্ট মুদ্রা
Default hours per week for contact capacity planning,পরিচিতি ক্ষমতা পরিকল্পনার জন্য সাপ্তাহিক ডিফল্ট ঘণ্টা
Default Priority,ডিফল্ট অগ্রাধিকার
Default Project Status,ডিফল্ট প্রকল্প স্ট্যাটাস
Default Task Status,ডিফল্ট টাস্ক স্ট্যাটাস
Default task view,ডিফল্ট টাস্ক ভিউ
Default Values,ডিফল্ট মান
Default Weekly Capacity,ডিফল্ট সাপ্তাহিক ক্ষমতা
Defaults,ডিফল্ট
Defect Cost Impact,ত্রুটি খরচের প্রভাব
Defect name is required,ত্রুটির নাম প্রয়োজন
Defect Type,ত্রুটির ধরন
Defect {0} not found,ত্রুটি {0} পাওয়া যায়নি
Defects,ত্রুটিসমূহ
Defects & Issues,ত্রুটি ও সমস্যা
Defects Resolved,সমাধানকৃত ত্রুটি
Delayed,বিলম্বিত
Delete,মুছুন
Delete Activity Data,কার্যকলাপ ডেটা মুছুন
Delete all read notifications?,সব পঠিত বিজ্ঞপ্তি মুছবেন?
Delete comment,মন্তব্য মুছুন
Delete Contact,পরিচিতি মুছুন
Delete Event,ইভেন্ট মুছুন
Delete Event?,ইভেন্ট মুছবেন?
Delete failed,মুছতে ব্যর্থ
Delete file,ফাইল মুছুন
Delete item,আইটেম মুছুন
Delete note,নোট মুছুন
Delete Project,প্রকল্প মুছুন
Delete Task,টাস্ক মুছুন
Delete this project,এই প্রকল্প মুছুন
Deleted,মুছে ফেলা হয়েছে
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","প্রকল্প ""{0}"" মুছে ফেলা হয়েছে ({1}টি টাস্ক, {2}টি মাইলস্টোন)"
Deletes notes and preferences. Source document is not affected.,নোট ও পছন্দসমূহ মুছে ফেলে। উৎস ডকুমেন্ট প্রভাবিত হয় না।
Deleting...,মুছে ফেলা হচ্ছে...
Department,বিভাগ
Dependencies,নির্ভরতাসমূহ
dependencies,নির্ভরতা
Dependencies are informational only,নির্ভরতাগুলি শুধুমাত্র তথ্যমূলক
dependency,নির্ভরতা
Dependency already exists,নির্ভরতা ইতিমধ্যে বিদ্যমান
Dependency Chain,নির্ভরতা শৃঙ্খল
Dependency created,নির্ভরতা তৈরি হয়েছে
Dependency mode updated,নির্ভরতা মোড আপডেট হয়েছে
Dependency name is required,নির্ভরতার নাম প্রয়োজন
Dependency task {0} not found,নির্ভরতা টাস্ক {0} পাওয়া যায়নি
Dependency {0} not found,নির্ভরতা {0} পাওয়া যায়নি
depends,নির্ভর করে
Depends on Group,গ্রুপের উপর নির্ভরশীল
Depends on task is required,নির্ভরশীল টাস্ক প্রয়োজন
depends on...,নির্ভর করে...
Descending -- click to reverse,অবরোহক্রম -- উল্টাতে ক্লিক করুন
Describe the defect in detail...,বিস্তারিতভাবে ত্রুটি বর্ণনা করুন...
Description,বিবরণ
Description updated,বিবরণ আপডেট হয়েছে
Designation,পদবি
"Detailed description of the defect, location, and impact","ত্রুটি, অবস্থান এবং প্রভাবের বিস্তারিত বিবরণ"
Details,বিস্তারিত
Discard timer,টাইমার বাতিল করুন
Discussion,আলোচনা
Dismiss,Dismiss
Display,প্রদর্শন
Document,ডকুমেন্ট
Document attached to project,প্রকল্পে ডকুমেন্ট সংযুক্ত
Document final decision and rationale,চূড়ান্ত সিদ্ধান্ত ও যুক্তি নথিভুক্ত করুন
Documentation Review,ডকুমেন্টেশন পর্যালোচনা
Documents,ডকুমেন্টসমূহ
Done,সম্পন্ন
Download,ডাউনলোড
Drag to create dependency,নির্ভরতা তৈরি করতে টানুন
Dry Run,ড্রাই রান
Dry Run Complete,ড্রাই রান সম্পন্ন
Due Date,শেষ তারিখ
Due date,শেষ তারিখ
Due Date (Earliest),শেষ তারিখ (প্রথমতম)
Due date cannot be before start date,শেষ তারিখ শুরুর তারিখের আগে হতে পারে না
Due date is in the past,শেষ তারিখ অতীতে রয়েছে
Due Date Reminders,শেষ তারিখের রিমাইন্ডার
Due Diligence,যথাযথ পরীক্ষা
Due Diligence Checklist,যথাযথ পরীক্ষার চেকলিস্ট
Due This Week,এই সপ্তাহে শেষ হবে
Due:,শেষ তারিখ:
Duplicate events are not allowed,ডুপ্লিকেট ইভেন্ট অনুমোদিত নয়
Duplicate failed,ডুপ্লিকেট ব্যর্থ
Duplicate Task,টাস্ক ডুপ্লিকেট করুন
Duration,সময়কাল
Duration Summary,সময়কাল সারসংক্ষেপ
Duration:,সময়কাল:
e.g. Cracked wall finish in bathroom...,যেমন বাথরুমে দেয়ালের ফিনিশে ফাটল...
"e.g. Electrical, Plumbing...","যেমন ইলেকট্রিক্যাল, প্লাম্বিং..."
Edit,সম্পাদনা
Edit (E),সম্পাদনা (E)
Edit dependency,নির্ভরতা সম্পাদনা করুন
Edit Event,ইভেন্ট সম্পাদনা করুন
Efficiency,দক্ষতা
Either dependency_name or depends_on is required,dependency_name অথবা depends_on যেকোনো একটি প্রয়োজন
Email,ইমেইল
Email invitations to all attendees,সব অংশগ্রহণকারীদের ইমেইল আমন্ত্রণ
Email is required to create portal user,পোর্টাল ব্যবহারকারী তৈরি করতে ইমেইল প্রয়োজন
Email notifications,ইমেইল বিজ্ঞপ্তি
Employee,কর্মচারী
Employee DocType not available,কর্মচারী DocType উপলব্ধ নয়
Employee not found,কর্মচারী পাওয়া যায়নি
Enable or disable optional features,ঐচ্ছিক বৈশিষ্ট্য সক্রিয় বা নিষ্ক্রিয় করুন
