+ Add Milestone,+ Meilenstein hinzufügen
Are you sure you want to delete this comment?,"Sind Sie sicher, dass Sie diesen Kommentar löschen möchten?"
Are you sure you want to delete this project?,"Sind Sie sicher, dass Sie dieses Projekt löschen möchten?"
Are you sure?,Sind Sie sicher?
Ascending -- click to reverse,Aufsteigend – klicken zum Umkehren
Assign To,Zuweisen an
Assign to Me,Mir zuweisen
Assigned Contact,Zugewiesener Kontakt
Assigned To,Zugewiesen an
Assigned to,Zugewiesen an
Assigned to Me,Mir zugewiesen
Assignee,Zugewiesene Person
Assignment,Zuweisung
Assignment History,Zuweisungsverlauf
Assignment name is required,Zuweisungsname ist erforderlich
Assignment {0} not found,Zuweisung {0} nicht gefunden
Assignments,Zuweisungen
At least one action is required,Mindestens eine Aktion ist erforderlich
At least one event is required,Mindestens ein Termin ist erforderlich
At least one event must be selected,Mindestens ein Termin muss ausgewählt werden
Attachment,Anhang
Attachments,Anhänge
Attendees,Teilnehmer
"Audit trail, assignments, version history","Änderungsprotokoll, Zuweisungen, Versionshistorie"
Auto,Automatisch
Auto Calculate Progress,Fortschritt automatisch berechnen
Auto Set Missed Milestones,Verpasste Meilensteine automatisch setzen
Auto-shift dependents when dates change,"Abhängige automatisch verschieben, wenn sich Daten ändern"
Auto-Trail Start,Automatischer Nachlauf-Start
Auto-Trail updated,Automatischer Nachlauf aktualisiert
Automatically calculate project progress from task completion,Projektfortschritt automatisch aus Aufgabenabschluss berechnen
Automatically mark milestones as missed when overdue,"Meilensteine automatisch als verpasst markieren, wenn überfällig"
Automation rule {0} not found,Automatisierungsregel {0} nicht gefunden
Automation: {0},Automatisierung: {0}
Availability,Verfügbarkeit
Available,Verfügbar
Avatar updated successfully,Profilbild erfolgreich aktualisiert
Avg Progress,Durchschn. Fortschritt
Back,Zurück
Back to Portal,Zurück zum Portal
Back to Projects,Zurück zu Projekten
Beginner,Anfänger
Best regards,Mit freundlichen Grüßen
Billable,Abrechenbar
Billable Amount,Abrechenbarer Betrag
Billable Hours,Abrechenbare Stunden
Billable Rate,Abrechnungssatz
Billing Rate,Abrechnungssatz
Blocked,Blockiert
Both dates are needed to display task as a bar in Gantt chart,"Beide Daten werden benötigt, um die Aufgabe als Balken im Gantt-Diagramm anzuzeigen"
Both doctype and docname are required,Sowohl DocType als auch DocName sind erforderlich
Both proposed start and end times are required,Sowohl vorgeschlagene Start- als auch Endzeit sind erforderlich
Both task_name and depends_on are required,Sowohl task_name als auch depends_on sind erforderlich
Breadcrumb,Brotkrümelnavigation
Brief description of the defect or damage,Kurzbeschreibung des Mangels oder Schadens
Brief description of this template,Kurzbeschreibung dieser Vorlage
Brief description of your request,Kurzbeschreibung Ihrer Anfrage
Brief project description,Kurze Projektbeschreibung
Budget,Budget
Budget at risk,Budget gefährdet
Budget Burn Rate,Budget-Verbrauchsrate
Budget Status,Budgetstatus
Budget updated,Budget aktualisiert
Budget:,Budget:
Bug,Fehler
Burn Rate,Verbrauchsrate
Busy,Beschäftigt
By,Von
By Assignee,Nach Zugewiesener Person
By Group,Nach Gruppe
By Milestone,Nach Meilenstein
By Priority,Nach Priorität
By Status,Nach Status
Cancel,Abbrechen
Cancelled,Abgebrochen
cannot be undone,kann nicht rückgängig gemacht werden
Cannot delete client with {0} linked projects. Unlink projects first.,Kunde mit {0} verknüpften Projekten kann nicht gelöscht werden. Projekte zuerst trennen.
Cannot delete project with {0} linked tasks. Delete tasks first.,Projekt mit {0} verknüpften Aufgaben kann nicht gelöscht werden. Aufgaben zuerst löschen.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Ressource mit {0} aktiven Zuweisungen kann nicht gelöscht werden. Zuerst abschließen oder abbrechen.
Cannot delete task with {0} subtasks. Delete subtasks first.,Aufgabe mit {0} Teilaufgaben kann nicht gelöscht werden. Teilaufgaben zuerst löschen.
Capacity,Kapazität
capacity,Kapazität
Capacity & Rates,Kapazität & Sätze
Capture project structure for reuse,Projektstruktur zur Wiederverwendung erfassen
Cascade,Kaskade
Cascade Preview,Kaskaden-Vorschau
Category,Kategorie
Celebrate,Feiern
Change,Ändern
Change History,Änderungsverlauf
Change Priority,Priorität ändern
Change Status,Status ändern
Changes,Änderungen
Changes appear when fields are modified.,Änderungen erscheinen wenn Felder geändert werden.
Check for new versions of Orga,Nach neuen Versionen von Orga suchen
Check for Updates,Nach Updates suchen
Checking...,Prüfe...
Checklist,Checkliste
Checklist item name is required,Checklistenelementname ist erforderlich
Checklist item not found,Checklistenelement nicht gefunden
Checklist item title is required,Checklistenelementtitel ist erforderlich
Checklist item {0} not found,Checklistenelement {0} nicht gefunden
Checklist item {0} not found in task,Checklistenelement {0} in Aufgabe nicht gefunden
Child,Untergeordnet
Choose file to upload,Datei zum Hochladen auswählen
Circular dependency detected: {0},Zirkuläre Abhängigkeit erkannt: {0}
Circular parent-child relationship detected,Zirkuläre Eltern-Kind-Beziehung erkannt
Clear,Zurücksetzen
Clear all read,Alle gelesenen löschen
Clear date,Datum löschen
Click on an activity from the list to view and manage its details.,"Klicken Sie auf eine Aktivität in der Liste, um deren Details anzuzeigen und zu verwalten."
Click the avatar to upload a new photo,"Klicken Sie auf das Profilbild, um ein neues Foto hochzuladen"
Click to add description...,Klicken um Beschreibung hinzuzufügen...
Click to add notes...,Klicken um Notizen hinzuzufügen...
Click to assign contact,Klicken um Kontakt zuzuweisen
Click to change status,Klicken um Status zu ändern
Click to change type,Klicken um Typ zu ändern
Click to edit,Klicken zum Bearbeiten
Click to edit budget,Klicken um Budget zu bearbeiten
Click to edit description,Klicken um Beschreibung zu bearbeiten
Click to edit end date,Klicken um Enddatum zu bearbeiten
Click to edit milestone name,Klicken um Meilensteinname zu bearbeiten
Click to edit rate,Klicken um Satz zu bearbeiten
Click to edit start date,Klicken um Startdatum zu bearbeiten
Click to edit title,Klicken um Titel zu bearbeiten
Click to load,Klicken zum Laden
Click to set group dependency...,Klicken um Gruppenabhängigkeit zu setzen...
Click to set group...,Klicken um Gruppe zu setzen...
Click to view,Klicken zum Anzeigen
Click to view at-risk projects,Klicken um gefährdete Projekte anzuzeigen
Click to view critical projects,Klicken um kritische Projekte anzuzeigen
Click to view healthy projects,Klicken um gesunde Projekte anzuzeigen
Client,Kunde
Client already has a portal user: {0},Kunde hat bereits einen Portal-Benutzer: {0}
Client already has portal access,Kunde hat bereits Portalzugang
Client has no portal user to revoke,Kunde hat keinen Portal-Benutzer zum Widerrufen
Client link removed from project {0},Kundenverknüpfung von Projekt {0} entfernt
Client Portal,Kundenportal
Client {0} deleted successfully,Kunde {0} erfolgreich gelöscht
Close,Schließen
Close (Esc),Schließen (Esc)
Comment,Kommentar
comment,Kommentar
Comment added,Kommentar hinzugefügt
Comment content is required,Kommentarinhalt ist erforderlich
Comment name is required,Kommentarname ist erforderlich
Comment not found,Kommentar nicht gefunden
Comment removed,Kommentar entfernt
Comment {0} not found in task,Kommentar {0} in Aufgabe nicht gefunden
Comments,Kommentare
comments,Kommentare
Community Edition,Community Edition
Company,Unternehmen
Company name...,Firmenname...
Complete,Abschließen
Completed,Abgeschlossen
completed,abgeschlossen
Completed Tasks,Abgeschlossene Aufgaben
Compliance,Konformität
Configure default values for new projects and tasks,Standardwerte für neue Projekte und Aufgaben konfigurieren
Configure email notification settings,E-Mail-Benachrichtigungseinstellungen konfigurieren
Confirm,Bestätigen
Contact deleted,Kontakt gelöscht
Contact Details,Kontaktdetails
Contact Information,Kontaktinformationen
Contact name is required,Kontaktname ist erforderlich
Contact Support,Support kontaktieren
Contact your project manager for more information.,Kontaktieren Sie Ihren Projektmanager für weitere Informationen.
Contact:,Kontakt:
Contacts,Kontakte
Context,Kontext
Contractor,Auftragnehmer
Cost estimate cannot be negative,Kostenschätzung kann nicht negativ sein
Cost Impact,Kostenauswirkung
Cost Summary,Kostenübersicht
Could not apply the template. Please try again.,Vorlage konnte nicht angewendet werden. Bitte versuchen Sie es erneut.
Could not attach file to project,Datei konnte nicht an Projekt angehängt werden
Could not change task priority,Aufgabenpriorität konnte nicht geändert werden
Could not change task status,Aufgabenstatus konnte nicht geändert werden
Could not delete the project. Please try again.,Projekt konnte nicht gelöscht werden. Bitte versuchen Sie es erneut.
Could not delete the task. Please try again.,Aufgabe konnte nicht gelöscht werden. Bitte versuchen Sie es erneut.
Could not delete the template.,Vorlage konnte nicht gelöscht werden.
Could not duplicate the task. Please try again.,Aufgabe konnte nicht dupliziert werden. Bitte versuchen Sie es erneut.
Could not export the template.,Vorlage konnte nicht exportiert werden.
Could not import the template. Please check the file format.,Vorlage konnte nicht importiert werden. Bitte überprüfen Sie das Dateiformat.
Could not link task to milestone,Aufgabe konnte nicht mit Meilenstein verknüpft werden
Could not load document details.,Dokumentdetails konnten nicht geladen werden.
Could not load task details,Aufgabendetails konnten nicht geladen werden
Could not promote checklist item to task.,Checklistenelement konnte nicht zur Aufgabe befördert werden.
Could not remove task from milestone,Aufgabe konnte nicht vom Meilenstein entfernt werden
Could not save budget.,Budget konnte nicht gespeichert werden.
Could not save changes to the milestone,Änderungen am Meilenstein konnten nicht gespeichert werden
Could not save changes to the task,Änderungen an der Aufgabe konnten nicht gespeichert werden
Could not save description.,Beschreibung konnte nicht gespeichert werden.
Could not save end date.,Enddatum konnte nicht gespeichert werden.
Could not save milestone name.,Meilensteinname konnte nicht gespeichert werden.
Could not save start date.,Startdatum konnte nicht gespeichert werden.
Could not save the template. Please try again.,Vorlage konnte nicht gespeichert werden. Bitte versuchen Sie es erneut.
Could not save title.,Titel konnte nicht gespeichert werden.
Could not update dependency mode.,Abhängigkeitsmodus konnte nicht aktualisiert werden.
Could not update milestone date,Meilenstein-Datum konnte nicht aktualisiert werden
Could not update project status.,Projektstatus konnte nicht aktualisiert werden.
Could not update project type.,Projekttyp konnte nicht aktualisiert werden.
Could not update setting.,Einstellung konnte nicht aktualisiert werden.
Could not update task dates,Aufgabendaten konnten nicht aktualisiert werden
Could not update task status,Aufgabenstatus konnte nicht aktualisiert werden
Could not update the template.,Vorlage konnte nicht aktualisiert werden.
Create a copy of this task,Eine Kopie dieser Aufgabe erstellen
Create Contact,Kontakt erstellen
Create Event,Termin erstellen
Create Milestone,Meilenstein erstellen
Create New Milestone,Neuen Meilenstein erstellen
Create New Task,Neue Aufgabe erstellen
Create Project,Projekt erstellen
Create Task,Aufgabe erstellen
Create tasks and milestones from a template,Aufgaben und Meilensteine aus einer Vorlage erstellen
Create your first project to get started.,Erstellen Sie Ihr erstes Projekt um loszulegen.
Create your first task to start tracking work on this project.,Erstellen Sie Ihre erste Aufgabe um die Arbeit an diesem Projekt zu verfolgen.
Created,Erstellt
Creating...,Wird erstellt...
Critical,Kritisch
Critical Path,Kritischer Pfad
"Currency used for budgets, costs, and billing rates","Währung für Budgets, Kosten und Abrechnungssätze"
Current,Aktuell
Current Assignments,Aktuelle Zuweisungen
Current scheduled time:,Aktuell geplante Zeit:
Currently running version,Aktuell installierte Version
d lag,T Verzögerung
Daily Availability,Tägliche Verfügbarkeit
Daily Hours,Tagesstunden
Danger Zone,Gefahrenbereich
Dark,Dunkel
Dashboard,Dashboard
Date,Datum
Date changes on this task will show cascade impact here,Datumsänderungen an dieser Aufgabe zeigen hier die Kaskadenauswirkung
Date cleared,Datum gelöscht
Date of Joining,Eintrittsdatum
Date updated,Datum aktualisiert
Dates,Daten
Dates cascaded,Daten kaskadiert
Dates will be relative to the project's start date.,Daten werden relativ zum Startdatum des Projekts sein.
Day,Tag
day,Tag
days,Tage
Days before due date to send reminder,Tage vor Fälligkeitsdatum für Erinnerung
Days Overdue,Tage überfällig
Days Remaining,Verbleibende Tage
Deadline,Frist
Deadlines,Fristen
Decision,Entscheidung
Decline,Ablehnen
Declined,Abgelehnt
Default Currency,Standardwährung
Default hours per week for contact capacity planning,Standardstunden pro Woche für Kontaktkapazitätsplanung
Default Priority,Standardpriorität
Default Project Status,Standard-Projektstatus
Default Task Status,Standard-Aufgabenstatus
Default task view,Standard-Aufgabenansicht
Default Values,Standardwerte
Default Weekly Capacity,Standard-Wochenkapazität
Defaults,Standardwerte
Defect Cost Impact,Mangel-Kostenauswirkung
Defect name is required,Mangelname ist erforderlich
Defect Type,Mangeltyp
Defect {0} not found,Mangel {0} nicht gefunden
Defects,Mängel
Defects & Issues,Mängel & Probleme
Defects Resolved,Behobene Mängel
Delayed,Verzögert
Delete,Löschen
Delete Activity Data,Aktivitätsdaten löschen
Delete all read notifications?,Alle gelesenen Benachrichtigungen löschen?
Delete comment,Kommentar löschen
Delete Contact,Kontakt löschen
Delete Event,Termin löschen
Delete Event?,Termin löschen?
Delete failed,Löschen fehlgeschlagen
Delete file,Datei löschen
Delete item,Element löschen
Delete note,Notiz löschen
Delete Project,Projekt löschen
Delete Task,Aufgabe löschen
Delete this project,Dieses Projekt löschen
Deleted,Gelöscht
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekt ""{0}"" gelöscht ({1} Aufgaben, {2} Meilensteine)"
Deletes notes and preferences. Source document is not affected.,Löscht Notizen und Einstellungen. Das Quelldokument wird nicht beeinflusst.
Deleting...,Wird gelöscht...
Department,Abteilung
Dependencies,Abhängigkeiten
dependencies,Abhängigkeiten
Dependencies are informational only,Abhängigkeiten sind nur informativ
dependency,Abhängigkeit
Dependency already exists,Abhängigkeit existiert bereits
Dependency Chain,Abhängigkeitskette
Dependency created,Abhängigkeit erstellt
Dependency mode updated,Abhängigkeitsmodus aktualisiert
Dependency name is required,Abhängigkeitsname ist erforderlich
Dependency task {0} not found,Abhängigkeitsaufgabe {0} nicht gefunden
Dependency {0} not found,Abhängigkeit {0} nicht gefunden
depends,hängt ab von
Depends on Group,Abhängig von Gruppe
Depends on task is required,Abhängige Aufgabe ist erforderlich
depends on...,hängt ab von...
Descending -- click to reverse,Absteigend – klicken zum Umkehren
Describe the defect in detail...,Beschreiben Sie den Mangel im Detail...
Description,Beschreibung
Description updated,Beschreibung aktualisiert
Designation,Bezeichnung
"Detailed description of the defect, location, and impact","Detaillierte Beschreibung des Mangels, Standorts und der Auswirkungen"
Details,Details
Discard timer,Timer verwerfen
Discussion,Diskussion
Dismiss,Ausblenden
Display,Anzeige
Document,Dokument
Document attached to project,Dokument an Projekt angehängt
Document final decision and rationale,Endgültige Entscheidung und Begründung dokumentieren
Documentation Review,Dokumentenprüfung
Documents,Dokumente
Done,Fertig
Download,Herunterladen
Drag to create dependency,Ziehen um Abhängigkeit zu erstellen
Dry Run,Probelauf
Dry Run Complete,Probelauf abgeschlossen
Due Date,Fälligkeitsdatum
Due date,Fälligkeitsdatum
Due Date (Earliest),Fälligkeitsdatum (frühestes)
Due date cannot be before start date,Fälligkeitsdatum kann nicht vor dem Startdatum liegen
Due date is in the past,Fälligkeitsdatum liegt in der Vergangenheit
Due Date Reminders,Fälligkeitserinnerungen
Due Diligence,Sorgfaltspflicht
Due Diligence Checklist,Sorgfaltspflicht-Checkliste
Due This Week,Diese Woche fällig
Due:,Fällig:
Duplicate events are not allowed,Doppelte Termine sind nicht erlaubt
Duplicate failed,Duplizieren fehlgeschlagen
Duplicate Task,Aufgabe duplizieren
Duration,Dauer
Duration Summary,Dauerübersicht
Duration:,Dauer:
e.g. Cracked wall finish in bathroom...,z. B. Rissiger Wandputz im Badezimmer...
"e.g. Electrical, Plumbing...","z. B. Elektrik, Sanitär..."
Edit,Bearbeiten
Edit (E),Bearbeiten (E)
Edit dependency,Abhängigkeit bearbeiten
Edit Event,Termin bearbeiten
Efficiency,Effizienz
Either dependency_name or depends_on is required,Entweder dependency_name oder depends_on ist erforderlich
Email,E-Mail
Email invitations to all attendees,E-Mail-Einladungen an alle Teilnehmer
Email is required to create portal user,E-Mail ist erforderlich um einen Portal-Benutzer zu erstellen
Email notifications,E-Mail-Benachrichtigungen
Employee,Mitarbeiter
Employee DocType not available,Mitarbeiter-DocType nicht verfügbar
Employee not found,Mitarbeiter nicht gefunden
Enable or disable optional features,Optionale Funktionen aktivieren oder deaktivieren
Enable Time Tracking,Zeiterfassung aktivieren
End,Ende
End Date,Enddatum
End date,Enddatum
End Date cannot be before Start Date,Enddatum kann nicht vor dem Startdatum liegen
End date cannot be before start date,Enddatum kann nicht vor dem Startdatum liegen
End date updated,Enddatum aktualisiert
End time was before start time. Adjusted to 1 hour after start.,Endzeit lag vor der Startzeit. Auf 1 Stunde nach Beginn angepasst.
End:,Ende:
Enter milestone name...,Meilensteinname eingeben...
Enter project name,Projektname eingeben
Enter task title...,Aufgabentitel eingeben...
Enter template name,Vorlagenname eingeben
Enter your note... Use @name to mention someone,Notiz eingeben... @Name verwenden um jemanden zu erwähnen
Error,Fehler
Error loading activity,Fehler beim Laden der Aktivität
Error loading contacts,Fehler beim Laden der Kontakte
Error loading dashboard,Fehler beim Laden des Dashboards
Error loading project,Fehler beim Laden des Projekts
Error loading projects,Fehler beim Laden der Projekte
Error loading settings,Fehler beim Laden der Einstellungen
Error loading tasks,Fehler beim Laden der Aufgaben
Error loading templates,Fehler beim Laden der Vorlagen
Est. Hours,Gesch. Stunden
Estimated,Geschätzt
Estimated Cost,Geschätzte Kosten
Estimated Cost (€),Geschätzte Kosten (€)
Estimated Hours,Geschätzte Stunden
Estimated:,Geschätzt:
Evaluate potential risks and concerns,Potenzielle Risiken und Bedenken bewerten
Event,Termin
Event is required for event context,Termin ist für Terminkontexte erforderlich
Event is required when tracking context is 'event',"Termin ist erforderlich, wenn der Erfassungskontext 'Termin' ist"
Event Type,Termintyp
Events,Termine
Events not available. Please run: bench --site orga.localhost migrate,Termine nicht verfügbar. Bitte ausführen: bench --site orga.localhost migrate
Events:,Termine:
Expert,Experte
Explain why you are proposing a different time...,Erklären Sie warum Sie eine andere Zeit vorschlagen...
Export,Exportieren
Export failed,Export fehlgeschlagen
Export JSON,JSON exportieren
Exported,Exportiert
Exported to timesheet {0},In Zeiterfassung {0} exportiert
External,Extern
Failed to add item,Element konnte nicht hinzugefügt werden
Failed to add note,Notiz konnte nicht hinzugefügt werden
Failed to add skill,Fähigkeit konnte nicht hinzugefügt werden
Failed to apply cascade changes: {0},Kaskadenänderungen konnten nicht angewendet werden: {0}
Failed to create defect,Mangel konnte nicht erstellt werden
Failed to create dependency,Abhängigkeit konnte nicht erstellt werden
Failed to create event,Termin konnte nicht erstellt werden
Failed to create milestone,Meilenstein konnte nicht erstellt werden
Failed to create project,Projekt konnte nicht erstellt werden
Failed to create task,Aufgabe konnte nicht erstellt werden
Failed to create time log,Zeiteintrag konnte nicht erstellt werden
Failed to delete,Löschen fehlgeschlagen
Failed to delete comment,Kommentar konnte nicht gelöscht werden
Failed to delete contact,Kontakt konnte nicht gelöscht werden
Failed to load,Laden fehlgeschlagen
Failed to load activity,Aktivität konnte nicht geladen werden
Failed to load assignments,Zuweisungen konnten nicht geladen werden
Failed to load contact,Kontakt konnte nicht geladen werden
Failed to load dashboard data,Dashboard-Daten konnten nicht geladen werden
Failed to load defects,Mängel konnten nicht geladen werden
Failed to load events,Termine konnten nicht geladen werden
Failed to load project,Projekt konnte nicht geladen werden
Failed to load projects,Projekte konnten nicht geladen werden
Failed to load report data,Berichtsdaten konnten nicht geladen werden
Failed to load settings,Einstellungen konnten nicht geladen werden
Failed to load tasks,Aufgaben konnten nicht geladen werden
Failed to move task,Aufgabe konnte nicht verschoben werden
Failed to post comment,Kommentar konnte nicht gesendet werden
Failed to propose new time,Neue Zeit konnte nicht vorgeschlagen werden
Failed to remove item,Element konnte nicht entfernt werden
Failed to remove skill,Fähigkeit konnte nicht entfernt werden
Failed to reorder milestones: {0},Meilensteine konnten nicht neu sortiert werden: {0}
Failed to reorder tasks: {0},Aufgaben konnten nicht neu sortiert werden: {0}
Failed to reschedule dependent tasks: {0},Abhängige Aufgaben konnten nicht neu terminiert werden: {0}
Failed to save,Speichern fehlgeschlagen
Failed to save preferences,Einstellungen konnten nicht gespeichert werden
Failed to save settings,Einstellungen konnten nicht gespeichert werden
Failed to submit request. Please try again.,Anfrage konnte nicht gesendet werden. Bitte versuchen Sie es erneut.
Failed to update item,Element konnte nicht aktualisiert werden
Failed to update priority,Priorität konnte nicht aktualisiert werden
Failed to update task,Aufgabe konnte nicht aktualisiert werden
Failed to update tasks: {0},Aufgaben konnten nicht aktualisiert werden: {0}
Failed to upload avatar,Profilbild konnte nicht hochgeladen werden
Feature,Funktion
Features,Funktionen
FF (Finish-Finish),EE (Ende-Ende)
FF - Finish-to-Finish,EE – Ende-Ende
Field has been updated,Feld wurde aktualisiert
Field name is required for 'Set Field Value' action,Feldname ist für die Aktion 'Feldwert setzen' erforderlich
Field {0} is not a Link field,Feld {0} ist kein Verknüpfungsfeld
Field {0} not found in {1},Feld {0} nicht gefunden in {1}
File,Datei
file,Datei
File does not belong to this task,Datei gehört nicht zu dieser Aufgabe
File name is required,Dateiname ist erforderlich
File uploaded,Datei hochgeladen
File {0} not found,Datei {0} nicht gefunden
Files,Dateien
files,Dateien
Filter,Filter
Final Decision,Endgültige Entscheidung
Finance,Finanzen
Financial,Finanziell
Finish-to-Finish,Ende-Ende
Finish-to-Start,Ende-Anfang
Flag,Markieren
Flag for attention,Zur Beachtung markieren
Flagged,Markiert
Focus Panel,Fokus-Panel
Follows your system preference. Currently:,Folgt Ihrer Systemeinstellung. Aktuell:
Frappe Project {0} not found,Frappe-Projekt {0} nicht gefunden
Frappe Projects Migration,Frappe Projects Migration
Frappe Projects module not available,Frappe Projects-Modul nicht verfügbar
Frappe Projects module not installed,Frappe Projects-Modul nicht installiert
Frappe Projects sync is not enabled,Frappe Projects-Synchronisation ist nicht aktiviert
Frappe Task DocType not found,Frappe Task-DocType nicht gefunden
Frappe Task has no project,Frappe-Aufgabe hat kein Projekt
Frappe Task {0} not found,Frappe-Aufgabe {0} nicht gefunden
Fri,Fr
From,Von
From Template,Aus Vorlage
FS (Finish-Start),EA (Ende-Anfang)
FS - Finish-to-Start (default),EA – Ende-Anfang (Standard)
Full form view with audit trail,Vollständige Formularansicht mit Prüfprotokoll
Full name,Vollständiger Name
Gantt,Gantt
Gantt Chart,Gantt-Diagramm
Gantt View,Gantt-Ansicht
General Note,Allgemeine Notiz
Get started,Erste Schritte
Go back,Zurück
Go Back,Zurück
Group by,Gruppieren nach
Group dependency removed,Gruppenabhängigkeit entfernt
