+ Add Milestone,+ Lagg till milstolpe
Assignment {0} not found,Tilldelning {0} hittades inte
Assignments,Tilldelningar
At least one action is required,Minst en atgard kravs
At least one event is required,Minst ett evenemang kravs
At least one event must be selected,Minst ett evenemang maste valjas
Attachment,Bilaga
Attachments,Bilagor
Attendees,Deltagare
"Audit trail, assignments, version history","Andringslogg, tilldelningar, versionshistorik"
Auto,Automatisk
Auto Calculate Progress,Berakna framsteg automatiskt
Auto Set Missed Milestones,Markera missade milstolpar automatiskt
Auto-shift dependents when dates change,Flytta beroende automatiskt vid datumandring
Auto-Trail Start,Automatisk glidande start
Auto-Trail updated,Automatisk glidande start uppdaterad
Automatically calculate project progress from task completion,Berakna projektframsteg automatiskt fran uppgifters slutforande
Automatically mark milestones as missed when overdue,Markera milstolpar automatiskt som missade vid forsening
Automation rule {0} not found,Automatiseringsregel {0} hittades inte
Automation: {0},Automatisering: {0}
Availability,Tillganglighet
Available,Tillganglig
Avatar updated successfully,Profilbild uppdaterad
Avg Progress,Genomsnittligt framsteg
Back,Tillbaka
Back to Portal,Tillbaka till portalen
Back to Projects,Tillbaka till projekt
Beginner,Nybborjare
Best regards,Med vanliga halsningar
Billable,Fakturerbar
Billable Amount,Fakturerbart belopp
Billable Hours,Fakturerbara timmar
Billable Rate,Fakturerbar taxa
Billing Rate,Faktureringstakt
Blocked,Blockerad
Both dates are needed to display task as a bar in Gantt chart,Bada datum behovs for att visa uppgiften som en stapel i Gantt-schemat
Both doctype and docname are required,Bade doctype och docname kravs
Both proposed start and end times are required,Bade foreslagen start- och sluttid kravs
Both task_name and depends_on are required,Bade task_name och depends_on kravs
Breadcrumb,Sokvag
Brief description of the defect or damage,Kort beskrivning av defekten eller skadan
Brief description of this template,Kort beskrivning av denna mall
Brief description of your request,Kort beskrivning av din forfragan
Brief project description,Kort projektbeskrivning
Budget,Budget
Budget at risk,Budget i riskzonen
Budget Burn Rate,Budgetforbrukningstakt
Budget Status,Budgetstatus
Budget updated,Budget uppdaterad
Budget:,Budget:
Bug,Bugg
Burn Rate,Forbrukningstakt
Busy,Upptagen
By,Av
By Assignee,Per tilldelad
By Group,Per grupp
By Milestone,Per milstolpe
By Priority,Per prioritet
By Status,Per status
Cancel,Avbryt
Cancelled,Avbruten
cannot be undone,kan inte angras
Cannot delete client with {0} linked projects. Unlink projects first.,Kan inte radera klient med {0} lankade projekt. Ta bort lankar forst.
Cannot delete project with {0} linked tasks. Delete tasks first.,Kan inte radera projekt med {0} lankade uppgifter. Radera uppgifter forst.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Kan inte radera resurs med {0} aktiva tilldelningar. Slutfor eller avbryt dem forst.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kan inte radera uppgift med {0} deluppgifter. Radera deluppgifter forst.
Capacity,Kapacitet
capacity,kapacitet
Capacity & Rates,Kapacitet och taxor
Capture project structure for reuse,Spara projektstruktur for ateranvandning
Cascade,Kaskad
Cascade Preview,Kaskadforhandsgranskning
Category,Kategori
Celebrate,Fira
Change,Andra
Change History,Andringshistorik
Change Priority,Andra prioritet
Change Status,Andra status
Changes,Andringar
Changes appear when fields are modified.,Andringar visas nar falt andras.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Checklista
Checklist item name is required,Namn pa checklistepunkten kravs
Checklist item not found,Checklistepunkten hittades inte
Checklist item title is required,Titel pa checklistepunkten kravs
Checklist item {0} not found,Checklistepunkt {0} hittades inte
Checklist item {0} not found in task,Checklistepunkt {0} hittades inte i uppgiften
Child,Underordnad
Choose file to upload,Valj fil att ladda upp
Circular dependency detected: {0},Cirkulart beroende upptackt: {0}
Circular parent-child relationship detected,Cirkulart foralder-barn-forhallande upptackt
Clear,Rensa
Clear all read,Rensa alla lasta
Clear date,Rensa datum
Click on an activity from the list to view and manage its details.,Klicka pa en aktivitet i listan for att visa och hantera dess detaljer.
Click the avatar to upload a new photo,Klicka pa profilbilden for att ladda upp ett nytt foto
Click to add description...,Klicka for att lagga till beskrivning...
Click to add notes...,Klicka for att lagga till anteckningar...
Click to assign contact,Klicka for att tilldela kontakt
Click to change status,Klicka for att andra status
Click to change type,Klicka for att andra typ
Click to edit,Klicka for att redigera
Click to edit budget,Klicka for att redigera budget
Click to edit description,Klicka for att redigera beskrivning
Click to edit end date,Klicka for att redigera slutdatum
Click to edit milestone name,Klicka for att redigera milstolpenamn
Click to edit rate,Klicka for att redigera taxa
Click to edit start date,Klicka for att redigera startdatum
Click to edit title,Klicka for att redigera titel
Click to load,Klicka for att ladda
Click to set group dependency...,Klicka for att ange gruppberoende...
Click to set group...,Klicka for att ange grupp...
Click to view,Klicka for att visa
Click to view at-risk projects,Klicka for att visa projekt i riskzonen
Click to view critical projects,Klicka for att visa kritiska projekt
Click to view healthy projects,Klicka for att visa friska projekt
Client,Klient
Client already has a portal user: {0},Klienten har redan en portalanvandare: {0}
Client already has portal access,Klienten har redan portalatkomst
Client has no portal user to revoke,Klienten har ingen portalanvandare att aterka
Client link removed from project {0},Klientlank borttagen fran projekt {0}
Client Portal,Klientportal
Client {0} deleted successfully,Klient {0} raderades
Close,Stang
Close (Esc),Stang (Esc)
Comment,Kommentar
comment,kommentar
Comment added,Kommentar tillagd
Comment content is required,Kommentarinnehall kravs
Comment name is required,Kommentarnamn kravs
Comment not found,Kommentar hittades inte
Comment removed,Kommentar borttagen
Comment {0} not found in task,Kommentar {0} hittades inte i uppgiften
Comments,Kommentarer
comments,kommentarer
Community Edition,Community Edition
Company,Foretag
Company name...,Foretagsnamn...
Complete,Slutfor
Completed,Slutford
completed,slutford
Completed Tasks,Slutforda uppgifter
Compliance,Efterlevnad
Configure default values for new projects and tasks,Konfigurera standardvarden for nya projekt och uppgifter
Configure email notification settings,Konfigurera installningar for e-postnotifieringar
Confirm,Bekrafta
Contact deleted,Kontakt raderad
Contact Details,Kontaktuppgifter
Contact Information,Kontaktinformation
Contact name is required,Kontaktnamn kravs
Contact Support,Kontakta support
Contact your project manager for more information.,Kontakta din projektledare for mer information.
Contact:,Kontakt:
Contacts,Kontakter
Context,Sammanhang
Contractor,Entreprenor
Cost estimate cannot be negative,Kostnadsuppskattning kan inte vara negativ
Cost Impact,Kostnadspåverkan
Cost Summary,Kostnadssammanstallning
Could not apply the template. Please try again.,Kunde inte tillampa mallen. Forsok igen.
Could not attach file to project,Kunde inte bifoga fil till projekt
Could not change task priority,Kunde inte andra uppgiftsprioritet
Could not change task status,Kunde inte andra uppgiftsstatus
Could not delete the project. Please try again.,Kunde inte radera projektet. Forsok igen.
Could not delete the task. Please try again.,Kunde inte radera uppgiften. Forsok igen.
Could not delete the template.,Kunde inte radera mallen.
Could not duplicate the task. Please try again.,Kunde inte kopiera uppgiften. Forsok igen.
Could not export the template.,Kunde inte exportera mallen.
Could not import the template. Please check the file format.,Kunde inte importera mallen. Kontrollera filformatet.
Could not link task to milestone,Kunde inte lanka uppgiften till milstolpe
Could not load document details.,Kunde inte ladda dokumentdetaljer.
Could not load task details,Kunde inte ladda uppgiftsdetaljer
Could not promote checklist item to task.,Kunde inte befordra checklistepunkt till uppgift.
Could not remove task from milestone,Kunde inte ta bort uppgiften fran milstolpe
Could not save budget.,Kunde inte spara budget.
Could not save changes to the milestone,Kunde inte spara andringar i milstolpen
Could not save changes to the task,Kunde inte spara andringar i uppgiften
Could not save description.,Kunde inte spara beskrivning.
Could not save end date.,Kunde inte spara slutdatum.
Could not save milestone name.,Kunde inte spara milstolpenamn.
Could not save start date.,Kunde inte spara startdatum.
Could not save the template. Please try again.,Kunde inte spara mallen. Forsok igen.
Could not save title.,Kunde inte spara titel.
Could not update dependency mode.,Kunde inte uppdatera beroendelagt.
Could not update milestone date,Kunde inte uppdatera milstolpedatum
Could not update project status.,Kunde inte uppdatera projektstatus.
Could not update project type.,Kunde inte uppdatera projekttyp.
Could not update setting.,Kunde inte uppdatera installning.
Could not update task dates,Kunde inte uppdatera uppgiftsdatum
Could not update task status,Kunde inte uppdatera uppgiftsstatus
Could not update the template.,Kunde inte uppdatera mallen.
Create a copy of this task,Skapa en kopia av denna uppgift
Create Contact,Skapa kontakt
Create Event,Skapa evenemang
Create Milestone,Skapa milstolpe
Create New Milestone,Skapa ny milstolpe
Create New Task,Skapa ny uppgift
Create Project,Skapa projekt
Create Task,Skapa uppgift
Create tasks and milestones from a template,Skapa uppgifter och milstolpar fran en mall
Create your first project to get started.,Skapa ditt forsta projekt for att komma igang.
Create your first task to start tracking work on this project.,Skapa din forsta uppgift for att borja folja arbetet i detta projekt.
Created,Skapad
Creating...,Skapar...
Critical,Kritisk
Critical Path,Kritisk vag
"Currency used for budgets, costs, and billing rates","Valuta for budgetar, kostnader och faktureringstaxor"
Current,Aktuell
Current Assignments,Aktuella tilldelningar
Current scheduled time:,Aktuell schemalagd tid:
Currently running version,Currently running version
d lag,d fordrojning
Daily Availability,Daglig tillganglighet
Daily Hours,Dagliga timmar
Danger Zone,Farozon
Dark,Mork
Dashboard,Instrumentpanel
Date,Datum
Date changes on this task will show cascade impact here,Datumandring pa denna uppgift visar kaskadeffekt har
Date cleared,Datum rensat
Date of Joining,Anslutningsdatum
Date updated,Datum uppdaterat
Dates,Datum
Dates cascaded,Datum kaskaderade
Dates will be relative to the project's start date.,Datum blir relativa till projektets startdatum.
Day,Dag
day,dag
days,dagar
Days before due date to send reminder,Dagar fore forfallodag att skicka paminnelse
Days Overdue,Dagar forsenad
Days Remaining,Dagar kvar
Deadline,Tidsfrist
Deadlines,Tidsfrister
Decision,Beslut
Decline,Avboj
Declined,Avbojd
Default Currency,Standardvaluta
Default hours per week for contact capacity planning,Standardtimmar per vecka for kontaktkapacitetsplanering
Default Priority,Standardprioritet
Default Project Status,Standardprojektstatus
Default Task Status,Standarduppgiftsstatus
Default task view,Standardvy for uppgifter
Default Values,Standardvarden
Default Weekly Capacity,Standard veckokapacitet
Defaults,Standardvarden
Defect Cost Impact,Defektens kostnadspåverkan
Defect name is required,Defektnamn kravs
Defect Type,Defekttyp
Defect {0} not found,Defekt {0} hittades inte
Defects,Defekter
Defects & Issues,Defekter och problem
Defects Resolved,Defekter atairdade
Delayed,Forsenad
Delete,Radera
Delete Activity Data,Radera aktivitetsdata
Delete all read notifications?,Radera alla lasta notifieringar?
Delete comment,Radera kommentar
Delete Contact,Radera kontakt
Delete Event,Radera evenemang
Delete Event?,Radera evenemang?
Delete failed,Radering misslyckades
Delete file,Radera fil
Delete item,Radera element
Delete note,Radera anteckning
Delete Project,Radera projekt
Delete Task,Radera uppgift
Delete this project,Radera detta projekt
Deleted,Raderad
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekt ""{0}"" raderat ({1} uppgifter, {2} milstolpar)"
Deletes notes and preferences. Source document is not affected.,Raderar anteckningar och installningar. Kalldokumentet paverkas inte.
Deleting...,Raderar...
Department,Avdelning
Dependencies,Beroenden
dependencies,beroenden
Dependencies are informational only,Beroenden ar enbart informativa
dependency,beroende
Dependency already exists,Beroende finns redan
Dependency Chain,Beroendekedja
Dependency created,Beroende skapat
Dependency mode updated,Beroendelage uppdaterat
Dependency name is required,Beroendenamn kravs
Dependency task {0} not found,Beroendeuppgift {0} hittades inte
Dependency {0} not found,Beroende {0} hittades inte
depends,beror pa
Depends on Group,Beror pa grupp
Depends on task is required,Beroendeuppgift kravs
depends on...,beror pa...
Descending -- click to reverse,Fallande -- klicka for att kasta om
Describe the defect in detail...,Beskriv defekten i detalj...
Description,Beskrivning
Description updated,Beskrivning uppdaterad
Designation,Befattning
"Detailed description of the defect, location, and impact","Detaljerad beskrivning av defekten, plats och påverkan"
Details,Detaljer
Discard timer,Kasta kronometer
Discussion,Diskussion
Dismiss,Dismiss
Display,Visning
Document,Dokument
Document attached to project,Dokument bifogat till projekt
Document final decision and rationale,Dokumentera slutgiltigt beslut och motivering
Documentation Review,Dokumentationsgranskning
Documents,Dokument
Done,Klar
Download,Ladda ner
Drag to create dependency,Dra for att skapa beroende
Dry Run,Testkoring
Dry Run Complete,Testkoring slutford
Due Date,Forfallodag
Due date,Forfallodag
Due Date (Earliest),Forfallodag (tidigast)
Due date cannot be before start date,Forfallodag kan inte vara fore startdatum
Due date is in the past,Forfallodagen har passerat
Due Date Reminders,Paminnelser om forfallodag
Due Diligence,Forhandsgranskning
Due Diligence Checklist,Checklista for forhandsgranskning
Due This Week,Forfaller denna vecka
Due:,Forfaller:
Duplicate events are not allowed,Dubbletter av evenemang ar inte tillatna
Duplicate failed,Kopiering misslyckades
Duplicate Task,Kopiera uppgift
Duration,Varaktighet
Duration Summary,Varaktighetssammanstallning
Duration:,Varaktighet:
e.g. Cracked wall finish in bathroom...,t.ex. Spricka i vaggyta i badrum...
"e.g. Electrical, Plumbing...","t.ex. El, VVS..."
Edit,Redigera
Edit (E),Redigera (E)
Edit dependency,Redigera beroende
Edit Event,Redigera evenemang
Efficiency,Effektivitet
Either dependency_name or depends_on is required,Antingen dependency_name eller depends_on kravs
Email,E-post
Email invitations to all attendees,E-postinbjudningar till alla deltagare
Email is required to create portal user,E-post kravs for att skapa portalanvandare
Email notifications,E-postnotifieringar
Employee,Anstalld
Employee DocType not available,Anstalld DocType inte tillganglig
Employee not found,Anstalld hittades inte
Enable or disable optional features,Aktivera eller inaktivera valfria funktioner
Enable Time Tracking,Aktivera tidsregistrering
End,Slut
End Date,Slutdatum
End date,Slutdatum
End Date cannot be before Start Date,Slutdatum kan inte vara fore startdatum
End date cannot be before start date,Slutdatum kan inte vara fore startdatum
End date updated,Slutdatum uppdaterat
End time was before start time. Adjusted to 1 hour after start.,Sluttiden var fore starttiden. Justerad till 1 timme efter start.
End:,Slut:
Enter milestone name...,Ange milstolpenamn...
Enter project name,Ange projektnamn
Enter task title...,Ange uppgiftstitel...
Enter template name,Ange mallnamn
Enter your note... Use @name to mention someone,Skriv din anteckning... Anvand @namn for att namna nagon
Error,Fel
Error loading activity,Fel vid laddning av aktivitet
Error loading contacts,Fel vid laddning av kontakter
Error loading dashboard,Fel vid laddning av instrumentpanelen
Error loading project,Fel vid laddning av projekt
Error loading projects,Fel vid laddning av projekt
Error loading settings,Fel vid laddning av installningar
Error loading tasks,Fel vid laddning av uppgifter
Error loading templates,Fel vid laddning av mallar
Est. Hours,Ber. timmar
Estimated,Beraknad
Estimated Cost,Beraknad kostnad
Estimated Cost (€),Beraknad kostnad (€)
Estimated Hours,Beraknade timmar
Estimated:,Beraknat:
Evaluate potential risks and concerns,Utvardera potentiella risker och problem
Event,Evenemang
Event is required for event context,Evenemang kravs for evenemangssammanhang
Event is required when tracking context is 'event',"Evenemang kravs nar uppfoljningssammanhanget ar ""evenemang"""
Event Type,Evenemangstyp
Events,Evenemang
Events not available. Please run: bench --site orga.localhost migrate,Evenemang inte tillgangliga. Kor: bench --site orga.localhost migrate
Events:,Evenemang:
Expert,Expert
Explain why you are proposing a different time...,Forklara varfor du foreslar en annan tid...
Export,Exportera
Export failed,Export misslyckades
Export JSON,Exportera JSON
Exported,Exporterad
Exported to timesheet {0},Exporterad till tidrapport {0}
External,Extern
Failed to add item,Misslyckades med att lagga till element
Failed to add note,Misslyckades med att lagga till anteckning
Failed to add skill,Misslyckades med att lagga till kompetens
Failed to apply cascade changes: {0},Misslyckades med att tillampa kaskadandringar: {0}
Failed to create defect,Misslyckades med att skapa defekt
Failed to create dependency,Misslyckades med att skapa beroende
Failed to create event,Misslyckades med att skapa evenemang
Failed to create milestone,Misslyckades med att skapa milstolpe
Failed to create project,Misslyckades med att skapa projekt
Failed to create task,Misslyckades med att skapa uppgift
Failed to create time log,Misslyckades med att skapa tidspost
Failed to delete,Misslyckades med att radera
Failed to delete comment,Misslyckades med att radera kommentar
Failed to delete contact,Misslyckades med att radera kontakt
Failed to load,Misslyckades med att ladda
Failed to load activity,Misslyckades med att ladda aktivitet
Failed to load assignments,Misslyckades med att ladda tilldelningar
Failed to load contact,Misslyckades med att ladda kontakt
Failed to load dashboard data,Misslyckades med att ladda instrumentpaneldata
Failed to load defects,Misslyckades med att ladda defekter
Failed to load events,Misslyckades med att ladda evenemang
Failed to load project,Misslyckades med att ladda projekt
Failed to load projects,Misslyckades med att ladda projekt
Failed to load report data,Misslyckades med att ladda rapportdata
Failed to load settings,Misslyckades med att ladda installningar
Failed to load tasks,Misslyckades med att ladda uppgifter
Failed to move task,Misslyckades med att flytta uppgift
Failed to post comment,Misslyckades med att publicera kommentar
Failed to propose new time,Misslyckades med att foreslå ny tid
Failed to remove item,Misslyckades med att ta bort element
Failed to remove skill,Misslyckades med att ta bort kompetens
Failed to reorder milestones: {0},Misslyckades med att ordna om milstolpar: {0}
Failed to reorder tasks: {0},Misslyckades med att ordna om uppgifter: {0}
Failed to reschedule dependent tasks: {0},Misslyckades med att omplanera beroende uppgifter: {0}
Failed to save,Misslyckades med att spara
Failed to save preferences,Misslyckades med att spara installningar
Failed to save settings,Misslyckades med att spara installningar
Failed to submit request. Please try again.,Misslyckades med att skicka forfragan. Forsok igen.
Failed to update item,Misslyckades med att uppdatera element
Failed to update priority,Misslyckades med att uppdatera prioritet
Failed to update task,Misslyckades med att uppdatera uppgift
Failed to update tasks: {0},Misslyckades med att uppdatera uppgifter: {0}
Failed to upload avatar,Misslyckades med att ladda upp profilbild
Feature,Funktion
Features,Funktioner
FF (Finish-Finish),FF (Slut-Slut)
FF - Finish-to-Finish,FF - Slut-till-Slut
Field has been updated,Faltet har uppdaterats
Field name is required for 'Set Field Value' action,"Faltnamn kravs for atgarден ""Ange faltvarde"""
Field {0} is not a Link field,Falt {0} ar inte ett lankfalt
Field {0} not found in {1},Falt {0} hittades inte i {1}
File,Fil
file,fil
File does not belong to this task,Filen tillhor inte denna uppgift
File name is required,Filnamn kravs
File uploaded,Fil uppladdad
File {0} not found,Fil {0} hittades inte
Files,Filer
files,filer
Filter,Filter
Final Decision,Slutgiltigt beslut
Finance,Ekonomi
Financial,Ekonomisk
Finish-to-Finish,Slut-till-Slut
Finish-to-Start,Slut-till-Start
Flag,Flagga
Flag for attention,Flagga for uppmarksamhet
Flagged,Flaggad
Focus Panel,Fokuspanel
Follows your system preference. Currently:,Foljer din systeminställning. Just nu:
Frappe Project {0} not found,Frappe-projekt {0} hittades inte
Frappe Projects Migration,Frappe Projects-migrering
Frappe Projects module not available,Frappe Projects-modulen ar inte tillganglig
Frappe Projects module not installed,Frappe Projects-modulen ar inte installerad
Frappe Projects sync is not enabled,Frappe Projects-synkronisering ar inte aktiverad
Frappe Task DocType not found,Frappe Task DocType hittades inte
Frappe Task has no project,Frappe-uppgiften har inget projekt
Frappe Task {0} not found,Frappe-uppgift {0} hittades inte
Fri,Fre
From,Fran
From Template,Fran mall
FS (Finish-Start),FS (Slut-Start)
FS - Finish-to-Start (default),FS - Slut-till-Start (standard)
Full form view with audit trail,Fullstandig formularvy med andringslogg
Full name,Fullstandigt namn
Gantt,Gantt
Gantt Chart,Gantt-schema
Gantt View,Gantt-vy
General Note,Allman anteckning
Get started,Kom igang
Go back,Ga tillbaka
Go Back,Go Back
Group by,Gruppera efter
Group dependency removed,Gruppberoende borttaget
Group dependency set,Gruppberoende angivet
Group removed,Grupp borttagen
Group updated,Grupp uppdaterad
Hammock task dates are auto-calculated and cannot be changed manually,Hangmatteuppgiftsdatum beraknas automatiskt och kan inte andras manuellt
Have a question or need assistance? Fill out the form below and our team will get back to you.,Har du en fraga eller behover hjalp? Fyll i formularet nedan sa aterкommer vi.
Health,Halsa
Healthy,Frisk
Hello {0},Hej {0}
Here's what's happening with your projects today.,Har ar vad som hander med dina projekt idag.
Hide,Dolj
High,Hog
History,Historik
Home,Hem
Hourly Cost,Timkostnad
Hours,Timmar
hours,timmar
Hours Logged,Registrerade timmar
ID,ID
Image must be smaller than 5 MB,Bilden maste vara mindre an 5 MB
Import,Importera
Import existing projects and tasks from Frappe Projects module,Importera befintliga projekt och uppgifter fran Frappe Projects-modulen
Import failed,Import misslyckades
Import Template,Importera mall
Imported,Importerad
in,i
In Progress,Pagar
In Review,Under granskning
In-app notifications,Notifieringar i appen
Inactive,Inaktiv
Initial Review,Inledande granskning
Installed Version,Installed Version
Insufficient permissions to view all tasks,Otillrackliga behorigheter for att visa alla uppgifter
Intermediate,Mellanniva
Internal,Intern
Invalid DocType,Ogiltigt DocType
Invalid DocType for import,Ogiltigt DocType for import
Invalid item type: {0},Ogiltig elementtyp: {0}
Invalid JSON data,Ogiltiga JSON-data
Invalid note type. Must be one of: {0},Ogiltig anteckningstyp. Maste vara en av: {0}
Invalid project reference,Ogiltig projektreferens
Invalid reaction type. Must be one of: {0},Ogiltig reaktionstyp. Maste vara en av: {0}
Invalid RSVP status,Ogiltig RSVP-status
Invalid status. Must be one of: {0},Ogiltig status. Maste vara en av: {0}
Invalid status: {0},Ogiltig status: {0}
Invalid status: {0}. Must be one of: {1},Ogiltig status: {0}. Maste vara en av: {1}
Invalid tracking context: {0},Ogiltigt uppfoljningssammanhang: {0}
Invalid visibility. Must be one of: {0},Ogiltig synlighet. Maste vara en av: {0}
Invitation: {0} - {1} at {2},Inbjudan: {0} - {1} kl. {2}
Invite People,Bjud in personer
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element tillagt
Item ID is required,Element-ID kravs
Item removed,Element borttaget
Item type is required,Elementtyp kravs
Item {0} not found,Element {0} hittades inte
Job title or role,Jobbtitel eller roll
Join Meeting,Ga med i mote
Just now,Just nu
just now,just nu
Kanban,Kanban
Kanban Board,Kanban-tavla
Kanban View,Kanban-vy
Keyboard Shortcuts,Tangentbordsgenvagar
Keyboard shortcuts (?),Tangentbordsgenvagar (?)
Last checked: {0},Last checked: {0}
Last Updated,Senast uppdaterad
Last updated:,Senast uppdaterad:
Last Week,Forra veckan
Latest Version,Latest Version
Light,Ljus
Link failed,Lankning misslyckades
Link Task,Lanka uppgift
Linked,Lankad
Linked employee not found,Lankad anstalld hittades inte
Linked Tasks,Lankade uppgifter
List,Lista
List View,Listvy
Load failed,Laddning misslyckades
Load More,Ladda fler
Load more comments,Ladda fler kommentarer
Loading activity...,Laddar aktivitet...
Loading changes...,Laddar andringar...
Loading checklist...,Laddar checklista...
Loading comments...,Laddar kommentarer...
Loading contact...,Laddar kontakt...
