+ Add Milestone,+ Adaugă o etapă
Add Task (Shift+T),Adaugă o sarcină (Shift+T)
Added Finish-to-Start dependency,Dependență Final-la-Început adăugată
Adding this dependency would create a circular reference: {0},Adăugarea acestei dependențe ar crea o referință circulară: {0}
Adding...,Se adaugă...
Address,Adresă
Advanced,Avansat
All,Toate
All Active,Toate active
All Assignees,Toți atribuiții
All Categories,Toate categoriile
All caught up!,Totul la zi!
All Contexts,Toate contextele
All day,Toată ziua
All day event,Eveniment pe toată ziua
All fields,Toate câmpurile
All Priorities,Toate prioritățile
All Projects,Toate proiectele
All Status,Toate stările
All Statuses,Toate stările
All task dependencies & relative dates,Toate dependențele sarcinilor și datele relative
All Tasks,Toate sarcinile
All tasks across all projects.,Toate sarcinile din toate proiectele.
All tasks are already linked,Toate sarcinile sunt deja asociate
All team members,Toți membrii echipei
All Types,Toate tipurile
All Users,Toți utilizatorii
Allocated,Alocat
allocated,alocat
Allow users to log time against tasks,Permite utilizatorilor să înregistreze timp pentru sarcini
Already exported to timesheet {0},Deja exportat în foaia de pontaj {0}
Already Migrated,Deja migrat
Anyone with access,Oricine are acces
anytime to show this help,oricând pentru a afișa acest ajutor
App Updates,App Updates
Appearance,Aspect
Apply,Aplică
Apply cascade?,Aplicați efectul în cascadă?
Apply Changes,Aplică modificările
Apply failed,Aplicarea a eșuat
Apply Template,Aplică un șablon
Applying...,Se aplică...
Appointment,Programare
Appointment and resource are required,Programarea și resursa sunt obligatorii
Appointment name is required,Numele programării este obligatoriu
Appointment not found,Programare negăsită
Appointment {0} not found,Programarea {0} nu a fost găsită
Apps,Aplicații
Archive,Arhivează
Archive Activity,Arhivează activitatea
Archived,Arhivat
Are you sure you want to delete this activity data? This cannot be undone.,Sunteți sigur că doriți să ștergeți aceste date de activitate? Această acțiune este ireversibilă.
Are you sure you want to delete this comment?,Sunteți sigur că doriți să ștergeți acest comentariu?
Are you sure you want to delete this project?,Sunteți sigur că doriți să ștergeți acest proiect?
Are you sure?,Sunteți sigur?
Ascending -- click to reverse,Crescător -- faceți clic pentru a inversa
Assign To,Atribuie la
Assign to Me,Atribuie-mi mie
Assigned Contact,Contact atribuit
Assigned To,Atribuit la
Assigned to,Atribuit la
Assigned to Me,Atribuit mie
Assignee,Atribuit
Assignment,Atribuire
Assignment History,Istoric de atribuiri
Assignment name is required,Numele atribuirii este obligatoriu
Assignment {0} not found,Atribuirea {0} nu a fost găsită
Assignments,Atribuiri
At least one action is required,Este necesară cel puțin o acțiune
At least one event is required,Este necesar cel puțin un eveniment
At least one event must be selected,Trebuie selectat cel puțin un eveniment
Attachment,Atașament
Attachments,Atașamente
Attendees,Participanți
"Audit trail, assignments, version history","Jurnal de audit, atribuiri, istoric al versiunilor"
Auto,Automat
Auto Calculate Progress,Calculează automat progresul
Auto Set Missed Milestones,Marchează automat etapele ratate
Auto-shift dependents when dates change,Deplasează automat dependenții la modificarea datelor
Auto-Trail Start,Început automat prin alunecare
Auto-Trail updated,Început automat prin alunecare actualizat
Automatically calculate project progress from task completion,Calculează automat progresul proiectului pe baza finalizării sarcinilor
Automatically mark milestones as missed when overdue,Marchează automat etapele ca ratate când sunt depășite
Automation rule {0} not found,Regula de automatizare {0} nu a fost găsită
Automation: {0},Automatizare: {0}
Availability,Disponibilitate
Available,Disponibil
Avatar updated successfully,Avatarul a fost actualizat cu succes
Avg Progress,Progres mediu
Back,Înapoi
Back to Portal,Înapoi la portal
Back to Projects,Înapoi la proiecte
Beginner,Începător
Best regards,Cu stimă
Billable,Facturabil
Billable Amount,Sumă facturabilă
Billable Hours,Ore facturabile
Billable Rate,Tarif facturabil
Billing Rate,Tarif de facturare
Blocked,Blocat
Both dates are needed to display task as a bar in Gantt chart,Ambele date sunt necesare pentru a afișa sarcina ca bară în diagrama Gantt
Both doctype and docname are required,Sunt necesare atât doctype cât și docname
Both proposed start and end times are required,Sunt necesare atât ora de început cât și ora de finalizare propuse
Both task_name and depends_on are required,Sunt necesare atât task_name cât și depends_on
Breadcrumb,Traseu de navigare
Brief description of the defect or damage,Scurtă descriere a defectului sau deteriorării
Brief description of this template,Scurtă descriere a acestui șablon
Brief description of your request,Scurtă descriere a solicitării dumneavoastră
Brief project description,Scurtă descriere a proiectului
Budget,Buget
Budget at risk,Buget în pericol
Budget Burn Rate,Ritm de consum al bugetului
Budget Status,Starea bugetului
Budget updated,Buget actualizat
Budget:,Buget:
Bug,Eroare
Burn Rate,Ritm de consum
Busy,Ocupat
By,De
By Assignee,După atribuit
By Group,După grup
By Milestone,După etapă
By Priority,După prioritate
By Status,După stare
Cancel,Anulează
Cancelled,Anulat
cannot be undone,ireversibil
Cannot delete client with {0} linked projects. Unlink projects first.,Nu se poate șterge clientul cu {0} proiecte asociate. Disociați mai întâi proiectele.
Cannot delete project with {0} linked tasks. Delete tasks first.,Nu se poate șterge proiectul cu {0} sarcini asociate. Ștergeți mai întâi sarcinile.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Nu se poate șterge resursa cu {0} atribuiri active. Finalizați-le sau anulați-le mai întâi.
Cannot delete task with {0} subtasks. Delete subtasks first.,Nu se poate șterge sarcina cu {0} subsarcini. Ștergeți mai întâi subsarcinile.
Capacity,Capacitate
capacity,capacitate
Capacity & Rates,Capacitate și tarife
Capture project structure for reuse,Salvează structura proiectului pentru reutilizare
Cascade,Cascadă
Cascade Preview,Previzualizare în cascadă
Category,Categorie
Celebrate,Sărbătorește
Change,Modifică
Change History,Istoric de modificări
Change Priority,Schimbă prioritatea
Change Status,Schimbă starea
Changes,Modificări
Changes appear when fields are modified.,Modificările apar când câmpurile sunt schimbate.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Listă de verificare
Checklist item name is required,Numele elementului din lista de verificare este obligatoriu
Checklist item not found,Element din lista de verificare negăsit
Checklist item title is required,Titlul elementului din lista de verificare este obligatoriu
Checklist item {0} not found,Elementul {0} din lista de verificare nu a fost găsit
Checklist item {0} not found in task,Elementul {0} din lista de verificare nu a fost găsit în sarcină
Child,Copil
Choose file to upload,Alegeți un fișier de încărcat
Circular dependency detected: {0},Dependență circulară detectată: {0}
Circular parent-child relationship detected,Relație circulară părinte-copil detectată
Clear,Șterge
Clear all read,Șterge toate cele citite
Clear date,Șterge data
Click on an activity from the list to view and manage its details.,Faceți clic pe o activitate din listă pentru a-i vedea și gestiona detaliile.
Click the avatar to upload a new photo,Faceți clic pe avatar pentru a încărca o fotografie nouă
Click to add description...,Faceți clic pentru a adăuga o descriere...
Click to add notes...,Faceți clic pentru a adăuga note...
Click to assign contact,Faceți clic pentru a atribui un contact
Click to change status,Faceți clic pentru a schimba starea
Click to change type,Faceți clic pentru a schimba tipul
Click to edit,Faceți clic pentru a edita
Click to edit budget,Faceți clic pentru a edita bugetul
Click to edit description,Faceți clic pentru a edita descrierea
Click to edit end date,Faceți clic pentru a edita data de finalizare
Click to edit milestone name,Faceți clic pentru a edita numele etapei
Click to edit rate,Faceți clic pentru a edita tariful
Click to edit start date,Faceți clic pentru a edita data de începere
Click to edit title,Faceți clic pentru a edita titlul
Click to load,Faceți clic pentru a încărca
Click to set group dependency...,Faceți clic pentru a stabili o dependență de grup...
Click to set group...,Faceți clic pentru a stabili grupul...
Click to view,Faceți clic pentru a vedea
Click to view at-risk projects,Faceți clic pentru a vedea proiectele în pericol
Click to view critical projects,Faceți clic pentru a vedea proiectele critice
Click to view healthy projects,Faceți clic pentru a vedea proiectele sănătoase
Client,Client
Client already has a portal user: {0},Clientul are deja un utilizator de portal: {0}
Client already has portal access,Clientul are deja acces la portal
Client has no portal user to revoke,Clientul nu are niciun utilizator de portal de revocat
Client link removed from project {0},Legătura cu clientul a fost eliminată din proiectul {0}
Client Portal,Portalul clientului
Client {0} deleted successfully,Clientul {0} a fost șters cu succes
Close,Închide
Close (Esc),Închide (Esc)
Comment,Comentariu
comment,comentariu
Comment added,Comentariu adăugat
Comment content is required,Conținutul comentariului este obligatoriu
Comment name is required,Numele comentariului este obligatoriu
Comment not found,Comentariu negăsit
Comment removed,Comentariu eliminat
Comment {0} not found in task,Comentariul {0} nu a fost găsit în sarcină
Comments,Comentarii
comments,comentarii
Community Edition,Community Edition
Company,Companie
Company name...,Numele companiei...
Complete,Finalizează
Completed,Finalizat
completed,finalizat
Completed Tasks,Sarcini finalizate
Compliance,Conformitate
Configure default values for new projects and tasks,Configurați valorile implicite pentru proiecte și sarcini noi
Configure email notification settings,Configurați setările de notificare prin e-mail
Confirm,Confirmă
Contact deleted,Contact șters
Contact Details,Detalii contact
Contact Information,Informații de contact
Contact name is required,Numele contactului este obligatoriu
Contact Support,Contactați asistența
Contact your project manager for more information.,Contactați responsabilul de proiect pentru mai multe informații.
Contact:,Contact:
Contacts,Contacte
Context,Context
Contractor,Antreprenor
Cost estimate cannot be negative,Estimarea costurilor nu poate fi negativă
Cost Impact,Impact asupra costurilor
Cost Summary,Rezumat costuri
Could not apply the template. Please try again.,Șablonul nu a putut fi aplicat. Vă rugăm încercați din nou.
Could not attach file to project,Fișierul nu a putut fi atașat la proiect
Could not change task priority,Prioritatea sarcinii nu a putut fi schimbată
Could not change task status,Starea sarcinii nu a putut fi schimbată
Could not delete the project. Please try again.,Proiectul nu a putut fi șters. Vă rugăm încercați din nou.
Could not delete the task. Please try again.,Sarcina nu a putut fi ștearsă. Vă rugăm încercați din nou.
Could not delete the template.,Șablonul nu a putut fi șters.
Could not duplicate the task. Please try again.,Sarcina nu a putut fi duplicată. Vă rugăm încercați din nou.
Could not export the template.,Șablonul nu a putut fi exportat.
Could not import the template. Please check the file format.,Șablonul nu a putut fi importat. Vă rugăm verificați formatul fișierului.
Could not link task to milestone,Sarcina nu a putut fi asociată cu etapa
Could not load document details.,Detaliile documentului nu au putut fi încărcate.
Could not load task details,Detaliile sarcinii nu au putut fi încărcate
Could not promote checklist item to task.,Elementul din lista de verificare nu a putut fi promovat în sarcină.
Could not remove task from milestone,Sarcina nu a putut fi eliminată din etapă
Could not save budget.,Bugetul nu a putut fi salvat.
Could not save changes to the milestone,Modificările etapei nu au putut fi salvate
Could not save changes to the task,Modificările sarcinii nu au putut fi salvate
Could not save description.,Descrierea nu a putut fi salvată.
Could not save end date.,Data de finalizare nu a putut fi salvată.
Could not save milestone name.,Numele etapei nu a putut fi salvat.
Could not save start date.,Data de începere nu a putut fi salvată.
Could not save the template. Please try again.,Șablonul nu a putut fi salvat. Vă rugăm încercați din nou.
Could not save title.,Titlul nu a putut fi salvat.
Could not update dependency mode.,Modul de dependență nu a putut fi actualizat.
Could not update milestone date,Data etapei nu a putut fi actualizată
Could not update project status.,Starea proiectului nu a putut fi actualizată.
Could not update project type.,Tipul proiectului nu a putut fi actualizat.
Could not update setting.,Setarea nu a putut fi actualizată.
Could not update task dates,Datele sarcinii nu au putut fi actualizate
Could not update task status,Starea sarcinii nu a putut fi actualizată
Could not update the template.,Șablonul nu a putut fi actualizat.
Create a copy of this task,Creează o copie a acestei sarcini
Create Contact,Creează un contact
Create Event,Creează un eveniment
Create Milestone,Creează o etapă
Create New Milestone,Creează o etapă nouă
Create New Task,Creează o sarcină nouă
Create Project,Creează un proiect
Create Task,Creează o sarcină
Create tasks and milestones from a template,Creează sarcini și etape dintr-un șablon
Create your first project to get started.,Creați primul proiect pentru a începe.
Create your first task to start tracking work on this project.,Creați prima sarcină pentru a începe să urmăriți activitatea pe acest proiect.
Created,Creat
Creating...,Se creează...
Critical,Critic
Critical Path,Drum critic
"Currency used for budgets, costs, and billing rates","Moneda folosită pentru bugete, costuri și tarife de facturare"
Current,Curent
Current Assignments,Atribuiri curente
Current scheduled time:,Orar programat curent:
Currently running version,Currently running version
d lag,z decalaj
Daily Availability,Disponibilitate zilnică
Daily Hours,Ore zilnice
Danger Zone,Zonă periculoasă
Dark,Întunecat
Dashboard,Tablou de bord
Date,Dată
Date changes on this task will show cascade impact here,Modificările de date ale acestei sarcini vor arăta impactul în cascadă aici
Date cleared,Dată ștearsă
Date of Joining,Data angajării
Date updated,Dată actualizată
Dates,Date
Dates cascaded,Date propagate în cascadă
Dates will be relative to the project's start date.,Datele vor fi relative la data de începere a proiectului.
Day,Zi
day,zi
days,zile
Days before due date to send reminder,Zile înainte de scadență pentru trimiterea unui memento
Days Overdue,Zile de întârziere
Days Remaining,Zile rămase
Deadline,Termen limită
Deadlines,Termene limită
Decision,Decizie
Decline,Refuză
Declined,Refuzat
Default Currency,Monedă implicită
Default hours per week for contact capacity planning,Ore implicite pe săptămână pentru planificarea capacității contactelor
Default Priority,Prioritate implicită
Default Project Status,Stare implicită a proiectului
Default Task Status,Stare implicită a sarcinii
Default task view,Vizualizare implicită a sarcinilor
Default Values,Valori implicite
Default Weekly Capacity,Capacitate săptămânală implicită
Defaults,Valori implicite
Defect Cost Impact,Impact financiar al defectului
Defect name is required,Numele defectului este obligatoriu
Defect Type,Tip de defect
Defect {0} not found,Defectul {0} nu a fost găsit
Defects,Defecte
Defects & Issues,Defecte și probleme
Defects Resolved,Defecte rezolvate
Delayed,Întârziat
Delete,Șterge
Delete Activity Data,Șterge datele de activitate
Delete all read notifications?,Ștergeți toate notificările citite?
Delete comment,Șterge comentariul
Delete Contact,Șterge contactul
Delete Event,Șterge evenimentul
Delete Event?,Ștergeți evenimentul?
Delete failed,Ștergerea a eșuat
Delete file,Șterge fișierul
Delete item,Șterge elementul
Delete note,Șterge nota
Delete Project,Șterge proiectul
Delete Task,Șterge sarcina
Delete this project,Șterge acest proiect
Deleted,Șters
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Proiectul ""{0}"" a fost șters ({1} sarcini, {2} etape)"
Deletes notes and preferences. Source document is not affected.,Șterge notele și preferințele. Documentul sursă nu este afectat.
Deleting...,Se șterge...
Department,Departament
Dependencies,Dependențe
dependencies,dependențe
Dependencies are informational only,Dependențele sunt doar informative
dependency,dependență
Dependency already exists,Dependența există deja
Dependency Chain,Lanț de dependențe
Dependency created,Dependență creată
Dependency mode updated,Mod de dependență actualizat
Dependency name is required,Numele dependenței este obligatoriu
Dependency task {0} not found,Sarcina de dependență {0} nu a fost găsită
Dependency {0} not found,Dependența {0} nu a fost găsită
depends,depinde
Depends on Group,Depinde de grup
Depends on task is required,Sarcina de dependență este obligatorie
depends on...,depinde de...
Descending -- click to reverse,Descrescător -- faceți clic pentru a inversa
Describe the defect in detail...,Descrieți defectul în detaliu...
Description,Descriere
Description updated,Descriere actualizată
Designation,Funcție
"Detailed description of the defect, location, and impact","Descriere detaliată a defectului, locației și impactului"
Details,Detalii
Discard timer,Anulează cronometrul
Discussion,Discuție
Dismiss,Dismiss
Display,Afișare
Document,Document
Document attached to project,Document atașat la proiect
Document final decision and rationale,Documentează decizia finală și argumentele
Documentation Review,Verificare documentară
Documents,Documente
Done,Terminat
Download,Descarcă
Drag to create dependency,Trageți pentru a crea o dependență
Dry Run,Simulare
Dry Run Complete,Simulare finalizată
Due Date,Dată scadentă
Due date,Dată scadentă
Due Date (Earliest),Dată scadentă (cea mai apropiată)
Due date cannot be before start date,Data scadentă nu poate fi anterioară datei de începere
Due date is in the past,Data scadentă este în trecut
Due Date Reminders,Memento-uri pentru data scadentă
Due Diligence,Verificare prealabilă
Due Diligence Checklist,Lista de verificare prealabilă
Due This Week,Scadent săptămâna aceasta
Due:,Scadent:
Duplicate events are not allowed,Evenimentele duplicate nu sunt permise
Duplicate failed,Duplicarea a eșuat
Duplicate Task,Duplică sarcina
Duration,Durată
Duration Summary,Rezumatul duratei
Duration:,Durată:
e.g. Cracked wall finish in bathroom...,de ex. Finisaj crăpat pe peretele din baie...
"e.g. Electrical, Plumbing...","de ex. Electricitate, Instalații sanitare..."
Edit,Editează
Edit (E),Editează (E)
Edit dependency,Editează dependența
Edit Event,Editează evenimentul
Efficiency,Eficiență
Either dependency_name or depends_on is required,Este necesar fie dependency_name fie depends_on
Email,E-mail
Email invitations to all attendees,Invitații prin e-mail către toți participanții
Email is required to create portal user,Adresa de e-mail este necesară pentru crearea unui utilizator de portal
Email notifications,Notificări prin e-mail
Employee,Angajat
Employee DocType not available,DocType Angajat indisponibil
Employee not found,Angajat negăsit
Enable or disable optional features,Activează sau dezactivează funcționalități opționale
Enable Time Tracking,Activează urmărirea timpului
End,Sfârșit
End Date,Dată de finalizare
End date,Dată de finalizare
End Date cannot be before Start Date,Data de finalizare nu poate fi anterioară datei de începere
End date cannot be before start date,Data de finalizare nu poate fi anterioară datei de începere
End date updated,Dată de finalizare actualizată
End time was before start time. Adjusted to 1 hour after start.,Ora de sfârșit era înainte de ora de început. A fost ajustată la 1 oră după începere.
End:,Sfârșit:
Enter milestone name...,Introduceți numele etapei...
Enter project name,Introduceți numele proiectului
Enter task title...,Introduceți titlul sarcinii...
Enter template name,Introduceți numele șablonului
Enter your note... Use @name to mention someone,Introduceți nota... Utilizați @nume pentru a menționa pe cineva
Error,Eroare
Error loading activity,Eroare la încărcarea activității
Error loading contacts,Eroare la încărcarea contactelor
Error loading dashboard,Eroare la încărcarea tabloului de bord
Error loading project,Eroare la încărcarea proiectului
Error loading projects,Eroare la încărcarea proiectelor
Error loading settings,Eroare la încărcarea setărilor
Error loading tasks,Eroare la încărcarea sarcinilor
Error loading templates,Eroare la încărcarea șabloanelor
Est. Hours,Ore est.
Estimated,Estimat
Estimated Cost,Cost estimat
Estimated Cost (€),Cost estimat (€)
Estimated Hours,Ore estimate
Estimated:,Estimat:
Evaluate potential risks and concerns,Evaluați riscurile și preocupările potențiale
Event,Eveniment
Event is required for event context,Evenimentul este obligatoriu pentru contextul de eveniment
Event is required when tracking context is 'event',Evenimentul este obligatoriu când contextul de urmărire este «eveniment»
Event Type,Tip de eveniment
Events,Evenimente
Events not available. Please run: bench --site orga.localhost migrate,Evenimentele nu sunt disponibile. Vă rugăm executați: bench --site orga.localhost migrate
Events:,Evenimente:
Expert,Expert
Explain why you are proposing a different time...,Explicați de ce propuneți un alt orar...
Export,Exportă
Export failed,Exportul a eșuat
Export JSON,Exportă în JSON
Exported,Exportat
Exported to timesheet {0},Exportat în foaia de pontaj {0}
External,Extern
Failed to add item,Elementul nu a putut fi adăugat
Failed to add note,Nota nu a putut fi adăugată
Failed to add skill,Competența nu a putut fi adăugată
Failed to apply cascade changes: {0},Modificările în cascadă nu au putut fi aplicate: {0}
Failed to create defect,Defectul nu a putut fi creat
Failed to create dependency,Dependența nu a putut fi creată
Failed to create event,Evenimentul nu a putut fi creat
Failed to create milestone,Etapa nu a putut fi creată
Failed to create project,Proiectul nu a putut fi creat
Failed to create task,Sarcina nu a putut fi creată
Failed to create time log,Înregistrarea de timp nu a putut fi creată
Failed to delete,Ștergerea a eșuat
Failed to delete comment,Comentariul nu a putut fi șters
Failed to delete contact,Contactul nu a putut fi șters
Failed to load,Încărcarea a eșuat
Failed to load activity,Activitatea nu a putut fi încărcată
Failed to load assignments,Atribuirile nu au putut fi încărcate
Failed to load contact,Contactul nu a putut fi încărcat
Failed to load dashboard data,Datele tabloului de bord nu au putut fi încărcate
Failed to load defects,Defectele nu au putut fi încărcate
Failed to load events,Evenimentele nu au putut fi încărcate
Failed to load project,Proiectul nu a putut fi încărcat
Failed to load projects,Proiectele nu au putut fi încărcate
Failed to load report data,Datele raportului nu au putut fi încărcate
Failed to load settings,Setările nu au putut fi încărcate
Failed to load tasks,Sarcinile nu au putut fi încărcate
Failed to move task,Sarcina nu a putut fi mutată
Failed to post comment,Comentariul nu a putut fi publicat
Failed to propose new time,Noul orar nu a putut fi propus
Failed to remove item,Elementul nu a putut fi eliminat
Failed to remove skill,Competența nu a putut fi eliminată
Failed to reorder milestones: {0},Etapele nu au putut fi reordonate: {0}
Failed to reorder tasks: {0},Sarcinile nu au putut fi reordonate: {0}
Failed to reschedule dependent tasks: {0},Sarcinile dependente nu au putut fi reprogramate: {0}
Failed to save,Salvarea a eșuat
Failed to save preferences,Preferințele nu au putut fi salvate
Failed to save settings,Setările nu au putut fi salvate
Failed to submit request. Please try again.,Solicitarea nu a putut fi trimisă. Vă rugăm încercați din nou.
Failed to update item,Elementul nu a putut fi actualizat
Failed to update priority,Prioritatea nu a putut fi actualizată
Failed to update task,Sarcina nu a putut fi actualizată
Failed to update tasks: {0},Sarcinile nu au putut fi actualizate: {0}
Failed to upload avatar,Avatarul nu a putut fi încărcat
Feature,Funcționalitate
Features,Funcționalități
FF (Finish-Finish),FF (Final-Final)
FF - Finish-to-Finish,FF - Final-la-Final
Field has been updated,Câmpul a fost actualizat
Field name is required for 'Set Field Value' action,Numele câmpului este obligatoriu pentru acțiunea «Setează valoarea câmpului»
Field {0} is not a Link field,Câmpul {0} nu este un câmp de tip Legătură
Field {0} not found in {1},Câmpul {0} nu a fost găsit în {1}
File,Fișier
file,fișier
File does not belong to this task,Fișierul nu aparține acestei sarcini
File name is required,Numele fișierului este obligatoriu
File uploaded,Fișier încărcat
File {0} not found,Fișierul {0} nu a fost găsit
Files,Fișiere
files,fișiere
Filter,Filtru
Final Decision,Decizie finală
Finance,Finanțe
Financial,Financiar
Finish-to-Finish,Final-la-Final
Finish-to-Start,Final-la-Început
Flag,Semnalează
Flag for attention,Semnalează pentru atenție
Flagged,Semnalat
Focus Panel,Panou de focalizare
Follows your system preference. Currently:,Urmează preferința sistemului. În prezent:
Frappe Project {0} not found,Proiectul Frappe {0} nu a fost găsit
Frappe Projects Migration,Migrare Frappe Projects
Frappe Projects module not available,Modulul Frappe Projects nu este disponibil
Frappe Projects module not installed,Modulul Frappe Projects nu este instalat
Frappe Projects sync is not enabled,Sincronizarea Frappe Projects nu este activată
Frappe Task DocType not found,DocType Sarcină Frappe negăsit
Frappe Task has no project,Sarcina Frappe nu are niciun proiect
Frappe Task {0} not found,Sarcina Frappe {0} nu a fost găsită
Fri,Vi
From,De la
From Template,Din șablon
FS (Finish-Start),FS (Final-Început)
FS - Finish-to-Start (default),FS - Final-la-Început (implicit)
Full form view with audit trail,Vizualizare completă a formularului cu jurnal de audit
Full name,Nume complet
Gantt,Gantt
Gantt Chart,Diagramă Gantt
Gantt View,Vizualizare Gantt
General Note,Notă generală
Get started,Începeți
Go back,Înapoi
Go Back,Go Back
Group by,Grupează după
Group dependency removed,Dependență de grup eliminată
Group dependency set,Dependență de grup stabilită
Group removed,Grup eliminat
Group updated,Grup actualizat
Hammock task dates are auto-calculated and cannot be changed manually,Datele sarcinilor hamac sunt calculate automat și nu pot fi modificate manual
Have a question or need assistance? Fill out the form below and our team will get back to you.,Aveți o întrebare sau aveți nevoie de asistență? Completați formularul de mai jos și echipa noastră vă va răspunde.
Health,Sănătate
Healthy,Sănătos
Hello {0},Bună ziua {0}
Here's what's happening with your projects today.,Iată ce se întâmplă cu proiectele dumneavoastră astăzi.
Hide,Ascunde
High,Ridicată
History,Istoric
Home,Acasă
Hourly Cost,Cost pe oră
Hours,Ore
hours,ore
Hours Logged,Ore înregistrate
ID,ID
Image must be smaller than 5 MB,Imaginea trebuie să fie mai mică de 5 MB
Import,Importă
Import existing projects and tasks from Frappe Projects module,Importați proiecte și sarcini existente din modulul Frappe Projects
Import failed,Importul a eșuat
Import Template,Importă un șablon
Imported,Importat
in,în
In Progress,În desfășurare
In Review,În revizuire
In-app notifications,Notificări în aplicație
Inactive,Inactiv
Initial Review,Revizuire inițială
Installed Version,Installed Version
Insufficient permissions to view all tasks,Permisiuni insuficiente pentru a vedea toate sarcinile
Intermediate,Intermediar
Internal,Intern
Invalid DocType,DocType nevalid
Invalid DocType for import,DocType nevalid pentru import
Invalid item type: {0},Tip de element nevalid: {0}
Invalid JSON data,Date JSON nevalide
Invalid note type. Must be one of: {0},Tip de notă nevalid. Trebuie să fie unul dintre: {0}
Invalid project reference,Referință de proiect nevalidă
Invalid reaction type. Must be one of: {0},Tip de reacție nevalid. Trebuie să fie unul dintre: {0}
Invalid RSVP status,Stare RSVP nevalidă
Invalid status. Must be one of: {0},Stare nevalidă. Trebuie să fie una dintre: {0}
Invalid status: {0},Stare nevalidă: {0}
Invalid status: {0}. Must be one of: {1},Stare nevalidă: {0}. Trebuie să fie una dintre: {1}
Invalid tracking context: {0},Context de urmărire nevalid: {0}
Invalid visibility. Must be one of: {0},Vizibilitate nevalidă. Trebuie să fie una dintre: {0}
Invitation: {0} - {1} at {2},Invitație: {0} - {1} la {2}
Invite People,Invită persoane
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element adăugat
Item ID is required,Identificatorul elementului este obligatoriu
Item removed,Element eliminat
Item type is required,Tipul elementului este obligatoriu
Item {0} not found,Elementul {0} nu a fost găsit
Job title or role,Funcția sau rolul
Join Meeting,Participă la întâlnire
