+ Add Milestone,+ සන්ධිස්ථානයක් එකතු කරන්න
Add a checklist item...,පරීක්ෂා ලැයිස්තු අයිතමයක් එක් කරන්න...
Add a comment...,අදහසක් එක් කරන්න...
Add a comment... (Ctrl+Enter to send),අදහසක් එක් කරන්න... (යැවීමට Ctrl+Enter)
Add a description...,විස්තරයක් එක් කරන්න...
Add a milestone description...,සන්ධිස්ථාන විස්තරයක් එක් කරන්න...
Add a note below to annotate this activity.,මෙම ක්‍රියාකාරකම සටහන් කිරීමට පහතින් සටහනක් එක් කරන්න.
Add a note...,සටහනක් එක් කරන්න...
Add a project description...,ව්‍යාපෘති විස්තරයක් එක් කරන්න...
Add a task description...,කාර්ය විස්තරයක් එක් කරන්න...
Add checklist item...,පරීක්ෂා ලැයිස්තු අයිතමයක් එක් කරන්න...
Add Contact,සම්බන්ධතාවයක් එක් කරන්න
Add contacts via the Desk interface or clear filters,Desk අතුරුමුහුණත හරහා සම්බන්ධතා එක් කරන්න හෝ පෙරහන් ඉවත් කරන්න
Add Dependency,පරායත්තතාවක් එක් කරන්න
Add details about this event...,මෙම සිද්ධිය පිළිබඳ විස්තර එක් කරන්න...
Add details about this milestone...,මෙම සන්ධිස්ථානය පිළිබඳ විස්තර එක් කරන්න...
Add details about this task...,මෙම කාර්යය පිළිබඳ විස්තර එක් කරන්න...
Add details or acceptance criteria for this milestone,මෙම සන්ධිස්ථානය සඳහා විස්තර හෝ පිළිගැනීමේ නිර්ණායක එක් කරන්න
"Add details, context, or acceptance criteria","විස්තර, සන්දර්භය, හෝ පිළිගැනීමේ නිර්ණායක එක් කරන්න"
Add first dependency,පළමු පරායත්තතාව එක් කරන්න
Add item,අයිතමයක් එක් කරන්න
Add items below to track progress.,ප්‍රගතිය නිරීක්ෂණය කිරීමට පහතින් අයිතම එක් කරන්න.
Add items below to track subtasks,උප කාර්ය නිරීක්ෂණය කිරීමට පහතින් අයිතම එක් කරන්න
Add Milestone,සන්ධිස්ථානයක් එක් කරන්න
Add Milestone (Shift+M),සන්ධිස්ථානයක් එක් කරන්න (Shift+M)
Add milestones to track key deliverables.,ප්‍රධාන සාධන නිරීක්ෂණය කිරීමට සන්ධිස්ථාන එක් කරන්න.
Add New Contact,නව සම්බන්ධතාවයක් එක් කරන්න
Add Note,සටහනක් එක් කරන්න
Add note,සටහනක් එක් කරන්න
Add notes about this contact...,මෙම සම්බන්ධතාව ගැන සටහන් එක් කරන්න...
Add reaction,ප්‍රතිචාරයක් එක් කරන්න
Add Skill,කුසලතාවක් එක් කරන්න
Add start and due dates to tasks to see them on the Gantt chart,Gantt ප්‍රස්ථාරයේ දැකීමට කාර්යයන්ට ආරම්භ සහ නියමිත දිනයන් එක් කරන්න
Add Task,කාර්යක් එක් කරන්න
Add Task (Shift+T),කාර්යක් එක් කරන්න (Shift+T)
Added Finish-to-Start dependency,අවසාන-සිට-ආරම්භ පරායත්තතාව එකතු කරන ලදී
Adding this dependency would create a circular reference: {0},මෙම පරායත්තතාව එකතු කිරීම චක්‍රීය යොමු කිරීමක් සාදනු ඇත: {0}
Adding...,එකතු කරමින්...
Address,ලිපිනය
Advanced,උසස්
All,සියල්ල
All Active,සියලු ක්‍රියාකාරී
All Assignees,සියලු පැවරුම්කරුවන්
All Categories,සියලු ප්‍රවර්ග
All caught up!,සියල්ල නවතම තත්ත්වයේ!
All Contexts,සියලු සන්දර්භ
All day,මුළු දිනම
All day event,මුළු දින සිද්ධිය
All fields,සියලු ක්ෂේත්‍ර
All Priorities,සියලු ප්‍රමුඛතා
All Projects,සියලු ව්‍යාපෘති
All Status,සියලු තත්ත්වයන්
All Statuses,සියලු තත්ත්වයන්
All task dependencies & relative dates,සියලු කාර්ය පරායත්තතා සහ සාපේක්ෂ දිනයන්
All Tasks,සියලු කාර්යයන්
All tasks across all projects.,සියලු ව්‍යාපෘතිවල සියලු කාර්යයන්.
All tasks are already linked,සියලු කාර්යයන් දැනටමත් සම්බන්ධ කර ඇත
All team members,සියලු කණ්ඩායම් සාමාජිකයින්
All Types,සියලු වර්ග
All Users,සියලු පරිශීලකයින්
Allocated,වෙන් කරන ලද
allocated,වෙන් කරන ලද
Allow users to log time against tasks,කාර්යයන්ට එරෙහිව කාලය සටහන් කිරීමට පරිශීලකයින්ට ඉඩ දෙන්න
Already exported to timesheet {0},දැනටමත් කාල පත්‍රිකාව {0} වෙත නිර්යාත කර ඇත
Already Migrated,දැනටමත් සංක්‍රමණය කර ඇත
Anyone with access,ප්‍රවේශය ඇති ඕනෑම කෙනෙක්
anytime to show this help,මෙම උදව් පෙන්වීමට ඕනෑම වේලාවක
App Updates,App Updates
Appearance,පෙනුම
Apply,යොදන්න
Apply cascade?,ගංගා ප්‍රවාහය යොදන්නද?
Apply Changes,වෙනස්කම් යොදන්න
Apply failed,යෙදීම අසාර්ථක විය
Apply Template,සැකිල්ල යොදන්න
Applying...,යොදමින්...
Appointment,හමුවීම
Appointment and resource are required,හමුවීම සහ සම්පත අවශ්‍යයි
Appointment name is required,හමුවීමේ නම අවශ්‍යයි
Appointment not found,හමුවීම හමු නොවීය
Appointment {0} not found,හමුවීම {0} හමු නොවීය
Apps,යෙදුම්
Archive,සංරක්ෂණ කරන්න
Archive Activity,ක්‍රියාකාරකම සංරක්ෂණ කරන්න
Archived,සංරක්ෂිත
Are you sure you want to delete this activity data? This cannot be undone.,ඔබට මෙම ක්‍රියාකාරකම් දත්ත මකා දැමීමට අවශ්‍ය බව විශ්වාසද? මෙය අහෝසි කළ නොහැක.
Are you sure you want to delete this comment?,ඔබට මෙම අදහස මකා දැමීමට අවශ්‍ය බව විශ්වාසද?
Are you sure you want to delete this project?,ඔබට මෙම ව්‍යාපෘතිය මකා දැමීමට අවශ්‍ය බව විශ්වාසද?
Are you sure?,ඔබට විශ්වාසද?
Ascending -- click to reverse,ආරෝහණ -- ආපසු හැරවීමට ක්ලික් කරන්න
Assign To,පවරන්න
Assign to Me,මට පවරන්න
Assigned Contact,පවරන ලද සම්බන්ධතාව
Assigned To,පවරන ලද
Assigned to,පවරන ලද
Assigned to Me,මට පවරන ලද
Assignee,පැවරුම්කරු
Assignment,පැවරුම
Assignment History,පැවරුම් ඉතිහාසය
Assignment name is required,පැවරුම් නම අවශ්‍යයි
Assignment {0} not found,පැවරුම {0} හමු නොවීය
Assignments,පැවරුම්
At least one action is required,අවම වශයෙන් එක් ක්‍රියාවක් අවශ්‍යයි
At least one event is required,අවම වශයෙන් එක් සිද්ධියක් අවශ්‍යයි
At least one event must be selected,අවම වශයෙන් එක් සිද්ධියක් තෝරාගත යුතුය
Attachment,ඇමිණුම
Attachments,ඇමිණුම්
Attendees,සහභාගිවන්නන්
"Audit trail, assignments, version history","විගණන මාර්ගය, පැවරුම්, අනුවාද ඉතිහාසය"
Auto,ස්වයංක්‍රීය
Auto Calculate Progress,ප්‍රගතිය ස්වයංක්‍රීයව ගණනය කරන්න
Auto Set Missed Milestones,මඟහැරුණු සන්ධිස්ථාන ස්වයංක්‍රීයව සකසන්න
Auto-shift dependents when dates change,දිනයන් වෙනස් වන විට පරායත්ත ස්වයංක්‍රීයව මාරු කරන්න
Auto-Trail Start,ස්වයංක්‍රීය-පාද ආරම්භය
Auto-Trail updated,ස්වයංක්‍රීය-පාද යාවත්කාලීන විය
Automatically calculate project progress from task completion,කාර්ය සම්පූර්ණතාවයෙන් ව්‍යාපෘති ප්‍රගතිය ස්වයංක්‍රීයව ගණනය කරන්න
Automatically mark milestones as missed when overdue,ප්‍රමාද වූ විට සන්ධිස්ථාන මඟහැරුණු ලෙස ස්වයංක්‍රීයව සලකුණු කරන්න
Automation rule {0} not found,ස්වයංක්‍රීයකරණ නීතිය {0} හමු නොවීය
Automation: {0},ස්වයංක්‍රීයකරණය: {0}
Availability,ලභ්‍යතාව
Available,ලබා ගත හැකි
Avatar updated successfully,අවතාරය සාර්ථකව යාවත්කාලීන විය
Avg Progress,සාමාන්‍ය ප්‍රගතිය
Back,ආපසු
Back to Portal,ද්වාරයට ආපසු
Back to Projects,ව්‍යාපෘතිවලට ආපසු
Beginner,ආරම්භක
Best regards,සුභ පැතුම්
Billable,බිල් කළ හැකි
Billable Amount,බිල් කළ හැකි මුදල
Billable Hours,බිල් කළ හැකි පැය
Billable Rate,බිල් කළ හැකි අනුපාතය
Billing Rate,බිල් කිරීමේ අනුපාතය
Blocked,අවහිර කළ
Both dates are needed to display task as a bar in Gantt chart,Gantt ප්‍රස්ථාරයේ තීරුවක් ලෙස කාර්යය පෙන්වීමට දින දෙකම අවශ්‍යයි
Both doctype and docname are required,DocType සහ docname දෙකම අවශ්‍යයි
Both proposed start and end times are required,යෝජිත ආරම්භ සහ අවසන් වේලාවන් දෙකම අවශ්‍යයි
Both task_name and depends_on are required,task_name සහ depends_on දෙකම අවශ්‍යයි
Breadcrumb,පාන්කුඩු මාර්ගය
Brief description of the defect or damage,දෝෂය හෝ හානිය පිළිබඳ කෙටි විස්තරය
Brief description of this template,මෙම සැකිල්ල පිළිබඳ කෙටි විස්තරය
Brief description of your request,ඔබේ ඉල්ලීමේ කෙටි විස්තරය
Brief project description,ව්‍යාපෘතියේ කෙටි විස්තරය
Budget,අයවැය
Budget at risk,අවදානමට ලක්වූ අයවැය
Budget Burn Rate,අයවැය දහන අනුපාතය
Budget Status,අයවැය තත්ත්වය
Budget updated,අයවැය යාවත්කාලීන විය
Budget:,අයවැය:
Bug,දෝෂය
Burn Rate,දහන අනුපාතය
Busy,කාර්යබහුල
By,විසින්
By Assignee,පැවරුම්කරු අනුව
By Group,කණ්ඩායම අනුව
By Milestone,සන්ධිස්ථානය අනුව
By Priority,ප්‍රමුඛතාව අනුව
By Status,තත්ත්වය අනුව
Cancel,අවලංගු කරන්න
Cancelled,අවලංගු කළ
cannot be undone,අහෝසි කළ නොහැක
Cannot delete client with {0} linked projects. Unlink projects first.,සම්බන්ධිත ව්‍යාපෘති {0}ක් ඇති සේවාදායකයා මකා දැමිය නොහැක. පළමුව ව්‍යාපෘති විසන්ධි කරන්න.
Cannot delete project with {0} linked tasks. Delete tasks first.,සම්බන්ධිත කාර්ය {0}ක් ඇති ව්‍යාපෘතිය මකා දැමිය නොහැක. පළමුව කාර්යයන් මකන්න.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,ක්‍රියාකාරී පැවරුම් {0}ක් ඇති සම්පත මකා දැමිය නොහැක. පළමුව ඒවා සම්පූර්ණ කරන්න හෝ අවලංගු කරන්න.
Cannot delete task with {0} subtasks. Delete subtasks first.,උප කාර්ය {0}ක් ඇති කාර්යය මකා දැමිය නොහැක. පළමුව උප කාර්යයන් මකන්න.
Capacity,ධාරිතාව
capacity,ධාරිතාව
Capacity & Rates,ධාරිතාව සහ අනුපාත
Capture project structure for reuse,නැවත භාවිතය සඳහා ව්‍යාපෘති ව්‍යුහය ග්‍රහණය කරන්න
Cascade,ගංගා ප්‍රවාහය
Cascade Preview,ගංගා ප්‍රවාහ පෙරදසුන
Category,ප්‍රවර්ගය
Celebrate,සැමරීම
Change,වෙනස් කරන්න
Change History,වෙනස් කිරීම් ඉතිහාසය
Change Priority,ප්‍රමුඛතාව වෙනස් කරන්න
Change Status,තත්ත්වය වෙනස් කරන්න
Changes,වෙනස්කම්
Changes appear when fields are modified.,ක්ෂේත්‍ර වෙනස් කළ විට වෙනස්කම් දිස්වේ.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,පරීක්ෂා ලැයිස්තුව
Checklist item name is required,පරීක්ෂා ලැයිස්තු අයිතමයේ නම අවශ්‍යයි
Checklist item not found,පරීක්ෂා ලැයිස්තු අයිතමය හමු නොවීය
Checklist item title is required,පරීක්ෂා ලැයිස්තු අයිතමයේ මාතෘකාව අවශ්‍යයි
Checklist item {0} not found,පරීක්ෂා ලැයිස්තු අයිතමය {0} හමු නොවීය
Checklist item {0} not found in task,කාර්යයේ පරීක්ෂා ලැයිස්තු අයිතමය {0} හමු නොවීය
Child,දරු
Choose file to upload,උඩුගත කිරීමට ගොනුවක් තෝරන්න
Circular dependency detected: {0},චක්‍රීය පරායත්තතාව හඳුනාගන්නා ලදී: {0}
Circular parent-child relationship detected,චක්‍රීය මව්-දරු සම්බන්ධතාවය හඳුනාගන්නා ලදී
Clear,ඉවත් කරන්න
Clear all read,කියවූ සියල්ල ඉවත් කරන්න
Clear date,දිනය ඉවත් කරන්න
Click on an activity from the list to view and manage its details.,විස්තර බැලීමට සහ කළමනාකරණය කිරීමට ලැයිස්තුවෙන් ක්‍රියාකාරකමක් මත ක්ලික් කරන්න.
Click the avatar to upload a new photo,නව ඡායාරූපයක් උඩුගත කිරීමට අවතාරය මත ක්ලික් කරන්න
Click to add description...,විස්තරයක් එක් කිරීමට ක්ලික් කරන්න...
Click to add notes...,සටහන් එක් කිරීමට ක්ලික් කරන්න...
Click to assign contact,සම්බන්ධතාවයක් පැවරීමට ක්ලික් කරන්න
Click to change status,තත්ත්වය වෙනස් කිරීමට ක්ලික් කරන්න
Click to change type,වර්ගය වෙනස් කිරීමට ක්ලික් කරන්න
Click to edit,සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit budget,අයවැය සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit description,විස්තරය සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit end date,අවසන් දිනය සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit milestone name,සන්ධිස්ථාන නම සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit rate,අනුපාතය සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit start date,ආරම්භ දිනය සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to edit title,මාතෘකාව සංස්කරණය කිරීමට ක්ලික් කරන්න
Click to load,පූරණය කිරීමට ක්ලික් කරන්න
Click to set group dependency...,කණ්ඩායම් පරායත්තතාව සැකසීමට ක්ලික් කරන්න...
Click to set group...,කණ්ඩායම සැකසීමට ක්ලික් කරන්න...
Click to view,බැලීමට ක්ලික් කරන්න
Click to view at-risk projects,අවදානමට ලක්වූ ව්‍යාපෘති බැලීමට ක්ලික් කරන්න
Click to view critical projects,විවේචනාත්මක ව්‍යාපෘති බැලීමට ක්ලික් කරන්න
Click to view healthy projects,සෞඛ්‍ය සම්පන්න ව්‍යාපෘති බැලීමට ක්ලික් කරන්න
Client,සේවාදායකයා
Client already has a portal user: {0},සේවාදායකයාට දැනටමත් ද්වාර පරිශීලකයෙක් ඇත: {0}
Client already has portal access,සේවාදායකයාට දැනටමත් ද්වාර ප්‍රවේශය ඇත
Client has no portal user to revoke,සේවාදායකයාට අවලංගු කිරීමට ද්වාර පරිශීලකයෙක් නැත
Client link removed from project {0},ව්‍යාපෘතිය {0} වෙතින් සේවාදායක සබැඳිය ඉවත් කරන ලදී
Client Portal,සේවාදායක ද්වාරය
Client {0} deleted successfully,සේවාදායකයා {0} සාර්ථකව මකා දැමිණි
Close,වසන්න
Close (Esc),වසන්න (Esc)
Comment,අදහස
comment,අදහස
Comment added,අදහස එකතු කරන ලදී
Comment content is required,අදහස් අන්තර්ගතය අවශ්‍යයි
Comment name is required,අදහසේ නම අවශ්‍යයි
Comment not found,අදහස හමු නොවීය
Comment removed,අදහස ඉවත් කරන ලදී
Comment {0} not found in task,කාර්යයේ අදහස {0} හමු නොවීය
Comments,අදහස්
comments,අදහස්
Community Edition,Community Edition
Company,සමාගම
Company name...,සමාගම් නම...
Complete,සම්පූර්ණ කරන්න
Completed,සම්පූර්ණ කළ
completed,සම්පූර්ණ කළ
Completed Tasks,සම්පූර්ණ කළ කාර්යයන්
Compliance,අනුකූලතාව
Configure default values for new projects and tasks,නව ව්‍යාපෘති සහ කාර්යයන් සඳහා පෙරනිමි අගයන් වින්‍යාස කරන්න
Configure email notification settings,විද්‍යුත් තැපෑල දැනුම්දීම් සැකසුම් වින්‍යාස කරන්න
Confirm,තහවුරු කරන්න
Contact deleted,සම්බන්ධතාව මකා දැමිණි
Contact Details,සම්බන්ධතා විස්තර
Contact Information,සම්බන්ධතා තොරතුරු
Contact name is required,සම්බන්ධතා නම අවශ්‍යයි
Contact Support,සහාය අමතන්න
Contact your project manager for more information.,වැඩි විස්තර සඳහා ඔබේ ව්‍යාපෘති කළමනාකරු අමතන්න.
Contact:,සම්බන්ධතාව:
Contacts,සම්බන්ධතා
Context,සන්දර්භය
Contractor,කොන්ත්‍රාත්කරු
Cost estimate cannot be negative,පිරිවැය ඇස්තමේන්තුව සෘණ විය නොහැක
Cost Impact,පිරිවැය බලපෑම
Cost Summary,පිරිවැය සාරාංශය
Could not apply the template. Please try again.,සැකිල්ල යෙදිය නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
Could not attach file to project,ව්‍යාපෘතියට ගොනුව ඇමිණිය නොහැකි විය
Could not change task priority,කාර්ය ප්‍රමුඛතාව වෙනස් කිරීමට නොහැකි විය
Could not change task status,කාර්ය තත්ත්වය වෙනස් කිරීමට නොහැකි විය
Could not delete the project. Please try again.,ව්‍යාපෘතිය මකා දැමිය නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
Could not delete the task. Please try again.,කාර්යය මකා දැමිය නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
Could not delete the template.,සැකිල්ල මකා දැමිය නොහැකි විය.
Could not duplicate the task. Please try again.,කාර්යය අනුපිටපත් කිරීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
Could not export the template.,සැකිල්ල නිර්යාත කිරීමට නොහැකි විය.
Could not import the template. Please check the file format.,සැකිල්ල ආනයනය කිරීමට නොහැකි විය. කරුණාකර ගොනු ආකෘතිය පරීක්ෂා කරන්න.
Could not link task to milestone,සන්ධිස්ථානයට කාර්යය සම්බන්ධ කිරීමට නොහැකි විය
Could not load document details.,ලේඛන විස්තර පූරණය කිරීමට නොහැකි විය.
Could not load task details,කාර්ය විස්තර පූරණය කිරීමට නොහැකි විය
Could not promote checklist item to task.,පරීක්ෂා ලැයිස්තු අයිතමය කාර්යයක් බවට උසස් කිරීමට නොහැකි විය.
Could not remove task from milestone,සන්ධිස්ථානයෙන් කාර්යය ඉවත් කිරීමට නොහැකි විය
Could not save budget.,අයවැය සුරැකිය නොහැකි විය.
Could not save changes to the milestone,සන්ධිස්ථානයේ වෙනස්කම් සුරැකිය නොහැකි විය
Could not save changes to the task,කාර්යයේ වෙනස්කම් සුරැකිය නොහැකි විය
Could not save description.,විස්තරය සුරැකිය නොහැකි විය.
Could not save end date.,අවසන් දිනය සුරැකිය නොහැකි විය.
Could not save milestone name.,සන්ධිස්ථාන නම සුරැකිය නොහැකි විය.
Could not save start date.,ආරම්භ දිනය සුරැකිය නොහැකි විය.
Could not save the template. Please try again.,සැකිල්ල සුරැකිය නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
Could not save title.,මාතෘකාව සුරැකිය නොහැකි විය.
Could not update dependency mode.,පරායත්තතා මාදිලිය යාවත්කාලීන කිරීමට නොහැකි විය.
Could not update milestone date,සන්ධිස්ථාන දිනය යාවත්කාලීන කිරීමට නොහැකි විය
Could not update project status.,ව්‍යාපෘති තත්ත්වය යාවත්කාලීන කිරීමට නොහැකි විය.
Could not update project type.,ව්‍යාපෘති වර්ගය යාවත්කාලීන කිරීමට නොහැකි විය.
Could not update setting.,සැකසුම යාවත්කාලීන කිරීමට නොහැකි විය.
Could not update task dates,කාර්ය දිනයන් යාවත්කාලීන කිරීමට නොහැකි විය
Could not update task status,කාර්ය තත්ත්වය යාවත්කාලීන කිරීමට නොහැකි විය
Could not update the template.,සැකිල්ල යාවත්කාලීන කිරීමට නොහැකි විය.
Create a copy of this task,මෙම කාර්යයේ පිටපතක් සාදන්න
Create Contact,සම්බන්ධතාවයක් සාදන්න
Create Event,සිද්ධියක් සාදන්න
Create Milestone,සන්ධිස්ථානයක් සාදන්න
Create New Milestone,නව සන්ධිස්ථානයක් සාදන්න
Create New Task,නව කාර්යයක් සාදන්න
Create Project,ව්‍යාපෘතියක් සාදන්න
Create Task,කාර්යයක් සාදන්න
Create tasks and milestones from a template,සැකිල්ලකින් කාර්යයන් සහ සන්ධිස්ථාන සාදන්න
Create your first project to get started.,ආරම්භ කිරීමට ඔබේ පළමු ව්‍යාපෘතිය සාදන්න.
Create your first task to start tracking work on this project.,මෙම ව්‍යාපෘතිය පිළිබඳ වැඩ නිරීක්ෂණය ආරම්භ කිරීමට ඔබේ පළමු කාර්යය සාදන්න.
Created,සාදන ලද
Creating...,සාදමින්...
Critical,විවේචනාත්මක
Critical Path,විවේචනාත්මක මාර්ගය
"Currency used for budgets, costs, and billing rates","අයවැය, පිරිවැය, සහ බිල් කිරීමේ අනුපාත සඳහා භාවිතා කරන මුදල්"
Current,වත්මන්
Current Assignments,වත්මන් පැවරුම්
Current scheduled time:,වත්මන් උපලේඛිත වේලාව:
Currently running version,Currently running version
d lag,දින ප්‍රමාදය
Daily Availability,දෛනික ලභ්‍යතාව
Daily Hours,දෛනික පැය
Danger Zone,අවදානම් කලාපය
Dark,අඳුරු
Dashboard,උපකරණ පුවරුව
Date,දිනය
Date changes on this task will show cascade impact here,මෙම කාර්යයේ දිනය වෙනස්කම් ගංගා ප්‍රවාහ බලපෑම මෙහි පෙන්වනු ඇත
Date cleared,දිනය ඉවත් කරන ලදී
Date of Joining,බැඳුනු දිනය
Date updated,දිනය යාවත්කාලීන විය
Dates,දිනයන්
Dates cascaded,දිනයන් ගංගා ප්‍රවාහය කරන ලදී
Dates will be relative to the project's start date.,දිනයන් ව්‍යාපෘතියේ ආරම්භ දිනයට සාපේක්ෂ වනු ඇත.
Day,දිනය
day,දිනය
days,දින
Days before due date to send reminder,මතක් කිරීමක් යැවීමට නියමිත දිනයට පෙර දින
Days Overdue,ප්‍රමාද දින
Days Remaining,ඉතිරි දින
Deadline,අවසන් දිනය
Deadlines,අවසන් දිනයන්
Decision,තීරණය
Decline,ප්‍රතික්ෂේප කරන්න
Declined,ප්‍රතික්ෂේප කළ
Default Currency,පෙරනිමි මුදල්
Default hours per week for contact capacity planning,සම්බන්ධතා ධාරිතා සැලසුම් කිරීම සඳහා සතියකට පෙරනිමි පැය
Default Priority,පෙරනිමි ප්‍රමුඛතාව
Default Project Status,පෙරනිමි ව්‍යාපෘති තත්ත්වය
Default Task Status,පෙරනිමි කාර්ය තත්ත්වය
Default task view,පෙරනිමි කාර්ය දසුන
Default Values,පෙරනිමි අගයන්
Default Weekly Capacity,පෙරනිමි සතිපතා ධාරිතාව
Defaults,පෙරනිමි
Defect Cost Impact,දෝෂ පිරිවැය බලපෑම
Defect name is required,දෝෂ නම අවශ්‍යයි
Defect Type,දෝෂ වර්ගය
Defect {0} not found,දෝෂය {0} හමු නොවීය
Defects,දෝෂ
Defects & Issues,දෝෂ සහ ගැටලු
Defects Resolved,විසඳන ලද දෝෂ
Delayed,ප්‍රමාද වූ
Delete,මකන්න
Delete Activity Data,ක්‍රියාකාරකම් දත්ත මකන්න
Delete all read notifications?,කියවූ සියලු දැනුම්දීම් මකන්නද?
Delete comment,අදහස මකන්න
Delete Contact,සම්බන්ධතාව මකන්න
Delete Event,සිද්ධිය මකන්න
Delete Event?,සිද්ධිය මකන්නද?
Delete failed,මකා දැමීම අසාර්ථක විය
Delete file,ගොනුව මකන්න
Delete item,අයිතමය මකන්න
Delete note,සටහන මකන්න
Delete Project,ව්‍යාපෘතිය මකන්න
Delete Task,කාර්යය මකන්න
Delete this project,මෙම ව්‍යාපෘතිය මකන්න
Deleted,මකා දැමූ
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ව්‍යාපෘතිය ""{0}"" මකා දැමිණි (කාර්ය {1}, සන්ධිස්ථාන {2})"
Deletes notes and preferences. Source document is not affected.,සටහන් සහ මනාපයන් මකා දමයි. මූලාශ්‍ර ලේඛනය බලපෑමට ලක් නොවේ.
Deleting...,මකමින්...
Department,දෙපාර්තමේන්තුව
Dependencies,පරායත්තතා
dependencies,පරායත්තතා
Dependencies are informational only,පරායත්තතා තොරතුරු පමණි
dependency,පරායත්තතාව
Dependency already exists,පරායත්තතාව දැනටමත් පවතී
Dependency Chain,පරායත්තතා දාමය
Dependency created,පරායත්ततාව සාදන ලදී
Dependency mode updated,පරායත්තතා මාදිලිය යාවත්කාලීන විය
Dependency name is required,පරායත්තතා නම අවශ්‍යයි
Dependency task {0} not found,පරායත්තතා කාර්යය {0} හමු නොවීය
Dependency {0} not found,පරායත්තතාව {0} හමු නොවීය
depends,රඳා පවතී
Depends on Group,කණ්ඩායමට රඳා පවතී
Depends on task is required,රඳා පවතින කාර්යය අවශ්‍යයි
depends on...,රඳා පවතී...
Descending -- click to reverse,අවරෝහණ -- ආපසු හැරවීමට ක්ලික් කරන්න
Describe the defect in detail...,දෝෂය විස්තරාත්මකව විස්තර කරන්න...
Description,විස්තරය
Description updated,විස්තරය යාවත්කාලීන විය
Designation,තනතුර
"Detailed description of the defect, location, and impact","දෝෂය, ස්ථානය, සහ බලපෑම පිළිබඳ සවිස්තරාත්මක විස්තරය"
Details,විස්තර
Discard timer,කාල ගණකය ඉවතලන්න
Discussion,සාකච්ඡාව
Dismiss,Dismiss
Display,දර්ශනය
Document,ලේඛනය
Document attached to project,ව්‍යාපෘතියට ලේඛනය ඇමිණිණි
Document final decision and rationale,අවසන් තීරණය සහ හේතුකාරණය ලේඛනගත කරන්න
Documentation Review,ලේඛන සමාලෝචනය
Documents,ලේඛන
Done,කළා
Download,බාගන්න
Drag to create dependency,පරායත්තතාවක් සෑදීමට ඇද දමන්න
Dry Run,අත්හදා බැලීම
Dry Run Complete,අත්හදා බැලීම සම්පූර්ණයි
Due Date,නියමිත දිනය
Due date,නියමිත දිනය
