+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
Add item,ഇനം ചേർക്കുക
Add items below to track progress.,പുരോഗതി ട്രാക്ക് ചെയ്യാൻ താഴെ ഇനങ്ങൾ ചേർക്കുക.
Add items below to track subtasks,ഉപ ടാസ്കുകൾ ട്രാക്ക് ചെയ്യാൻ താഴെ ഇനങ്ങൾ ചേർക്കുക
Add Milestone,നാഴികക്കല്ല് ചേർക്കുക
Add Milestone (Shift+M),നാഴികക്കല്ല് ചേർക്കുക (Shift+M)
Add milestones to track key deliverables.,പ്രധാന ഡെലിവറബിളുകൾ ട്രാക്ക് ചെയ്യാൻ നാഴികക്കല്ലുകൾ ചേർക്കുക.
Add New Contact,പുതിയ കോൺടാക്ട് ചേർക്കുക
Add Note,കുറിപ്പ് ചേർക്കുക
Add note,കുറിപ്പ് ചേർക്കുക
Add notes about this contact...,ഈ കോൺടാക്ടിനെക്കുറിച്ച് കുറിപ്പുകൾ ചേർക്കുക...
Add reaction,പ്രതികരണം ചേർക്കുക
Add Skill,നൈപുണ്യം ചേർക്കുക
Add start and due dates to tasks to see them on the Gantt chart,"ഗാന്റ് ചാർട്ടിൽ കാണാൻ ടാസ്കുകളിലേക്ക് ആരംഭ, അവസാന തീയതികൾ ചേർക്കുക"
Add Task,ടാസ്ക് ചേർക്കുക
Add Task (Shift+T),ടാസ്ക് ചേർക്കുക (Shift+T)
Added Finish-to-Start dependency,പൂർത്തീകരണം-ആരംഭം ആശ്രിതത്വം ചേർത്തു
Adding this dependency would create a circular reference: {0},ഈ ആശ്രിതത്വം ചേർക്കുന്നത് ഒരു വൃത്താകാര റഫറൻസ് സൃഷ്ടിക്കും: {0}
Adding...,ചേർക്കുന്നു...
Address,വിലാസം
Advanced,വിപുലമായ
All,എല്ലാം
All Active,എല്ലാ സജീവം
All Assignees,എല്ലാ അസൈനികളും
All Categories,എല്ലാ വിഭാഗങ്ങളും
All caught up!,എല്ലാം കണ്ടു കഴിഞ്ഞു!
All Contexts,എല്ലാ സന്ദർഭങ്ങളും
All day,മുഴുദിനം
All day event,മുഴുദിന ഇവന്റ്
All fields,എല്ലാ ഫീൽഡുകളും
All Priorities,എല്ലാ മുൻഗണനകളും
All Projects,എല്ലാ പ്രോജക്ടുകളും
All Status,എല്ലാ സ്ഥിതിയും
All Statuses,എല്ലാ സ്ഥിതികളും
All task dependencies & relative dates,എല്ലാ ടാസ്ക് ആശ്രിതത്വങ്ങളും & ആപേക്ഷിക തീയതികളും
All Tasks,എല്ലാ ടാസ്കുകളും
All tasks across all projects.,എല്ലാ പ്രോജക്ടുകളിലുമുള്ള എല്ലാ ടാസ്കുകളും.
All tasks are already linked,എല്ലാ ടാസ്കുകളും ഇതിനകം ലിങ്ക് ചെയ്തിട്ടുണ്ട്
All team members,എല്ലാ ടീം അംഗങ്ങളും
All Types,എല്ലാ തരങ്ങളും
All Users,എല്ലാ ഉപയോക്താക്കളും
Allocated,അനുവദിച്ചത്
allocated,അനുവദിച്ചത്
Allow users to log time against tasks,ടാസ്കുകൾക്കെതിരെ സമയം രേഖപ്പെടുത്താൻ ഉപയോക്താക്കളെ അനുവദിക്കുക
Already exported to timesheet {0},ഇതിനകം ടൈംഷീറ്റ് {0} ലേക്ക് എക്സ്പോർട്ട് ചെയ്തു
Already Migrated,ഇതിനകം മൈഗ്രേറ്റ് ചെയ്തു
Anyone with access,ആക്‌സസ് ഉള്ള ആർക്കും
anytime to show this help,ഈ സഹായം കാണിക്കാൻ എപ്പോഴും
App Updates,App Updates
Appearance,രൂപഭാവം
Apply,പ്രയോഗിക്കുക
Apply cascade?,കാസ്കേഡ് പ്രയോഗിക്കണോ?
Apply Changes,മാറ്റങ്ങൾ പ്രയോഗിക്കുക
Apply failed,പ്രയോഗിക്കൽ പരാജയപ്പെട്ടു
Apply Template,ടെംപ്ലേറ്റ് പ്രയോഗിക്കുക
Applying...,പ്രയോഗിക്കുന്നു...
Appointment,അപ്പോയിന്റ്‌മെന്റ്
Appointment and resource are required,അപ്പോയിന്റ്‌മെന്റും വിഭവവും ആവശ്യമാണ്
Appointment name is required,അപ്പോയിന്റ്‌മെന്റ് പേര് ആവശ്യമാണ്
Appointment not found,അപ്പോയിന്റ്‌മെന്റ് കണ്ടെത്തിയില്ല
Appointment {0} not found,അപ്പോയിന്റ്‌മെന്റ് {0} കണ്ടെത്തിയില്ല
Apps,ആപ്പുകൾ
Archive,ആർക്കൈവ് ചെയ്യുക
Archive Activity,പ്രവർത്തനം ആർക്കൈവ് ചെയ്യുക
Archived,ആർക്കൈവ് ചെയ്തു
Are you sure you want to delete this activity data? This cannot be undone.,ഈ പ്രവർത്തന ഡാറ്റ ഇല്ലാതാക്കണമെന്ന് തീർച്ചയാണോ? ഇത് പഴയപടിയാക്കാൻ കഴിയില്ല.
Are you sure you want to delete this comment?,ഈ അഭിപ്രായം ഇല്ലാതാക്കണമെന്ന് തീർച്ചയാണോ?
Are you sure you want to delete this project?,ഈ പ്രോജക്ട് ഇല്ലാതാക്കണമെന്ന് തീർച്ചയാണോ?
Are you sure?,തീർച്ചയാണോ?
Ascending -- click to reverse,ആരോഹണം -- വിപരീതമാക്കാൻ ക്ലിക്ക് ചെയ്യുക
Assign To,അസൈൻ ചെയ്യുക
Assign to Me,എനിക്ക് അസൈൻ ചെയ്യുക
Assigned Contact,അസൈൻ ചെയ്ത കോൺടാക്ട്
Assigned To,അസൈൻ ചെയ്തത്
Assigned to,അസൈൻ ചെയ്തത്
Assigned to Me,എനിക്ക് അസൈൻ ചെയ്തത്
Assignee,അസൈനി
Assignment,അസൈൻമെന്റ്
Assignment History,അസൈൻമെന്റ് ചരിത്രം
Assignment name is required,അസൈൻമെന്റ് പേര് ആവശ്യമാണ്
Assignment {0} not found,അസൈൻമെന്റ് {0} കണ്ടെത്തിയില്ല
Assignments,അസൈൻമെന്റുകൾ
At least one action is required,കുറഞ്ഞത് ഒരു പ്രവർത്തനം ആവശ്യമാണ്
At least one event is required,കുറഞ്ഞത് ഒരു ഇവന്റ് ആവശ്യമാണ്
At least one event must be selected,കുറഞ്ഞത് ഒരു ഇവന്റ് തിരഞ്ഞെടുക്കണം
Attachment,അറ്റാച്ച്‌മെന്റ്
Attachments,അറ്റാച്ച്‌മെന്റുകൾ
Attendees,പങ്കെടുക്കുന്നവർ
"Audit trail, assignments, version history","ഓഡിറ്റ് ട്രെയിൽ, അസൈൻമെന്റുകൾ, പതിപ്പ് ചരിത്രം"
Auto,ഓട്ടോ
Auto Calculate Progress,പുരോഗതി സ്വയം കണക്കാക്കുക
Auto Set Missed Milestones,നഷ്ടമായ നാഴികക്കല്ലുകൾ സ്വയം സജ്ജമാക്കുക
Auto-shift dependents when dates change,തീയതികൾ മാറുമ്പോൾ ആശ്രിതങ്ങളെ സ്വയം മാറ്റുക
Auto-Trail Start,ഓട്ടോ-ട്രെയിൽ ആരംഭം
Auto-Trail updated,ഓട്ടോ-ട്രെയിൽ അപ്‌ഡേറ്റ് ചെയ്തു
Automatically calculate project progress from task completion,ടാസ്ക് പൂർത്തീകരണത്തിൽ നിന്ന് പ്രോജക്ട് പുരോഗതി സ്വയം കണക്കാക്കുക
Automatically mark milestones as missed when overdue,കാലഹരണപ്പെടുമ്പോൾ നാഴികക്കല്ലുകൾ നഷ്ടമായതായി സ്വയം അടയാളപ്പെടുത്തുക
Automation rule {0} not found,ഓട്ടോമേഷൻ നിയമം {0} കണ്ടെത്തിയില്ല
Automation: {0},ഓട്ടോമേഷൻ: {0}
Availability,ലഭ്യത
Available,ലഭ്യമാണ്
Avatar updated successfully,അവതാർ വിജയകരമായി അപ്‌ഡേറ്റ് ചെയ്തു
Avg Progress,ശരാശരി പുരോഗതി
Back,പിന്നോട്ട്
Back to Portal,പോർട്ടലിലേക്ക് മടങ്ങുക
Back to Projects,പ്രോജക്ടുകളിലേക്ക് മടങ്ങുക
Beginner,തുടക്കക്കാരൻ
Best regards,ആശംസകളോടെ
Billable,ബില്ലബിൾ
Billable Amount,ബില്ലബിൾ തുക
Billable Hours,ബില്ലബിൾ മണിക്കൂറുകൾ
Billable Rate,ബില്ലിംഗ് നിരക്ക്
Billing Rate,ബില്ലിംഗ് നിരക്ക്
Blocked,ബ്ലോക്ക് ചെയ്തു
Both dates are needed to display task as a bar in Gantt chart,ഗാന്റ് ചാർട്ടിൽ ടാസ്ക് ഒരു ബാർ ആയി കാണിക്കാൻ രണ്ട് തീയതികളും ആവശ്യമാണ്
Both doctype and docname are required,DocType-ഉം DocName-ഉം ആവശ്യമാണ്
Both proposed start and end times are required,"നിർദ്ദേശിച്ച ആരംഭ, അവസാന സമയങ്ങൾ രണ്ടും ആവശ്യമാണ്"
Both task_name and depends_on are required,task_name-ഉം depends_on-ഉം ആവശ്യമാണ്
Breadcrumb,ബ്രെഡ്‌ക്രംബ്
Brief description of the defect or damage,തകരാറിന്റെ അല്ലെങ്കിൽ കേടുപാടിന്റെ ഹ്രസ്വ വിവരണം
Brief description of this template,ഈ ടെംപ്ലേറ്റിന്റെ ഹ്രസ്വ വിവരണം
Brief description of your request,നിങ്ങളുടെ അഭ്യർത്ഥനയുടെ ഹ്രസ്വ വിവരണം
Brief project description,ഹ്രസ്വ പ്രോജക്ട് വിവരണം
Budget,ബജറ്റ്
Budget at risk,ബജറ്റ് അപകടത്തിൽ
Budget Burn Rate,ബജറ്റ് ഉപഭോഗ നിരക്ക്
Budget Status,ബജറ്റ് സ്ഥിതി
Budget updated,ബജറ്റ് അപ്‌ഡേറ്റ് ചെയ്തു
Budget:,ബജറ്റ്:
Bug,ബഗ്
Burn Rate,ഉപഭോഗ നിരക്ക്
Busy,തിരക്കിലാണ്
By,എഴുതിയത്
By Assignee,അസൈനി പ്രകാരം
By Group,ഗ്രൂപ്പ് പ്രകാരം
By Milestone,നാഴികക്കല്ല് പ്രകാരം
By Priority,മുൻഗണന പ്രകാരം
By Status,സ്ഥിതി പ്രകാരം
Cancel,റദ്ദാക്കുക
Cancelled,റദ്ദാക്കി
cannot be undone,പഴയപടിയാക്കാൻ കഴിയില്ല
Cannot delete client with {0} linked projects. Unlink projects first.,{0} ലിങ്ക് ചെയ്ത പ്രോജക്ടുകളുള്ള ക്ലയന്റിനെ ഇല്ലാതാക്കാൻ കഴിയില്ല. ആദ്യം പ്രോജക്ടുകൾ അൺലിങ്ക് ചെയ്യുക.
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} ലിങ്ക് ചെയ്ത ടാസ്കുകളുള്ള പ്രോജക്ട് ഇല്ലാതാക്കാൻ കഴിയില്ല. ആദ്യം ടാസ്കുകൾ ഇല്ലാതാക്കുക.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} സജീവ അസൈൻമെന്റുകളുള്ള വിഭവം ഇല്ലാതാക്കാൻ കഴിയില്ല. ആദ്യം അവ പൂർത്തിയാക്കുക അല്ലെങ്കിൽ റദ്ദാക്കുക.
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} ഉപ ടാസ്കുകളുള്ള ടാസ്ക് ഇല്ലാതാക്കാൻ കഴിയില്ല. ആദ്യം ഉപ ടാസ്കുകൾ ഇല്ലാതാക്കുക.
Capacity,ശേഷി
capacity,ശേഷി
Capacity & Rates,ശേഷിയും നിരക്കുകളും
Capture project structure for reuse,പുനരുപയോഗത്തിനായി പ്രോജക്ട് ഘടന ക്യാപ്ചർ ചെയ്യുക
Cascade,കാസ്കേഡ്
Cascade Preview,കാസ്കേഡ് പ്രിവ്യൂ
Category,വിഭാഗം
Celebrate,ആഘോഷിക്കുക
Change,മാറ്റുക
Change History,മാറ്റ ചരിത്രം
Change Priority,മുൻഗണന മാറ്റുക
Change Status,സ്ഥിതി മാറ്റുക
Changes,മാറ്റങ്ങൾ
Changes appear when fields are modified.,ഫീൽഡുകൾ പരിഷ്കരിക്കുമ്പോൾ മാറ്റങ്ങൾ ദൃശ്യമാകും.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,ചെക്ക്‌ലിസ്റ്റ്
Checklist item name is required,ചെക്ക്‌ലിസ്റ്റ് ഇനത്തിന്റെ പേര് ആവശ്യമാണ്
Checklist item not found,ചെക്ക്‌ലിസ്റ്റ് ഇനം കണ്ടെത്തിയില്ല
Checklist item title is required,ചെക്ക്‌ലിസ്റ്റ് ഇനത്തിന്റെ ശീർഷകം ആവശ്യമാണ്
Checklist item {0} not found,ചെക്ക്‌ലിസ്റ്റ് ഇനം {0} കണ്ടെത്തിയില്ല
Checklist item {0} not found in task,ടാസ്കിൽ ചെക്ക്‌ലിസ്റ്റ് ഇനം {0} കണ്ടെത്തിയില്ല
Child,ചൈൽഡ്
Choose file to upload,അപ്‌ലോഡ് ചെയ്യാൻ ഫയൽ തിരഞ്ഞെടുക്കുക
Circular dependency detected: {0},വൃത്താകാര ആശ്രിതത്വം കണ്ടെത്തി: {0}
Circular parent-child relationship detected,വൃത്താകാര മാതൃ-ശിശു ബന്ധം കണ്ടെത്തി
Clear,മായ്ക്കുക
Clear all read,വായിച്ചവയെല്ലാം മായ്ക്കുക
Clear date,തീയതി മായ്ക്കുക
Click on an activity from the list to view and manage its details.,വിശദാംശങ്ങൾ കാണാനും നിയന്ത്രിക്കാനും ലിസ്റ്റിൽ നിന്ന് ഒരു പ്രവർത്തനത്തിൽ ക്ലിക്ക് ചെയ്യുക.
Click the avatar to upload a new photo,പുതിയ ഫോട്ടോ അപ്‌ലോഡ് ചെയ്യാൻ അവതാറിൽ ക്ലിക്ക് ചെയ്യുക
Click to add description...,വിവരണം ചേർക്കാൻ ക്ലിക്ക് ചെയ്യുക...
Click to add notes...,കുറിപ്പുകൾ ചേർക്കാൻ ക്ലിക്ക് ചെയ്യുക...
Click to assign contact,കോൺടാക്ട് അസൈൻ ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to change status,സ്ഥിതി മാറ്റാൻ ക്ലിക്ക് ചെയ്യുക
Click to change type,തരം മാറ്റാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit,എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit budget,ബജറ്റ് എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit description,വിവരണം എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit end date,അവസാന തീയതി എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit milestone name,നാഴികക്കല്ല് പേര് എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit rate,നിരക്ക് എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit start date,ആരംഭ തീയതി എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to edit title,ശീർഷകം എഡിറ്റ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to load,ലോഡ് ചെയ്യാൻ ക്ലിക്ക് ചെയ്യുക
Click to set group dependency...,ഗ്രൂപ്പ് ആശ്രിതത്വം സജ്ജമാക്കാൻ ക്ലിക്ക് ചെയ്യുക...
Click to set group...,ഗ്രൂപ്പ് സജ്ജമാക്കാൻ ക്ലിക്ക് ചെയ്യുക...
Click to view,കാണാൻ ക്ലിക്ക് ചെയ്യുക
Click to view at-risk projects,അപകടത്തിലുള്ള പ്രോജക്ടുകൾ കാണാൻ ക്ലിക്ക് ചെയ്യുക
Click to view critical projects,നിർണായക പ്രോജക്ടുകൾ കാണാൻ ക്ലിക്ക് ചെയ്യുക
Click to view healthy projects,ആരോഗ്യകരമായ പ്രോജക്ടുകൾ കാണാൻ ക്ലിക്ക് ചെയ്യുക
Client,ക്ലയന്റ്
Client already has a portal user: {0},ക്ലയന്റിന് ഇതിനകം ഒരു പോർട്ടൽ ഉപയോക്താവുണ്ട്: {0}
Client already has portal access,ക്ലയന്റിന് ഇതിനകം പോർട്ടൽ ആക്‌സസ് ഉണ്ട്
Client has no portal user to revoke,ക്ലയന്റിന് റദ്ദാക്കാൻ പോർട്ടൽ ഉപയോക്താവില്ല
Client link removed from project {0},പ്രോജക്ട് {0}-ൽ നിന്ന് ക്ലയന്റ് ലിങ്ക് നീക്കം ചെയ്തു
Client Portal,ക്ലയന്റ് പോർട്ടൽ
Client {0} deleted successfully,ക്ലയന്റ് {0} വിജയകരമായി ഇല്ലാതാക്കി
Close,അടയ്ക്കുക
Close (Esc),അടയ്ക്കുക (Esc)
Comment,അഭിപ്രായം
comment,അഭിപ്രായം
Comment added,അഭിപ്രായം ചേർത്തു
Comment content is required,അഭിപ്രായ ഉള്ളടക്കം ആവശ്യമാണ്
Comment name is required,അഭിപ്രായ പേര് ആവശ്യമാണ്
Comment not found,അഭിപ്രായം കണ്ടെത്തിയില്ല
Comment removed,അഭിപ്രായം നീക്കം ചെയ്തു
Comment {0} not found in task,ടാസ്കിൽ അഭിപ്രായം {0} കണ്ടെത്തിയില്ല
Comments,അഭിപ്രായങ്ങൾ
comments,അഭിപ്രായങ്ങൾ
Community Edition,Community Edition
Company,കമ്പനി
Company name...,കമ്പനി പേര്...
Complete,പൂർത്തിയാക്കുക
Completed,പൂർത്തിയായി
completed,പൂർത്തിയായി
Completed Tasks,പൂർത്തിയാക്കിയ ടാസ്കുകൾ
Compliance,അനുപാലനം
Configure default values for new projects and tasks,പുതിയ പ്രോജക്ടുകൾക്കും ടാസ്കുകൾക്കും സ്ഥിരസ്ഥിതി മൂല്യങ്ങൾ ക്രമീകരിക്കുക
Configure email notification settings,ഇമെയിൽ അറിയിപ്പ് ക്രമീകരണങ്ങൾ ക്രമീകരിക്കുക
Confirm,സ്ഥിരീകരിക്കുക
Contact deleted,കോൺടാക്ട് ഇല്ലാതാക്കി
Contact Details,കോൺടാക്ട് വിശദാംശങ്ങൾ
Contact Information,കോൺടാക്ട് വിവരങ്ങൾ
Contact name is required,കോൺടാക്ട് പേര് ആവശ്യമാണ്
Contact Support,സപ്പോർട്ടുമായി ബന്ധപ്പെടുക
Contact your project manager for more information.,കൂടുതൽ വിവരങ്ങൾക്ക് നിങ്ങളുടെ പ്രോജക്ട് മാനേജറുമായി ബന്ധപ്പെടുക.
Contact:,കോൺടാക്ട്:
Contacts,കോൺടാക്ടുകൾ
Context,സന്ദർഭം
Contractor,കരാറുകാരൻ
Cost estimate cannot be negative,ചെലവ് കണക്ക് നെഗറ്റീവ് ആകാൻ കഴിയില്ല
Cost Impact,ചെലവ് ആഘാതം
Cost Summary,ചെലവ് സംഗ്രഹം
Could not apply the template. Please try again.,ടെംപ്ലേറ്റ് പ്രയോഗിക്കാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Could not attach file to project,പ്രോജക്ടിലേക്ക് ഫയൽ അറ്റാച്ച് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not change task priority,ടാസ്ക് മുൻഗണന മാറ്റാൻ കഴിഞ്ഞില്ല
Could not change task status,ടാസ്ക് സ്ഥിതി മാറ്റാൻ കഴിഞ്ഞില്ല
Could not delete the project. Please try again.,പ്രോജക്ട് ഇല്ലാതാക്കാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Could not delete the task. Please try again.,ടാസ്ക് ഇല്ലാതാക്കാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Could not delete the template.,ടെംപ്ലേറ്റ് ഇല്ലാതാക്കാൻ കഴിഞ്ഞില്ല.
Could not duplicate the task. Please try again.,ടാസ്ക് ഡ്യൂപ്ലിക്കേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Could not export the template.,ടെംപ്ലേറ്റ് എക്‌സ്‌പോർട്ട് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not import the template. Please check the file format.,ടെംപ്ലേറ്റ് ഇംപോർട്ട് ചെയ്യാൻ കഴിഞ്ഞില്ല. ദയവായി ഫയൽ ഫോർമാറ്റ് പരിശോധിക്കുക.
Could not link task to milestone,ടാസ്ക് നാഴികക്കല്ലിലേക്ക് ലിങ്ക് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not load document details.,ഡോക്യുമെന്റ് വിശദാംശങ്ങൾ ലോഡ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not load task details,ടാസ്ക് വിശദാംശങ്ങൾ ലോഡ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not promote checklist item to task.,ചെക്ക്‌ലിസ്റ്റ് ഇനം ടാസ്കായി പ്രമോട്ട് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not remove task from milestone,നാഴികക്കല്ലിൽ നിന്ന് ടാസ്ക് നീക്കം ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not save budget.,ബജറ്റ് സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not save changes to the milestone,നാഴികക്കല്ലിലെ മാറ്റങ്ങൾ സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not save changes to the task,ടാസ്കിലെ മാറ്റങ്ങൾ സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not save description.,വിവരണം സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not save end date.,അവസാന തീയതി സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not save milestone name.,നാഴികക്കല്ല് പേര് സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not save start date.,ആരംഭ തീയതി സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not save the template. Please try again.,ടെംപ്ലേറ്റ് സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Could not save title.,ശീർഷകം സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not update dependency mode.,ആശ്രിതത്വ മോഡ് അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not update milestone date,നാഴികക്കല്ല് തീയതി അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not update project status.,പ്രോജക്ട് സ്ഥിതി അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not update project type.,പ്രോജക്ട് തരം അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not update setting.,ക്രമീകരണം അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Could not update task dates,ടാസ്ക് തീയതികൾ അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not update task status,ടാസ്ക് സ്ഥിതി അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല
Could not update the template.,ടെംപ്ലേറ്റ് അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിഞ്ഞില്ല.
Create a copy of this task,ഈ ടാസ്കിന്റെ ഒരു പകർപ്പ് സൃഷ്ടിക്കുക
Create Contact,കോൺടാക്ട് സൃഷ്ടിക്കുക
Create Event,ഇവന്റ് സൃഷ്ടിക്കുക
