+ Add Milestone,+ Dodaj prekretnicu
All caught up!,Sve je riješeno!
All Contexts,Svi konteksti
All day,Cijeli dan
All day event,Cjelodnevni događaj
All fields,Sva polja
All Priorities,Svi prioriteti
All Projects,Svi projekti
All Status,Svi statusi
All Statuses,Svi statusi
All task dependencies & relative dates,Sve ovisnosti zadataka i relativni datumi
All Tasks,Svi zadaci
All tasks across all projects.,Svi zadaci u svim projektima.
All tasks are already linked,Svi zadaci su već povezani
All team members,Svi članovi tima
All Types,Sve vrste
All Users,Svi korisnici
Allocated,Dodijeljeno
allocated,dodijeljeno
Allow users to log time against tasks,Dopustite korisnicima zapisivanje vremena za zadatke
Already exported to timesheet {0},Već izvezeno u evidenciju rada {0}
Already Migrated,Već migrirano
Anyone with access,Svatko s pristupom
anytime to show this help,bilo kada za prikaz ove pomoći
App Updates,App Updates
Appearance,Izgled
Apply,Primijeni
Apply cascade?,Primijeniti kaskadu?
Apply Changes,Primijeni promjene
Apply failed,Primjena neuspješna
Apply Template,Primijeni predložak
Applying...,Primjenjivanje...
Appointment,Sastanak
Appointment and resource are required,Sastanak i resurs su obavezni
Appointment name is required,Naziv sastanka je obavezan
Appointment not found,Sastanak nije pronađen
Appointment {0} not found,Sastanak {0} nije pronađen
Apps,Aplikacije
Archive,Arhiviraj
Archive Activity,Arhiviraj aktivnost
Archived,Arhivirano
Are you sure you want to delete this activity data? This cannot be undone.,Jeste li sigurni da želite izbrisati ove podatke o aktivnosti? Ova radnja se ne može poništiti.
Are you sure you want to delete this comment?,Jeste li sigurni da želite izbrisati ovaj komentar?
Are you sure you want to delete this project?,Jeste li sigurni da želite izbrisati ovaj projekt?
Are you sure?,Jeste li sigurni?
Ascending -- click to reverse,Uzlazno -- kliknite za obrtanje
Assign To,Dodijeli
Assign to Me,Dodijeli meni
Assigned Contact,Dodijeljeni kontakt
Assigned To,Dodijeljeno
Assigned to,Dodijeljeno
Assigned to Me,Dodijeljeno meni
Assignee,Dodijeljeni
Assignment,Dodjela
Assignment History,Povijest dodjela
Assignment name is required,Naziv dodjele je obavezan
Assignment {0} not found,Dodjela {0} nije pronađena
Assignments,Dodjele
At least one action is required,Potrebna je barem jedna radnja
At least one event is required,Potreban je barem jedan događaj
At least one event must be selected,Mora biti odabran barem jedan događaj
Attachment,Privitak
Attachments,Privici
Attendees,Sudionici
"Audit trail, assignments, version history","Trag izmjena, dodjele, povijest verzija"
Auto,Automatski
Auto Calculate Progress,Automatski izračunaj napredak
Auto Set Missed Milestones,Automatski označi propuštene prekretnice
Auto-shift dependents when dates change,Automatski pomakni ovisne pri promjeni datuma
Auto-Trail Start,Automatski pomak početka
Auto-Trail updated,Automatski pomak ažuriran
Automatically calculate project progress from task completion,Automatski izračunaj napredak projekta iz dovršenosti zadataka
Automatically mark milestones as missed when overdue,Automatski označi prekretnice kao propuštene kada kasne
Automation rule {0} not found,Pravilo automatizacije {0} nije pronađeno
Automation: {0},Automatizacija: {0}
Availability,Dostupnost
Available,Dostupno
Avatar updated successfully,Profilna slika uspješno ažurirana
Avg Progress,Prosječni napredak
Back,Natrag
Back to Portal,Natrag na portal
Back to Projects,Natrag na projekte
Beginner,Početnik
Best regards,Srdačan pozdrav
Billable,Naplativo
Billable Amount,Naplativ iznos
Billable Hours,Naplativi sati
Billable Rate,Naplativa stopa
Billing Rate,Stopa naplate
Blocked,Blokirano
Both dates are needed to display task as a bar in Gantt chart,Oba datuma su potrebna za prikaz zadatka kao trake u Gantt dijagramu
Both doctype and docname are required,I doctype i docname su obavezni
Both proposed start and end times are required,I predloženo vrijeme početka i završetka su obavezni
Both task_name and depends_on are required,I task_name i depends_on su obavezni
Breadcrumb,Tragovi navigacije
Brief description of the defect or damage,Kratki opis nedostatka ili oštećenja
Brief description of this template,Kratki opis ovog predloška
Brief description of your request,Kratki opis vašeg zahtjeva
Brief project description,Kratki opis projekta
Budget,Proračun
Budget at risk,Proračun u opasnosti
Budget Burn Rate,Brzina potrošnje proračuna
Budget Status,Status proračuna
Budget updated,Proračun ažuriran
Budget:,Proračun:
Bug,Greška
Burn Rate,Brzina potrošnje
Busy,Zauzet
By,Od
By Assignee,Po dodijeljenom
By Group,Po grupi
By Milestone,Po prekretnici
By Priority,Po prioritetu
By Status,Po statusu
Cancel,Otkaži
Cancelled,Otkazano
cannot be undone,ne može se poništiti
Cannot delete client with {0} linked projects. Unlink projects first.,Nije moguće izbrisati klijenta s {0} povezanih projekata. Prvo odspojite projekte.
Cannot delete project with {0} linked tasks. Delete tasks first.,Nije moguće izbrisati projekt s {0} povezanih zadataka. Prvo izbrišite zadatke.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Nije moguće izbrisati resurs s {0} aktivnih dodjela. Prvo ih dovršite ili otkažite.
Cannot delete task with {0} subtasks. Delete subtasks first.,Nije moguće izbrisati zadatak s {0} podzadataka. Prvo izbrišite podzadatke.
Capacity,Kapacitet
capacity,kapacitet
Capacity & Rates,Kapacitet i stope
Capture project structure for reuse,Spremi strukturu projekta za ponovnu upotrebu
Cascade,Kaskada
Cascade Preview,Pretpregled kaskade
Category,Kategorija
Celebrate,Proslavi
Change,Promijeni
Change History,Povijest promjena
Change Priority,Promijeni prioritet
Change Status,Promijeni status
Changes,Promjene
Changes appear when fields are modified.,Promjene se pojavljuju kada su polja izmijenjena.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Kontrolni popis
Checklist item name is required,Naziv stavke kontrolnog popisa je obavezan
Checklist item not found,Stavka kontrolnog popisa nije pronađena
Checklist item title is required,Naslov stavke kontrolnog popisa je obavezan
Checklist item {0} not found,Stavka kontrolnog popisa {0} nije pronađena
Checklist item {0} not found in task,Stavka kontrolnog popisa {0} nije pronađena u zadatku
Child,Podzadatak
Choose file to upload,Odaberite datoteku za prijenos
Circular dependency detected: {0},Otkrivena kružna ovisnost: {0}
Circular parent-child relationship detected,Otkriven kružni odnos nadređeni-podređeni
Clear,Očisti
Clear all read,Očisti sve pročitane
Clear date,Očisti datum
Click on an activity from the list to view and manage its details.,Kliknite na aktivnost s popisa za pregled i upravljanje pojedinostima.
Click the avatar to upload a new photo,Kliknite na profilnu sliku za prijenos nove fotografije
Click to add description...,Kliknite za dodavanje opisa...
Click to add notes...,Kliknite za dodavanje bilješki...
Click to assign contact,Kliknite za dodjelu kontakta
Click to change status,Kliknite za promjenu statusa
Click to change type,Kliknite za promjenu vrste
Click to edit,Kliknite za uređivanje
Click to edit budget,Kliknite za uređivanje proračuna
Click to edit description,Kliknite za uređivanje opisa
Click to edit end date,Kliknite za uređivanje datuma završetka
Click to edit milestone name,Kliknite za uređivanje naziva prekretnice
Click to edit rate,Kliknite za uređivanje stope
Click to edit start date,Kliknite za uređivanje datuma početka
Click to edit title,Kliknite za uređivanje naslova
Click to load,Kliknite za učitavanje
Click to set group dependency...,Kliknite za postavljanje grupne ovisnosti...
Click to set group...,Kliknite za postavljanje grupe...
Click to view,Kliknite za pregled
Click to view at-risk projects,Kliknite za pregled ugroženih projekata
Click to view critical projects,Kliknite za pregled kritičnih projekata
Click to view healthy projects,Kliknite za pregled zdravih projekata
Client,Klijent
Client already has a portal user: {0},Klijent već ima korisnika portala: {0}
Client already has portal access,Klijent već ima pristup portalu
Client has no portal user to revoke,Klijent nema korisnika portala za opoziv
Client link removed from project {0},Veza klijenta uklonjena iz projekta {0}
Client Portal,Klijentski portal
Client {0} deleted successfully,Klijent {0} uspješno izbrisan
Close,Zatvori
Close (Esc),Zatvori (Esc)
Comment,Komentar
comment,komentar
Comment added,Komentar dodan
Comment content is required,Sadržaj komentara je obavezan
Comment name is required,Naziv komentara je obavezan
Comment not found,Komentar nije pronađen
Comment removed,Komentar uklonjen
Comment {0} not found in task,Komentar {0} nije pronađen u zadatku
Comments,Komentari
comments,komentari
Community Edition,Community Edition
Company,Tvrtka
Company name...,Naziv tvrtke...
Complete,Dovrši
Completed,Dovršeno
completed,dovršeno
Completed Tasks,Dovršeni zadaci
Compliance,Usklađenost
Configure default values for new projects and tasks,Postavi zadane vrijednosti za nove projekte i zadatke
Configure email notification settings,Postavi postavke obavijesti e-poštom
Confirm,Potvrdi
Contact deleted,Kontakt izbrisan
Contact Details,Pojedinosti kontakta
Contact Information,Kontaktni podaci
Contact name is required,Ime kontakta je obavezno
Contact Support,Obratite se podršci
Contact your project manager for more information.,Za više informacija obratite se voditelju projekta.
Contact:,Kontakt:
Contacts,Kontakti
Context,Kontekst
Contractor,Izvođač
Cost estimate cannot be negative,Procjena troškova ne može biti negativna
Cost Impact,Utjecaj na troškove
Cost Summary,Sažetak troškova
Could not apply the template. Please try again.,Primjena predloška nije uspjela. Molimo pokušajte ponovo.
Could not attach file to project,Dodavanje datoteke projektu nije uspjelo
Could not change task priority,Promjena prioriteta zadatka nije uspjela
Could not change task status,Promjena statusa zadatka nije uspjela
Could not delete the project. Please try again.,Brisanje projekta nije uspjelo. Molimo pokušajte ponovo.
Could not delete the task. Please try again.,Brisanje zadatka nije uspjelo. Molimo pokušajte ponovo.
Could not delete the template.,Brisanje predloška nije uspjelo.
Could not duplicate the task. Please try again.,Dupliciranje zadatka nije uspjelo. Molimo pokušajte ponovo.
Could not export the template.,Izvoz predloška nije uspio.
Could not import the template. Please check the file format.,Uvoz predloška nije uspio. Molimo provjerite format datoteke.
Could not link task to milestone,Povezivanje zadatka s prekretnicom nije uspjelo
Could not load document details.,Učitavanje pojedinosti dokumenta nije uspjelo.
Could not load task details,Učitavanje pojedinosti zadatka nije uspjelo
Could not promote checklist item to task.,Pretvaranje stavke popisa u zadatak nije uspjelo.
Could not remove task from milestone,Uklanjanje zadatka iz prekretnice nije uspjelo
Could not save budget.,Spremanje proračuna nije uspjelo.
Could not save changes to the milestone,Spremanje promjena prekretnice nije uspjelo
Could not save changes to the task,Spremanje promjena zadatka nije uspjelo
Could not save description.,Spremanje opisa nije uspjelo.
Could not save end date.,Spremanje datuma završetka nije uspjelo.
Could not save milestone name.,Spremanje naziva prekretnice nije uspjelo.
Could not save start date.,Spremanje datuma početka nije uspjelo.
Could not save the template. Please try again.,Spremanje predloška nije uspjelo. Molimo pokušajte ponovo.
Could not save title.,Spremanje naslova nije uspjelo.
Could not update dependency mode.,Ažuriranje načina ovisnosti nije uspjelo.
Could not update milestone date,Ažuriranje datuma prekretnice nije uspjelo
Could not update project status.,Ažuriranje statusa projekta nije uspjelo.
Could not update project type.,Ažuriranje vrste projekta nije uspjelo.
Could not update setting.,Ažuriranje postavke nije uspjelo.
Could not update task dates,Ažuriranje datuma zadatka nije uspjelo
Could not update task status,Ažuriranje statusa zadatka nije uspjelo
Could not update the template.,Ažuriranje predloška nije uspjelo.
Create a copy of this task,Stvori kopiju ovog zadatka
Create Contact,Stvori kontakt
Create Event,Stvori događaj
Create Milestone,Stvori prekretnicu
Create New Milestone,Stvori novu prekretnicu
Create New Task,Stvori novi zadatak
Create Project,Stvori projekt
Create Task,Stvori zadatak
Create tasks and milestones from a template,Stvori zadatke i prekretnice iz predloška
Create your first project to get started.,Stvorite svoj prvi projekt za početak.
Create your first task to start tracking work on this project.,Stvorite prvi zadatak za praćenje rada na ovom projektu.
Created,Stvoreno
Creating...,Stvaranje...
Critical,Kritično
Critical Path,Kritični put
"Currency used for budgets, costs, and billing rates","Valuta za proračune, troškove i stope naplate"
Current,Trenutno
Current Assignments,Trenutne dodjele
Current scheduled time:,Trenutno zakazano vrijeme:
Currently running version,Currently running version
d lag,d kašnjenje
Daily Availability,Dnevna dostupnost
Daily Hours,Dnevni sati
Danger Zone,Opasna zona
Dark,Tamno
Dashboard,Nadzorna ploča
Date,Datum
Date changes on this task will show cascade impact here,Promjene datuma ovog zadatka prikazat će kaskadni utjecaj ovdje
Date cleared,Datum očišćen
Date of Joining,Datum pridruživanja
Date updated,Datum ažuriran
Dates,Datumi
Dates cascaded,Datumi kaskadno pomaknuti
Dates will be relative to the project's start date.,Datumi će biti relativni u odnosu na datum početka projekta.
Day,Dan
day,dan
days,dana
Days before due date to send reminder,Dana prije roka za slanje podsjetnika
Days Overdue,Dana kašnjenja
Days Remaining,Dana preostalo
Deadline,Rok
Deadlines,Rokovi
Decision,Odluka
Decline,Odbij
Declined,Odbijeno
Default Currency,Zadana valuta
Default hours per week for contact capacity planning,Zadani sati tjedno za planiranje kapaciteta kontakata
Default Priority,Zadani prioritet
Default Project Status,Zadani status projekta
Default Task Status,Zadani status zadatka
Default task view,Zadani prikaz zadataka
Default Values,Zadane vrijednosti
Default Weekly Capacity,Zadani tjedni kapacitet
Defaults,Zadane vrijednosti
Defect Cost Impact,Financijski utjecaj nedostatka
Defect name is required,Naziv nedostatka je obavezan
Defect Type,Vrsta nedostatka
Defect {0} not found,Nedostatak {0} nije pronađen
Defects,Nedostaci
Defects & Issues,Nedostaci i problemi
Defects Resolved,Riješeni nedostaci
Delayed,Odgođeno
Delete,Izbriši
Delete Activity Data,Izbriši podatke o aktivnosti
Delete all read notifications?,Izbrisati sve pročitane obavijesti?
Delete comment,Izbriši komentar
Delete Contact,Izbriši kontakt
Delete Event,Izbriši događaj
Delete Event?,Izbrisati događaj?
Delete failed,Brisanje neuspješno
Delete file,Izbriši datoteku
Delete item,Izbriši stavku
Delete note,Izbriši bilješku
Delete Project,Izbriši projekt
Delete Task,Izbriši zadatak
Delete this project,Izbriši ovaj projekt
Deleted,Izbrisano
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekt ""{0}"" izbrisan ({1} zadataka, {2} prekretnica)"
Deletes notes and preferences. Source document is not affected.,Briše bilješke i postavke. Izvorni dokument nije pogođen.
Deleting...,Brisanje...
Department,Odjel
Dependencies,Ovisnosti
dependencies,ovisnosti
Dependencies are informational only,Ovisnosti su samo informativne
dependency,ovisnost
Dependency already exists,Ovisnost već postoji
Dependency Chain,Lanac ovisnosti
Dependency created,Ovisnost stvorena
Dependency mode updated,Način ovisnosti ažuriran
Dependency name is required,Naziv ovisnosti je obavezan
Dependency task {0} not found,Zadatak ovisnosti {0} nije pronađen
Dependency {0} not found,Ovisnost {0} nije pronađena
depends,ovisi
Depends on Group,Ovisi o grupi
Depends on task is required,Zadatak ovisnosti je obavezan
depends on...,ovisi o...
Descending -- click to reverse,Silazno -- kliknite za obrtanje
Describe the defect in detail...,Opišite nedostatak detaljno...
Description,Opis
Description updated,Opis ažuriran
Designation,Funkcija
"Detailed description of the defect, location, and impact","Detaljan opis nedostatka, lokacije i utjecaja"
Details,Pojedinosti
Discard timer,Odbaci mjerač vremena
Discussion,Rasprava
Dismiss,Dismiss
Display,Prikaz
Document,Dokument
Document attached to project,Dokument priložen projektu
Document final decision and rationale,Zabilježi konačnu odluku i obrazloženje
Documentation Review,Pregled dokumentacije
Documents,Dokumenti
Done,Gotovo
Download,Preuzmi
Drag to create dependency,Povucite za stvaranje ovisnosti
Dry Run,Probni pokus
Dry Run Complete,Probni pokus završen
Due Date,Rok
Due date,Rok
Due Date (Earliest),Rok (najraniji)
Due date cannot be before start date,Rok ne može biti prije datuma početka
Due date is in the past,Rok je u prošlosti
Due Date Reminders,Podsjetnici za rok
Due Diligence,Provjera
Due Diligence Checklist,Kontrolni popis provjere
Due This Week,Rok ovaj tjedan
Due:,Rok:
Duplicate events are not allowed,Dvostruki događaji nisu dopušteni
Duplicate failed,Dupliciranje neuspješno
Duplicate Task,Dupliciraj zadatak
Duration,Trajanje
Duration Summary,Sažetak trajanja
Duration:,Trajanje:
e.g. Cracked wall finish in bathroom...,npr. Napuknuta zidna obloga u kupaonici...
"e.g. Electrical, Plumbing...","npr. Električne instalacije, Vodovod..."
Edit,Uredi
Edit (E),Uredi (E)
Edit dependency,Uredi ovisnost
Edit Event,Uredi događaj
Efficiency,Učinkovitost
Either dependency_name or depends_on is required,dependency_name ili depends_on je obavezan
Email,E-pošta
Email invitations to all attendees,Pozivnice e-poštom svim sudionicima
Email is required to create portal user,E-pošta je potrebna za stvaranje korisnika portala
Email notifications,Obavijesti e-poštom
Employee,Zaposlenik
Employee DocType not available,DocType Zaposlenik nije dostupan
Employee not found,Zaposlenik nije pronađen
Enable or disable optional features,Omogući ili onemogući neobavezne značajke
Enable Time Tracking,Omogući praćenje vremena
End,Završetak
End Date,Datum završetka
End date,Datum završetka
End Date cannot be before Start Date,Datum završetka ne može biti prije datuma početka
End date cannot be before start date,Datum završetka ne može biti prije datuma početka
End date updated,Datum završetka ažuriran
End time was before start time. Adjusted to 1 hour after start.,Vrijeme završetka bilo je prije vremena početka. Prilagođeno na 1 sat nakon početka.
End:,Završetak:
Enter milestone name...,Unesite naziv prekretnice...
Enter project name,Unesite naziv projekta
Enter task title...,Unesite naslov zadatka...
Enter template name,Unesite naziv predloška
Enter your note... Use @name to mention someone,Unesite bilješku... Koristite @ime za spominjanje nekoga
Error,Greška
Error loading activity,Greška pri učitavanju aktivnosti
Error loading contacts,Greška pri učitavanju kontakata
Error loading dashboard,Greška pri učitavanju nadzorne ploče
Error loading project,Greška pri učitavanju projekta
Error loading projects,Greška pri učitavanju projekata
Error loading settings,Greška pri učitavanju postavki
Error loading tasks,Greška pri učitavanju zadataka
Error loading templates,Greška pri učitavanju predložaka
Est. Hours,Proc. sati
Estimated,Procijenjeno
Estimated Cost,Procijenjeni trošak
Estimated Cost (€),Procijenjeni trošak (€)
Estimated Hours,Procijenjeni sati
Estimated:,Procijenjeno:
Evaluate potential risks and concerns,Procijenite moguće rizike i nedoumice
Event,Događaj
Event is required for event context,Događaj je obavezan za kontekst događaja
Event is required when tracking context is 'event',"Događaj je obavezan kada je kontekst praćenja „događaj""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Vrsta događaja
Events,Događaji
Events not available. Please run: bench --site orga.localhost migrate,Događaji nisu dostupni. Pokrenite: bench --site orga.localhost migrate
Events:,Događaji:
Expert,Stručnjak
Explain why you are proposing a different time...,Objasnite zašto predlažete drugo vrijeme...
Export,Izvezi
Export failed,Izvoz neuspješan
Export JSON,Izvezi JSON
Exported,Izvezeno
Exported to timesheet {0},Izvezeno u evidenciju rada {0}
External,Vanjski
Failed to add item,Dodavanje stavke neuspješno
Failed to add note,Dodavanje bilješke neuspješno
Failed to add skill,Dodavanje vještine neuspješno
Failed to apply cascade changes: {0},Primjena kaskadnih promjena neuspješna: {0}
Failed to create defect,Stvaranje nedostatka neuspješno
Failed to create dependency,Stvaranje ovisnosti neuspješno
Failed to create event,Stvaranje događaja neuspješno
Failed to create milestone,Stvaranje prekretnice neuspješno
Failed to create project,Stvaranje projekta neuspješno
Failed to create task,Stvaranje zadatka neuspješno
Failed to create time log,Stvaranje zapisa vremena neuspješno
Failed to delete,Brisanje neuspješno
Failed to delete comment,Brisanje komentara neuspješno
Failed to delete contact,Brisanje kontakta neuspješno
Failed to load,Učitavanje neuspješno
Failed to load activity,Učitavanje aktivnosti neuspješno
Failed to load assignments,Učitavanje dodjela neuspješno
Failed to load contact,Učitavanje kontakta neuspješno
Failed to load dashboard data,Učitavanje podataka nadzorne ploče neuspješno
Failed to load defects,Učitavanje nedostataka neuspješno
Failed to load events,Učitavanje događaja neuspješno
Failed to load project,Učitavanje projekta neuspješno
Failed to load projects,Učitavanje projekata neuspješno
Failed to load report data,Učitavanje podataka izvješća neuspješno
Failed to load settings,Učitavanje postavki neuspješno
Failed to load tasks,Učitavanje zadataka neuspješno
Failed to move task,Premještanje zadatka neuspješno
Failed to post comment,Objavljivanje komentara neuspješno
Failed to propose new time,Predlaganje novog vremena neuspješno
Failed to remove item,Uklanjanje stavke neuspješno
Failed to remove skill,Uklanjanje vještine neuspješno
Failed to reorder milestones: {0},Promjena redoslijeda prekretnica neuspješna: {0}
Failed to reorder tasks: {0},Promjena redoslijeda zadataka neuspješna: {0}
Failed to reschedule dependent tasks: {0},Premještanje ovisnih zadataka neuspješno: {0}
Failed to save,Spremanje neuspješno
Failed to save preferences,Spremanje postavki neuspješno
Failed to save settings,Spremanje postavki neuspješno
Failed to submit request. Please try again.,Slanje zahtjeva neuspješno. Molimo pokušajte ponovo.
Failed to update item,Ažuriranje stavke neuspješno
Failed to update priority,Ažuriranje prioriteta neuspješno
Failed to update task,Ažuriranje zadatka neuspješno
Failed to update tasks: {0},Ažuriranje zadataka neuspješno: {0}
Failed to upload avatar,Prijenos profilne slike neuspješan
Feature,Značajka
Features,Značajke
FF (Finish-Finish),FF (Završetak-Završetak)
FF - Finish-to-Finish,FF - Završetak-Završetak
Field has been updated,Polje je ažurirano
Field name is required for 'Set Field Value' action,"Naziv polja je obavezan za radnju „Postavi vrijednost polja""
Field {0} is not a Link field,Polje {0} nije polje vrste Veza
Field {0} not found in {1},Polje {0} nije pronađeno u {1}
File,Datoteka
File does not belong to this task,Datoteka ne pripada ovom zadatku
File name is required,Naziv datoteke je obavezan
File uploaded,Datoteka prenesena
File {0} not found,Datoteka {0} nije pronađena
Files,Datoteke
Filter,Filtar
Final Decision,Konačna odluka
Finance,Financije
Financial,Financijsko
Finish-to-Finish,Završetak-Završetak
Finish-to-Start,Završetak-Početak
Flag,Označi
Flag for attention,Označi za pozornost
Flagged,Označeno
Follows your system preference. Currently:,Prati vašu postavku sustava. Trenutno:
Focus Panel,Ploča fokusa
Frappe Project {0} not found,Frappe projekt {0} nije pronađen
Frappe Projects Migration,Migracija Frappe Projects
Frappe Projects module not available,Modul Frappe Projects nije dostupan
Frappe Projects module not installed,Modul Frappe Projects nije instaliran
Frappe Projects sync is not enabled,Sinkronizacija Frappe Projects nije omogućena
Frappe Task DocType not found,DocType Frappe zadatak nije pronađen
Frappe Task has no project,Frappe zadatak nema projekt
Frappe Task {0} not found,Frappe zadatak {0} nije pronađen
Fri,Pet
From,Od
From Template,Iz predloška
Full form view with audit trail,Potpuni prikaz s tragom izmjena
Full name,Puno ime
Gantt,Gantt
Gantt Chart,Gantt dijagram
Gantt View,Gantt prikaz
General Note,Opća bilješka
Get started,Započnite
Go back,Natrag
Group by,Grupiraj po
Group dependency removed,Grupna ovisnost uklonjena
Group dependency set,Grupna ovisnost postavljena
Group removed,Grupa uklonjena
Group updated,Grupa ažurirana
Hammock task dates are auto-calculated and cannot be changed manually,Datumi viseće zadataka automatski se izračunavaju i ne mogu se ručno mijenjati
Have a question or need assistance? Fill out the form below and our team will get back to you."""
Field {0} is not a Link field,Polje {0} nije polje za povezivanje
Field {0} not found in {1},Polje {0} nije pronađeno u {1}
file,datoteka
File,Datoteka
File does not belong to this task,Datoteka ne pripada ovom zadatku
File name is required,Naziv datoteke je obavezan
File uploaded,Datoteka je učitana
File {0} not found,Datoteka {0} nije pronađena
files,datoteke
Files,Datoteke
Filter,Filtar
Final Decision,Konačna odluka
Finance,Financije
Financial,Financijski
Finish-to-Finish,Završetak-do-Završetka
Finish-to-Start,Završetak-do-Početka
Flag,Oznaka
Flag for attention,Označi za pozornost
Flagged,Označeno
Focus Panel,Panel fokusa
Follows your system preference. Currently:,Prati postavke vašeg sustava. Trenutno:
Frappe Project {0} not found,Frappe projekt {0} nije pronađen
Frappe Projects Migration,Migracija Frappe Projects
Frappe Projects module not available,Modul Frappe Projects nije dostupan
Frappe Projects module not installed,Modul Frappe Projects nije instaliran
Frappe Projects sync is not enabled,Sinkronizacija s Frappe Projects nije omogućena
Frappe Task DocType not found,Frappe Task DocType nije pronađen
Frappe Task has no project,Frappe zadatak nema projekt
Frappe Task {0} not found,Frappe zadatak {0} nije pronađen
Fri,Pet
From,Od
From Template,Iz predloška
FS (Finish-Start),FS (Završetak-Početak)
FS - Finish-to-Start (default),FS - Završetak-Početak (zadano)
Full form view with audit trail,Potpuni prikaz obrasca s revizijskim tragom
Full name,Puno ime
Gantt,Gantt
Gantt Chart,Gantt dijagram
Gantt View,Gantt prikaz
General Note,Opća bilješka
Get started,Započnite
Go back,Natrag
Go Back,Go Back
Group by,Grupiraj po
Group dependency removed,Grupna ovisnost uklonjena
Group dependency set,Grupna ovisnost postavljena
Group removed,Grupa uklonjena
Group updated,Grupa ažurirana
Hammock task dates are auto-calculated and cannot be changed manually,Datumi hammock zadataka automatski se izračunavaju i ne mogu se ručno mijenjati
Have a question or need assistance? Fill out the form below and our team will get back to you.,Imate pitanje ili trebate pomoć? Ispunite obrazac ispod i naš tim će vam se javiti.
Health,Zdravlje
Healthy,Zdravo
Hello {0},Pozdrav {0}
