+ Add Milestone,+ टप्पा जोडा
Appointment not found,भेट सापडली नाही
Appointment {0} not found,भेट {0} सापडली नाही
Apps,अॅप्स
Archive,संग्रहित करा
Archive Activity,हालचाल संग्रहित करा
Archived,संग्रहित
Are you sure you want to delete this activity data? This cannot be undone.,तुम्हाला खरोखर ही हालचाली डेटा हटवायचा आहे? हे पूर्ववत करता येणार नाही.
Are you sure you want to delete this comment?,तुम्हाला खरोखर ही प्रतिक्रिया हटवायची आहे?
Are you sure you want to delete this project?,तुम्हाला खरोखर हा प्रकल्प हटवायचा आहे?
Are you sure?,तुम्हाला खात्री आहे?
Ascending -- click to reverse,चढता क्रम -- उलटण्यासाठी क्लिक करा
Assign To,यांना नेमा
Assign to Me,मला नेमा
Assigned Contact,नेमलेला संपर्क
Assigned To,यांना नेमले
Assigned to,यांना नेमले
Assigned to Me,मला नेमले
Assignee,नेमणूकधारक
Assignment,नेमणूक
Assignment History,नेमणूक इतिहास
Assignment name is required,नेमणुकीचे नाव आवश्यक आहे
Assignment {0} not found,नेमणूक {0} सापडली नाही
Assignments,नेमणुका
At least one action is required,किमान एक कृती आवश्यक आहे
At least one event is required,किमान एक कार्यक्रम आवश्यक आहे
At least one event must be selected,किमान एक कार्यक्रम निवडणे आवश्यक आहे
Attachment,संलग्नक
Attachments,संलग्नके
Attendees,सहभागी
"Audit trail, assignments, version history","ऑडिट ट्रेल, नेमणुका, आवृत्ती इतिहास"
Auto,स्वयंचलित
Auto Calculate Progress,प्रगती स्वयंचलित गणना करा
Auto Set Missed Milestones,चुकलेले टप्पे स्वयंचलित चिन्हांकित करा
Auto-shift dependents when dates change,तारखा बदलतात तेव्हा अवलंबित कामे स्वयंचलित सरकवा
Auto-Trail Start,स्वयं-सरकणारी सुरुवात
Auto-Trail updated,स्वयं-सरकणारी अद्यतनित
Automatically calculate project progress from task completion,कामे पूर्ण झाल्यावर प्रकल्पाची प्रगती स्वयंचलित गणना करा
Automatically mark milestones as missed when overdue,मुदत उलटल्यावर टप्पे स्वयंचलित चुकले म्हणून चिन्हांकित करा
Automation rule {0} not found,स्वयंचलन नियम {0} सापडला नाही
Automation: {0},स्वयंचलन: {0}
Availability,उपलब्धता
Available,उपलब्ध
Avatar updated successfully,अवतार यशस्वीरित्या अद्यतनित
Avg Progress,सरासरी प्रगती
Back,मागे
Back to Portal,पोर्टलवर परत
Back to Projects,प्रकल्पांवर परत
Beginner,नवशिक्या
Best regards,शुभेच्छा
Billable,बिलयोग्य
Billable Amount,बिलयोग्य रक्कम
Billable Hours,बिलयोग्य तास
Billable Rate,बिलयोग्य दर
Billing Rate,बिलिंग दर
Blocked,अवरोधित
Both dates are needed to display task as a bar in Gantt chart,Gantt चार्टमध्ये काम बार म्हणून दाखवण्यासाठी दोन्ही तारखा आवश्यक आहेत
Both doctype and docname are required,doctype आणि docname दोन्ही आवश्यक आहेत
Both proposed start and end times are required,प्रस्तावित सुरुवात आणि शेवटची वेळ दोन्ही आवश्यक आहेत
Both task_name and depends_on are required,task_name आणि depends_on दोन्ही आवश्यक आहेत
Breadcrumb,ब्रेडक्रंब
Brief description of the defect or damage,दोष किंवा नुकसानाचे थोडक्यात वर्णन
Brief description of this template,या टेम्पलेटचे थोडक्यात वर्णन
Brief description of your request,तुमच्या विनंतीचे थोडक्यात वर्णन
Brief project description,प्रकल्पाचे थोडक्यात वर्णन
Budget,अंदाजपत्रक
Budget at risk,अंदाजपत्रक धोक्यात
Budget Burn Rate,अंदाजपत्रक वापर दर
Budget Status,अंदाजपत्रक स्थिती
Budget updated,अंदाजपत्रक अद्यतनित
Budget:,अंदाजपत्रक:
Bug,बग
Burn Rate,वापर दर
Busy,व्यस्त
By,द्वारे
By Assignee,नेमणूकधारकानुसार
By Group,गटानुसार
By Milestone,टप्प्यानुसार
By Priority,प्राधान्यानुसार
By Status,स्थितीनुसार
Cancel,रद्द करा
Cancelled,रद्द
cannot be undone,पूर्ववत करता येणार नाही
Cannot delete client with {0} linked projects. Unlink projects first.,{0} जोडलेल्या प्रकल्पांसह ग्राहक हटवता येत नाही. आधी प्रकल्प वेगळे करा.
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} जोडलेल्या कामांसह प्रकल्प हटवता येत नाही. आधी कामे हटवा.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} सक्रिय नेमणुकांसह संसाधन हटवता येत नाही. आधी त्या पूर्ण करा किंवा रद्द करा.
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} उपकामांसह काम हटवता येत नाही. आधी उपकामे हटवा.
Capacity,क्षमता
capacity,क्षमता
Capacity & Rates,क्षमता आणि दर
Capture project structure for reuse,पुनर्वापरासाठी प्रकल्प रचना कॅप्चर करा
Cascade,कॅस्केड
Cascade Preview,कॅस्केड पूर्वावलोकन
Category,वर्ग
Celebrate,उत्सव करा
Change,बदला
Change History,बदल इतिहास
Change Priority,प्राधान्य बदला
Change Status,स्थिती बदला
Changes,बदल
Changes appear when fields are modified.,फील्ड बदलल्यावर बदल दिसतात.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,चेकलिस्ट
Checklist item name is required,चेकलिस्ट आयटमचे नाव आवश्यक आहे
Checklist item not found,चेकलिस्ट आयटम सापडला नाही
Checklist item title is required,चेकलिस्ट आयटमचे शीर्षक आवश्यक आहे
Checklist item {0} not found,चेकलिस्ट आयटम {0} सापडला नाही
Checklist item {0} not found in task,चेकलिस्ट आयटम {0} कामात सापडला नाही
Child,उप-आयटम
Choose file to upload,अपलोड करण्यासाठी फाइल निवडा
Circular dependency detected: {0},वर्तुळाकार अवलंबित्व आढळले: {0}
Circular parent-child relationship detected,वर्तुळाकार मूळ-उप-आयटम संबंध आढळला
Clear,साफ करा
Clear all read,सर्व वाचलेले साफ करा
Clear date,तारीख साफ करा
Click on an activity from the list to view and manage its details.,तपशील पाहण्यासाठी आणि व्यवस्थापित करण्यासाठी यादीतील हालचालीवर क्लिक करा.
Click the avatar to upload a new photo,नवीन फोटो अपलोड करण्यासाठी अवतारवर क्लिक करा
Click to add description...,वर्णन जोडण्यासाठी क्लिक करा...
Click to add notes...,टिपा जोडण्यासाठी क्लिक करा...
Click to assign contact,संपर्क नेमण्यासाठी क्लिक करा
Click to change status,स्थिती बदलण्यासाठी क्लिक करा
Click to change type,प्रकार बदलण्यासाठी क्लिक करा
Click to edit,संपादित करण्यासाठी क्लिक करा
Click to edit budget,अंदाजपत्रक संपादित करण्यासाठी क्लिक करा
Click to edit description,वर्णन संपादित करण्यासाठी क्लिक करा
Click to edit end date,शेवटची तारीख संपादित करण्यासाठी क्लिक करा
Click to edit milestone name,टप्प्याचे नाव संपादित करण्यासाठी क्लिक करा
Click to edit rate,दर संपादित करण्यासाठी क्लिक करा
Click to edit start date,सुरुवातीची तारीख संपादित करण्यासाठी क्लिक करा
Click to edit title,शीर्षक संपादित करण्यासाठी क्लिक करा
Click to load,लोड करण्यासाठी क्लिक करा
Click to set group dependency...,गट अवलंबित्व सेट करण्यासाठी क्लिक करा...
Click to set group...,गट सेट करण्यासाठी क्लिक करा...
Click to view,पाहण्यासाठी क्लिक करा
Click to view at-risk projects,धोक्यातील प्रकल्प पाहण्यासाठी क्लिक करा
Click to view critical projects,गंभीर प्रकल्प पाहण्यासाठी क्लिक करा
Click to view healthy projects,चांगल्या स्थितीतील प्रकल्प पाहण्यासाठी क्लिक करा
Client,ग्राहक
Client already has a portal user: {0},ग्राहकाला आधीच पोर्टल वापरकर्ता आहे: {0}
Client already has portal access,ग्राहकाला आधीच पोर्टल प्रवेश आहे
Client has no portal user to revoke,ग्राहकाचा रद्द करण्यासाठी पोर्टल वापरकर्ता नाही
Client link removed from project {0},प्रकल्प {0} मधून ग्राहक लिंक काढली
Client Portal,ग्राहक पोर्टल
Client {0} deleted successfully,ग्राहक {0} यशस्वीरित्या हटवला
Close,बंद करा
Close (Esc),बंद करा (Esc)
Comment,प्रतिक्रिया
comment,प्रतिक्रिया
Comment added,प्रतिक्रिया जोडली
Comment content is required,प्रतिक्रियेचा मजकूर आवश्यक आहे
Comment name is required,प्रतिक्रियेचे नाव आवश्यक आहे
Comment not found,प्रतिक्रिया सापडली नाही
Comment removed,प्रतिक्रिया काढली
Comment {0} not found in task,प्रतिक्रिया {0} कामात सापडली नाही
Comments,प्रतिक्रिया
comments,प्रतिक्रिया
Community Edition,Community Edition
Company,कंपनी
Company name...,कंपनीचे नाव...
Complete,पूर्ण करा
Completed,पूर्ण झाले
completed,पूर्ण
Completed Tasks,पूर्ण झालेली कामे
Compliance,अनुपालन
Configure default values for new projects and tasks,नवीन प्रकल्प आणि कामांसाठी डीफॉल्ट मूल्ये सेट करा
Configure email notification settings,ई-मेल सूचना सेटिंग्ज सेट करा
Confirm,पुष्टी करा
Contact deleted,संपर्क हटवला
Contact Details,संपर्क तपशील
Contact Information,संपर्क माहिती
Contact name is required,संपर्काचे नाव आवश्यक आहे
Contact Support,सहाय्याशी संपर्क करा
Contact your project manager for more information.,अधिक माहितीसाठी तुमच्या प्रकल्प व्यवस्थापकाशी संपर्क करा.
Contact:,संपर्क:
Contacts,संपर्क
Context,संदर्भ
Contractor,कंत्राटदार
Cost estimate cannot be negative,खर्चाचा अंदाज ऋण असू शकत नाही
Cost Impact,खर्चावरील परिणाम
Cost Summary,खर्च सारांश
Could not apply the template. Please try again.,टेम्पलेट लागू करता आले नाही. कृपया पुन्हा प्रयत्न करा.
Could not attach file to project,प्रकल्पाला फाइल जोडता आली नाही
Could not change task priority,कामाचे प्राधान्य बदलता आले नाही
Could not change task status,कामाची स्थिती बदलता आली नाही
Could not delete the project. Please try again.,प्रकल्प हटवता आला नाही. कृपया पुन्हा प्रयत्न करा.
Could not delete the task. Please try again.,काम हटवता आले नाही. कृपया पुन्हा प्रयत्न करा.
Could not delete the template.,टेम्पलेट हटवता आले नाही.
Could not duplicate the task. Please try again.,काम डुप्लिकेट करता आले नाही. कृपया पुन्हा प्रयत्न करा.
Could not export the template.,टेम्पलेट निर्यात करता आले नाही.
Could not import the template. Please check the file format.,टेम्पलेट आयात करता आले नाही. कृपया फाइल स्वरूप तपासा.
Could not link task to milestone,काम टप्प्याला जोडता आले नाही
Could not load document details.,दस्तऐवज तपशील लोड करता आले नाहीत.
Could not load task details,कामाचे तपशील लोड करता आले नाहीत
Could not promote checklist item to task.,चेकलिस्ट आयटम कामात बदलता आला नाही.
Could not remove task from milestone,टप्प्यातून काम काढता आले नाही
Could not save budget.,अंदाजपत्रक जतन करता आले नाही.
Could not save changes to the milestone,टप्प्यातील बदल जतन करता आले नाहीत
Could not save changes to the task,कामातील बदल जतन करता आले नाहीत
Could not save description.,वर्णन जतन करता आले नाही.
Could not save end date.,शेवटची तारीख जतन करता आली नाही.
Could not save milestone name.,टप्प्याचे नाव जतन करता आले नाही.
Could not save start date.,सुरुवातीची तारीख जतन करता आली नाही.
Could not save the template. Please try again.,टेम्पलेट जतन करता आले नाही. कृपया पुन्हा प्रयत्न करा.
Could not save title.,शीर्षक जतन करता आले नाही.
Could not update dependency mode.,अवलंबित्व मोड अद्यतनित करता आला नाही.
Could not update milestone date,टप्प्याची तारीख अद्यतनित करता आली नाही
Could not update project status.,प्रकल्पाची स्थिती अद्यतनित करता आली नाही.
Could not update project type.,प्रकल्पाचा प्रकार अद्यतनित करता आला नाही.
Could not update setting.,सेटिंग अद्यतनित करता आली नाही.
Could not update task dates,कामाच्या तारखा अद्यतनित करता आल्या नाहीत
Could not update task status,कामाची स्थिती अद्यतनित करता आली नाही
Could not update the template.,टेम्पलेट अद्यतनित करता आले नाही.
Create a copy of this task,या कामाची प्रत तयार करा
Create Contact,संपर्क तयार करा
Create Event,कार्यक्रम तयार करा
Create Milestone,टप्पा तयार करा
Create New Milestone,नवीन टप्पा तयार करा
Create New Task,नवीन काम तयार करा
Create Project,प्रकल्प तयार करा
Create Task,काम तयार करा
Create tasks and milestones from a template,टेम्पलेटमधून कामे आणि टप्पे तयार करा
Create your first project to get started.,सुरू करण्यासाठी तुमचा पहिला प्रकल्प तयार करा.
Create your first task to start tracking work on this project.,या प्रकल्पावरील काम ट्रॅक करण्यासाठी तुमचे पहिले काम तयार करा.
Created,तयार केले
Creating...,तयार करत आहे...
Critical,गंभीर
Critical Path,गंभीर मार्ग
"Currency used for budgets, costs, and billing rates","अंदाजपत्रक, खर्च आणि बिलिंग दरांसाठी वापरलेले चलन"
Current,सध्याचे
Current Assignments,सध्याच्या नेमणुका
Current scheduled time:,सध्या नियोजित वेळ:
Currently running version,Currently running version
d lag,दि विलंब
Daily Availability,दैनंदिन उपलब्धता
Daily Hours,दैनंदिन तास
Danger Zone,धोक्याचे क्षेत्र
Dark,गडद
Dashboard,डॅशबोर्ड
Date,तारीख
Date changes on this task will show cascade impact here,या कामावरील तारीख बदल कॅस्केड परिणाम येथे दाखवतील
Date cleared,तारीख साफ केली
Date of Joining,सामील झाल्याची तारीख
Date updated,तारीख अद्यतनित
Dates,तारखा
Dates cascaded,तारखा कॅस्केड केल्या
Dates will be relative to the project's start date.,तारखा प्रकल्पाच्या सुरुवातीच्या तारखेच्या सापेक्ष असतील.
Day,दिवस
day,दिवस
days,दिवस
Days before due date to send reminder,स्मरणपत्र पाठवण्यापूर्वीचे दिवस
Days Overdue,विलंब दिवस
Days Remaining,उरलेले दिवस
Deadline,अंतिम मुदत
Deadlines,अंतिम मुदती
Decision,निर्णय
Decline,नकार द्या
Declined,नाकारले
Default Currency,डीफॉल्ट चलन
Default hours per week for contact capacity planning,संपर्क क्षमता नियोजनासाठी प्रति आठवडा डीफॉल्ट तास
Default Priority,डीफॉल्ट प्राधान्य
Default Project Status,डीफॉल्ट प्रकल्प स्थिती
Default Task Status,डीफॉल्ट काम स्थिती
Default task view,डीफॉल्ट काम दृश्य
Default Values,डीफॉल्ट मूल्ये
Default Weekly Capacity,डीफॉल्ट साप्ताहिक क्षमता
Defaults,डीफॉल्ट
Defect Cost Impact,दोष खर्चावरील परिणाम
Defect name is required,दोषाचे नाव आवश्यक आहे
Defect Type,दोष प्रकार
Defect {0} not found,दोष {0} सापडला नाही
Defects,दोष
Defects & Issues,दोष आणि समस्या
Defects Resolved,दोष निराकरण केले
Delayed,विलंबित
Delete,हटवा
Delete Activity Data,हालचाली डेटा हटवा
Delete all read notifications?,सर्व वाचलेल्या सूचना हटवायच्या?
Delete comment,प्रतिक्रिया हटवा
Delete Contact,संपर्क हटवा
Delete Event,कार्यक्रम हटवा
Delete Event?,कार्यक्रम हटवायचा?
Delete failed,हटवणे अयशस्वी
Delete file,फाइल हटवा
Delete item,आयटम हटवा
Delete note,टीप हटवा
Delete Project,प्रकल्प हटवा
Delete Task,काम हटवा
Delete this project,हा प्रकल्प हटवा
Deleted,हटवले
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","प्रकल्प ""{0}"" हटवला ({1} कामे, {2} टप्पे)"
Deletes notes and preferences. Source document is not affected.,टिपा आणि प्राधान्ये हटवतो. मूळ दस्तऐवजावर परिणाम होत नाही.
Deleting...,हटवत आहे...
Department,विभाग
Dependencies,अवलंबित्वे
dependencies,अवलंबित्वे
Dependencies are informational only,अवलंबित्वे केवळ माहितीपूर्ण आहेत
dependency,अवलंबित्व
Dependency already exists,अवलंबित्व आधीच अस्तित्वात आहे
Dependency Chain,अवलंबित्व साखळी
Dependency created,अवलंबित्व तयार केले
Dependency mode updated,अवलंबित्व मोड अद्यतनित
Dependency name is required,अवलंबित्वाचे नाव आवश्यक आहे
Dependency task {0} not found,अवलंबित्व काम {0} सापडले नाही
Dependency {0} not found,अवलंबित्व {0} सापडले नाही
depends,अवलंबून
Depends on Group,गटावर अवलंबून
Depends on task is required,अवलंबित्व काम आवश्यक आहे
depends on...,यावर अवलंबून...
Descending -- click to reverse,उतरता क्रम -- उलटण्यासाठी क्लिक करा
Describe the defect in detail...,दोषाचे तपशीलवार वर्णन करा...
Description,वर्णन
Description updated,वर्णन अद्यतनित
Designation,पदनाम
"Detailed description of the defect, location, and impact","दोष, स्थान आणि परिणामाचे तपशीलवार वर्णन"
Details,तपशील
Discard timer,टाइमर रद्द करा
Discussion,चर्चा
Dismiss,Dismiss
Display,प्रदर्शन
Document,दस्तऐवज
Document attached to project,दस्तऐवज प्रकल्पाला जोडला
Document final decision and rationale,अंतिम निर्णय आणि कारण नोंदवा
Documentation Review,दस्तऐवज पुनरावलोकन
Documents,दस्तऐवज
Done,झाले
Download,डाउनलोड करा
Drag to create dependency,अवलंबित्व तयार करण्यासाठी ड्रॅग करा
Dry Run,चाचणी चालवा
Dry Run Complete,चाचणी पूर्ण
Due Date,देय तारीख
Due date,देय तारीख
Due Date (Earliest),देय तारीख (सर्वात जवळची)
Due date cannot be before start date,देय तारीख सुरुवातीच्या तारखेपूर्वी असू शकत नाही
Due date is in the past,देय तारीख भूतकाळात आहे
Due Date Reminders,देय तारीख स्मरणपत्रे
Due Diligence,सखोल तपासणी
Due Diligence Checklist,सखोल तपासणी चेकलिस्ट
Due This Week,या आठवड्यात देय
Due:,देय:
Duplicate events are not allowed,डुप्लिकेट कार्यक्रमांना परवानगी नाही
Duplicate failed,डुप्लिकेट करणे अयशस्वी
Duplicate Task,काम डुप्लिकेट करा
Duration,कालावधी
Duration Summary,कालावधी सारांश
Duration:,कालावधी:
e.g. Cracked wall finish in bathroom...,उदा. बाथरूममधील भिंतीच्या पृष्ठभागावर भेगा...
"e.g. Electrical, Plumbing...","उदा. विद्युत, प्लंबिंग..."
Edit,संपादित करा
Edit (E),संपादित करा (E)
Edit dependency,अवलंबित्व संपादित करा
Edit Event,कार्यक्रम संपादित करा
Efficiency,कार्यक्षमता
Either dependency_name or depends_on is required,dependency_name किंवा depends_on आवश्यक आहे
Email,ई-मेल
Email invitations to all attendees,सर्व सहभागींना ई-मेल आमंत्रणे
Email is required to create portal user,पोर्टल वापरकर्ता तयार करण्यासाठी ई-मेल आवश्यक आहे
Email notifications,ई-मेल सूचना
Employee,कर्मचारी
Employee DocType not available,कर्मचारी DocType उपलब्ध नाही
Employee not found,कर्मचारी सापडला नाही
Enable or disable optional features,पर्यायी वैशिष्ट्ये सक्षम किंवा अक्षम करा
Enable Time Tracking,वेळ ट्रॅकिंग सक्षम करा
End,शेवट
End Date,शेवटची तारीख
End date,शेवटची तारीख
End Date cannot be before Start Date,शेवटची तारीख सुरुवातीच्या तारखेपूर्वी असू शकत नाही
End date cannot be before start date,शेवटची तारीख सुरुवातीच्या तारखेपूर्वी असू शकत नाही
End date updated,शेवटची तारीख अद्यतनित
End time was before start time. Adjusted to 1 hour after start.,शेवटची वेळ सुरुवातीच्या वेळेपूर्वी होती. सुरुवातीनंतर 1 तासावर समायोजित केली.
End:,शेवट:
Enter milestone name...,टप्प्याचे नाव टाका...
Enter project name,प्रकल्पाचे नाव टाका
Enter task title...,कामाचे शीर्षक टाका...
Enter template name,टेम्पलेटचे नाव टाका
Enter your note... Use @name to mention someone,तुमची टीप टाका... कोणाला उल्लेख करण्यासाठी @नाव वापरा
Error,त्रुटी
Error loading activity,हालचाली लोड करताना त्रुटी
Error loading contacts,संपर्क लोड करताना त्रुटी
Error loading dashboard,डॅशबोर्ड लोड करताना त्रुटी
Error loading project,प्रकल्प लोड करताना त्रुटी
Error loading projects,प्रकल्प लोड करताना त्रुटी
Error loading settings,सेटिंग्ज लोड करताना त्रुटी
Error loading tasks,कामे लोड करताना त्रुटी
Error loading templates,टेम्पलेट्स लोड करताना त्रुटी
Est. Hours,अंदाजित तास
Estimated,अंदाजित
Estimated Cost,अंदाजित खर्च
Estimated Cost (€),अंदाजित खर्च (€)
Estimated Hours,अंदाजित तास
Estimated:,अंदाजित:
Evaluate potential risks and concerns,संभाव्य जोखीम आणि चिंता मूल्यांकन करा
Event,कार्यक्रम
Event is required for event context,कार्यक्रम संदर्भासाठी कार्यक्रम आवश्यक आहे
Event is required when tracking context is 'event',ट्रॅकिंग संदर्भ 'event' असताना कार्यक्रम आवश्यक आहे
Event Type,कार्यक्रम प्रकार
Events,कार्यक्रम
Events not available. Please run: bench --site orga.localhost migrate,कार्यक्रम उपलब्ध नाहीत. कृपया चालवा: bench --site orga.localhost migrate
Events:,कार्यक्रम:
Expert,तज्ञ
Explain why you are proposing a different time...,तुम्ही वेगळी वेळ का सुचवत आहात ते सांगा...
Export,निर्यात करा
Export failed,निर्यात अयशस्वी
Export JSON,JSON निर्यात करा
Exported,निर्यात केले
Exported to timesheet {0},टाइमशीट {0} मध्ये निर्यात केले
External,बाह्य
Failed to add item,आयटम जोडणे अयशस्वी
Failed to add note,टीप जोडणे अयशस्वी
Failed to add skill,कौशल्य जोडणे अयशस्वी
Failed to apply cascade changes: {0},कॅस्केड बदल लागू करणे अयशस्वी: {0}
Failed to create defect,दोष तयार करणे अयशस्वी
Failed to create dependency,अवलंबित्व तयार करणे अयशस्वी
Failed to create event,कार्यक्रम तयार करणे अयशस्वी
Failed to create milestone,टप्पा तयार करणे अयशस्वी
Failed to create project,प्रकल्प तयार करणे अयशस्वी
Failed to create task,काम तयार करणे अयशस्वी
Failed to create time log,वेळ नोंद तयार करणे अयशस्वी
Failed to delete,हटवणे अयशस्वी
Failed to delete comment,प्रतिक्रिया हटवणे अयशस्वी
Failed to delete contact,संपर्क हटवणे अयशस्वी
Failed to load,लोड करणे अयशस्वी
Failed to load activity,हालचाली लोड करणे अयशस्वी
Failed to load assignments,नेमणुका लोड करणे अयशस्वी
Failed to load contact,संपर्क लोड करणे अयशस्वी
Failed to load dashboard data,डॅशबोर्ड डेटा लोड करणे अयशस्वी
Failed to load defects,दोष लोड करणे अयशस्वी
Failed to load events,कार्यक्रम लोड करणे अयशस्वी
Failed to load project,प्रकल्प लोड करणे अयशस्वी
Failed to load projects,प्रकल्प लोड करणे अयशस्वी
Failed to load report data,अहवाल डेटा लोड करणे अयशस्वी
Failed to load settings,सेटिंग्ज लोड करणे अयशस्वी
Failed to load tasks,कामे लोड करणे अयशस्वी
Failed to move task,काम हलवणे अयशस्वी
Failed to post comment,प्रतिक्रिया पोस्ट करणे अयशस्वी
Failed to propose new time,नवीन वेळ सुचवणे अयशस्वी
Failed to remove item,आयटम काढणे अयशस्वी
Failed to remove skill,कौशल्य काढणे अयशस्वी
Failed to reorder milestones: {0},टप्पे पुनर्रचना करणे अयशस्वी: {0}
