+ Add Milestone,+ Aggiungi traguardo
Automatically calculate project progress from task completion,Calcolare automaticamente l'avanzamento del progetto dal completamento delle attività
Automatically mark milestones as missed when overdue,Segnare automaticamente i traguardi come mancati quando in ritardo
Automation rule {0} not found,Regola di automazione {0} non trovata
Automation: {0},Automazione: {0}
Availability,Disponibilità
Available,Disponibile
Avatar updated successfully,Immagine profilo aggiornata con successo
Avg Progress,Avanzamento medio
Back,Indietro
Back to Portal,Torna al portale
Back to Projects,Torna ai progetti
Beginner,Principiante
Best regards,Cordiali saluti
Billable,Fatturabile
Billable Amount,Importo fatturabile
Billable Hours,Ore fatturabili
Billable Rate,Tariffa fatturabile
Billing Rate,Tariffa di fatturazione
Blocked,Bloccato
Both dates are needed to display task as a bar in Gantt chart,Entrambe le date sono necessarie per visualizzare l'attività come barra nel diagramma di Gantt
Both doctype and docname are required,Sia il doctype che il docname sono obbligatori
Both proposed start and end times are required,Sia l'orario di inizio che quello di fine proposti sono obbligatori
Both task_name and depends_on are required,Sia task_name che depends_on sono obbligatori
Breadcrumb,Percorso di navigazione
Brief description of the defect or damage,Breve descrizione del difetto o del danno
Brief description of this template,Breve descrizione di questo modello
Brief description of your request,Breve descrizione della vostra richiesta
Brief project description,Breve descrizione del progetto
Budget,Budget
Budget at risk,Budget a rischio
Budget Burn Rate,Tasso di consumo del budget
Budget Status,Stato del budget
Budget updated,Budget aggiornato
Budget:,Budget:
Bug,Bug
Burn Rate,Tasso di consumo
Busy,Occupato
By,Da
By Assignee,Per assegnatario
By Group,Per gruppo
By Milestone,Per traguardo
By Priority,Per priorità
By Status,Per stato
Cancel,Annullare
Cancelled,Annullato
cannot be undone,irreversibile
Cannot delete client with {0} linked projects. Unlink projects first.,Impossibile eliminare il cliente con {0} progetti collegati. Scollegare prima i progetti.
Cannot delete project with {0} linked tasks. Delete tasks first.,Impossibile eliminare il progetto con {0} attività collegate. Eliminare prima le attività.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Impossibile eliminare la risorsa con {0} assegnazioni attive. Completarle o annullarle prima.
Cannot delete task with {0} subtasks. Delete subtasks first.,Impossibile eliminare l'attività con {0} sotto-attività. Eliminare prima le sotto-attività.
Capacity,Capacità
capacity,capacità
Capacity & Rates,Capacità e tariffe
Capture project structure for reuse,Salvare la struttura del progetto per riutilizzarla
Cascade,Cascata
Cascade Preview,Anteprima cascata
Category,Categoria
Celebrate,Celebrare
Change,Modificare
Change History,Cronologia modifiche
Change Priority,Cambiare la priorità
Change Status,Cambiare lo stato
Changes,Modifiche
Changes appear when fields are modified.,Le modifiche appaiono quando i campi vengono modificati.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Lista di controllo
Checklist item name is required,Il nome dell'elemento della lista di controllo è obbligatorio
Checklist item not found,Elemento della lista di controllo non trovato
Checklist item title is required,Il titolo dell'elemento della lista di controllo è obbligatorio
Checklist item {0} not found,Elemento della lista di controllo {0} non trovato
Checklist item {0} not found in task,Elemento della lista di controllo {0} non trovato nell'attività
Child,Figlio
Choose file to upload,Scegliere un file da caricare
Circular dependency detected: {0},Dipendenza circolare rilevata: {0}
Circular parent-child relationship detected,Relazione circolare genitore-figlio rilevata
Clear,Cancellare
Clear all read,Cancellare tutte le lette
Clear date,Cancellare la data
Click on an activity from the list to view and manage its details.,Fare clic su un'attività dall'elenco per visualizzare e gestire i suoi dettagli.
Click the avatar to upload a new photo,Fare clic sull'immagine per caricare una nuova foto
Click to add description...,Fare clic per aggiungere una descrizione...
Click to add notes...,Fare clic per aggiungere note...
Click to assign contact,Fare clic per assegnare un contatto
Click to change status,Fare clic per cambiare lo stato
Click to change type,Fare clic per cambiare il tipo
Click to edit,Fare clic per modificare
Click to edit budget,Fare clic per modificare il budget
Click to edit description,Fare clic per modificare la descrizione
Click to edit end date,Fare clic per modificare la data di fine
Click to edit milestone name,Fare clic per modificare il nome del traguardo
Click to edit rate,Fare clic per modificare la tariffa
Click to edit start date,Fare clic per modificare la data di inizio
Click to edit title,Fare clic per modificare il titolo
Click to load,Fare clic per caricare
Click to set group dependency...,Fare clic per impostare una dipendenza di gruppo...
Click to set group...,Fare clic per impostare il gruppo...
Click to view,Fare clic per visualizzare
Click to view at-risk projects,Fare clic per visualizzare i progetti a rischio
Click to view critical projects,Fare clic per visualizzare i progetti critici
Click to view healthy projects,Fare clic per visualizzare i progetti in buono stato
Client,Cliente
Client already has a portal user: {0},Il cliente ha già un utente del portale: {0}
Client already has portal access,Il cliente ha già accesso al portale
Client has no portal user to revoke,Il cliente non ha un utente del portale da revocare
Client link removed from project {0},Collegamento cliente rimosso dal progetto {0}
Client Portal,Portale clienti
Client {0} deleted successfully,Cliente {0} eliminato con successo
Close,Chiudere
Close (Esc),Chiudere (Esc)
Comment,Commento
comment,commento
Comment added,Commento aggiunto
Comment content is required,Il contenuto del commento è obbligatorio
Comment name is required,Il nome del commento è obbligatorio
Comment not found,Commento non trovato
Comment removed,Commento rimosso
Comment {0} not found in task,Commento {0} non trovato nell'attività
Comments,Commenti
comments,commenti
Community Edition,Community Edition
Company,Azienda
Company name...,Nome dell'azienda...
Complete,Completare
Completed,Completato
completed,completato
Completed Tasks,Attività completate
Compliance,Conformità
Configure default values for new projects and tasks,Configurare i valori predefiniti per i nuovi progetti e attività
Configure email notification settings,Configurare le impostazioni delle notifiche e-mail
Confirm,Confermare
Contact deleted,Contatto eliminato
Contact Details,Dettagli del contatto
Contact Information,Informazioni di contatto
Contact name is required,Il nome del contatto è obbligatorio
Contact Support,Contattare il supporto
Contact your project manager for more information.,Contattate il vostro responsabile di progetto per maggiori informazioni.
Contact:,Contatto:
Contacts,Contatti
Context,Contesto
Contractor,Appaltatore
Cost estimate cannot be negative,La stima dei costi non può essere negativa
Cost Impact,Impatto sui costi
Cost Summary,Riepilogo costi
Could not apply the template. Please try again.,Impossibile applicare il modello. Riprovare.
Could not attach file to project,Impossibile allegare il file al progetto
Could not change task priority,Impossibile cambiare la priorità dell'attività
Could not change task status,Impossibile cambiare lo stato dell'attività
Could not delete the project. Please try again.,Impossibile eliminare il progetto. Riprovare.
Could not delete the task. Please try again.,Impossibile eliminare l'attività. Riprovare.
Could not delete the template.,Impossibile eliminare il modello.
Could not duplicate the task. Please try again.,Impossibile duplicare l'attività. Riprovare.
Could not export the template.,Impossibile esportare il modello.
Could not import the template. Please check the file format.,Impossibile importare il modello. Verificare il formato del file.
Could not link task to milestone,Impossibile collegare l'attività al traguardo
Could not load document details.,Impossibile caricare i dettagli del documento.
Could not load task details,Impossibile caricare i dettagli dell'attività
Could not promote checklist item to task.,Impossibile promuovere l'elemento della lista di controllo ad attività.
Could not remove task from milestone,Impossibile rimuovere l'attività dal traguardo
Could not save budget.,Impossibile salvare il budget.
Could not save changes to the milestone,Impossibile salvare le modifiche al traguardo
Could not save changes to the task,Impossibile salvare le modifiche all'attività
Could not save description.,Impossibile salvare la descrizione.
Could not save end date.,Impossibile salvare la data di fine.
Could not save milestone name.,Impossibile salvare il nome del traguardo.
Could not save start date.,Impossibile salvare la data di inizio.
Could not save the template. Please try again.,Impossibile salvare il modello. Riprovare.
Could not save title.,Impossibile salvare il titolo.
Could not update dependency mode.,Impossibile aggiornare la modalità di dipendenza.
Could not update milestone date,Impossibile aggiornare la data del traguardo
Could not update project status.,Impossibile aggiornare lo stato del progetto.
Could not update project type.,Impossibile aggiornare il tipo di progetto.
Could not update setting.,Impossibile aggiornare l'impostazione.
Could not update task dates,Impossibile aggiornare le date dell'attività
Could not update task status,Impossibile aggiornare lo stato dell'attività
Could not update the template.,Impossibile aggiornare il modello.
Create a copy of this task,Creare una copia di questa attività
Create Contact,Creare un contatto
Create Event,Creare un evento
Create Milestone,Creare un traguardo
Create New Milestone,Creare un nuovo traguardo
Create New Task,Creare una nuova attività
Create Project,Creare un progetto
Create Task,Creare un'attività
Create tasks and milestones from a template,Creare attività e traguardi da un modello
Create your first project to get started.,Create il vostro primo progetto per iniziare.
Create your first task to start tracking work on this project.,Create la vostra prima attività per iniziare a monitorare il lavoro su questo progetto.
Created,Creato
Creating...,Creazione in corso...
Critical,Critico
Critical Path,Percorso critico
"Currency used for budgets, costs, and billing rates","Valuta utilizzata per budget, costi e tariffe di fatturazione"
Current,Attuale
Current Assignments,Assegnazioni attuali
Current scheduled time:,Orario attualmente previsto:
Currently running version,Currently running version
d lag,g di ritardo
Daily Availability,Disponibilità giornaliera
Daily Hours,Ore giornaliere
Danger Zone,Zona pericolosa
Dark,Scuro
Dashboard,Pannello di controllo
Date,Data
Date changes on this task will show cascade impact here,Le modifiche di data su questa attività mostreranno l'impatto a cascata qui
Date cleared,Data cancellata
Date of Joining,Data di ingresso
Date updated,Data aggiornata
Dates,Date
Dates cascaded,Date propagate a cascata
Dates will be relative to the project's start date.,Le date saranno relative alla data di inizio del progetto.
Day,Giorno
day,giorno
days,giorni
Days before due date to send reminder,Giorni prima della scadenza per inviare il promemoria
Days Overdue,Giorni di ritardo
Days Remaining,Giorni rimanenti
Deadline,Scadenza
Deadlines,Scadenze
Decision,Decisione
Decline,Rifiutare
Declined,Rifiutato
Default Currency,Valuta predefinita
Default hours per week for contact capacity planning,Ore predefinite per settimana per la pianificazione della capacità dei contatti
Default Priority,Priorità predefinita
Default Project Status,Stato predefinito del progetto
Default Task Status,Stato predefinito dell'attività
Default task view,Vista predefinita delle attività
Default Values,Valori predefiniti
Default Weekly Capacity,Capacità settimanale predefinita
Defaults,Valori predefiniti
Defect Cost Impact,Impatto finanziario del difetto
Defect name is required,Il nome del difetto è obbligatorio
Defect Type,Tipo di difetto
Defect {0} not found,Difetto {0} non trovato
Defects,Difetti
Defects & Issues,Difetti e problemi
Defects Resolved,Difetti risolti
Delayed,In ritardo
Delete,Eliminare
Delete Activity Data,Eliminare i dati dell'attività
Delete all read notifications?,Eliminare tutte le notifiche lette?
Delete comment,Eliminare il commento
Delete Contact,Eliminare il contatto
Delete Event,Eliminare l'evento
Delete Event?,Eliminare l'evento?
Delete failed,Eliminazione non riuscita
Delete file,Eliminare il file
Delete item,Eliminare l'elemento
Delete note,Eliminare la nota
Delete Project,Eliminare il progetto
Delete Task,Eliminare l'attività
Delete this project,Eliminare questo progetto
Deleted,Eliminato
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Progetto ""{0}"" eliminato ({1} attività, {2} traguardi)"
Deletes notes and preferences. Source document is not affected.,Elimina note e preferenze. Il documento di origine non viene modificato.
Deleting...,Eliminazione in corso...
Department,Reparto
Dependencies,Dipendenze
dependencies,dipendenze
Dependencies are informational only,Le dipendenze sono solo informative
dependency,dipendenza
Dependency already exists,La dipendenza esiste già
Dependency Chain,Catena di dipendenze
Dependency created,Dipendenza creata
Dependency mode updated,Modalità di dipendenza aggiornata
Dependency name is required,Il nome della dipendenza è obbligatorio
Dependency task {0} not found,Attività di dipendenza {0} non trovata
Dependency {0} not found,Dipendenza {0} non trovata
depends,dipende
Depends on Group,Dipende dal gruppo
Depends on task is required,L'attività di dipendenza è obbligatoria
depends on...,dipende da...
Descending -- click to reverse,Decrescente -- fare clic per invertire
Describe the defect in detail...,Descrivete il difetto in dettaglio...
Description,Descrizione
Description updated,Descrizione aggiornata
Designation,Funzione
"Detailed description of the defect, location, and impact","Descrizione dettagliata del difetto, della posizione e dell'impatto"
Details,Dettagli
Discard timer,Annullare il cronometro
Discussion,Discussione
Dismiss,Dismiss
Display,Visualizzazione
Document,Documento
Document attached to project,Documento allegato al progetto
Document final decision and rationale,Documentare la decisione finale e la motivazione
Documentation Review,Revisione documentale
Documents,Documenti
Done,Fatto
Download,Scaricare
Drag to create dependency,Trascinare per creare una dipendenza
Dry Run,Simulazione
Dry Run Complete,Simulazione completata
Due Date,Data di scadenza
Due date,Data di scadenza
Due Date (Earliest),Data di scadenza (la più vicina)
Due date cannot be before start date,La data di scadenza non può essere precedente alla data di inizio
Due date is in the past,La data di scadenza è nel passato
Due Date Reminders,Promemoria di scadenza
Due Diligence,Verifica preliminare
Due Diligence Checklist,Lista di controllo della verifica preliminare
Due This Week,In scadenza questa settimana
Due:,Scadenza:
Duplicate events are not allowed,Gli eventi duplicati non sono consentiti
Duplicate failed,Duplicazione non riuscita
Duplicate Task,Duplicare l'attività
Duration,Durata
Duration Summary,Riepilogo durata
Duration:,Durata:
e.g. Cracked wall finish in bathroom...,es.: Finitura murale incrinata nel bagno...
"e.g. Electrical, Plumbing...","es.: Elettricità, Idraulica..."
Edit,Modificare
Edit (E),Modificare (E)
Edit dependency,Modificare la dipendenza
Edit Event,Modificare l'evento
Efficiency,Efficienza
Either dependency_name or depends_on is required,È richiesto dependency_name o depends_on
Email,E-mail
Email invitations to all attendees,Inviti via e-mail a tutti i partecipanti
Email is required to create portal user,L'indirizzo e-mail è obbligatorio per creare un utente del portale
Email notifications,Notifiche via e-mail
Employee,Dipendente
Employee DocType not available,DocType Dipendente non disponibile
Employee not found,Dipendente non trovato
Enable or disable optional features,Attivare o disattivare le funzionalità opzionali
Enable Time Tracking,Attivare il monitoraggio del tempo
End,Fine
End Date,Data di fine
End date,Data di fine
End Date cannot be before Start Date,La data di fine non può essere precedente alla data di inizio
End date cannot be before start date,La data di fine non può essere precedente alla data di inizio
End date updated,Data di fine aggiornata
End time was before start time. Adjusted to 1 hour after start.,L'ora di fine era precedente all'ora di inizio. Regolata a 1 ora dopo l'inizio.
End:,Fine:
Enter milestone name...,Inserire il nome del traguardo...
Enter project name,Inserire il nome del progetto
Enter task title...,Inserire il titolo dell'attività...
Enter template name,Inserire il nome del modello
Enter your note... Use @name to mention someone,Inserite la vostra nota... Usate @nome per menzionare qualcuno
Error,Errore
Error loading activity,Errore nel caricamento dell'attività
Error loading contacts,Errore nel caricamento dei contatti
Error loading dashboard,Errore nel caricamento del pannello di controllo
Error loading project,Errore nel caricamento del progetto
Error loading projects,Errore nel caricamento dei progetti
Error loading settings,Errore nel caricamento delle impostazioni
Error loading tasks,Errore nel caricamento delle attività
Error loading templates,Errore nel caricamento dei modelli
Est. Hours,Ore stim.
Estimated,Stimato
Estimated Cost,Costo stimato
Estimated Cost (€),Costo stimato (€)
Estimated Hours,Ore stimate
Estimated:,Stimato:
Evaluate potential risks and concerns,Valutare i rischi e le preoccupazioni potenziali
Event,Evento
Event is required for event context,L'evento è obbligatorio per il contesto evento
Event is required when tracking context is 'event',L'evento è obbligatorio quando il contesto di monitoraggio è «evento»
Event Type,Tipo di evento
Events,Eventi
Events not available. Please run: bench --site orga.localhost migrate,Eventi non disponibili. Eseguire: bench --site orga.localhost migrate
Events:,Eventi:
Expert,Esperto
Explain why you are proposing a different time...,Spiegare perché proponete un orario diverso...
Export,Esportare
Export failed,Esportazione non riuscita
Export JSON,Esportare in JSON
Exported,Esportato
Exported to timesheet {0},Esportato nel foglio ore {0}
External,Esterno
Failed to add item,Aggiunta dell'elemento non riuscita
Failed to add note,Aggiunta della nota non riuscita
Failed to add skill,Aggiunta della competenza non riuscita
Failed to apply cascade changes: {0},Applicazione delle modifiche a cascata non riuscita: {0}
Failed to create defect,Creazione del difetto non riuscita
Failed to create dependency,Creazione della dipendenza non riuscita
Failed to create event,Creazione dell'evento non riuscita
Failed to create milestone,Creazione del traguardo non riuscita
Failed to create project,Creazione del progetto non riuscita
Failed to create task,Creazione dell'attività non riuscita
Failed to create time log,Creazione della voce di tempo non riuscita
Failed to delete,Eliminazione non riuscita
Failed to delete comment,Eliminazione del commento non riuscita
Failed to delete contact,Eliminazione del contatto non riuscita
Failed to load,Caricamento non riuscito
Failed to load activity,Caricamento dell'attività non riuscito
Failed to load assignments,Caricamento delle assegnazioni non riuscito
Failed to load contact,Caricamento del contatto non riuscito
Failed to load dashboard data,Caricamento dei dati del pannello di controllo non riuscito
Failed to load defects,Caricamento dei difetti non riuscito
Failed to load events,Caricamento degli eventi non riuscito
Failed to load project,Caricamento del progetto non riuscito
Failed to load projects,Caricamento dei progetti non riuscito
Failed to load report data,Caricamento dei dati del rapporto non riuscito
Failed to load settings,Caricamento delle impostazioni non riuscito
Failed to load tasks,Caricamento delle attività non riuscito
Failed to move task,Spostamento dell'attività non riuscito
Failed to post comment,Pubblicazione del commento non riuscita
Failed to propose new time,Proposta del nuovo orario non riuscita
Failed to remove item,Rimozione dell'elemento non riuscita
Failed to remove skill,Rimozione della competenza non riuscita
Failed to reorder milestones: {0},Riordinamento dei traguardi non riuscito: {0}
Failed to reorder tasks: {0},Riordinamento delle attività non riuscito: {0}
Failed to reschedule dependent tasks: {0},Riprogrammazione delle attività dipendenti non riuscita: {0}
Failed to save,Salvataggio non riuscito
Failed to save preferences,Salvataggio delle preferenze non riuscito
Failed to save settings,Salvataggio delle impostazioni non riuscito
Failed to submit request. Please try again.,Invio della richiesta non riuscito. Riprovare.
Failed to update item,Aggiornamento dell'elemento non riuscito
Failed to update priority,Aggiornamento della priorità non riuscito
Failed to update task,Aggiornamento dell'attività non riuscito
Failed to update tasks: {0},Aggiornamento delle attività non riuscito: {0}
Failed to upload avatar,Caricamento dell'immagine profilo non riuscito
Feature,Funzionalità
Features,Funzionalità
FF (Finish-Finish),FF (Fine-Fine)
FF - Finish-to-Finish,FF - Fine-a-Fine
Field has been updated,Il campo è stato aggiornato
Field name is required for 'Set Field Value' action,Il nome del campo è obbligatorio per l'azione «Imposta valore campo»
Field {0} is not a Link field,Il campo {0} non è un campo di tipo collegamento
Field {0} not found in {1},Campo {0} non trovato in {1}
File,File
file,file
File does not belong to this task,Il file non appartiene a questa attività
File name is required,Il nome del file è obbligatorio
File uploaded,File caricato
File {0} not found,File {0} non trovato
Files,File
files,file
Filter,Filtro
Final Decision,Decisione finale
Finance,Finanza
Financial,Finanziario
Finish-to-Finish,Fine-a-Fine
Finish-to-Start,Fine-a-Inizio
Flag,Segnalare
Flag for attention,Segnalare per attenzione
Flagged,Segnalato
Focus Panel,Pannello di dettaglio
Follows your system preference. Currently:,Segue la preferenza del sistema. Attualmente:
Frappe Project {0} not found,Progetto Frappe {0} non trovato
Frappe Projects Migration,Migrazione Frappe Projects
Frappe Projects module not available,Modulo Frappe Projects non disponibile
Frappe Projects module not installed,Modulo Frappe Projects non installato
Frappe Projects sync is not enabled,La sincronizzazione di Frappe Projects non è attivata
Frappe Task DocType not found,DocType Attività Frappe non trovato
Frappe Task has no project,L'attività Frappe non ha un progetto
Frappe Task {0} not found,Attività Frappe {0} non trovata
Fri,Ven
From,Da
From Template,Da un modello
FS (Finish-Start),FS (Fine-Inizio)
FS - Finish-to-Start (default),FS - Fine-a-Inizio (predefinito)
Full form view with audit trail,Vista completa del modulo con traccia di verifica
Full name,Nome completo
Gantt,Gantt
Gantt Chart,Diagramma di Gantt
Gantt View,Vista Gantt
General Note,Nota generale
Get started,Iniziare
Go back,Torna indietro
Go Back,Torna indietro
Group by,Raggruppare per
Group dependency removed,Dipendenza di gruppo rimossa
Group dependency set,Dipendenza di gruppo impostata
Group removed,Gruppo rimosso
Group updated,Gruppo aggiornato
Hammock task dates are auto-calculated and cannot be changed manually,Le date delle attività hamac sono calcolate automaticamente e non possono essere modificate manualmente
Have a question or need assistance? Fill out the form below and our team will get back to you.,Avete una domanda o avete bisogno di assistenza? Compilate il modulo qui sotto e il nostro gruppo vi risponderà.
Health,Salute
Healthy,In buono stato
Hello {0},Buongiorno {0}
Here's what's happening with your projects today.,Ecco cosa succede oggi con i vostri progetti.
Hide,Nascondere
High,Alta
History,Cronologia
Home,Home
Hourly Cost,Costo orario
Hours,Ore
hours,ore
Hours Logged,Ore registrate
ID,ID
Image must be smaller than 5 MB,L'immagine deve essere inferiore a 5 MB
Import,Importare
Import existing projects and tasks from Frappe Projects module,Importare progetti e attività esistenti dal modulo Frappe Projects
Import failed,Importazione non riuscita
Import Template,Importare un modello
Imported,Importato
in,in
In Progress,In corso
In Review,In revisione
In-app notifications,Notifiche nell'applicazione
Inactive,Inattivo
Initial Review,Revisione iniziale
Installed Version,Installed Version
Insufficient permissions to view all tasks,Permessi insufficienti per visualizzare tutte le attività
Intermediate,Intermedio
Internal,Interno
Invalid DocType,DocType non valido
Invalid DocType for import,DocType non valido per l'importazione
Invalid item type: {0},Tipo di elemento non valido: {0}
Invalid JSON data,Dati JSON non validi
Invalid note type. Must be one of: {0},Tipo di nota non valido. Deve essere uno dei seguenti: {0}
Invalid project reference,Riferimento progetto non valido
Invalid reaction type. Must be one of: {0},Tipo di reazione non valido. Deve essere uno dei seguenti: {0}
Invalid RSVP status,Stato RSVP non valido
Invalid status. Must be one of: {0},Stato non valido. Deve essere uno dei seguenti: {0}
Invalid status: {0},Stato non valido: {0}
Invalid status: {0}. Must be one of: {1},Stato non valido: {0}. Deve essere uno dei seguenti: {1}
Invalid tracking context: {0},Contesto di monitoraggio non valido: {0}
Invalid visibility. Must be one of: {0},Visibilità non valida. Deve essere una delle seguenti: {0}
Invitation: {0} - {1} at {2},Invito: {0} - {1} alle {2}
Invite People,Invitare persone
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","Non sei tu, è il link. La pagina che stai cercando potrebbe essere stata spostata, rinominata o si sta prendendo una meritata pausa caffè. I tuoi progetti e dati sono perfettamente al sicuro."
Item added,Elemento aggiunto
Item ID is required,L'identificativo dell'elemento è obbligatorio
Item removed,Elemento rimosso
Item type is required,Il tipo di elemento è obbligatorio
Item {0} not found,Elemento {0} non trovato
Job title or role,Titolo professionale o ruolo
Join Meeting,Partecipare alla riunione
Just now,Proprio ora
just now,proprio ora
Kanban,Kanban
Kanban Board,Bacheca Kanban
Kanban View,Vista Kanban
