+ Add Milestone,+ ເພີ່ມຈຸດໝາຍ
Add note,ເພີ່ມບັນທຶກ
Add notes about this contact...,ເພີ່ມບັນທຶກກ່ຽວກັບຜູ້ຕິດຕໍ່ນີ້...
Add reaction,ເພີ່ມປະຕິກິລິຍາ
Add Skill,ເພີ່ມທັກສະ
Add start and due dates to tasks to see them on the Gantt chart,ເພີ່ມວັນທີເລີ່ມຕົ້ນ ແລະ ກຳນົດສຳລັບໜ້າວຽກເພື່ອເບິ່ງໃນແຜນภູມິ Gantt
Add Task,ເພີ່ມໜ້າວຽກ
Add Task (Shift+T),ເພີ່ມໜ້າວຽກ (Shift+T)
Added Finish-to-Start dependency,ເພີ່ມການເພິ່ງພາແບບສິ້ນສຸດ-ຫາ-ເລີ່ມຕົ້ນແລ້ວ
Adding this dependency would create a circular reference: {0},ການເພີ່ມການເພິ່ງພານີ້ຈະສ້າງການອ້າງອິງວົນຮອບ: {0}
Adding...,ກຳລັງເພີ່ມ...
Address,ທີ່ຢູ່
Advanced,ຂັ້ນສູງ
All,ທັງໝົດ
All Active,ເປີດໃຊ້ງານທັງໝົດ
All Assignees,ຜູ້ຮັບມອບໝາຍທັງໝົດ
All Categories,ໝວດໝູ່ທັງໝົດ
All caught up!,ອ່ານໝົດແລ້ວ!
All Contexts,ບໍລິບົດທັງໝົດ
All day,ຕະຫຼອດມື້
All day event,ເຫດການຕະຫຼອດມື້
All fields,ທຸກຊ່ອງ
All Priorities,ລຳດັບຄວາມສຳຄັນທັງໝົດ
All Projects,ໂຄງການທັງໝົດ
All Status,ສະຖານະທັງໝົດ
All Statuses,ສະຖານະທັງໝົດ
All task dependencies & relative dates,ການເພິ່ງພາໜ້າວຽກທັງໝົດ ແລະ ວັນທີສຳພັນ
All Tasks,ໜ້າວຽກທັງໝົດ
All tasks across all projects.,ໜ້າວຽກທັງໝົດທົ່ວທຸກໂຄງການ.
All tasks are already linked,ໜ້າວຽກທັງໝົດເຊື່ອມຕໍ່ແລ້ວ
All team members,ສະມາຊິກທີມທັງໝົດ
All Types,ປະເພດທັງໝົດ
All Users,ຜູ້ໃຊ້ທັງໝົດ
Allocated,ຈັດສັນແລ້ວ
allocated,ຈັດສັນແລ້ວ
Allow users to log time against tasks,ອະນຸຍາດໃຫ້ຜູ້ໃຊ້ບັນທຶກເວລາຕໍ່ໜ້າວຽກ
Already exported to timesheet {0},ສົ່ງອອກໄປໃບບັນທຶກເວລາ {0} ແລ້ວ
Already Migrated,ຍ້າຍຂໍ້ມູນແລ້ວ
Anyone with access,ໃຜກໍ່ຕາມທີ່ມີສິດເຂົ້າເຖິງ
anytime to show this help,ທຸກເວລາເພື່ອສະແດງຄຳຊ່ວຍເຫຼືອນີ້
App Updates,App Updates
Appearance,ຮູບລັກສະນະ
Apply,ນຳໃຊ້
Apply cascade?,ນຳໃຊ້ການສືບທອດ?
Apply Changes,ນຳໃຊ້ການປ່ຽນແປງ
Apply failed,ການນຳໃຊ້ລົ້ມເຫຼວ
Apply Template,ນຳໃຊ້ແມ່ແບບ
Applying...,ກຳລັງນຳໃຊ້...
Appointment,ນັດໝາຍ
Appointment and resource are required,ນັດໝາຍ ແລະ ຊັບພະຍາກອນຈຳເປັນ
Appointment name is required,ຕ້ອງລະບຸຊື່ນັດໝາຍ
Appointment not found,ບໍ່ພົບນັດໝາຍ
Appointment {0} not found,ບໍ່ພົບນັດໝາຍ {0}
Apps,ແອັບ
Archive,ເກັບມ້ຽນ
Archive Activity,ເກັບມ້ຽນກິດຈະກຳ
Archived,ເກັບມ້ຽນແລ້ວ
Are you sure you want to delete this activity data? This cannot be undone.,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບຂໍ້ມູນກິດຈະກຳນີ້? ການດຳເນີນການນີ້ບໍ່ສາມາດຍ້ອນກັບໄດ້.
Are you sure you want to delete this comment?,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບຄຳເຫັນນີ້?
Are you sure you want to delete this project?,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບໂຄງການນີ້?
Are you sure?,ທ່ານແນ່ໃຈບໍ່?
Ascending -- click to reverse,ຈັດລຽງຈາກນ້ອຍຫາໃຫຍ່ -- ກົດເພື່ອປີ້ນກັບ
Assign To,ມອບໝາຍໃຫ້
Assign to Me,ມອບໝາຍໃຫ້ຂ້ອຍ
Assigned Contact,ຜູ້ຕິດຕໍ່ທີ່ມອບໝາຍ
Assigned To,ມອບໝາຍໃຫ້
Assigned to,ມອບໝາຍໃຫ້
Assigned to Me,ມອບໝາຍໃຫ້ຂ້ອຍ
Assignee,ຜູ້ຮັບມອບໝາຍ
Assignment,ການມອບໝາຍ
Assignment History,ປະຫວັດການມອບໝາຍ
Assignment name is required,ຕ້ອງລະບຸຊື່ການມອບໝາຍ
Assignment {0} not found,ບໍ່ພົບການມອບໝາຍ {0}
Assignments,ການມອບໝາຍ
At least one action is required,ຕ້ອງມີການກະທຳຢ່າງໜ້ອຍໜຶ່ງອັນ
At least one event is required,ຕ້ອງມີເຫດການຢ່າງໜ້ອຍໜຶ່ງອັນ
At least one event must be selected,ຕ້ອງເລືອກເຫດການຢ່າງໜ້ອຍໜຶ່ງອັນ
Attachment,ເອກະສານແນບ
Attachments,ເອກະສານແນບ
Attendees,ຜູ້ເຂົ້າຮ່ວມ
"Audit trail, assignments, version history","ຮ່ອງຮອຍກວດສອບ, ການມອບໝາຍ, ປະຫວັດເວີຊັນ"
Auto,ອັດຕະໂນມັດ
Auto Calculate Progress,ຄິດໄລ່ຄວາມຄືບໜ້າອັດຕະໂນມັດ
Auto Set Missed Milestones,ຕັ້ງຈຸດໝາຍທີ່ພາດອັດຕະໂນມັດ
Auto-shift dependents when dates change,ເລື່ອນການເພິ່ງພາອັດຕະໂນມັດເມື່ອວັນທີປ່ຽນ
Auto-Trail Start,ເລີ່ມຕິດຕາມອັດຕະໂນມັດ
Auto-Trail updated,ການຕິດຕາມອັດຕະໂນມັດອັບເດດແລ້ວ
Automatically calculate project progress from task completion,ຄິດໄລ່ຄວາມຄືບໜ້າໂຄງການອັດຕະໂນມັດຈາກການສຳເລັດໜ້າວຽກ
Automatically mark milestones as missed when overdue,ໝາຍຈຸດໝາຍເປັນພາດອັດຕະໂນມັດເມື່ອເກີນກຳນົດ
Automation rule {0} not found,ບໍ່ພົບກົດລະບຽບອັດຕະໂນມັດ {0}
Automation: {0},ອັດຕະໂນມັດ: {0}
Availability,ຄວາມພ້ອມ
Available,ພ້ອມໃຊ້ງານ
Avatar updated successfully,ອັບເດດຮູບແທນຕົວສຳເລັດແລ້ວ
Avg Progress,ຄວາມຄືບໜ້າສະເລ່ຍ
Back,ກັບຄືນ
Back to Portal,ກັບຄືນໄປໜ້າຫຼັກ
Back to Projects,ກັບຄືນໄປໂຄງການ
Beginner,ເລີ່ມຕົ້ນ
Best regards,ດ້ວຍຄວາມນັບຖື
Billable,ຄິດຄ່າບໍລິການໄດ້
Billable Amount,ຈຳນວນເງິນທີ່ຄິດຄ່າບໍລິການໄດ້
Billable Hours,ຊົ່ວໂມງທີ່ຄິດຄ່າບໍລິການໄດ້
Billable Rate,ອັດຕາຄິດຄ່າບໍລິການ
Billing Rate,ອັດຕາການຄິດຄ່າບໍລິການ
Blocked,ຖືກບລ໋ອກ
Both dates are needed to display task as a bar in Gantt chart,ຕ້ອງມີທັງສອງວັນທີເພື່ອສະແດງໜ້າວຽກເປັນແຖບໃນແຜນภູມິ Gantt
Both doctype and docname are required,ຕ້ອງລະບຸທັງ doctype ແລະ docname
Both proposed start and end times are required,ຕ້ອງລະບຸທັງເວລາເລີ່ມຕົ້ນ ແລະ ສິ້ນສຸດທີ່ສະເໜີ
Both task_name and depends_on are required,ຕ້ອງລະບຸທັງ task_name ແລະ depends_on
Breadcrumb,ເສັ້ນທາງນຳທາງ
Brief description of the defect or damage,ລາຍລະອຽດສັ້ນກ່ຽວກັບຂໍ້ບົກພ່ອງ ຫຼື ຄວາມເສຍຫາຍ
Brief description of this template,ລາຍລະອຽດສັ້ນຂອງແມ່ແບບນີ້
Brief description of your request,ລາຍລະອຽດສັ້ນຂອງຄຳຮ້ອງຂໍຂອງທ່ານ
Brief project description,ລາຍລະອຽດສັ້ນຂອງໂຄງການ
Budget,ງົບປະມານ
Budget at risk,ງົບປະມານທີ່ມີຄວາມສ່ຽງ
Budget Burn Rate,ອັດຕາການໃຊ້ງົບປະມານ
Budget Status,ສະຖານະງົບປະມານ
Budget updated,ອັບເດດງົບປະມານແລ້ວ
Budget:,ງົບປະມານ:
Bug,ຂໍ້ຜິດພາດ
Burn Rate,ອັດຕາການໃຊ້
Busy,ບໍ່ຫວ່າງ
By,ໂດຍ
By Assignee,ຕາມຜູ້ຮັບມອບໝາຍ
By Group,ຕາມກຸ່ມ
By Milestone,ຕາມຈຸດໝາຍ
By Priority,ຕາມລຳດັບຄວາມສຳຄັນ
By Status,ຕາມສະຖານະ
Cancel,ຍົກເລີກ
Cancelled,ຍົກເລີກແລ້ວ
cannot be undone,ບໍ່ສາມາດຍ້ອນກັບໄດ້
Cannot delete client with {0} linked projects. Unlink projects first.,ບໍ່ສາມາດລຶບລູກຄ້າທີ່ມີ {0} ໂຄງການເຊື່ອມຕໍ່. ຍົກເລີກການເຊື່ອມຕໍ່ໂຄງການກ່ອນ.
Cannot delete project with {0} linked tasks. Delete tasks first.,ບໍ່ສາມາດລຶບໂຄງການທີ່ມີ {0} ໜ້າວຽກເຊື່ອມຕໍ່. ລຶບໜ້າວຽກກ່ອນ.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,ບໍ່ສາມາດລຶບຊັບພະຍາກອນທີ່ມີ {0} ການມອບໝາຍທີ່ເປີດໃຊ້ງານ. ສຳເລັດ ຫຼື ຍົກເລີກກ່ອນ.
Cannot delete task with {0} subtasks. Delete subtasks first.,ບໍ່ສາມາດລຶບໜ້າວຽກທີ່ມີ {0} ໜ້າວຽກຍ່ອຍ. ລຶບໜ້າວຽກຍ່ອຍກ່ອນ.
Capacity,ຄວາມສາມາດ
capacity,ຄວາມສາມາດ
Capacity & Rates,ຄວາມສາມາດ ແລະ ອັດຕາ
Capture project structure for reuse,ບັນທຶກໂຄງສ້າງໂຄງການເພື່ອໃຊ້ຄືນ
Cascade,ການສືບທອດ
Cascade Preview,ເບິ່ງຕົວຢ່າງການສືບທອດ
Category,ໝວດໝູ່
Celebrate,ສະຫຼອງ
Change,ປ່ຽນ
Change History,ປະຫວັດການປ່ຽນແປງ
Change Priority,ປ່ຽນລຳດັບຄວາມສຳຄັນ
Change Status,ປ່ຽນສະຖານະ
Changes,ການປ່ຽນແປງ
Changes appear when fields are modified.,ການປ່ຽນແປງຈະປາກົດເມື່ອມີການແກ້ໄຂຊ່ອງ.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,ລາຍການກວດກາ
Checklist item name is required,ຕ້ອງລະບຸຊື່ລາຍການກວດກາ
Checklist item not found,ບໍ່ພົບລາຍການກວດກາ
Checklist item title is required,ຕ້ອງລະບຸຫົວຂໍ້ລາຍການກວດກາ
Checklist item {0} not found,ບໍ່ພົບລາຍການກວດກາ {0}
Checklist item {0} not found in task,ບໍ່ພົບລາຍການກວດກາ {0} ໃນໜ້າວຽກ
Child,ລູກ
Choose file to upload,ເລືອກໄຟລ໌ເພື່ອອັບໂຫຼດ
Circular dependency detected: {0},ກວດພົບການເພິ່ງພາວົນຮອບ: {0}
Circular parent-child relationship detected,ກວດພົບຄວາມສຳພັນພໍ່ແມ່-ລູກວົນຮອບ
Clear,ລຶບ
Clear all read,ລຶບທີ່ອ່ານແລ້ວທັງໝົດ
Clear date,ລຶບວັນທີ
Click on an activity from the list to view and manage its details.,ກົດທີ່ກິດຈະກຳຈາກລາຍການເພື່ອເບິ່ງ ແລະ ຈັດການລາຍລະອຽດ.
Click the avatar to upload a new photo,ກົດຮູບແທນຕົວເພື່ອອັບໂຫຼດຮູບໃໝ່
Click to add description...,ກົດເພື່ອເພີ່ມລາຍລະອຽດ...
Click to add notes...,ກົດເພື່ອເພີ່ມບັນທຶກ...
Click to assign contact,ກົດເພື່ອມອບໝາຍຜູ້ຕິດຕໍ່
Click to change status,ກົດເພື່ອປ່ຽນສະຖານະ
Click to change type,ກົດເພື່ອປ່ຽນປະເພດ
Click to edit,ກົດເພື່ອແກ້ໄຂ
Click to edit budget,ກົດເພື່ອແກ້ໄຂງົບປະມານ
Click to edit description,ກົດເພື່ອແກ້ໄຂລາຍລະອຽດ
Click to edit end date,ກົດເພື່ອແກ້ໄຂວັນທີສິ້ນສຸດ
Click to edit milestone name,ກົດເພື່ອແກ້ໄຂຊື່ຈຸດໝາຍ
Click to edit rate,ກົດເພື່ອແກ້ໄຂອັດຕາ
Click to edit start date,ກົດເພື່ອແກ້ໄຂວັນທີເລີ່ມຕົ້ນ
Click to edit title,ກົດເພື່ອແກ້ໄຂຫົວຂໍ້
Click to load,ກົດເພື່ອໂຫຼດ
Click to set group dependency...,ກົດເພື່ອຕັ້ງການເພິ່ງພາກຸ່ມ...
Click to set group...,ກົດເພື່ອຕັ້ງກຸ່ມ...
Click to view,ກົດເພື່ອເບິ່ງ
Click to view at-risk projects,ກົດເພື່ອເບິ່ງໂຄງການທີ່ມີຄວາມສ່ຽງ
Click to view critical projects,ກົດເພື່ອເບິ່ງໂຄງການທີ່ສຳຄັນ
Click to view healthy projects,ກົດເພື່ອເບິ່ງໂຄງການທີ່ດີ
Client,ລູກຄ້າ
Client already has a portal user: {0},ລູກຄ້າມີຜູ້ໃຊ້ພອລ໌ທອນແລ້ວ: {0}
Client already has portal access,ລູກຄ້າມີສິດເຂົ້າເຖິງພອລ໌ທອນແລ້ວ
Client has no portal user to revoke,ລູກຄ້າບໍ່ມີຜູ້ໃຊ້ພອລ໌ທອນເພື່ອຖອນສິດ
Client link removed from project {0},ລຶບການເຊື່ອມຕໍ່ລູກຄ້າຈາກໂຄງການ {0} ແລ້ວ
Client Portal,ພອລ໌ທອນລູກຄ້າ
Client {0} deleted successfully,ລຶບລູກຄ້າ {0} ສຳເລັດແລ້ວ
Close,ປິດ
Close (Esc),ປິດ (Esc)
Comment,ຄຳເຫັນ
comment,ຄຳເຫັນ
Comment added,ເພີ່ມຄຳເຫັນແລ້ວ
Comment content is required,ຕ້ອງລະບຸເນື້ອໃນຄຳເຫັນ
Comment name is required,ຕ້ອງລະບຸຊື່ຄຳເຫັນ
Comment not found,ບໍ່ພົບຄຳເຫັນ
Comment removed,ລຶບຄຳເຫັນແລ້ວ
Comment {0} not found in task,ບໍ່ພົບຄຳເຫັນ {0} ໃນໜ້າວຽກ
Comments,ຄຳເຫັນ
comments,ຄຳເຫັນ
Community Edition,Community Edition
Company,ບໍລິສັດ
Company name...,ຊື່ບໍລິສັດ...
Complete,ສຳເລັດ
Completed,ສຳເລັດແລ້ວ
completed,ສຳເລັດແລ້ວ
Completed Tasks,ໜ້າວຽກທີ່ສຳເລັດ
Compliance,ການປະຕິບັດຕາມ
Configure default values for new projects and tasks,ຕັ້ງຄ່າເລີ່ມຕົ້ນສຳລັບໂຄງການ ແລະ ໜ້າວຽກໃໝ່
Configure email notification settings,ຕັ້ງຄ່າການແຈ້ງເຕືອນທາງອີເມວ
Confirm,ຢືນຢັນ
Contact deleted,ລຶບຜູ້ຕິດຕໍ່ແລ້ວ
Contact Details,ລາຍລະອຽດຜູ້ຕິດຕໍ່
Contact Information,ຂໍ້ມູນຜູ້ຕິດຕໍ່
Contact name is required,ຕ້ອງລະບຸຊື່ຜູ້ຕິດຕໍ່
Contact Support,ຕິດຕໍ່ຝ່າຍຊ່ວຍເຫຼືອ
Contact your project manager for more information.,ຕິດຕໍ່ຜູ້ຈັດການໂຄງການຂອງທ່ານສຳລັບຂໍ້ມູນເພີ່ມເຕີມ.
Contact:,ຜູ້ຕິດຕໍ່:
Contacts,ຜູ້ຕິດຕໍ່
Context,ບໍລິບົດ
Contractor,ຜູ້ຮັບເໝົາ
Cost estimate cannot be negative,ການປະມານການຄ່າໃຊ້ຈ່າຍບໍ່ສາມາດເປັນຄ່າລົບ
Cost Impact,ຜົນກະທົບດ້ານຄ່າໃຊ້ຈ່າຍ
Cost Summary,ສະຫຼຸບຄ່າໃຊ້ຈ່າຍ
Could not apply the template. Please try again.,ບໍ່ສາມາດນຳໃຊ້ແມ່ແບບ. ກະລຸນາລອງໃໝ່.
Could not attach file to project,ບໍ່ສາມາດແນບໄຟລ໌ກັບໂຄງການ
Could not change task priority,ບໍ່ສາມາດປ່ຽນລຳດັບຄວາມສຳຄັນຂອງໜ້າວຽກ
Could not change task status,ບໍ່ສາມາດປ່ຽນສະຖານະໜ້າວຽກ
Could not delete the project. Please try again.,ບໍ່ສາມາດລຶບໂຄງການ. ກະລຸນາລອງໃໝ່.
Could not delete the task. Please try again.,ບໍ່ສາມາດລຶບໜ້າວຽກ. ກະລຸນາລອງໃໝ່.
Could not delete the template.,ບໍ່ສາມາດລຶບແມ່ແບບ.
Could not duplicate the task. Please try again.,ບໍ່ສາມາດສຳເນົາໜ້າວຽກ. ກະລຸນາລອງໃໝ່.
Could not export the template.,ບໍ່ສາມາດສົ່ງອອກແມ່ແບບ.
Could not import the template. Please check the file format.,ບໍ່ສາມາດນຳເຂົ້າແມ່ແບບ. ກະລຸນາກວດສອບຮູບແບບໄຟລ໌.
Could not link task to milestone,ບໍ່ສາມາດເຊື່ອມຕໍ່ໜ້າວຽກກັບຈຸດໝາຍ
Could not load document details.,ບໍ່ສາມາດໂຫຼດລາຍລະອຽດເອກະສານ.
Could not load task details,ບໍ່ສາມາດໂຫຼດລາຍລະອຽດໜ້າວຽກ
Could not promote checklist item to task.,ບໍ່ສາມາດຍົກລະດັບລາຍການກວດກາເປັນໜ້າວຽກ.
Could not remove task from milestone,ບໍ່ສາມາດລຶບໜ້າວຽກຈາກຈຸດໝາຍ
Could not save budget.,ບໍ່ສາມາດບັນທຶກງົບປະມານ.
Could not save changes to the milestone,ບໍ່ສາມາດບັນທຶກການປ່ຽນແປງຂອງຈຸດໝາຍ
Could not save changes to the task,ບໍ່ສາມາດບັນທຶກການປ່ຽນແປງຂອງໜ້າວຽກ
Could not save description.,ບໍ່ສາມາດບັນທຶກລາຍລະອຽດ.
Could not save end date.,ບໍ່ສາມາດບັນທຶກວັນທີສິ້ນສຸດ.
Could not save milestone name.,ບໍ່ສາມາດບັນທຶກຊື່ຈຸດໝາຍ.
Could not save start date.,ບໍ່ສາມາດບັນທຶກວັນທີເລີ່ມຕົ້ນ.
Could not save the template. Please try again.,ບໍ່ສາມາດບັນທຶກແມ່ແບບ. ກະລຸນາລອງໃໝ່.
Could not save title.,ບໍ່ສາມາດບັນທຶກຫົວຂໍ້.
Could not update dependency mode.,ບໍ່ສາມາດອັບເດດຮູບແບບການເພິ່ງພາ.
Could not update milestone date,ບໍ່ສາມາດອັບເດດວັນທີຈຸດໝາຍ
Could not update project status.,ບໍ່ສາມາດອັບເດດສະຖານະໂຄງການ.
Could not update project type.,ບໍ່ສາມາດອັບເດດປະເພດໂຄງການ.
Could not update setting.,ບໍ່ສາມາດອັບເດດການຕັ້ງຄ່າ.
Could not update task dates,ບໍ່ສາມາດອັບເດດວັນທີໜ້າວຽກ
Could not update task status,ບໍ່ສາມາດອັບເດດສະຖານະໜ້າວຽກ
Could not update the template.,ບໍ່ສາມາດອັບເດດແມ່ແບບ.
Create a copy of this task,ສ້າງສຳເນົາຂອງໜ້າວຽກນີ້
Create Contact,ສ້າງຜູ້ຕິດຕໍ່
Create Event,ສ້າງເຫດການ
Create Milestone,ສ້າງຈຸດໝາຍ
Create New Milestone,ສ້າງຈຸດໝາຍໃໝ່
Create New Task,ສ້າງໜ້າວຽກໃໝ່
Create Project,ສ້າງໂຄງການ
Create Task,ສ້າງໜ້າວຽກ
Create tasks and milestones from a template,ສ້າງໜ້າວຽກ ແລະ ຈຸດໝາຍຈາກແມ່ແບບ
Create your first project to get started.,ສ້າງໂຄງການທຳອິດຂອງທ່ານເພື່ອເລີ່ມຕົ້ນ.
Create your first task to start tracking work on this project.,ສ້າງໜ້າວຽກທຳອິດເພື່ອເລີ່ມຕິດຕາມວຽກໃນໂຄງການນີ້.
Created,ສ້າງແລ້ວ
Creating...,ກຳລັງສ້າງ...
Critical,ວິກິດ
Critical Path,ເສັ້ນທາງວິກິດ
"Currency used for budgets, costs, and billing rates","ສະກຸນເງິນທີ່ໃຊ້ສຳລັບງົບປະມານ, ຄ່າໃຊ້ຈ່າຍ, ແລະ ອັດຕາການຄິດຄ່າບໍລິການ"
Current,ປັດຈຸບັນ
Current Assignments,ການມອບໝາຍປັດຈຸບັນ
Current scheduled time:,ເວລາທີ່ກຳນົດປັດຈຸບັນ:
Currently running version,Currently running version
d lag,ມື້ຊ້າ
Daily Availability,ຄວາມພ້ອມປະຈຳວັນ
Daily Hours,ຊົ່ວໂມງປະຈຳວັນ
Danger Zone,ເຂດອັນຕະລາຍ
Dark,ມືດ
Dashboard,ໜ້າຫຼັກ
Date,ວັນທີ
Date changes on this task will show cascade impact here,ການປ່ຽນແປງວັນທີຂອງໜ້າວຽກນີ້ຈະສະແດງຜົນກະທົບການສືບທອດຢູ່ນີ້
Date cleared,ລຶບວັນທີແລ້ວ
Date of Joining,ວັນທີເຂົ້າຮ່ວມ
Date updated,ອັບເດດວັນທີແລ້ວ
Dates,ວັນທີ
Dates cascaded,ສືບທອດວັນທີແລ້ວ
Dates will be relative to the project's start date.,ວັນທີຈະສຳພັນກັບວັນທີເລີ່ມຕົ້ນຂອງໂຄງການ.
Day,ມື້
day,ມື້
days,ມື້
Days before due date to send reminder,ຈຳນວນມື້ກ່ອນກຳນົດສົ່ງການເຕືອນ
Days Overdue,ມື້ທີ່ເກີນກຳນົດ
Days Remaining,ມື້ທີ່ເຫຼືອ
Deadline,ກຳນົດສຸດທ້າຍ
Deadlines,ກຳນົດສຸດທ້າຍ
Decision,ການຕັດສິນໃຈ
Decline,ປະຕິເສດ
Declined,ປະຕິເສດແລ້ວ
Default Currency,ສະກຸນເງິນເລີ່ມຕົ້ນ
Default hours per week for contact capacity planning,ຊົ່ວໂມງເລີ່ມຕົ້ນຕໍ່ອາທິດສຳລັບການວາງແຜນຄວາມສາມາດຜູ້ຕິດຕໍ່
Default Priority,ລຳດັບຄວາມສຳຄັນເລີ່ມຕົ້ນ
Default Project Status,ສະຖານະໂຄງການເລີ່ມຕົ້ນ
Default Task Status,ສະຖານະໜ້າວຽກເລີ່ມຕົ້ນ
Default task view,ມຸມມອງໜ້າວຽກເລີ່ມຕົ້ນ
Default Values,ຄ່າເລີ່ມຕົ້ນ
Default Weekly Capacity,ຄວາມສາມາດຕໍ່ອາທິດເລີ່ມຕົ້ນ
Defaults,ຄ່າເລີ່ມຕົ້ນ
Defect Cost Impact,ຜົນກະທົບຄ່າໃຊ້ຈ່າຍຂໍ້ບົກພ່ອງ
Defect name is required,ຕ້ອງລະບຸຊື່ຂໍ້ບົກພ່ອງ
