+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
Auto Set Missed Milestones,ತಪ್ಪಿಸಿಕೊಂಡ ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ಸ್ವಯಂ ಗುರುತಿಸಿ
Auto-shift dependents when dates change,ದಿನಾಂಕಗಳು ಬದಲಾದಾಗ ಅವಲಂಬಿತರನ್ನು ಸ್ವಯಂ-ಬದಲಿಸಿ
Auto-Trail Start,ಸ್ವಯಂ-ಜಾರಿ ಪ್ರಾರಂಭ
Auto-Trail updated,ಸ್ವಯಂ-ಜಾರಿ ನವೀಕರಿಸಲಾಗಿದೆ
Automatically calculate project progress from task completion,ಕಾರ್ಯ ಪೂರ್ಣಗೊಳಿಸುವಿಕೆಯಿಂದ ಯೋಜನೆಯ ಪ್ರಗತಿಯನ್ನು ಸ್ವಯಂ ಲೆಕ್ಕಾಚಾರ ಮಾಡಿ
Automatically mark milestones as missed when overdue,ಅವಧಿ ಮೀರಿದಾಗ ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ಸ್ವಯಂ ತಪ್ಪಿಸಿಕೊಂಡಿದೆ ಎಂದು ಗುರುತಿಸಿ
Automation rule {0} not found,ಸ್ವಯಂಚಾಲನೆ ನಿಯಮ {0} ಕಂಡುಬಂದಿಲ್ಲ
Automation: {0},ಸ್ವಯಂಚಾಲನೆ: {0}
Availability,ಲಭ್ಯತೆ
Available,ಲಭ್ಯ
Avatar updated successfully,ಅವತಾರ್ ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ
Avg Progress,ಸರಾಸರಿ ಪ್ರಗತಿ
Back,ಹಿಂದೆ
Back to Portal,ಪೋರ್ಟಲ್‌ಗೆ ಹಿಂತಿರುಗಿ
Back to Projects,ಯೋಜನೆಗಳಿಗೆ ಹಿಂತಿರುಗಿ
Beginner,ಆರಂಭಿಕ
Best regards,ಶುಭಾಶಯಗಳೊಂದಿಗೆ
Billable,ಬಿಲ್ ಮಾಡಬಹುದಾದ
Billable Amount,ಬಿಲ್ ಮಾಡಬಹುದಾದ ಮೊತ್ತ
Billable Hours,ಬಿಲ್ ಮಾಡಬಹುದಾದ ಗಂಟೆಗಳು
Billable Rate,ಬಿಲ್ ಮಾಡಬಹುದಾದ ದರ
Billing Rate,ಬಿಲ್ಲಿಂಗ್ ದರ
Blocked,ತಡೆಹಿಡಿಯಲಾಗಿದೆ
Both dates are needed to display task as a bar in Gantt chart,Gantt ಚಾರ್ಟ್‌ನಲ್ಲಿ ಕಾರ್ಯವನ್ನು ಪಟ್ಟಿಯಾಗಿ ತೋರಿಸಲು ಎರಡೂ ದಿನಾಂಕಗಳು ಅಗತ್ಯ
Both doctype and docname are required,ಡಾಕ್‌ಟೈಪ್ ಮತ್ತು ಡಾಕ್‌ನೇಮ್ ಎರಡೂ ಅಗತ್ಯ
Both proposed start and end times are required,ಪ್ರಸ್ತಾವಿತ ಪ್ರಾರಂಭ ಮತ್ತು ಅಂತಿಮ ಸಮಯಗಳೆರಡೂ ಅಗತ್ಯ
Both task_name and depends_on are required,task_name ಮತ್ತು depends_on ಎರಡೂ ಅಗತ್ಯ
Breadcrumb,ಬ್ರೆಡ್‌ಕ್ರಂಬ್
Brief description of the defect or damage,ದೋಷ ಅಥವಾ ಹಾನಿಯ ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ
Brief description of this template,ಈ ಟೆಂಪ್ಲೇಟ್‌ನ ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ
Brief description of your request,ನಿಮ್ಮ ವಿನಂತಿಯ ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ
Brief project description,ಸಂಕ್ಷಿಪ್ತ ಯೋಜನೆ ವಿವರಣೆ
Budget,ಬಜೆಟ್
Budget at risk,ಬಜೆಟ್ ಅಪಾಯದಲ್ಲಿದೆ
Budget Burn Rate,ಬಜೆಟ್ ಬಳಕೆ ದರ
Budget Status,ಬಜೆಟ್ ಸ್ಥಿತಿ
Budget updated,ಬಜೆಟ್ ನವೀಕರಿಸಲಾಗಿದೆ
Budget:,ಬಜೆಟ್:
Bug,ದೋಷ
Burn Rate,ಬಳಕೆ ದರ
Busy,ಕಾರ್ಯನಿರತ
By,ಮೂಲಕ
By Assignee,ನಿಯೋಜಿತರ ಪ್ರಕಾರ
By Group,ಗುಂಪಿನ ಪ್ರಕಾರ
By Milestone,ಮೈಲಿಗಲ್ಲಿನ ಪ್ರಕಾರ
By Priority,ಆದ್ಯತೆಯ ಪ್ರಕಾರ
By Status,ಸ್ಥಿತಿಯ ಪ್ರಕಾರ
Cancel,ರದ್ದುಮಾಡಿ
Cancelled,ರದ್ದುಮಾಡಲಾಗಿದೆ
cannot be undone,ರದ್ದುಗೊಳಿಸಲಾಗುವುದಿಲ್ಲ
Cannot delete client with {0} linked projects. Unlink projects first.,ಲಿಂಕ್ ಮಾಡಿದ {0} ಯೋಜನೆಗಳಿರುವ ಗ್ರಾಹಕನನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಮೊದಲು ಯೋಜನೆಗಳನ್ನು ಅನ್‌ಲಿಂಕ್ ಮಾಡಿ.
Cannot delete project with {0} linked tasks. Delete tasks first.,ಲಿಂಕ್ ಮಾಡಿದ {0} ಕಾರ್ಯಗಳಿರುವ ಯೋಜನೆಯನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಮೊದಲು ಕಾರ್ಯಗಳನ್ನು ಅಳಿಸಿ.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,ಸಕ್ರಿಯ {0} ನಿಯೋಜನೆಗಳಿರುವ ಸಂಪನ್ಮೂಲವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಮೊದಲು ಅವುಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ ಅಥವಾ ರದ್ದುಮಾಡಿ.
Cannot delete task with {0} subtasks. Delete subtasks first.,ಉಪಕಾರ್ಯಗಳು {0} ಇರುವ ಕಾರ್ಯವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಮೊದಲು ಉಪಕಾರ್ಯಗಳನ್ನು ಅಳಿಸಿ.
Capacity,ಸಾಮರ್ಥ್ಯ
capacity,ಸಾಮರ್ಥ್ಯ
Capacity & Rates,ಸಾಮರ್ಥ್ಯ ಮತ್ತು ದರಗಳು
Capture project structure for reuse,ಮರುಬಳಕೆಗಾಗಿ ಯೋಜನೆ ರಚನೆ ಸೆರೆಹಿಡಿಯಿರಿ
Cascade,ಕ್ಯಾಸ್ಕೇಡ್
Cascade Preview,ಕ್ಯಾಸ್ಕೇಡ್ ಪೂರ್ವವೀಕ್ಷಣೆ
Category,ವರ್ಗ
Celebrate,ಆಚರಿಸಿ
Change,ಬದಲಾಯಿಸಿ
Change History,ಬದಲಾವಣೆ ಇತಿಹಾಸ
Change Priority,ಆದ್ಯತೆ ಬದಲಾಯಿಸಿ
Change Status,ಸ್ಥಿತಿ ಬದಲಾಯಿಸಿ
Changes,ಬದಲಾವಣೆಗಳು
Changes appear when fields are modified.,ಕ್ಷೇತ್ರಗಳನ್ನು ಮಾರ್ಪಡಿಸಿದಾಗ ಬದಲಾವಣೆಗಳು ಕಾಣಿಸುತ್ತವೆ.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,ಪರಿಶೀಲನಾ ಪಟ್ಟಿ
Checklist item name is required,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶದ ಹೆಸರು ಅಗತ್ಯ
Checklist item not found,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶ ಕಂಡುಬಂದಿಲ್ಲ
Checklist item title is required,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶದ ಶೀರ್ಷಿಕೆ ಅಗತ್ಯ
Checklist item {0} not found,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶ {0} ಕಂಡುಬಂದಿಲ್ಲ
Checklist item {0} not found in task,ಕಾರ್ಯದಲ್ಲಿ ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶ {0} ಕಂಡುಬಂದಿಲ್ಲ
Child,ಮಕ್ಕಳ
Choose file to upload,ಅಪ್‌ಲೋಡ್ ಮಾಡಲು ಕಡತ ಆಯ್ಕೆಮಾಡಿ
Circular dependency detected: {0},ವೃತ್ತಾಕಾರ ಅವಲಂಬನೆ ಪತ್ತೆಯಾಗಿದೆ: {0}
Circular parent-child relationship detected,ವೃತ್ತಾಕಾರ ಪೋಷಕ-ಮಕ್ಕಳ ಸಂಬಂಧ ಪತ್ತೆಯಾಗಿದೆ
Clear,ತೆರವುಗೊಳಿಸಿ
Clear all read,ಓದಿದವನ್ನೆಲ್ಲ ತೆರವುಗೊಳಿಸಿ
Clear date,ದಿನಾಂಕ ತೆರವುಗೊಳಿಸಿ
Click on an activity from the list to view and manage its details.,ವಿವರಗಳನ್ನು ನೋಡಲು ಮತ್ತು ನಿರ್ವಹಿಸಲು ಪಟ್ಟಿಯಿಂದ ಚಟುವಟಿಕೆಯ ಮೇಲೆ ಕ್ಲಿಕ್ ಮಾಡಿ.
Click the avatar to upload a new photo,ಹೊಸ ಫೋಟೋ ಅಪ್‌ಲೋಡ್ ಮಾಡಲು ಅವತಾರ್ ಮೇಲೆ ಕ್ಲಿಕ್ ಮಾಡಿ
Click to add description...,ವಿವರಣೆ ಸೇರಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ...
Click to add notes...,ಟಿಪ್ಪಣಿಗಳನ್ನು ಸೇರಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ...
Click to assign contact,ಸಂಪರ್ಕ ನಿಯೋಜಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to change status,ಸ್ಥಿತಿ ಬದಲಾಯಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to change type,ಪ್ರಕಾರ ಬದಲಾಯಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit,ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit budget,ಬಜೆಟ್ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit description,ವಿವರಣೆ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit end date,ಅಂತಿಮ ದಿನಾಂಕ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit milestone name,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit rate,ದರ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit start date,ಪ್ರಾರಂಭ ದಿನಾಂಕ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to edit title,ಶೀರ್ಷಿಕೆ ಸಂಪಾದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to load,ಲೋಡ್ ಮಾಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to set group dependency...,ಗುಂಪು ಅವಲಂಬನೆ ಹೊಂದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ...
Click to set group...,ಗುಂಪು ಹೊಂದಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ...
Click to view,ನೋಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to view at-risk projects,ಅಪಾಯದಲ್ಲಿರುವ ಯೋಜನೆಗಳನ್ನು ನೋಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to view critical projects,ತುರ್ತು ಯೋಜನೆಗಳನ್ನು ನೋಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Click to view healthy projects,ಆರೋಗ್ಯಕರ ಯೋಜನೆಗಳನ್ನು ನೋಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Client,ಗ್ರಾಹಕ
Client already has a portal user: {0},ಗ್ರಾಹಕರಿಗೆ ಈಗಾಗಲೇ ಪೋರ್ಟಲ್ ಬಳಕೆದಾರರಿದ್ದಾರೆ: {0}
Client already has portal access,ಗ್ರಾಹಕರಿಗೆ ಈಗಾಗಲೇ ಪೋರ್ಟಲ್ ಪ್ರವೇಶವಿದೆ
Client has no portal user to revoke,ಗ್ರಾಹಕರಿಗೆ ರದ್ದುಮಾಡಲು ಪೋರ್ಟಲ್ ಬಳಕೆದಾರರಿಲ್ಲ
Client link removed from project {0},ಯೋಜನೆ {0} ಯಿಂದ ಗ್ರಾಹಕ ಲಿಂಕ್ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Client Portal,ಗ್ರಾಹಕ ಪೋರ್ಟಲ್
Client {0} deleted successfully,ಗ್ರಾಹಕ {0} ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ
Close,ಮುಚ್ಚಿ
Close (Esc),ಮುಚ್ಚಿ (Esc)
Comment,ಕಾಮೆಂಟ್
comment,ಕಾಮೆಂಟ್
Comment added,ಕಾಮೆಂಟ್ ಸೇರಿಸಲಾಗಿದೆ
Comment content is required,ಕಾಮೆಂಟ್ ವಿಷಯ ಅಗತ್ಯ
Comment name is required,ಕಾಮೆಂಟ್ ಹೆಸರು ಅಗತ್ಯ
Comment not found,ಕಾಮೆಂಟ್ ಕಂಡುಬಂದಿಲ್ಲ
