+ Add Milestone,+ Додај пресвртница
Dependency task {0} not found,Задачата на зависноста {0} не е пронајдена
Dependency {0} not found,Зависноста {0} не е пронајдена
depends,зависи
Depends on Group,Зависи од група
Depends on task is required,Задачата на зависноста е задолжителна
depends on...,зависи од...
Descending -- click to reverse,Опаѓачки -- кликнете за промена
Describe the defect in detail...,Опишете го дефектот детално...
Description,Опис
Description updated,Описот е ажуриран
Designation,Звање
"Detailed description of the defect, location, and impact","Детален опис на дефектот, локацијата и влијанието"
Details,Детали
Discard timer,Отфрли мерач на време
Discussion,Дискусија
Dismiss,Dismiss
Display,Приказ
Document,Документ
Document attached to project,Документот е приложен кон проектот
Document final decision and rationale,Документирај ја конечната одлука и образложението
Documentation Review,Преглед на документација
Documents,Документи
Done,Готово
Download,Преземи
Drag to create dependency,Повлечете за создавање зависност
Dry Run,Пробен обид
Dry Run Complete,Пробниот обид е завршен
Due Date,Рок
Due date,Рок
Due Date (Earliest),Рок (најран)
Due date cannot be before start date,Рокот не може да биде пред датумот на почеток
Due date is in the past,Рокот е во минатото
Due Date Reminders,Потсетници за рокот
Due Diligence,Длабинска проверка
Due Diligence Checklist,Контролна листа за длабинска проверка
Due This Week,Рок оваа недела
Due:,Рок:
Duplicate events are not allowed,Дупликат настани не се дозволени
Duplicate failed,Копирањето не успеа
Duplicate Task,Копирај задача
Duration,Траење
Duration Summary,Преглед на траење
Duration:,Траење:
e.g. Cracked wall finish in bathroom...,пр. Напукната ѕидна облога во бањата...
"e.g. Electrical, Plumbing...","пр. Електрични инсталации, Водовод..."
Edit,Уреди
Edit (E),Уреди (E)
Edit dependency,Уреди зависност
Edit Event,Уреди настан
Efficiency,Ефикасност
Either dependency_name or depends_on is required,dependency_name или depends_on е задолжително
Email,Е-пошта
Email invitations to all attendees,Покани по е-пошта до сите учесници
Email is required to create portal user,Е-поштата е потребна за создавање корисник на порталот
Email notifications,Известувања по е-пошта
Employee,Вработен
Employee DocType not available,DocType Вработен не е достапен
Employee not found,Вработениот не е пронајден
Enable or disable optional features,Овозможи или оневозможи незадолжителни функции
Enable Time Tracking,Овозможи следење на времето
End,Крај
End Date,Датум на завршување
End date,Датум на завршување
End Date cannot be before Start Date,Датумот на завршување не може да биде пред датумот на почеток
End date cannot be before start date,Датумот на завршување не може да биде пред датумот на почеток
End date updated,Датумот на завршување е ажуриран
End time was before start time. Adjusted to 1 hour after start.,Времето на завршување беше пред времето на почеток. Прилагодено на 1 час по почетокот.
End:,Крај:
Enter milestone name...,Внесете име на пресвртницата...
Enter project name,Внесете име на проектот
Enter task title...,Внесете наслов на задачата...
Enter template name,Внесете име на шаблонот
Enter your note... Use @name to mention someone,Внесете белешка... Користете @име за спомнување некого
Error,Грешка
Error loading activity,Грешка при вчитување на активноста
Error loading contacts,Грешка при вчитување на контактите
Error loading dashboard,Грешка при вчитување на таблата
Error loading project,Грешка при вчитување на проектот
Error loading projects,Грешка при вчитување на проектите
Error loading settings,Грешка при вчитување на поставките
Error loading tasks,Грешка при вчитување на задачите
Error loading templates,Грешка при вчитување на шаблоните
Est. Hours,Проц. часови
Estimated,Проценето
Estimated Cost,Проценет трошок
Estimated Cost (€),Проценет трошок (€)
Estimated Hours,Проценети часови
Estimated:,Проценето:
Evaluate potential risks and concerns,Проценете ги можните ризици и загриженостите
Event,Настан
Event is required for event context,Настанот е задолжителен за контекст на настан
Event is required when tracking context is 'event',"Настанот е задолжителен кога контекстот на следење е „настан""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Вид на настан
Events,Настани
Events not available. Please run: bench --site orga.localhost migrate,Настаните не се достапни. Извршете: bench --site orga.localhost migrate
Events:,Настани:
Expert,Експерт
Explain why you are proposing a different time...,Објаснете зошто предлагате друго време...
Export,Извези
Export failed,Извозот не успеа
Export JSON,Извези JSON
Exported,Извезено
Exported to timesheet {0},Извезено во временски лист {0}
External,Надворешен
Failed to add item,Додавањето на ставката не успеа
Failed to add note,Додавањето на белешката не успеа
Failed to add skill,Додавањето на вештината не успеа
Failed to apply cascade changes: {0},Примената на каскадните промени не успеа: {0}
Failed to create defect,Создавањето на дефектот не успеа
Failed to create dependency,Создавањето на зависноста не успеа
Failed to create event,Создавањето на настанот не успеа
Failed to create milestone,Создавањето на пресвртницата не успеа
Failed to create project,Создавањето на проектот не успеа
Failed to create task,Создавањето на задачата не успеа
Failed to create time log,Создавањето на записот на време не успеа
Failed to delete,Бришењето не успеа
Failed to delete comment,Бришењето на коментарот не успеа
Failed to delete contact,Бришењето на контактот не успеа
Failed to load,Вчитувањето не успеа
Failed to load activity,Вчитувањето на активноста не успеа
Failed to load assignments,Вчитувањето на доделувањата не успеа
Failed to load contact,Вчитувањето на контактот не успеа
Failed to load dashboard data,Вчитувањето на податоците на таблата не успеа
Failed to load defects,Вчитувањето на дефектите не успеа
Failed to load events,Вчитувањето на настаните не успеа
Failed to load project,Вчитувањето на проектот не успеа
Failed to load projects,Вчитувањето на проектите не успеа
Failed to load report data,Вчитувањето на податоците на извештајот не успеа
Failed to load settings,Вчитувањето на поставките не успеа
Failed to load tasks,Вчитувањето на задачите не успеа
Failed to move task,Поместувањето на задачата не успеа
Failed to post comment,Објавувањето на коментарот не успеа
Failed to propose new time,Предлагањето ново време не успеа
Failed to remove item,Отстранувањето на ставката не успеа
Failed to remove skill,Отстранувањето на вештината не успеа
Failed to reorder milestones: {0},Преуредувањето на пресвртниците не успеа: {0}
Failed to reorder tasks: {0},Преуредувањето на задачите не успеа: {0}
Failed to reschedule dependent tasks: {0},Презакажувањето на зависните задачи не успеа: {0}
Failed to save,Зачувувањето не успеа
Failed to save preferences,Зачувувањето на поставките не успеа
Failed to save settings,Зачувувањето на поставките не успеа
Failed to submit request. Please try again.,Испраќањето на барањето не успеа. Ве молиме обидете се повторно.
Failed to update item,Ажурирањето на ставката не успеа
Failed to update priority,Ажурирањето на приоритетот не успеа
Failed to update task,Ажурирањето на задачата не успеа
Failed to update tasks: {0},Ажурирањето на задачите не успеа: {0}
Failed to upload avatar,Качувањето на профилната слика не успеа
Feature,Функција
Features,Функции
FF (Finish-Finish),FF (Крај-Крај)
FF - Finish-to-Finish,FF - Крај-Крај
Field has been updated,Полето е ажурирано
Field name is required for 'Set Field Value' action,"Името на полето е задолжително за дејството „Постави вредност на поле""
Field {0} is not a Link field,Полето {0} не е поле од вид Врска
Field {0} not found in {1},Полето {0} не е пронајдено во {1}
File,Датотека
File does not belong to this task,Датотеката не припаѓа на оваа задача
File name is required,Името на датотеката е задолжително
File uploaded,Датотеката е качена
File {0} not found,Датотеката {0} не е пронајдена
Files,Датотеки
Filter,Филтер
Final Decision,Конечна одлука
Finance,Финансии
Financial,Финансиско
Finish-to-Finish,Крај-Крај
Finish-to-Start,Крај-Почеток
Flag,Означи
Flag for attention,Означи за внимание
Flagged,Означено
Follows your system preference. Currently:,Ја следи поставката на вашиот систем. Тековно:
Focus Panel,Панел за фокус
Frappe Project {0} not found,Frappe проектот {0} не е пронајден
Frappe Projects Migration,Миграција на Frappe Projects
Frappe Projects module not available,Модулот Frappe Projects не е достапен
Frappe Projects module not installed,Модулот Frappe Projects не е инсталиран
Frappe Projects sync is not enabled,Синхронизацијата на Frappe Projects не е овозможена
Frappe Task DocType not found,DocType на Frappe задачата не е пронајден
Frappe Task has no project,Frappe задачата нема проект
Frappe Task {0} not found,Frappe задачата {0} не е пронајдена
Fri,Пет
From,Од
From Template,Од шаблон
Full form view with audit trail,Целосен приказ со траг на промени
Full name,Целосно име
Gantt,Gantt
Gantt Chart,Gantt дијаграм
Gantt View,Gantt приказ
General Note,Општа белешка
Get started,Започнете
Go back,Врати се назад
Group by,Групирај по
Group dependency removed,Групната зависност е отстранета
Group dependency set,Групната зависност е поставена
Group removed,Групата е отстранета
Group updated,Групата е ажурирана
Hammock task dates are auto-calculated and cannot be changed manually,Датумите на висечки задачи автоматски се пресметуваат и не можат да се менуваат рачно
Have a question or need assistance? Fill out the form below and our team will get back to you."""
Field {0} is not a Link field,Полето {0} не е поле за поврзување
Field {0} not found in {1},Полето {0} не е пронајдено во {1}
file,датотека
File,Датотека
File does not belong to this task,Датотеката не припаѓа на оваа задача
File name is required,Името на датотеката е задолжително
File uploaded,Датотеката е подигната
File {0} not found,Датотека {0} не е пронајдена
files,датотеки
Files,Датотеки
Filter,Филтер
Final Decision,Конечна одлука
Finance,Финансии
Financial,Финансиски
Finish-to-Finish,Крај-до-Крај
Finish-to-Start,Крај-до-Почеток
Flag,Знаменце
Flag for attention,Означи за внимание
Flagged,Означено
Focus Panel,Панел за фокус
Follows your system preference. Currently:,Ги следи системските поставки. Тековно:
Frappe Project {0} not found,Frappe проект {0} не е пронајден
Frappe Projects Migration,Миграција на Frappe Projects
Frappe Projects module not available,Модулот Frappe Projects не е достапен
Frappe Projects module not installed,Модулот Frappe Projects не е инсталиран
Frappe Projects sync is not enabled,Синхронизацијата со Frappe Projects не е овозможена
Frappe Task DocType not found,Frappe Task DocType не е пронајден
Frappe Task has no project,Frappe задачата нема проект
Frappe Task {0} not found,Frappe задача {0} не е пронајдена
Fri,Пет
From,Од
From Template,Од шаблон
FS (Finish-Start),FS (Крај-Почеток)
FS - Finish-to-Start (default),FS - Крај-Почеток (стандардно)
Full form view with audit trail,Целосен приказ на формуларот со ревизорска трага
Full name,Целосно име
Gantt,Gantt
Gantt Chart,Gantt дијаграм
Gantt View,Gantt приказ
General Note,Општа белешка
Get started,Започнете
Go back,Назад
Go Back,Go Back
Group by,Групирај по
Group dependency removed,Групната зависност е отстранета
Group dependency set,Групната зависност е поставена
Group removed,Групата е отстранета
Group updated,Групата е ажурирана
Hammock task dates are auto-calculated and cannot be changed manually,Датумите на хамак задачите автоматски се пресметуваат и не можат рачно да се менуваат
Have a question or need assistance? Fill out the form below and our team will get back to you.,Имате прашање или ви треба помош? Пополнете го формуларот подолу и нашиот тим ќе ви одговори.
Health,Здравје
Healthy,Здраво
Hello {0},Здраво {0}
Here's what's happening with your projects today.,Еве што се случува со вашите проекти денес.
Hide,Сокриј
High,Висок
History,Историја
Home,Почетна
Hourly Cost,Часовен трошок
Hours,Часови
hours,часови
Hours Logged,Запишани часови
ID,ID
Image must be smaller than 5 MB,Сликата мора да биде помала од 5 MB
Import,Увези
Import existing projects and tasks from Frappe Projects module,Увезете постоечки проекти и задачи од модулот Frappe Projects
Import failed,Увозот не успеа
Import Template,Увези шаблон
Imported,Увезено
in,во
In Progress,Во тек
In Review,На преглед
In-app notifications,Известувања во апликацијата
Inactive,Неактивно
Initial Review,Почетен преглед
Installed Version,Installed Version
Insufficient permissions to view all tasks,Недоволни дозволи за преглед на сите задачи
Intermediate,Средно ниво
Internal,Внатрешно
Invalid DocType,Невалиден DocType
Invalid DocType for import,Невалиден DocType за увоз
Invalid item type: {0},Невалиден вид на ставка: {0}
Invalid JSON data,Невалидни JSON податоци
Invalid note type. Must be one of: {0},Невалиден вид на белешка. Мора да биде една од: {0}
Invalid project reference,Невалидна референца на проект
Invalid reaction type. Must be one of: {0},Невалиден вид на реакција. Мора да биде една од: {0}
Invalid RSVP status,Невалиден RSVP статус
Invalid status. Must be one of: {0},Невалиден статус. Мора да биде еден од: {0}
Invalid status: {0},Невалиден статус: {0}
Invalid status: {0}. Must be one of: {1},Невалиден статус: {0}. Мора да биде еден од: {1}
Invalid tracking context: {0},Невалиден контекст на следење: {0}
Invalid visibility. Must be one of: {0},Невалидна видливост. Мора да биде една од: {0}
