+ Add Milestone,+ Lisa verstapost
Budget at risk,Eelarve ohus
Budget Burn Rate,Eelarve kulutamise kiirus
Budget Status,Eelarve olek
Budget updated,Eelarve uuendatud
Budget:,Eelarve:
Bug,Viga
Burn Rate,Kulutamise kiirus
Busy,Hõivatud
By,Autor
By Assignee,Määratu järgi
By Group,Rühma järgi
By Milestone,Verstapostide järgi
By Priority,Prioriteedi järgi
By Status,Oleku järgi
Cancel,Tühista
Cancelled,Tühistatud
cannot be undone,ei saa tagasi võtta
Cannot delete client with {0} linked projects. Unlink projects first.,Ei saa kustutada klienti {0} seotud projektiga. Eemaldage esmalt projektide seosed.
Cannot delete project with {0} linked tasks. Delete tasks first.,Ei saa kustutada projekti {0} seotud ülesandega. Kustutage esmalt ülesanded.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Ei saa kustutada ressurssi {0} aktiivse määramisega. Lõpetage või tühistage need esmalt.
Cannot delete task with {0} subtasks. Delete subtasks first.,Ei saa kustutada ülesannet {0} alamülesandega. Kustutage esmalt alamülesanded.
Capacity,Maht
capacity,maht
Capacity & Rates,Maht ja määrad
Capture project structure for reuse,Salvesta projekti struktuur taaskasutamiseks
Cascade,Kaskaad
Cascade Preview,Kaskaadi eelvaade
Category,Kategooria
Celebrate,Tähista
Change,Muuda
Change History,Muudatuste ajalugu
Change Priority,Muuda prioriteeti
Change Status,Muuda olekut
Changes,Muudatused
Changes appear when fields are modified.,Muudatused ilmuvad väljade muutmisel.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Kontrollnimekiri
Checklist item name is required,Kontrollnimekirja elemendi nimi on nõutav
Checklist item not found,Kontrollnimekirja elementi ei leitud
Checklist item title is required,Kontrollnimekirja elemendi pealkiri on nõutav
Checklist item {0} not found,Kontrollnimekirja elementi {0} ei leitud
Checklist item {0} not found in task,Kontrollnimekirja elementi {0} ei leitud ülesandest
Child,Alamülesanne
Choose file to upload,Valige fail üleslaadimiseks
Circular dependency detected: {0},Ringkujuline sõltuvus tuvastatud: {0}
Circular parent-child relationship detected,Ringkujuline ülem-alam seos tuvastatud
Clear,Tühjenda
Clear all read,Tühjenda kõik loetud
Clear date,Tühjenda kuupäev
Click on an activity from the list to view and manage its details.,Klõpsake tegevusel loendis selle üksikasjade vaatamiseks ja haldamiseks.
Click the avatar to upload a new photo,Klõpsake profiilipildil uue foto üleslaadimiseks
Click to add description...,Klõpsake kirjelduse lisamiseks...
Click to add notes...,Klõpsake märkmete lisamiseks...
Click to assign contact,Klõpsake kontakti määramiseks
Click to change status,Klõpsake oleku muutmiseks
Click to change type,Klõpsake tüübi muutmiseks
Click to edit,Klõpsake muutmiseks
Click to edit budget,Klõpsake eelarve muutmiseks
Click to edit description,Klõpsake kirjelduse muutmiseks
Click to edit end date,Klõpsake lõppkuupäeva muutmiseks
Click to edit milestone name,Klõpsake verstapostile nime muutmiseks
Click to edit rate,Klõpsake määra muutmiseks
Click to edit start date,Klõpsake alguskuupäeva muutmiseks
Click to edit title,Klõpsake pealkirja muutmiseks
Click to load,Klõpsake laadimiseks
Click to set group dependency...,Klõpsake rühma sõltuvuse määramiseks...
Click to set group...,Klõpsake rühma määramiseks...
Click to view,Klõpsake vaatamiseks
Click to view at-risk projects,Klõpsake ohustatud projektide vaatamiseks
Click to view critical projects,Klõpsake kriitiliste projektide vaatamiseks
Click to view healthy projects,Klõpsake tervete projektide vaatamiseks
Client,Klient
Client already has a portal user: {0},Kliendil on juba portaali kasutaja: {0}
Client already has portal access,Kliendil on juba portaalile juurdepääs
Client has no portal user to revoke,Kliendil ei ole portaali kasutajat tühistamiseks
Client link removed from project {0},Kliendi seos eemaldatud projektist {0}
Client Portal,Kliendiportaal
Client {0} deleted successfully,Klient {0} edukalt kustutatud
Close,Sulge
Close (Esc),Sulge (Esc)
Comment,Kommentaar
comment,kommentaar
Comment added,Kommentaar lisatud
Comment content is required,Kommentaari sisu on nõutav
Comment name is required,Kommentaari nimi on nõutav
Comment not found,Kommentaari ei leitud
Comment removed,Kommentaar eemaldatud
Comment {0} not found in task,Kommentaari {0} ei leitud ülesandest
Comments,Kommentaarid
comments,kommentaarid
Community Edition,Community Edition
Company,Ettevõte
Company name...,Ettevõtte nimi...
Complete,Lõpeta
Completed,Lõpetatud
completed,lõpetatud
Completed Tasks,Lõpetatud ülesanded
Compliance,Vastavus
Configure default values for new projects and tasks,Seadista uute projektide ja ülesannete vaikeväärtused
Configure email notification settings,Seadista e-posti teavituste sätted
Confirm,Kinnita
Contact deleted,Kontakt kustutatud
Contact Details,Kontakti üksikasjad
Contact Information,Kontaktandmed
Contact name is required,Kontakti nimi on nõutav
Contact Support,Võta ühendust toega
Contact your project manager for more information.,Lisateabe saamiseks pöörduge projektijuhi poole.
Contact:,Kontakt:
Contacts,Kontaktid
Context,Kontekst
Contractor,Töövõtja
Cost estimate cannot be negative,Kulude hinnang ei saa olla negatiivne
Cost Impact,Kulu mõju
Cost Summary,Kulude kokkuvõte
Could not apply the template. Please try again.,Malli rakendamine ebaõnnestus. Palun proovige uuesti.
Could not attach file to project,Faili lisamine projektile ebaõnnestus
Could not change task priority,Ülesande prioriteedi muutmine ebaõnnestus
Could not change task status,Ülesande oleku muutmine ebaõnnestus
Could not delete the project. Please try again.,Projekti kustutamine ebaõnnestus. Palun proovige uuesti.
Could not delete the task. Please try again.,Ülesande kustutamine ebaõnnestus. Palun proovige uuesti.
Could not delete the template.,Malli kustutamine ebaõnnestus.
Could not duplicate the task. Please try again.,Ülesande kopeerimine ebaõnnestus. Palun proovige uuesti.
Could not export the template.,Malli eksportimine ebaõnnestus.
Could not import the template. Please check the file format.,Malli importimine ebaõnnestus. Palun kontrollige faili vormingut.
Could not link task to milestone,Ülesande sidumine verstapostiga ebaõnnestus
Could not load document details.,Dokumendi üksikasjade laadimine ebaõnnestus.
Could not load task details,Ülesande üksikasjade laadimine ebaõnnestus
Could not promote checklist item to task.,Kontrollnimekirja elemendi edutamine ülesandeks ebaõnnestus.
Could not remove task from milestone,Ülesande eemaldamine verstapostist ebaõnnestus
Could not save budget.,Eelarve salvestamine ebaõnnestus.
Could not save changes to the milestone,Verstapostile tehtud muudatuste salvestamine ebaõnnestus
Could not save changes to the task,Ülesandele tehtud muudatuste salvestamine ebaõnnestus
Could not save description.,Kirjelduse salvestamine ebaõnnestus.
Could not save end date.,Lõppkuupäeva salvestamine ebaõnnestus.
Could not save milestone name.,Verstapostile nime salvestamine ebaõnnestus.
Could not save start date.,Alguskuupäeva salvestamine ebaõnnestus.
Could not save the template. Please try again.,Malli salvestamine ebaõnnestus. Palun proovige uuesti.
Could not save title.,Pealkirja salvestamine ebaõnnestus.
Could not update dependency mode.,Sõltuvuse režiimi uuendamine ebaõnnestus.
Could not update milestone date,Verstapostile kuupäeva uuendamine ebaõnnestus
Could not update project status.,Projekti oleku uuendamine ebaõnnestus.
Could not update project type.,Projekti tüübi uuendamine ebaõnnestus.
Could not update setting.,Sätte uuendamine ebaõnnestus.
Could not update task dates,Ülesande kuupäevade uuendamine ebaõnnestus
Could not update task status,Ülesande oleku uuendamine ebaõnnestus
Could not update the template.,Malli uuendamine ebaõnnestus.
Create a copy of this task,Loo sellest ülesandest koopia
Create Contact,Loo kontakt
Create Event,Loo sündmus
Create Milestone,Loo verstapost
Create New Milestone,Loo uus verstapost
Create New Task,Loo uus ülesanne
Create Project,Loo projekt
Create Task,Loo ülesanne
Create tasks and milestones from a template,Loo ülesanded ja verstapostid mallist
Create your first project to get started.,Looge oma esimene projekt alustamiseks.
Create your first task to start tracking work on this project.,Looge esimene ülesanne selle projekti töö jälgimiseks.
Created,Loodud
Creating...,Loomine...
Critical,Kriitiline
Critical Path,Kriitiline tee
"Currency used for budgets, costs, and billing rates","Valuuta eelarveteks, kuludeks ja arveldusmääradeks"
Current,Praegune
Current Assignments,Praegused määramised
Current scheduled time:,Praegune kavandatud aeg:
Currently running version,Currently running version
d lag,p viivitus
Daily Availability,Päevane saadavus
Daily Hours,Päevatunnid
Danger Zone,Ohutsoon
Dark,Tume
Dashboard,Töölaud
Date,Kuupäev
Date changes on this task will show cascade impact here,Selle ülesande kuupäevamuudatused näitavad kaskaadimõju siin
Date cleared,Kuupäev tühjendatud
Date of Joining,Liitumise kuupäev
Date updated,Kuupäev uuendatud
Dates,Kuupäevad
Dates cascaded,Kuupäevad kaskaaditud
Dates will be relative to the project's start date.,Kuupäevad on suhtelised projekti alguskuupäeva suhtes.
Day,Päev
day,päev
days,päeva
Days before due date to send reminder,Päevi enne tähtaega meeldetuletuse saatmiseks
Days Overdue,Päevi üle tähtaja
Days Remaining,Päevi jäänud
Deadline,Tähtaeg
Deadlines,Tähtajad
Decision,Otsus
Decline,Keeldu
Declined,Keeldutud
Default Currency,Vaikevaluuta
Default hours per week for contact capacity planning,Vaiketunnid nädalas kontakti mahuplaneerimiseks
Default Priority,Vaikepriortieet
Default Project Status,Projekti vaikeolek
Default Task Status,Ülesande vaikeolek
Default task view,Ülesande vaikevaade
Default Values,Vaikeväärtused
Default Weekly Capacity,Vaikimisi nädalane maht
Defaults,Vaikeväärtused
Defect Cost Impact,Defekti kulu mõju
Defect name is required,Defekti nimi on nõutav
Defect Type,Defekti tüüp
Defect {0} not found,Defekti {0} ei leitud
Defects,Defektid
Defects & Issues,Defektid ja probleemid
Defects Resolved,Lahendatud defektid
Delayed,Hilinenud
Delete,Kustuta
Delete Activity Data,Kustuta tegevuse andmed
Delete all read notifications?,Kustutada kõik loetud teavitused?
Delete comment,Kustuta kommentaar
Delete Contact,Kustuta kontakt
Delete Event,Kustuta sündmus
Delete Event?,Kustutada sündmus?
Delete failed,Kustutamine ebaõnnestus
Delete file,Kustuta fail
Delete item,Kustuta element
Delete note,Kustuta märkus
Delete Project,Kustuta projekt
Delete Task,Kustuta ülesanne
Delete this project,Kustuta see projekt
Deleted,Kustutatud
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekt ""{0}"" kustutatud ({1} ülesannet, {2} verstapostid)"
Deletes notes and preferences. Source document is not affected.,Kustutab märkmed ja eelistused. Lähtekovumenti ei mõjutata.
Deleting...,Kustutamine...
Department,Osakond
Dependencies,Sõltuvused
dependencies,sõltuvused
Dependencies are informational only,Sõltuvused on ainult teavituslikud
dependency,sõltuvus
Dependency already exists,Sõltuvus on juba olemas
Dependency Chain,Sõltuvuste ahel
Dependency created,Sõltuvus loodud
Dependency mode updated,Sõltuvuse režiim uuendatud
Dependency name is required,Sõltuvuse nimi on nõutav
Dependency task {0} not found,Sõltuvuse ülesannet {0} ei leitud
Dependency {0} not found,Sõltuvust {0} ei leitud
depends,sõltub
Depends on Group,Sõltub rühmast
Depends on task is required,Sõltuvusülesanne on nõutav
depends on...,sõltub...
Descending -- click to reverse,Kahanev -- klõpsake ümberpööramiseks
Describe the defect in detail...,Kirjeldage defekti üksikasjalikult...
Description,Kirjeldus
Description updated,Kirjeldus uuendatud
Designation,Ametinimetus
"Detailed description of the defect, location, and impact","Defekti, asukoha ja mõju üksikasjalik kirjeldus"
Details,Üksikasjad
Discard timer,Loobu taimerist
Discussion,Arutelu
Dismiss,Dismiss
Display,Kuva
Document,Dokument
Document attached to project,Dokument lisatud projektile
Document final decision and rationale,Dokumenteeri lõplik otsus ja põhjendus
Documentation Review,Dokumentatsiooni ülevaatus
Documents,Dokumendid
Done,Valmis
Download,Laadi alla
Drag to create dependency,Lohistage sõltuvuse loomiseks
Dry Run,Proovijooks
Dry Run Complete,Proovijooks lõpetatud
Due Date,Tähtaeg
Due date,Tähtaeg
Due Date (Earliest),Tähtaeg (varaseim)
Due date cannot be before start date,Tähtaeg ei saa olla enne alguskuupäeva
Due date is in the past,Tähtaeg on minevikus
Due Date Reminders,Tähtaja meeldetuletused
Due Diligence,Nõuetekohane hoolsus
Due Diligence Checklist,Nõuetekohase hoolsuse kontrollnimekiri
Due This Week,Tähtaeg sel nädalal
Due:,Tähtaeg:
Duplicate events are not allowed,Korduvad sündmused ei ole lubatud
Duplicate failed,Kopeerimine ebaõnnestus
Duplicate Task,Kopeeri ülesanne
Duration,Kestus
Duration Summary,Kestuse kokkuvõte
Duration:,Kestus:
e.g. Cracked wall finish in bathroom...,nt Pragunenud seinakate vannitoas...
"e.g. Electrical, Plumbing...","nt Elektri-, Torutööd..."
Edit,Muuda
Edit (E),Muuda (E)
Edit dependency,Muuda sõltuvust
Edit Event,Muuda sündmust
Efficiency,Tõhusus
Either dependency_name or depends_on is required,dependency_name või depends_on on nõutav
Email,E-post
Email invitations to all attendees,E-posti kutsed kõigile osalejatele
Email is required to create portal user,E-posti aadress on vajalik portaali kasutaja loomiseks
Email notifications,E-posti teavitused
Employee,Töötaja
Employee DocType not available,Töötaja DocType ei ole saadaval
Employee not found,Töötajat ei leitud
Enable or disable optional features,Luba või keela valikulised funktsioonid
Enable Time Tracking,Luba aja jälgimine
End,Lõpp
End Date,Lõppkuupäev
End date,Lõppkuupäev
End Date cannot be before Start Date,Lõppkuupäev ei saa olla enne alguskuupäeva
End date cannot be before start date,Lõppkuupäev ei saa olla enne alguskuupäeva
End date updated,Lõppkuupäev uuendatud
End time was before start time. Adjusted to 1 hour after start.,Lõpuaeg oli enne algusaega. Kohandatud 1 tund pärast algust.
End:,Lõpp:
Enter milestone name...,Sisestage verstapostile nimi...
Enter project name,Sisestage projekti nimi
Enter task title...,Sisestage ülesande pealkiri...
Enter template name,Sisestage malli nimi
Enter your note... Use @name to mention someone,Sisestage oma märkus... Kasutage @nimi kellegi mainimiseks
Error,Viga
Error loading activity,Viga tegevuse laadimisel
Error loading contacts,Viga kontaktide laadimisel
Error loading dashboard,Viga töölaua laadimisel
Error loading project,Viga projekti laadimisel
Error loading projects,Viga projektide laadimisel
Error loading settings,Viga sätete laadimisel
Error loading tasks,Viga ülesannete laadimisel
Error loading templates,Viga mallide laadimisel
Est. Hours,Hin. tunnid
Estimated,Hinnanguline
Estimated Cost,Hinnanguline kulu
Estimated Cost (€),Hinnanguline kulu (€)
Estimated Hours,Hinnangulised tunnid
Estimated:,Hinnanguline:
Evaluate potential risks and concerns,Hinnake võimalikke riske ja murekohti
Event,Sündmus
Event is required for event context,Sündmus on nõutav sündmuse konteksti jaoks
Event is required when tracking context is 'event',"Sündmus on nõutav kui jälgimise kontekst on „sündmus""
Events not available. Please run: bench --site orga.localhost migrate"""
Event Type,Sündmuse tüüp
Events,Sündmused
Events not available. Please run: bench --site orga.localhost migrate,Sündmused pole saadaval. Palun käivitage: bench --site orga.localhost migrate
Events:,Sündmused:
Expert,Ekspert
Explain why you are proposing a different time...,Selgitage miks te pakute teist aega...
Export,Ekspordi
Export failed,Eksportimine ebaõnnestus
Export JSON,Ekspordi JSON
Exported,Eksporditud
Exported to timesheet {0},Eksporditud ajakaardile {0}
External,Väline
Failed to add item,Elemendi lisamine ebaõnnestus
Failed to add note,Märkuse lisamine ebaõnnestus
Failed to add skill,Oskuse lisamine ebaõnnestus
Failed to apply cascade changes: {0},Kaskaadmuudatuste rakendamine ebaõnnestus: {0}
Failed to create defect,Defekti loomine ebaõnnestus
Failed to create dependency,Sõltuvuse loomine ebaõnnestus
Failed to create event,Sündmuse loomine ebaõnnestus
Failed to create milestone,Verstapostile loomine ebaõnnestus
Failed to create project,Projekti loomine ebaõnnestus
Failed to create task,Ülesande loomine ebaõnnestus
Failed to create time log,Ajakande loomine ebaõnnestus
Failed to delete,Kustutamine ebaõnnestus
Failed to delete comment,Kommentaari kustutamine ebaõnnestus
Failed to delete contact,Kontakti kustutamine ebaõnnestus
Failed to load,Laadimine ebaõnnestus
Failed to load activity,Tegevuse laadimine ebaõnnestus
Failed to load assignments,Määramiste laadimine ebaõnnestus
Failed to load contact,Kontakti laadimine ebaõnnestus
Failed to load dashboard data,Töölaua andmete laadimine ebaõnnestus
Failed to load defects,Defektide laadimine ebaõnnestus
Failed to load events,Sündmuste laadimine ebaõnnestus
Failed to load project,Projekti laadimine ebaõnnestus
Failed to load projects,Projektide laadimine ebaõnnestus
Failed to load report data,Aruande andmete laadimine ebaõnnestus
Failed to load settings,Sätete laadimine ebaõnnestus
Failed to load tasks,Ülesannete laadimine ebaõnnestus
Failed to move task,Ülesande liigutamine ebaõnnestus
Failed to post comment,Kommentaari postitamine ebaõnnestus
Failed to propose new time,Uue aja pakkumine ebaõnnestus
Failed to remove item,Elemendi eemaldamine ebaõnnestus
Failed to remove skill,Oskuse eemaldamine ebaõnnestus
Failed to reorder milestones: {0},Verstapostide ümberjärjestamine ebaõnnestus: {0}
Failed to reorder tasks: {0},Ülesannete ümberjärjestamine ebaõnnestus: {0}
Failed to reschedule dependent tasks: {0},Sõltuvate ülesannete ümberplaneerimine ebaõnnestus: {0}
Failed to save,Salvestamine ebaõnnestus
Failed to save preferences,Eelistuste salvestamine ebaõnnestus
Failed to save settings,Sätete salvestamine ebaõnnestus
Failed to submit request. Please try again.,Taotluse esitamine ebaõnnestus. Palun proovige uuesti.
Failed to update item,Elemendi uuendamine ebaõnnestus
Failed to update priority,Prioriteedi uuendamine ebaõnnestus
Failed to update task,Ülesande uuendamine ebaõnnestus
Failed to update tasks: {0},Ülesannete uuendamine ebaõnnestus: {0}
Failed to upload avatar,Profiilipildi üleslaadimine ebaõnnestus
Feature,Funktsioon
Features,Funktsioonid
FF (Finish-Finish),FF (Lõpp-Lõpp)
FF - Finish-to-Finish,FF - Lõpp-Lõpp
Field has been updated,Väli on uuendatud
Field name is required for 'Set Field Value' action,"Välja nimi on nõutav tegevuse „Määra välja väärtus jaoks"""
Field {0} is not a Link field,Väli {0} ei ole lingitüüpi väli
Field {0} not found in {1},Välja {0} ei leitud {1}
File,Fail
file,fail
File does not belong to this task,Fail ei kuulu selle ülesande juurde
File name is required,Faili nimi on nõutav
File uploaded,Fail üles laaditud
File {0} not found,Faili {0} ei leitud
Files,Failid
files,failid
Filter,Filter
Final Decision,Lõplik otsus
Finance,Rahandus
Financial,Rahaline
Finish-to-Finish,Lõpp-Lõpp
Finish-to-Start,Lõpp-Algus
Flag,Märgista
Flag for attention,Märgista tähelepanuks
Flagged,Märgistatud
Focus Panel,Fookuspaneel
Follows your system preference. Currently:,Järgib teie süsteemi eelistust. Hetkel:
Frappe Project {0} not found,Frappe projekti {0} ei leitud
Frappe Projects Migration,Frappe Projects migratsioon
Frappe Projects module not available,Frappe Projects moodul ei ole saadaval
Frappe Projects module not installed,Frappe Projects moodul ei ole installitud
Frappe Projects sync is not enabled,Frappe Projects sünkroonimine ei ole lubatud
Frappe Task DocType not found,Frappe ülesande DocType ei leitud
Frappe Task has no project,Frappe ülesandel puudub projekt
Frappe Task {0} not found,Frappe ülesannet {0} ei leitud
Fri,R
From,Alates
From Template,Mallist
FS (Finish-Start),FS (Lõpp-Algus)
FS - Finish-to-Start (default),FS - Lõpp-Algus (vaikimisi)
Full form view with audit trail,Täisvaade muudatuste jäljega
Full name,Täisnimi
Gantt,Gantt
Gantt Chart,Gantt diagramm
Gantt View,Gantt vaade
General Note,Üldine märkus
Get started,Alusta
Go back,Mine tagasi
Go Back,Go Back
Group by,Rühmita
Group dependency removed,Rühma sõltuvus eemaldatud
Group dependency set,Rühma sõltuvus määratud
Group removed,Rühm eemaldatud
Group updated,Rühm uuendatud
Hammock task dates are auto-calculated and cannot be changed manually,Hängmatitüüpi ülesande kuupäevad arvutatakse automaatselt ja neid ei saa käsitsi muuta
Have a question or need assistance? Fill out the form below and our team will get back to you.,Kas teil on küsimus või vajate abi? Täitke allolev vorm ja meie meeskond vastab teile.
Health,Tervis
Healthy,Terve
Hello {0},Tere {0}
Here's what's happening with your projects today.,Siin on ülevaade teie tänastest projektidest.
Hide,Peida
High,Kõrge
History,Ajalugu
Home,Avaleht
Hourly Cost,Tunnihind
Hours,Tunnid
hours,tundi
Hours Logged,Kirjutatud tunnid
ID,ID
Image must be smaller than 5 MB,Pilt peab olema väiksem kui 5 MB
Import,Impordi
Import existing projects and tasks from Frappe Projects module,Importige olemasolevad projektid ja ülesanded Frappe Projects moodulist
Import failed,Importimine ebaõnnestus
Import Template,Impordi mall
Imported,Imporditud
in,sees
In Progress,Pooleli
In Review,Ülevaatusel
In-app notifications,Rakendusesisesed teavitused
Inactive,Mitteaktiivne
