+ Add Milestone,+ Voeg mylpaal by
Adding this dependency would create a circular reference: {0},Die byvoeging van hierdie afhanklikheid sal 'n kringverwysing skep: {0}
Adding...,Besig om by te voeg...
Address,Adres
Advanced,Gevorderd
All,Alle
All Active,Alle aktiewe
All Assignees,Alle toegekendes
All Categories,Alle kategorieë
All caught up!,Alles is bygewerk!
All Contexts,Alle kontekste
All day,Heeldag
All day event,Heeldaggeleentheid
All fields,Alle velde
All Priorities,Alle prioriteite
All Projects,Alle projekte
All Status,Alle statusse
All Statuses,Alle statusse
All task dependencies & relative dates,Alle taakafhanklikhede en relatiewe datums
All Tasks,Alle take
All tasks across all projects.,Alle take oor alle projekte.
All tasks are already linked,Alle take is reeds gekoppel
All team members,Alle spanlede
All Types,Alle tipes
All Users,Alle gebruikers
Allocated,Toegeken
allocated,toegeken
Allow users to log time against tasks,Laat gebruikers toe om tyd teen take aan te teken
Already exported to timesheet {0},Reeds na tydstaat {0} uitgevoer
Already Migrated,Reeds gemigreer
Anyone with access,Enigiemand met toegang
anytime to show this help,enige tyd om hierdie hulp te wys
App Updates,App Updates
Appearance,Voorkoms
Apply,Pas toe
Apply cascade?,Pas kaskade toe?
Apply Changes,Pas veranderings toe
Apply failed,Toepassing het misluk
Apply Template,Pas sjabloon toe
Applying...,Besig om toe te pas...
Appointment,Afspraak
Appointment and resource are required,Afspraak en kontakpersoon word vereis
Appointment name is required,Die afspraaknaam word vereis
Appointment not found,Afspraak nie gevind nie
Appointment {0} not found,Afspraak {0} nie gevind nie
Apps,Toepassings
Archive,Argiveer
Archive Activity,Argiveer aktiwiteit
Archived,Geargiveer
Are you sure you want to delete this activity data? This cannot be undone.,Is u seker u wil hierdie aktiwiteitsdata verwyder? Dit kan nie ongedaan gemaak word nie.
Are you sure you want to delete this comment?,Is u seker u wil hierdie opmerking verwyder?
Are you sure you want to delete this project?,Is u seker u wil hierdie projek verwyder?
Are you sure?,Is u seker?
Ascending -- click to reverse,Stygende volgorde -- klik om om te keer
Assign To,Ken toe aan
Assign to Me,Ken aan my toe
Assigned Contact,Toegekende kontak
Assigned To,Toegeken aan
Assigned to,Toegeken aan
Assigned to Me,Aan my toegeken
Assignee,Toegekende
Assignment,Toekenning
Assignment History,Toekenningsgeskiedenis
Assignment name is required,Die toekenningsnaam word vereis
Assignment {0} not found,Toekenning {0} nie gevind nie
Assignments,Toekennings
At least one action is required,Minstens een aksie word vereis
At least one event is required,Minstens een geleentheid word vereis
At least one event must be selected,Minstens een geleentheid moet gekies word
Attachment,Aanhegsel
Attachments,Aanhegsels
Attendees,Bywoners
"Audit trail, assignments, version history","Ouditspoor, toekennings, weergawegeskiedenis"
Auto,Outomaties
Auto Calculate Progress,Bereken vordering outomaties
Auto Set Missed Milestones,Merk gemiste mylpale outomaties
Auto-shift dependents when dates change,Skuif afhanklike take outomaties wanneer datums verander
Auto-Trail Start,Outomatiese opskuif by begin
Auto-Trail updated,Outomatiese opskuif bygewerk
Automatically calculate project progress from task completion,Bereken projekvordering outomaties uit taakvoltooiing
Automatically mark milestones as missed when overdue,Merk mylpale outomaties as gemis wanneer hulle agterstallig is
Automation rule {0} not found,Outomatiseringsreël {0} nie gevind nie
Automation: {0},Outomatisering: {0}
Availability,Beskikbaarheid
Available,Beskikbaar
Avatar updated successfully,Avatar suksesvol bygewerk
Avg Progress,Gem. vordering
Back,Terug
Back to Portal,Terug na portaal
Back to Projects,Terug na projekte
Beginner,Beginner
Best regards,Vriendelike groete
Billable,Faktureerbaar
Billable Amount,Faktureerbare bedrag
Billable Hours,Faktureerbare ure
Billable Rate,Faktureerbare tarief
Billing Rate,Faktureringstarief
Blocked,Geblokkeer
Both dates are needed to display task as a bar in Gantt chart,Beide datums is nodig om die taak as 'n staaf op die Gantt-grafiek te vertoon
Both doctype and docname are required,Beide doctype en docname word vereis
Both proposed start and end times are required,Beide voorgestelde begin- en eindtye word vereis
Both task_name and depends_on are required,Beide task_name en depends_on word vereis
Breadcrumb,Broodkrummelpad
Brief description of the defect or damage,Kort beskrywing van die gebrek of skade
Brief description of this template,Kort beskrywing van hierdie sjabloon
Brief description of your request,Kort beskrywing van u versoek
Brief project description,Kort projekbeskrywing
Budget,Begroting
Budget at risk,Begroting in gevaar
Budget Burn Rate,Begrotingsverbruikstempo
Budget Status,Begrotingstatus
Budget updated,Begroting bygewerk
Budget:,Begroting:
Bug,Fout
Burn Rate,Verbruikstempo
Busy,Besig
By,Deur
By Assignee,Volgens toegekende
By Group,Volgens groep
By Milestone,Volgens mylpaal
By Priority,Volgens prioriteit
By Status,Volgens status
Cancel,Kanselleer
Cancelled,Gekanselleer
cannot be undone,kan nie ongedaan gemaak word nie
Cannot delete client with {0} linked projects. Unlink projects first.,Kan nie kliënt met {0} gekoppelde projekte verwyder nie. Ontkoppel eers die projekte.
Cannot delete project with {0} linked tasks. Delete tasks first.,Kan nie projek met {0} gekoppelde take verwyder nie. Verwyder eers die take.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Kan nie kontakpersoon met {0} aktiewe toekennings verwyder nie. Voltooi of kanselleer hulle eers.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kan nie taak met {0} subtake verwyder nie. Verwyder eers die subtake.
Capacity,Kapasiteit
capacity,kapasiteit
Capacity & Rates,Kapasiteit en tariewe
Capture project structure for reuse,Vang projekstruktuur vas vir hergebruik
Cascade,Kaskade
Cascade Preview,Kaskade-voorskou
Category,Kategorie
Celebrate,Vier
Change,Verander
Change History,Veranderingsgeskiedenis
Change Priority,Verander prioriteit
Change Status,Verander status
Changes,Veranderings
Changes appear when fields are modified.,Veranderings verskyn wanneer velde gewysig word.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Kontrolelys
Checklist item name is required,Die kontrolelysitemnaam word vereis
Checklist item not found,Kontrolelysitem nie gevind nie
Checklist item title is required,Die kontrolelysitemtitel word vereis
Checklist item {0} not found,Kontrolelysitem {0} nie gevind nie
Checklist item {0} not found in task,Kontrolelysitem {0} nie in taak gevind nie
Child,Kind
Choose file to upload,Kies lêer om op te laai
Circular dependency detected: {0},Kringafhanklikheid bespeur: {0}
Circular parent-child relationship detected,Kringouer-kind-verhouding bespeur
Clear,Maak skoon
Clear all read,Maak alle geleesdes skoon
Clear date,Maak datum skoon
Click on an activity from the list to view and manage its details.,Klik op 'n aktiwiteit in die lys om die besonderhede te bekyk en te bestuur.
Click the avatar to upload a new photo,Klik op die avatar om 'n nuwe foto op te laai
Click to add description...,Klik om beskrywing by te voeg...
Click to add notes...,Klik om notas by te voeg...
Click to assign contact,Klik om kontak toe te ken
Click to change status,Klik om status te verander
Click to change type,Klik om tipe te verander
Click to edit,Klik om te wysig
Click to edit budget,Klik om begroting te wysig
Click to edit description,Klik om beskrywing te wysig
Click to edit end date,Klik om einddatum te wysig
Click to edit milestone name,Klik om mylpaalnaam te wysig
Click to edit rate,Klik om tarief te wysig
Click to edit start date,Klik om begindatum te wysig
Click to edit title,Klik om titel te wysig
Click to load,Klik om te laai
Click to set group dependency...,Klik om groepafhanklikheid in te stel...
Click to set group...,Klik om groep in te stel...
Click to view,Klik om te bekyk
Click to view at-risk projects,Klik om risiko-projekte te bekyk
Click to view critical projects,Klik om kritieke projekte te bekyk
Click to view healthy projects,Klik om gesonde projekte te bekyk
Client,Kliënt
Client already has a portal user: {0},Kliënt het reeds 'n portaalgebruiker: {0}
Client already has portal access,Kliënt het reeds portaaltoegang
Client has no portal user to revoke,Kliënt het geen portaalgebruiker om te herroep nie
Client link removed from project {0},Kliëntskakel verwyder van projek {0}
Client Portal,Kliënteportaal
Client {0} deleted successfully,Kliënt {0} suksesvol verwyder
Close,Sluit
Close (Esc),Sluit (Esc)
Comment,Opmerking
comment,opmerking
Comment added,Opmerking bygevoeg
Comment content is required,Die opmerkingsinhoud word vereis
Comment name is required,Die opmerkingsnaam word vereis
Comment not found,Opmerking nie gevind nie
Comment removed,Opmerking verwyder
Comment {0} not found in task,Opmerking {0} nie in taak gevind nie
Comments,Opmerkings
comments,opmerkings
Community Edition,Community Edition
Company,Maatskappy
Company name...,Maatskappynaam...
Complete,Voltooi
Completed,Voltooi
completed,voltooi
Completed Tasks,Voltooide take
Compliance,Nakoming
Configure default values for new projects and tasks,Stel verstekwaardes in vir nuwe projekte en take
Configure email notification settings,Stel e-poskennisgewinginstellings in
Confirm,Bevestig
Contact deleted,Kontak verwyder
Contact Details,Kontakbesonderhede
Contact Information,Kontakinligting
Contact name is required,Die kontaknaam word vereis
Contact Support,Kontak ondersteuning
Contact your project manager for more information.,Kontak u projekbestuurder vir meer inligting.
Contact:,Kontak:
Contacts,Kontakte
Context,Konteks
Contractor,Kontrakteur
Cost estimate cannot be negative,Kosteraming kan nie negatief wees nie
Cost Impact,Koste-impak
Cost Summary,Koste-opsomming
Could not apply the template. Please try again.,Kon nie die sjabloon toepas nie. Probeer asseblief weer.
Could not attach file to project,Kon nie lêer aan projek heg nie
Could not change task priority,Kon nie taakprioriteit verander nie
Could not change task status,Kon nie taakstatus verander nie
Could not delete the project. Please try again.,Kon nie die projek verwyder nie. Probeer asseblief weer.
Could not delete the task. Please try again.,Kon nie die taak verwyder nie. Probeer asseblief weer.
Could not delete the template.,Kon nie die sjabloon verwyder nie.
Could not duplicate the task. Please try again.,Kon nie die taak dupliseer nie. Probeer asseblief weer.
Could not export the template.,Kon nie die sjabloon uitvoer nie.
Could not import the template. Please check the file format.,Kon nie die sjabloon invoer nie. Kontroleer asseblief die lêerformaat.
Could not link task to milestone,Kon nie taak aan mylpaal koppel nie
Could not load document details.,Kon nie dokumentbesonderhede laai nie.
Could not load task details,Kon nie taakbesonderhede laai nie
Could not promote checklist item to task.,Kon nie kontrolelysitem tot taak bevorder nie.
Could not remove task from milestone,Kon nie taak van mylpaal verwyder nie
Could not save budget.,Kon nie begroting stoor nie.
Could not save changes to the milestone,Kon nie veranderings aan die mylpaal stoor nie
Could not save changes to the task,Kon nie veranderings aan die taak stoor nie
Could not save description.,Kon nie beskrywing stoor nie.
Could not save end date.,Kon nie einddatum stoor nie.
Could not save milestone name.,Kon nie mylpaalnaam stoor nie.
Could not save start date.,Kon nie begindatum stoor nie.
Could not save the template. Please try again.,Kon nie die sjabloon stoor nie. Probeer asseblief weer.
Could not save title.,Kon nie titel stoor nie.
Could not update dependency mode.,Kon nie afhanklikheidsmodus bywerk nie.
Could not update milestone date,Kon nie mylpaaldatum bywerk nie
Could not update project status.,Kon nie projekstatus bywerk nie.
Could not update project type.,Kon nie projektipe bywerk nie.
Could not update setting.,Kon nie instelling bywerk nie.
Could not update task dates,Kon nie taakdatums bywerk nie
Could not update task status,Kon nie taakstatus bywerk nie
Could not update the template.,Kon nie die sjabloon bywerk nie.
Create a copy of this task,Skep 'n kopie van hierdie taak
Create Contact,Skep kontak
Create Event,Skep geleentheid
Create Milestone,Skep mylpaal
Create New Milestone,Skep nuwe mylpaal
Create New Task,Skep nuwe taak
Create Project,Skep projek
Create Task,Skep taak
Create tasks and milestones from a template,Skep take en mylpale uit 'n sjabloon
Create your first project to get started.,Skep u eerste projek om te begin.
Create your first task to start tracking work on this project.,Skep u eerste taak om die werk aan hierdie projek na te spoor.
Created,Geskep
Creating...,Besig om te skep...
Critical,Kritiek
Critical Path,Kritieke pad
"Currency used for budgets, costs, and billing rates","Geldeenheid gebruik vir begrotings, koste en faktureringstariewe"
Current,Huidig
Current Assignments,Huidige toekennings
Current scheduled time:,Huidige geskeduleerde tyd:
Currently running version,Currently running version
d lag,d vertraging
Daily Availability,Daaglikse beskikbaarheid
Daily Hours,Daaglikse ure
Danger Zone,Gevaarsone
Dark,Donker
Dashboard,Kontroleskerm
Date,Datum
Date changes on this task will show cascade impact here,Datumveranderings op hierdie taak sal die kaskade-impak hier wys
Date cleared,Datum skoongemaak
Date of Joining,Datum van indiensneming
Date updated,Datum bygewerk
Dates,Datums
Dates cascaded,Datums gekaskadeer
Dates will be relative to the project's start date.,Datums sal relatief tot die projek se begindatum wees.
Day,Dag
day,dag
days,dae
Days before due date to send reminder,Dae voor sperdatum om herinnering te stuur
Days Overdue,Dae agterstallig
Days Remaining,Oorblywende dae
Deadline,Sperdatum
Deadlines,Sperdatums
Decision,Besluit
Decline,Wys af
Declined,Afgewys
Default Currency,Verstekgeldeenheid
Default hours per week for contact capacity planning,Verstek ure per week vir kontakkapasiteitbeplanning
Default Priority,Verstekprioriteit
Default Project Status,Verstekprojekstatus
Default Task Status,Verstektaakstatus
Default task view,Verstek taakweergawe
Default Values,Verstekwaardes
Default Weekly Capacity,Verstek weeklikse kapasiteit
Defaults,Verstekwaardes
Defect Cost Impact,Koste-impak van gebrek
Defect name is required,Die gebreknaam word vereis
Defect Type,Gebrektipe
Defect {0} not found,Gebrek {0} nie gevind nie
Defects,Gebreke
Defects & Issues,Gebreke en probleme
Defects Resolved,Gebreke opgelos
Delayed,Vertraag
Delete,Verwyder
Delete Activity Data,Verwyder aktiwiteitsdata
Delete all read notifications?,Verwyder alle gelees kennisgewings?
Delete comment,Verwyder opmerking
Delete Contact,Verwyder kontak
Delete Event,Verwyder geleentheid
Delete Event?,Verwyder geleentheid?
Delete failed,Verwydering het misluk
Delete file,Verwyder lêer
Delete item,Verwyder item
Delete note,Verwyder nota
Delete Project,Verwyder projek
Delete Task,Verwyder taak
Delete this project,Verwyder hierdie projek
Deleted,Verwyder
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projek ""{0}"" verwyder ({1} take, {2} mylpale)"
Deletes notes and preferences. Source document is not affected.,Verwyder notas en voorkeure. Die brondokument word nie geraak nie.
Deleting...,Besig om te verwyder...
Department,Afdeling
Dependencies,Afhanklikhede
dependencies,afhanklikhede
Dependencies are informational only,Afhanklikhede is slegs vir inligting
dependency,afhanklikheid
Dependency already exists,Afhanklikheid bestaan reeds
Dependency Chain,Afhanklikheidsketting
Dependency created,Afhanklikheid geskep
Dependency mode updated,Afhanklikheidsmodus bygewerk
Dependency name is required,Die afhanklikheidsnaam word vereis
Dependency task {0} not found,Afhanklikheidstaak {0} nie gevind nie
Dependency {0} not found,Afhanklikheid {0} nie gevind nie
depends,is afhanklik
Depends on Group,Afhanklik van groep
Depends on task is required,Die afhanklike taak word vereis
depends on...,is afhanklik van...
Descending -- click to reverse,Dalende volgorde -- klik om om te keer
Describe the defect in detail...,Beskryf die gebrek in detail...
Description,Beskrywing
Description updated,Beskrywing bygewerk
Designation,Benaming
"Detailed description of the defect, location, and impact","Gedetailleerde beskrywing van die gebrek, ligging en impak"
Details,Besonderhede
Discard timer,Gooi tydhouer weg
Discussion,Bespreking
Dismiss,Dismiss
Display,Vertoon
Document,Dokument
Document attached to project,Dokument aan projek geheg
Document final decision and rationale,Dokumenteer finale besluit en motivering
Documentation Review,Dokumentasieoorsig
Documents,Dokumente
Done,Klaar
Download,Aflaai
Drag to create dependency,Sleep om afhanklikheid te skep
Dry Run,Toetslopie
Dry Run Complete,Toetslopie voltooi
Due Date,Sperdatum
Due date,Sperdatum
Due Date (Earliest),Sperdatum (vroegste)
Due date cannot be before start date,Die sperdatum kan nie voor die begindatum wees nie
Due date is in the past,Die sperdatum is in die verlede
Due Date Reminders,Sperdatumherinneringe
Due Diligence,Omsigtigheidsondersoek
Due Diligence Checklist,Kontrolelys vir omsigtigheidsondersoek
Due This Week,Hierdie week verskuldig
Due:,Sperdatum:
Duplicate events are not allowed,Duplikaat-geleenthede word nie toegelaat nie
Duplicate failed,Duplisering het misluk
Duplicate Task,Dupliseer taak
Duration,Duur
Duration Summary,Duuropsomming
Duration:,Duur:
e.g. Cracked wall finish in bathroom...,bv. Gebarste muurafwerking in badkamer...
"e.g. Electrical, Plumbing...","bv. Elektries, Loodgieterswerk..."
Edit,Wysig
Edit (E),Wysig (E)
Edit dependency,Wysig afhanklikheid
Edit Event,Wysig geleentheid
Efficiency,Doeltreffendheid
Either dependency_name or depends_on is required,dependency_name of depends_on word vereis
Email,E-pos
Email invitations to all attendees,E-posuitnodigings aan alle bywoners
Email is required to create portal user,E-posadres word vereis om portaalgebruiker te skep
Email notifications,E-poskennisgewings
Employee,Werknemer
Employee DocType not available,DocType Werknemer nie beskikbaar nie
Employee not found,Werknemer nie gevind nie
Enable or disable optional features,Aktiveer of deaktiveer opsionele kenmerke
Enable Time Tracking,Aktiveer tydaantekening
End,Einde
End Date,Einddatum
End date,Einddatum
End Date cannot be before Start Date,Die einddatum kan nie voor die begindatum wees nie
End date cannot be before start date,Die einddatum kan nie voor die begindatum wees nie
End date updated,Einddatum bygewerk
End time was before start time. Adjusted to 1 hour after start.,Die eindtyd was voor die begintyd. Aangepas na 1 uur na die begin.
End:,Einde:
Enter milestone name...,Voer mylpaalnaam in...
Enter project name,Voer projeknaam in
Enter task title...,Voer taaktitel in...
Enter template name,Voer sjabloonnaam in
Enter your note... Use @name to mention someone,Voer u nota in... Gebruik @naam om iemand te noem
Error,Fout
Error loading activity,Fout met die laai van aktiwiteit
Error loading contacts,Fout met die laai van kontakte
Error loading dashboard,Fout met die laai van die kontroleskerm
Error loading project,Fout met die laai van die projek
Error loading projects,Fout met die laai van projekte
Error loading settings,Fout met die laai van instellings
Error loading tasks,Fout met die laai van take
Error loading templates,Fout met die laai van sjablone
Est. Hours,Gesk. ure
Estimated,Geskat
Estimated Cost,Geskatte koste
Estimated Cost (€),Geskatte koste (€)
Estimated Hours,Geskatte ure
Estimated:,Geskat:
Evaluate potential risks and concerns,Evalueer moontlike risiko's en bekommernisse
Event,Geleentheid
Event is required for event context,Geleentheid word vereis vir geleentheidskonteks
Event is required when tracking context is 'event',Geleentheid word vereis wanneer die spoorkonteks 'geleentheid' is
Event Type,Geleentheidstipe
Events,Geleenthede
Events not available. Please run: bench --site orga.localhost migrate,Geleenthede nie beskikbaar nie. Voer asseblief uit: bench --site orga.localhost migrate
Events:,Geleenthede:
Expert,Kenner
Explain why you are proposing a different time...,Verduidelik waarom u 'n ander tyd voorstel...
Export,Voer uit
Export failed,Uitvoer het misluk
Export JSON,Voer uit as JSON
Exported,Uitgevoer
Exported to timesheet {0},Uitgevoer na tydstaat {0}
External,Ekstern
Failed to add item,Kon nie item byvoeg nie
Failed to add note,Kon nie nota byvoeg nie
Failed to add skill,Kon nie vaardigheid byvoeg nie
Failed to apply cascade changes: {0},Kon nie kaskade-veranderings toepas nie: {0}
Failed to create defect,Kon nie gebrek skep nie
Failed to create dependency,Kon nie afhanklikheid skep nie
Failed to create event,Kon nie geleentheid skep nie
Failed to create milestone,Kon nie mylpaal skep nie
Failed to create project,Kon nie projek skep nie
Failed to create task,Kon nie taak skep nie
Failed to create time log,Kon nie tydinskrywing skep nie
Failed to delete,Kon nie verwyder nie
Failed to delete comment,Kon nie opmerking verwyder nie
Failed to delete contact,Kon nie kontak verwyder nie
Failed to load,Kon nie laai nie
Failed to load activity,Kon nie aktiwiteit laai nie
Failed to load assignments,Kon nie toekennings laai nie
Failed to load contact,Kon nie kontak laai nie
Failed to load dashboard data,Kon nie kontroleskermdata laai nie
Failed to load defects,Kon nie gebreke laai nie
Failed to load events,Kon nie geleenthede laai nie
Failed to load project,Kon nie projek laai nie
Failed to load projects,Kon nie projekte laai nie
Failed to load report data,Kon nie verslagdata laai nie
Failed to load settings,Kon nie instellings laai nie
Failed to load tasks,Kon nie take laai nie
Failed to move task,Kon nie taak skuif nie
Failed to post comment,Kon nie opmerking plaas nie
Failed to propose new time,Kon nie nuwe tyd voorstel nie
Failed to remove item,Kon nie item verwyder nie
Failed to remove skill,Kon nie vaardigheid verwyder nie
Failed to reorder milestones: {0},Kon nie mylpale herrangskik nie: {0}
Failed to reorder tasks: {0},Kon nie take herrangskik nie: {0}
Failed to reschedule dependent tasks: {0},Kon nie afhanklike take herskeduleer nie: {0}
Failed to save,Kon nie stoor nie
Failed to save preferences,Kon nie voorkeure stoor nie
Failed to save settings,Kon nie instellings stoor nie
Failed to submit request. Please try again.,Kon nie versoek indien nie. Probeer asseblief weer.
Failed to update item,Kon nie item bywerk nie
Failed to update priority,Kon nie prioriteit bywerk nie
Failed to update task,Kon nie taak bywerk nie
Failed to update tasks: {0},Kon nie take bywerk nie: {0}
Failed to upload avatar,Kon nie avatar oplaai nie
Feature,Kenmerk
Features,Kenmerke
FF (Finish-Finish),FF (Einde-Einde)
FF - Finish-to-Finish,FF - Einde-na-Einde
Field has been updated,Veld is bygewerk
Field name is required for 'Set Field Value' action,Veldnaam word vereis vir die 'Stel veldwaarde in'-aksie
Field {0} is not a Link field,Veld {0} is nie 'n koppelveld nie
Field {0} not found in {1},Veld {0} nie in {1} gevind nie
File,Lêer
file,lêer
File does not belong to this task,Lêer behoort nie aan hierdie taak nie
File name is required,Die lêernaam word vereis
File uploaded,Lêer opgelaai
File {0} not found,Lêer {0} nie gevind nie
Files,Lêers
files,lêers
Filter,Filter
Final Decision,Finale besluit
Finance,Finansies
Financial,Finansieel
Finish-to-Finish,Einde-na-Einde
Finish-to-Start,Einde-na-Begin
Flag,Merk
Flag for attention,Merk vir aandag
Flagged,Gemerk
Focus Panel,Fokuspaneel
Follows your system preference. Currently:,Volg u stelselvoorkeur. Tans:
Frappe Project {0} not found,Frappe-projek {0} nie gevind nie
Frappe Projects Migration,Frappe Projects-migrasie
Frappe Projects module not available,Frappe Projects-module nie beskikbaar nie
Frappe Projects module not installed,Frappe Projects-module nie geïnstalleer nie
Frappe Projects sync is not enabled,Frappe Projects-sinkronisasie is nie geaktiveer nie
Frappe Task DocType not found,Frappe-taak-DocType nie gevind nie
Frappe Task has no project,Frappe-taak het geen projek nie
Frappe Task {0} not found,Frappe-taak {0} nie gevind nie
Fri,Vr
From,Van
From Template,Uit sjabloon
FS (Finish-Start),FS (Einde-Begin)
FS - Finish-to-Start (default),FS - Einde-na-Begin (verstek)
Full form view with audit trail,Volle vormweergawe met ouditspoor
Full name,Volle naam
Gantt,Gantt
Gantt Chart,Gantt-grafiek
Gantt View,Gantt-weergawe
General Note,Algemene nota
Get started,Begin
Go back,Gaan terug
Go Back,Go Back
Group by,Groepeer volgens
Group dependency removed,Groepafhanklikheid verwyder
Group dependency set,Groepafhanklikheid ingestel
Group removed,Groep verwyder
Group updated,Groep bygewerk
Hammock task dates are auto-calculated and cannot be changed manually,Hangmat-taakdatums word outomaties bereken en kan nie handmatig verander word nie
Have a question or need assistance? Fill out the form below and our team will get back to you.,Het u 'n vraag of hulp nodig? Vul die vorm hieronder in en ons span sal u kontak.
Health,Gesondheid
Healthy,Gesond
Hello {0},Hallo {0}
Here's what's happening with your projects today.,Hier is wat vandag met u projekte gebeur.
Hide,Versteek
High,Hoog
History,Geskiedenis
Home,Tuis
Hourly Cost,Koste per uur
Hours,Ure
hours,ure
Hours Logged,Ure aangeteken
ID,ID
Image must be smaller than 5 MB,Beeld moet kleiner as 5 MB wees
Import,Voer in
Import existing projects and tasks from Frappe Projects module,Voer bestaande projekte en take in uit die Frappe Projects-module
Import failed,Invoer het misluk
Import Template,Voer sjabloon in
Imported,Ingevoer
in,in
In Progress,Aan die gang
In Review,Onder oorsig
In-app notifications,Kennisgewings binne die toepassing
Inactive,Onaktief
Initial Review,Aanvanklike oorsig
Installed Version,Installed Version
Insufficient permissions to view all tasks,Onvoldoende regte om alle take te bekyk
Intermediate,Intermediêr
Internal,Intern
Invalid DocType,Ongeldige DocType
Invalid DocType for import,Ongeldige DocType vir invoer
Invalid item type: {0},Ongeldige itemtipe: {0}
Invalid JSON data,Ongeldige JSON-data
Invalid note type. Must be one of: {0},Ongeldige notatipe. Moet een van die volgende wees: {0}
Invalid project reference,Ongeldige projekverwysing
Invalid reaction type. Must be one of: {0},Ongeldige reaksietipe. Moet een van die volgende wees: {0}
Invalid RSVP status,Ongeldige RSVP-status
Invalid status. Must be one of: {0},Ongeldige status. Moet een van die volgende wees: {0}
Invalid status: {0},Ongeldige status: {0}
Invalid status: {0}. Must be one of: {1},Ongeldige status: {0}. Moet een van die volgende wees: {1}
Invalid tracking context: {0},Ongeldige spoorkonteks: {0}
Invalid visibility. Must be one of: {0},Ongeldige sigbaarheid. Moet een van die volgende wees: {0}
Invitation: {0} - {1} at {2},Uitnodiging: {0} - {1} om {2}
Invite People,Nooi mense uit
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
