+ Add Milestone,+ הוסף אבן דרך
Are you sure you want to delete this activity data? This cannot be undone.,האם אתה בטוח שברצונך למחוק נתוני פעילות אלה? לא ניתן לבטל פעולה זו.
Are you sure you want to delete this comment?,האם אתה בטוח שברצונך למחוק תגובה זו?
Are you sure you want to delete this project?,האם אתה בטוח שברצונך למחוק פרויקט זה?
Are you sure?,האם אתה בטוח?
Ascending -- click to reverse,סדר עולה -- לחץ להיפוך
Assign To,הקצה ל
Assign to Me,הקצה לי
Assigned Contact,איש קשר מוקצה
Assigned To,מוקצה ל
Assigned to,מוקצה ל
Assigned to Me,מוקצה לי
Assignee,מוקצה
Assignment,הקצאה
Assignment History,היסטוריית הקצאות
Assignment name is required,שם ההקצאה נדרש
Assignment {0} not found,הקצאה {0} לא נמצאה
Assignments,הקצאות
At least one action is required,נדרשת לפחות פעולה אחת
At least one event is required,נדרש לפחות אירוע אחד
At least one event must be selected,יש לבחור לפחות אירוע אחד
Attachment,קובץ מצורף
Attachments,קבצים מצורפים
Attendees,משתתפים
"Audit trail, assignments, version history","מסלול ביקורת, הקצאות, היסטוריית גרסאות"
Auto,אוטומטי
Auto Calculate Progress,חישוב התקדמות אוטומטי
Auto Set Missed Milestones,סימון אוטומטי של אבני דרך שהוחמצו
Auto-shift dependents when dates change,הזז תלויים אוטומטית כאשר תאריכים משתנים
Auto-Trail Start,התחלת מסלול אוטומטית
Auto-Trail updated,המסלול האוטומטי עודכן
Automatically calculate project progress from task completion,חשב אוטומטית את התקדמות הפרויקט מהשלמת משימות
Automatically mark milestones as missed when overdue,סמן אוטומטית אבני דרך כהוחמצו כאשר הן באיחור
Automation rule {0} not found,כלל אוטומציה {0} לא נמצא
Automation: {0},אוטומציה: {0}
Availability,זמינות
Available,זמין
Avatar updated successfully,התמונה עודכנה בהצלחה
Avg Progress,התקדמות ממוצעת
Back,חזור
Back to Portal,חזור לפורטל
Back to Projects,חזור לפרויקטים
Beginner,מתחיל
Best regards,בברכה
Billable,לחיוב
Billable Amount,סכום לחיוב
Billable Hours,שעות לחיוב
Billable Rate,תעריף לחיוב
Billing Rate,תעריף חיוב
Blocked,חסום
Both dates are needed to display task as a bar in Gantt chart,שני התאריכים נדרשים כדי להציג משימה כפס בתרשים גנט
Both doctype and docname are required,סוג המסמך ושם המסמך נדרשים
Both proposed start and end times are required,שעות התחלה וסיום מוצעות נדרשות
Both task_name and depends_on are required,שם המשימה ותלות נדרשים
Breadcrumb,נתיב ניווט
Brief description of the defect or damage,תיאור קצר של הפגם או הנזק
Brief description of this template,תיאור קצר של תבנית זו
Brief description of your request,תיאור קצר של בקשתך
Brief project description,תיאור קצר של הפרויקט
Budget,תקציב
Budget at risk,תקציב בסיכון
Budget Burn Rate,קצב שריפת תקציב
Budget Status,מצב תקציב
Budget updated,התקציב עודכן
Budget:,תקציב:
Bug,באג
Burn Rate,קצב שריפה
Busy,עסוק
By,לפי
By Assignee,לפי מוקצה
By Group,לפי קבוצה
By Milestone,לפי אבן דרך
By Priority,לפי עדיפות
By Status,לפי סטטוס
Cancel,בטל
Cancelled,בוטל
cannot be undone,לא ניתן לבטל
Cannot delete client with {0} linked projects. Unlink projects first.,לא ניתן למחוק לקוח עם {0} פרויקטים מקושרים. בטל קישור פרויקטים תחילה.
Cannot delete project with {0} linked tasks. Delete tasks first.,לא ניתן למחוק פרויקט עם {0} משימות מקושרות. מחק משימות תחילה.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,לא ניתן למחוק משאב עם {0} הקצאות פעילות. השלם או בטל אותן תחילה.
Cannot delete task with {0} subtasks. Delete subtasks first.,לא ניתן למחוק משימה עם {0} משימות משנה. מחק משימות משנה תחילה.
Capacity,קיבולת
capacity,קיבולת
Capacity & Rates,קיבולת ותעריפים
Capture project structure for reuse,לכוד מבנה פרויקט לשימוש חוזר
Cascade,מפל
Cascade Preview,תצוגה מקדימה של מפל
Category,קטגוריה
Celebrate,חגוג
Change,שנה
Change History,היסטוריית שינויים
Change Priority,שנה עדיפות
Change Status,שנה סטטוס
Changes,שינויים
Changes appear when fields are modified.,שינויים מופיעים כאשר שדות משתנים.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,רשימת סימון
Checklist item name is required,שם פריט רשימת הסימון נדרש
Checklist item not found,פריט רשימת סימון לא נמצא
Checklist item title is required,כותרת פריט רשימת הסימון נדרשת
Checklist item {0} not found,פריט רשימת סימון {0} לא נמצא
Checklist item {0} not found in task,פריט רשימת סימון {0} לא נמצא במשימה
Child,צאצא
Choose file to upload,בחר קובץ להעלאה
Circular dependency detected: {0},זוהתה תלות מעגלית: {0}
Circular parent-child relationship detected,זוהה קשר מעגלי בין הורה לצאצא
Clear,נקה
Clear all read,נקה הכל שנקרא
Clear date,נקה תאריך
Click on an activity from the list to view and manage its details.,לחץ על פעילות מהרשימה כדי לצפות ולנהל את פרטיה.
Click the avatar to upload a new photo,לחץ על התמונה כדי להעלות תמונה חדשה
Click to add description...,לחץ להוספת תיאור...
Click to add notes...,לחץ להוספת הערות...
Click to assign contact,לחץ להקצאת איש קשר
Click to change status,לחץ לשינוי סטטוס
Click to change type,לחץ לשינוי סוג
Click to edit,לחץ לעריכה
Click to edit budget,לחץ לעריכת תקציב
Click to edit description,לחץ לעריכת תיאור
Click to edit end date,לחץ לעריכת תאריך סיום
Click to edit milestone name,לחץ לעריכת שם אבן דרך
Click to edit rate,לחץ לעריכת תעריף
Click to edit start date,לחץ לעריכת תאריך התחלה
Click to edit title,לחץ לעריכת כותרת
Click to load,לחץ לטעינה
Click to set group dependency...,לחץ להגדרת תלות קבוצתית...
Click to set group...,לחץ להגדרת קבוצה...
Click to view,לחץ לצפייה
Click to view at-risk projects,לחץ לצפייה בפרויקטים בסיכון
Click to view critical projects,לחץ לצפייה בפרויקטים קריטיים
Click to view healthy projects,לחץ לצפייה בפרויקטים תקינים
Client,לקוח
Client already has a portal user: {0},ללקוח כבר יש משתמש פורטל: {0}
Client already has portal access,ללקוח כבר יש גישה לפורטל
Client has no portal user to revoke,ללקוח אין משתמש פורטל לביטול
Client link removed from project {0},קישור הלקוח הוסר מפרויקט {0}
Client Portal,פורטל לקוחות
Client {0} deleted successfully,לקוח {0} נמחק בהצלחה
Close,סגור
Close (Esc),סגור (Esc)
Comment,תגובה
comment,תגובה
Comment added,התגובה נוספה
Comment content is required,תוכן התגובה נדרש
Comment name is required,שם התגובה נדרש
Comment not found,התגובה לא נמצאה
Comment removed,התגובה הוסרה
Comment {0} not found in task,תגובה {0} לא נמצאה במשימה
Comments,תגובות
comments,תגובות
Community Edition,Community Edition
Company,חברה
Company name...,שם חברה...
Complete,השלם
Completed,הושלם
completed,הושלם
Completed Tasks,משימות שהושלמו
Compliance,תאימות
Configure default values for new projects and tasks,הגדר ערכי ברירת מחדל עבור פרויקטים ומשימות חדשים
Configure email notification settings,"הגדר הגדרות התראות דוא""ל"
Confirm,אשר
Contact deleted,איש הקשר נמחק
Contact Details,פרטי איש קשר
Contact Information,פרטי יצירת קשר
Contact name is required,שם איש הקשר נדרש
Contact Support,צור קשר עם התמיכה
Contact your project manager for more information.,צור קשר עם מנהל הפרויקט שלך לקבלת מידע נוסף.
Contact:,איש קשר:
Contacts,אנשי קשר
Context,הקשר
Contractor,קבלן
Cost estimate cannot be negative,הערכת עלות לא יכולה להיות שלילית
Cost Impact,השפעת עלות
Cost Summary,סיכום עלויות
Could not apply the template. Please try again.,לא ניתן להחיל את התבנית. נסה שוב.
Could not attach file to project,לא ניתן לצרף קובץ לפרויקט
Could not change task priority,לא ניתן לשנות עדיפות משימה
Could not change task status,לא ניתן לשנות סטטוס משימה
Could not delete the project. Please try again.,לא ניתן למחוק את הפרויקט. נסה שוב.
Could not delete the task. Please try again.,לא ניתן למחוק את המשימה. נסה שוב.
Could not delete the template.,לא ניתן למחוק את התבנית.
Could not duplicate the task. Please try again.,לא ניתן לשכפל את המשימה. נסה שוב.
Could not export the template.,לא ניתן לייצא את התבנית.
Could not import the template. Please check the file format.,לא ניתן לייבא את התבנית. בדוק את תבנית הקובץ.
Could not link task to milestone,לא ניתן לקשר משימה לאבן דרך
Could not load document details.,לא ניתן לטעון פרטי מסמך.
Could not load task details,לא ניתן לטעון פרטי משימה
Could not promote checklist item to task.,לא ניתן לקדם פריט רשימת סימון למשימה.
Could not remove task from milestone,לא ניתן להסיר משימה מאבן דרך
Could not save budget.,לא ניתן לשמור תקציב.
Could not save changes to the milestone,לא ניתן לשמור שינויים באבן הדרך
Could not save changes to the task,לא ניתן לשמור שינויים במשימה
Could not save description.,לא ניתן לשמור תיאור.
Could not save end date.,לא ניתן לשמור תאריך סיום.
Could not save milestone name.,לא ניתן לשמור שם אבן דרך.
Could not save start date.,לא ניתן לשמור תאריך התחלה.
Could not save the template. Please try again.,לא ניתן לשמור את התבנית. נסה שוב.
Could not save title.,לא ניתן לשמור כותרת.
Could not update dependency mode.,לא ניתן לעדכן מצב תלות.
Could not update milestone date,לא ניתן לעדכן תאריך אבן דרך
Could not update project status.,לא ניתן לעדכן סטטוס פרויקט.
Could not update project type.,לא ניתן לעדכן סוג פרויקט.
Could not update setting.,לא ניתן לעדכן הגדרה.
Could not update task dates,לא ניתן לעדכן תאריכי משימה
Could not update task status,לא ניתן לעדכן סטטוס משימה
Could not update the template.,לא ניתן לעדכן את התבנית.
Create a copy of this task,צור עותק של משימה זו
Create Contact,צור איש קשר
Create Event,צור אירוע
Create Milestone,צור אבן דרך
Create New Milestone,צור אבן דרך חדשה
Create New Task,צור משימה חדשה
Create Project,צור פרויקט
Create Task,צור משימה
Create tasks and milestones from a template,צור משימות ואבני דרך מתבנית
Create your first project to get started.,צור את הפרויקט הראשון שלך כדי להתחיל.
Create your first task to start tracking work on this project.,צור את המשימה הראשונה שלך כדי להתחיל לעקוב אחר העבודה בפרויקט זה.
Created,נוצר
Creating...,יוצר...
Critical,קריטי
Critical Path,נתיב קריטי
"Currency used for budgets, costs, and billing rates","מטבע המשמש לתקציבים, עלויות ותעריפי חיוב"
Current,נוכחי
Current Assignments,הקצאות נוכחיות
Current scheduled time:,זמן מתוכנן נוכחי:
Currently running version,Currently running version
d lag,פיגור ימים
Daily Availability,זמינות יומית
Daily Hours,שעות יומיות
Danger Zone,אזור מסוכן
Dark,כהה
Dashboard,לוח בקרה
Date,תאריך
Date changes on this task will show cascade impact here,שינויי תאריכים במשימה זו יציגו השפעת מפל כאן
Date cleared,התאריך נוקה
Date of Joining,תאריך הצטרפות
Date updated,התאריך עודכן
Dates,תאריכים
Dates cascaded,התאריכים הושפעו במפל
Dates will be relative to the project's start date.,התאריכים יהיו יחסיים לתאריך התחלת הפרויקט.
Day,יום
day,יום
days,ימים
Days before due date to send reminder,ימים לפני תאריך היעד לשליחת תזכורת
Days Overdue,ימי איחור
Days Remaining,ימים נותרים
Deadline,מועד אחרון
Deadlines,מועדים אחרונים
Decision,החלטה
Decline,דחה
Declined,נדחה
Default Currency,מטבע ברירת מחדל
Default hours per week for contact capacity planning,שעות ברירת מחדל לשבוע עבור תכנון קיבולת אנשי קשר
Default Priority,עדיפות ברירת מחדל
Default Project Status,סטטוס פרויקט ברירת מחדל
Default Task Status,סטטוס משימה ברירת מחדל
Default task view,תצוגת משימה ברירת מחדל
Default Values,ערכי ברירת מחדל
Default Weekly Capacity,קיבולת שבועית ברירת מחדל
Defaults,ברירות מחדל
Defect Cost Impact,השפעת עלות פגם
Defect name is required,שם הפגם נדרש
Defect Type,סוג פגם
Defect {0} not found,פגם {0} לא נמצא
Defects,פגמים
Defects & Issues,פגמים ובעיות
Defects Resolved,פגמים שתוקנו
Delayed,מעוכב
Delete,מחק
Delete Activity Data,מחק נתוני פעילות
Delete all read notifications?,למחוק את כל ההתראות שנקראו?
Delete comment,מחק תגובה
Delete Contact,מחק איש קשר
Delete Event,מחק אירוע
Delete Event?,למחוק אירוע?
Delete failed,המחיקה נכשלה
Delete file,מחק קובץ
Delete item,מחק פריט
Delete note,מחק הערה
Delete Project,מחק פרויקט
Delete Task,מחק משימה
Delete this project,מחק פרויקט זה
Deleted,נמחק
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","פרויקט ""{0}"" נמחק ({1} משימות, {2} אבני דרך)"
Deletes notes and preferences. Source document is not affected.,מוחק הערות והעדפות. המסמך המקורי אינו מושפע.
Deleting...,מוחק...
Department,מחלקה
Dependencies,תלויות
dependencies,תלויות
Dependencies are informational only,התלויות הן מידעיות בלבד
dependency,תלות
Dependency already exists,התלות כבר קיימת
Dependency Chain,שרשרת תלויות
Dependency created,התלות נוצרה
Dependency mode updated,מצב התלות עודכן
Dependency name is required,שם התלות נדרש
Dependency task {0} not found,משימת תלות {0} לא נמצאה
Dependency {0} not found,תלות {0} לא נמצאה
depends,תלוי
Depends on Group,תלוי בקבוצה
Depends on task is required,משימת תלות נדרשת
depends on...,תלוי ב...
Descending -- click to reverse,סדר יורד -- לחץ להיפוך
Describe the defect in detail...,תאר את הפגם בפירוט...
Description,תיאור
Description updated,התיאור עודכן
Designation,תפקיד
"Detailed description of the defect, location, and impact","תיאור מפורט של הפגם, המיקום וההשפעה"
Details,פרטים
Discard timer,בטל טיימר
Discussion,דיון
Dismiss,Dismiss
Display,תצוגה
Document,מסמך
Document attached to project,המסמך צורף לפרויקט
Document final decision and rationale,תעד החלטה סופית ונימוקים
Documentation Review,סקירת תיעוד
Documents,מסמכים
Done,בוצע
Download,הורד
Drag to create dependency,גרור ליצירת תלות
Dry Run,הרצת ניסיון
Dry Run Complete,הרצת הניסיון הושלמה
Due Date,תאריך יעד
Due date,תאריך יעד
Due Date (Earliest),תאריך יעד (מוקדם ביותר)
Due date cannot be before start date,תאריך יעד לא יכול להיות לפני תאריך התחלה
Due date is in the past,תאריך היעד בעבר
Due Date Reminders,תזכורות תאריך יעד
Due Diligence,בדיקת נאותות
Due Diligence Checklist,רשימת בדיקת נאותות
Due This Week,מועד השבוע
Due:,מועד:
Duplicate events are not allowed,אירועים כפולים אינם מותרים
Duplicate failed,השכפול נכשל
Duplicate Task,שכפל משימה
Duration,משך
Duration Summary,סיכום משך
Duration:,משך:
e.g. Cracked wall finish in bathroom...,לדוגמה: סדק בטיח בחדר אמבטיה...
"e.g. Electrical, Plumbing...","לדוגמה: חשמל, אינסטלציה..."
Edit,ערוך
Edit (E),ערוך (E)
Edit dependency,ערוך תלות
Edit Event,ערוך אירוע
Efficiency,יעילות
Either dependency_name or depends_on is required,נדרש שם תלות או תלוי ב
Email,"דוא""ל"
Email invitations to all attendees,"הזמנות דוא""ל לכל המשתתפים"
Email is required to create portal user,"דוא""ל נדרש ליצירת משתמש פורטל"
Email notifications,"התראות דוא""ל"
Employee,עובד
Employee DocType not available,סוג מסמך עובד אינו זמין
Employee not found,העובד לא נמצא
Enable or disable optional features,הפעל או השבת תכונות אופציונליות
Enable Time Tracking,הפעל מעקב זמן
End,סיום
End Date,תאריך סיום
End date,תאריך סיום
End Date cannot be before Start Date,תאריך סיום לא יכול להיות לפני תאריך התחלה
End date cannot be before start date,תאריך סיום לא יכול להיות לפני תאריך התחלה
End date updated,תאריך הסיום עודכן
End time was before start time. Adjusted to 1 hour after start.,שעת הסיום הייתה לפני שעת ההתחלה. הותאמה לשעה אחרי ההתחלה.
End:,סיום:
Enter milestone name...,הזן שם אבן דרך...
Enter project name,הזן שם פרויקט
Enter task title...,הזן כותרת משימה...
Enter template name,הזן שם תבנית
Enter your note... Use @name to mention someone,הזן את ההערה שלך... השתמש ב-@שם כדי לאזכר מישהו
Error,שגיאה
Error loading activity,שגיאה בטעינת פעילות
Error loading contacts,שגיאה בטעינת אנשי קשר
Error loading dashboard,שגיאה בטעינת לוח הבקרה
Error loading project,שגיאה בטעינת פרויקט
Error loading projects,שגיאה בטעינת פרויקטים
Error loading settings,שגיאה בטעינת הגדרות
Error loading tasks,שגיאה בטעינת משימות
Error loading templates,שגיאה בטעינת תבניות
Est. Hours,שעות משוערות
Estimated,משוער
Estimated Cost,עלות משוערת
Estimated Cost (€),עלות משוערת (€)
Estimated Hours,שעות משוערות
Estimated:,משוער:
Evaluate potential risks and concerns,הערך סיכונים וחששות פוטנציאליים
Event,אירוע
Event is required for event context,אירוע נדרש עבור הקשר אירוע
Event is required when tracking context is 'event',אירוע נדרש כאשר הקשר המעקב הוא 'אירוע'
Event Type,סוג אירוע
Events,אירועים
Events not available. Please run: bench --site orga.localhost migrate,אירועים אינם זמינים. הרץ: bench --site orga.localhost migrate
Events:,אירועים:
Expert,מומחה
Explain why you are proposing a different time...,הסבר מדוע אתה מציע זמן אחר...
Export,ייצוא
Export failed,הייצוא נכשל
Export JSON,ייצוא JSON
Exported,יוצא
Exported to timesheet {0},יוצא לגיליון זמנים {0}
External,חיצוני
Failed to add item,ההוספה נכשלה
Failed to add note,הוספת ההערה נכשלה
Failed to add skill,הוספת המיומנות נכשלה
Failed to apply cascade changes: {0},החלת שינויי מפל נכשלה: {0}
Failed to create defect,יצירת הפגם נכשלה
Failed to create dependency,יצירת התלות נכשלה
Failed to create event,יצירת האירוע נכשלה
Failed to create milestone,יצירת אבן הדרך נכשלה
Failed to create project,יצירת הפרויקט נכשלה
Failed to create task,יצירת המשימה נכשלה
Failed to create time log,יצירת רשומת הזמן נכשלה
Failed to delete,המחיקה נכשלה
Failed to delete comment,מחיקת התגובה נכשלה
Failed to delete contact,מחיקת איש הקשר נכשלה
Failed to load,הטעינה נכשלה
Failed to load activity,טעינת הפעילות נכשלה
Failed to load assignments,טעינת ההקצאות נכשלה
Failed to load contact,טעינת איש הקשר נכשלה
Failed to load dashboard data,טעינת נתוני לוח הבקרה נכשלה
Failed to load defects,טעינת הפגמים נכשלה
Failed to load events,טעינת האירועים נכשלה
Failed to load project,טעינת הפרויקט נכשלה
Failed to load projects,טעינת הפרויקטים נכשלה
Failed to load report data,טעינת נתוני הדוח נכשלה
Failed to load settings,טעינת ההגדרות נכשלה
Failed to load tasks,טעינת המשימות נכשלה
Failed to move task,העברת המשימה נכשלה
Failed to post comment,פרסום התגובה נכשל
Failed to propose new time,הצעת זמן חדש נכשלה
Failed to remove item,הסרת הפריט נכשלה
Failed to remove skill,הסרת המיומנות נכשלה
Failed to reorder milestones: {0},סידור מחדש של אבני דרך נכשל: {0}
Failed to reorder tasks: {0},סידור מחדש של משימות נכשל: {0}
Failed to reschedule dependent tasks: {0},תזמון מחדש של משימות תלויות נכשל: {0}
Failed to save,השמירה נכשלה
Failed to save preferences,שמירת ההעדפות נכשלה
Failed to save settings,שמירת ההגדרות נכשלה
Failed to submit request. Please try again.,שליחת הבקשה נכשלה. נסה שוב.
Failed to update item,עדכון הפריט נכשל
Failed to update priority,עדכון העדיפות נכשל
Failed to update task,עדכון המשימה נכשל
Failed to update tasks: {0},עדכון המשימות נכשל: {0}
Failed to upload avatar,העלאת התמונה נכשלה
Feature,תכונה
Features,תכונות
FF (Finish-Finish),FF (סיום-סיום)
FF - Finish-to-Finish,FF - סיום-לסיום
Field has been updated,השדה עודכן
Field name is required for 'Set Field Value' action,שם השדה נדרש עבור פעולת 'הגדר ערך שדה'
Field {0} is not a Link field,שדה {0} אינו שדה קישור
Field {0} not found in {1},שדה {0} לא נמצא ב-{1}
file,קובץ
File,קובץ
File does not belong to this task,הקובץ אינו שייך למשימה זו
File name is required,שם הקובץ נדרש
File uploaded,הקובץ הועלה
File {0} not found,קובץ {0} לא נמצא
files,קבצים
Files,קבצים
Filter,סנן
Final Decision,החלטה סופית
Finance,כספים
Financial,פיננסי
Finish-to-Finish,סיום-לסיום
Finish-to-Start,סיום-להתחלה
Flag,סמן
Flag for attention,סמן לתשומת לב
Flagged,מסומן
Focus Panel,לוח מיקוד
Follows your system preference. Currently:,עוקב אחר העדפת המערכת שלך. כרגע:
Frappe Project {0} not found,פרויקט Frappe {0} לא נמצא
Frappe Projects Migration,העברת פרויקטים מ-Frappe
Frappe Projects module not available,מודול Frappe Projects אינו זמין
Frappe Projects module not installed,מודול Frappe Projects אינו מותקן
Frappe Projects sync is not enabled,סנכרון Frappe Projects אינו מופעל
Frappe Task DocType not found,סוג מסמך משימה של Frappe לא נמצא
Frappe Task has no project,למשימת Frappe אין פרויקט
Frappe Task {0} not found,משימת Frappe {0} לא נמצאה
Fri,שישי
From,מ
From Template,מתבנית
FS (Finish-Start),FS (סיום-התחלה)
FS - Finish-to-Start (default),FS - סיום-להתחלה (ברירת מחדל)
Full form view with audit trail,תצוגת טופס מלאה עם מסלול ביקורת
Full name,שם מלא
Gantt,גנט
Gantt Chart,תרשים גנט
Gantt View,תצוגת גנט
General Note,הערה כללית
Get started,התחל
Go back,חזור
Go Back,Go Back
Group by,קבץ לפי
Group dependency removed,תלות קבוצתית הוסרה
Group dependency set,תלות קבוצתית הוגדרה
Group removed,הקבוצה הוסרה
Group updated,הקבוצה עודכנה
Hammock task dates are auto-calculated and cannot be changed manually,תאריכי משימת ערסל מחושבים אוטומטית ולא ניתן לשנותם ידנית
Have a question or need assistance? Fill out the form below and our team will get back to you.,יש לך שאלה או צריך סיוע? מלא את הטופס למטה והצוות שלנו יחזור אליך.
Health,בריאות
Healthy,תקין
Hello {0},שלום {0}
Here's what's happening with your projects today.,הנה מה שקורה בפרויקטים שלך היום.
Hide,הסתר
High,גבוה
History,היסטוריה
Home,דף הבית
Hourly Cost,עלות שעתית
Hours,שעות
hours,שעות
Hours Logged,שעות שנרשמו
ID,מזהה
Image must be smaller than 5 MB,התמונה חייבת להיות קטנה מ-5 MB
Import,ייבוא
Import existing projects and tasks from Frappe Projects module,ייבא פרויקטים ומשימות קיימים ממודול Frappe Projects
Import failed,הייבוא נכשל
Import Template,ייבא תבנית
Imported,יובא
in,ב
In Progress,בתהליך
In Review,בבדיקה
In-app notifications,התראות באפליקציה
Inactive,לא פעיל
Initial Review,סקירה ראשונית
Installed Version,Installed Version
Insufficient permissions to view all tasks,הרשאות לא מספיקות לצפייה בכל המשימות
Intermediate,בינוני
Internal,פנימי
Invalid DocType,סוג מסמך לא תקין
Invalid DocType for import,סוג מסמך לא תקין לייבוא
Invalid item type: {0},סוג פריט לא תקין: {0}
Invalid JSON data,נתוני JSON לא תקינים
Invalid note type. Must be one of: {0},סוג הערה לא תקין. חייב להיות אחד מ: {0}
Invalid project reference,הפניית פרויקט לא תקינה
Invalid reaction type. Must be one of: {0},סוג תגובה רגשית לא תקין. חייב להיות אחד מ: {0}
Invalid RSVP status,סטטוס RSVP לא תקין
Invalid status. Must be one of: {0},סטטוס לא תקין. חייב להיות אחד מ: {0}
Invalid status: {0},סטטוס לא תקין: {0}
Invalid status: {0}. Must be one of: {1},סטטוס לא תקין: {0}. חייב להיות אחד מ: {1}
Invalid tracking context: {0},הקשר מעקב לא תקין: {0}
Invalid visibility. Must be one of: {0},נראות לא תקינה. חייבת להיות אחת מ: {0}
Invitation: {0} - {1} at {2},הזמנה: {0} - {1} ב-{2}
Invite People,הזמן אנשים
